"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","cfos","ERK","EGR1","SNAI1","TWIST1","Jagged","Csn","NOTCH","NOTCHic","SOSGRB2","ZEB2","ZEB1","IKK","Csl","SHH","AKT","SMO","NFB","HEY1","SNAI2","FUS","ILK","SMAD","RAS","RAF","PI3K","DELTA","cateninmemb","cateninnuc","KLF4","GLI","TCFLEF","CD44","Wnt","cMet","GSK3","Frizzled","SRC","Ecadherin","AXIN2","miR200","DSH","STAT","Patched","Destcompl","TrCP","LIV1","SUFU","RKIP"
"ERK",0.278212058212058,0.318088175212467,0.29528597741027,0.257329773030708,0.217142857142857,0.167579530924397,0.201107850330154,0.137774516996821,0.173448275862069,0.15863399619941,0.370738891478469,0.160886344868945,0.0160714285714286,0.179852069936386,0.159076446667688,0.0970257358606873,0.347662276792158,0.347662276792158,0.0643423733129616,0.123310023310023,0.0598303728238741,0.0808561347808515,0.0466448087431694,0.0372835497835498,-0.0366192468981115,0.663337996306623,0.0253333333333333,-0.0550113461009545,-0.0653456926055138,0.143001008892098,0.120668775668776,0.120668775668776,0.120668775668776,-0.507039995802309,0.39249625530246,-0.322135842425456,0.364064707222602,0.378815699746905,0.36375993766512,0.347272727272727,0.345693779904306,-0.194626077703358,0.32,0.318421052631579,-0.557003311739342,0.401538642687145,-0.359310054654579,0.27,0.268421052631579,-0.0564487303117968,0.0502500288723582,-0.0285714285714286,0.2,-0.0133333333333333,-0.201012772797141
"SHH",0.325,0.42,0.4,0.3,0.2,0.3,0.1,0.2,0,0.216666666666667,0.175,0.0942857142857143,0,0.2,0.2,0.25,0.35,0.35,0.1,0.1,0.146666666666667,0.1,0.3,0,-0.0666666666666667,0.36727969348659,0.2,-0.0666666666666667,-0.1,0.303846153846154,0.25,0.25,0.25,-0.299068100358423,0.241111111111111,-0.3,0.25,0.196666666666667,0.15,0.2,0.1,-0.271794871794872,0.2,0.1,-0.330555555555556,0.276190476190476,-0.366666666666667,0.2,0.1,-0.266666666666667,0.272987012987013,0,0,-0.2,-0.22
"IKK",0.434256854256854,0.479187878787879,0.428787878787879,0.383333333333333,0.35,0.227301587301587,0.142857142857143,0.162857142857143,0.1,0.200417020073509,0.493856209150327,0.188441112152452,0.3,0.294805194805195,0.251948051948052,0.290126050420168,0.355794486215539,0.355794486215539,0.173809523809524,0.209090909090909,0.0992081736909323,0.208944658944659,0.06,0.257142857142857,-0.0385964912280702,0.653022353538067,0.04,-0.0506944444444444,-0.0695063256325632,0.377781754045142,0.334119782214156,0.334119782214156,0.334119782214156,-0.555374197497102,0.429103508472743,-0.314285714285714,0.376239316239316,0.40505287556135,0.376239316239316,0.331623931623932,0.331623931623932,-0.216153846153846,0.277777777777778,0.277777777777778,-0.648880213812395,0.403095238095238,-0.364292084726867,0.2,0.2,-0.0785185185185185,0.138362557209828,-0.2,0.1,-0.1,-0.208652094717668
"NOTCH",0.176734693877551,0.21794982078853,0.163111111111111,0.111111111111111,0.1,0.256190476190476,0.18,0.213333333333333,0.2,0.0792307692307692,0.237593220338983,0.00494468494468493,-0.1,0.0176958525345622,0.0628571428571429,0.116842105263158,0.357487922705314,0.357487922705314,-0.122222222222222,0.02,-0.0772247360482654,-0.0777777777777778,-0.133333333333333,-0.133333333333333,-0.0884057971014493,0.453622303622304,-0.133333333333333,-0.180952380952381,-0.190952380952381,0.282766798418972,0.243636363636364,0.243636363636364,0.243636363636364,-0.428877979921413,0.340177917320775,-0.324154589371981,0.302564102564103,0.323443223443224,0.302564102564103,0.269230769230769,0.269230769230769,-0.239097875304772,0.2,0.2,-0.47435766836446,0.330943396226415,-0.36995670995671,0.1,0.1,0.0948717948717949,0.320267744379894,0,0,0.1,-0.10972590627763
"cfos",0.171943704310993,0.211815635345047,0.181512605042017,0.128571428571429,0.0857142857142857,0.269417833456153,0.2,0.230434782608696,0.28,0.0732522329990684,0.212735930735931,-0.0152430555555556,-0.133333333333333,0.0133333333333333,-0.0128205128205128,0.119444444444444,0.364437526422999,0.364437526422999,-0.0958333333333333,-0.0666666666666667,-0.0919838425214769,-0.074780701754386,-0.114285714285714,-0.133333333333333,-0.195302348825587,0.474672796789585,-0.147619047619048,-0.188359788359788,-0.20126301416624,0.303572187682661,0.276742919389978,0.276742919389978,0.276742919389978,-0.445171898266683,0.360558082835311,-0.339873015873016,0.329122807017544,0.346113638390866,0.332252252252252,0.313333333333333,0.313333333333333,-0.251747835497835,0.28,0.28,-0.475054380495042,0.37008210180624,-0.382785841609371,0.2,0.2,0.0981566820276498,0.343329537536788,0.1,0.1,0.133333333333333,-0.118041958041958
"CDC42",0.171943704310993,0.211815635345047,0.181512605042017,0.128571428571429,0.185714285714286,0.269417833456153,0.2,0.230434782608696,0.18,0.0732522329990684,0.212735930735931,-0.0152430555555556,-0.133333333333333,0.0133333333333333,-0.0128205128205128,0.119444444444444,0.364437526422999,0.364437526422999,-0.0958333333333333,-0.0666666666666667,-0.0919838425214769,-0.074780701754386,-0.114285714285714,-0.133333333333333,-0.195302348825587,0.474672796789585,-0.147619047619048,-0.188359788359788,-0.20126301416624,0.303572187682661,0.276742919389978,0.276742919389978,0.276742919389978,-0.445171898266683,0.360558082835311,-0.339873015873016,0.329122807017544,0.346113638390866,0.332252252252252,0.313333333333333,0.313333333333333,-0.251747835497835,0.28,0.28,-0.475054380495042,0.37008210180624,-0.382785841609371,0.2,0.2,0.0981566820276498,0.343329537536788,0.1,0.1,0.133333333333333,-0.118041958041958
"SNAI2",0.413829976698257,0.402509766448385,0.37207498383969,0.333613445378151,0.276470588235294,0.390911499735029,0.288235294117647,0.349019607843137,0.2,0.342409873579172,0.440584351596374,0.360772148726611,0.2,0.398308270676692,0.369736842105263,0.323799864773496,0.365325991189427,0.365325991189427,0.312931034482759,0.332894736842105,0.287994859915797,0.338232239302036,0.277647058823529,0.275,-0.0448764315852923,0.710377886140621,0.26,-0.0906103286384976,-0.109270615719837,0.442051352058506,0.412827607766268,0.412827607766268,0.412827607766268,-0.636672074694365,0.448919013092053,-0.281538461538462,0.402974962071897,0.427956280172798,0.40259545543053,0.373563197366014,0.373563197366014,-0.385748368724354,0.341168831168831,0.341168831168831,-0.803614694027497,0.447100565604419,-0.374558822385665,0.305454545454545,0.305454545454545,-0.283769507803121,0.385743987724154,-0.1,0.26,-0.2,-0.338141025641026
"SRC",0.313720821661998,0.319736652236652,0.303373015873016,0.298611111111111,0.311111111111111,0.288755479321517,0.309090909090909,0.286868686868687,0.3,0.177817984566265,0.187751673613743,-0.0503810868031052,0.1,0.0609523809523809,0.0502380952380952,-0.0114285714285714,0.382644504342618,0.382644504342618,0.0282051282051282,0.055,-0.12562091503268,0.0170940170940171,-0.123333333333333,0.0666666666666667,-0.129609400860642,0.187554103010962,-0.0833333333333333,-0.161842105263158,-0.166346609767662,0.208930102021466,0.187717980809345,0.187717980809345,0.187717980809345,-0.0777121688370005,0.0566760767728703,-0.279198966408269,0.0278688524590164,0.0461615353858457,0.0278688524590164,0,0,-0.133593073593074,-0.05,-0.05,-0.212372110460346,-0.0315164265374644,-0.398170106865759,-0.1,0,0.134444444444444,-0.0845998566650741,-0.1,0,0.0333333333333333,-0.303225806451613
"NOTCHic",0.20899275839368,0.250433897221651,0.21794982078853,0.163111111111111,0.111111111111111,0.301904761904762,0.213333333333333,0.256190476190476,0.18,0.0966910866910867,0.260863660590555,0.0135539564678637,-0.133333333333333,0.0466432209556148,0.0176958525345622,0.162296650717703,0.384895330112721,0.384895330112721,-0.0777777777777778,0.0628571428571429,-0.0718483919622439,-0.0521963824289406,-0.0948717948717949,-0.122222222222222,-0.096098104793757,0.479474007029117,-0.133333333333333,-0.190952380952381,-0.206060294621446,0.311830837827839,0.282766798418972,0.282766798418972,0.282766798418972,-0.457478385600927,0.35681913869482,-0.352726017943409,0.320843672456576,0.340177917320775,0.323443223443224,0.302564102564103,0.302564102564103,-0.263064817453532,0.269230769230769,0.269230769230769,-0.505751236511473,0.362887840670859,-0.401748617471161,0.2,0.2,0.0772247360482654,0.334934411046561,0.1,0.1,0.133333333333333,-0.139303371066363
"PAK1",0.190564393966165,0.229848422230293,0.211815635345047,0.181512605042017,0.128571428571429,0.30408450012282,0.230434782608696,0.269417833456153,0.2,0.0830374358630303,0.227409843779409,-0.0115620739604635,-0.133333333333333,0.0298168498168498,0.0133333333333333,0.148157315731573,0.385980934783127,0.385980934783127,-0.074780701754386,-0.0128205128205128,-0.0939838425214769,-0.0599658869395711,-0.0981566820276498,-0.0958333333333333,-0.204125878237352,0.493479306735336,-0.114285714285714,-0.20126301416624,-0.207069465779143,0.325390369500843,0.303572187682661,0.303572187682661,0.303572187682661,-0.466234169328954,0.37352360007669,-0.357905802758262,0.342293538724861,0.360558082835311,0.346113638390866,0.329122807017544,0.332252252252252,-0.267020562770563,0.313333333333333,0.313333333333333,-0.496992096758018,0.390207887969762,-0.402582795924092,0.28,0.28,0.0919838425214769,0.353555101446562,0.133333333333333,0.2,0.147619047619048,-0.136274002240853
"LIV1",0.190564393966165,0.229848422230293,0.211815635345047,0.181512605042017,0.128571428571429,0.30408450012282,0.230434782608696,0.269417833456153,0.2,0.0830374358630303,0.227409843779409,-0.0115620739604635,-0.133333333333333,0.0298168498168498,0.0133333333333333,0.148157315731573,0.385980934783127,0.385980934783127,-0.074780701754386,-0.0128205128205128,-0.0939838425214769,-0.0599658869395711,-0.0981566820276498,-0.0958333333333333,-0.204125878237352,0.493479306735336,-0.114285714285714,-0.20126301416624,-0.207069465779143,0.325390369500843,0.303572187682661,0.303572187682661,0.303572187682661,-0.466234169328954,0.37352360007669,-0.357905802758262,0.342293538724861,0.360558082835311,0.346113638390866,0.329122807017544,0.332252252252252,-0.267020562770563,0.313333333333333,0.313333333333333,-0.496992096758018,0.390207887969762,-0.402582795924092,0.28,0.28,0.0919838425214769,0.353555101446562,0.133333333333333,0.2,0.147619047619048,-0.136274002240853
"EGR1",0.190564393966165,0.229848422230293,0.211815635345047,0.181512605042017,0.128571428571429,0.30408450012282,0.230434782608696,0.269417833456153,0.2,0.0830374358630303,0.227409843779409,-0.0115620739604635,-0.133333333333333,0.0298168498168498,0.0133333333333333,0.148157315731573,0.385980934783127,0.385980934783127,-0.074780701754386,-0.0128205128205128,-0.0939838425214769,-0.0599658869395711,-0.0981566820276498,-0.0958333333333333,-0.204125878237352,0.493479306735336,-0.114285714285714,-0.20126301416624,-0.207069465779143,0.325390369500843,0.303572187682661,0.303572187682661,0.303572187682661,-0.466234169328954,0.37352360007669,-0.357905802758262,0.342293538724861,0.360558082835311,0.346113638390866,0.329122807017544,0.332252252252252,-0.267020562770563,0.313333333333333,0.313333333333333,-0.496992096758018,0.390207887969762,-0.402582795924092,0.28,0.28,0.0919838425214769,0.353555101446562,0.133333333333333,0.2,0.147619047619048,-0.136274002240853
"CD44",0.340416666666667,0.3375,0.3375,0.3,0.2,0.405,0.325,0.385,0.3,0.287400318979266,0.319413919413919,0.0599533799533799,0.2,0.18796992481203,0.214285714285714,-0.00238095238095239,0.39047619047619,0.39047619047619,0.233333333333333,0.2,0.00363636363636364,0.186666666666667,0.1,0.2,0.0304093567251462,0.437136197136197,0.1,-0.0111111111111111,-0.0458049886621315,0.203809523809524,0.166666666666667,0.166666666666667,0.166666666666667,-0.140604395604396,0.129200954084675,-0.266666666666667,0.0233333333333333,0.0861240310077519,0.0233333333333333,-0.05,0.05,-0.219642857142857,-0.1,0,-0.264629790467919,-0.02,-0.404822134387352,0,0.1,-0.04,-0.159085452362763,-0.1,0.1,-0.1,-0.381481481481481
"NFB",0.473699085332551,0.519694207901803,0.479187878787879,0.428787878787879,0.383333333333333,0.273706816059757,0.162857142857143,0.227301587301587,0.142857142857143,0.219869074868029,0.522745098039216,0.199951903519359,0.257142857142857,0.332869710934227,0.294805194805195,0.320652366209642,0.392959237173393,0.392959237173393,0.208944658944659,0.251948051948052,0.105232270076474,0.242277992277992,0.0785185185185185,0.173809523809524,-0.0546679197994987,0.685949182806359,0.06,-0.0695063256325632,-0.0884654334392547,0.408627525189421,0.377781754045142,0.377781754045142,0.377781754045142,-0.590326679017694,0.449574096708037,-0.346978021978022,0.405452799385384,0.429103508472743,0.40505287556135,0.376239316239316,0.376239316239316,-0.240859728506787,0.331623931623932,0.331623931623932,-0.688527083796343,0.440683890577508,-0.400243746358287,0.277777777777778,0.277777777777778,-0.0992081736909323,0.156302756545377,-0.3,0.2,-0.04,-0.239421325486899
"SNAI1",0.202635550255873,0.242146809327067,0.229848422230293,0.211815635345047,0.181512605042017,0.327851316266318,0.269417833456153,0.30408450012282,0.230434782608696,-0.00628640755333985,0.240230356599922,-0.00450325043105177,-0.0958333333333333,0.0412454212454212,0.0298168498168498,0.15985542893912,0.400618081154591,0.400618081154591,-0.0599658869395711,0.0133333333333333,-0.092236269705943,-0.0502436647173489,-0.0919838425214769,-0.074780701754386,-0.205316354427828,0.509335827016931,-0.0981566820276498,-0.207069465779143,-0.215802553110016,0.34181073074879,0.325390369500843,0.325390369500843,0.325390369500843,-0.483678038068159,0.384106976431878,-0.376285865063558,0.356370321174587,0.37352360007669,0.360558082835311,0.342293538724861,0.346113638390866,-0.279099770691355,0.329122807017544,0.332252252252252,-0.514265770015041,0.406758004519878,-0.419393554809779,0.313333333333333,0.313333333333333,0.0939838425214769,0.361888434779896,0.133333333333333,0.28,0.114285714285714,-0.149663123579765
"cMet",0.341682489451477,0.350265957446808,0.3375,0.3375,0.3,0.399545454545455,0.385,0.405,0.325,0.29756981050469,0.345256616043133,0.0708229451707713,0.2,0.190097584386498,0.18796992481203,0.00428571428571428,0.403607503607504,0.403607503607504,0.186666666666667,0.214285714285714,-0.00573863636363636,0.155416666666667,0.04,0.233333333333333,-0.00292397660818714,0.482391671588752,0.1,-0.0458049886621315,-0.0530777159348588,0.243432165318958,0.203809523809524,0.203809523809524,0.203809523809524,-0.18508838136952,0.156884569903884,-0.29047619047619,0.086969696969697,0.129200954084675,0.0861240310077519,0.0233333333333333,0.0233333333333333,-0.25028801843318,-0.05,0.05,-0.298980935506087,0.0419047619047619,-0.417322134387352,-0.1,0,-0.00363636363636364,-0.128004371281682,-0.2,0.1,-0.1,-0.385185185185185
"Csl",0.229107700922416,0.270161788378114,0.250433897221651,0.21794982078853,0.163111111111111,0.338861283643892,0.256190476190476,0.301904761904762,0.213333333333333,0.108548794200968,0.277793683163919,0.0187622898011971,-0.122222222222222,0.064825039137433,0.0466432209556148,0.189125919010386,0.409204722377915,0.409204722377915,-0.0521963824289406,0.0176958525345622,-0.0735725298932784,-0.0359173126614987,-0.0772247360482654,-0.0777777777777778,-0.105902026362384,0.500875945880721,-0.0948717948717949,-0.206060294621446,-0.213838072399223,0.335360249592545,0.311830837827839,0.311830837827839,0.311830837827839,-0.481484501808878,0.371513249615346,-0.375583160800552,0.33697270471464,0.35681913869482,0.340177917320775,0.320843672456576,0.323443223443224,-0.280001489029379,0.302564102564103,0.302564102564103,-0.530634957441706,0.385252879231271,-0.42506016431212,0.269230769230769,0.269230769230769,0.0718483919622439,0.346208024696774,0.133333333333333,0.2,0.133333333333333,-0.160040698255303
"SMO",0.369137931034483,0.47472972972973,0.445,0.42,0.4,0.371794871794872,0.3,0.338461538461538,0.2,0.258986175115207,0.240686274509804,0.126825396825397,0.1,0.252272727272727,0.227272727272727,0.244736842105263,0.417090395480226,0.417090395480226,0.114285714285714,0.2,0.145277777777778,0.126285714285714,0.146666666666667,0.1,-0.104029304029304,0.452041598248495,0.266666666666667,-0.12,-0.140634920634921,0.380154293381038,0.347596153846154,0.347596153846154,0.347596153846154,-0.386932178028326,0.293764589467196,-0.375,0.344444444444444,0.271208198489752,0.241111111111111,0.3,0.196666666666667,-0.328521640172126,0.25,0.15,-0.412717988830374,0.366472607851918,-0.434026522001206,0.2,0.1,-0.134166666666667,0.318416777021428,0,0.1,-0.3,-0.276349206349206
"FUS",0.398085299455535,0.506644623346751,0.47472972972973,0.445,0.42,0.398231653404067,0.338461538461538,0.371794871794872,0.3,0.275967307190679,0.26843496560928,0.137668770319373,0.1,0.281818181818182,0.252272727272727,0.260121457489879,0.445924751308447,0.445924751308447,0.126285714285714,0.227272727272727,0.148308080808081,0.145516483516484,0.134166666666667,0.114285714285714,-0.122869883739449,0.48202364492713,0.146666666666667,-0.140634920634921,-0.15289298515105,0.40679184796619,0.380154293381038,0.380154293381038,0.380154293381038,-0.416541116575812,0.310884154684587,-0.399590163934426,0.375213675213675,0.293764589467196,0.271208198489752,0.344444444444444,0.241111111111111,-0.348922977964768,0.3,0.196666666666667,-0.445320728556401,0.401876334559993,-0.459769096258631,0.25,0.15,-0.145277777777778,0.334329185780552,-0.1,0.1,-0.266666666666667,-0.304184257895598
"TGF",0.409037267080745,0.437261904761905,0.496190476190476,0.453333333333333,0.42,0.421553884711779,0.361904761904762,0.388220551378446,0.333333333333333,0.281544818817546,0.381851851851852,0.113954344624448,0.166666666666667,0.234252873563218,0.206666666666667,0.146052631578947,0.448286988881955,0.448286988881955,0.155952380952381,0.166666666666667,0.00946839080459771,0.155952380952381,0.00666666666666668,0.141666666666667,-0.0397807865892972,0.486186090382001,0.00666666666666668,-0.076969696969697,-0.091485826001955,0.383928571428571,0.335714285714286,0.335714285714286,0.335714285714286,-0.474164773247443,0.395243296921549,-0.422832443427409,0.334716981132075,0.368927507447865,0.334716981132075,0.28,0.28,-0.34924983692107,0.2,0.2,-0.522082408102906,0.351146384479718,-0.459521273745412,0.1,0.1,-0.00321839080459771,0.174204230781186,-0.2,0,-0.0666666666666667,-0.296969696969697
"SMAD",0.319572947549673,0.353848513413495,0.331139350066882,0.299295774647887,0.25,0.37102565476534,0.292626728110599,0.334487193226878,0.257142857142857,0.189008694710308,0.317751915372663,0.11278201368524,0.0111111111111111,0.166912972085386,0.145484400656814,0.203726708074534,0.449003585033273,0.449003585033273,0.0525676937441643,0.119047619047619,0.00955180018871571,0.071234360410831,0.00166666666666667,0.0349206349206349,-0.0963167553988571,0.518457009008812,-0.00833333333333333,-0.131744419963598,-0.240315848535027,0.423700183119569,0.398371235751148,0.398371235751148,0.398371235751148,-0.500288570663757,0.390353952272134,-0.416100674258665,0.35353826828647,0.374852432515295,0.356534929123164,0.333394383394383,0.335807656395892,-0.324265913702004,0.31031746031746,0.31031746031746,-0.551215687719275,0.397454683574426,-0.462542034365604,0.271428571428571,0.271428571428571,-0.00992354740061162,0.258613894921762,0,0.2,0.0333333333333333,-0.213116477160537
"GLI",0.302849049707602,0.435443453633893,0.414502277163305,0.384942528735632,0.336666666666667,0.454175695391165,0.387619047619048,0.422683982683983,0.354285714285714,0.191147876945749,0.282755166923248,0.0446955365189923,-0.0222222222222222,0.109003410382721,0.0899557913351017,0.169376699996169,0.450564942823007,0.450564942823007,0.0102160162310538,0.0699557913351017,0.0489355001259763,0.0242785162310538,0.0440476190476191,0.00409356725146199,-0.15756761159987,0.521308950770559,0.0440476190476191,-0.163299972274089,-0.170867539841657,0.424760177223562,0.399215622768117,0.399215622768117,0.399215622768117,-0.496787661860459,0.40352765626287,-0.422410982410983,0.366641366223909,0.388285576167233,0.369454407336064,0.446641366223909,0.348764752163651,-0.367064079875904,0.421935483870968,0.321935483870968,-0.534786698763008,0.407355072463768,-0.4658665895508,0.38,0.28,-0.0501700680272109,0.319655811707955,0.0333333333333333,0.2,-0.0190476190476191,-0.232898584368296
"TWIST1",0.514951749300962,0.506947884905135,0.475740595611285,0.436990595611285,0.381818181818182,0.470492617006501,0.371304347826087,0.429199084668192,0.28,0.433959857942316,0.451783988957902,0.347630557826509,0.3,0.390726764500349,0.361481481481481,0.314044866905279,0.462689882865322,0.462689882865322,0.382417582417582,0.328148148148148,0.343905976561621,0.406146395976904,0.337333333333333,0.353846153846154,0.0106599615074191,0.729806463080714,0.333333333333333,-0.0362953862953863,-0.0564273994967064,0.451707802473184,0.42054341891154,0.42054341891154,0.42054341891154,-0.655731462715756,0.468424933123053,-0.390890139670628,0.418854803675856,0.44594074680908,0.417916244511989,0.385254803675856,0.384582911178656,-0.400976841009628,0.348412698412698,0.348412698412698,-0.81700650111297,0.461239889143115,-0.472417985536107,0.309523809523809,0.309523809523809,-0.341442922374429,0.396779183640449,-0.2,0.266666666666667,-0.3,-0.431743449134753
"TGFR",0.437421546556728,0.470595238095238,0.437261904761905,0.496190476190476,0.453333333333333,0.451690871013149,0.388220551378446,0.421553884711779,0.361904761904762,0.302488771619906,0.409253987083169,0.126273185204158,0.141666666666667,0.262310427520053,0.234252873563218,0.18185510071475,0.472815290768747,0.472815290768747,0.155952380952381,0.206666666666667,0.0156830800701344,0.167580287929125,0.00321839080459771,0.155952380952381,-0.0532136224101927,0.520908312604224,0.00666666666666668,-0.091485826001955,-0.103229598243948,0.420185881370092,0.383928571428571,0.383928571428571,0.383928571428571,-0.509268699344441,0.41570388150968,-0.446046729141695,0.367620206938527,0.395243296921549,0.368927507447865,0.334716981132075,0.334716981132075,-0.37687819877926,0.28,0.28,-0.557516820368664,0.396210762162121,-0.483861449698491,0.2,0.2,-0.00946839080459771,0.195575198523121,-0.166666666666667,0.1,-0.00666666666666668,-0.31982683982684
"TCFLEF",0.549855079926902,0.549732005072911,0.532844587854368,0.512283840190817,0.482051282051282,0.497741828438693,0.45801393728223,0.47801393728223,0.421428571428571,0.340029554360098,0.385292613833924,0.1497753910349,0.188311688311688,0.318524732638376,0.308225729316117,0.186662367572547,0.499108054226475,0.499108054226475,0.197085881860075,0.296461023433764,0.0759725952522311,0.195998925338336,0.0838095238095238,0.200311688311688,-0.0709140736511562,0.470491355998584,0.0933333333333333,-0.121204374572796,-0.133250263674134,0.401612160827826,0.380718599724015,0.380718599724015,0.380718599724015,-0.414130294045156,0.193417851626858,-0.379461102622867,0.261938534611169,0.178383487365689,0.258566763425254,0.237714932126697,0.234038461538462,-0.347487034794459,0.209509803921569,0.205833333333333,-0.561681698918674,0.595620512820513,-0.513038039604305,0.174509803921569,0.170833333333333,-0.0741321044546851,0.317841880678918,-0.142857142857143,0.133333333333333,-0.1,-0.363587730174037
