"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","TWIST1","AKT","IKK","NFB","SMO","Jagged","FUS","SNAI2","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","RAS","cateninmemb","RAF","PI3K","DELTA","miR200","Ecadherin","GSK3","GLI","cateninnuc","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","AXIN2","STAT","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"ERK",0.359748687679722,0.384112984134814,0.361036061057891,0.320890075656431,0.267619047619048,0.261870103701898,0.208595416332017,0.187241379310345,0.174333577891905,0.227666911225238,0.175163637660932,0.177500355120237,0.165950203144554,0.237490419688902,0.411466536509369,0.208516375691227,0.185580595874714,0.156168831168831,0.208590163934426,0.276477301994545,0.184,0.209829045663325,0.110714285714286,0.266048019644073,0.244718379754876,0.21041181041181,0.12163415010017,-0.404802420117224,0.441467696738768,0.441467696738768,0.137575894952133,-0.456946610262741,0.118764013764014,0.118764013764014,0.118764013764014,-0.451386387340658,-0.481233700066935,-0.197489955922329,0.341464500411869,0.357644922436002,0.348964366880447,0.331188811188811,0.340042433794945,0.32960986382039,0.312307692307692,0.310728744939271,0.27,0.38178846954395,0.268421052631579,-0.0857142857142857,-0.14,0.2,0.0303146585231311,-0.224930033215472,-0.28297755695153
"STAT",0.227027948193592,0.222824931234542,0.20011961722488,0.165909090909091,0.140909090909091,0.156915280625494,0.210044275774826,0.2,0.191764705882353,0.18,0.0586666666666667,0.0649619634627131,0.0615136876006441,0.0710135830417782,0.094248871235378,0.0461501210653753,0.0342857142857143,0.02,0.045,0.0814813779284475,0.025,0.082538483188638,0,0.0442547630440263,0.0258081611022788,-0.00392156862745098,-0.00348932676518883,-0.326728064963359,0.445302133763672,0.445302133763672,-0.0158213276051504,-0.0769624889717132,-0.0314929693961952,-0.0314929693961952,-0.0314929693961952,-0.460367790346789,-0.210284729427344,0.0308544726301736,0.0327349121466769,0.0420080338266327,0.0383131589756195,0.0201298701298701,0.032950382950383,0.0201298701298701,-0.00714285714285714,-0.00714285714285714,-0.0571428571428571,-0.023657127186539,-0.0571428571428571,0,0,0,-0.051293138396433,-0.0612790697674419,-0.175407014157014
"cMet",0.405332278481013,0.406264775413712,0.372222222222222,0.35,0.3,0.4052230602186,0.420454545454546,0.325,0.415,0.385,0.21781905744754,0.21034632034632,0.197619047619048,0.205397727272727,0.395761616660493,0.2725,0.26,0.266666666666667,0.15,0.227661903314077,0.15,0.291034610158698,0.2,0.280035194368901,0.24812030075188,0.242857142857143,0.0109523809523809,-0.320634920634921,0.458008658008658,0.458008658008658,0.247205750224618,-0.19464882092996,0.203809523809524,0.203809523809524,0.203809523809524,-0.467637104743083,-0.30401265303157,-0.260906298003072,0.0915151515151515,0.164047684020092,0.136929039952296,0.0233333333333333,0.0907751937984496,0.0233333333333333,-0.05,0.05,-0.1,0.0450793650793651,0,-0.2,-0.1,0.1,-0.1246122036038,-0.177272727272727,-0.453333333333333
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.258333333333333,0.286666666666667,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.293,0.0888888888888889,0.0333333333333333,0,0.0333333333333333,0.166493506493506,0,-0.0585721468074409,0,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.252727272727273,-0.392354124748491,0.18,0.18,0.18,-0.472121212121212,-0.413508771929825,-0.23639846743295,0.269230769230769,0.319047619047619,0.302564102564103,0.2,0.269230769230769,0.2,0.1,0.1,0,0.28,0,0,0,0,0.295135135135135,-0.0833333333333333,-0.235897435897436
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.258333333333333,0.286666666666667,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.293,0.0888888888888889,0.0333333333333333,0,0.0333333333333333,0.166493506493506,0,-0.0585721468074409,0,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.252727272727273,-0.392354124748491,0.18,0.18,0.18,-0.472121212121212,-0.413508771929825,-0.23639846743295,0.269230769230769,0.319047619047619,0.302564102564103,0.2,0.269230769230769,0.2,0.1,0.1,0,0.28,0,0,0,0,0.295135135135135,-0.0833333333333333,-0.235897435897436
"NFB",0.535228666862133,0.562700779951413,0.525991919191919,0.469191919191919,0.405555555555556,0.313795163457926,0.305131652661064,0.142857142857143,0.252190476190476,0.178857142857143,0.198011573050273,0.199542600635528,0.18578795379538,0.270358368339257,0.541036414565826,0.356598026598027,0.321042471042471,0.264285714285714,0.228148148148148,0.28344636006284,0.18,0.0885016017766947,0.314285714285714,0.391353162966066,0.35974025974026,0.307359307359307,0.334522335249889,-0.41529304029304,0.473311266672428,0.473311266672428,0.389679284363439,-0.499974690418845,0.367291224661946,0.367291224661946,0.367291224661946,-0.478085292701081,-0.548645340629515,-0.231775479422538,0.363568616152886,0.386894166359517,0.374894166359517,0.35008547008547,0.363079820367956,0.35008547008547,0.323931623931624,0.323931623931624,0.277777777777778,0.407456940222898,0.277777777777778,-0.3,-0.12,0.2,0.124804981663291,-0.252286079182631,-0.313219840269021
"SMO",0.407586206896552,0.492027027027027,0.465,0.44,0.4,0.338556067588326,0.387179487179487,0.2,0.353846153846154,0.3,0.128937728937729,0.134285714285714,0.12,0.300555555555556,0.230337690631808,0.228857142857143,0.192857142857143,0.15,0.253333333333333,0.18521164021164,0.333333333333333,-0.180678708264915,0.1,0.290606060606061,0.260606060606061,0.233333333333333,0.244736842105263,-0.413888888888889,0.475706214689265,0.475706214689265,0.334391771019678,-0.253083655218012,0.313461538461538,0.313461538461538,0.313461538461538,-0.487311633514165,-0.244539859961706,-0.293904477399623,0.252777777777778,0.190094735219927,0.172049622437972,0.225,0.147777777777778,0.12,0.2,0.1,0.2,0.289938796835349,0.1,0,-0.3,0.1,0.262153350525444,-0.278333333333333,-0.341746031746032
"TWIST1",0.505911989360977,0.484271249134182,0.463542319749216,0.433542319749216,0.381818181818182,0.448804347826087,0.465517492628391,0.28,0.429199084668192,0.371304347826087,0.243465573974049,0.236646952983587,0.21981526981527,0.424084606098777,0.403735198503505,0.445986217172658,0.412087912087912,0.369230769230769,0.383555555555556,0.342968969299592,0.355555555555556,0.0710499197522632,0.3,0.378994785787239,0.356353276353276,0.328148148148148,0.299440630561912,-0.40089639357932,0.47644486591855,0.47644486591855,0.397493379961863,-0.480791749090445,0.382082421057753,0.382082421057753,0.382082421057753,-0.485835866261398,-0.544389549500394,-0.359090260644745,0.328622890559733,0.353302473857419,0.340939046600374,0.315822890559733,0.327309643843866,0.314859844647079,0.306349206349206,0.306349206349206,0.295238095238095,0.385898724930983,0.295238095238095,-0.2,-0.3,0.266666666666667,0.338467721240491,-0.406843226788432,-0.445807345807346
"SRC",0.410821661998133,0.404188311688312,0.369642857142857,0.345833333333333,0.333333333333333,0.311316661658637,0.333142748237088,0.3,0.316161616161616,0.327272727272727,0.126804038397881,0.113934329065908,0.109429824561404,0.098322440087146,0.26741063534167,0.168803418803419,0.157692307692308,0.15,0.0533333333333333,0.11927370030581,0.0333333333333333,0.11184680080574,0.15,0.172380952380952,0.143809523809524,0.12,0.00857142857142857,-0.354328165374677,0.481079664570231,0.481079664570231,0.228046800925399,-0.122124681933842,0.196228619107217,0.196228619107217,0.196228619107217,-0.493078612209047,-0.267567693744164,-0.15965367965368,0.050983606557377,0.0897924678003519,0.076593362654938,0.01,0.050983606557377,0.01,-0.05,-0.05,-0.1,-0.0141952484168473,0,-0.1,-0.0333333333333333,0,-0.0699223602484472,-0.0718518518518519,-0.405408927989573
"FUS",0.43521778584392,0.519686601495112,0.492027027027027,0.465,0.44,0.359310784569458,0.41131741821397,0.3,0.387179487179487,0.353846153846154,0.144879757923236,0.142672811059908,0.134285714285714,0.319747474747475,0.255992140893588,0.251934065934066,0.228857142857143,0.192857142857143,0.278333333333333,0.205693567922484,0.253333333333333,-0.187680503597052,0.15,0.315606060606061,0.290606060606061,0.260606060606061,0.248582995951417,-0.454872495446266,0.51190253370767,0.51190253370767,0.353169063596097,-0.274498925236634,0.334391771019678,0.334391771019678,0.334391771019678,-0.522955197870601,-0.263991914756227,-0.310292437265844,0.277777777777778,0.202866474350362,0.190094735219927,0.252777777777778,0.172049622437972,0.147777777777778,0.225,0.12,0.2,0.314162399319821,0.1,-0.1,-0.333333333333333,0.1,0.273102255634933,-0.300555555555556,-0.371642938962527
"NOTCH",0.376122448979592,0.396071684587814,0.331555555555555,0.255555555555556,0.2,0.299871794871795,0.350952380952381,0.2,0.286666666666667,0.22,0.171014492753623,0.0814285714285714,0.0714285714285714,0.151206636500754,0.335372881355932,0.133333333333333,0.0888888888888889,0.0333333333333333,0.0833333333333333,0.188715728715729,0.0333333333333333,-0.0654504536857478,0,0.186267281105991,0.231428571428571,0.16,0.167368421052632,-0.46207729468599,0.52133655394525,0.52133655394525,0.297654808959157,-0.415914334172575,0.252727272727273,0.252727272727273,0.252727272727273,-0.529264069264069,-0.442541029994341,-0.272762103796587,0.302564102564103,0.330884353741497,0.319047619047619,0.269230769230769,0.302564102564103,0.269230769230769,0.2,0.2,0.1,0.330943396226415,0.1,0,0,0,0.313826723920182,-0.121794871794872,-0.28762157382847
"TGF",0.534673913043478,0.55047619047619,0.593333333333333,0.526666666666667,0.46,0.442803560076287,0.474670008354219,0.333333333333333,0.423558897243108,0.376190476190476,0.231850419084462,0.22603128054741,0.211515151515151,0.265617816091954,0.461481481481482,0.341791979949875,0.315476190476191,0.258333333333333,0.203333333333333,0.31556823760432,0.153333333333333,0.0292530905164411,0.233333333333333,0.38816091954023,0.343333333333333,0.273333333333333,0.181578947368421,-0.507068395626748,0.559795668354021,0.559795668354021,0.394047619047619,-0.467073814220203,0.34047619047619,0.34047619047619,0.34047619047619,-0.567284583232859,-0.500381255574856,-0.372633802379399,0.334716981132075,0.390099756251693,0.367611717974181,0.28,0.334716981132075,0.28,0.2,0.2,0.1,0.351146384479718,0.1,-0.2,-0.133333333333333,0,0.170203840022626,-0.234367816091954,-0.411688311688312
"cfos",0.401871968299515,0.421415839062898,0.378991596638655,0.314285714285714,0.242857142857143,0.3166463915831,0.389064112011791,0.32,0.336521739130435,0.28,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.157074586106844,0.349064935064935,0.157675438596491,0.120833333333333,0.0833333333333333,0.10952380952381,0.195069444444444,0.0761904761904762,-0.0351423515657092,0.0333333333333333,0.208974358974359,0.17051282051282,0.116666666666667,0.193055555555556,-0.509936507936508,0.560496175871478,0.560496175871478,0.332545565651735,-0.453811053265455,0.299618736383442,0.299618736383442,0.299618736383442,-0.571971819030643,-0.478552432888502,-0.300064935064935,0.341793372319688,0.368445970723198,0.356223748500976,0.320740740740741,0.342362362362362,0.320740740740741,0.28,0.28,0.2,0.378292282430214,0.2,0,-0.0333333333333333,0.1,0.342499662018116,-0.138556067588326,-0.31979020979021
"CDC42",0.401871968299515,0.421415839062898,0.378991596638655,0.314285714285714,0.342857142857143,0.3166463915831,0.389064112011791,0.22,0.336521739130435,0.28,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.157074586106844,0.349064935064935,0.157675438596491,0.120833333333333,0.0833333333333333,0.10952380952381,0.195069444444444,0.0761904761904762,-0.0351423515657092,0.0333333333333333,0.208974358974359,0.17051282051282,0.116666666666667,0.193055555555556,-0.509936507936508,0.560496175871478,0.560496175871478,0.332545565651735,-0.453811053265455,0.299618736383442,0.299618736383442,0.299618736383442,-0.571971819030643,-0.478552432888502,-0.300064935064935,0.341793372319688,0.368445970723198,0.356223748500976,0.320740740740741,0.342362362362362,0.320740740740741,0.28,0.28,0.2,0.378292282430214,0.2,0,-0.0333333333333333,0.1,0.342499662018116,-0.138556067588326,-0.31979020979021
"NOTCHic",0.418057932850559,0.436199073122845,0.396071684587814,0.331555555555555,0.255555555555556,0.327914122914123,0.408095238095238,0.22,0.350952380952381,0.286666666666667,0.184860646599777,0.0979753340184995,0.0814285714285714,0.169486206393227,0.362416906513165,0.172868217054264,0.133333333333333,0.0888888888888889,0.121794871794872,0.202623013483941,0.0833333333333333,-0.0680556641065895,0.0333333333333333,0.223109386369149,0.186267281105991,0.231428571428571,0.221913875598086,-0.515648723257419,0.570966183574879,0.570966183574879,0.327704070042901,-0.436401149588396,0.297654808959157,0.297654808959157,0.297654808959157,-0.581865225333433,-0.467196466441508,-0.295076153383363,0.318693134822167,0.342640078932336,0.330884353741497,0.302564102564103,0.319047619047619,0.302564102564103,0.269230769230769,0.269230769230769,0.2,0.360110062893082,0.2,0,-0.0333333333333333,0.1,0.324493390586849,-0.151206636500754,-0.331283545659456
"TCFLEF",0.616716319831497,0.604889504961545,0.578068312908565,0.547227191413238,0.507692307692308,0.435117130661064,0.527721918035507,0.431428571428571,0.500511033681765,0.472891986062718,0.202196974022267,0.185159955337675,0.175408521303258,0.28168933118468,0.426988143422434,0.311071947687656,0.290419773774612,0.271064935064935,0.24047619047619,0.277799337860399,0.216666666666667,0.225728107960975,0.235064935064935,0.394160333825343,0.370572293958234,0.345082097879802,0.200614156302779,-0.440433218742042,0.576925793017898,0.576925793017898,0.405319016238481,-0.403657064445521,0.384162643045315,0.384162643045315,0.384162643045315,-0.587983970514091,-0.540685660259831,-0.355386034253377,0.260696298586324,0.186261872461542,0.173976649093844,0.237714932126697,0.256679970972424,0.234038461538462,0.209509803921569,0.205833333333333,0.174509803921569,0.594420512820513,0.170833333333333,-0.171428571428571,-0.183333333333333,0.133333333333333,0.314251251068519,-0.261443932411674,-0.437425724388116
"ZEB1",0.446162626296074,0.470815634057813,0.446012484451514,0.41200233216725,0.364176245210728,0.328545641776875,0.356759955083355,0.216666666666667,0.320196078431373,0.276666666666667,0.185035508532918,0.178090546112219,0.166552084573757,0.254182684073306,0.430949994176722,0.275713463987838,0.248570606844981,0.220701754385965,0.218560606060606,0.295928312275764,0.195833333333333,-0.241372505145204,0.173333333333333,0.336712040187976,0.312745098039216,0.283333333333333,0.282768031189084,-0.550482353019713,0.598636570531799,0.598636570531799,0.412129046860606,-0.517510698512849,0.392444007490527,0.392444007490527,0.392444007490527,-0.618409196230339,-0.454187741946324,-0.353367788404631,0.388836957192502,0.407399427800085,0.397418997271709,0.374747610113464,0.385716869612135,0.371827980723246,0.355516840882695,0.352220137585991,0.323809523809524,0.425915574936101,0.32051282051282,-0.133333333333333,-0.158333333333333,0.266666666666667,0.352684561605377,-0.238168449197861,-0.323028293434483
"PAK1",0.431527140713308,0.449284691521914,0.421415839062898,0.378991596638655,0.314285714285714,0.339319422609353,0.437064112011791,0.28,0.389064112011791,0.336521739130435,0.100476967398654,0.108190817545656,0.0933521078682369,0.174074586106844,0.370260587238848,0.185453216374269,0.157675438596491,0.120833333333333,0.138556067588326,0.209179873892297,0.10952380952381,-0.0380356607881324,0.0833333333333333,0.234249084249084,0.208974358974359,0.17051282051282,0.223748624862486,-0.55255945875618,0.600046015099774,0.600046015099774,0.356181929288099,-0.472309221763623,0.332545565651735,0.332545565651735,0.332545565651735,-0.612073341873282,-0.498552432888502,-0.317155844155844,0.355939713783103,0.379756315550785,0.368445970723198,0.341793372319688,0.356223748500976,0.342362362362362,0.320740740740741,0.320740740740741,0.28,0.399675930228956,0.28,-0.0333333333333333,-0.0761904761904762,0.2,0.351522218409093,-0.157074586106844,-0.352386894873083
"LIV1",0.431527140713308,0.449284691521914,0.421415839062898,0.378991596638655,0.314285714285714,0.339319422609353,0.437064112011791,0.28,0.389064112011791,0.336521739130435,0.100476967398654,0.108190817545656,0.0933521078682369,0.174074586106844,0.370260587238848,0.185453216374269,0.157675438596491,0.120833333333333,0.138556067588326,0.209179873892297,0.10952380952381,-0.0380356607881324,0.0833333333333333,0.234249084249084,0.208974358974359,0.17051282051282,0.223748624862486,-0.55255945875618,0.600046015099774,0.600046015099774,0.356181929288099,-0.472309221763623,0.332545565651735,0.332545565651735,0.332545565651735,-0.612073341873282,-0.498552432888502,-0.317155844155844,0.355939713783103,0.379756315550785,0.368445970723198,0.341793372319688,0.356223748500976,0.342362362362362,0.320740740740741,0.320740740740741,0.28,0.399675930228956,0.28,-0.0333333333333333,-0.0761904761904762,0.2,0.351522218409093,-0.157074586106844,-0.352386894873083
"EGR1",0.431527140713308,0.449284691521914,0.421415839062898,0.378991596638655,0.314285714285714,0.339319422609353,0.437064112011791,0.28,0.389064112011791,0.336521739130435,0.100476967398654,0.108190817545656,0.0933521078682369,0.174074586106844,0.370260587238848,0.185453216374269,0.157675438596491,0.120833333333333,0.138556067588326,0.209179873892297,0.10952380952381,-0.0380356607881324,0.0833333333333333,0.234249084249084,0.208974358974359,0.17051282051282,0.223748624862486,-0.55255945875618,0.600046015099774,0.600046015099774,0.356181929288099,-0.472309221763623,0.332545565651735,0.332545565651735,0.332545565651735,-0.612073341873282,-0.498552432888502,-0.317155844155844,0.355939713783103,0.379756315550785,0.368445970723198,0.341793372319688,0.356223748500976,0.342362362362362,0.320740740740741,0.320740740740741,0.28,0.399675930228956,0.28,-0.0333333333333333,-0.0761904761904762,0.2,0.351522218409093,-0.157074586106844,-0.352386894873083
"TGFR",0.578778716536928,0.596575481256332,0.55047619047619,0.593333333333333,0.526666666666667,0.477906804914045,0.518505624792575,0.376190476190476,0.474670008354219,0.423558897243108,0.248268329532223,0.239198540333886,0.22603128054741,0.292171488408338,0.497424541979702,0.374350119484758,0.341791979949875,0.315476190476191,0.234367816091954,0.34020591876374,0.203333333333333,0.0199938312571819,0.258333333333333,0.429168113784834,0.38816091954023,0.343333333333333,0.224788823911631,-0.557068395626748,0.607720196655907,0.607720196655907,0.432644110275689,-0.495249333850688,0.394047619047619,0.394047619047619,0.394047619047619,-0.615671680007053,-0.527638495779285,-0.402218154457639,0.367620206938527,0.405954494958513,0.390099756251693,0.334716981132075,0.367611717974181,0.334716981132075,0.28,0.28,0.2,0.395352393063409,0.2,-0.233333333333333,-0.153333333333333,0.1,0.188550614216174,-0.265617816091954,-0.453116883116883
"Csl",0.445644139747111,0.461369141150056,0.436199073122845,0.396071684587814,0.331555555555555,0.349653253348906,0.454834368530021,0.286666666666667,0.408095238095238,0.350952380952381,0.206429274050757,0.114086445129611,0.0979753340184995,0.185865516738055,0.382055732698267,0.201550387596899,0.172868217054264,0.133333333333333,0.151206636500754,0.216164680150607,0.121794871794872,-0.0702182293564031,0.0888888888888889,0.246745750005512,0.223109386369149,0.186267281105991,0.248743143890769,-0.559934437543133,0.610745189099741,0.610745189099741,0.349027599454665,-0.45459686824283,0.327704070042901,0.327704070042901,0.327704070042901,-0.622605966074174,-0.48708018737174,-0.310540070909137,0.330789909015715,0.354018009178191,0.342640078932336,0.318693134822167,0.330884353741497,0.319047619047619,0.302564102564103,0.302564102564103,0.269230769230769,0.378361990913647,0.269230769230769,-0.0333333333333333,-0.0833333333333333,0.2,0.332354450915916,-0.169486206393227,-0.364002439668673
"SMAD",0.488677555363617,0.502975058389689,0.473891393051044,0.431991951710262,0.371428571428571,0.386907277758084,0.469728180671541,0.314285714285714,0.422612796056157,0.369124423963134,0.229016604874041,0.118864696946889,0.204578982661174,0.291241232108955,0.405265088210896,0.308143790849673,0.276143790849673,0.238888888888889,0.250833333333333,0.325421170227622,0.220833333333333,-0.0667478722086775,0.205555555555556,0.352375478927203,0.324597701149425,0.286666666666667,0.255005915409642,-0.575333164186459,0.625774896559123,0.625774896559123,0.435794666549263,-0.473384541103292,0.412439403391368,0.412439403391368,0.412439403391368,-0.636235088519109,-0.507012872327576,-0.350796598277801,0.347298644600803,0.372538020148541,0.360683916805076,0.331471306471307,0.347522451404804,0.331886087768441,0.31031746031746,0.31031746031746,0.271428571428571,0.390791494866198,0.271428571428571,-0.15,-0.183333333333333,0.2,0.24532261903989,-0.273769113149847,-0.387074066873437
"SNAI1",0.453509351640881,0.469647594747721,0.449284691521914,0.421415839062898,0.378991596638655,0.257646824744585,0.469351107527486,0.336521739130435,0.437064112011791,0.389064112011791,0.118334110255796,0.118891924556726,0.108190817545656,0.188637692902961,0.387388792367053,0.210453216374269,0.185453216374269,0.157675438596491,0.157074586106844,0.222356344480532,0.138556067588326,-0.0409521877743878,0.120833333333333,0.25465724751439,0.234249084249084,0.208974358974359,0.239220322975694,-0.58838500392752,0.631165326292886,0.631165326292886,0.372766494148525,-0.487956890157406,0.356181929288099,0.356181929288099,0.356181929288099,-0.644830306330535,-0.514941610828148,-0.329895118083237,0.368553973380909,0.389410419835761,0.379756315550785,0.355939713783103,0.368445970723198,0.356223748500976,0.341793372319688,0.342362362362362,0.320740740740741,0.415293645846671,0.320740740740741,-0.0833333333333333,-0.10952380952381,0.28,0.358594586830146,-0.174074586106844,-0.378746727509066
"GLI",0.492922686618507,0.60776226925383,0.575056386900889,0.530402298850575,0.468333333333333,0.402318899357335,0.555098777833584,0.402857142857143,0.509242424242424,0.461190476190476,0.15473324072645,0.158369988985897,0.144856475472383,0.317994003969359,0.407181927674288,0.237593239050006,0.206343239050006,0.175730994152047,0.273339598997494,0.25561322498076,0.247023809523809,-0.0283266338728154,0.138888888888889,0.282264430971327,0.251788240495137,0.214288240495137,0.231531241619737,-0.586816816816817,0.635670336234852,0.635670336234852,0.451419399277114,-0.500917290272698,0.423894646801867,0.423894646801867,0.423894646801867,-0.646560632350106,-0.532213455666333,-0.408096380774824,0.378649925309863,0.407788613612852,0.3945788108633,0.457798861480076,0.378345044629534,0.35765538945712,0.428387096774194,0.328387096774194,0.38,0.415939009661836,0.28,-0.0833333333333333,-0.20952380952381,0.2,0.317462980812182,-0.297829394915861,-0.406828778636127
