"","FOXC2","TGF","TGFR","CDC42","PAK1","EGR1","MEK","SNAI1","ERK","cfos","HEY1","TWIST1","ILK","SMAD","SHH","AKT","IKK","NFB","SMO","Csn","Jagged","FUS","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","SNAI2","cateninmemb","ZEB2","ZEB1","RAS","RAF","PI3K","DELTA","Ecadherin","miR200","GSK3","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","SUFU","AXIN2","TrCP","LIV1","Patched","Destcompl","RKIP"
"STAT",0.198082591689814,0.196,0.178,0.15,0.13,0.2,0.190974967061924,0.11447493785505,0.175757575757576,0.166666666666667,0.0183050847457627,0.0698332124728064,0.0247619047619048,0.0225396825396825,0.0280345651774223,0.00527103923330338,-0.00793650793650794,-0.0222222222222222,0.000952380952380955,-0.0333333333333333,0.0465384615384615,-0.019047619047619,0.0114549085167642,-0.00400900900900901,-0.0283333333333333,-0.0112365894974591,-0.31,0.101122984175436,-0.0565003114369447,0.425023106288929,0.425023106288929,-0.0330083865409952,-0.0451295986622074,-0.0451295986622074,-0.0451295986622074,-0.195758431588635,-0.440095065349388,0.0460122607645339,0.0274121522954178,0.00965007215007215,0.0188755669295641,-0.00146103896103896,0.009843308865048,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,0.0333333333333333,-0.044031284031284,0,0,-0.0198712998712999,-0.0644393302518322,-0.136692811692812
"Csn",0.244252889579106,0.272858159765556,0.245135387488329,0.198730158730159,0.14,0.106666666666667,0.238783068783069,0.151073937839943,0.203333333333333,0.156666666666667,0.0314285714285714,0.289744567527694,0.023840281855549,0.0271082557117582,0.113168051228799,0.181263244381301,0.157369439071567,0.125454545454545,0.0825,0.08,0.171896997182711,0.0575,0.252278806259346,0.225748194014448,0.186274509803922,0.169414893617021,-0.389302685550654,0.435286210818857,-0.4376520497313,0.426377941131424,0.426377941131424,0.235417401967742,0.208321885398541,0.208321885398541,0.208321885398541,-0.510643802480678,-0.433663681222485,-0.146704626997247,0.415544773945839,0.372955730969856,0.395766585406098,0.348511286525412,0.373398164353466,0.348511286525412,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,-0.02,0.406284025787966,-0.18,0.2,-0.101018518518519,0.0495872864728096,-0.166915890935499
"ERK",0.359523208300715,0.388660399539077,0.358731321524893,0.315980392156863,0.265,0.187241379310345,0.205529569992902,0.257861950146623,0.170318302387268,0.225019157088123,0.134499159603762,0.427996450601701,0.117347207586934,0.120548714178271,0.2205549911358,0.195748622631228,0.170120481927711,0.14,0.186787365177196,0.1,0.285521624574256,0.161363636363636,0.268564267812388,0.239909297052154,0.202131519274376,0.121595546273938,-0.396765716595917,0.686170099713837,-0.541686943088144,0.434108620252731,0.434108620252731,0.156943606269485,0.129388050713929,0.129388050713929,0.129388050713929,-0.61441982059153,-0.443804428236704,-0.212393491776383,0.417509424072679,0.377930424006373,0.398624849416838,0.352867132867133,0.376738056964007,0.351288185498712,0.32,0.318421052631579,0.27,0.268421052631579,-0.125,0.411201352380991,-0.0857142857142857,0.2,-0.206190350251823,0.0581102320642532,-0.275939393939394
"Jagged",0.3,0.323913043478261,0.25,0.2,0.2,0.1,0.28,0.221969696969697,0.22,0.2,0.12,0.288095238095238,0.02,0.0258823529411765,0.0813186813186813,0.05,0,0,0,0,0.152857142857143,0,0.219230769230769,0.15,0.1,0.12,-0.4,0.438117106773823,-0.430848861283644,0.452380952380952,0.452380952380952,0.252727272727273,0.18,0.18,0.18,-0.509766081871345,-0.462222222222222,-0.234920634920635,0.349516775359472,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0,0.28,0,0,-0.0428571428571429,0.300540540540541,-0.2
"DELTA",0.3,0.323913043478261,0.25,0.2,0.2,0.1,0.28,0.221969696969697,0.22,0.2,0.12,0.288095238095238,0.02,0.0258823529411765,0.0813186813186813,0.05,0,0,0,0,0.152857142857143,0,0.219230769230769,0.15,0.1,0.12,-0.4,0.438117106773823,-0.430848861283644,0.452380952380952,0.452380952380952,0.252727272727273,0.18,0.18,0.18,-0.509766081871345,-0.462222222222222,-0.234920634920635,0.349516775359472,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0,0.28,0,0,-0.0428571428571429,0.300540540540541,-0.2
"cMet",0.398795698924731,0.401111111111111,0.37,0.35,0.3,0.325,0.418703703703704,0.390721154999161,0.415,0.385,0.183514492753623,0.389459468939633,0.161212121212121,0.167733860342556,0.176712260878184,0.255829228243021,0.252380952380952,0.266666666666667,0.138888888888889,0.2,0.21,0.15,0.27012987012987,0.242857142857143,0.242857142857143,0.0109523809523809,-0.319241192411924,0.488606948606949,-0.196421875615424,0.453978034517187,0.453978034517187,0.245318957771788,0.203809523809524,0.203809523809524,0.203809523809524,-0.330455449811127,-0.464090177133655,-0.25876887340302,0.165800604434325,0.086969696969697,0.132277877161598,0.0233333333333333,0.0861240310077519,0.0233333333333333,-0.05,0.05,-0.1,0,-0.1,0.0419047619047619,-0.2,0.1,-0.154678362573099,-0.127328695606007,-0.445490196078431
"NFB",0.501822115491976,0.551982910958159,0.507501305606989,0.448179271708683,0.386274509803922,0.133333333333333,0.294928571428571,0.217742460745451,0.240761904761905,0.169333333333333,0.0452723311546841,0.556859824979958,0.0312741312741313,0.0356219573610878,0.165917047091277,0.249210869451833,0.211861471861472,0.154285714285714,0.117826086956522,0.214285714285714,0.301947460140116,0.07,0.399007513083741,0.359281485686481,0.303349282296651,0.334226190476191,-0.396506651243493,0.693943473244414,-0.605789436144877,0.455164513299734,0.455164513299734,0.412333166885515,0.378657074340528,0.378657074340528,0.378657074340528,-0.723257412176251,-0.458348057171587,-0.249030250215186,0.458844557940554,0.405876423318284,0.43394659875688,0.374481074481074,0.405876423318284,0.374481074481074,0.331623931623932,0.331623931623932,0.277777777777778,0.277777777777778,-0.02,0.441079687302988,-0.2,0.2,-0.144749163879599,0.157591587223327,-0.210755033557047
"SMO",0.413227513227513,0.50969696969697,0.46969696969697,0.433333333333333,0.4,0.2,0.3875,0.33302920707984,0.35,0.3,0.0376470588235294,0.272857142857143,0.0236111111111111,0.0338151927437642,0.254326923076923,0.203030303030303,0.166666666666667,0.133333333333333,0.2,0.1,0.201282051282051,0.3,0.300540540540541,0.26,0.22,0.25,-0.404545454545454,0.456705041164365,-0.396067382483333,0.46937025238912,0.46937025238912,0.381713800904977,0.347596153846154,0.347596153846154,0.347596153846154,-0.438860856842737,-0.481040404040404,-0.332913953573925,0.29965310430657,0.344444444444444,0.273784378437844,0.3,0.241111111111111,0.196666666666667,0.25,0.15,0.2,0.1,-0.3,0.366472607851918,0,0.1,-0.223076923076923,0.319046051987228,-0.333916083916084
"SRC",0.395192307692308,0.38962962962963,0.36,0.34,0.333333333333333,0.3,0.325010283833813,0.282147525676937,0.309625668449198,0.327272727272727,0.0738095238095238,0.250750790018525,0.0557271557271557,0.059023859023859,0.0493027440395861,0.138571428571429,0.13,0.13,0.0111111111111111,0.15,0.0841389187253849,0,0.149350649350649,0.125714285714286,0.105714285714286,0.00588235294117647,-0.347883787661406,0.205831107641399,-0.107340925056383,0.471666666666667,0.471666666666667,0.21869085721019,0.191973299958281,0.191973299958281,0.191973299958281,-0.268211736448966,-0.484195804195804,-0.150553737139103,0.0789885190704863,0.0344262295081967,0.0603521554341226,0,0.0344262295081967,0,-0.05,-0.05,-0.1,0,-0.0333333333333333,-0.0271686004505079,-0.1,0,-0.0264957264957265,-0.0796928515255108,-0.386787665886027
"TGF",0.456060606060606,0.469230769230769,0.520512820512821,0.466666666666667,0.4,0.233333333333333,0.347985347985348,0.343506493506494,0.30952380952381,0.276190476190476,0.164973262032086,0.387179487179487,0.142424242424242,0.149400986610289,0.177272727272727,0.2625,0.25,0.2,0.133333333333333,0.2,0.236631016042781,0.1,0.296363636363636,0.26,0.2,0.114285714285714,-0.441666666666667,0.539101492047877,-0.455541292255028,0.485852713178295,0.485852713178295,0.326890756302521,0.261176470588235,0.261176470588235,0.261176470588235,-0.526675724637681,-0.497846889952153,-0.304977203647416,0.394334584897789,0.288235294117647,0.348235294117647,0.2,0.288235294117647,0.2,0.1,0.1,0,0,-0.1,0.291666666666667,-0.1,0,-0.15,0.0144657585024558,-0.304761904761905
"NOTCH",0.3625,0.387847469707769,0.323913043478261,0.25,0.2,0.2,0.342962962962963,0.26530303030303,0.28,0.22,0.125263157894737,0.337247780468119,0.0258823529411765,0.0280100125156446,0.114652014652015,0.0944444444444444,0.05,0,0.0428571428571429,0,0.184857142857143,0,0.174069478908189,0.219230769230769,0.15,0.164444444444444,-0.452380952380952,0.486225214881931,-0.480848861283644,0.509243697478992,0.509243697478992,0.302727272727273,0.252727272727273,0.252727272727273,0.252727272727273,-0.567925077687245,-0.516767676767677,-0.275150519978106,0.379768876199808,0.314685314685315,0.349516775359472,0.269230769230769,0.314685314685315,0.269230769230769,0.2,0.2,0.1,0.1,0,0.338490566037736,0,0,-0.0813186813186813,0.329450493147176,-0.251724137931034
"FUS",0.452116402116402,0.54969696969697,0.50969696969697,0.46969696969697,0.433333333333333,0.3,0.422439759036145,0.361600635651269,0.3875,0.35,0.0487581699346405,0.30728337236534,0.0338151927437642,0.038899938506476,0.279032805429864,0.236363636363636,0.203030303030303,0.166666666666667,0.223076923076923,0.133333333333333,0.226615384615385,0.2,0.338635778635779,0.300540540540541,0.26,0.268367346938776,-0.446363636363636,0.49065338064776,-0.431989712580421,0.511092106693756,0.511092106693756,0.410602689793866,0.381713800904977,0.381713800904977,0.381713800904977,-0.479580281303169,-0.521580944580945,-0.356201624806802,0.320890797696162,0.377777777777778,0.29965310430657,0.344444444444444,0.273784378437844,0.241111111111111,0.3,0.196666666666667,0.25,0.15,-0.3,0.403579526090912,-0.1,0.1,-0.254326923076923,0.33625673447981,-0.372377622377622
"TGFR",0.500638919313618,0.521230769230769,0.469230769230769,0.520512820512821,0.466666666666667,0.276190476190476,0.376798907307382,0.383329502356051,0.347985347985348,0.30952380952381,0.17135624075549,0.434118262689691,0.149400986610289,0.15348261926335,0.207272727272727,0.283712121212121,0.2625,0.25,0.15,0.2,0.272114887010523,0.133333333333333,0.340363636363636,0.296363636363636,0.26,0.14331797235023,-0.485852713178295,0.593616542215101,-0.511832682983505,0.530407168623839,0.530407168623839,0.378676470588235,0.326890756302521,0.326890756302521,0.326890756302521,-0.583302230661778,-0.539385351490615,-0.347006189154663,0.429399519962724,0.349019607843137,0.394334584897789,0.288235294117647,0.348235294117647,0.288235294117647,0.2,0.2,0.1,0.1,-0.1,0.361936936936937,-0.2,0,-0.177272727272727,0.0496682507142938,-0.34047619047619
"cfos",0.386,0.412211078878298,0.365754385964912,0.301754385964912,0.233333333333333,0.32,0.376269592476489,0.282970990695129,0.324545454545455,0.27,0.0296109839816934,0.355130730050934,0.0282079343365253,0.0302912676698586,0.12,0.121533613445378,0.0803571428571429,0.0428571428571429,0.0666666666666667,0,0.18862977602108,0.0333333333333333,0.195078145897818,0.150815850815851,0.096969696969697,0.190909090909091,-0.496304591265398,0.532145920356447,-0.526110559329907,0.546331324921798,0.546331324921798,0.342413984461709,0.302413984461709,0.302413984461709,0.302413984461709,-0.604197321663027,-0.557114983687435,-0.307277212457601,0.421195132087646,0.363283283283283,0.394515669515669,0.328148148148148,0.364259259259259,0.328148148148148,0.28,0.28,0.2,0.2,0,0.394185463659148,0,0.1,-0.1,0.364153028779244,-0.283931623931624
"CDC42",0.386,0.412211078878298,0.365754385964912,0.301754385964912,0.333333333333333,0.22,0.376269592476489,0.282970990695129,0.324545454545455,0.27,0.0296109839816934,0.355130730050934,0.0282079343365253,0.0302912676698586,0.12,0.121533613445378,0.0803571428571429,0.0428571428571429,0.0666666666666667,0,0.18862977602108,0.0333333333333333,0.195078145897818,0.150815850815851,0.096969696969697,0.190909090909091,-0.496304591265398,0.532145920356447,-0.526110559329907,0.546331324921798,0.546331324921798,0.342413984461709,0.302413984461709,0.302413984461709,0.302413984461709,-0.604197321663027,-0.557114983687435,-0.307277212457601,0.421195132087646,0.363283283283283,0.394515669515669,0.328148148148148,0.364259259259259,0.328148148148148,0.28,0.28,0.2,0.2,0,0.394185463659148,0,0.1,-0.1,0.364153028779244,-0.283931623931624
"NOTCHic",0.408718487394958,0.433900101286716,0.387847469707769,0.323913043478261,0.25,0.22,0.399484702093398,0.296337513061651,0.342962962962963,0.28,0.131145510835913,0.37499612483898,0.0280100125156446,0.0308137508334016,0.134652014652015,0.138034188034188,0.0944444444444444,0.05,0.0813186813186813,0,0.208386554621849,0.0428571428571429,0.218513923352633,0.174069478908189,0.219230769230769,0.220542005420054,-0.503324348607367,0.525855605025668,-0.525083662122218,0.558450046685341,0.558450046685341,0.342425765189584,0.302727272727273,0.302727272727273,0.302727272727273,-0.616888395071615,-0.568619528619528,-0.306242956952896,0.406498435948236,0.348751248751249,0.379768876199808,0.314685314685315,0.349516775359472,0.314685314685315,0.269230769230769,0.269230769230769,0.2,0.2,0,0.382152537868722,0,0.1,-0.114652014652015,0.351352021160758,-0.296339522546419
"TCFLEF",0.600339223313365,0.589664570043469,0.563646870928424,0.533549783549783,0.495454545454545,0.426984126984127,0.518373603638098,0.417173700371406,0.492474323062558,0.466984126984127,0.139909560723514,0.418727499372661,0.0824358974358974,0.0863574660633484,0.206976121102515,0.290422989990313,0.272631578947368,0.253333333333333,0.172895752895753,0.22,0.234162167420594,0.148571428571429,0.376094106849374,0.353630338733432,0.327857142857143,0.193292682926829,-0.426615997659683,0.478322918823428,-0.428040994203854,0.56076001547249,0.56076001547249,0.404908224551082,0.382187136115708,0.382187136115708,0.382187136115708,-0.593412403614647,-0.572810983267149,-0.353286094862491,0.202004293292748,0.264687369718604,0.183615031547781,0.238713343744578,0.261180664006015,0.235036873156342,0.209509803921569,0.205833333333333,0.174509803921569,0.170833333333333,-0.12,0.597611129762304,-0.16,0.133333333333333,-0.190990990990991,0.319560366586515,-0.425211888640316
"PAK1",0.42057249070632,0.446904956429319,0.412211078878298,0.365754385964912,0.301754385964912,0.27,0.426269592476489,0.308819554663797,0.376269592476489,0.324545454545455,0.0380221989349644,0.385966464921251,0.0302912676698586,0.0352912676698586,0.136470588235294,0.150700280112045,0.121533613445378,0.0803571428571429,0.1,0.0428571428571429,0.209591975333795,0.0666666666666667,0.227221003040675,0.195078145897818,0.150815850815851,0.224242424242424,-0.53789751161938,0.565729410037497,-0.563646375948818,0.586401011332948,0.586401011332948,0.376686284931193,0.342413984461709,0.342413984461709,0.342413984461709,-0.644211952240935,-0.59761085145603,-0.332980777185556,0.444117768190798,0.393232521861963,0.421195132087646,0.363283283283283,0.394515669515669,0.364259259259259,0.328148148148148,0.328148148148148,0.28,0.28,-0.0333333333333333,0.430107793756235,0,0.2,-0.12,0.382545609922984,-0.31806336045857
"LIV1",0.42057249070632,0.446904956429319,0.412211078878298,0.365754385964912,0.301754385964912,0.27,0.426269592476489,0.308819554663797,0.376269592476489,0.324545454545455,0.0380221989349644,0.385966464921251,0.0302912676698586,0.0352912676698586,0.136470588235294,0.150700280112045,0.121533613445378,0.0803571428571429,0.1,0.0428571428571429,0.209591975333795,0.0666666666666667,0.227221003040675,0.195078145897818,0.150815850815851,0.224242424242424,-0.53789751161938,0.565729410037497,-0.563646375948818,0.586401011332948,0.586401011332948,0.376686284931193,0.342413984461709,0.342413984461709,0.342413984461709,-0.644211952240935,-0.59761085145603,-0.332980777185556,0.444117768190798,0.393232521861963,0.421195132087646,0.363283283283283,0.394515669515669,0.364259259259259,0.328148148148148,0.328148148148148,0.28,0.28,-0.0333333333333333,0.430107793756235,0,0.2,-0.12,0.382545609922984,-0.31806336045857
"EGR1",0.42057249070632,0.446904956429319,0.412211078878298,0.365754385964912,0.301754385964912,0.27,0.426269592476489,0.308819554663797,0.376269592476489,0.324545454545455,0.0380221989349644,0.385966464921251,0.0302912676698586,0.0352912676698586,0.136470588235294,0.150700280112045,0.121533613445378,0.0803571428571429,0.1,0.0428571428571429,0.209591975333795,0.0666666666666667,0.227221003040675,0.195078145897818,0.150815850815851,0.224242424242424,-0.53789751161938,0.565729410037497,-0.563646375948818,0.586401011332948,0.586401011332948,0.376686284931193,0.342413984461709,0.342413984461709,0.342413984461709,-0.644211952240935,-0.59761085145603,-0.332980777185556,0.444117768190798,0.393232521861963,0.421195132087646,0.363283283283283,0.394515669515669,0.364259259259259,0.328148148148148,0.328148148148148,0.28,0.28,-0.0333333333333333,0.430107793756235,0,0.2,-0.12,0.382545609922984,-0.31806336045857
"ZEB1",0.459982032667147,0.491563234928725,0.456603885335229,0.414937218668562,0.362698412698413,0.216666666666667,0.362580437580438,0.336692153025749,0.320238095238095,0.275,0.145686470930453,0.467092410587879,0.120666666666667,0.124883534136546,0.247577691126078,0.272718618251054,0.24093567251462,0.211111111111111,0.205952380952381,0.166666666666667,0.321523892720663,0.180952380952381,0.355772537754105,0.32157340355497,0.284838709677419,0.292553940597635,-0.547651167240719,0.525760084301367,-0.641266610472867,0.599407557694619,0.599407557694619,0.45113489580704,0.419914610545551,0.419914610545551,0.419914610545551,-0.643969299487207,-0.618982606087869,-0.384630197473323,0.495304455532597,0.450386927754216,0.474233558160262,0.420975163048334,0.448864430643484,0.419493801272854,0.384436701509872,0.38223889931207,0.338095238095238,0.335897435897436,-0.147619047619048,0.479836386797048,-0.133333333333333,0.266666666666667,-0.229029304029304,0.398606849339603,-0.324563176071011
"Csl",0.442872333548804,0.468034716671332,0.433900101286716,0.387847469707769,0.323913043478261,0.28,0.44890998944972,0.322946955121737,0.399484702093398,0.342962962962963,0.141145510835913,0.405948505791361,0.0308137508334016,0.0369069407975593,0.151823731823732,0.168468970642884,0.138034188034188,0.0944444444444444,0.114652014652015,0.05,0.230125685056631,0.0813186813186813,0.250866864529104,0.218513923352633,0.174069478908189,0.251120517816748,-0.546835798989047,0.559445151528359,-0.562850883024831,0.599521475256769,0.599521475256769,0.376010670849962,0.342425765189584,0.342425765189584,0.342425765189584,-0.657303535486755,-0.610403566178214,-0.331620600457428,0.429448288455611,0.378751248751249,0.406498435948236,0.348751248751249,0.379768876199808,0.349516775359472,0.314685314685315,0.314685314685315,0.269230769230769,0.269230769230769,-0.0428571428571429,0.417415695763459,0,0.2,-0.134652014652015,0.369233641098453,-0.331662905630996
"GLI",0.447379898002808,0.568190614306016,0.532169108929672,0.485690235690236,0.422727272727273,0.388888888888889,0.537601893805499,0.357806901132613,0.491260430390865,0.443434343434343,0.0532287642702203,0.398995175567179,0.0443131868131868,0.0487576312576313,0.244826429528791,0.185740930518549,0.156217120994739,0.124509803921569,0.205222734254992,0.0833333333333333,0.216021537583797,0.176190476190476,0.245555555555556,0.212222222222222,0.172222222222222,0.214912891986063,-0.557295725108225,0.577603670402217,-0.574375896296818,0.606249163023357,0.606249163023357,0.462110788457412,0.426917655410202,0.426917655410202,0.426917655410202,-0.655908421186549,-0.619005663183254,-0.413685735198016,0.456471809189997,0.401780841790555,0.432147484865672,0.469386475593372,0.403092226398649,0.370390804597701,0.431724137931034,0.331724137931034,0.38,0.28,-0.133333333333333,0.436384008148714,-0.0333333333333333,0.2,-0.227300656332914,0.341209219151815,-0.379309507696604
"SMAD",0.488405287653325,0.509596328303144,0.473021275449021,0.426200466200466,0.366200466200466,0.309523809523809,0.465036898007934,0.373277064551624,0.415798319327731,0.362857142857143,0.176449487866038,0.426213696136585,0.133101985733565,0.0379800345140525,0.252469807722867,0.288127928516945,0.255797101449275,0.216666666666667,0.211785714285714,0.183333333333333,0.334230227570976,0.180357142857143,0.356468585324442,0.321704636826588,0.277802197802198,0.256990622335891,-0.564857142857143,0.572034212597342,-0.575204329542873,0.616326451082706,0.616326451082706,0.4602814105972,0.425601275917065,0.425601275917065,0.425601275917065,-0.668710378761694,-0.626336106515538,-0.369878904802545,0.443790035621284,0.391276065981948,0.420119545527436,0.358683473389356,0.392264392324094,0.359428571428571,0.321428571428571,0.321428571428571,0.271428571428571,0.271428571428571,-0.142857142857143,0.426735057952111,-0.133333333333333,0.2,-0.234366359447005,0.279461176894654,-0.368775380015555
"SNAI1",0.448791668788511,0.475491795695769,0.446904956429319,0.412211078878298,0.365754385964912,0.324545454545455,0.462419827218273,0.232331749785748,0.426269592476489,0.376269592476489,0.04779663502519,0.412488204051686,0.0352912676698586,0.0400381031128966,0.152717727823395,0.176481530112045,0.150700280112045,0.121533613445378,0.12,0.0803571428571429,0.229434288080181,0.1,0.254937189293447,0.227221003040675,0.195078145897818,0.245643202452541,-0.573924447646316,0.594156337138997,-0.595025311888014,0.619376882646621,0.619376882646621,0.403974420524413,0.376686284931193,0.376686284931193,0.376686284931193,-0.677950554064643,-0.631989116868778,-0.353936408584873,0.463073072444972,0.419987740078282,0.444117768190798,0.393232521861963,0.421195132087646,0.394515669515669,0.363283283283283,0.364259259259259,0.328148148148148,0.328148148148148,-0.0666666666666667,0.460228275683946,-0.0428571428571429,0.28,-0.136470588235294,0.397607897578704,-0.347315061138842
