"","KLF4","miR200","Ecadherin","cateninmemb","RKIP","GSK3","Csn","HEY1","ILK","SMAD","NFB","FUS","SMO","IKK","SHH","AKT","Csl","Patched","NOTCHic","Jagged","NOTCH","SUFU","TrCP","EGR1","LIV1","SNAI1","cfos","RAF","PI3K","DELTA","SOSGRB2","ERK","DSH","STAT","RAS","MEK","PAK1","Frizzled","TWIST1","SRC","CDC42","Wnt","cMet","FOXC2","GLI","TGFR","CD44","Destcompl","TGF","TCFLEF","cateninnuc","AXIN2","SNAI2","ZEB2","ZEB1"
"FOXC2",-0.259259259259259,-0.346890516890517,-0.669144132093241,-0.592081001654172,-0.307359307359307,-0.348106210167198,0.2,0.111306340718105,0.0906666666666667,0.105159420289855,0.26,0.233333333333333,0.266666666666667,0.302857142857143,0.324798387096774,0.33989417989418,0.305454545454545,-0.297916666666667,0.342296650717703,0.354196538094589,0.376317269274404,-0.2,-0.1,0.2,0.233333333333333,0.302016292144666,0.281818181818182,0.375897435897436,0.375897435897436,0.375897435897436,0.28138936535163,0.328877005347594,0.266666666666667,0.266666666666667,0.400897435897436,0.360835768234192,0.263636363636364,0.296078431372549,0.40237908496732,0.296078431372549,0.307636363636364,0.326310989512084,0.326310989512084,0.374645985973875,0.353897196408636,0.335636363636364,0.353267511251214,0.341987979717644,0.361490022172949,0.376344434328137,0.395148917516182,0.40259545543053,0.464333025702278,0.337461300309598,0.337461300309598
"cateninnuc",-0.270927243969949,-0.352609896781447,-0.479897309589329,-0.40398269361445,-0.311983530943829,-0.337543868012463,0.270833333333333,0.123157343831609,0.101939393939394,0.10835139939642,0.304166666666667,0.163333333333333,0.18792349726776,0.328166666666667,0.216676254409264,0.345354166666667,0.332203389830509,-0.204693683603163,0.356621994481671,0.247158520925196,0.375258358118035,-0.133333333333333,-0.233333333333333,0.297101449275362,0.160606060606061,0.291174450279241,0.320910973084886,0.372717552717553,0.372717552717553,0.372717552717553,0.253996077635761,0.343695783211468,0.191375291375291,0.191375291375291,0.388037418037418,0.361126975872019,0.291428571428571,0.217402688635565,0.305567195735351,0.216375291375291,0.316043956043956,0.238054862548609,0.237027465288335,0.363964538194046,0.254260396145447,0.33673361121637,0.253297306558176,0.318934662794343,0.353982519513313,0.26681485696893,0.178110079283208,0.395148917516182,0.459580804477144,0.344216727129836,0.344216727129836
"SHH",-0.3,-0.366666666666667,-0.336111111111111,-0.299068100358423,-0.22,-0.271794871794872,0,0.0666666666666667,0.0666666666666667,0.1,0,0.2,0.3,0.1,0.253333333333333,0.15,0.1,-0.333333333333333,0.2,0.162857142857143,0.233333333333333,-0.2,0,0,0,0.216666666666667,0.1,0.25,0.25,0.25,0.25,0.2,0.2,0.1,0.303846153846154,0.3,0.2,0.2,0.175,0.1,0.3,0.2,0.1,0.325,0.25,0.4,0.15,0.272987012987013,0.42,0.196666666666667,0.241111111111111,0.276190476190476,0.36727969348659,0.35,0.35
"AKT",-0.330268780926676,-0.359936071339157,-0.483851543906164,-0.417875851975734,-0.134392653382423,-0.204570474328539,0.2,0.0860705137882543,0.0782917967186875,0.0867093051361959,0.252941176470588,0.1,0.115384615384615,0.276018099547511,0.147840755735493,0.195210018739431,0.203846153846154,-0.132051282051282,0.236104218362283,0.201126408737074,0.2592749500696,-0.05,-0.166666666666667,0.0952380952380952,0.2,0.132103931325899,0.136414565826331,0.21635343651782,0.21635343651782,0.21635343651782,0.182905982905983,0.167562106809937,0.255555555555556,0.255555555555556,0.242136569047941,0.19667603086057,0.166176470588235,0.303381642512077,0.272277207477663,0.303381642512077,0.202176470588235,0.332612411742847,0.332612411742847,0.23463463536891,0.356634758111562,0.237135820181731,0.356906197053581,-0.00606955058879704,0.261607119275387,0.376906197053581,0.392906197053581,0.388194258208699,0.416063743743189,0.357612639591324,0.357612639591324
"SNAI2",-0.281538461538462,-0.374558822385665,-0.80570255514851,-0.637105914173758,-0.338141025641026,-0.386470390385003,0.2,0.116169379144063,0.0934272300469483,0.112087517128288,0.275,0.26,0.301176470588235,0.326724137931034,0.365447812927988,0.36889281262983,0.332894736842105,-0.335870348139256,0.376754385964912,0.401762028014479,0.41441672362725,-0.2,-0.1,0.2,0.26,0.341863425491741,0.288235294117647,0.412827607766268,0.412827607766268,0.412827607766268,0.323799864773496,0.349019607843137,0.305454545454545,0.305454545454545,0.442051352058506,0.390911499735029,0.276470588235294,0.341168831168831,0.440584351596374,0.341168831168831,0.333613445378151,0.373563197366014,0.373563197366014,0.413829976698257,0.402974962071897,0.37207498383969,0.40259545543053,0.385743987724154,0.402509766448385,0.427956280172798,0.449229572098264,0.447100565604419,0.710377886140621,0.365325991189427,0.365325991189427
"NFB",-0.327930402930403,-0.374341830943696,-0.689409446406495,-0.590057242001518,-0.169328849656719,-0.248190045248869,0.314285714285714,0.188557791537668,0.175577557755776,0.187845215748341,0.264285714285714,0.18,0.228148148148148,0.321042471042471,0.273972826170583,0.356598026598027,0.307359307359307,-0.252286079182631,0.362914862914863,0.304872330813887,0.400979379043895,-0.12,-0.3,0.114285714285714,0.2,0.169781546159775,0.150285714285714,0.377781754045142,0.377781754045142,0.377781754045142,0.307417072091995,0.210285714285714,0.277777777777778,0.277777777777778,0.409622550065043,0.255383753501401,0.344444444444444,0.331623931623932,0.511115779645192,0.331623931623932,0.398989898989899,0.373162393162393,0.373162393162393,0.428706300339766,0.402375876308461,0.446189898989899,0.401975952484427,0.153706118714663,0.486063316711418,0.4277143491089,0.449910427540272,0.43806990881459,0.682104037962217,0.374677901650678,0.374677901650678
"Csn",-0.351816418875242,-0.390162989160879,-0.491466929793209,-0.428773884353863,-0.115650442912848,-0.147945805153159,0.105,0.0730481727574751,0.0662525879917184,0.075250017297631,0.155,0.0873015873015873,0.108513708513709,0.184166666666667,0.137757494870134,0.205766666666667,0.201010101010101,-0.124642740771773,0.238672438672439,0.184772682590595,0.263672438672439,-0.0428571428571429,-0.18,0.106666666666667,0.2,0.0953847563569195,0.143030303030303,0.209087341122483,0.209087341122483,0.209087341122483,0.155344171566932,0.178095238095238,0.266666666666667,0.266666666666667,0.23576680369446,0.212470238095238,0.127272727272727,0.318390804597701,0.261951067477014,0.318390804597701,0.167571234735414,0.348511286525412,0.348511286525412,0.201417605395019,0.37252875377432,0.208596875761055,0.372955730969856,0.0477328891580086,0.236043176477045,0.392891422288184,0.409668331488425,0.405936614730878,0.428549658839323,0.381593052109181,0.381593052109181
"STAT",-0.274559318676966,-0.399411320045785,-0.181838277581087,-0.0502627480149979,-0.102668918918919,0.0439697374276814,0,0.056,0.0586151368760064,0.0574657115886501,0.02,0.025,0.045,0.0342857142857143,0.0610526857378061,0.0427602905569007,-0.00392156862745098,-0.0566279069767442,0.0204027556968733,0.0653637041438041,0.0330241149201743,0,0,0.2,0,0.0813714888690776,0.16,-0.044194582299421,-0.044194582299421,-0.044194582299421,-0.0221674876847291,0.16,-0.0571428571428571,-0.0571428571428571,-0.0322542837919583,0.173978494623656,0.122727272727273,-0.0196428571428571,0.0497653770517339,-0.0196428571428571,0.128977272727273,-0.00146103896103896,-0.00146103896103896,0.167124744376278,0.0094633307868602,0.152661483253589,0.00965007215007215,-0.065882076435952,0.170535879388854,0.016905592654804,0.0232226367549232,-0.0441989383165854,0.0960615967201951,0.38363815671508,0.38363815671508
"SRC",-0.283850129198966,-0.410695359391012,-0.234154146507088,-0.0890499176769945,-0.325219941348974,-0.14995670995671,0.15,0.123030453492221,0.105263157894737,0.104362256993836,0.15,0.0333333333333333,0.0533333333333333,0.157692307692308,0.0924400871459695,0.168803418803419,0.12,-0.0718518518518519,0.143809523809524,0.106806045636321,0.168809523809524,-0.0333333333333333,-0.1,0.3,0,0.207084009980047,0.309090909090909,0.191973299958281,0.191973299958281,0.191973299958281,-0.0114285714285714,0.286868686868687,-0.1,0,0.216215724200705,0.292529064227177,0.311111111111111,-0.05,0.203224706328155,-0.05,0.298611111111111,0,0,0.330714285714286,0.0311475409836066,0.308134920634921,0.0311475409836066,-0.0840870361522535,0.333589466089466,0.0518792483006797,0.0655257807391585,-0.0293425134939861,0.191513985016862,0.396840371368673,0.396840371368673
"Jagged",-0.383333333333333,-0.427272727272727,-0.497754385964912,-0.429175050301811,-0.138461538461538,-0.23639846743295,0,0.166666666666667,0.0666666666666667,0.0714285714285714,0,0,0.0333333333333333,0.0333333333333333,0.121794871794872,0.0888888888888889,0.1,-0.0833333333333333,0.16,0.166493506493506,0.231428571428571,0,0,0.1,0,0.158333333333333,0.2,0.18,0.18,0.18,0.12,0.22,0,0,0.252727272727273,0.253333333333333,0.2,0.1,0.252,0.1,0.2,0.2,0.2,0.254285714285714,0.269230769230769,0.233333333333333,0.269230769230769,0.300540540540541,0.285333333333333,0.314685314685315,0.348751248751249,0.28,0.435746606334842,0.413768115942029,0.413768115942029
"DELTA",-0.383333333333333,-0.427272727272727,-0.497754385964912,-0.429175050301811,-0.138461538461538,-0.23639846743295,0,0.166666666666667,0.0666666666666667,0.0714285714285714,0,0,0.0333333333333333,0.0333333333333333,0.121794871794872,0.0888888888888889,0.1,-0.0833333333333333,0.16,0.166493506493506,0.231428571428571,0,0,0.1,0,0.158333333333333,0.2,0.18,0.18,0.18,0.12,0.22,0,0,0.252727272727273,0.253333333333333,0.2,0.1,0.252,0.1,0.2,0.2,0.2,0.254285714285714,0.269230769230769,0.233333333333333,0.269230769230769,0.300540540540541,0.285333333333333,0.314685314685315,0.348751248751249,0.28,0.435746606334842,0.413768115942029,0.413768115942029
"SMO",-0.375,-0.434026522001206,-0.423905328859114,-0.391651703378919,-0.276349206349206,-0.335225292506846,0.1,0.128937728937729,0.12,0.131111111111111,0.15,0.333333333333333,0.253333333333333,0.192857142857143,0.324166666666667,0.236857142857143,0.233333333333333,-0.290833333333333,0.278787878787879,0.239312169312169,0.323787878787879,-0.3,0,0.2,0.1,0.26136712749616,0.3,0.347596153846154,0.347596153846154,0.347596153846154,0.244736842105263,0.338461538461538,0.2,0.1,0.382479874776386,0.371794871794872,0.4,0.25,0.240686274509804,0.15,0.42,0.3,0.196666666666667,0.369137931034483,0.344444444444444,0.445,0.241111111111111,0.318416777021428,0.47472972972973,0.273149946062567,0.297210096438507,0.366472607851918,0.452993979200876,0.417090395480226,0.417090395480226
"FUS",-0.399590163934426,-0.460759195268532,-0.458699849407059,-0.423867718276498,-0.306246113565701,-0.358302215583769,0.15,0.141981207198598,0.131111111111111,0.138207885304659,0.192857142857143,0.253333333333333,0.290833333333333,0.236857142857143,0.34739898989899,0.271472527472527,0.278787878787879,-0.324166666666667,0.323787878787879,0.263408554854338,0.362424242424242,-0.333333333333333,-0.1,0.3,0.1,0.283065240703707,0.338461538461538,0.382479874776386,0.382479874776386,0.382479874776386,0.260121457489879,0.371794871794872,0.25,0.15,0.410864154252369,0.398231653404067,0.42,0.3,0.271576326865825,0.196666666666667,0.445,0.344444444444444,0.241111111111111,0.39940108892922,0.377136752136752,0.47472972972973,0.273149946062567,0.334621156583472,0.507708453133985,0.297210096438507,0.316231835568942,0.403118570584838,0.484053225161378,0.447151745173477,0.447151745173477
"NOTCH",-0.413768115942029,-0.467272727272727,-0.548560837577815,-0.474724788521706,-0.190185676392573,-0.277307558342041,0,0.171014492753623,0.0714285714285714,0.0780952380952381,0.0333333333333333,0.0333333333333333,0.0833333333333333,0.0888888888888889,0.151206636500754,0.133333333333333,0.16,-0.121794871794872,0.231428571428571,0.196123136123136,0.186267281105991,0,0,0.2,0,0.196794871794872,0.22,0.252727272727273,0.252727272727273,0.252727272727273,0.156842105263158,0.253333333333333,0.1,0.1,0.303451910408432,0.303333333333333,0.2,0.2,0.301152542372881,0.2,0.233333333333333,0.269230769230769,0.269230769230769,0.309387755102041,0.314685314685315,0.285333333333333,0.314685314685315,0.328577923718111,0.343397849462366,0.348751248751249,0.376098187526759,0.338490566037736,0.480720151308387,0.458212560386473,0.458212560386473
"TCFLEF",-0.341967468805704,-0.478807698325771,-0.556770500843976,-0.408894087987121,-0.346867796298847,-0.353820486067657,0.235064935064935,0.192586164240175,0.164904989747095,0.17197955953677,0.271064935064935,0.216666666666667,0.24047619047619,0.290419773774612,0.274782543137976,0.308898034644178,0.345082097879802,-0.258218125960061,0.370572293958234,0.273532248260958,0.392831430170858,-0.183333333333333,-0.171428571428571,0.411428571428571,0.133333333333333,0.323468546794907,0.443135888501742,0.382718599724015,0.382718599724015,0.382718599724015,0.176303393213573,0.46123112659698,0.174509803921569,0.170833333333333,0.402823724559757,0.483680106188817,0.456410256410256,0.209509803921569,0.374493506632154,0.205833333333333,0.484317233154442,0.237714932126697,0.234038461538462,0.529382144843203,0.260696298586324,0.509550878014255,0.256679970972424,0.314881030645667,0.532067434305646,0.175122124466124,0.190156488727292,0.594420512820513,0.464027473732611,0.465334972532341,0.465334972532341
"GLI",-0.435045045045045,-0.485255106091019,-0.577917582500395,-0.525703956792959,-0.260062721125283,-0.406584182771397,0.138888888888889,0.135269931916791,0.123695103309689,0.133965373579959,0.175730994152047,0.247023809523809,0.268076441102757,0.202261606396945,0.304139261292561,0.227261606396945,0.214288240495137,-0.286443788041532,0.249288240495137,0.250051651226717,0.276907288114185,-0.20952380952381,-0.0833333333333333,0.354285714285714,0.2,0.2280974664777,0.387619047619048,0.419552128490043,0.419552128490043,0.419552128490043,0.172916523005019,0.427878787878788,0.38,0.28,0.448264999777171,0.468210279591495,0.336666666666667,0.428387096774194,0.310335297601851,0.328387096774194,0.388390804597701,0.460151802656546,0.360094413847364,0.329901745786034,0.38525818563527,0.430529169377575,0.385094413847364,0.324555332830905,0.459940934083458,0.407172335925286,0.426000787808131,0.420834842995169,0.537325635976419,0.47092037890425,0.47092037890425
"cfos",-0.443142857142857,-0.494406247347424,-0.575704593423167,-0.512764064539068,-0.21009324009324,-0.308130411255411,0.0333333333333333,0.0779110444777611,0.0751322751322751,0.0831967912613074,0.0833333333333333,0.0761904761904762,0.10952380952381,0.120833333333333,0.157074586106844,0.157675438596491,0.116666666666667,-0.138556067588326,0.17051282051282,0.205486111111111,0.212051282051282,-0.0333333333333333,0,0.32,0.1,0.20507753849526,0.24,0.303322440087146,0.303322440087146,0.303322440087146,0.169444444444444,0.279130434782609,0.2,0.2,0.342346830331048,0.32828297715549,0.214285714285714,0.28,0.310554112554113,0.28,0.257142857142857,0.328148148148148,0.328148148148148,0.323488419758147,0.362358674463938,0.314005602240896,0.363283283283283,0.361035108518183,0.35794499618029,0.39001595655061,0.412608549143203,0.393399014778325,0.521707586817076,0.481511587685922,0.481511587685922
"CDC42",-0.443142857142857,-0.494406247347424,-0.575704593423167,-0.512764064539068,-0.21009324009324,-0.308130411255411,0.0333333333333333,0.0779110444777611,0.0751322751322751,0.0831967912613074,0.0833333333333333,0.0761904761904762,0.10952380952381,0.120833333333333,0.157074586106844,0.157675438596491,0.116666666666667,-0.138556067588326,0.17051282051282,0.205486111111111,0.212051282051282,-0.0333333333333333,0,0.22,0.1,0.20507753849526,0.24,0.303322440087146,0.303322440087146,0.303322440087146,0.169444444444444,0.279130434782609,0.2,0.2,0.342346830331048,0.32828297715549,0.314285714285714,0.28,0.310554112554113,0.28,0.257142857142857,0.328148148148148,0.328148148148148,0.323488419758147,0.362358674463938,0.314005602240896,0.363283283283283,0.361035108518183,0.35794499618029,0.39001595655061,0.412608549143203,0.393399014778325,0.521707586817076,0.481511587685922,0.481511587685922
"ZEB2",-0.555140018679593,-0.499836030934036,-0.466349645235011,-0.413658180448684,-0.16877616747182,-0.168623958315398,-0.0888888888888889,-0.0713196480938416,-0.0604596811639065,-0.0537523640907358,-0.0513888888888889,-0.0464285714285714,-0.0321428571428571,-0.0269444444444444,-0.00506968641114983,-0.00357995846313603,0.00256410256410256,0.0150696864111498,0.0332307692307692,0.0523062856215789,0.0578209331651955,0.075,0.1,0.133333333333333,0.15,0.152637393914834,0.159649122807018,0.188246753246753,0.188246753246753,0.188246753246753,0.190695970695971,0.191907187323147,0.195454545454545,0.21,0.210302427764955,0.219955967810951,0.223376623376623,0.235454545454545,0.240345165762283,0.25,0.254285714285714,0.261095571095571,0.276315789473684,0.278144522144522,0.280361626141443,0.284897959183673,0.295760233918129,0.305033527891486,0.308178382464097,0.311253191664608,0.324499944911361,0.325180044306022,0.346480812056349,0.483523626639757,0.483523626639757
"NOTCHic",-0.453053830227743,-0.509469259064635,-0.592205554270005,-0.513872861544018,-0.228213845406657,-0.307059624457744,0.0333333333333333,0.181783723522854,0.0780952380952381,0.0888866050017129,0.0888888888888889,0.0833333333333333,0.121794871794872,0.133333333333333,0.171636744027636,0.172868217054264,0.231428571428571,-0.151206636500754,0.186267281105991,0.219301944070156,0.228372544263885,-0.0333333333333333,0,0.22,0.1,0.223778998778999,0.253333333333333,0.303451910408432,0.303451910408432,0.303451910408432,0.202296650717703,0.303333333333333,0.2,0.2,0.342368166566068,0.357619047619048,0.233333333333333,0.269230769230769,0.337001598976655,0.269230769230769,0.285333333333333,0.314685314685315,0.314685314685315,0.352936142198815,0.348018648018648,0.343397849462366,0.348751248751249,0.348911257051444,0.387346894048353,0.376098187526759,0.399456966152713,0.381546121593291,0.517393498001773,0.497471819645733,0.497471819645733
"PAK1",-0.474290398126464,-0.526893556992094,-0.61065269030898,-0.54518164695665,-0.239375008049041,-0.331403138528139,0.0833333333333333,0.0911463385954082,0.0831967912613074,0.0954548557774364,0.120833333333333,0.10952380952381,0.138556067588326,0.157675438596491,0.175074586106844,0.185453216374269,0.17051282051282,-0.157074586106844,0.212051282051282,0.225118012951602,0.242820512820513,-0.0761904761904762,-0.0333333333333333,0.24,0.2,0.225363934676644,0.279130434782609,0.342346830331048,0.342346830331048,0.342346830331048,0.202117711771177,0.32828297715549,0.28,0.28,0.373255921240139,0.37228297715549,0.257142857142857,0.328148148148148,0.33827150385846,0.328148148148148,0.314005602240896,0.362358674463938,0.363283283283283,0.355212557689182,0.38918794275662,0.35794499618029,0.39001595655061,0.377275710021943,0.39018543333876,0.412608549143203,0.43247061810872,0.426732348111658,0.551364006346913,0.514630558747015,0.514630558747015
"LIV1",-0.474290398126464,-0.526893556992094,-0.61065269030898,-0.54518164695665,-0.239375008049041,-0.331403138528139,0.0833333333333333,0.0911463385954082,0.0831967912613074,0.0954548557774364,0.120833333333333,0.10952380952381,0.138556067588326,0.157675438596491,0.175074586106844,0.185453216374269,0.17051282051282,-0.157074586106844,0.212051282051282,0.225118012951602,0.242820512820513,-0.0761904761904762,-0.0333333333333333,0.24,0.2,0.225363934676644,0.279130434782609,0.342346830331048,0.342346830331048,0.342346830331048,0.202117711771177,0.32828297715549,0.28,0.28,0.373255921240139,0.37228297715549,0.257142857142857,0.328148148148148,0.33827150385846,0.328148148148148,0.314005602240896,0.362358674463938,0.363283283283283,0.355212557689182,0.38918794275662,0.35794499618029,0.39001595655061,0.377275710021943,0.39018543333876,0.412608549143203,0.43247061810872,0.426732348111658,0.551364006346913,0.514630558747015,0.514630558747015
"EGR1",-0.474290398126464,-0.526893556992094,-0.61065269030898,-0.54518164695665,-0.239375008049041,-0.331403138528139,0.0833333333333333,0.0911463385954082,0.0831967912613074,0.0954548557774364,0.120833333333333,0.10952380952381,0.138556067588326,0.157675438596491,0.175074586106844,0.185453216374269,0.17051282051282,-0.157074586106844,0.212051282051282,0.225118012951602,0.242820512820513,-0.0761904761904762,-0.0333333333333333,0.24,0.2,0.225363934676644,0.279130434782609,0.342346830331048,0.342346830331048,0.342346830331048,0.202117711771177,0.32828297715549,0.28,0.28,0.373255921240139,0.37228297715549,0.257142857142857,0.328148148148148,0.33827150385846,0.328148148148148,0.314005602240896,0.362358674463938,0.363283283283283,0.355212557689182,0.38918794275662,0.35794499618029,0.39001595655061,0.377275710021943,0.39018543333876,0.412608549143203,0.43247061810872,0.426732348111658,0.551364006346913,0.514630558747015,0.514630558747015
"Csl",-0.487339544513458,-0.543674052092957,-0.628252065897912,-0.547359100076129,-0.258167762457349,-0.330476413853914,0.0888888888888889,0.1981235928039,0.0888866050017129,0.102775493890602,0.133333333333333,0.121794871794872,0.151206636500754,0.172868217054264,0.191464330234532,0.203100775193798,0.186267281105991,-0.171636744027636,0.228372544263885,0.240656110736823,0.260190726082067,-0.0833333333333333,-0.0333333333333333,0.253333333333333,0.2,0.244332358462793,0.303333333333333,0.342368166566068,0.342368166566068,0.342368166566068,0.232377951530711,0.357619047619048,0.269230769230769,0.269230769230769,0.373250519507244,0.402184265010352,0.285333333333333,0.314685314685315,0.364766835996971,0.314685314685315,0.343397849462366,0.348018648018648,0.348751248751249,0.383970624957436,0.375438002857358,0.387346894048353,0.376098187526759,0.365059946874722,0.41886616842477,0.399456966152713,0.419868629960603,0.414708075320798,0.547743982714674,0.531725963292142,0.531725963292142
"SNAI1",-0.503885413702788,-0.554847447482007,-0.639789006646129,-0.572573702224353,-0.263224380433978,-0.350347032917577,0.120833333333333,0.106622529071599,0.0954548557774364,0.106155962788507,0.157675438596491,0.138556067588326,0.157074586106844,0.185453216374269,0.193132838534029,0.211147660818713,0.212051282051282,-0.175074586106844,0.242820512820513,0.243941542363367,0.268942961800105,-0.10952380952381,-0.0833333333333333,0.279130434782609,0.28,0.140844361722908,0.32828297715549,0.373255921240139,0.373255921240139,0.373255921240139,0.222872428752309,0.37228297715549,0.328148148148148,0.328148148148148,0.397558055887102,0.405915264151006,0.314005602240896,0.362358674463938,0.360117657704614,0.363283283283283,0.35794499618029,0.38918794275662,0.39001595655061,0.378973675859448,0.412039862317864,0.39018543333876,0.412608549143203,0.390488429320188,0.414580594629083,0.43247061810872,0.449145889146407,0.453305774685085,0.576405910470279,0.540829820739635,0.540829820739635
