"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","Destcompl","Patched","RKIP"
"IKK",0.497806637806638,0.529191919191919,0.469191919191919,0.405555555555556,0.35,0.252190476190476,0.293560927339553,0.1,0.178857142857143,0.142857142857143,0.181940144478844,0.18578795379538,0.172916666666667,0.2557343550447,0.321042471042471,0.532941176470588,0.264285714285714,0.314285714285714,0.18,0.12,0.287413308341143,0.3,0.362914862914863,0.307359307359307,0.245454545454545,0.301890756302521,-0.363369963369963,0.425418546365915,0.425418546365915,0.660347091652491,-0.569256032607988,0.380598655453593,0.334119782214156,0.334119782214156,0.334119782214156,-0.682863893582049,-0.224505494505495,-0.428840579710145,0.439530455479823,0.376239316239316,0.40957264957265,0.331623931623932,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0.403095238095238,-0.2,-0.1,0.139265491747074,-0.228148148148148,-0.277322404371585
"Csn",0.253628756931699,0.279771395206155,0.252802421459138,0.206648575305292,0.145454545454545,0.244680735930736,0.164442291419907,0.106666666666667,0.209264069264069,0.161212121212121,0.0753737541528239,0.0823617387046469,0.0687370600414079,0.139396839132429,0.205766666666667,0.294960261804582,0.184166666666667,0.155,0.108513708513709,0.0873015873015873,0.186845221450699,0.105,0.263672438672439,0.238672438672439,0.201010101010101,0.171982013144241,-0.399880772821949,0.437214226633582,0.437214226633582,0.438332543420922,-0.442370015831975,0.237302312331696,0.209087341122483,0.209087341122483,0.209087341122483,-0.516743725919167,-0.149229914302437,-0.445018334053115,0.419835433947705,0.37427547866515,0.398849264374644,0.348511286525412,0.374733508747634,0.348511286525412,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.407069759206799,-0.18,-0.0428571428571429,0.0504276184258625,-0.124642740771773,-0.180116926807423
"ERK",0.366336814267849,0.393626098757417,0.363955769087088,0.320890075656431,0.267619047619048,0.20970962246015,0.269348488297452,0.187241379310345,0.174333577891905,0.227666911225238,0.175163637660932,0.177500355120237,0.165950203144554,0.244935716648265,0.210351238076548,0.432541685739858,0.185580595874714,0.156168831168831,0.208590163934426,0.184,0.298312447972428,0.110714285714286,0.275615927119253,0.247638087784073,0.21041181041181,0.123575897672985,-0.404802420117224,0.442727539258453,0.442727539258453,0.688124147751646,-0.544787964800055,0.158074692084593,0.129801864801865,0.129801864801865,0.129801864801865,-0.618750804129241,-0.214034722087363,-0.452366779497521,0.420336830702416,0.378681669207985,0.400545164035749,0.352867132867133,0.377496836898203,0.351288185498712,0.32,0.318421052631579,0.27,0.268421052631579,0.411646311331399,-0.0857142857142857,-0.14,0.0586129095214099,-0.227544412300439,-0.285205969207797
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.258333333333333,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.293,0.0333333333333333,0,0.0333333333333333,0,0.166493506493506,0,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.258333333333333,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.293,0.0333333333333333,0,0.0333333333333333,0,0.166493506493506,0,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
"NFB",0.543623370874367,0.574761539445084,0.529191919191919,0.469191919191919,0.405555555555556,0.306438842203548,0.323780707559333,0.142857142857143,0.252190476190476,0.178857142857143,0.198011573050273,0.199542600635528,0.18578795379538,0.281035559863977,0.358820248820249,0.568179271708683,0.321042471042471,0.264285714285714,0.228148148148148,0.18,0.313312588916683,0.314285714285714,0.403560024205185,0.362914862914863,0.307359307359307,0.336627598407784,-0.41529304029304,0.474843833722237,0.474843833722237,0.698964977831352,-0.61265624380123,0.415424526100359,0.380598655453593,0.380598655453593,0.380598655453593,-0.730857473036303,-0.252348631760396,-0.479293751915583,0.465961828028842,0.409947181407856,0.439530455479823,0.376239316239316,0.40957264957265,0.376239316239316,0.331623931623932,0.331623931623932,0.277777777777778,0.277777777777778,0.443520770010132,-0.3,-0.12,0.159531272477971,-0.2557343550447,-0.315783942833123
"SMO",0.431379310344828,0.52490990990991,0.481666666666667,0.44,0.4,0.393240093240093,0.362618214794663,0.2,0.353846153846154,0.3,0.128937728937729,0.134285714285714,0.12,0.324166666666667,0.236857142857143,0.284858387799564,0.192857142857143,0.15,0.253333333333333,0.333333333333333,0.239312169312169,0.1,0.323787878787879,0.278787878787879,0.233333333333333,0.255263157894737,-0.413888888888889,0.482485875706215,0.482485875706215,0.458517788724685,-0.399283850088736,0.382479874776386,0.347596153846154,0.347596153846154,0.347596153846154,-0.446083963266817,-0.335225292506846,-0.492374924653406,0.302911242507563,0.344444444444444,0.275091693635383,0.3,0.241111111111111,0.196666666666667,0.25,0.15,0.2,0.1,0.366472607851918,0,-0.3,0.319191970819878,-0.290833333333333,-0.352857142857143
"TWIST1",0.536686067388832,0.523795035856916,0.485438871473354,0.440438871473354,0.381818181818182,0.477104295456357,0.478943225671796,0.28,0.431830663615561,0.371304347826087,0.243465573974049,0.237967084996788,0.21981526981527,0.458591118009162,0.460917613459986,0.465462356196301,0.416849816849817,0.369230769230769,0.391555555555556,0.355555555555556,0.410423425501433,0.3,0.419711336881148,0.379145299145299,0.335555555555555,0.315754268614681,-0.404315196998124,0.487914539926924,0.487914539926924,0.731234132410533,-0.658642259734095,0.452050268226609,0.42054341891154,0.42054341891154,0.42054341891154,-0.827486360185861,-0.402797009911764,-0.495959323051522,0.470532602683722,0.418854803675856,0.446553304236338,0.385254803675856,0.417916244511989,0.384582911178656,0.348412698412698,0.348412698412698,0.309523809523809,0.309523809523809,0.461239889143115,-0.2,-0.3,0.396894060148204,-0.428541856925419,-0.461568738267767
"NOTCH",0.376122448979592,0.396071684587814,0.331555555555555,0.255555555555556,0.2,0.350952380952381,0.299871794871795,0.2,0.286666666666667,0.22,0.171014492753623,0.0814285714285714,0.0714285714285714,0.151206636500754,0.133333333333333,0.342152542372881,0.0888888888888889,0.0333333333333333,0.0833333333333333,0.0333333333333333,0.196123136123136,0,0.186267281105991,0.231428571428571,0.16,0.167368421052632,-0.46207729468599,0.52133655394525,0.52133655394525,0.487894132011779,-0.483824412443246,0.303451910408432,0.252727272727273,0.252727272727273,0.252727272727273,-0.572694963214488,-0.277307558342041,-0.529264069264069,0.383193948908235,0.314685314685315,0.350949050949051,0.269230769230769,0.314685314685315,0.269230769230769,0.2,0.2,0.1,0.1,0.338490566037736,0,0,0.329512503157363,-0.121794871794872,-0.28762157382847
"FUS",0.471776661338205,0.566086380498145,0.52490990990991,0.481666666666667,0.44,0.431171127722852,0.39186349781353,0.3,0.393240093240093,0.353846153846154,0.144879757923236,0.145253456221198,0.134285714285714,0.349419191919192,0.271472527472527,0.320647861483775,0.236857142857143,0.192857142857143,0.290833333333333,0.253333333333333,0.265818193408555,0.15,0.362424242424242,0.323787878787879,0.278787878787879,0.274493927125506,-0.461429872495446,0.526930320150659,0.526930320150659,0.494244898239946,-0.437831336122255,0.412610879143199,0.382479874776386,0.382479874776386,0.382479874776386,-0.48901949138753,-0.359640008225909,-0.53665353161858,0.326280807724955,0.379059829059829,0.302911242507563,0.344444444444444,0.275091693635383,0.241111111111111,0.3,0.196666666666667,0.25,0.15,0.404360806609682,-0.1,-0.333333333333333,0.33714817519944,-0.324166666666667,-0.392440476190476
"TGF",0.534673913043478,0.55047619047619,0.593333333333333,0.526666666666667,0.46,0.474670008354219,0.442803560076287,0.333333333333333,0.423558897243108,0.376190476190476,0.231850419084462,0.22603128054741,0.211515151515151,0.265617816091954,0.341791979949875,0.465185185185185,0.315476190476191,0.258333333333333,0.203333333333333,0.153333333333333,0.319691948944526,0.233333333333333,0.38816091954023,0.343333333333333,0.273333333333333,0.181578947368421,-0.507068395626748,0.559795668354021,0.559795668354021,0.51086636890726,-0.514243894589953,0.397619047619048,0.34047619047619,0.34047619047619,0.34047619047619,-0.597978803812028,-0.375373528406796,-0.567284583232859,0.427072763383588,0.342264150943396,0.388316782522344,0.28,0.342264150943396,0.28,0.2,0.2,0.1,0.1,0.356084656084656,-0.2,-0.133333333333333,0.180510097044069,-0.234367816091954,-0.411688311688312
"cfos",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.242857142857143,0.389064112011791,0.319178037152721,0.32,0.336521739130435,0.28,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.159543721909313,0.157675438596491,0.362155844155844,0.120833333333333,0.0833333333333333,0.10952380952381,0.0761904761904762,0.208611111111111,0.0333333333333333,0.212051282051282,0.17051282051282,0.116666666666667,0.193055555555556,-0.509936507936508,0.560496175871478,0.560496175871478,0.535891553701773,-0.531877013204303,0.344785854721292,0.303322440087146,0.303322440087146,0.303322440087146,-0.61120282246208,-0.310213744588745,-0.571971819030643,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.365130149024012,-0.138556067588326,-0.31979020979021
"CDC42",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.342857142857143,0.389064112011791,0.319178037152721,0.22,0.336521739130435,0.28,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.159543721909313,0.157675438596491,0.362155844155844,0.120833333333333,0.0833333333333333,0.10952380952381,0.0761904761904762,0.208611111111111,0.0333333333333333,0.212051282051282,0.17051282051282,0.116666666666667,0.193055555555556,-0.509936507936508,0.560496175871478,0.560496175871478,0.535891553701773,-0.531877013204303,0.344785854721292,0.303322440087146,0.303322440087146,0.303322440087146,-0.61120282246208,-0.310213744588745,-0.571971819030643,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.365130149024012,-0.138556067588326,-0.31979020979021
"NOTCHic",0.421283739302172,0.441294614524119,0.396071684587814,0.331555555555555,0.255555555555556,0.408095238095238,0.332146927146927,0.22,0.350952380952381,0.286666666666667,0.184860646599777,0.0979753340184995,0.0814285714285714,0.173787281662044,0.172868217054264,0.380517322247095,0.133333333333333,0.0888888888888889,0.121794871794872,0.0833333333333333,0.221950950692673,0.0333333333333333,0.228372544263885,0.186267281105991,0.231428571428571,0.221913875598086,-0.515648723257419,0.570966183574879,0.570966183574879,0.528976296340436,-0.529869037189696,0.344338609915821,0.303451910408432,0.303451910408432,0.303451910408432,-0.622465254179266,-0.308712517019727,-0.581865225333433,0.411438223717395,0.350169185653057,0.383193948908235,0.314685314685315,0.350949050949051,0.314685314685315,0.269230769230769,0.269230769230769,0.2,0.2,0.38293501048218,0,-0.0333333333333333,0.35217916982403,-0.151206636500754,-0.331283545659456
"TCFLEF",0.615429395637646,0.604381586358421,0.576142383700614,0.545301262205287,0.506477732793522,0.526010076385503,0.433822765076682,0.431428571428571,0.499047619047619,0.471428571428571,0.202400302238867,0.184979216543588,0.175501460257321,0.283149894988194,0.311298894653733,0.430520543275731,0.290419773774612,0.271064935064935,0.24047619047619,0.216666666666667,0.283628459501015,0.235064935064935,0.395655905998367,0.370572293958234,0.345082097879802,0.19975807975808,-0.438173978688191,0.574537225439419,0.574537225439419,0.485141992938647,-0.437700602591408,0.409717358303373,0.385606686366614,0.385606686366614,0.385606686366614,-0.606507665177183,-0.358922139456033,-0.58553539958708,0.210116803219115,0.270105698162323,0.190444672071574,0.2411337355455,0.266163889562943,0.237457264957265,0.209509803921569,0.205833333333333,0.174509803921569,0.170833333333333,0.601278836060399,-0.171428571428571,-0.183333333333333,0.322169216688625,-0.261787665886027,-0.435253150406206
"PAK1",0.43894914399738,0.459965267776261,0.424446142093201,0.378991596638655,0.314285714285714,0.438397445345124,0.347886171124013,0.28,0.389064112011791,0.336521739130435,0.100476967398654,0.108190817545656,0.0933521078682369,0.182543721909313,0.187305068226121,0.394764539808018,0.157675438596491,0.120833333333333,0.138556067588326,0.10952380952381,0.234377982276755,0.0833333333333333,0.245018315018315,0.212051282051282,0.17051282051282,0.225728822882288,-0.55255945875618,0.601332188733215,0.601332188733215,0.571153759850055,-0.570888002215292,0.380240400175838,0.344785854721292,0.344785854721292,0.344785854721292,-0.652517701354814,-0.336759199134199,-0.613088570299678,0.451177771831237,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.384679021204463,-0.159543721909313,-0.354596839624464
"EGR1",0.43894914399738,0.459965267776261,0.424446142093201,0.378991596638655,0.314285714285714,0.438397445345124,0.347886171124013,0.28,0.389064112011791,0.336521739130435,0.100476967398654,0.108190817545656,0.0933521078682369,0.182543721909313,0.187305068226121,0.394764539808018,0.157675438596491,0.120833333333333,0.138556067588326,0.10952380952381,0.234377982276755,0.0833333333333333,0.245018315018315,0.212051282051282,0.17051282051282,0.225728822882288,-0.55255945875618,0.601332188733215,0.601332188733215,0.571153759850055,-0.570888002215292,0.380240400175838,0.344785854721292,0.344785854721292,0.344785854721292,-0.652517701354814,-0.336759199134199,-0.613088570299678,0.451177771831237,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.384679021204463,-0.159543721909313,-0.354596839624464
"ZEB1",0.464959215632427,0.495237133233061,0.459931413311956,0.417799433616525,0.364176245210728,0.365280297140883,0.346862367517364,0.216666666666667,0.322549019607843,0.276666666666667,0.185035508532918,0.179052084573757,0.166552084573757,0.271016185510115,0.284706438226714,0.47067289568434,0.251849295369572,0.220701754385965,0.223106060606061,0.195833333333333,0.334010086578585,0.173333333333333,0.361548979095771,0.326838235294118,0.289583333333333,0.293879142300195,-0.552877562600551,0.605121254457118,0.605121254457118,0.527004585594104,-0.643198813120397,0.451834544262583,0.420181000955496,0.420181000955496,0.420181000955496,-0.646798439393736,-0.38573549056942,-0.624211891101814,0.497140855674135,0.450872070264829,0.475418742171199,0.420975163048334,0.449354912383965,0.419493801272854,0.384436701509872,0.38223889931207,0.338095238095238,0.335897435897436,0.48012547234277,-0.133333333333333,-0.158333333333333,0.398927810504824,-0.248596256684492,-0.332801256011285
"TGFR",0.580525441427758,0.599412360688956,0.55047619047619,0.593333333333333,0.526666666666667,0.518505624792575,0.480266686919945,0.376190476190476,0.474670008354219,0.423558897243108,0.248268329532223,0.239198540333886,0.22603128054741,0.294431375413988,0.374350119484758,0.508245683405826,0.341791979949875,0.315476190476191,0.234367816091954,0.203333333333333,0.351576006915541,0.258333333333333,0.432045811626561,0.38816091954023,0.343333333333333,0.224788823911631,-0.557068395626748,0.607720196655907,0.607720196655907,0.558320072610964,-0.56528315555993,0.443233082706767,0.397619047619048,0.397619047619048,0.397619047619048,-0.651300779961942,-0.410825851145183,-0.615671680007053,0.458693666837972,0.388070602556299,0.427072763383588,0.342264150943396,0.388316782522344,0.342264150943396,0.28,0.28,0.2,0.2,0.410591093852896,-0.233333333333333,-0.153333333333333,0.208131064786004,-0.265617816091954,-0.453116883116883
"Csl",0.45634121056654,0.476442006814369,0.441294614524119,0.396071684587814,0.331555555555555,0.457008281573499,0.361512006512006,0.286666666666667,0.408095238095238,0.350952380952381,0.206429274050757,0.114086445129611,0.0979753340184995,0.197925212696527,0.204651162790698,0.413248699222265,0.172868217054264,0.133333333333333,0.151206636500754,0.121794871794872,0.248513450692673,0.0888888888888889,0.262008907900249,0.228372544263885,0.186267281105991,0.251995176411094,-0.559934437543133,0.612955133851122,0.612955133851122,0.563950196415008,-0.56885986287777,0.378897433445233,0.344338609915821,0.344338609915821,0.344338609915821,-0.66409316115601,-0.33478026370603,-0.624348885464152,0.435280419257704,0.382427250169186,0.411438223717395,0.350169185653057,0.383193948908235,0.350949050949051,0.314685314685315,0.314685314685315,0.269230769230769,0.269230769230769,0.419695935932052,-0.0333333333333333,-0.0833333333333333,0.371009151542494,-0.173787281662044,-0.367689075613373
"SMAD",0.498007421477403,0.51620927237175,0.47836066679406,0.431991951710262,0.371428571428571,0.471651257594618,0.397295181608321,0.314285714285714,0.422612796056157,0.369124423963134,0.229016604874041,0.118864696946889,0.204578982661174,0.301602406693723,0.31081045751634,0.43306824043748,0.276143790849673,0.238888888888889,0.250833333333333,0.220833333333333,0.353976679234744,0.205555555555556,0.365703338806787,0.329195402298851,0.286666666666667,0.25790446613428,-0.575333164186459,0.627670631156279,0.627670631156279,0.575909344683299,-0.580314753423626,0.462767511275211,0.427241195485737,0.427241195485737,0.427241195485737,-0.674647271826466,-0.372763221184274,-0.637730415621913,0.448880776133312,0.394422483990829,0.424362032465632,0.35989010989011,0.395189712248536,0.360644257703081,0.321428571428571,0.321428571428571,0.271428571428571,0.271428571428571,0.428696207957508,-0.15,-0.183333333333333,0.280991130003331,-0.277438837920489,-0.39029987332505
"SNAI1",0.469483495142418,0.490944077059813,0.459965267776261,0.424446142093201,0.378991596638655,0.475168745793555,0.273957599695441,0.336521739130435,0.438397445345124,0.389064112011791,0.118334110255796,0.119383929476776,0.108190817545656,0.204485469482129,0.217166179337232,0.423511973072905,0.187305068226121,0.157675438596491,0.159543721909313,0.138556067588326,0.257907394041461,0.120833333333333,0.27603872318158,0.245018315018315,0.212051282051282,0.247238256844552,-0.589631109846523,0.636061252772624,0.636061252772624,0.600955972387768,-0.603530489261924,0.408647625134787,0.380240400175838,0.380240400175838,0.380240400175838,-0.68798478436288,-0.358871410355321,-0.649050108761216,0.470950616436297,0.426375191209496,0.451177771831237,0.397673180240574,0.427177771831237,0.398659253312719,0.364990253411306,0.365985985985986,0.328148148148148,0.328148148148148,0.464793733700695,-0.0833333333333333,-0.10952380952381,0.400632968572885,-0.182543721909313,-0.386253024110837
"GLI",0.499191068971448,0.616866227818388,0.577572110171329,0.530402298850575,0.468333333333333,0.556203750209275,0.409550827423168,0.402857142857143,0.509242424242424,0.461190476190476,0.15473324072645,0.158369988985897,0.144856475472383,0.324973091900828,0.239155739050006,0.428092680758216,0.206343239050006,0.175730994152047,0.273339598997494,0.247023809523809,0.276800336507992,0.138888888888889,0.291431097637994,0.254288240495137,0.214288240495137,0.233301153124162,-0.586816816816817,0.636728537293053,0.636728537293053,0.591063581491758,-0.591363051192571,0.472441926015313,0.434620143837095,0.434620143837095,0.434620143837095,-0.675868564374612,-0.425251671566259,-0.64740096848456,0.473749037220735,0.41538939803787,0.447628296037233,0.478368121442125,0.415810114219051,0.37874114870181,0.434838709677419,0.334838709677419,0.38,0.28,0.445668780193237,-0.0833333333333333,-0.20952380952381,0.347422393620632,-0.299870211242392,-0.408715571088957
