"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","EGR1","ERK","cfos","HEY1","SMAD","TWIST1","ILK","SHH","AKT","IKK","SMO","NFB","Jagged","FUS","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","SNAI2","ZEB2","ZEB1","KLF4","RAS","RAF","PI3K","DELTA","cateninmemb","miR200","GSK3","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","Ecadherin","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"STAT",0.235934343434343,0.232702437461195,0.212477718360071,0.174242424242424,0.140909090909091,0.161774546694454,0.218407329105004,0.2,0.195151515151515,0.18,0.0586666666666667,0.0662755923625489,0.101601886485607,0.0615136876006441,0.0734257975034674,0.0527272727272727,0.04,0.0535714285714286,0.02,0.0819941896659058,0.025,0,0.0521067415730337,0.0375,0.00416666666666667,0.00603539200750029,0.132825351264589,0.45097465034965,0.45097465034965,-0.33047138047138,-0.00812602837919294,-0.0216395418927065,-0.0216395418927065,-0.0216395418927065,-0.113912401836657,-0.466021482543222,0.0248054598800867,0.0652647200546844,0.0458521870286576,0.0548858073693467,0.0381598793363499,0.0460250478756758,0.0381598793363499,0.0205128205128205,-0.27454565166442,0.0205128205128205,-0.0333333333333333,-0.0333333333333333,-0.0101119570085087,0,0,0,-0.04357067925234,-0.0685714285714286,-0.182225789192081
"cMet",0.406955128205128,0.409178743961353,0.372222222222222,0.35,0.3,0.407502429008781,0.420454545454546,0.325,0.415,0.385,0.21781905744754,0.21034632034632,0.399336349924585,0.197619047619048,0.207431457431457,0.2725,0.26,0.15,0.266666666666667,0.231713286713287,0.15,0.2,0.282902909447532,0.24812030075188,0.242857142857143,0.0109523809523809,0.499658598685071,0.458008658008658,0.458008658008658,-0.320634920634921,0.252397592700447,0.207843137254902,0.207843137254902,0.207843137254902,-0.221825641817153,-0.467637104743083,-0.264461529292568,0.178697326927415,0.105714285714286,0.150077798307887,0.0357142857142857,0.104945054945055,0.0357142857142857,-0.05,-0.356876955114509,0.05,-0.1,0,0.0573865698729583,-0.2,-0.1,0.1,-0.120386263009603,-0.177272727272727,-0.453333333333333
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.258333333333333,0.286666666666667,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.290217391304348,0.0666666666666667,0.121794871794872,0.0888888888888889,0.0333333333333333,0.0333333333333333,0,0.160478468899522,0,0,0.231428571428571,0.16,0.1,0.12,0.430932203389831,0.46207729468599,0.46207729468599,-0.405555555555556,0.25,0.18,0.18,0.18,-0.409074573225517,-0.472121212121212,-0.233333333333333,0.318349256377425,0.263636363636364,0.294405594405594,0.2,0.263636363636364,0.2,0.1,-0.485820105820106,0.1,0,0,0.277777777777778,0,0,0,0.288829431438127,-0.0833333333333333,-0.235897435897436
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.258333333333333,0.286666666666667,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.290217391304348,0.0666666666666667,0.121794871794872,0.0888888888888889,0.0333333333333333,0.0333333333333333,0,0.160478468899522,0,0,0.231428571428571,0.16,0.1,0.12,0.430932203389831,0.46207729468599,0.46207729468599,-0.405555555555556,0.25,0.18,0.18,0.18,-0.409074573225517,-0.472121212121212,-0.233333333333333,0.318349256377425,0.263636363636364,0.294405594405594,0.2,0.263636363636364,0.2,0.1,-0.485820105820106,0.1,0,0,0.277777777777778,0,0,0,0.288829431438127,-0.0833333333333333,-0.235897435897436
"NFB",0.535122953544072,0.563767002827311,0.523982056590752,0.467460317460317,0.405555555555556,0.312932562532602,0.30330855351545,0.142857142857143,0.251584415584416,0.178857142857143,0.198011573050273,0.199095938586254,0.549693865168929,0.18578795379538,0.268637506284565,0.353958916900093,0.31984126984127,0.226153846153846,0.264285714285714,0.290119047619048,0.18,0.314285714285714,0.391485252728646,0.35717868338558,0.305454545454545,0.330445303759911,0.677739945658514,0.471761403508772,0.471761403508772,-0.414350355526826,0.397113930087951,0.369043754649354,0.369043754649354,0.369043754649354,-0.57650418532224,-0.47664325266612,-0.235189183563925,0.423946102169417,0.379355644355644,0.402015357153677,0.35506993006993,0.378810937264175,0.35506993006993,0.320454545454545,-0.704780623734985,0.320454545454545,0.275,0.275,0.421301377901927,-0.3,-0.12,0.2,0.133059930731799,-0.248376068376068,-0.310682578115992
"TWIST1",0.514340374795696,0.496507652554164,0.464883720930233,0.43,0.38,0.456368541504311,0.463633549113425,0.28,0.426791443850267,0.370909090909091,0.242579942579943,0.235566903802198,0.433768789882817,0.219270607505902,0.430284043441938,0.44507128487711,0.407207207207207,0.373809523809524,0.366666666666667,0.366428385138063,0.35,0.3,0.391068580542265,0.356565656565657,0.323232323232323,0.290972222222222,0.699349871360902,0.477439749608764,0.477439749608764,-0.399194139194139,0.419900238650239,0.394007381507382,0.394007381507382,0.394007381507382,-0.608130910683736,-0.486375379548145,-0.373272093515699,0.406156373706822,0.363848784337304,0.387153794171139,0.333511705685619,0.362432190607664,0.332488687782805,0.303076923076923,-0.814332323430282,0.303076923076923,0.28,0.28,0.419797811077383,-0.2,-0.3,0.26,0.35645228280057,-0.403968253968254,-0.446752614238648
"SMO",0.425023923444976,0.516363636363636,0.476363636363636,0.44,0.4,0.357066836951894,0.391346153846154,0.2,0.353846153846154,0.3,0.128937728937729,0.134285714285714,0.273691562674614,0.12,0.318095238095238,0.23452380952381,0.192857142857143,0.253333333333333,0.15,0.226488749345892,0.333333333333333,0.1,0.315438596491228,0.273333333333333,0.233333333333333,0.25,0.445066975177472,0.480701754385965,0.480701754385965,-0.413888888888889,0.372467532467532,0.34,0.34,0.34,-0.376688311688312,-0.491125541125541,-0.324927536231884,0.272978846711098,0.324827586206897,0.250429827103255,0.28,0.221018062397373,0.176190476190476,0.233333333333333,-0.438946145902668,0.133333333333333,0.2,0.1,0.34952380952381,0,-0.3,0.1,0.301045454545455,-0.286666666666667,-0.349915966386555
"SRC",0.417262541380188,0.413088235294118,0.375833333333333,0.345833333333333,0.333333333333333,0.31706662970791,0.335392385392385,0.3,0.316161616161616,0.327272727272727,0.126804038397881,0.113934329065908,0.276343101343101,0.109429824561404,0.102564102564103,0.171978021978022,0.157692307692308,0.0533333333333333,0.15,0.125252525252525,0.0333333333333333,0.15,0.180769230769231,0.15,0.12,0.0117647058823529,0.233143752798925,0.483547008547008,0.483547008547008,-0.354328165374677,0.23705886217317,0.206550387596899,0.206550387596899,0.206550387596899,-0.163400503218464,-0.495016790989331,-0.166347075743049,0.114772814388913,0.0733893557422969,0.0982013858174849,0.0361344537815126,0.0733893557422969,0.0361344537815126,-0.0285714285714286,-0.344541208639087,-0.0285714285714286,-0.1,0,0.00581196581196582,-0.1,-0.0333333333333333,0,-0.0620542449045097,-0.0764102564102564,-0.409494949494949
"NOTCH",0.374559270516717,0.393624521072797,0.331555555555555,0.255555555555556,0.2,0.29603825136612,0.350952380952381,0.2,0.286666666666667,0.22,0.171014492753623,0.0814285714285714,0.33252508361204,0.0714285714285714,0.146794871794872,0.133333333333333,0.0888888888888889,0.0833333333333333,0.0333333333333333,0.179627405069734,0.0333333333333333,0,0.183152709359606,0.231428571428571,0.16,0.167368421052632,0.472704355288565,0.52133655394525,0.52133655394525,-0.46207729468599,0.293333333333333,0.25,0.25,0.25,-0.452336984573034,-0.529264069264069,-0.267510548523207,0.343881171271042,0.294405594405594,0.318349256377425,0.263636363636364,0.294405594405594,0.263636363636364,0.2,-0.542446611844202,0.2,0.1,0.1,0.327777777777778,0,0,0,0.309271420388403,-0.121794871794872,-0.28762157382847
"FUS",0.463595352016405,0.556008606777838,0.516363636363636,0.476363636363636,0.44,0.384901888498286,0.425492495309569,0.3,0.391346153846154,0.353846153846154,0.144879757923236,0.144352828379674,0.306632739145202,0.134285714285714,0.342008281573499,0.266523809523809,0.23452380952381,0.286666666666667,0.192857142857143,0.249461722318865,0.253333333333333,0.15,0.352147457250722,0.315438596491228,0.273333333333333,0.264285714285714,0.477670913908326,0.523739729069509,0.523739729069509,-0.459651600753296,0.398730158730159,0.372467532467532,0.372467532467532,0.372467532467532,-0.409850265415818,-0.533689643689644,-0.346436970194148,0.291562917507558,0.355060144346432,0.272978846711098,0.324827586206897,0.250429827103255,0.221018062397373,0.28,-0.479113509919404,0.176190476190476,0.233333333333333,0.133333333333333,0.383852167732765,-0.1,-0.333333333333333,0.1,0.315080542264753,-0.318095238095238,-0.38821383872698
"cfos",0.398855542216887,0.417551020408163,0.377551020408163,0.314285714285714,0.242857142857143,0.311867539468618,0.388245877061469,0.32,0.336521739130435,0.28,0.0813593203398301,0.0933521078682369,0.347579092659184,0.0788359788359788,0.151979949874687,0.155968468468468,0.120833333333333,0.10952380952381,0.0833333333333333,0.18892086243841,0.0761904761904762,0.0333333333333333,0.20425988700565,0.168666666666667,0.116666666666667,0.191785714285714,0.517364553476893,0.559590272890765,0.559590272890765,-0.509936507936508,0.330099067599068,0.295833333333333,0.295833333333333,0.295833333333333,-0.49756118629427,-0.571313895817207,-0.296277120315582,0.388969189892052,0.33873157807584,0.364881598651176,0.314141414141414,0.339565142954973,0.314141414141414,0.277777777777778,-0.574452799229252,0.277777777777778,0.2,0.2,0.378111946532999,0,-0.0333333333333333,0.1,0.341840993092711,-0.136190476190476,-0.317836186801704
"CDC42",0.398855542216887,0.417551020408163,0.377551020408163,0.314285714285714,0.342857142857143,0.311867539468618,0.388245877061469,0.22,0.336521739130435,0.28,0.0813593203398301,0.0933521078682369,0.347579092659184,0.0788359788359788,0.151979949874687,0.155968468468468,0.120833333333333,0.10952380952381,0.0833333333333333,0.18892086243841,0.0761904761904762,0.0333333333333333,0.20425988700565,0.168666666666667,0.116666666666667,0.191785714285714,0.517364553476893,0.559590272890765,0.559590272890765,-0.509936507936508,0.330099067599068,0.295833333333333,0.295833333333333,0.295833333333333,-0.49756118629427,-0.571313895817207,-0.296277120315582,0.388969189892052,0.33873157807584,0.364881598651176,0.314141414141414,0.339565142954973,0.314141414141414,0.277777777777778,-0.574452799229252,0.277777777777778,0.2,0.2,0.378111946532999,0,-0.0333333333333333,0.1,0.341840993092711,-0.136190476190476,-0.317836186801704
"TGF",0.533611111111111,0.548888888888889,0.593333333333333,0.526666666666667,0.46,0.440769230769231,0.474670008354219,0.333333333333333,0.423558897243108,0.376190476190476,0.231850419084462,0.22603128054741,0.459491228070175,0.211515151515151,0.26340007415647,0.341791979949875,0.315476190476191,0.203333333333333,0.258333333333333,0.311274745853398,0.153333333333333,0.233333333333333,0.386190476190476,0.343333333333333,0.273333333333333,0.181578947368421,0.502909330819361,0.559795668354021,0.559795668354021,-0.507068395626748,0.391274509803922,0.338333333333333,0.338333333333333,0.338333333333333,-0.496815204079649,-0.567284583232859,-0.369361006814073,0.403772785078423,0.333333333333333,0.371428571428571,0.277777777777778,0.333333333333333,0.277777777777778,0.2,-0.577666427140111,0.2,0.1,0.1,0.350812567713976,-0.2,-0.133333333333333,0,0.167188331357712,-0.234367816091954,-0.411688311688312
"NOTCHic",0.414382279366275,0.431754017475675,0.393624521072797,0.331555555555555,0.255555555555556,0.322049812059762,0.406834733893557,0.22,0.350952380952381,0.286666666666667,0.184860646599777,0.0979753340184995,0.362895453982411,0.0814285714285714,0.163073941562314,0.169918699186992,0.133333333333333,0.121794871794872,0.0888888888888889,0.197184656978131,0.0833333333333333,0.0333333333333333,0.217481067568561,0.183152709359606,0.231428571428571,0.219749373433584,0.507357820635099,0.569428156998685,0.569428156998685,-0.515648723257419,0.326666666666667,0.293333333333333,0.293333333333333,0.293333333333333,-0.492449978923317,-0.580743359204898,-0.291912462398805,0.367962803924104,0.317693265638471,0.343881171271042,0.294405594405594,0.318349256377425,0.294405594405594,0.263636363636364,-0.586944219499705,0.263636363636364,0.2,0.2,0.361690821256039,0,-0.0333333333333333,0.1,0.325531582990029,-0.146794871794872,-0.327920081291157
"TCFLEF",0.611827862227491,0.598923169657347,0.573787545787546,0.545787545787546,0.507692307692308,0.430205387743739,0.525167175661851,0.431428571428571,0.499815062985795,0.472891986062718,0.202196974022267,0.184886277589525,0.422396536164785,0.175408521303258,0.276742473455991,0.307741789746791,0.289097721950181,0.238617886178862,0.271064935064935,0.271787938901672,0.216666666666667,0.235064935064935,0.387341125618821,0.365601995184038,0.343496732026144,0.196693471410453,0.474857364725496,0.575111415979316,0.575111415979316,-0.439831393853671,0.398281235131792,0.376747311827957,0.376747311827957,0.376747311827957,-0.418754247842174,-0.58640726012503,-0.349527471996372,0.188977001356659,0.254383496953734,0.172245913559861,0.227517825311943,0.249866310160428,0.223351158645276,0.200245098039216,-0.605716330137657,0.196078431372549,0.170833333333333,0.166666666666667,0.587012817630097,-0.171428571428571,-0.183333333333333,0.133333333333333,0.30749301610667,-0.257261953975472,-0.434376703965745
"PAK1",0.427863175804673,0.445724395021166,0.417551020408163,0.377551020408163,0.314285714285714,0.335227119521111,0.434345167841611,0.28,0.388245877061469,0.336521739130435,0.100476967398654,0.107825792078763,0.374096664544168,0.0933521078682369,0.169817787712525,0.1814586645469,0.155968468468468,0.136190476190476,0.120833333333333,0.209488238324935,0.10952380952381,0.0833333333333333,0.229725725514966,0.20425988700565,0.168666666666667,0.219445288753799,0.547623271137186,0.597845306447812,0.597845306447812,-0.551603174603175,0.359479121507423,0.330099067599068,0.330099067599068,0.330099067599068,-0.53115291756042,-0.610100175500584,-0.317553716060263,0.408857145074125,0.364197416585157,0.388969189892052,0.33873157807584,0.364881598651176,0.339565142954973,0.314141414141414,-0.609301284077737,0.314141414141414,0.277777777777778,0.277777777777778,0.407756215307703,-0.0333333333333333,-0.0761904761904762,0.2,0.356683293649297,-0.151979949874687,-0.348424422095822
"LIV1",0.427863175804673,0.445724395021166,0.417551020408163,0.377551020408163,0.314285714285714,0.335227119521111,0.434345167841611,0.28,0.388245877061469,0.336521739130435,0.100476967398654,0.107825792078763,0.374096664544168,0.0933521078682369,0.169817787712525,0.1814586645469,0.155968468468468,0.136190476190476,0.120833333333333,0.209488238324935,0.10952380952381,0.0833333333333333,0.229725725514966,0.20425988700565,0.168666666666667,0.219445288753799,0.547623271137186,0.597845306447812,0.597845306447812,-0.551603174603175,0.359479121507423,0.330099067599068,0.330099067599068,0.330099067599068,-0.53115291756042,-0.610100175500584,-0.317553716060263,0.408857145074125,0.364197416585157,0.388969189892052,0.33873157807584,0.364881598651176,0.339565142954973,0.314141414141414,-0.609301284077737,0.314141414141414,0.277777777777778,0.277777777777778,0.407756215307703,-0.0333333333333333,-0.0761904761904762,0.2,0.356683293649297,-0.151979949874687,-0.348424422095822
"EGR1",0.427863175804673,0.445724395021166,0.417551020408163,0.377551020408163,0.314285714285714,0.335227119521111,0.434345167841611,0.28,0.388245877061469,0.336521739130435,0.100476967398654,0.107825792078763,0.374096664544168,0.0933521078682369,0.169817787712525,0.1814586645469,0.155968468468468,0.136190476190476,0.120833333333333,0.209488238324935,0.10952380952381,0.0833333333333333,0.229725725514966,0.20425988700565,0.168666666666667,0.219445288753799,0.547623271137186,0.597845306447812,0.597845306447812,-0.551603174603175,0.359479121507423,0.330099067599068,0.330099067599068,0.330099067599068,-0.53115291756042,-0.610100175500584,-0.317553716060263,0.408857145074125,0.364197416585157,0.388969189892052,0.33873157807584,0.364881598651176,0.339565142954973,0.314141414141414,-0.609301284077737,0.314141414141414,0.277777777777778,0.277777777777778,0.407756215307703,-0.0333333333333333,-0.0761904761904762,0.2,0.356683293649297,-0.151979949874687,-0.348424422095822
"ZEB1",0.449287884930854,0.47691558327433,0.447099069512863,0.41031746031746,0.361111111111111,0.330868097419822,0.354936403106464,0.216666666666667,0.316772151898734,0.275,0.184066095195127,0.177270488249398,0.447208270272088,0.165878083186107,0.25500675447484,0.274046155216965,0.24536398467433,0.21547619047619,0.217777777777778,0.307069597069597,0.191666666666667,0.173333333333333,0.34243842364532,0.313592269799166,0.281724137931034,0.279666666666667,0.500928786123399,0.598289611622945,0.598289611622945,-0.549591418813047,0.42753752505317,0.401425339366516,0.401425339366516,0.401425339366516,-0.603593393827789,-0.617631692631692,-0.36223061167304,0.453499597070164,0.417879091212425,0.436446391067436,0.394455667789001,0.415431898313813,0.392144227080936,0.366060606060606,-0.608130784815894,0.363030303030303,0.326666666666667,0.323636363636364,0.452404685039103,-0.133333333333333,-0.158333333333333,0.26,0.366288225286932,-0.236752786220871,-0.322659176029963
"TGFR",0.576468253968254,0.59392705682782,0.548888888888889,0.593333333333333,0.526666666666667,0.474725617062066,0.517725563909774,0.376190476190476,0.474670008354219,0.423558897243108,0.248268329532223,0.239198540333886,0.497339833647865,0.22603128054741,0.288843861138719,0.372744360902256,0.341791979949875,0.234367816091954,0.315476190476191,0.337674745853398,0.203333333333333,0.258333333333333,0.425725359911406,0.386190476190476,0.343333333333333,0.223351099267155,0.545650172067665,0.60692210513563,0.60692210513563,-0.557068395626748,0.431797385620915,0.391274509803922,0.391274509803922,0.391274509803922,-0.541293731687011,-0.615059063945025,-0.399984313047135,0.42970709991421,0.371317829457364,0.403772785078423,0.333333333333333,0.371428571428571,0.333333333333333,0.277777777777778,-0.625580460009896,0.277777777777778,0.2,0.2,0.399035917967783,-0.233333333333333,-0.153333333333333,0.1,0.189397497045139,-0.26340007415647,-0.451394194041253
"Csl",0.442304357288353,0.458788138210583,0.431754017475675,0.393624521072797,0.331555555555555,0.346111622214287,0.451213432118409,0.286666666666667,0.406834733893557,0.350952380952381,0.206429274050757,0.11349257539781,0.389381940468897,0.0979753340184995,0.181941866090616,0.196585365853659,0.169918699186992,0.146794871794872,0.133333333333333,0.218897195204431,0.121794871794872,0.0888888888888889,0.243135517830341,0.217481067568561,0.183152709359606,0.24296365914787,0.537348359897162,0.608024648226755,0.608024648226755,-0.558295782080948,0.355111111111111,0.326666666666667,0.326666666666667,0.326666666666667,-0.525930155134771,-0.620053704032484,-0.312826346405835,0.387615526891744,0.343347715900251,0.367962803924104,0.317693265638471,0.343881171271042,0.318349256377425,0.294405594405594,-0.621577459982527,0.294405594405594,0.263636363636364,0.263636363636364,0.390403692543167,-0.0333333333333333,-0.0833333333333333,0.2,0.339773543173797,-0.163073941562314,-0.359263364873246
"SMAD",0.486085999661419,0.501231916916919,0.470010197459905,0.429637526652452,0.371428571428571,0.38431945855842,0.46658309655134,0.314285714285714,0.421505376344086,0.369124423963134,0.229016604874041,0.118304472857253,0.412511649666659,0.204578982661174,0.288396465117436,0.304079220340619,0.273582766439909,0.247149122807018,0.238888888888889,0.329051654466945,0.220833333333333,0.205555555555556,0.349492062496547,0.319447219447219,0.283549783549784,0.24992042218127,0.553445036831056,0.623510277771231,0.623510277771231,-0.573930725162068,0.441990703470123,0.411912578470123,0.411912578470123,0.411912578470123,-0.542979011652301,-0.63409089581447,-0.353514343845871,0.406852917853236,0.361936253008525,0.38699037489791,0.333169129720854,0.362569697536056,0.333865993832352,0.304597701149425,-0.637377406682343,0.304597701149425,0.266666666666667,0.266666666666667,0.40394551574579,-0.15,-0.183333333333333,0.2,0.252975664912867,-0.268717750257998,-0.383140539175022
"SNAI1",0.452647037476143,0.470636675722921,0.445724395021166,0.417551020408163,0.377551020408163,0.257482910054847,0.465549099045542,0.336521739130435,0.434345167841611,0.388245877061469,0.117802195362179,0.117903311458608,0.398106565534267,0.107825792078763,0.188097357604998,0.206552297505701,0.1814586645469,0.151979949874687,0.155968468468468,0.229488238324935,0.136190476190476,0.120833333333333,0.254902196103202,0.229725725514966,0.20425988700565,0.233369339386711,0.573148796662711,0.62889793802676,0.62889793802676,-0.586456594798614,0.382849231838416,0.359479121507423,0.359479121507423,0.359479121507423,-0.557969960166936,-0.642546439574279,-0.335641365462653,0.424128435048972,0.388599330460755,0.408857145074125,0.364197416585157,0.388969189892052,0.364881598651176,0.33873157807584,-0.638771896833052,0.339565142954973,0.314141414141414,0.314141414141414,0.433961034584811,-0.0833333333333333,-0.10952380952381,0.277777777777778,0.368800285292751,-0.169817787712525,-0.375531483599238
"GLI",0.490238843695018,0.605412615307903,0.571904761904762,0.529047619047619,0.468333333333333,0.399417696691585,0.552744943754736,0.402857142857143,0.508558897243108,0.461190476190476,0.15473324072645,0.158043288659196,0.411583977865812,0.144856475472383,0.314981410588372,0.234405857540025,0.204897660818713,0.271348133848134,0.175730994152047,0.25697706557651,0.247023809523809,0.138888888888889,0.278916168916169,0.247699237699238,0.212564102564103,0.227708059090244,0.572652615200992,0.633988369753059,0.633988369753059,-0.586057838660578,0.454534353998329,0.421815459989113,0.421815459989113,0.421815459989113,-0.559041991689106,-0.645040210260999,-0.408816939779502,0.438341003796553,0.389434269434269,0.416753702209252,0.458217338217338,0.389442777839504,0.358259982140579,0.423931623931624,-0.641854273656869,0.323931623931624,0.377777777777778,0.277777777777778,0.425475696833548,-0.0833333333333333,-0.20952380952381,0.2,0.322182328261384,-0.293928779009424,-0.403743357623955
