"","FOXC2","TGF","TGFR","CDC42","PAK1","TWIST1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","IKK","NFB","SMO","Jagged","FUS","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","SNAI2","KLF4","ZEB2","ZEB1","cateninmemb","RAS","RAF","PI3K","DELTA","GSK3","miR200","Ecadherin","cateninnuc","GLI","TCFLEF","CD44","Wnt","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"ERK",0.327789661319073,0.36642194955448,0.338022638022638,0.296581196581197,0.246581196581197,0.24882147917783,0.207707243486246,0.267964643091531,0.187241379310345,0.173429623089645,0.227666911225238,0.171538263001678,0.171793881124361,0.161934726194784,0.242234505434442,0.209654669948788,0.185580595874714,0.156168831168831,0.208590163934426,0.294738066703761,0.184,0.110714285714286,0.274808956131412,0.247638087784073,0.21041181041181,0.109294811468725,0.671949955191738,-0.404802420117224,0.442512589823815,0.442512589823815,-0.535616076747344,0.155628081862353,0.128968914258303,0.128968914258303,0.128968914258303,-0.212671974760096,-0.452202979333721,-0.605891674440041,0.411896448755181,0.375429105503326,0.394570996224705,0.374220460684296,0.351914893617021,0.3503359462486,0.32,0.318421052631579,0.27,0.268421052631579,0.409538881729956,-0.0857142857142857,-0.14,0.2,0.0553597525885888,-0.226470958636413,-0.284800235883827
"STAT",0.236501822095042,0.220234644582471,0.202222222222222,0.175555555555556,0.155555555555556,0.138895785862078,0.211635031635032,0.150951685885272,0.2,0.195151515151515,0.18,0.0618485277908991,0.0669705365388626,0.0651741293532338,0.0665584415584416,0.0446305418719212,0.0342857142857143,0.02,0.045,0.0726688900929853,0.025,0,0.0352542408453882,0.0204027556968733,-0.00392156862745098,0.00124777183600713,0.124465463090288,-0.326728064963359,0.443639693639694,0.443639693639694,-0.0745655629614237,-0.0263049450549451,-0.0416895604395604,-0.0416895604395604,-0.0416895604395604,0.0403174603174603,-0.459086768911876,-0.223210076485845,0.0392331553324523,0.0170768490994929,0.0294393408994626,0.017358803986711,0.0012873754152824,0.0012873754152824,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,-0.0385894048300966,0,0,0,-0.0596991538129612,-0.0592857142857143,-0.172402628192102
"cMet",0.401339285714286,0.405332278481013,0.37875,0.36,0.3,0.377294685990338,0.420454545454546,0.4052230602186,0.325,0.415,0.385,0.21781905744754,0.211380515508956,0.197619047619048,0.205397727272727,0.2725,0.26,0.266666666666667,0.15,0.225487990270599,0.15,0.2,0.280035194368901,0.24812030075188,0.242857142857143,0.0148604269293924,0.495543631424352,-0.320634920634921,0.458008658008658,0.458008658008658,-0.200089494517955,0.245318957771788,0.203809523809524,0.203809523809524,0.203809523809524,-0.259293394777266,-0.467637104743083,-0.337246376811594,0.16828116971606,0.086969696969697,0.133410852713178,0.0861240310077519,0.0233333333333333,0.0233333333333333,-0.05,0.05,-0.1,0,0.0419047619047619,-0.2,-0.1,0.1,-0.126882062532255,-0.177272727272727,-0.453333333333333
"Jagged",0.28,0.312857142857143,0.242857142857143,0.2,0.2,0.2,0.286666666666667,0.258333333333333,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.0333333333333333,0,0.0333333333333333,0.166493506493506,0,0,0.231428571428571,0.16,0.1,0.12,0.432377049180328,-0.405555555555556,0.46207729468599,0.46207729468599,-0.430848861283644,0.252727272727273,0.18,0.18,0.18,-0.23639846743295,-0.472121212121212,-0.508192918192918,0.349516775359472,0.269230769230769,0.314685314685315,0.269230769230769,0.2,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
"DELTA",0.28,0.312857142857143,0.242857142857143,0.2,0.2,0.2,0.286666666666667,0.258333333333333,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.0333333333333333,0,0.0333333333333333,0.166493506493506,0,0,0.231428571428571,0.16,0.1,0.12,0.432377049180328,-0.405555555555556,0.46207729468599,0.46207729468599,-0.430848861283644,0.252727272727273,0.18,0.18,0.18,-0.23639846743295,-0.472121212121212,-0.508192918192918,0.349516775359472,0.269230769230769,0.314685314685315,0.269230769230769,0.2,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
"NFB",0.484175661435935,0.543188163911055,0.497806637806638,0.436190476190476,0.376190476190476,0.394283693640205,0.304604549812603,0.322141447420777,0.142857142857143,0.251584415584416,0.178857142857143,0.192229310650363,0.190709285172205,0.179170823633743,0.27744530408146,0.358121122727864,0.321042471042471,0.264285714285714,0.228148148148148,0.308827303191585,0.18,0.314285714285714,0.402784143960615,0.362914862914863,0.307359307359307,0.320708748615725,0.683807392954032,-0.41529304029304,0.474649315596684,0.474649315596684,-0.603138317238691,0.412654580748955,0.379834067928442,0.379834067928442,0.379834067928442,-0.250828373712968,-0.479143610013175,-0.720390445158336,0.456232739504058,0.406368083670715,0.432584090855409,0.405962166918049,0.375373931623932,0.375373931623932,0.331623931623932,0.331623931623932,0.277777777777778,0.277777777777778,0.441323494024224,-0.3,-0.12,0.2,0.155687758977268,-0.254463937621832,-0.315386920500617
"SRC",0.415787545787546,0.40859943977591,0.381932773109244,0.364285714285714,0.35,0.28514012303486,0.335392385392385,0.309226233003323,0.3,0.316161616161616,0.327272727272727,0.128981106612686,0.116410597545983,0.11182344158268,0.0972249861802101,0.168803418803419,0.157692307692308,0.15,0.0533333333333333,0.112807931943446,0.0333333333333333,0.15,0.168809523809524,0.143809523809524,0.12,0.0167832167832168,0.224443882611044,-0.354328165374677,0.481079664570231,0.481079664570231,-0.119112935821906,0.22120406918905,0.191973299958281,0.191973299958281,0.191973299958281,-0.153120050681026,-0.493078612209047,-0.287183428487776,0.0870695064292342,0.0366666666666667,0.0662264150943396,0.0366666666666667,0,0,-0.05,-0.05,-0.1,0,-0.0256635837280998,-0.1,-0.0333333333333333,0,-0.0773595362840163,-0.0718518518518519,-0.405408927989573
"SMO",0.442261904761905,0.530350877192982,0.49,0.45,0.4,0.325268817204301,0.389393939393939,0.359135802469136,0.2,0.35,0.3,0.123809523809524,0.12869349230005,0.113939393939394,0.318095238095238,0.23452380952381,0.192857142857143,0.15,0.253333333333333,0.230932614555256,0.333333333333333,0.1,0.320893141945774,0.278787878787879,0.233333333333333,0.23921568627451,0.438647727272727,-0.413888888888889,0.481609195402299,0.481609195402299,-0.389772794772795,0.375553470919325,0.343846153846154,0.343846153846154,0.343846153846154,-0.33077491614077,-0.491758241758242,-0.443147920087575,0.292155388471178,0.336060606060606,0.264882661198451,0.232251082251082,0.296666666666667,0.192857142857143,0.25,0.15,0.2,0.1,0.35978835978836,0,-0.3,0.1,0.311493678513597,-0.286666666666667,-0.351428571428571
"TWIST1",0.561030225627927,0.533784990932433,0.497038002980626,0.451136363636364,0.3875,0.448644688644689,0.473563200498132,0.474050294275013,0.28,0.429813200498132,0.370909090909091,0.231913919413919,0.221096942273413,0.204313725490196,0.448923792902851,0.457165152999386,0.415572232645403,0.369230769230769,0.388888888888889,0.398990678238509,0.355555555555556,0.3,0.414974251549271,0.37766081871345,0.335555555555555,0.300792079207921,0.709779384905409,-0.403917319014039,0.486581437821684,0.486581437821684,-0.64351951094421,0.444634945477135,0.416271309113498,0.416271309113498,0.416271309113498,-0.397697669127254,-0.494814882617588,-0.820019284597989,0.454903514554875,0.408508578250985,0.433068889231877,0.407432216905901,0.379250936329588,0.378484848484848,0.346666666666667,0.346666666666667,0.309523809523809,0.309523809523809,0.453777677850801,-0.2,-0.3,0.266666666666667,0.388536804084037,-0.422222222222222,-0.459175974710221
"NOTCH",0.341111111111111,0.376122448979592,0.312857142857143,0.242857142857143,0.2,0.253846153846154,0.350952380952381,0.299871794871795,0.2,0.286666666666667,0.22,0.171014492753623,0.0783251231527094,0.0714285714285714,0.151206636500754,0.133333333333333,0.0888888888888889,0.0333333333333333,0.0833333333333333,0.196123136123136,0.0333333333333333,0,0.186267281105991,0.231428571428571,0.16,0.161176470588235,0.477287228821046,-0.46207729468599,0.52133655394525,0.52133655394525,-0.479737750172533,0.303451910408432,0.252727272727273,0.252727272727273,0.252727272727273,-0.277307558342041,-0.529264069264069,-0.564754004165769,0.378576604419301,0.314685314685315,0.349516775359472,0.314685314685315,0.269230769230769,0.269230769230769,0.2,0.2,0.1,0.1,0.338490566037736,0,0,0,0.328842427332993,-0.121794871794872,-0.28762157382847
"FUS",0.479761904761905,0.568281911675741,0.530350877192982,0.49,0.45,0.361739405439595,0.425979305247598,0.386229398528249,0.3,0.389393939393939,0.35,0.140227434257285,0.138152951759509,0.12869349230005,0.341499493414387,0.266523809523809,0.23452380952381,0.192857142857143,0.286666666666667,0.256573640196282,0.253333333333333,0.15,0.355832900981918,0.320893141945774,0.278787878787879,0.256606990622336,0.472270286925656,-0.460555555555555,0.525005421817393,0.525005421817393,-0.426903596460559,0.40392556394258,0.375553470919325,0.375553470919325,0.375553470919325,-0.35303640023971,-0.534905449880069,-0.48457186830764,0.314209769135831,0.369393939393939,0.292155388471178,0.264882661198451,0.336060606060606,0.232251082251082,0.296666666666667,0.192857142857143,0.25,0.15,0.395358829587018,-0.1,-0.333333333333333,0.1,0.328238592441609,-0.318095238095238,-0.389062980030722
"TCFLEF",0.4913489598283,0.567426505986063,0.546096866096866,0.527635327635328,0.501709401709402,0.37565688376664,0.480792186842229,0.385169462995545,0.42436974789916,0.464513117074787,0.453402005963676,0.182692093322907,0.157751512495102,0.152072500149423,0.221591151246917,0.265629372316302,0.252154195011338,0.246031746031746,0.185151515151515,0.205250286569136,0.17,0.222222222222222,0.332894801593094,0.313437788018433,0.298771121351766,0.149215849414459,0.156421456506353,-0.420551051709027,0.545328642679017,0.545328642679017,-0.210882935105494,0.332347908152734,0.311970549662168,0.311970549662168,0.311970549662168,-0.296506415533131,-0.557789615333254,-0.453520740223889,0.0159499852600776,0.0832154120389414,-0.00125228317092432,0.0758762644083745,0.0547086247086247,0.0474358974358974,0.0247086247086247,0.0174358974358974,-0.00606060606060606,-0.0133333333333333,0.463914212271648,-0.166666666666667,-0.153333333333333,-0.0333333333333333,0.240081961271415,-0.203518862090291,-0.396072708653354
"TGF",0.513311439518336,0.535785024154589,0.583611111111111,0.5225,0.46,0.414040404040404,0.474670008354219,0.442803560076287,0.333333333333333,0.423558897243108,0.376190476190476,0.231850419084462,0.224629905613512,0.211515151515151,0.265617816091954,0.341791979949875,0.315476190476191,0.258333333333333,0.203333333333333,0.319691948944526,0.153333333333333,0.233333333333333,0.38816091954023,0.343333333333333,0.273333333333333,0.177777777777778,0.504801449991761,-0.507068395626748,0.559795668354021,0.559795668354021,-0.512271483305966,0.397619047619048,0.34047619047619,0.34047619047619,0.34047619047619,-0.375373528406796,-0.567284583232859,-0.593396254728592,0.424543297084611,0.342264150943396,0.38759748427673,0.342264150943396,0.28,0.28,0.2,0.2,0.1,0.1,0.356084656084656,-0.2,-0.133333333333333,0,0.180135874933222,-0.234367816091954,-0.411688311688312
"cfos",0.372274607113317,0.403776730204277,0.359014825442372,0.298039215686275,0.233333333333333,0.282538730634683,0.388245877061469,0.31874265861527,0.32,0.336521739130435,0.28,0.0797864225781846,0.0887556154537286,0.077088948787062,0.158556067588326,0.157675438596491,0.120833333333333,0.0833333333333333,0.10952380952381,0.207420634920635,0.0761904761904762,0.0333333333333333,0.212051282051282,0.17051282051282,0.116666666666667,0.183333333333333,0.523274318519411,-0.509936507936508,0.560496175871478,0.560496175871478,-0.52572212400869,0.344063180827887,0.303322440087146,0.303322440087146,0.303322440087146,-0.309859250696947,-0.571971819030643,-0.601727875155669,0.420781484774421,0.364148148148148,0.395390859774421,0.365134449518011,0.328148148148148,0.328148148148148,0.28,0.28,0.2,0.2,0.394658385093168,0,-0.0333333333333333,0.1,0.363428107143475,-0.138556067588326,-0.31979020979021
"CDC42",0.372274607113317,0.403776730204277,0.359014825442372,0.298039215686275,0.333333333333333,0.282538730634683,0.388245877061469,0.31874265861527,0.22,0.336521739130435,0.28,0.0797864225781846,0.0887556154537286,0.077088948787062,0.158556067588326,0.157675438596491,0.120833333333333,0.0833333333333333,0.10952380952381,0.207420634920635,0.0761904761904762,0.0333333333333333,0.212051282051282,0.17051282051282,0.116666666666667,0.183333333333333,0.523274318519411,-0.509936507936508,0.560496175871478,0.560496175871478,-0.52572212400869,0.344063180827887,0.303322440087146,0.303322440087146,0.303322440087146,-0.309859250696947,-0.571971819030643,-0.601727875155669,0.420781484774421,0.364148148148148,0.395390859774421,0.365134449518011,0.328148148148148,0.328148148148148,0.28,0.28,0.2,0.2,0.394658385093168,0,-0.0333333333333333,0.1,0.363428107143475,-0.138556067588326,-0.31979020979021
"NOTCHic",0.386166056166056,0.421283739302172,0.376122448979592,0.312857142857143,0.242857142857143,0.295022624434389,0.406834733893557,0.331422597010832,0.22,0.350952380952381,0.286666666666667,0.182125603864734,0.0917579589736049,0.0783251231527094,0.172085757379875,0.172868217054264,0.133333333333333,0.0888888888888889,0.121794871794872,0.21993265993266,0.0833333333333333,0.0333333333333333,0.228372544263885,0.186267281105991,0.231428571428571,0.209894419306184,0.514469676857998,-0.515648723257419,0.570966183574879,0.570966183574879,-0.522155332590115,0.343150402870744,0.303451910408432,0.303451910408432,0.303451910408432,-0.308140891675374,-0.581865225333433,-0.61214076374765,0.403454653199789,0.348751248751249,0.378576604419301,0.349516775359472,0.314685314685315,0.314685314685315,0.269230769230769,0.269230769230769,0.2,0.2,0.382152537868722,0,-0.0333333333333333,0.1,0.349796430740148,-0.151206636500754,-0.331283545659456
"PAK1",0.40622809548541,0.438259488824967,0.403776730204277,0.359014825442372,0.298039215686275,0.314659942755895,0.436191082540921,0.346412561527891,0.28,0.388245877061469,0.336521739130435,0.0964530892448512,0.101422282120395,0.0887556154537286,0.179581708613967,0.186647401213314,0.157675438596491,0.120833333333333,0.138556067588326,0.230595238095238,0.10952380952381,0.0833333333333333,0.244273504273504,0.212051282051282,0.17051282051282,0.210805860805861,0.555140146611654,-0.55255945875618,0.601141337161801,0.601141337161801,-0.561578697713869,0.377708040640971,0.344063180827887,0.344063180827887,0.344063180827887,-0.335320505309493,-0.612938740150235,-0.640858309938278,0.442109898058554,0.394451178451178,0.420781484774421,0.395390859774421,0.364148148148148,0.365134449518011,0.328148148148148,0.328148148148148,0.28,0.28,0.430787417351232,-0.0333333333333333,-0.0761904761904762,0.2,0.381075165967004,-0.158556067588326,-0.354234654234654
"LIV1",0.40622809548541,0.438259488824967,0.403776730204277,0.359014825442372,0.298039215686275,0.314659942755895,0.436191082540921,0.346412561527891,0.28,0.388245877061469,0.336521739130435,0.0964530892448512,0.101422282120395,0.0887556154537286,0.179581708613967,0.186647401213314,0.157675438596491,0.120833333333333,0.138556067588326,0.230595238095238,0.10952380952381,0.0833333333333333,0.244273504273504,0.212051282051282,0.17051282051282,0.210805860805861,0.555140146611654,-0.55255945875618,0.601141337161801,0.601141337161801,-0.561578697713869,0.377708040640971,0.344063180827887,0.344063180827887,0.344063180827887,-0.335320505309493,-0.612938740150235,-0.640858309938278,0.442109898058554,0.394451178451178,0.420781484774421,0.395390859774421,0.364148148148148,0.365134449518011,0.328148148148148,0.328148148148148,0.28,0.28,0.430787417351232,-0.0333333333333333,-0.0761904761904762,0.2,0.381075165967004,-0.158556067588326,-0.354234654234654
"EGR1",0.40622809548541,0.438259488824967,0.403776730204277,0.359014825442372,0.298039215686275,0.314659942755895,0.436191082540921,0.346412561527891,0.28,0.388245877061469,0.336521739130435,0.0964530892448512,0.101422282120395,0.0887556154537286,0.179581708613967,0.186647401213314,0.157675438596491,0.120833333333333,0.138556067588326,0.230595238095238,0.10952380952381,0.0833333333333333,0.244273504273504,0.212051282051282,0.17051282051282,0.210805860805861,0.555140146611654,-0.55255945875618,0.601141337161801,0.601141337161801,-0.561578697713869,0.377708040640971,0.344063180827887,0.344063180827887,0.344063180827887,-0.335320505309493,-0.612938740150235,-0.640858309938278,0.442109898058554,0.394451178451178,0.420781484774421,0.395390859774421,0.364148148148148,0.365134449518011,0.328148148148148,0.328148148148148,0.28,0.28,0.430787417351232,-0.0333333333333333,-0.0761904761904762,0.2,0.381075165967004,-0.158556067588326,-0.354234654234654
"ZEB1",0.410585286746277,0.463616072169352,0.430114812723508,0.389855072463768,0.339855072463768,0.321448954632811,0.36152249890782,0.343633497796221,0.216666666666667,0.320238095238095,0.275,0.179258021390374,0.170514691902169,0.160014691902169,0.2657099316342,0.282088615699834,0.250701754385965,0.220701754385965,0.221414728682171,0.327428601286609,0.195833333333333,0.173333333333333,0.358349290780142,0.325583333333333,0.289583333333333,0.2725,0.508764827869222,-0.552509623779399,0.604206829422288,0.604206829422288,-0.631929467184183,0.446953166017912,0.417232312159128,0.417232312159128,0.417232312159128,-0.382303422321534,-0.623395500774272,-0.633717147114744,0.485920430647968,0.444631469979296,0.466601644059358,0.443063840920984,0.417095238095238,0.415591313448456,0.383095238095238,0.380897435897436,0.338095238095238,0.335897435897436,0.475535667234554,-0.133333333333333,-0.158333333333333,0.266666666666667,0.393279224221266,-0.245414728682171,-0.331091054039196
"TGFR",0.554220530427427,0.581636552538869,0.535785024154589,0.583611111111111,0.5225,0.453575287761334,0.517725563909774,0.479895548206851,0.376190476190476,0.474670008354219,0.423558897243108,0.247001934235977,0.235902632886239,0.224629905613512,0.293617816091954,0.374350119484758,0.341791979949875,0.315476190476191,0.234367816091954,0.350574301885703,0.203333333333333,0.258333333333333,0.432045811626561,0.38816091954023,0.343333333333333,0.216444444444444,0.548884674959252,-0.557068395626748,0.607720196655907,0.607720196655907,-0.560926740029682,0.442589461820231,0.397619047619048,0.397619047619048,0.397619047619048,-0.410508663541932,-0.615671680007053,-0.644293327438696,0.453736994953008,0.387362190159083,0.424543297084611,0.38759748427673,0.342264150943396,0.342264150943396,0.28,0.28,0.2,0.2,0.41019721019721,-0.233333333333333,-0.153333333333333,0.1,0.206720742008887,-0.265617816091954,-0.453116883116883
"Csl",0.42028370322488,0.455387785544947,0.421283739302172,0.376122448979592,0.312857142857143,0.327675685658879,0.45432076741311,0.35950340509164,0.286666666666667,0.406834733893557,0.350952380952381,0.201044522783653,0.105878996437582,0.0917579589736049,0.193863535157653,0.203576878471586,0.172868217054264,0.133333333333333,0.151206636500754,0.243302225150051,0.121794871794872,0.0888888888888889,0.260779951671293,0.228372544263885,0.186267281105991,0.235348964760729,0.545938208326529,-0.559934437543133,0.612632850241546,0.612632850241546,-0.557899655550586,0.375469794505725,0.343150402870744,0.343150402870744,0.343150402870744,-0.332765516299999,-0.624097172817022,-0.651522484177758,0.424640570432649,0.377865172801882,0.403454653199789,0.378576604419301,0.348751248751249,0.349516775359472,0.314685314685315,0.314685314685315,0.269230769230769,0.269230769230769,0.416727005953828,-0.0333333333333333,-0.0833333333333333,0.2,0.366463097406815,-0.172085757379875,-0.367097499147828
"SMAD",0.470422809419356,0.498768693803019,0.461900006934332,0.416445461479787,0.358550724637681,0.381332591459174,0.469288627575613,0.39557943229851,0.314285714285714,0.421505376344086,0.369124423963134,0.224600686669652,0.111850301632963,0.199535030697003,0.298204382773299,0.309927574633457,0.276143790849673,0.238888888888889,0.250833333333333,0.349574776822911,0.220833333333333,0.205555555555556,0.364679273266593,0.329195402298851,0.286666666666667,0.242570869990225,0.560051819690434,-0.575333164186459,0.627399811928114,0.627399811928114,-0.570764352808016,0.459775772250348,0.42621645021645,0.42621645021645,0.42621645021645,-0.370981490087766,-0.637517198248906,-0.663549642015957,0.439376592027037,0.390518679381865,0.41739617853411,0.391246753246753,0.358683473389356,0.359428571428571,0.321428571428571,0.321428571428571,0.271428571428571,0.271428571428571,0.426144866531125,-0.15,-0.183333333333333,0.2,0.276948775556498,-0.276066978193146,-0.389795021502339
"SNAI1",0.43517090311106,0.467549811405612,0.438259488824967,0.403776730204277,0.359014825442372,0.342697325933465,0.471525955520136,0.270978771573554,0.336521739130435,0.436191082540921,0.388245877061469,0.11240400949025,0.111256254023333,0.101422282120395,0.199260423473404,0.215016195539555,0.186647401213314,0.157675438596491,0.158556067588326,0.251284893267652,0.138556067588326,0.120833333333333,0.273413965489437,0.244273504273504,0.212051282051282,0.229449928602471,0.58183840885494,-0.58943445875618,0.635302827845031,0.635302827845031,-0.591502361836007,0.403817255658036,0.377708040640971,0.377708040640971,0.377708040640971,-0.35572728497051,-0.648403856429305,-0.674171526594886,0.4597668487312,0.420077382690099,0.442109898058554,0.420781484774421,0.394451178451178,0.395390859774421,0.364148148148148,0.365134449518011,0.328148148148148,0.328148148148148,0.460227806645636,-0.0833333333333333,-0.10952380952381,0.28,0.395107746704357,-0.179581708613967,-0.384872952106995
"GLI",0.474419723945831,0.600364634245683,0.562534722222222,0.517222222222222,0.458888888888889,0.377434715821813,0.554321609107514,0.408365976619315,0.402857142857143,0.508558897243108,0.461190476190476,0.151626555653304,0.153008658008658,0.141341991341991,0.322642206638488,0.238626703616935,0.206343239050006,0.175730994152047,0.273339598997494,0.273766938732919,0.247023809523809,0.138888888888889,0.290826702033599,0.254288240495137,0.214288240495137,0.220097087378641,0.578031252198493,-0.586816816816817,0.636578368177367,0.636578368177367,-0.583949439087214,0.470322191678692,0.434013875248672,0.434013875248672,0.434013875248672,-0.424030797136255,-0.647281552297032,-0.666579526531806,0.466172516182279,0.412783571832808,0.442411398012012,0.41315969733174,0.477695852534562,0.378048586220629,0.434838709677419,0.334838709677419,0.38,0.28,0.44397425124231,-0.0833333333333333,-0.20952380952381,0.2,0.344348557246444,-0.299112794873782,-0.408420480326192
