"","TGF","FOXC2","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"ERK",0.366092865344655,0.366092865344655,0.33744792537896,0.296006483937518,0.246581196581197,0.207707243486246,0.268328821934056,0.187241379310345,0.173429623089645,0.227666911225238,0.171538263001678,0.171652594533342,0.161934726194784,0.242647429224648,0.209654669948788,0.432335666823927,0.185580595874714,0.156168831168831,0.208590163934426,0.184,0.296919280438457,0.110714285714286,0.275214689455382,0.247638087784073,0.21041181041181,0.108903804626105,-0.404802420117224,0.442512589823815,0.442512589823815,0.688124147751646,-0.544787964800055,0.157184285486908,0.129388050713929,0.129388050713929,0.129388050713929,-0.618660173078689,-0.214034722087363,-0.452202979333721,0.420336830702416,0.378681669207985,0.400545164035749,0.352867132867133,0.377496836898203,0.351288185498712,0.32,0.318421052631579,0.27,0.268421052631579,0.411646311331399,-0.0857142857142857,-0.14,0.2,0.0586129095214099,-0.226470958636413,-0.284800235883827
"STAT",0.219506172839506,0.219506172839506,0.202222222222222,0.175555555555556,0.155555555555556,0.211635031635032,0.150042594976181,0.2,0.195151515151515,0.18,0.0618485277908991,0.0669705365388626,0.0651741293532338,0.0655920205920206,0.0446305418719212,0.0807739019155156,0.0342857142857143,0.02,0.045,0.025,0.0691654722089505,0,0.0341282458929518,0.0204027556968733,-0.00392156862745098,0.00124777183600713,-0.326728064963359,0.443639693639694,0.443639693639694,0.104995176821802,-0.0628629869659736,-0.0294218510322629,-0.0429556856187291,-0.0429556856187291,-0.0429556856187291,-0.205893305237568,0.0427236315086783,-0.459086768911876,0.0325315917856516,0.0111440030557678,0.0224004833231963,-0.00146103896103896,0.0113594738594739,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,-0.0431294196000078,0,0,0,-0.0634173280695643,-0.0592857142857143,-0.172402628192102
"cMet",0.405332278481013,0.405332278481013,0.37875,0.36,0.3,0.420454545454546,0.4052230602186,0.325,0.415,0.385,0.21781905744754,0.211380515508956,0.197619047619048,0.205397727272727,0.2725,0.393514425649257,0.26,0.266666666666667,0.15,0.15,0.225487990270599,0.2,0.280035194368901,0.24812030075188,0.242857142857143,0.0148604269293924,-0.320634920634921,0.458008658008658,0.458008658008658,0.48879143565275,-0.196763716710336,0.245318957771788,0.203809523809524,0.203809523809524,0.203809523809524,-0.332217112076693,-0.259293394777266,-0.467637104743083,0.166176182246344,0.086969696969697,0.132277877161598,0.0233333333333333,0.0861240310077519,0.0233333333333333,-0.05,0.05,-0.1,0,0.0419047619047619,-0.2,-0.1,0.1,-0.127328695606007,-0.177272727272727,-0.453333333333333
"Jagged",0.312857142857143,0.312857142857143,0.242857142857143,0.2,0.2,0.286666666666667,0.258333333333333,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.293,0.0333333333333333,0,0.0333333333333333,0,0.166493506493506,0,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
"DELTA",0.312857142857143,0.312857142857143,0.242857142857143,0.2,0.2,0.286666666666667,0.258333333333333,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.293,0.0333333333333333,0,0.0333333333333333,0,0.166493506493506,0,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
"SMO",0.41547619047619,0.41547619047619,0.376190476190476,0.342857142857143,0.3,0.38,0.336503496503497,0.2,0.34,0.3,0.0888888888888889,0.0925388337153043,0.07825311942959,0.286666666666667,0.208333333333333,0.274602263408234,0.166666666666667,0.133333333333333,0.22,0.3,0.217167737922455,0.1,0.303589743589744,0.26,0.22,0.153333333333333,-0.404545454545454,0.471428571428571,0.471428571428571,0.455712703844091,-0.396353814644137,0.364054730086599,0.329114971050455,0.329114971050455,0.329114971050455,-0.439959382606441,-0.331206636500754,-0.48246683046683,0.29993822459169,0.344444444444444,0.273784378437844,0.3,0.241111111111111,0.196666666666667,0.25,0.15,0.2,0.1,0.366472607851918,0,-0.3,0.1,0.319521580781423,-0.253333333333333,-0.331904761904762
"NFB",0.543406637806638,0.543406637806638,0.497806637806638,0.436190476190476,0.376190476190476,0.304604549812603,0.322535612535613,0.142857142857143,0.251584415584416,0.178857142857143,0.192229310650363,0.190709285172205,0.179170823633743,0.277920727745289,0.358121122727864,0.567973023604346,0.321042471042471,0.264285714285714,0.228148148148148,0.18,0.311522063702721,0.314285714285714,0.403174603174603,0.362914862914863,0.307359307359307,0.320708748615725,-0.41529304029304,0.474649315596684,0.474649315596684,0.698964977831352,-0.61265624380123,0.414389927265655,0.380219072994298,0.380219072994298,0.380219072994298,-0.730773861427708,-0.252348631760396,-0.479143610013175,0.465961828028842,0.409947181407856,0.439530455479823,0.376239316239316,0.40957264957265,0.376239316239316,0.331623931623932,0.331623931623932,0.277777777777778,0.277777777777778,0.443520770010132,-0.3,-0.12,0.2,0.159531272477971,-0.254463937621832,-0.315386920500617
"SRC",0.40859943977591,0.40859943977591,0.381932773109244,0.364285714285714,0.35,0.335392385392385,0.309226233003323,0.3,0.316161616161616,0.327272727272727,0.128981106612686,0.116410597545983,0.11182344158268,0.0972249861802101,0.168803418803419,0.258834154351396,0.157692307692308,0.15,0.0533333333333333,0.0333333333333333,0.111631054131054,0.15,0.168809523809524,0.143809523809524,0.12,0.0167832167832168,-0.354328165374677,0.481079664570231,0.481079664570231,0.207151486620042,-0.109673701541685,0.220217574767442,0.191973299958281,0.191973299958281,0.191973299958281,-0.273239538239538,-0.152380952380952,-0.493078612209047,0.0811660123422667,0.0344262295081967,0.0612554978008796,0,0.0344262295081967,0,-0.05,-0.05,-0.1,0,-0.0271686004505079,-0.1,-0.0333333333333333,0,-0.079581541646759,-0.0718518518518519,-0.405408927989573
"TWIST1",0.535530924396131,0.535530924396131,0.497477827050998,0.451136363636364,0.3875,0.473854651275334,0.476596039537835,0.28,0.429813200498132,0.370909090909091,0.231913919413919,0.221096942273413,0.204313725490196,0.452108613326887,0.457677495803298,0.464640054171188,0.415572232645403,0.369230769230769,0.388888888888889,0.355555555555556,0.406915275865084,0.3,0.417835775335775,0.378412698412698,0.335555555555555,0.30156862745098,-0.403917319014039,0.486909750866194,0.486909750866194,0.731139035985068,-0.658547729532138,0.450177825895952,0.419035957383841,0.419035957383841,0.419035957383841,-0.827030691299904,-0.402591156180197,-0.495068651461809,0.470445071651422,0.418854803675856,0.446553304236338,0.385254803675856,0.417916244511989,0.384582911178656,0.348412698412698,0.348412698412698,0.309523809523809,0.309523809523809,0.461239889143115,-0.2,-0.3,0.266666666666667,0.396894060148204,-0.423174603174603,-0.459750232135964
"FUS",0.454786535303777,0.454786535303777,0.41547619047619,0.376190476190476,0.342857142857143,0.416585365853659,0.365216367790625,0.3,0.38,0.34,0.103642987249545,0.0997852105268985,0.0925388337153043,0.312753623188406,0.241666666666667,0.308668197474168,0.208333333333333,0.166666666666667,0.253333333333333,0.22,0.243282387603984,0.133333333333333,0.341684981684982,0.303589743589744,0.26,0.174263565891473,-0.448405103668262,0.513533834586466,0.513533834586466,0.489661043327486,-0.432769999615235,0.39320271214938,0.364054730086599,0.364054730086599,0.364054730086599,-0.481186201436684,-0.35491797670694,-0.523956192168958,0.32150685204267,0.377777777777778,0.29993822459169,0.344444444444444,0.273784378437844,0.241111111111111,0.3,0.196666666666667,0.25,0.15,0.403579526090912,-0.1,-0.3,0.1,0.337028999179049,-0.286666666666667,-0.368268398268398
"NOTCH",0.376122448979592,0.376122448979592,0.312857142857143,0.242857142857143,0.2,0.350952380952381,0.299871794871795,0.2,0.286666666666667,0.22,0.171014492753623,0.0783251231527094,0.0714285714285714,0.151206636500754,0.133333333333333,0.342152542372881,0.0888888888888889,0.0333333333333333,0.0833333333333333,0.0333333333333333,0.196123136123136,0,0.186267281105991,0.231428571428571,0.16,0.161176470588235,-0.46207729468599,0.52133655394525,0.52133655394525,0.487894132011779,-0.483824412443246,0.303451910408432,0.252727272727273,0.252727272727273,0.252727272727273,-0.572694963214488,-0.277307558342041,-0.529264069264069,0.383193948908235,0.314685314685315,0.350949050949051,0.269230769230769,0.314685314685315,0.269230769230769,0.2,0.2,0.1,0.1,0.338490566037736,0,0,0,0.329512503157363,-0.121794871794872,-0.28762157382847
"TGF",0.534673913043478,0.534673913043478,0.5825,0.5225,0.46,0.474670008354219,0.442803560076287,0.333333333333333,0.423558897243108,0.376190476190476,0.231850419084462,0.224629905613512,0.211515151515151,0.265617816091954,0.341791979949875,0.465185185185185,0.315476190476191,0.258333333333333,0.203333333333333,0.153333333333333,0.319691948944526,0.233333333333333,0.38816091954023,0.343333333333333,0.273333333333333,0.177777777777778,-0.507068395626748,0.559795668354021,0.559795668354021,0.51086636890726,-0.514243894589953,0.397619047619048,0.34047619047619,0.34047619047619,0.34047619047619,-0.597978803812028,-0.375373528406796,-0.567284583232859,0.427072763383588,0.342264150943396,0.388316782522344,0.28,0.342264150943396,0.28,0.2,0.2,0.1,0.1,0.356084656084656,-0.2,-0.133333333333333,0,0.180510097044069,-0.234367816091954,-0.411688311688312
"cfos",0.403776730204277,0.403776730204277,0.359014825442372,0.298039215686275,0.233333333333333,0.388245877061469,0.31874265861527,0.32,0.336521739130435,0.28,0.0797864225781846,0.0887556154537286,0.077088948787062,0.158556067588326,0.157675438596491,0.362155844155844,0.120833333333333,0.0833333333333333,0.10952380952381,0.0761904761904762,0.208020559930009,0.0333333333333333,0.212051282051282,0.17051282051282,0.116666666666667,0.183333333333333,-0.509936507936508,0.560496175871478,0.560496175871478,0.535891553701773,-0.531877013204303,0.344426734565674,0.303322440087146,0.303322440087146,0.303322440087146,-0.61120282246208,-0.310213744588745,-0.571971819030643,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.365130149024012,-0.138556067588326,-0.31979020979021
"CDC42",0.403776730204277,0.403776730204277,0.359014825442372,0.298039215686275,0.333333333333333,0.388245877061469,0.31874265861527,0.22,0.336521739130435,0.28,0.0797864225781846,0.0887556154537286,0.077088948787062,0.158556067588326,0.157675438596491,0.362155844155844,0.120833333333333,0.0833333333333333,0.10952380952381,0.0761904761904762,0.208020559930009,0.0333333333333333,0.212051282051282,0.17051282051282,0.116666666666667,0.183333333333333,-0.509936507936508,0.560496175871478,0.560496175871478,0.535891553701773,-0.531877013204303,0.344426734565674,0.303322440087146,0.303322440087146,0.303322440087146,-0.61120282246208,-0.310213744588745,-0.571971819030643,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.365130149024012,-0.138556067588326,-0.31979020979021
"TCFLEF",0.60829409942848,0.60829409942848,0.582068086635303,0.553074003795066,0.514838709677419,0.522817742796952,0.42686810149447,0.426984126984127,0.496540370534179,0.469089390142022,0.186817712731025,0.162710613299403,0.154032927348989,0.264574314574315,0.302000389635691,0.424955283734354,0.281310734463277,0.262666666666667,0.223076923076923,0.2,0.268141022569999,0.226666666666667,0.386405365154627,0.361837891106184,0.336585365853659,0.21614850109192,-0.432751212751213,0.568056523422377,0.568056523422377,0.480680111875087,-0.433088296606746,0.403406091006213,0.379725441479826,0.379725441479826,0.379725441479826,-0.600258592933266,-0.354799816436333,-0.579431145264315,0.206106699008045,0.267563634149312,0.18716164406299,0.239944586530264,0.263832218506132,0.236268115942029,0.209509803921569,0.205833333333333,0.174509803921569,0.170833333333333,0.599541796956431,-0.166666666666667,-0.166666666666667,0.133333333333333,0.321602129754304,-0.244444444444444,-0.427813111545988
"NOTCHic",0.421283739302172,0.421283739302172,0.376122448979592,0.312857142857143,0.242857142857143,0.406834733893557,0.331422597010832,0.22,0.350952380952381,0.286666666666667,0.182125603864734,0.0917579589736049,0.0783251231527094,0.172085757379875,0.172868217054264,0.380517322247095,0.133333333333333,0.0888888888888889,0.121794871794872,0.0833333333333333,0.220955350888237,0.0333333333333333,0.228372544263885,0.186267281105991,0.231428571428571,0.209894419306184,-0.515648723257419,0.570966183574879,0.570966183574879,0.528976296340436,-0.529869037189696,0.343750417871119,0.303451910408432,0.303451910408432,0.303451910408432,-0.622465254179266,-0.308712517019727,-0.581865225333433,0.411438223717395,0.350169185653057,0.383193948908235,0.314685314685315,0.350949050949051,0.314685314685315,0.269230769230769,0.269230769230769,0.2,0.2,0.38293501048218,0,-0.0333333333333333,0.1,0.35217916982403,-0.151206636500754,-0.331283545659456
"PAK1",0.43872482709009,0.43872482709009,0.403776730204277,0.359014825442372,0.298039215686275,0.436191082540921,0.346761982286768,0.28,0.388245877061469,0.336521739130435,0.0964530892448512,0.101422282120395,0.0887556154537286,0.179984639016897,0.186647401213314,0.394580912275735,0.157675438596491,0.120833333333333,0.138556067588326,0.10952380952381,0.232865280426903,0.0833333333333333,0.244647967134155,0.212051282051282,0.17051282051282,0.210805860805861,-0.55255945875618,0.601141337161801,0.601141337161801,0.571153759850055,-0.570888002215292,0.379289119886774,0.344426734565674,0.344426734565674,0.344426734565674,-0.652436363695621,-0.336759199134199,-0.612938740150235,0.451177771831237,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.384679021204463,-0.158556067588326,-0.354234654234654
"LIV1",0.43872482709009,0.43872482709009,0.403776730204277,0.359014825442372,0.298039215686275,0.436191082540921,0.346761982286768,0.28,0.388245877061469,0.336521739130435,0.0964530892448512,0.101422282120395,0.0887556154537286,0.179984639016897,0.186647401213314,0.394580912275735,0.157675438596491,0.120833333333333,0.138556067588326,0.10952380952381,0.232865280426903,0.0833333333333333,0.244647967134155,0.212051282051282,0.17051282051282,0.210805860805861,-0.55255945875618,0.601141337161801,0.601141337161801,0.571153759850055,-0.570888002215292,0.379289119886774,0.344426734565674,0.344426734565674,0.344426734565674,-0.652436363695621,-0.336759199134199,-0.612938740150235,0.451177771831237,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.384679021204463,-0.158556067588326,-0.354234654234654
"EGR1",0.43872482709009,0.43872482709009,0.403776730204277,0.359014825442372,0.298039215686275,0.436191082540921,0.346761982286768,0.28,0.388245877061469,0.336521739130435,0.0964530892448512,0.101422282120395,0.0887556154537286,0.179984639016897,0.186647401213314,0.394580912275735,0.157675438596491,0.120833333333333,0.138556067588326,0.10952380952381,0.232865280426903,0.0833333333333333,0.244647967134155,0.212051282051282,0.17051282051282,0.210805860805861,-0.55255945875618,0.601141337161801,0.601141337161801,0.571153759850055,-0.570888002215292,0.379289119886774,0.344426734565674,0.344426734565674,0.344426734565674,-0.652436363695621,-0.336759199134199,-0.612938740150235,0.451177771831237,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.384679021204463,-0.158556067588326,-0.354234654234654
"ZEB1",0.464254484490885,0.464254484490885,0.429591142845,0.388945981554677,0.339855072463768,0.36179060665362,0.345399708714138,0.216666666666667,0.320238095238095,0.275,0.179258021390374,0.170290381125227,0.160014691902169,0.267621749384241,0.282585812356979,0.470205137225511,0.250701754385965,0.220701754385965,0.221414728682171,0.195833333333333,0.331997761324274,0.173333333333333,0.360383663366337,0.32621699669967,0.289583333333333,0.2725,-0.552509623779399,0.604486760516172,0.604486760516172,0.526917672964697,-0.643114352592388,0.450585025504871,0.419265470655904,0.419265470655904,0.419265470655904,-0.646504777660604,-0.385543575920934,-0.623626953843655,0.497064187812727,0.450872070264829,0.475418742171199,0.420975163048334,0.449354912383965,0.419493801272854,0.384436701509872,0.38223889931207,0.338095238095238,0.335897435897436,0.48012547234277,-0.133333333333333,-0.158333333333333,0.266666666666667,0.398927810504824,-0.246167203929695,-0.331641872322126
"GLI",0.446046803054147,0.446046803054147,0.410520487264673,0.36766334440753,0.309523809523809,0.441560337269505,0.358371618472611,0.291428571428571,0.3963374073332,0.347950310559006,0.0987222222222222,0.103159765588818,0.0911344491331215,0.286765721378725,0.187299745785068,0.398672767507518,0.15809620596206,0.126388888888889,0.241924741924742,0.214652014652015,0.236335682458131,0.0888888888888889,0.246410256410256,0.213076923076923,0.173076923076923,0.208778195488722,-0.557482577715136,0.605647934166956,0.605647934166956,0.576068667591114,-0.575371566870144,0.370605097167956,0.335233918128655,0.335233918128655,0.335233918128655,-0.656285880753541,-0.411493695955307,-0.618213538379344,0.457297595285265,0.403208932206526,0.433168732694864,0.470185676392573,0.404216690066089,0.371197822141561,0.431724137931034,0.331724137931034,0.38,0.28,0.437190580503834,-0.0333333333333333,-0.176190476190476,0.2,0.345218029314754,-0.264277683101213,-0.367154775049512
"TGFR",0.580525441427758,0.580525441427758,0.534673913043478,0.5825,0.5225,0.517725563909774,0.479895548206851,0.376190476190476,0.474670008354219,0.423558897243108,0.247001934235977,0.235578810723001,0.224629905613512,0.293617816091954,0.374350119484758,0.508245683405826,0.341791979949875,0.315476190476191,0.234367816091954,0.203333333333333,0.351078810258395,0.258333333333333,0.432045811626561,0.38816091954023,0.343333333333333,0.215615615615616,-0.557068395626748,0.607720196655907,0.607720196655907,0.558320072610964,-0.56528315555993,0.442913165266106,0.397619047619048,0.397619047619048,0.397619047619048,-0.651300779961942,-0.410825851145183,-0.615671680007053,0.458693666837972,0.388070602556299,0.427072763383588,0.342264150943396,0.388316782522344,0.342264150943396,0.28,0.28,0.2,0.2,0.410591093852896,-0.233333333333333,-0.153333333333333,0.1,0.208131064786004,-0.265617816091954,-0.453116883116883
"Csl",0.455965820227028,0.455965820227028,0.421283739302172,0.376122448979592,0.312857142857143,0.45432076741311,0.360079911640091,0.286666666666667,0.406834733893557,0.350952380952381,0.201044522783653,0.105878996437582,0.0917579589736049,0.194552717732298,0.203576878471586,0.412943626101971,0.172868217054264,0.133333333333333,0.151206636500754,0.121794871794872,0.246549018434411,0.0888888888888889,0.261400067199665,0.228372544263885,0.186267281105991,0.235348964760729,-0.559934437543133,0.612632850241546,0.612632850241546,0.563950196415008,-0.56885986287777,0.37770218039431,0.343750417871119,0.343750417871119,0.343750417871119,-0.663957095671107,-0.33478026370603,-0.624097172817022,0.435280419257704,0.382427250169186,0.411438223717395,0.350169185653057,0.383193948908235,0.350949050949051,0.314685314685315,0.314685314685315,0.269230769230769,0.269230769230769,0.419695935932052,-0.0333333333333333,-0.0833333333333333,0.2,0.371009151542494,-0.172085757379875,-0.367097499147828
"SMAD",0.497692716640085,0.497692716640085,0.460318979266348,0.414864433811802,0.356969696969697,0.469030128819334,0.395955226889062,0.314285714285714,0.421505376344086,0.369124423963134,0.224122313139654,0.111299987167554,0.198984716231594,0.298500438269192,0.309927574633457,0.432809039400676,0.276143790849673,0.238888888888889,0.250833333333333,0.220833333333333,0.352152075347115,0.205555555555556,0.365195402298851,0.329195402298851,0.286666666666667,0.241302371047307,-0.575333164186459,0.627399811928114,0.627399811928114,0.575909344683299,-0.580314753423626,0.461617058077667,0.426733337147434,0.426733337147434,0.426733337147434,-0.674531514729329,-0.372763221184274,-0.637517198248906,0.448880776133312,0.394422483990829,0.424362032465632,0.35989010989011,0.395189712248536,0.360644257703081,0.321428571428571,0.321428571428571,0.271428571428571,0.271428571428571,0.428696207957508,-0.15,-0.183333333333333,0.2,0.280991130003331,-0.276066978193146,-0.389795021502339
"SNAI1",0.468814455771268,0.468814455771268,0.43872482709009,0.403776730204277,0.359014825442372,0.471674953508663,0.272347567872353,0.336521739130435,0.436191082540921,0.388245877061469,0.11240400949025,0.111256254023333,0.101422282120395,0.200776718224818,0.215269309340522,0.423034520523158,0.186647401213314,0.157675438596491,0.158556067588326,0.138556067588326,0.255722423284046,0.120833333333333,0.27495724548467,0.244647967134155,0.212051282051282,0.229793202578013,-0.58943445875618,0.635465996393523,0.635465996393523,0.60090887558303,-0.603483923404369,0.407269252337106,0.379289119886774,0.379289119886774,0.379289119886774,-0.687718200856373,-0.358768452273657,-0.648528682123156,0.470909176789915,0.426375191209496,0.451177771831237,0.397673180240574,0.427177771831237,0.398659253312719,0.364990253411306,0.365985985985986,0.328148148148148,0.328148148148148,0.464793733700695,-0.0833333333333333,-0.10952380952381,0.28,0.400632968572885,-0.179984639016897,-0.385166857624485
