"","FOXC2","TGF","TGFR","MEK","EGR1","ERK","cfos","SNAI1","HEY1","SMAD","ILK","SHH","AKT","IKK","NFB","SMO","TWIST1","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","SNAI2","cateninmemb","ZEB2","ZEB1","RAS","RAF","PI3K","DELTA","Ecadherin","miR200","GSK3","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP","PAK1","CDC42"
"MEK",0.32834571972503,0.356567816293582,0.317151757899422,0.171000244558572,0.17,0.227666911225238,0.187241379310345,0.232989963632085,0.163218245169465,0.165950203144554,0.156725110893631,0.227544412300439,0.185580595874714,0.156168831168831,0.110714285714286,0.184,0.400367279779045,0.14,0.279035339538693,0.0857142857142857,0.247638087784073,0.21041181041181,0.156565656565657,0.0925079365079365,-0.365997130559541,0.658692534255346,-0.512009451550341,0.402790781353192,0.402790781353192,0.129801864801865,0.0945637695637696,0.0945637695637696,0.0945637695637696,-0.582086123230966,-0.411598305645312,-0.192145530443403,0.400173416823853,0.352867132867133,0.377496836898203,0.32,0.351288185498712,0.318421052631579,0.27,0.268421052631579,0.2,0.2,0.379613791006196,-0.1,-0.1,0.1,0.0427917896416654,-0.208590163934426,-0.245838861860534,-0.22,-0.267619047619048
"CD44",0.37875,0.372222222222222,0.35,0.415,0.3,0.385,0.325,0.368474215842637,0.204093567251462,0.197619047619048,0.183333333333333,0.177272727272727,0.26,0.266666666666667,0.2,0.15,0.351941391941392,0.1,0.188531468531469,0.2,0.24812030075188,0.242857142857143,0.2,-0.00238095238095239,-0.277777777777778,0.439156399156399,-0.144450549450549,0.420634920634921,0.420634920634921,0.203809523809524,0.166666666666667,0.166666666666667,0.166666666666667,-0.283107697318424,-0.431699604743083,-0.223809523809524,0.132277877161598,0.0233333333333333,0.0861240310077519,-0.05,0.0233333333333333,0.05,-0.1,0,0,0.1,-0.02,-0.1,-0.1,0.1,-0.159085452362763,-0.15,-0.423703703703704,-0.2,-0.3
"Csn",0.239461578965309,0.268195713855244,0.241704067077201,0.237402597402597,0.106666666666667,0.204069264069264,0.161212121212121,0.146831508752365,0.0753737541528239,0.0813334610696855,0.0687370600414079,0.139396839132429,0.205766666666667,0.184166666666667,0.155,0.108513708513709,0.286196041764064,0.0873015873015873,0.186845221450699,0.105,0.263672438672439,0.238672438672439,0.201010101010101,0.168592182635766,-0.388302808302808,0.436538404630946,-0.439941347921552,0.422741108354012,0.422741108354012,0.237302312331696,0.209087341122483,0.209087341122483,0.209087341122483,-0.510863202049591,-0.43100573152099,-0.149229914302437,0.417989701310179,0.37427547866515,0.398206177557924,0.348511286525412,0.374733508747634,0.348511286525412,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.407069759206799,-0.18,-0.0428571428571429,0.2,0.0501661805173658,-0.124642740771773,-0.164795528273241,-0.145454545454545,-0.20067842605156
"STAT",0.202892978868439,0.199285330420914,0.183343301435407,0.199860847564832,0.2,0.185882352941176,0.18,0.127978909955118,0.0586666666666667,0.0638125381753568,0.0615136876006441,0.0628225972422309,0.0427602905569007,0.0342857142857143,0.02,0.045,0.0707311928451359,0.025,0.0675142417782127,0,0.0330241149201743,0.0204027556968733,-0.00392156862745098,-0.0103858784893268,-0.313438304614775,0.103239937971151,-0.0604363417630547,0.425632060247445,0.425632060247445,-0.0307617464785255,-0.044194582299421,-0.044194582299421,-0.044194582299421,-0.199467880469724,-0.441920001813889,0.0427236315086783,0.0307087818459231,0.0111440030557678,0.0217695684966978,-0.00146103896103896,0.0113594738594739,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,-0.0431294196000078,0,0,0,-0.0636695348791481,-0.0566279069767442,-0.151549227799228,-0.140909090909091,-0.159659090909091
"ERK",0.356208967588278,0.385413970139736,0.356567816293582,0.204704979934616,0.187241379310345,0.171000244558572,0.227666911225238,0.255443667335789,0.175163637660932,0.176892452384675,0.165950203144554,0.244935716648265,0.210351238076548,0.185580595874714,0.156168831168831,0.208590163934426,0.426303479501652,0.184,0.298312447972428,0.110714285714286,0.275615927119253,0.247638087784073,0.21041181041181,0.12163415010017,-0.397004882497525,0.687006330468151,-0.543288200400387,0.432554560880751,0.432554560880751,0.158074692084593,0.129801864801865,0.129801864801865,0.129801864801865,-0.614870194635017,-0.442480658586488,-0.214034722087363,0.419201194601631,0.378681669207985,0.400173416823853,0.352867132867133,0.377496836898203,0.351288185498712,0.32,0.318421052631579,0.27,0.268421052631579,0.411646311331399,-0.0857142857142857,-0.14,0.2,0.0584625900926237,-0.227544412300439,-0.273415463531843,-0.267619047619048,-0.317151757899422
"NFB",0.516395715837947,0.553373328218898,0.510335353535354,0.294517273576097,0.142857142857143,0.244190476190476,0.170857142857143,0.286867208105313,0.196225858764558,0.196075413768143,0.183807755775578,0.279830740586869,0.358820248820249,0.321042471042471,0.264285714285714,0.228148148148148,0.551176470588235,0.18,0.31187373999582,0.314285714285714,0.403560024205185,0.362914862914863,0.307359307359307,0.330745245466608,-0.388186813186813,0.694569230892417,-0.606583329754591,0.44269726039236,0.44269726039236,0.414429501224737,0.380598655453593,0.380598655453593,0.380598655453593,-0.718868918473342,-0.448401957515316,-0.251564318034906,0.461575493361957,0.408823585902238,0.436712748263918,0.376239316239316,0.408442706069825,0.376239316239316,0.331623931623932,0.331623931623932,0.277777777777778,0.277777777777778,0.442811550151976,-0.3,-0.12,0.2,0.158249240425295,-0.2557343550447,-0.288713745271122,-0.394444444444444,-0.453535353535354
"Jagged",0.302857142857143,0.323555555555556,0.255555555555556,0.286666666666667,0.1,0.22,0.2,0.233333333333333,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.0333333333333333,0,0.0333333333333333,0.285,0,0.166493506493506,0,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.43868778280543,-0.431991951710262,0.453381642512077,0.453381642512077,0.252727272727273,0.18,0.18,0.18,-0.511017543859649,-0.465454545454545,-0.23639846743295,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.22051282051282,-0.2,-0.2
"DELTA",0.302857142857143,0.323555555555556,0.255555555555556,0.286666666666667,0.1,0.22,0.2,0.233333333333333,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.0333333333333333,0,0.0333333333333333,0.285,0,0.166493506493506,0,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.43868778280543,-0.431991951710262,0.453381642512077,0.453381642512077,0.252727272727273,0.18,0.18,0.18,-0.511017543859649,-0.465454545454545,-0.23639846743295,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.22051282051282,-0.2,-0.2
"cMet",0.402800632911392,0.404137115839243,0.372222222222222,0.420454545454546,0.325,0.415,0.385,0.395592859910433,0.21781905744754,0.21034632034632,0.197619047619048,0.205397727272727,0.2725,0.26,0.266666666666667,0.15,0.391267234638021,0.15,0.225487990270599,0.2,0.280035194368901,0.24812030075188,0.242857142857143,0.0109523809523809,-0.320634920634921,0.48879143565275,-0.196763716710336,0.455988455988456,0.455988455988456,0.245318957771788,0.203809523809524,0.203809523809524,0.203809523809524,-0.331708206224276,-0.466074604743083,-0.259293394777266,0.166176182246344,0.086969696969697,0.132277877161598,0.0233333333333333,0.0861240310077519,0.0233333333333333,-0.05,0.05,-0.1,0,0.0419047619047619,-0.2,-0.1,0.1,-0.127328695606007,-0.177272727272727,-0.44962962962963,-0.3,-0.35
"SMO",0.41448275862069,0.511171171171171,0.473333333333333,0.387179487179487,0.2,0.353846153846154,0.3,0.33310291858679,0.128937728937729,0.134285714285714,0.12,0.324166666666667,0.236857142857143,0.192857142857143,0.15,0.253333333333333,0.274509803921569,0.333333333333333,0.239312169312169,0.1,0.323787878787879,0.278787878787879,0.233333333333333,0.255263157894737,-0.405555555555556,0.457565407772304,-0.398312976302328,0.467372881355932,0.467372881355932,0.382479874776386,0.347596153846154,0.347596153846154,0.347596153846154,-0.441190186173706,-0.477637130801688,-0.335225292506846,0.302159362808315,0.344444444444444,0.275091693635383,0.3,0.241111111111111,0.196666666666667,0.25,0.15,0.2,0.1,0.366472607851918,0,-0.3,0.1,0.319191970819878,-0.290833333333333,-0.333015873015873,-0.4,-0.44
"SRC",0.398272642390289,0.39215367965368,0.364880952380952,0.329369163331427,0.3,0.316161616161616,0.327272727272727,0.292288624569957,0.126804038397881,0.113934329065908,0.109429824561404,0.0953812636165577,0.168803418803419,0.157692307692308,0.15,0.0533333333333333,0.251981811292156,0.0333333333333333,0.110475770406963,0.15,0.168809523809524,0.143809523809524,0.12,0.00857142857142857,-0.349677002583979,0.206561516118567,-0.109085466247568,0.472544174902665,0.472544174902665,0.219246027231008,0.191973299958281,0.191973299958281,0.191973299958281,-0.270360255213196,-0.484997804128239,-0.152380952380952,0.0807185850492018,0.0344262295081967,0.0612554978008796,0,0.0344262295081967,0,-0.05,-0.05,-0.1,0,-0.0271686004505079,-0.1,-0.0333333333333333,0,-0.079581541646759,-0.0718518518518519,-0.393092212447051,-0.333333333333333,-0.345833333333333
"FUS",0.450009074410163,0.548405213724363,0.511171171171171,0.422811671087533,0.3,0.387179487179487,0.353846153846154,0.360461409152827,0.144879757923236,0.143963133640553,0.134285714285714,0.349419191919192,0.271472527472527,0.236857142857143,0.192857142857143,0.290833333333333,0.307494097115286,0.253333333333333,0.265818193408555,0.15,0.362424242424242,0.323787878787879,0.278787878787879,0.270647773279352,-0.446539162112933,0.492215318005698,-0.434998264942924,0.504796194239368,0.504796194239368,0.412610879143199,0.382479874776386,0.382479874776386,0.382479874776386,-0.481190186173706,-0.515260893177925,-0.359640008225909,0.324170232373533,0.379059829059829,0.302159362808315,0.344444444444444,0.275091693635383,0.241111111111111,0.3,0.196666666666667,0.25,0.15,0.404360806609682,-0.1,-0.333333333333333,0.1,0.33685620439652,-0.324166666666667,-0.367036491572574,-0.44,-0.473333333333333
"NOTCH",0.357959183673469,0.381620071684588,0.323555555555556,0.343809523809524,0.2,0.286666666666667,0.22,0.274871794871795,0.171014492753623,0.0814285714285714,0.0714285714285714,0.151206636500754,0.133333333333333,0.0888888888888889,0.0333333333333333,0.0833333333333333,0.330762711864407,0.0333333333333333,0.196123136123136,0,0.186267281105991,0.231428571428571,0.16,0.167368421052632,-0.453381642512077,0.486835930953578,-0.482777292024398,0.505233494363929,0.505233494363929,0.303451910408432,0.252727272727273,0.252727272727273,0.252727272727273,-0.567469156762875,-0.514025974025974,-0.277307558342041,0.382377622377622,0.314685314685315,0.350949050949051,0.269230769230769,0.314685314685315,0.269230769230769,0.2,0.2,0.1,0.1,0.338490566037736,0,0,0,0.329512503157363,-0.121794871794872,-0.265340406719717,-0.2,-0.255555555555556
"cfos",0.380351164856186,0.405564043799338,0.361624649859944,0.376978629329403,0.32,0.327826086956522,0.28,0.289654227628911,0.0813593203398301,0.0917392046424304,0.0788359788359788,0.159543721909313,0.157675438596491,0.120833333333333,0.0833333333333333,0.10952380952381,0.348155844155844,0.0761904761904762,0.208611111111111,0.0333333333333333,0.212051282051282,0.17051282051282,0.116666666666667,0.1875,-0.492412698412698,0.533132998388473,-0.528197844063029,0.537724355278835,0.537724355278835,0.344785854721292,0.303322440087146,0.303322440087146,0.303322440087146,-0.602159861366659,-0.550076394194041,-0.310213744588745,0.424335820969484,0.364990253411306,0.397669154302818,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.364715211264676,-0.138556067588326,-0.293916083916084,-0.242857142857143,-0.304761904761905
"CDC42",0.380351164856186,0.405564043799338,0.361624649859944,0.376978629329403,0.22,0.327826086956522,0.28,0.289654227628911,0.0813593203398301,0.0917392046424304,0.0788359788359788,0.159543721909313,0.157675438596491,0.120833333333333,0.0833333333333333,0.10952380952381,0.348155844155844,0.0761904761904762,0.208611111111111,0.0333333333333333,0.212051282051282,0.17051282051282,0.116666666666667,0.1875,-0.492412698412698,0.533132998388473,-0.528197844063029,0.537724355278835,0.537724355278835,0.344785854721292,0.303322440087146,0.303322440087146,0.303322440087146,-0.602159861366659,-0.550076394194041,-0.310213744588745,0.424335820969484,0.364990253411306,0.397669154302818,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.364715211264676,-0.138556067588326,-0.293916083916084,-0.142857142857143,-0.304761904761905
"TCFLEF",0.593600604961659,0.586449443296213,0.558965999587604,0.514020242243239,0.431428571428571,0.488850174216028,0.463135888501742,0.403008144807308,0.200427062517842,0.181334033850487,0.173494645705172,0.28168933118468,0.311071947687656,0.290419773774612,0.271064935064935,0.24047619047619,0.415814508757095,0.216666666666667,0.28206642745984,0.235064935064935,0.395489237479828,0.370572293958234,0.345082097879802,0.194083218179027,-0.414258658008658,0.480838478007563,-0.431565671709963,0.547246278575226,0.547246278575226,0.40886555627463,0.385606686366614,0.385606686366614,0.385606686366614,-0.594816367700171,-0.558321076513848,-0.358239136087165,0.205823233532337,0.269084046104506,0.187696085766014,0.2411337355455,0.265130220932108,0.237457264957265,0.209509803921569,0.205833333333333,0.174509803921569,0.170833333333333,0.600618315018315,-0.171428571428571,-0.183333333333333,0.133333333333333,0.32098266773421,-0.261443932411674,-0.409015934242549,-0.497435897435897,-0.529994036970781
"NOTCHic",0.401507570770244,0.425569116270575,0.381620071684588,0.398095238095238,0.22,0.343809523809524,0.286666666666667,0.307146927146927,0.184860646599777,0.0965364850976362,0.0814285714285714,0.173787281662044,0.172868217054264,0.133333333333333,0.0888888888888889,0.121794871794872,0.369127491738621,0.0833333333333333,0.221950950692673,0.0333333333333333,0.228372544263885,0.186267281105991,0.231428571428571,0.217368421052632,-0.499810213940649,0.526715690472616,-0.526793519204925,0.550418679549114,0.550418679549114,0.344338609915821,0.303451910408432,0.303451910408432,0.303451910408432,-0.614789218018618,-0.562002852638691,-0.308712517019727,0.409095179629531,0.350169185653057,0.382377622377622,0.314685314685315,0.350949050949051,0.314685314685315,0.269230769230769,0.269230769230769,0.2,0.2,0.38293501048218,0,-0.0333333333333333,0.1,0.351845836490696,-0.151206636500754,-0.309002378550703,-0.255555555555556,-0.323555555555556
"PAK1",0.41552357864929,0.441083169482398,0.405564043799338,0.424978629329403,0.28,0.376978629329403,0.327826086956522,0.316623201375928,0.0990063791633595,0.104642430448882,0.0917392046424304,0.181543721909313,0.187305068226121,0.157675438596491,0.120833333333333,0.138556067588326,0.380221061547149,0.10952380952381,0.233150988411725,0.0833333333333333,0.245018315018315,0.212051282051282,0.17051282051282,0.218193069306931,-0.530117616445485,0.566767718099142,-0.564827880693066,0.57598802087369,0.57598802087369,0.379331309266747,0.344785854721292,0.344785854721292,0.344785854721292,-0.641537023996417,-0.588147460183889,-0.336031926406926,0.446680648555691,0.396697570484477,0.424335820969484,0.364990253411306,0.397669154302818,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432230070948353,-0.0333333333333333,-0.0761904761904762,0.2,0.38336182780603,-0.159543721909313,-0.327617741374647,-0.304761904761905,-0.361624649859944
"LIV1",0.41552357864929,0.441083169482398,0.405564043799338,0.424978629329403,0.28,0.376978629329403,0.327826086956522,0.316623201375928,0.0990063791633595,0.104642430448882,0.0917392046424304,0.181543721909313,0.187305068226121,0.157675438596491,0.120833333333333,0.138556067588326,0.380221061547149,0.10952380952381,0.233150988411725,0.0833333333333333,0.245018315018315,0.212051282051282,0.17051282051282,0.218193069306931,-0.530117616445485,0.566767718099142,-0.564827880693066,0.57598802087369,0.57598802087369,0.379331309266747,0.344785854721292,0.344785854721292,0.344785854721292,-0.641537023996417,-0.588147460183889,-0.336031926406926,0.446680648555691,0.396697570484477,0.424335820969484,0.364990253411306,0.397669154302818,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432230070948353,-0.0333333333333333,-0.0761904761904762,0.2,0.38336182780603,-0.159543721909313,-0.327617741374647,-0.304761904761905,-0.361624649859944
"EGR1",0.41552357864929,0.441083169482398,0.405564043799338,0.424978629329403,0.28,0.376978629329403,0.327826086956522,0.316623201375928,0.0990063791633595,0.104642430448882,0.0917392046424304,0.181543721909313,0.187305068226121,0.157675438596491,0.120833333333333,0.138556067588326,0.380221061547149,0.10952380952381,0.233150988411725,0.0833333333333333,0.245018315018315,0.212051282051282,0.17051282051282,0.218193069306931,-0.530117616445485,0.566767718099142,-0.564827880693066,0.57598802087369,0.57598802087369,0.379331309266747,0.344785854721292,0.344785854721292,0.344785854721292,-0.641537023996417,-0.588147460183889,-0.336031926406926,0.446680648555691,0.396697570484477,0.424335820969484,0.364990253411306,0.397669154302818,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432230070948353,-0.0333333333333333,-0.0761904761904762,0.2,0.38336182780603,-0.159543721909313,-0.327617741374647,-0.304761904761905,-0.361624649859944
"GLI",0.444255675954592,0.570162794851187,0.532751030145305,0.520465666929755,0.382857142857143,0.475714285714286,0.432857142857143,0.335982493827381,0.148446691018847,0.149965824382979,0.138073932491087,0.319640094504338,0.237593239050006,0.206343239050006,0.175730994152047,0.273339598997494,0.388065459347293,0.247023809523809,0.270013208647039,0.138888888888889,0.289526335733232,0.254288240495137,0.214288240495137,0.217461977550473,-0.534694980694981,0.576255707886247,-0.572309075268475,0.578923195084485,0.578923195084485,0.467145949609162,0.432492484262627,0.432492484262627,0.432492484262627,-0.645426198986186,-0.590136994068883,-0.421192332683561,0.459790245626119,0.408781137712463,0.436658147598623,0.476015180265655,0.409060745001221,0.376302124311566,0.434838709677419,0.334838709677419,0.38,0.28,0.440772946859903,-0.0833333333333333,-0.20952380952381,0.2,0.341758022036533,-0.297829394915861,-0.346024366232906,-0.431666666666667,-0.48683908045977
"Csl",0.436565042034611,0.460716508560825,0.425569116270575,0.44592132505176,0.286666666666667,0.398095238095238,0.343809523809524,0.334419654419654,0.205122084508274,0.110980929542081,0.0965364850976362,0.19706314373101,0.204651162790698,0.172868217054264,0.133333333333333,0.151206636500754,0.401407401445167,0.121794871794872,0.247471784026006,0.0888888888888889,0.262008907900249,0.228372544263885,0.186267281105991,0.245823705605477,-0.539810213940649,0.560347308667993,-0.563796577308901,0.590197685073976,0.590197685073976,0.378162139327586,0.344338609915821,0.344338609915821,0.344338609915821,-0.654789218018618,-0.601872133684442,-0.334191162086001,0.431565162476872,0.381620798556282,0.409095179629531,0.350169185653057,0.382377622377622,0.350949050949051,0.314685314685315,0.314685314685315,0.269230769230769,0.269230769230769,0.419181797114571,-0.0333333333333333,-0.0833333333333333,0.2,0.369944556783201,-0.173787281662044,-0.344486249518445,-0.323555555555556,-0.381620071684588
"ZEB1",0.457434522716486,0.489254374238464,0.455002405734527,0.36204629869569,0.216666666666667,0.320196078431373,0.276666666666667,0.334874906373521,0.185035508532918,0.178571315342988,0.166552084573757,0.271016185510115,0.284706438226714,0.251849295369572,0.220701754385965,0.223106060606061,0.466257706489003,0.195833333333333,0.334010086578585,0.173333333333333,0.361548979095771,0.326838235294118,0.289583333333333,0.292397660818713,-0.547583802295075,0.526274522941455,-0.642191524891575,0.597534474520981,0.597534474520981,0.451834544262583,0.420181000955496,0.420181000955496,0.420181000955496,-0.644093205972908,-0.616815407037631,-0.38573549056942,0.49638566143672,0.450872070264829,0.475152784724391,0.420975163048334,0.449354912383965,0.419493801272854,0.384436701509872,0.38223889931207,0.338095238095238,0.335897435897436,0.48012547234277,-0.133333333333333,-0.158333333333333,0.266666666666667,0.398822436426847,-0.248596256684492,-0.323573898699624,-0.364176245210728,-0.414900882891887
"SMAD",0.479997854565429,0.501916887601735,0.464466688398548,0.461912524834505,0.314285714285714,0.413835601757582,0.362672811059908,0.371440417109772,0.227899286438286,0.116224004306196,0.203366861449053,0.300858912269932,0.31081045751634,0.276143790849673,0.238888888888889,0.250833333333333,0.421921253365871,0.220833333333333,0.353067588325653,0.205555555555556,0.365703338806787,0.329195402298851,0.286666666666667,0.2523735581189,-0.558297070939954,0.57269990568801,-0.575835985762083,0.60796612444292,0.60796612444292,0.462109616538369,0.427241195485737,0.427241195485737,0.427241195485737,-0.666368213863104,-0.618354011310474,-0.3722369053948,0.445580845831794,0.393703059530398,0.422277907635239,0.35989010989011,0.394462439521263,0.360644257703081,0.321428571428571,0.321428571428571,0.271428571428571,0.271428571428571,0.42823537846442,-0.15,-0.183333333333333,0.2,0.28003742128119,-0.277438837920489,-0.368995850408124,-0.364285714285714,-0.419215291750503
"SNAI1",0.444875548153737,0.470921879159817,0.441083169482398,0.460853068791287,0.327826086956522,0.424978629329403,0.376978629329403,0.239399002087672,0.115077807734788,0.115343537459952,0.104642430448882,0.201932071423876,0.216471734892788,0.187305068226121,0.157675438596491,0.159543721909313,0.407195420521507,0.138556067588326,0.254798047235254,0.120833333333333,0.275222396650968,0.245018315018315,0.212051282051282,0.239702503269195,-0.564697055697822,0.595027858896996,-0.595674167394275,0.608337344366925,0.608337344366925,0.40642490532586,0.379331309266747,0.379331309266747,0.379331309266747,-0.675199875193087,-0.621865039434609,-0.357220045218808,0.46536934241217,0.423571427888499,0.446680648555691,0.396697570484477,0.424335820969484,0.397669154302818,0.364990253411306,0.365985985985986,0.328148148148148,0.328148148148148,0.462766201484484,-0.0833333333333333,-0.10952380952381,0.28,0.398383757630591,-0.181543721909313,-0.357324854345359,-0.361624649859944,-0.405564043799338
