"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","EGR1","SNAI1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","IKK","TWIST1","NFB","SMO","FUS","Jagged","NOTCH","TrCP","NOTCHic","Csl","SOSGRB2","KLF4","SNAI2","ZEB2","ZEB1","cateninmemb","RAS","RAF","PI3K","DELTA","GSK3","Ecadherin","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","SUFU","LIV1","Csn","Destcompl","Patched","RKIP"
"Csn",0.252438280741223,0.278816741268207,0.252802421459138,0.206648575305292,0.145454545454545,0.244680735930736,0.106666666666667,0.162389966685476,0.209264069264069,0.161212121212121,0.0753737541528239,0.0823617387046469,0.0687370600414079,0.139396839132429,0.205766666666667,0.184166666666667,0.293994078229702,0.155,0.108513708513709,0.0873015873015873,0.186845221450699,0.263672438672439,-0.02,0.238672438672439,0.201010101010101,0.171982013144241,-0.399880772821949,0.438332543420922,0.436138957816377,0.436138957816377,-0.442370015831975,0.236197339956005,0.207982368746792,0.207982368746792,0.207982368746792,-0.147371968877076,-0.516507179496932,-0.444186733221515,0.419715169365624,0.37427547866515,0.398849264374644,0.348511286525412,0.374733508747634,0.348511286525412,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.407069759206799,-0.0428571428571429,0.2,-0.105,0.0509253098571751,-0.124642740771773,-0.178146483457669
"ERK",0.363851251782286,0.391616794193368,0.362495915072489,0.320890075656431,0.267619047619048,0.20803831326795,0.187241379310345,0.26650624781975,0.174333577891905,0.227666911225238,0.175163637660932,0.177500355120237,0.165950203144554,0.244935716648265,0.209433806883888,0.185580595874714,0.431076484274657,0.156168831168831,0.208590163934426,0.184,0.298312447972428,0.275061910498755,0.0857142857142857,0.247638087784073,0.21041181041181,0.123575897672985,-0.403252032520325,0.687853633775091,0.440510316411309,0.440510316411309,-0.544511975839613,0.156585312377392,0.128092463092463,0.128092463092463,0.128092463092463,-0.211185724960437,-0.617974558957324,-0.450147997247779,0.419942623763135,0.378681669207985,0.400359290429801,0.352867132867133,0.377496836898203,0.351288185498712,0.32,0.318421052631579,0.27,0.268421052631579,0.411646311331399,-0.14,0.2,-0.110714285714286,0.059330045206946,-0.227544412300439,-0.282574390260429
"STAT",0.218786639400136,0.21176467189053,0.194856459330144,0.165909090909091,0.140909090909091,0.207893738140417,0.2,0.148182485181735,0.191764705882353,0.18,0.0586666666666667,0.0649619634627131,0.0615136876006441,0.0628225972422309,0.0427602905569007,0.0342857142857143,0.0802251471666764,0.02,0.045,0.025,0.0675142417782127,0.0330241149201743,0,0.0204027556968733,-0.00392156862745098,-0.0069376026272578,-0.326728064963359,0.104995176821802,0.442935269858347,0.442935269858347,-0.0628629869659736,-0.0307617464785255,-0.044194582299421,-0.044194582299421,-0.044194582299421,0.0427236315086783,-0.20560603104461,-0.458532927961468,0.0325315917856516,0.0111440030557678,0.0224004833231963,-0.00146103896103896,0.0113594738594739,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,-0.0431294196000078,0,0,0,-0.0634173280695643,-0.0566279069767442,-0.171240347490347
"cMet",0.395205696202532,0.397754137115839,0.372222222222222,0.35,0.3,0.420454545454546,0.325,0.387041242036782,0.415,0.385,0.21781905744754,0.21034632034632,0.197619047619048,0.205397727272727,0.2725,0.26,0.384525661604313,0.266666666666667,0.15,0.15,0.225487990270599,0.280035194368901,0.2,0.24812030075188,0.242857142857143,0.0109523809523809,-0.320634920634921,0.48879143565275,0.44992784992785,0.44992784992785,-0.196763716710336,0.233890386343217,0.192380952380952,0.192380952380952,0.192380952380952,-0.235906298003072,-0.330181488667024,-0.461387104743083,0.165046238743519,0.086969696969697,0.132277877161598,0.0233333333333333,0.0861240310077519,0.0233333333333333,-0.05,0.05,-0.1,0,0.0419047619047619,-0.1,0.1,-0.2,-0.121895711601594,-0.177272727272727,-0.438518518518519
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.1,0.258333333333333,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.0333333333333333,0.293,0,0.0333333333333333,0,0.166493506493506,0.231428571428571,0,0.16,0.1,0.12,-0.405555555555556,0.43868778280543,0.46207729468599,0.46207729468599,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.23639846743295,-0.513017543859649,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.1,0.258333333333333,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.0333333333333333,0.293,0,0.0333333333333333,0,0.166493506493506,0.231428571428571,0,0.16,0.1,0.12,-0.405555555555556,0.43868778280543,0.46207729468599,0.46207729468599,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.23639846743295,-0.513017543859649,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
"SRC",0.392390289449113,0.387391774891775,0.360119047619048,0.345833333333333,0.333333333333333,0.321821993520107,0.3,0.288737312522438,0.316161616161616,0.327272727272727,0.126804038397881,0.113934329065908,0.109429824561404,0.0953812636165577,0.163247863247863,0.157692307692308,0.248577744094985,0.15,0.0533333333333333,0.0333333333333333,0.110475770406963,0.165238095238095,0.1,0.143809523809524,0.12,0.00857142857142857,-0.345025839793282,0.205381575115618,0.467782270140761,0.467782270140761,-0.107908995659332,0.208996472863807,0.180208594075928,0.180208594075928,0.180208594075928,-0.128658008658009,-0.268352431881844,-0.479879959010394,0.0786042182679501,0.0344262295081967,0.0600359856057577,0,0.0344262295081967,0,-0.05,-0.05,-0.1,0,-0.0271686004505079,-0.0333333333333333,0,-0.15,-0.0743179646440516,-0.0718518518518519,-0.387227109807755
"SMO",0.431379310344828,0.52490990990991,0.481666666666667,0.44,0.4,0.393240093240093,0.2,0.363364055299539,0.353846153846154,0.3,0.128937728937729,0.134285714285714,0.12,0.324166666666667,0.236857142857143,0.192857142857143,0.284858387799564,0.15,0.253333333333333,0.333333333333333,0.239312169312169,0.323787878787879,0,0.278787878787879,0.233333333333333,0.255263157894737,-0.413888888888889,0.458517788724685,0.482485875706215,0.482485875706215,-0.399283850088736,0.382479874776386,0.347596153846154,0.347596153846154,0.347596153846154,-0.335225292506846,-0.446083963266817,-0.492374924653406,0.302911242507563,0.344444444444444,0.275091693635383,0.3,0.241111111111111,0.196666666666667,0.25,0.15,0.2,0.1,0.366472607851918,-0.3,0.1,-0.1,0.319191970819878,-0.290833333333333,-0.352857142857143
"TWIST1",0.536864045556844,0.523935454616862,0.485438871473354,0.440438871473354,0.381818181818182,0.477104295456357,0.28,0.478892057684029,0.431830663615561,0.371304347826087,0.243465573974049,0.237967084996788,0.21981526981527,0.458591118009162,0.460917613459986,0.416849816849817,0.465609313137917,0.369230769230769,0.391555555555556,0.355555555555556,0.410423425501433,0.419711336881148,0.2,0.379145299145299,0.335555555555555,0.315754268614681,-0.404315196998124,0.731234132410533,0.488073160880178,0.488073160880178,-0.658642259734095,0.451707802473184,0.42054341891154,0.42054341891154,0.42054341891154,-0.40152328909706,-0.827519665813628,-0.496082171680117,0.470532602683722,0.418854803675856,0.446553304236338,0.385254803675856,0.417916244511989,0.384582911178656,0.348412698412698,0.348412698412698,0.309523809523809,0.309523809523809,0.461239889143115,-0.3,0.266666666666667,-0.3,0.397008936655958,-0.428541856925419,-0.461840770536423
"NOTCH",0.376122448979592,0.396071684587814,0.331555555555555,0.255555555555556,0.2,0.350952380952381,0.2,0.299871794871795,0.286666666666667,0.22,0.171014492753623,0.0814285714285714,0.0714285714285714,0.151206636500754,0.133333333333333,0.0888888888888889,0.342152542372881,0.0333333333333333,0.0833333333333333,0.0333333333333333,0.196123136123136,0.186267281105991,0,0.231428571428571,0.16,0.167368421052632,-0.46207729468599,0.487894132011779,0.52133655394525,0.52133655394525,-0.483824412443246,0.303451910408432,0.252727272727273,0.252727272727273,0.252727272727273,-0.277307558342041,-0.572694963214488,-0.529264069264069,0.383193948908235,0.314685314685315,0.350949050949051,0.269230769230769,0.314685314685315,0.269230769230769,0.2,0.2,0.1,0.1,0.338490566037736,0,0,0,0.329512503157363,-0.121794871794872,-0.28762157382847
"FUS",0.472168784029038,0.566399271612038,0.52490990990991,0.481666666666667,0.44,0.431171127722852,0.3,0.392609338318407,0.393240093240093,0.353846153846154,0.144879757923236,0.145253456221198,0.134285714285714,0.349419191919192,0.271472527472527,0.236857142857143,0.320984042249826,0.192857142857143,0.290833333333333,0.253333333333333,0.265818193408555,0.362424242424242,0.1,0.323787878787879,0.278787878787879,0.274493927125506,-0.461429872495446,0.494244898239946,0.527271151779834,0.527271151779834,-0.437831336122255,0.412610879143199,0.382479874776386,0.382479874776386,0.382479874776386,-0.358971111904839,-0.489097661896954,-0.53692938009895,0.326280807724955,0.379059829059829,0.302911242507563,0.344444444444444,0.275091693635383,0.241111111111111,0.3,0.196666666666667,0.25,0.15,0.404360806609682,-0.333333333333333,0.1,-0.15,0.33714817519944,-0.324166666666667,-0.393063328424153
"TGF",0.530326086956522,0.546904761904762,0.593333333333333,0.526666666666667,0.46,0.474670008354219,0.333333333333333,0.431805467260013,0.423558897243108,0.376190476190476,0.231850419084462,0.22603128054741,0.211515151515151,0.265617816091954,0.341791979949875,0.315476190476191,0.461481481481482,0.258333333333333,0.203333333333333,0.153333333333333,0.319691948944526,0.38816091954023,0.2,0.343333333333333,0.273333333333333,0.181578947368421,-0.507068395626748,0.51086636890726,0.556159304717657,0.556159304717657,-0.514243894589953,0.391071428571429,0.335714285714286,0.335714285714286,0.335714285714286,-0.361550647656323,-0.59708594666917,-0.564506805455081,0.426594294484066,0.342264150943396,0.388316782522344,0.28,0.342264150943396,0.28,0.2,0.2,0.1,0.1,0.356084656084656,-0.133333333333333,0,-0.233333333333333,0.183357750050467,-0.234367816091954,-0.405627705627706
"cfos",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.242857142857143,0.389064112011791,0.32,0.319178037152721,0.336521739130435,0.28,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.159543721909313,0.157675438596491,0.120833333333333,0.362155844155844,0.0833333333333333,0.10952380952381,0.0761904761904762,0.208611111111111,0.212051282051282,0,0.17051282051282,0.116666666666667,0.193055555555556,-0.509936507936508,0.535891553701773,0.560496175871478,0.560496175871478,-0.531877013204303,0.344785854721292,0.303322440087146,0.303322440087146,0.303322440087146,-0.310213744588745,-0.61120282246208,-0.571971819030643,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,-0.0333333333333333,0.1,-0.0333333333333333,0.365130149024012,-0.138556067588326,-0.31979020979021
"CDC42",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.342857142857143,0.389064112011791,0.22,0.319178037152721,0.336521739130435,0.28,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.159543721909313,0.157675438596491,0.120833333333333,0.362155844155844,0.0833333333333333,0.10952380952381,0.0761904761904762,0.208611111111111,0.212051282051282,0,0.17051282051282,0.116666666666667,0.193055555555556,-0.509936507936508,0.535891553701773,0.560496175871478,0.560496175871478,-0.531877013204303,0.344785854721292,0.303322440087146,0.303322440087146,0.303322440087146,-0.310213744588745,-0.61120282246208,-0.571971819030643,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,-0.0333333333333333,0.1,-0.0333333333333333,0.365130149024012,-0.138556067588326,-0.31979020979021
"NOTCHic",0.421283739302172,0.441294614524119,0.396071684587814,0.331555555555555,0.255555555555556,0.408095238095238,0.22,0.332146927146927,0.350952380952381,0.286666666666667,0.184860646599777,0.0979753340184995,0.0814285714285714,0.173787281662044,0.172868217054264,0.133333333333333,0.380517322247095,0.0888888888888889,0.121794871794872,0.0833333333333333,0.221950950692673,0.228372544263885,0,0.186267281105991,0.231428571428571,0.221913875598086,-0.515648723257419,0.528976296340436,0.570966183574879,0.570966183574879,-0.529869037189696,0.344338609915821,0.303451910408432,0.303451910408432,0.303451910408432,-0.308712517019727,-0.622465254179266,-0.581865225333433,0.411438223717395,0.350169185653057,0.383193948908235,0.314685314685315,0.350949050949051,0.314685314685315,0.269230769230769,0.269230769230769,0.2,0.2,0.38293501048218,-0.0333333333333333,0.1,-0.0333333333333333,0.35217916982403,-0.151206636500754,-0.331283545659456
"TCFLEF",0.614417469256785,0.60368259773867,0.57619915403006,0.547227191413238,0.507692307692308,0.525681101708976,0.431428571428571,0.43247142676013,0.500511033681765,0.472891986062718,0.202196974022267,0.185159955337675,0.175408521303258,0.282916325049711,0.309984991165917,0.290419773774612,0.430360824704053,0.271064935064935,0.24047619047619,0.216666666666667,0.283584454025305,0.394824785652586,0.171428571428571,0.370572293958234,0.345082097879802,0.200614156302779,-0.438472434428317,0.485531215197445,0.57412586390218,0.57412586390218,-0.438320267887164,0.408179616721411,0.383606686366614,0.383606686366614,0.383606686366614,-0.355033732999687,-0.60690400210247,-0.585165423599158,0.210460247515781,0.270326282129351,0.190786707996881,0.2411337355455,0.266388082567328,0.237457264957265,0.209509803921569,0.205833333333333,0.174509803921569,0.170833333333333,0.601418315018315,-0.183333333333333,0.133333333333333,-0.235064935064935,0.323273384666987,-0.261443932411674,-0.434064379850301
"TGFR",0.572684165559142,0.593004052684904,0.546904761904762,0.593333333333333,0.526666666666667,0.514396035751479,0.376190476190476,0.469858564605146,0.474670008354219,0.423558897243108,0.248268329532223,0.239198540333886,0.22603128054741,0.294431375413988,0.37202453808941,0.341791979949875,0.503118492157638,0.315476190476191,0.234367816091954,0.203333333333333,0.351576006915541,0.430606962705698,0.233333333333333,0.38816091954023,0.343333333333333,0.224788823911631,-0.553496967055319,0.557625628166519,0.601064965095016,0.601064965095016,-0.564590314913279,0.437270258980785,0.391071428571429,0.391071428571429,0.391071428571429,-0.397491967949721,-0.649045060808864,-0.609374840645697,0.457506606264403,0.388070602556299,0.426594294484066,0.342264150943396,0.388316782522344,0.342264150943396,0.28,0.28,0.2,0.2,0.410591093852896,-0.153333333333333,0.1,-0.258333333333333,0.210978717792403,-0.265617816091954,-0.444199134199134
"PAK1",0.43894914399738,0.459965267776261,0.424446142093201,0.378991596638655,0.314285714285714,0.438397445345124,0.28,0.348056318775632,0.389064112011791,0.336521739130435,0.100476967398654,0.108190817545656,0.0933521078682369,0.182543721909313,0.187305068226121,0.157675438596491,0.394764539808018,0.120833333333333,0.138556067588326,0.10952380952381,0.234377982276755,0.245018315018315,0.0333333333333333,0.212051282051282,0.17051282051282,0.225728822882288,-0.55255945875618,0.571153759850055,0.601332188733215,0.601332188733215,-0.570888002215292,0.380240400175838,0.344785854721292,0.344785854721292,0.344785854721292,-0.336395562770563,-0.652517701354814,-0.613088570299678,0.451177771831237,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0761904761904762,0.2,-0.0833333333333333,0.384679021204463,-0.159543721909313,-0.354596839624464
"LIV1",0.43894914399738,0.459965267776261,0.424446142093201,0.378991596638655,0.314285714285714,0.438397445345124,0.28,0.348056318775632,0.389064112011791,0.336521739130435,0.100476967398654,0.108190817545656,0.0933521078682369,0.182543721909313,0.187305068226121,0.157675438596491,0.394764539808018,0.120833333333333,0.138556067588326,0.10952380952381,0.234377982276755,0.245018315018315,0.0333333333333333,0.212051282051282,0.17051282051282,0.225728822882288,-0.55255945875618,0.571153759850055,0.601332188733215,0.601332188733215,-0.570888002215292,0.380240400175838,0.344785854721292,0.344785854721292,0.344785854721292,-0.336395562770563,-0.652517701354814,-0.613088570299678,0.451177771831237,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0761904761904762,0.2,-0.0833333333333333,0.384679021204463,-0.159543721909313,-0.354596839624464
"EGR1",0.43894914399738,0.459965267776261,0.424446142093201,0.378991596638655,0.314285714285714,0.438397445345124,0.28,0.348056318775632,0.389064112011791,0.336521739130435,0.100476967398654,0.108190817545656,0.0933521078682369,0.182543721909313,0.187305068226121,0.157675438596491,0.394764539808018,0.120833333333333,0.138556067588326,0.10952380952381,0.234377982276755,0.245018315018315,0.0333333333333333,0.212051282051282,0.17051282051282,0.225728822882288,-0.55255945875618,0.571153759850055,0.601332188733215,0.601332188733215,-0.570888002215292,0.380240400175838,0.344785854721292,0.344785854721292,0.344785854721292,-0.336395562770563,-0.652517701354814,-0.613088570299678,0.451177771831237,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0761904761904762,0.2,-0.0833333333333333,0.384679021204463,-0.159543721909313,-0.354596839624464
"ZEB1",0.4615659358578,0.492546625750503,0.457900956459165,0.417799433616525,0.364176245210728,0.362637125334715,0.216666666666667,0.342754421627824,0.322549019607843,0.276666666666667,0.185035508532918,0.179052084573757,0.166552084573757,0.271016185510115,0.283277866798143,0.251849295369572,0.468667589504254,0.220701754385965,0.223106060606061,0.195833333333333,0.334010086578585,0.360722532814779,0.133333333333333,0.326838235294118,0.289583333333333,0.293879142300195,-0.550482353019713,0.52661698869488,0.601854961336397,0.601854961336397,-0.642802773516437,0.449617859322884,0.417649355385876,0.417649355385876,0.417649355385876,-0.380199776283705,-0.645708919145665,-0.621006598827741,0.496581356152962,0.450872070264829,0.475152784724391,0.420975163048334,0.449354912383965,0.419493801272854,0.384436701509872,0.38223889931207,0.338095238095238,0.335897435897436,0.48012547234277,-0.158333333333333,0.266666666666667,-0.173333333333333,0.399920344841828,-0.248596256684492,-0.328813417401425
"Csl",0.45634121056654,0.476442006814369,0.441294614524119,0.396071684587814,0.331555555555555,0.457008281573499,0.286666666666667,0.361791195921631,0.408095238095238,0.350952380952381,0.206429274050757,0.114086445129611,0.0979753340184995,0.197925212696527,0.204651162790698,0.172868217054264,0.413248699222265,0.133333333333333,0.151206636500754,0.121794871794872,0.248513450692673,0.262008907900249,0.0333333333333333,0.228372544263885,0.186267281105991,0.251995176411094,-0.559934437543133,0.563950196415008,0.612955133851122,0.612955133851122,-0.56885986287777,0.378897433445233,0.344338609915821,0.344338609915821,0.344338609915821,-0.334485712896016,-0.66409316115601,-0.624348885464152,0.435280419257704,0.382427250169186,0.411438223717395,0.350169185653057,0.383193948908235,0.350949050949051,0.314685314685315,0.314685314685315,0.269230769230769,0.269230769230769,0.419695935932052,-0.0833333333333333,0.2,-0.0888888888888889,0.371009151542494,-0.173787281662044,-0.367689075613373
"SMAD",0.488695187383365,0.508739239057842,0.470492227105651,0.42635814889336,0.371428571428571,0.464674513408572,0.314285714285714,0.385473906022293,0.41563605187011,0.369124423963134,0.229016604874041,0.117912315994508,0.204578982661174,0.301602406693723,0.306888888888889,0.272222222222222,0.427185887496303,0.238888888888889,0.250833333333333,0.220833333333333,0.353522133780198,0.363404488232074,0.15,0.326896551724138,0.286666666666667,0.255005915409642,-0.566923990542483,0.574045123979966,0.617579260784125,0.617579260784125,-0.578023798241557,0.455640873720626,0.420114557931152,0.420114557931152,0.420114557931152,-0.35631032849078,-0.670500090088891,-0.627944576508515,0.446528855163417,0.393703059530398,0.422820648476487,0.35989010989011,0.394462439521263,0.360644257703081,0.321428571428571,0.321428571428571,0.271428571428571,0.271428571428571,0.42823537846442,-0.183333333333333,0.2,-0.205555555555556,0.283425833059977,-0.277438837920489,-0.380295514127143
"SNAI1",0.469571761532323,0.491013654873035,0.459965267776261,0.424446142093201,0.378991596638655,0.475168745793555,0.336521739130435,0.274034966462465,0.438397445345124,0.389064112011791,0.118334110255796,0.119383929476776,0.108190817545656,0.204485469482129,0.217166179337232,0.187305068226121,0.423585052628531,0.157675438596491,0.159543721909313,0.138556067588326,0.257907394041461,0.27603872318158,0.0833333333333333,0.245018315018315,0.212051282051282,0.247238256844552,-0.589631109846523,0.600955972387768,0.636141536826696,0.636141536826696,-0.603530489261924,0.408483421522307,0.380240400175838,0.380240400175838,0.380240400175838,-0.357979721186404,-0.688001572322556,-0.649111625054721,0.470950616436297,0.426375191209496,0.451177771831237,0.397673180240574,0.427177771831237,0.398659253312719,0.364990253411306,0.365985985985986,0.328148148148148,0.328148148148148,0.464793733700695,-0.10952380952381,0.28,-0.120833333333333,0.400687793134288,-0.182543721909313,-0.38639600280438
"GLI",0.499191068971448,0.616866227818388,0.577572110171329,0.530402298850575,0.468333333333333,0.556203750209275,0.402857142857143,0.40888204280277,0.509242424242424,0.461190476190476,0.15473324072645,0.158369988985897,0.144856475472383,0.324973091900828,0.239155739050006,0.206343239050006,0.428092680758216,0.175730994152047,0.273339598997494,0.247023809523809,0.276800336507992,0.291431097637994,0.0833333333333333,0.254288240495137,0.214288240495137,0.233301153124162,-0.586816816816817,0.591063581491758,0.636728537293053,0.636728537293053,-0.591363051192571,0.472045886411353,0.434620143837095,0.434620143837095,0.434620143837095,-0.423700471024432,-0.675868564374612,-0.64740096848456,0.473749037220735,0.41538939803787,0.447628296037233,0.478368121442125,0.415810114219051,0.37874114870181,0.434838709677419,0.334838709677419,0.38,0.28,0.445668780193237,-0.20952380952381,0.2,-0.138888888888889,0.347555019615327,-0.299870211242392,-0.408715571088957
