"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","EGR1","SNAI1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","IKK","NFB","TWIST1","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","SNAI2","ZEB2","ZEB1","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","miR200","GSK3","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Jagged",0.2,0.2,0.1,0,0,0.1,0,0.2,0,0,0.1,0,0,0.2,0.1,0,0,0.26,0,0,0.233333333333333,0,0.3,0.2,0.1,0.1,0,0.32051282051282,0.1,0.1,-0.423636363636364,0.26,0.2,0.2,0.2,-0.473333333333333,-0.1,-0.242857142857143,0.296078431372549,0.233333333333333,0.266666666666667,0.2,0.233333333333333,0.2,0.1,0.1,0,0,0.26,0,0,0,0.272268907563025,-0.1,-0.1
"DELTA",0.2,0.2,0.1,0,0,0.1,0,0.2,0,0,0.1,0,0,0.2,0.1,0,0,0.26,0,0,0.233333333333333,0,0.3,0.2,0.1,0.1,0,0.32051282051282,0.1,0.1,-0.423636363636364,0.26,0.2,0.2,0.2,-0.473333333333333,-0.1,-0.242857142857143,0.296078431372549,0.233333333333333,0.266666666666667,0.2,0.233333333333333,0.2,0.1,0.1,0,0,0.26,0,0,0,0.272268907563025,-0.1,-0.1
"Destcompl",0.0575737114886265,0.0261867691475904,0.0291807811236383,0.0273141144569716,0.0210204081632653,0.0518591361600828,0.0625641025641026,0.0963387806550135,0.0529207072853482,0.0534731934731935,0.00960065882221571,0.0137236562989215,0.0133677844128005,-0.119854447227194,0.0449802631010685,0.0496782496782497,0.0523809523809524,-0.0395063677681726,-0.111877394636015,-0.111877394636015,-0.185638881146435,0.0523809523809524,-0.0598730284697872,-0.0560654132393263,-0.0549784567175871,-0.0615227986225714,-0.203442038325066,-0.233686224317743,0.192752926755859,0.192752926755859,0.214980861317415,0.00185341010655424,0.00295231120545534,0.00295231120545534,0.00295231120545534,0.0515054806913241,-0.204377192879489,-0.0887065716616701,-0.186599703442635,-0.185758339602481,-0.186062756370275,-0.183346465762036,-0.185102536891537,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.238655152327198,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.0199684390055427,0.116540607071248,-0.122512872051445
"NOTCH",0.275,0.263636363636364,0.2,0.1,0,0.2,0,0.24,0.1,0,0.1,0.0333333333333333,0,0.233333333333333,0.2,0.1,0,0.315555555555556,0.1,0,0.266666666666667,0,0.26,0.3,0.2,0.2,-0.1,0.363369963369963,0.2,0.2,-0.473636363636364,0.306666666666667,0.26,0.26,0.26,-0.540900900900901,-0.2,-0.276190476190476,0.326310989512084,0.266666666666667,0.296078431372549,0.233333333333333,0.266666666666667,0.233333333333333,0.2,0.2,0.1,0.1,0.305454545454545,0,0,0,0.294008037997808,-0.2,-0.2
"AXIN2",0.110735221220448,0.0646949538177974,0.0638602292768959,0.0647530864197531,0.0783333333333333,0.111807866676798,0.153333333333333,0.155461955461955,0.117363422232353,0.131382113821138,0.0187481889307447,0.0180841959972395,0.0220841959972395,-0.153439770611902,0.101497584541063,0.104830917874396,0.109178743961353,-0.0369198527687115,-0.152930402930403,-0.157692307692308,-0.220035634166069,0.122222222222222,-0.0536633814265393,-0.052312030075188,-0.0505263157894737,-0.0772774023545412,-0.25299379463763,-0.2770293397946,0.245359499541986,0.245359499541986,0.249361722350851,0.0667622309742845,0.069649370081896,0.069649370081896,0.069649370081896,0.0626598107276292,-0.259503137615992,-0.170421160202625,-0.239910020349699,-0.237208142308837,-0.238655152327198,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,-0.133333333333333,0.15,-0.233333333333333,0.159719384343445,0.151144688644689,-0.178917710348573
"NOTCHic",0.322368421052632,0.307636363636364,0.263636363636364,0.2,0.1,0.281818181818182,0,0.273333333333333,0.2,0.1,0.142857142857143,0.0666666666666667,0.0333333333333333,0.266666666666667,0.26,0.2,0.1,0.348888888888889,0.2,0.1,0.297101449275362,0,0.305454545454545,0.26,0.3,0.25,-0.166666666666667,0.402006327006327,0.264705882352941,0.264705882352941,-0.521136363636364,0.345128205128205,0.306666666666667,0.306666666666667,0.306666666666667,-0.593376148425653,-0.27,-0.304190476190476,0.353267511251214,0.296078431372549,0.326310989512084,0.266666666666667,0.296078431372549,0.266666666666667,0.233333333333333,0.233333333333333,0.2,0.2,0.341168831168831,0,0,0.1,0.312652105794418,-0.233333333333333,-0.245454545454545
"Wnt",0.175218295218295,0.202222222222222,0.146666666666667,0.1,0.1,0.119607843137255,0.1,0.102753623188406,0.0666666666666667,0.0666666666666667,0.0656410256410257,0.0566487775790101,0.058974358974359,0.10974025974026,0.136666666666667,0.0866666666666667,0.0666666666666667,0.221659125188537,0.05,0,0.153259803921569,0.1,0.192857142857143,0.142857142857143,0.1,0.0939393939393939,-0.262745098039216,0.340258620689655,0.302745098039216,0.302745098039216,-0.334703389830508,0.150615174299385,0.118796992481203,0.118796992481203,0.118796992481203,-0.402123915071669,-0.305185185185185,-0.0729623824451411,0.328800478016233,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,-0.1,0,0,-0.0233176107971793,-0.0954545454545455,-0.117826086956522
"Csl",0.355701754385965,0.340068796068796,0.307636363636364,0.263636363636364,0.2,0.328877005347594,0.1,0.305098039215686,0.281818181818182,0.2,0.184033613445378,0.0906666666666667,0.0666666666666667,0.297916666666667,0.302857142857143,0.26,0.2,0.381321321321321,0.233333333333333,0.2,0.328135932033983,0.1,0.342296650717703,0.305454545454545,0.26,0.268181818181818,-0.222222222222222,0.435623348282923,0.312705882352941,0.312705882352941,-0.560025252525252,0.375897435897436,0.345128205128205,0.345128205128205,0.345128205128205,-0.63644184185631,-0.32,-0.328221483942414,0.376344434328137,0.326310989512084,0.353267511251214,0.296078431372549,0.326310989512084,0.296078431372549,0.266666666666667,0.266666666666667,0.233333333333333,0.233333333333333,0.373563197366014,0,-0.1,0.2,0.328407732804064,-0.266666666666667,-0.288311688311688
"Frizzled",0.211688883453589,0.238760683760684,0.202222222222222,0.146666666666667,0.1,0.163004069552349,0.0666666666666667,0.117507721549062,0.119607843137255,0.0666666666666667,0.0635133660665576,0.0633154442456768,0.0566487775790101,0.119417679095098,0.161666666666667,0.136666666666667,0.0866666666666667,0.243563887093299,0.0954545454545455,0.05,0.16437091503268,0.0666666666666667,0.222268907563025,0.192857142857143,0.142857142857143,0.127272727272727,-0.299330463892874,0.368106721955478,0.336745098039216,0.336745098039216,-0.36655052358847,0.173449819968676,0.150615174299385,0.150615174299385,0.150615174299385,-0.436865699109228,-0.34010582010582,-0.0929623824451411,0.348609547228643,0.308270676691729,0.328800478016233,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,-0.1,0,0.1,-0.00819824740195381,-0.10974025974026,-0.139254658385093
"HEY1",0.387777226084078,0.371751964385628,0.340068796068796,0.307636363636364,0.263636363636364,0.36429367201426,0.2,0.332291021671827,0.328877005347594,0.281818181818182,0.111306340718105,0.105372549019608,0.0906666666666667,0.324798387096774,0.33989417989418,0.302857142857143,0.26,0.411024291618351,0.266666666666667,0.233333333333333,0.354196538094589,0.2,0.376317269274404,0.342296650717703,0.305454545454545,0.28138936535163,-0.265618448637317,0.464864059106832,0.352303197789183,0.352303197789183,-0.592660505579354,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.672878012069076,-0.360540540540541,-0.348106210167198,0.395546429340606,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.325811688311688
