"","FOXC2","TGF","TGFR","PAK1","CDC42","cateninmemb","EGR1","cfos","ILK","SMAD","ERK","SNAI1","MEK","Ecadherin","NFB","Csn","SHH","IKK","SMO","AKT","FUS","Jagged","TWIST1","KLF4","Csl","NOTCHic","NOTCH","GSK3","SOSGRB2","ZEB2","ZEB1","miR200","SNAI2","RAF","PI3K","DELTA","RAS","TrCP","SUFU","Patched","HEY1","Wnt","GLI","Frizzled","cateninnuc","TCFLEF","cMet","CD44","DSH","SRC","RKIP","STAT","LIV1","AXIN2","Destcompl"
"Csn",0.253628756931699,0.279771395206155,0.252802421459138,0.145454545454545,0.206648575305292,-0.435901409479743,0.106666666666667,0.161212121212121,0.0687370600414079,0.0823617387046469,0.209264069264069,0.164599911436857,0.244680735930736,-0.507140176446291,0.155,0.105,0.139396839132429,0.184166666666667,0.108513708513709,0.205766666666667,0.0873015873015873,0.185808952020647,0.293994078229702,-0.399880772821949,0.201010101010101,0.238672438672439,0.263672438672439,-0.148587859727798,0.171982013144241,0.437214226633582,0.437214226633582,-0.445018334053115,0.436065963686064,0.209087341122483,0.209087341122483,0.209087341122483,0.236534558013078,-0.18,-0.0428571428571429,-0.124642740771773,-0.0570598006644518,0.348511286525412,0.37252875377432,0.318390804597701,0.415085264818922,0.394820682738345,0.348511286525412,0.372955730969856,0.266666666666667,0.318390804597701,-0.180116926807423,0.266666666666667,0.2,0.405936614730878,0.0485172028834988
"STAT",0.218786639400136,0.21176467189053,0.194856459330144,0.140909090909091,0.165909090909091,-0.0569067535760598,0.2,0.18,0.0615136876006441,0.0649619634627131,0.191764705882353,0.148182485181735,0.207893738140417,-0.196794136306644,0.02,0,0.0628225972422309,0.0342857142857143,0.045,0.0427602905569007,0.025,0.0664389729610084,0.0792589635917972,-0.326728064963359,-0.00392156862745098,0.0204027556968733,0.0330241149201743,0.0433466844681798,-0.0069376026272578,0.442935269858347,0.442935269858347,-0.458532927961468,0.102930340447931,-0.044194582299421,-0.044194582299421,-0.044194582299421,-0.0315080151352419,0,0,-0.0566279069767442,-0.0653333333333333,-0.00146103896103896,0.0094633307868602,-0.0196428571428571,0.0282143085288166,0.0187983371342993,-0.00146103896103896,0.00965007215007215,-0.0571428571428571,-0.0196428571428571,-0.171240347490347,-0.0571428571428571,0,-0.0441989383165854,-0.0651254560072004
"cMet",0.402800632911392,0.402009456264775,0.372222222222222,0.3,0.35,-0.162419994003624,0.325,0.385,0.197619047619048,0.21034632034632,0.415,0.401833229710125,0.420454545454546,-0.287809572192558,0.266666666666667,0.2,0.202272727272727,0.26,0.15,0.2725,0.15,0.217253471166515,0.385552948923735,-0.320634920634921,0.242857142857143,0.24812030075188,0.275779875219965,-0.251900921658986,0.0109523809523809,0.458008658008658,0.458008658008658,-0.467637104743083,0.474657183854264,0.198095238095238,0.198095238095238,0.198095238095238,0.235831087151842,-0.2,-0.1,-0.177272727272727,-0.1406260749914,0.01,0.0690909090909091,-0.05,0.140751442749866,0.109677996422182,0.01,0.0681395348837209,-0.1,0.05,-0.453333333333333,0,0.1,0.0255555555555556,-0.140671059578623
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,-0.429175050301811,0.1,0.2,0.0666666666666667,0.0714285714285714,0.22,0.258333333333333,0.286666666666667,-0.503754385964912,0,0,0.121794871794872,0.0333333333333333,0.0333333333333333,0.0888888888888889,0,0.166493506493506,0.293,-0.405555555555556,0.1,0.16,0.231428571428571,-0.23639846743295,0.12,0.46207729468599,0.46207729468599,-0.472121212121212,0.43868778280543,0.18,0.18,0.18,0.252727272727273,0,0,-0.0833333333333333,0.0333333333333333,0.2,0.269230769230769,0.1,0.348751248751249,0.314685314685315,0.2,0.269230769230769,0,0.1,-0.235897435897436,0,0,0.28,0.300540540540541
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,-0.429175050301811,0.1,0.2,0.0666666666666667,0.0714285714285714,0.22,0.258333333333333,0.286666666666667,-0.503754385964912,0,0,0.121794871794872,0.0333333333333333,0.0333333333333333,0.0888888888888889,0,0.166493506493506,0.293,-0.405555555555556,0.1,0.16,0.231428571428571,-0.23639846743295,0.12,0.46207729468599,0.46207729468599,-0.472121212121212,0.43868778280543,0.18,0.18,0.18,0.252727272727273,0,0,-0.0833333333333333,0.0333333333333333,0.2,0.269230769230769,0.1,0.348751248751249,0.314685314685315,0.2,0.269230769230769,0,0.1,-0.235897435897436,0,0,0.28,0.300540540540541
"NFB",0.542826558125363,0.573495716660274,0.529191919191919,0.405555555555556,0.469191919191919,-0.602737175908437,0.142857142857143,0.178857142857143,0.18578795379538,0.199542600635528,0.252190476190476,0.322875995832704,0.306438842203548,-0.715022961576205,0.264285714285714,0.314285714285714,0.279830740586869,0.321042471042471,0.228148148148148,0.358820248820249,0.18,0.310531308786148,0.565877684407096,-0.41529304029304,0.307359307359307,0.362914862914863,0.40226970162454,-0.250465416936005,0.336627598407784,0.474843833722237,0.474843833722237,-0.479293751915583,0.695178986989977,0.379190204749367,0.379190204749367,0.379190204749367,0.413021050520512,-0.3,-0.12,-0.2557343550447,-0.166791979949875,0.373162393162393,0.405746662825314,0.331623931623932,0.458920511213304,0.434057766115264,0.373162393162393,0.405365782992902,0.277777777777778,0.331623931623932,-0.315783942833123,0.277777777777778,0.2,0.440197568389058,0.156555537131828
"SRC",0.40859943977591,0.400551948051948,0.369642857142857,0.333333333333333,0.345833333333333,-0.0995124232899266,0.3,0.327272727272727,0.109429824561404,0.113934329065908,0.316161616161616,0.308263226544133,0.333142748237088,-0.258087527940469,0.15,0.15,0.0953812636165577,0.157692307692308,0.0533333333333333,0.168803418803419,0.0333333333333333,0.108640908021642,0.257110016420361,-0.354328165374677,0.12,0.143809523809524,0.168809523809524,-0.151168831168831,0.00857142857142857,0.481079664570231,0.481079664570231,-0.493078612209047,0.203781575115618,0.191973299958281,0.191973299958281,0.191973299958281,0.217730875715857,-0.1,-0.0333333333333333,-0.0718518518518519,-0.0730304534922211,0,0.0311475409836066,-0.05,0.0736585902551731,0.0555377848860456,0,0.0311475409836066,-0.1,-0.05,-0.405408927989573,0,0,-0.0293425134939861,-0.082548574613792
"SMO",0.431379310344828,0.52490990990991,0.481666666666667,0.4,0.44,-0.394564324738142,0.2,0.3,0.12,0.134285714285714,0.353846153846154,0.363364055299539,0.393240093240093,-0.434896623238077,0.15,0.1,0.324166666666667,0.192857142857143,0.253333333333333,0.236857142857143,0.333333333333333,0.239312169312169,0.284858387799564,-0.413888888888889,0.233333333333333,0.278787878787879,0.323787878787879,-0.335225292506846,0.255263157894737,0.482485875706215,0.482485875706215,-0.492374924653406,0.457565407772304,0.347596153846154,0.347596153846154,0.347596153846154,0.382479874776386,0,-0.3,-0.290833333333333,-0.104029304029304,0.3,0.344444444444444,0.25,0.299465735536252,0.273149946062567,0.196666666666667,0.241111111111111,0.2,0.15,-0.352857142857143,0.1,0.1,0.366472607851918,0.318416777021428
"TWIST1",0.533506956284526,0.519613131154448,0.482938871473354,0.381818181818182,0.440438871473354,-0.642675328869758,0.28,0.371304347826087,0.21981526981527,0.237967084996788,0.431830663615561,0.476322105036591,0.476109270580735,-0.801456652996166,0.369230769230769,0.3,0.454866170306888,0.416849816849817,0.391555555555556,0.459222698205749,0.355555555555556,0.404081164705609,0.459652982092913,-0.404315196998124,0.335555555555555,0.376581196581197,0.415260441864215,-0.398562008012345,0.314044866905279,0.486838592978944,0.486838592978944,-0.495096950005241,0.723795179851101,0.41626432835794,0.41626432835794,0.41626432835794,0.446743780412734,-0.2,-0.3,-0.425802130898021,-0.175327497361396,0.377593984962406,0.410393984962406,0.342857142857143,0.460092260930582,0.437148040114021,0.376899696048632,0.40942981653056,0.309523809523809,0.342857142857143,-0.459908403386664,0.309523809523809,0.266666666666667,0.453820319465481,0.391553767891692
"NOTCH",0.376122448979592,0.396071684587814,0.331555555555555,0.2,0.255555555555556,-0.477866149778251,0.2,0.22,0.0714285714285714,0.0814285714285714,0.286666666666667,0.299871794871795,0.350952380952381,-0.562625353706848,0.0333333333333333,0,0.151206636500754,0.0888888888888889,0.0833333333333333,0.133333333333333,0.0333333333333333,0.196123136123136,0.342152542372881,-0.46207729468599,0.16,0.231428571428571,0.186267281105991,-0.277307558342041,0.167368421052632,0.52133655394525,0.52133655394525,-0.529264069264069,0.486835930953578,0.252727272727273,0.252727272727273,0.252727272727273,0.303451910408432,0,0,-0.121794871794872,0.0289855072463768,0.269230769230769,0.314685314685315,0.2,0.378547167118596,0.348751248751249,0.269230769230769,0.314685314685315,0.1,0.2,-0.28762157382847,0.1,0,0.338490566037736,0.328577923718111
"FUS",0.472168784029038,0.566399271612038,0.52490990990991,0.44,0.481666666666667,-0.430504734421569,0.3,0.353846153846154,0.134285714285714,0.145253456221198,0.393240093240093,0.392609338318407,0.431171127722852,-0.475992513649036,0.192857142857143,0.15,0.349419191919192,0.236857142857143,0.290833333333333,0.271472527472527,0.253333333333333,0.264613374131446,0.319936921830978,-0.461429872495446,0.278787878787879,0.323787878787879,0.362424242424242,-0.358971111904839,0.274493927125506,0.527271151779834,0.527271151779834,-0.53692938009895,0.492215318005698,0.382479874776386,0.382479874776386,0.382479874776386,0.411737516697784,-0.1,-0.333333333333333,-0.324166666666667,-0.114174231565536,0.344444444444444,0.377136752136752,0.3,0.321204865971034,0.299465735536252,0.241111111111111,0.273149946062567,0.25,0.196666666666667,-0.393063328424153,0.15,0.1,0.403118570584838,0.335497068992231
"TGF",0.491987577639752,0.496706349206349,0.552063492063492,0.46,0.504444444444444,-0.309359469454224,0.333333333333333,0.376190476190476,0.211515151515151,0.222805474095797,0.413032581453634,0.404653528289892,0.441921470342523,-0.405061792873574,0.258333333333333,0.233333333333333,0.238929597701149,0.301190476190476,0.186666666666667,0.316979949874687,0.153333333333333,0.267673048600884,0.400740740740741,-0.498372743452835,0.253333333333333,0.303333333333333,0.337816091954023,-0.297984033796167,0.140789473684211,0.542009107089199,0.542009107089199,-0.550665809286499,0.396470761463132,0.251190476190476,0.251190476190476,0.251190476190476,0.294047619047619,-0.2,-0.133333333333333,-0.210804597701149,-0.176079948420374,0.141428571428571,0.192371967654987,0.0714285714285714,0.254117239926575,0.22445216815624,0.136666666666667,0.187610062893082,0,0.0666666666666667,-0.383549783549784,0,0,0.16984126984127,0.0610995583813442
"cfos",0.403776730204277,0.424446142093201,0.378991596638655,0.242857142857143,0.314285714285714,-0.522833048960466,0.32,0.28,0.0788359788359788,0.0933521078682369,0.336521739130435,0.319178037152721,0.389064112011791,-0.597676872547056,0.0833333333333333,0.0333333333333333,0.159543721909313,0.120833333333333,0.10952380952381,0.157675438596491,0.0761904761904762,0.207048611111111,0.360640692640693,-0.509936507936508,0.116666666666667,0.17051282051282,0.212051282051282,-0.309172077922078,0.193055555555556,0.560496175871478,0.560496175871478,-0.571971819030643,0.532646380383607,0.303322440087146,0.303322440087146,0.303322440087146,0.34356634252617,0,-0.0333333333333333,-0.138556067588326,-0.0744627686156921,0.328148148148148,0.362358674463938,0.28,0.42039366098772,0.392986253580313,0.328148148148148,0.363283283283283,0.2,0.28,-0.31979020979021,0.2,0.1,0.393399014778325,0.362279921796192
"CDC42",0.403776730204277,0.424446142093201,0.378991596638655,0.342857142857143,0.314285714285714,-0.522833048960466,0.22,0.28,0.0788359788359788,0.0933521078682369,0.336521739130435,0.319178037152721,0.389064112011791,-0.597676872547056,0.0833333333333333,0.0333333333333333,0.159543721909313,0.120833333333333,0.10952380952381,0.157675438596491,0.0761904761904762,0.207048611111111,0.360640692640693,-0.509936507936508,0.116666666666667,0.17051282051282,0.212051282051282,-0.309172077922078,0.193055555555556,0.560496175871478,0.560496175871478,-0.571971819030643,0.532646380383607,0.303322440087146,0.303322440087146,0.303322440087146,0.34356634252617,0,-0.0333333333333333,-0.138556067588326,-0.0744627686156921,0.328148148148148,0.362358674463938,0.28,0.42039366098772,0.392986253580313,0.328148148148148,0.363283283283283,0.2,0.28,-0.31979020979021,0.2,0.1,0.393399014778325,0.362279921796192
"NOTCHic",0.421283739302172,0.441294614524119,0.396071684587814,0.255555555555556,0.331555555555555,-0.522288056471963,0.22,0.286666666666667,0.0814285714285714,0.0979753340184995,0.350952380952381,0.332146927146927,0.408095238095238,-0.610864251103479,0.0888888888888889,0.0333333333333333,0.173787281662044,0.133333333333333,0.121794871794872,0.172868217054264,0.0833333333333333,0.220626447381414,0.379259460611875,-0.515648723257419,0.231428571428571,0.186267281105991,0.228372544263885,-0.307886070738735,0.221913875598086,0.570966183574879,0.570966183574879,-0.581865225333433,0.52631488886941,0.303451910408432,0.303451910408432,0.303451910408432,0.343353388240944,0,-0.0333333333333333,-0.151206636500754,0.0243701226309922,0.314685314685315,0.348018648018648,0.269230769230769,0.405875411393405,0.378547167118596,0.314685314685315,0.348751248751249,0.2,0.269230769230769,-0.331283545659456,0.2,0.1,0.381546121593291,0.349911257051444
"SMAD",0.40654188621922,0.411538725702983,0.384447092236848,0.30952380952381,0.350368879946345,-0.318653764207108,0.285714285714286,0.308294930875576,0.193038924545774,0.101610353117202,0.34085307041046,0.315200322974517,0.374506916564306,-0.4180274968057,0.197619047619048,0.183333333333333,0.243584518490729,0.223109243697479,0.208333333333333,0.245775910364146,0.183333333333333,0.262321603128055,0.318357211839276,-0.536382928912962,0.207619047619048,0.238653530377668,0.263256704980843,-0.235651231252735,0.177447500739426,0.5717863817372,0.5717863817372,-0.583640192343178,0.378309067347122,0.268055275146978,0.268055275146978,0.268055275146978,0.291739485673294,-0.15,-0.158333333333333,-0.227599388379205,-0.151833237361135,0.18962148962149,0.212643072355303,0.162698412698413,0.24325750272202,0.226337543248869,0.183482726423903,0.206391817332994,0.123809523809524,0.156031746031746,-0.320413880779734,0.117142857142857,0.06,0.199159188293314,0.10756577111115
"TCFLEF",0.616716319831497,0.604889504961545,0.578068312908565,0.507692307692308,0.547227191413238,-0.425950467523617,0.431428571428571,0.472891986062718,0.175408521303258,0.185159955337675,0.500511033681765,0.435117130661064,0.527721918035507,-0.587936069145213,0.271064935064935,0.235064935064935,0.28168933118468,0.290419773774612,0.24047619047619,0.311071947687656,0.216666666666667,0.280076377708596,0.429011752191405,-0.440433218742042,0.345082097879802,0.370572293958234,0.394160333825343,-0.356673587901445,0.200614156302779,0.576925793017898,0.576925793017898,-0.587983970514091,0.48075804091544,0.384162643045315,0.384162643045315,0.384162643045315,0.406895888774618,-0.171428571428571,-0.183333333333333,-0.261443932411674,-0.103479684080312,0.237714932126697,0.264423006660858,0.209509803921569,0.202377954503514,0.183477610860902,0.234038461538462,0.260453555878084,0.174509803921569,0.205833333333333,-0.437425724388116,0.170833333333333,0.133333333333333,0.596820512820513,0.318510863145469
"TGFR",0.529105481569883,0.536422661263087,0.496706349206349,0.504444444444444,0.552063492063492,-0.349082333195563,0.376190476190476,0.413032581453634,0.222805474095797,0.232414015021064,0.441921470342523,0.434447038614376,0.473428319657591,-0.446799441936606,0.301190476190476,0.258333333333333,0.262093439509059,0.316979949874687,0.210804597701149,0.342561345223524,0.186666666666667,0.293035367441463,0.435972057466719,-0.541229886309978,0.303333333333333,0.337816091954023,0.373067890515174,-0.325123398099345,0.174122807017544,0.581631748598633,0.581631748598633,-0.590841762365678,0.433739279981651,0.294047619047619,0.294047619047619,0.294047619047619,0.329135338345865,-0.233333333333333,-0.153333333333333,-0.238929597701149,-0.185035172300971,0.192371967654987,0.229146161203374,0.141428571428571,0.278652226640481,0.254117239926575,0.187610062893082,0.22445216815624,0.0714285714285714,0.136666666666667,-0.417835497835498,0.0666666666666667,0,0.213188909326248,0.0824705261232796
"ZEB1",0.433367641111937,0.458539870185083,0.427437507980358,0.350383141762452,0.392412127269698,-0.546586794496913,0.216666666666667,0.268666666666667,0.164292197568108,0.174388351414261,0.30278431372549,0.319678317948485,0.337586075840028,-0.542947877976674,0.210175438596491,0.173333333333333,0.249162971561967,0.234765602530917,0.206060606060606,0.263337031102346,0.183333333333333,0.301218069666491,0.428467430100782,-0.5422900419896,0.264583333333333,0.295955882352941,0.326534394749635,-0.345239569206627,0.266315789473684,0.588107969286204,0.588107969286204,-0.607645576586051,0.465134091334314,0.371452032526974,0.371452032526974,0.371452032526974,0.398066205755321,-0.133333333333333,-0.158333333333333,-0.229590017825312,-0.138494631447999,0.364631912802645,0.390405108678933,0.331939605110337,0.427678798840277,0.409479190229709,0.361976235146967,0.387670679591411,0.29047619047619,0.328642901813634,-0.311124954993427,0.287179487179487,0.233333333333333,0.415435616327535,0.349928201632178
"PAK1",0.438259488824967,0.458872371601398,0.424446142093201,0.314285714285714,0.378991596638655,-0.560378836506254,0.28,0.336521739130435,0.0933521078682369,0.108190817545656,0.389064112011791,0.347101664837685,0.438397445345124,-0.637192443481312,0.120833333333333,0.0833333333333333,0.181543721909313,0.157675438596491,0.138556067588326,0.187305068226121,0.10952380952381,0.230974991479209,0.391618953510258,-0.55255945875618,0.17051282051282,0.212051282051282,0.243919413919414,-0.334262987012987,0.225728822882288,0.601332188733215,0.601332188733215,-0.613088570299678,0.566461931920677,0.34356634252617,0.34356634252617,0.34356634252617,0.377202706162534,-0.0333333333333333,-0.0761904761904762,-0.159543721909313,-0.0818157097921627,0.362358674463938,0.392114772024913,0.328148148148148,0.443704005815307,0.42039366098772,0.363283283283283,0.392986253580313,0.28,0.328148148148148,-0.354596839624464,0.28,0.2,0.428619140564489,0.380776162397695
"LIV1",0.438259488824967,0.458872371601398,0.424446142093201,0.314285714285714,0.378991596638655,-0.560378836506254,0.28,0.336521739130435,0.0933521078682369,0.108190817545656,0.389064112011791,0.347101664837685,0.438397445345124,-0.637192443481312,0.120833333333333,0.0833333333333333,0.181543721909313,0.157675438596491,0.138556067588326,0.187305068226121,0.10952380952381,0.230974991479209,0.391618953510258,-0.55255945875618,0.17051282051282,0.212051282051282,0.243919413919414,-0.334262987012987,0.225728822882288,0.601332188733215,0.601332188733215,-0.613088570299678,0.566461931920677,0.34356634252617,0.34356634252617,0.34356634252617,0.377202706162534,-0.0333333333333333,-0.0761904761904762,-0.159543721909313,-0.0818157097921627,0.362358674463938,0.392114772024913,0.328148148148148,0.443704005815307,0.42039366098772,0.363283283283283,0.392986253580313,0.28,0.328148148148148,-0.354596839624464,0.28,0.2,0.428619140564489,0.380776162397695
"EGR1",0.438259488824967,0.458872371601398,0.424446142093201,0.314285714285714,0.378991596638655,-0.560378836506254,0.28,0.336521739130435,0.0933521078682369,0.108190817545656,0.389064112011791,0.347101664837685,0.438397445345124,-0.637192443481312,0.120833333333333,0.0833333333333333,0.181543721909313,0.157675438596491,0.138556067588326,0.187305068226121,0.10952380952381,0.230974991479209,0.391618953510258,-0.55255945875618,0.17051282051282,0.212051282051282,0.243919413919414,-0.334262987012987,0.225728822882288,0.601332188733215,0.601332188733215,-0.613088570299678,0.566461931920677,0.34356634252617,0.34356634252617,0.34356634252617,0.377202706162534,-0.0333333333333333,-0.0761904761904762,-0.159543721909313,-0.0818157097921627,0.362358674463938,0.392114772024913,0.328148148148148,0.443704005815307,0.42039366098772,0.363283283283283,0.392986253580313,0.28,0.328148148148148,-0.354596839624464,0.28,0.2,0.428619140564489,0.380776162397695
"Csl",0.455766497922862,0.475534977335911,0.441294614524119,0.331555555555555,0.396071684587814,-0.560055640569822,0.286666666666667,0.350952380952381,0.0979753340184995,0.114086445129611,0.408095238095238,0.361000682087639,0.457008281573499,-0.650747972033711,0.133333333333333,0.0888888888888889,0.19706314373101,0.172868217054264,0.151206636500754,0.204651162790698,0.121794871794872,0.245626447381414,0.410636435781175,-0.559934437543133,0.186267281105991,0.228372544263885,0.261099816991158,-0.33277561418498,0.251995176411094,0.612955133851122,0.612955133851122,-0.624348885464152,0.560095649495808,0.343353388240944,0.343353388240944,0.343353388240944,0.376441623535062,-0.0333333333333333,-0.0833333333333333,-0.173787281662044,0.0158733906048484,0.348018648018648,0.377857357696067,0.314685314685315,0.429145851644977,0.405875411393405,0.348751248751249,0.378547167118596,0.269230769230769,0.314685314685315,-0.367689075613373,0.269230769230769,0.2,0.41625049177324,0.367888100439622
"SNAI1",0.467611458329414,0.488307855472365,0.458872371601398,0.378991596638655,0.424446142093201,-0.591777800236824,0.336521739130435,0.389064112011791,0.108190817545656,0.119383929476776,0.438397445345124,0.272190632809215,0.474720315300281,-0.6705951489964,0.157675438596491,0.120833333333333,0.202320420938439,0.187305068226121,0.159543721909313,0.216471734892788,0.138556067588326,0.253798520890974,0.41941382530513,-0.589631109846523,0.212051282051282,0.243919413919414,0.273307169021455,-0.355451105824868,0.24648353986342,0.635649531906646,0.635649531906646,-0.648727379137334,0.595191398900228,0.377202706162534,0.377202706162534,0.377202706162534,0.404460505834127,-0.0833333333333333,-0.10952380952381,-0.181543721909313,-0.0913395193159723,0.392114772024913,0.419719890854895,0.362358674463938,0.462754083254646,0.443704005815307,0.392986253580313,0.42039366098772,0.328148148148148,0.363283283283283,-0.385559182720698,0.328148148148148,0.28,0.458922170867519,0.396072215029274
"GLI",0.495275627794978,0.611526975136183,0.575056386900889,0.468333333333333,0.530402298850575,-0.565975965620565,0.402857142857143,0.461190476190476,0.144856475472383,0.158369988985897,0.509242424242424,0.405544705808947,0.555098777833584,-0.640979920619941,0.175730994152047,0.138888888888889,0.321286185039318,0.206343239050006,0.273339598997494,0.237593239050006,0.247023809523809,0.268674660189846,0.419438092562031,-0.586816816816817,0.214288240495137,0.251788240495137,0.286073954780851,-0.417809954871959,0.231531241619737,0.635670336234852,0.635670336234852,-0.646560632350106,0.578515602380323,0.428149965950803,0.428149965950803,0.428149965950803,0.463199470901298,-0.0833333333333333,-0.20952380952381,-0.297829394915861,-0.129421978700417,0.467210626185958,0.400827647462554,0.428387096774194,0.455588499012017,0.430902306543398,0.367411487018096,0.401032176673268,0.38,0.328387096774194,-0.406828778636127,0.28,0.2,0.432744565217391,0.336826718821612
