"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI2","SNAI1","ERK","cfos","TWIST1","EGR1","HEY1","AKT","NOTCH","SMAD","Jagged","SHH","ILK","NFB","IKK","NOTCHic","RAS","Csl","SMO","Csn","RAF","PI3K","DELTA","FUS","SOSGRB2","ZEB2","ZEB1","KLF4","GLI","cateninnuc","Wnt","TCFLEF","CD44","cMet","cateninmemb","Frizzled","miR200","SRC","AXIN2","DSH","Ecadherin","STAT","Destcompl","TrCP","LIV1","GSK3","SUFU","Patched","RKIP"
"NFB",0.460710382513661,0.47710501606128,0.440262910798122,0.385333333333333,0.333333333333333,0.258322329120292,0.689451246427991,0.258824816719554,0.212085769980507,0.149122807017544,0.409501915708812,0.133333333333333,0.182970051391104,0.306969696969697,0.347701754385965,0.1825,0.251720726938118,0.215968253968254,0.174166666666667,0.233333333333333,0.283333333333333,0.322368421052632,0.314279063000146,0.275,0.192857142857143,0.3,0.291494252873563,0.291494252873563,0.291494252873563,0.15,0.266402116402116,0.441934979917452,0.441934979917452,-0.395755517826825,0.295,0.329586463247406,0.27,0.313321403006442,0.293636363636364,0.27,-0.611521965659474,0.24,-0.448430248430248,0.24,0.333968253968254,0.2,-0.701398569784646,0.2,0.000305286703660686,-0.3,0.1,-0.112261152676352,-0.1,-0.203968253968254,-0.276716871525574
"Jagged",0.273846153846154,0.28,0.22,0.2,0.2,0.27,0.445777777777778,0.220833333333333,0.22,0.2,0.223636363636364,0.1,0.166666666666667,0.0761904761904762,0.188888888888889,0.0714285714285714,0.110606060606061,0.0866666666666667,0.0666666666666667,0,0.0333333333333333,0.133333333333333,0.231428571428571,0.1,0.0333333333333333,0,0.16,0.16,0.16,0,0.0666666666666667,0.452923976608187,0.452923976608187,-0.405555555555556,0.2,0.29,0.1,0.26,0.2,0.1,-0.434586466165414,0,-0.465967365967366,0,0.2,0,-0.484588744588745,0,0.212121212121212,0,0,-0.21,0,-0.0666666666666667,-0.222222222222222
"DELTA",0.273846153846154,0.28,0.22,0.2,0.2,0.27,0.445777777777778,0.220833333333333,0.22,0.2,0.223636363636364,0.1,0.166666666666667,0.0761904761904762,0.188888888888889,0.0714285714285714,0.110606060606061,0.0866666666666667,0.0666666666666667,0,0.0333333333333333,0.133333333333333,0.231428571428571,0.1,0.0333333333333333,0,0.16,0.16,0.16,0,0.0666666666666667,0.452923976608187,0.452923976608187,-0.405555555555556,0.2,0.29,0.1,0.26,0.2,0.1,-0.434586466165414,0,-0.465967365967366,0,0.2,0,-0.484588744588745,0,0.212121212121212,0,0,-0.21,0,-0.0666666666666667,-0.222222222222222
"cMet",0.415437788018433,0.419786780383795,0.391428571428571,0.371428571428571,0.3,0.432046186895811,0.549949010457177,0.406268346875557,0.421842105263158,0.385,0.404702887385275,0.325,0.21781905744754,0.277011494252874,0.290196078431373,0.213003663003663,0.223594478201876,0.203333333333333,0.197619047619048,0.266666666666667,0.266666666666667,0.266666666666667,0.232556818181818,0.266666666666667,0.161111111111111,0.2,0.198181818181818,0.198181818181818,0.198181818181818,0.15,0.0217948717948718,0.466908212560386,0.466908212560386,-0.327777777777778,0.157894736842105,0.233333333333333,0.1,0.203174603174603,0.155555555555556,0.1,-0.290356840859124,0,-0.476821475103577,0.1,0.131428571428571,0,-0.362867602196461,0.1,-0.18489938969122,-0.2,0.1,-0.246853146853147,-0.1,-0.181111111111111,-0.458530612244898
"SMO",0.407071339173967,0.489808429118774,0.462222222222222,0.44,0.4,0.387179487179487,0.391707317073171,0.338093896713615,0.353846153846154,0.3,0.227272727272727,0.2,0.128937728937729,0.229220779220779,0.289583333333333,0.134285714285714,0.170802139037433,0.298990901571547,0.12,0.15,0.192857142857143,0.258333333333333,0.332857142857143,0.233333333333333,0.253333333333333,0.1,0.315,0.315,0.315,0.333333333333333,0.2375,0.476729559748428,0.476729559748428,-0.413888888888889,0.155844155844156,0.0936892736892737,0.127272727272727,0.0744973544973545,0.0485714285714286,0.02,-0.369519912711402,0.1,-0.488421395955643,0,0.269047619047619,0.2,-0.421922355148956,0.1,0.237438503935319,0,0.1,-0.287398302604624,-0.3,-0.276410256410256,-0.342857142857143
"STAT",0.272891204167501,0.270644670644671,0.243371943371943,0.219047619047619,0.185714285714286,0.261627906976744,0.273626373626374,0.202857547436987,0.25,0.24,0.193051282051282,0.22,0.0710144927536232,0.0757030603804797,0.0721997300944669,0.077088948787062,0.0871631411185164,0.0795186891961085,0.0714285714285714,0.0583333333333333,0.066025641025641,0.0491228070175439,0.0795008605851979,0.0333333333333333,0.0587301587301587,0.0333333333333333,0.0614285714285714,0.0614285714285714,0.0614285714285714,0.0476190476190476,0.0653846153846154,0.496544887046844,0.496544887046844,-0.375252525252525,0.123484848484848,0.153158017765311,0.108333333333333,0.144462365591398,0.124462365591398,0.108333333333333,-0.262852247695195,0.0333333333333333,-0.512495224074171,0.0333333333333333,0.00265957446808511,0,-0.320318610536002,0,-0.0381042112606355,0,0,-0.0583157894736842,-0.0333333333333333,-0.0698412698412698,-0.228225108225108
"NOTCH",0.321994301994302,0.333333333333333,0.28,0.22,0.2,0.311176470588235,0.496597449908925,0.248611111111111,0.27,0.22,0.266493506493506,0.2,0.171014492753623,0.0992673992673993,0.126388888888889,0.0755952380952381,0.133186705767351,0.103333333333333,0.0714285714285714,0.0333333333333333,0.0761904761904762,0.188888888888889,0.279254658385093,0.133333333333333,0.0666666666666667,0,0.231428571428571,0.231428571428571,0.231428571428571,0.0333333333333333,0.0833333333333333,0.500543024227235,0.500543024227235,-0.452923976608187,0.26,0.313333333333333,0.2,0.29,0.26,0.2,-0.484586466165414,0.1,-0.51041181041181,0.1,0.273333333333333,0,-0.538545579121119,0,0.238437001594896,0,0,-0.251176470588235,0,-0.0866666666666667,-0.255555555555556
"TWIST1",0.566082474226804,0.553898305084746,0.52,0.47,0.4,0.467486338797814,0.767489633173844,0.494443185449897,0.416666666666667,0.35,0.392753728982651,0.25,0.23719806763285,0.459279279279279,0.435972540045767,0.231029620937344,0.415934065934066,0.348541666666667,0.211763565891473,0.366666666666667,0.413333333333333,0.399130434782609,0.469129720853859,0.36,0.293333333333333,0.3,0.443415435139573,0.443415435139573,0.443415435139573,0.26,0.222380952380952,0.511935411020777,0.511935411020777,-0.439261285909713,0.322213779128673,0.35833629659778,0.298809523809524,0.340818048422597,0.318404255319149,0.295,-0.716603330382999,0.275,-0.519789285222421,0.275,0.376353077816492,0.25,-0.869998603546991,0.25,0.310645714211372,-0.2,0.2,-0.329967061492485,-0.2,-0.326666666666667,-0.477268817204301
"SRC",0.442474327441166,0.441468372423596,0.416095238095238,0.388095238095238,0.371428571428571,0.365641025641026,0.351213151927438,0.339558823529412,0.347692307692308,0.34,0.33452380952381,0.3,0.135335621662853,0.186233766233766,0.18974358974359,0.122227443609023,0.121676413255361,0.116063492063492,0.115977443609023,0.17,0.179090909090909,0.173076923076923,0.239121651295564,0.15,0.0777777777777778,0.15,0.208212560386473,0.208212560386473,0.208212560386473,0.0666666666666667,0.0424242424242424,0.512980299576685,0.512980299576685,-0.378040540540541,0.11,0.163238866396761,0.05,0.136923076923077,0.11,0.05,-0.282104885057471,0,-0.523501231184717,0,0.0326340326340326,-0.1,-0.363904008831383,0,-0.139687943262411,-0.1,0.1,-0.149181757209926,-0.0333333333333333,-0.092063492063492,-0.43171261487051
"FUS",0.434999267101895,0.517808429118774,0.489808429118774,0.462222222222222,0.44,0.41003663003663,0.419707317073171,0.357574416194134,0.387179487179487,0.353846153846154,0.254404510218464,0.3,0.144879757923236,0.251948051948052,0.313721264367816,0.142314911366006,0.190460258695553,0.315874018454664,0.134285714285714,0.192857142857143,0.229220779220779,0.289583333333333,0.34879917184265,0.258333333333333,0.276410256410256,0.15,0.332857142857143,0.332857142857143,0.332857142857143,0.253333333333333,0.235060975609756,0.514229559748428,0.514229559748428,-0.455707070707071,0.183116883116883,0.108070544592284,0.155844155844156,0.0936892736892737,0.0744973544973545,0.0485714285714286,-0.402401268643605,0.127272727272727,-0.52514455979745,0.02,0.293437862950058,0.1,-0.456537739764341,0,0.245130811627627,-0.1,0.1,-0.302270097476419,-0.333333333333333,-0.298990901571547,-0.373809523809524
"cfos",0.345034482758621,0.359230769230769,0.323846153846154,0.273846153846154,0.22,0.335277777777778,0.537727272727273,0.261214553237025,0.3075,0.27,0.282591359822481,0.32,0.0768968456947997,0.111375661375661,0.146078431372549,0.084873588610702,0.13832461071267,0.107171717171717,0.0755952380952381,0.0761904761904762,0.0928571428571428,0.116666666666667,0.299628308058281,0.0833333333333333,0.0777777777777778,0.0333333333333333,0.264035087719298,0.264035087719298,0.264035087719298,0.0666666666666667,0.115757575757576,0.533556160516233,0.533556160516233,-0.497923976608187,0.304761904761905,0.352955716061808,0.271428571428571,0.333270676691729,0.308270676691729,0.271428571428571,-0.529086592598153,0.2,-0.547405493057667,0.2,0.335151515151515,0.1,-0.572896319517009,0.1,0.256203703703704,0,0,-0.259018759018759,-0.0333333333333333,-0.0944444444444444,-0.276743139901035
"CDC42",0.345034482758621,0.359230769230769,0.323846153846154,0.273846153846154,0.32,0.335277777777778,0.537727272727273,0.261214553237025,0.3075,0.27,0.282591359822481,0.22,0.0768968456947997,0.111375661375661,0.146078431372549,0.084873588610702,0.13832461071267,0.107171717171717,0.0755952380952381,0.0761904761904762,0.0928571428571428,0.116666666666667,0.299628308058281,0.0833333333333333,0.0777777777777778,0.0333333333333333,0.264035087719298,0.264035087719298,0.264035087719298,0.0666666666666667,0.115757575757576,0.533556160516233,0.533556160516233,-0.497923976608187,0.304761904761905,0.352955716061808,0.271428571428571,0.333270676691729,0.308270676691729,0.271428571428571,-0.529086592598153,0.2,-0.547405493057667,0.2,0.335151515151515,0.1,-0.572896319517009,0.1,0.256203703703704,0,0,-0.259018759018759,-0.0333333333333333,-0.0944444444444444,-0.276743139901035
"NOTCHic",0.356369301994302,0.371171171171171,0.333333333333333,0.28,0.22,0.346176470588235,0.535159541412193,0.273100907029478,0.311176470588235,0.27,0.29530706581554,0.22,0.1768968456948,0.120695970695971,0.15796783625731,0.0862748497457235,0.144951411649704,0.117126436781609,0.0755952380952381,0.0761904761904762,0.0992673992673993,0.126388888888889,0.314548776032152,0.188888888888889,0.0866666666666667,0.0333333333333333,0.279254658385093,0.279254658385093,0.279254658385093,0.0666666666666667,0.128787878787879,0.538320802005013,0.538320802005013,-0.500543024227235,0.287272727272727,0.331318944844125,0.26,0.313333333333333,0.29,0.26,-0.529310084255866,0.2,-0.552078477078477,0.2,0.321904761904762,0.1,-0.581583553804663,0.1,0.254099652197306,0,0,-0.27749226006192,-0.0333333333333333,-0.103333333333333,-0.285555555555556
"TGF",0.502791005291005,0.513333333333333,0.57047619047619,0.517142857142857,0.46,0.450700280112045,0.517202797202797,0.403782271944923,0.417366946778712,0.376190476190476,0.427705627705628,0.333333333333333,0.231850419084462,0.320833333333333,0.341791979949875,0.224015151515151,0.260937019969278,0.233333333333333,0.211515151515151,0.258333333333333,0.308333333333333,0.315476190476191,0.340717377860235,0.258333333333333,0.193333333333333,0.233333333333333,0.28969696969697,0.28969696969697,0.28969696969697,0.153333333333333,0.146666666666667,0.549175020885547,0.549175020885547,-0.503341687552214,0.277777777777778,0.351213433031615,0.2,0.320634920634921,0.277777777777778,0.2,-0.522264369632791,0.1,-0.557927257927258,0.1,0.284615384615385,0,-0.580727574750831,0,-0.0167329380304616,-0.2,0,-0.295132420091324,-0.133333333333333,-0.213333333333333,-0.390202444614209
"TCFLEF",0.572518056179554,0.551554076145285,0.5309274442915,0.511199553135037,0.487390029325513,0.48380648585285,0.382748578232349,0.389523461770297,0.468491170537535,0.458735072976559,0.34885500995355,0.429323308270677,0.19648419797257,0.273008560067384,0.33660151232534,0.177141123377782,0.209646840126349,0.233158739890806,0.171340659340659,0.255238095238095,0.261120448179272,0.321137594799567,0.321133376427494,0.308461538461538,0.200952380952381,0.231428571428571,0.308388278388278,0.308388278388278,0.308388278388278,0.186666666666667,0.126391217069183,0.554672115688015,0.554672115688015,-0.42887115226009,0.0615367077063383,-0.0202565473161216,0.042156862745098,-0.0328040758332318,0.0516679738562092,0.0332679738562092,-0.384149711514484,0.0166666666666667,-0.566898846350774,0.00777777777777778,0.44,-0.0133333333333333,-0.564512900107553,-0.0222222222222222,0.210460680913868,-0.171428571428571,-0.0333333333333333,-0.286998849490027,-0.17,-0.217278911564626,-0.405410292210043
"PAK1",0.371061880018895,0.3861768770152,0.359230769230769,0.323846153846154,0.273846153846154,0.371175213675214,0.568030303030303,0.28082239637428,0.335277777777778,0.3075,0.307591359822481,0.27,0.089277798075752,0.127793571823423,0.167008663930689,0.0940479005373075,0.15280736933336,0.120731039205615,0.084873588610702,0.0928571428571428,0.111375661375661,0.146078431372549,0.329555315357551,0.116666666666667,0.0944444444444444,0.0761904761904762,0.299628308058281,0.299628308058281,0.299628308058281,0.0777777777777778,0.141247771836007,0.565909101692704,0.565909101692704,-0.532014885699096,0.330252100840336,0.370640603521615,0.304761904761905,0.352955716061808,0.333270676691729,0.308270676691729,-0.564463951088719,0.271428571428571,-0.578964428418884,0.271428571428571,0.371048951048951,0.2,-0.607494859662995,0.2,0.269052865714877,-0.0333333333333333,0.1,-0.278798978798979,-0.0666666666666667,-0.107171717171717,-0.30245742561532
"LIV1",0.371061880018895,0.3861768770152,0.359230769230769,0.323846153846154,0.273846153846154,0.371175213675214,0.568030303030303,0.28082239637428,0.335277777777778,0.3075,0.307591359822481,0.27,0.089277798075752,0.127793571823423,0.167008663930689,0.0940479005373075,0.15280736933336,0.120731039205615,0.084873588610702,0.0928571428571428,0.111375661375661,0.146078431372549,0.329555315357551,0.116666666666667,0.0944444444444444,0.0761904761904762,0.299628308058281,0.299628308058281,0.299628308058281,0.0777777777777778,0.141247771836007,0.565909101692704,0.565909101692704,-0.532014885699096,0.330252100840336,0.370640603521615,0.304761904761905,0.352955716061808,0.333270676691729,0.308270676691729,-0.564463951088719,0.271428571428571,-0.578964428418884,0.271428571428571,0.371048951048951,0.2,-0.607494859662995,0.2,0.269052865714877,-0.0333333333333333,0.1,-0.278798978798979,-0.0666666666666667,-0.107171717171717,-0.30245742561532
"EGR1",0.371061880018895,0.3861768770152,0.359230769230769,0.323846153846154,0.273846153846154,0.371175213675214,0.568030303030303,0.28082239637428,0.335277777777778,0.3075,0.307591359822481,0.27,0.089277798075752,0.127793571823423,0.167008663930689,0.0940479005373075,0.15280736933336,0.120731039205615,0.084873588610702,0.0928571428571428,0.111375661375661,0.146078431372549,0.329555315357551,0.116666666666667,0.0944444444444444,0.0761904761904762,0.299628308058281,0.299628308058281,0.299628308058281,0.0777777777777778,0.141247771836007,0.565909101692704,0.565909101692704,-0.532014885699096,0.330252100840336,0.370640603521615,0.304761904761905,0.352955716061808,0.333270676691729,0.308270676691729,-0.564463951088719,0.271428571428571,-0.578964428418884,0.271428571428571,0.371048951048951,0.2,-0.607494859662995,0.2,0.269052865714877,-0.0333333333333333,0.1,-0.278798978798979,-0.0666666666666667,-0.107171717171717,-0.30245742561532
"ZEB1",0.368424450306877,0.38872737670206,0.360949598924282,0.329304029304029,0.285714285714286,0.29005291005291,0.443474115724694,0.268857752458636,0.258571428571429,0.23,0.318638155899302,0.183333333333333,0.16432712956335,0.20018018018018,0.257967269595177,0.159407822129805,0.229694984502677,0.189954815444902,0.150452598249208,0.166666666666667,0.18018018018018,0.232041343669251,0.348128516767148,0.211111111111111,0.161129032258065,0.133333333333333,0.321352560482995,0.321352560482995,0.321352560482995,0.145,0.198095238095238,0.567268525159349,0.567268525159349,-0.532060929724481,0.292219227313567,0.322515566625156,0.275238095238095,0.309090909090909,0.290374331550802,0.272727272727273,-0.55570714085721,0.238095238095238,-0.583206374925662,0.233333333333333,0.42044419050246,0.171428571428571,-0.608458343675728,0.166666666666667,0.230684858494107,-0.1,0.1,-0.341548517746645,-0.125,-0.17492213570634,-0.271140350877193
"Csl",0.382483951675831,0.397428154411395,0.371171171171171,0.333333333333333,0.28,0.385,0.56450736749915,0.292920726849298,0.346176470588235,0.311176470588235,0.320155550664025,0.27,0.191182559980514,0.1390058298509,0.178846957136431,0.0964070083360319,0.160288834962587,0.130726436781609,0.0862748497457235,0.0992673992673993,0.120695970695971,0.15796783625731,0.343741322616003,0.126388888888889,0.103333333333333,0.0761904761904762,0.314548776032152,0.314548776032152,0.314548776032152,0.0866666666666667,0.155103668261563,0.572265756133453,0.572265756133453,-0.535325632922887,0.311082251082251,0.348710249191951,0.287272727272727,0.331318944844125,0.313333333333333,0.29,-0.564694699640481,0.26,-0.585172002258333,0.26,0.35453634085213,0.2,-0.617033289254398,0.2,0.265638113735768,-0.0333333333333333,0.1,-0.296936704506364,-0.0666666666666667,-0.117126436781609,-0.312512077294686
"TGFR",0.537037580633471,0.552357723577236,0.513333333333333,0.57047619047619,0.517142857142857,0.478478057889823,0.561613673335728,0.433736188995614,0.450700280112045,0.417366946778712,0.460036454773297,0.376190476190476,0.245183752417795,0.339015151515151,0.372744360902256,0.233638582477495,0.281716240748499,0.254871794871795,0.224015151515151,0.308333333333333,0.320833333333333,0.341791979949875,0.37813234384663,0.315476190476191,0.213333333333333,0.258333333333333,0.340717377860235,0.340717377860235,0.340717377860235,0.193333333333333,0.174968553459119,0.588887939545834,0.588887939545834,-0.549175020885547,0.32,0.374862081680263,0.277777777777778,0.351213433031615,0.320634920634921,0.277777777777778,-0.571908075095974,0.2,-0.598290894290894,0.2,0.343438914027149,0.1,-0.62785401153244,0.1,0.00198051226193608,-0.233333333333333,0,-0.322718626987876,-0.153333333333333,-0.233333333333333,-0.420202444614209
"SNAI1",0.392900960478665,0.408482641426228,0.3861768770152,0.359230769230769,0.323846153846154,0.399547306698469,0.592512641641753,0.198276195142247,0.371175213675214,0.335277777777778,0.327124887519274,0.3075,0.100007411809658,0.147024341054192,0.187596899224806,0.100531201126698,0.16585084759423,0.132998697198181,0.0940479005373075,0.111375661375661,0.127793571823423,0.167008663930689,0.351081200916134,0.146078431372549,0.107171717171717,0.0928571428571428,0.329555315357551,0.329555315357551,0.329555315357551,0.0944444444444444,0.157914438502674,0.592247431457158,0.592247431457158,-0.562449668307792,0.350552852720035,0.384092380171361,0.330252100840336,0.370640603521615,0.352955716061808,0.333270676691729,-0.593781220165025,0.304761904761905,-0.607069003582282,0.308270676691729,0.396902609585536,0.271428571428571,-0.636248659055092,0.271428571428571,0.279063629977525,-0.0761904761904762,0.2,-0.294297917227854,-0.0777777777777778,-0.120731039205615,-0.323290758948654
"SMAD",0.44009577504246,0.458120865096952,0.428032369521731,0.387606837606838,0.338888888888889,0.409312169312169,0.581369143964979,0.333823508578067,0.368571428571429,0.332857142857143,0.374750145216165,0.302857142857143,0.217365822583214,0.25285409035409,0.294750957854406,0.104622704968613,0.270185895655692,0.243112047769582,0.195911903574885,0.205357142857143,0.227579365079365,0.268888888888889,0.410377668308703,0.235555555555556,0.20974358974359,0.192857142857143,0.382298850574713,0.382298850574713,0.382298850574713,0.18974358974359,0.187965264353003,0.594185274880841,0.594185274880841,-0.554839158465364,0.318233618233618,0.357623018556081,0.292592592592593,0.339540229885057,0.32,0.294666666666667,-0.580699012501358,0.266666666666667,-0.605428503011021,0.266666666666667,0.360513292164849,0.2,-0.636718132662121,0.2,0.0854926351162203,-0.15,0.1,-0.277054895875323,-0.166666666666667,-0.230291534949069,-0.341819923371648
"GLI",0.448884689088524,0.565116597239239,0.533041125541126,0.494404761904762,0.445833333333333,0.5037982378829,0.600352181499509,0.355612844135553,0.469218798630563,0.439589169000934,0.372859025032938,0.398412698412698,0.146900196577616,0.191475748194014,0.226984600428625,0.147792651274401,0.200609823463739,0.275872622001654,0.139159557749221,0.153333333333333,0.169122807017544,0.199881796690307,0.408302779420461,0.172222222222222,0.239205955334988,0.133333333333333,0.376842105263158,0.376842105263158,0.376842105263158,0.223076923076923,0.168940281030445,0.611033462558467,0.611033462558467,-0.572728293251587,0.353027777777778,0.399745758119073,0.421777777777778,0.37954115453851,0.35437986421593,0.323232323232323,-0.594806713382359,0.377777777777778,-0.622673736635105,0.277777777777778,0.386282051282051,0.3,-0.644764855996641,0.2,0.132132264708795,-0.0833333333333333,0.1,-0.370773098680075,-0.2,-0.259205955334988,-0.369148629148629
