"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","HEY1","ERK","SMAD","ILK","EGR1","cfos","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.258333333333333,0.2,0.166666666666667,0.133333333333333,0.0666666666666667,0.0666666666666667,0.1,0.1,0.121794871794872,0.0888888888888889,0.293,0.0333333333333333,0,0.0333333333333333,0,0.166493506493506,0,0.231428571428571,0.16,0.1,0.15,-0.405555555555556,0.46207729468599,0.46207729468599,0.438117106773823,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.513017543859649,-0.234920634920635,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.233333333333333
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.258333333333333,0.2,0.166666666666667,0.133333333333333,0.0666666666666667,0.0666666666666667,0.1,0.1,0.121794871794872,0.0888888888888889,0.293,0.0333333333333333,0,0.0333333333333333,0,0.166493506493506,0,0.231428571428571,0.16,0.1,0.15,-0.405555555555556,0.46207729468599,0.46207729468599,0.438117106773823,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.513017543859649,-0.234920634920635,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.233333333333333
"cMet",0.411825628471895,0.404029304029304,0.380952380952381,0.357142857142857,0.3,0.304247097844113,0.436974789915966,0.134285714285714,0.442857142857143,0.135266106442577,0.117619047619048,0.3,0.4,0.090990990990991,0.166666666666667,0.276916099773243,0.166666666666667,0.166666666666667,0.05,0.05,0.111457489878542,0.1,0.162857142857143,0.142857142857143,0.142857142857143,0.1,-0.335333333333333,0.473264367816092,0.473264367816092,0.241379723193334,-0.105211891208096,0.195435139573071,0.160952380952381,0.160952380952381,0.160952380952381,-0.280684418556272,-0.139006211180124,-0.483742424242424,0.0920757888767368,0.0138888888888889,0.0574786324786325,-0.0444444444444444,0.0138888888888889,-0.0444444444444444,-0.1,0,-0.1,0,-0.05,-0.1,0,0.1,-0.10474686716792,-0.0666666666666667,-0.41100661790317
"NFB",0.542176508781098,0.573589436010538,0.528541512687854,0.469191919191919,0.405555555555556,0.321666666666667,0.303436273337367,0.192976827094474,0.245914149443561,0.19450309630986,0.180106209150327,0.12,0.172941176470588,0.278130296952837,0.358477633477634,0.567182063152369,0.31984126984127,0.264285714285714,0.226153846153846,0.18,0.311507128238806,0.314285714285714,0.403374487624962,0.362198017036727,0.307359307359307,0.362931034482759,-0.414350355526826,0.473398612811098,0.473398612811098,0.697500438468295,-0.612151384278658,0.418085471599316,0.382569098803346,0.382569098803346,0.382569098803346,-0.729823842039082,-0.251812398871471,-0.477908831243887,0.465317196860652,0.409947181407856,0.439233666521802,0.376239316239316,0.40957264957265,0.376239316239316,0.331623931623932,0.331623931623932,0.277777777777778,0.277777777777778,0.443520770010132,-0.3,-0.12,0.2,0.160728878205315,-0.253740053050398,-0.310152003385086
"SMO",0.431379310344828,0.52490990990991,0.481666666666667,0.44,0.4,0.36185418305796,0.401709401709402,0.125128205128205,0.355555555555556,0.127264883520276,0.115789473684211,0.2,0.3,0.322261904761905,0.236857142857143,0.284858387799564,0.192857142857143,0.15,0.253333333333333,0.333333333333333,0.238143338143338,0.1,0.323787878787879,0.278787878787879,0.233333333333333,0.287647058823529,-0.413888888888889,0.482485875706215,0.482485875706215,0.456991144067606,-0.399283850088736,0.38331043956044,0.347596153846154,0.347596153846154,0.347596153846154,-0.445895361380798,-0.332215060155171,-0.492374924653406,0.302911242507563,0.344444444444444,0.275091693635383,0.3,0.241111111111111,0.196666666666667,0.25,0.15,0.2,0.1,0.366472607851918,0,-0.3,0.1,0.319662516471855,-0.290833333333333,-0.34552036199095
"SRC",0.411478227654698,0.40297619047619,0.369642857142857,0.345833333333333,0.333333333333333,0.313034371643394,0.446693657219973,0.130982905982906,0.425641025641026,0.118003231613421,0.113416075650118,0.4,0.433333333333333,0.0987983161117489,0.171978021978022,0.261102756892231,0.157692307692308,0.15,0.0533333333333333,0.0333333333333333,0.113153021442495,0.15,0.171082251082251,0.143809523809524,0.12,-0.0165501165501165,-0.354328165374677,0.483547008547008,0.483547008547008,0.211328151209519,-0.11006585840443,0.220894922071393,0.193202614379085,0.193202614379085,0.193202614379085,-0.275059646178589,-0.156437389770723,-0.495016790989331,0.0817049360031268,0.0344262295081967,0.0612554978008796,0,0.0344262295081967,0,-0.05,-0.05,-0.1,0,-0.0271686004505079,-0.1,-0.0333333333333333,0,-0.080038720256426,-0.0764102564102564,-0.418062397372742
"TWIST1",0.534040593909015,0.521582852425745,0.482910083547026,0.438961038961039,0.381818181818182,0.476622599294099,0.39884381592197,0.211048411048411,0.350499445061043,0.203423313433934,0.187160337655387,0.2,0.288235294117647,0.453598546267822,0.460734463276836,0.463525743721769,0.416666666666667,0.366666666666667,0.386,0.35,0.406674512142986,0.3,0.419149033687266,0.378582995951417,0.333846153846154,0.425869987535513,-0.401349527665317,0.485464709993012,0.485464709993012,0.727897386189708,-0.657009378445843,0.456657973058309,0.424950655985139,0.424950655985139,0.424950655985139,-0.8253308396341,-0.401384234577304,-0.493578390420496,0.46884007601802,0.418319319804889,0.445351703924997,0.385254803675856,0.417376433445862,0.384582911178656,0.348412698412698,0.348412698412698,0.309523809523809,0.309523809523809,0.460920588140039,-0.2,-0.3,0.266666666666667,0.39833273192529,-0.422986301369863,-0.458238095238095
"ERK",0.408849169682118,0.434191254077331,0.3995815339006,0.351721611721612,0.297435897435897,0.314227738608173,0.333477406608015,0.202792696266614,0.289409609997845,0.205058853132714,0.192331580405442,0.283333333333333,0.342156862745098,0.277081413818854,0.234776334776335,0.468023012471074,0.206493506493506,0.174025974025974,0.23362962962963,0.204,0.331068989112523,0.128571428571429,0.303115750743557,0.270578437310721,0.228846153846154,0.0500556947925369,-0.445037528444542,0.488683905635211,0.488683905635211,0.762129902384523,-0.576710422688446,0.181464904346631,0.148523727876043,0.148523727876043,0.148523727876043,-0.667137060054414,-0.260751118828643,-0.497746032181171,0.443828034200999,0.395556843787917,0.421129097640676,0.364686131386861,0.394123226799189,0.36310718401844,0.326,0.324421052631579,0.27,0.268421052631579,0.426152522747983,-0.1,-0.16,0.2,0.0666826421650668,-0.255615445232466,-0.396833020366893
"NOTCH",0.376122448979592,0.396071684587814,0.331555555555555,0.255555555555556,0.2,0.298015873015873,0.272727272727273,0.166666666666667,0.2,0.0770114942528736,0.0666666666666667,0.1,0.133333333333333,0.149067599067599,0.133333333333333,0.342152542372881,0.0888888888888889,0.0333333333333333,0.0833333333333333,0.0333333333333333,0.194795393285959,0,0.186267281105991,0.231428571428571,0.16,0.202941176470588,-0.46207729468599,0.52133655394525,0.52133655394525,0.487579472365221,-0.483824412443246,0.304966078697422,0.252727272727273,0.252727272727273,0.252727272727273,-0.572531713900135,-0.276781100036914,-0.529264069264069,0.383193948908235,0.314685314685315,0.350949050949051,0.269230769230769,0.314685314685315,0.269230769230769,0.2,0.2,0.1,0.1,0.338490566037736,0,0,0,0.330118005329273,-0.121794871794872,-0.288888888888889
"FUS",0.471379310344828,0.565770124963673,0.52490990990991,0.481666666666667,0.44,0.389390414942018,0.447163947163947,0.138561040949101,0.401709401709402,0.137198658354713,0.127264883520276,0.3,0.355555555555556,0.34597324496809,0.270190476190476,0.3203081232493,0.236857142857143,0.192857142857143,0.290833333333333,0.253333333333333,0.263753094240899,0.15,0.361718913270637,0.323787878787879,0.278787878787879,0.312647058823529,-0.461429872495446,0.526585254588202,0.526585254588202,0.492263871340333,-0.437716685909631,0.413977106227106,0.38331043956044,0.38331043956044,0.38331043956044,-0.488436797844887,-0.356704856073539,-0.536374924653406,0.326072005450343,0.379059829059829,0.302911242507563,0.344444444444444,0.275091693635383,0.241111111111111,0.3,0.196666666666667,0.25,0.15,0.404360806609682,-0.1,-0.333333333333333,0.1,0.338137589785638,-0.322261904761905,-0.383981900452489
"TGF",0.510309521701927,0.526219931271478,0.563333333333333,0.493333333333333,0.433333333333333,0.426466165413534,0.392156862745098,0.193990581490581,0.333333333333333,0.188228429985856,0.175357142857143,0.2,0.266666666666667,0.237432321575062,0.325960061443932,0.45950895950896,0.29047619047619,0.233333333333333,0.17,0.12,0.286562307849969,0.2,0.371020408163265,0.32,0.25,0.300740740740741,-0.493928571428571,0.550917818740399,0.550917818740399,0.509375918447868,-0.505197174917094,0.480955882352941,0.424705882352941,0.424705882352941,0.424705882352941,-0.590622985844024,-0.416298003072197,-0.557843902588358,0.415240199090914,0.335224586288416,0.378081729145559,0.277777777777778,0.335224586288416,0.277777777777778,0.2,0.2,0.1,0.1,0.351738672286617,-0.2,-0.1,0,0.225620308653096,-0.209130434782609,-0.422061403508772
"cfos",0.402704145830722,0.42360698125404,0.378991596638655,0.314285714285714,0.242857142857143,0.317363071014569,0.320975609756098,0.0773809523809524,0.26,0.0888751033912324,0.0743589743589744,0.233333333333333,0.193333333333333,0.157709463532248,0.155968468468468,0.361223443223443,0.120833333333333,0.0833333333333333,0.10952380952381,0.0761904761904762,0.207500844309355,0.0333333333333333,0.21113782051282,0.17051282051282,0.116666666666667,0.231746031746032,-0.509936507936508,0.559590272890765,0.559590272890765,0.535623007113073,-0.531745369301061,0.347816742081448,0.305316742081448,0.305316742081448,0.305316742081448,-0.610813108460167,-0.310435273585874,-0.571313895817207,0.426912041416808,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.36627119346627,-0.136190476190476,-0.318045977011494
"CDC42",0.402704145830722,0.42360698125404,0.378991596638655,0.314285714285714,0.342857142857143,0.317363071014569,0.320975609756098,0.0773809523809524,0.26,0.0888751033912324,0.0743589743589744,0.133333333333333,0.193333333333333,0.157709463532248,0.155968468468468,0.361223443223443,0.120833333333333,0.0833333333333333,0.10952380952381,0.0761904761904762,0.207500844309355,0.0333333333333333,0.21113782051282,0.17051282051282,0.116666666666667,0.231746031746032,-0.509936507936508,0.559590272890765,0.559590272890765,0.535623007113073,-0.531745369301061,0.347816742081448,0.305316742081448,0.305316742081448,0.305316742081448,-0.610813108460167,-0.310435273585874,-0.571313895817207,0.426912041416808,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.36627119346627,-0.136190476190476,-0.318045977011494
"NOTCHic",0.420384744061559,0.440587813620072,0.396071684587814,0.331555555555555,0.255555555555556,0.330624568668047,0.335992578849722,0.180952380952381,0.272727272727273,0.0935582568428016,0.0770114942528736,0.133333333333333,0.2,0.172144522144522,0.171428571428571,0.379732160207276,0.133333333333333,0.0888888888888889,0.121794871794872,0.0833333333333333,0.220969889930255,0.0333333333333333,0.227600614439324,0.186267281105991,0.231428571428571,0.257486631016043,-0.515648723257419,0.570208734396377,0.570208734396377,0.528708504623286,-0.529759371792839,0.34667462141099,0.304966078697422,0.304966078697422,0.304966078697422,-0.622145315136611,-0.308731307505794,-0.5813108528898,0.411218451205325,0.350169185653057,0.383193948908235,0.314685314685315,0.350949050949051,0.314685314685315,0.269230769230769,0.269230769230769,0.2,0.2,0.38293501048218,0,-0.0333333333333333,0.1,0.353066079031115,-0.149067599067599,-0.330917874396135
"TCFLEF",0.612208503937636,0.601992663949186,0.574289961246483,0.545787545787546,0.507692307692308,0.429351307039067,0.482691886436713,0.187295199814147,0.45356567284448,0.169999882876181,0.160399882876181,0.375,0.422058823529412,0.27522881593095,0.306987962315355,0.428654064616924,0.285639647708613,0.268398268398268,0.231904761904762,0.211904761904762,0.278890408568587,0.235064935064935,0.39341025675807,0.367986527944511,0.343496732026144,0.290114102335532,-0.436957352714967,0.572512080742099,0.572512080742099,0.480545860583954,-0.436635317428581,0.413697802414138,0.388932072829132,0.388932072829132,0.388932072829132,-0.604603254128627,-0.35403771943888,-0.583686794305351,0.20883784751916,0.2698837355455,0.189692622922561,0.2411337355455,0.265938277615493,0.237457264957265,0.209509803921569,0.205833333333333,0.174509803921569,0.170833333333333,0.601138796946026,-0.171428571428571,-0.183333333333333,0.133333333333333,0.324488843476344,-0.253216237314598,-0.428232295828606
"PAK1",0.437686477986199,0.458983025822285,0.42360698125404,0.378991596638655,0.314285714285714,0.346689994091492,0.368248337028825,0.0964985994397759,0.320975609756098,0.103825269504189,0.0888751033912324,0.193333333333333,0.26,0.180709463532248,0.186737699237699,0.394005812369449,0.155968468468468,0.120833333333333,0.136190476190476,0.10952380952381,0.233267715474999,0.0833333333333333,0.24484568568136,0.21113782051282,0.17051282051282,0.267162698412698,-0.551603174603175,0.600379746574976,0.600379746574976,0.570723555559143,-0.570490756754936,0.383579840031334,0.347816742081448,0.347816742081448,0.347816742081448,-0.651989579048403,-0.337237491700477,-0.612093116596428,0.450662041416808,0.397673180240574,0.426912041416808,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.385757598300107,-0.157709463532248,-0.353718491631377
"LIV1",0.437686477986199,0.458983025822285,0.42360698125404,0.378991596638655,0.314285714285714,0.346689994091492,0.368248337028825,0.0964985994397759,0.320975609756098,0.103825269504189,0.0888751033912324,0.193333333333333,0.26,0.180709463532248,0.186737699237699,0.394005812369449,0.155968468468468,0.120833333333333,0.136190476190476,0.10952380952381,0.233267715474999,0.0833333333333333,0.24484568568136,0.21113782051282,0.17051282051282,0.267162698412698,-0.551603174603175,0.600379746574976,0.600379746574976,0.570723555559143,-0.570490756754936,0.383579840031334,0.347816742081448,0.347816742081448,0.347816742081448,-0.651989579048403,-0.337237491700477,-0.612093116596428,0.450662041416808,0.397673180240574,0.426912041416808,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.385757598300107,-0.157709463532248,-0.353718491631377
"EGR1",0.437686477986199,0.458983025822285,0.42360698125404,0.378991596638655,0.314285714285714,0.346689994091492,0.368248337028825,0.0964985994397759,0.320975609756098,0.103825269504189,0.0888751033912324,0.193333333333333,0.26,0.180709463532248,0.186737699237699,0.394005812369449,0.155968468468468,0.120833333333333,0.136190476190476,0.10952380952381,0.233267715474999,0.0833333333333333,0.24484568568136,0.21113782051282,0.17051282051282,0.267162698412698,-0.551603174603175,0.600379746574976,0.600379746574976,0.570723555559143,-0.570490756754936,0.383579840031334,0.347816742081448,0.347816742081448,0.347816742081448,-0.651989579048403,-0.337237491700477,-0.612093116596428,0.450662041416808,0.397673180240574,0.426912041416808,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.385757598300107,-0.157709463532248,-0.353718491631377
"TGFR",0.55690638034067,0.574959427069797,0.526219931271478,0.563333333333333,0.493333333333333,0.462861925130848,0.450693448110952,0.209586911765811,0.392156862745098,0.203354480406024,0.188228429985856,0.266666666666667,0.333333333333333,0.264459348602089,0.359293394777266,0.500931553651219,0.325960061443932,0.29047619047619,0.209130434782609,0.17,0.316476837764499,0.233333333333333,0.414123856439127,0.371020408163265,0.32,0.349312169312169,-0.547612781954887,0.600467368289949,0.600467368289949,0.556078475648407,-0.555595052901179,0.526473123732252,0.480955882352941,0.480955882352941,0.480955882352941,-0.643962965903844,-0.451525275799469,-0.608892853637309,0.446541012099044,0.377446808510638,0.415240199090914,0.335224586288416,0.378081729145559,0.335224586288416,0.277777777777778,0.277777777777778,0.2,0.2,0.403194982966229,-0.2,-0.12,0.1,0.25211800450563,-0.237432321575062,-0.464918546365915
"ZEB1",0.464797493227084,0.495109278924605,0.459931413311956,0.417799433616525,0.364176245210728,0.346493790948097,0.364685771744595,0.183433014354067,0.318803418803419,0.176667625519878,0.164745484400657,0.211111111111111,0.271111111111111,0.270160694126967,0.284223396088996,0.470538643061863,0.251849295369572,0.220701754385965,0.223106060606061,0.195833333333333,0.333501774510144,0.173333333333333,0.361278069319014,0.326838235294118,0.289583333333333,0.308878833584716,-0.552877562600551,0.604982899182057,0.604982899182057,0.52654304183191,-0.643156610749566,0.452467199487592,0.420511714590931,0.420511714590931,0.420511714590931,-0.646644987485707,-0.385048903047369,-0.624097667098159,0.497064187812727,0.450872070264829,0.475418742171199,0.420975163048334,0.449354912383965,0.419493801272854,0.384436701509872,0.38223889931207,0.338095238095238,0.335897435897436,0.48012547234277,-0.133333333333333,-0.158333333333333,0.266666666666667,0.399243261547298,-0.247858535853585,-0.330622910672973
"Csl",0.455282104765371,0.475610855094726,0.440587813620072,0.396071684587814,0.331555555555555,0.360644449383753,0.383051402379133,0.202521008403361,0.335992578849722,0.109558256842802,0.0935582568428016,0.2,0.272727272727273,0.196282453179005,0.204228571428571,0.412608872536043,0.171428571428571,0.133333333333333,0.149067599067599,0.121794871794872,0.247532389930255,0.0888888888888889,0.261859873698583,0.227600614439324,0.186267281105991,0.290819964349376,-0.559126984126984,0.612180565382293,0.612180565382293,0.563497661249792,-0.56852860256207,0.381481251245244,0.34667462141099,0.34667462141099,0.34667462141099,-0.663660288712653,-0.33488975294675,-0.623533075112022,0.434852723775768,0.382427250169186,0.411218451205325,0.350169185653057,0.383193948908235,0.350949050949051,0.314685314685315,0.314685314685315,0.269230769230769,0.269230769230769,0.419695935932052,-0.0333333333333333,-0.0833333333333333,0.2,0.371842837440901,-0.172144522144522,-0.36781107827963
"SMAD",0.497141192804021,0.515532441352446,0.477754663574668,0.431991951710262,0.371428571428571,0.396628916730259,0.398149001536098,0.226070629143255,0.349761904761905,0.115247569882509,0.201311139564661,0.231428571428571,0.289761904761905,0.300304834050013,0.310505327245053,0.432556082844423,0.274888888888889,0.238888888888889,0.249038461538461,0.220833333333333,0.353203067345491,0.205555555555556,0.365623905976494,0.328527131782946,0.286666666666667,0.292352816213231,-0.574640601705278,0.627018226872421,0.627018226872421,0.57556371892726,-0.580030562542477,0.465163729552527,0.429414141414141,0.429414141414141,0.429414141414141,-0.674291867936966,-0.372814152112696,-0.637038029057172,0.448507389624985,0.394422483990829,0.42416930408527,0.35989010989011,0.395189712248536,0.360644257703081,0.321428571428571,0.321428571428571,0.271428571428571,0.271428571428571,0.428696207957508,-0.15,-0.183333333333333,0.2,0.28175488264717,-0.276141265276779,-0.388767461352207
"GLI",0.495289691605635,0.613925241425241,0.574502164502164,0.529047619047619,0.468333333333333,0.405178106917237,0.405358974358974,0.143809523809524,0.357666666666667,0.14640751305225,0.133339331234068,0.235,0.301666666666667,0.320003197139273,0.236527972572853,0.425534477230981,0.202657004830918,0.172222222222222,0.267181467181467,0.242857142857143,0.273252312298814,0.138888888888889,0.290687920493746,0.252823842823843,0.212564102564103,0.371604010025063,-0.583422369979747,0.633109621891528,0.633109621891528,0.588316207646261,-0.589477611972484,0.483014898891143,0.44470844727824,0.44470844727824,0.44470844727824,-0.673353232749979,-0.42332131016544,-0.643733083284707,0.471609731218081,0.414848808137404,0.446183940463823,0.478368121442125,0.415262887832244,0.37874114870181,0.434838709677419,0.334838709677419,0.38,0.28,0.445345999311797,-0.0833333333333333,-0.20952380952381,0.2,0.350859031990969,-0.294264800514801,-0.398232167196729
"SNAI1",0.468623576830871,0.490283838830415,0.458983025822285,0.42360698125404,0.378991596638655,0.273272272572505,0.407221146696499,0.114541412895433,0.368248337028825,0.114479954998413,0.103825269504189,0.26,0.320975609756098,0.202843850884027,0.217019389378544,0.422871791750892,0.186737699237699,0.155968468468468,0.157709463532248,0.136190476190476,0.256748049205631,0.120833333333333,0.276121405845969,0.24484568568136,0.21113782051282,0.292060657596372,-0.58854584976241,0.635211207249133,0.635211207249133,0.600335536498557,-0.602917534997613,0.412198808417357,0.383579840031334,0.383579840031334,0.383579840031334,-0.687358000101034,-0.359228076771089,-0.648225929096428,0.470256108551859,0.426113547213051,0.450662041416808,0.397673180240574,0.426912041416808,0.398659253312719,0.364990253411306,0.365985985985986,0.328148148148148,0.328148148148148,0.464634702700543,-0.0833333333333333,-0.10952380952381,0.28,0.401628423583022,-0.180709463532248,-0.385884793600743
