"","SNAI2","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","TWIST1","AKT","IKK","NFB","SMO","Jagged","FUS","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","RAS","cateninmemb","RAF","PI3K","DELTA","miR200","GSK3","Ecadherin","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","AXIN2","STAT","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"ERK",0.646035115325649,0.364060933865874,0.39038502515138,0.363112297878653,0.320890075656431,0.267619047619048,0.266553092262559,0.209347583494146,0.187241379310345,0.174333577891905,0.227666911225238,0.175163637660932,0.177500355120237,0.165950203144554,0.241817493289878,0.425486642083271,0.209654669948788,0.185580595874714,0.156168831168831,0.208590163934426,0.289647646197025,0.184,0.110714285714286,0.272209539372863,0.246708106708107,0.21041181041181,0.122900093370682,-0.404802420117224,0.442296277793712,0.442296277793712,0.151255988952933,-0.523157133390776,0.126255988952933,0.126255988952933,0.126255988952933,-0.452038372272562,-0.207977716764461,-0.596456912645777,0.399153836416994,0.365931280715756,0.382857540120698,0.34581954887218,0.364695146958305,0.344240601503759,0.318,0.316421052631579,0.27,0.402669090498272,0.268421052631579,-0.0857142857142857,-0.14,0.2,0.0478506286227104,-0.226470958636413,-0.28438993091677
"STAT",0.314712856756652,0.224114337807526,0.21915370608264,0.198341523341523,0.165909090909091,0.140909090909091,0.153341184057422,0.209156010230179,0.2,0.191764705882353,0.18,0.0586666666666667,0.0649619634627131,0.0615136876006441,0.0675425950196592,0.0910125389577444,0.0446305418719212,0.0342857142857143,0.02,0.045,0.0772311176754434,0.025,0,0.0401827397625717,0.0238562091503268,-0.00392156862745098,-0.00469924812030075,-0.326728064963359,0.444352553633991,0.444352553633991,-0.0203711398957579,-0.0914951681353851,-0.0361606135799684,-0.0361606135799684,-0.0361606135799684,-0.459645738019232,0.0347062275337735,-0.251414559941402,0.0485519817082663,0.029086916319926,0.0394876542228862,0.0145238095238095,0.0293752946723244,0.0145238095238095,-0.0104761904761905,-0.0104761904761905,-0.0571428571428571,-0.0276206363917207,-0.0571428571428571,0,0,0,-0.0537716752207229,-0.0592857142857143,-0.173589638270489
"cMet",0.549567901234568,0.405332278481013,0.406264775413712,0.372222222222222,0.35,0.3,0.4052230602186,0.420454545454546,0.325,0.415,0.385,0.21781905744754,0.21034632034632,0.197619047619048,0.205397727272727,0.39512321012321,0.2725,0.26,0.266666666666667,0.15,0.226993006993007,0.15,0.2,0.280035194368901,0.24812030075188,0.242857142857143,0.0109523809523809,-0.320634920634921,0.458008658008658,0.458008658008658,0.246666666666667,-0.207324819691656,0.203809523809524,0.203809523809524,0.203809523809524,-0.467637104743083,-0.260394889663182,-0.345466086869596,0.171515931130022,0.0907751937984496,0.138387096774194,0.0233333333333333,0.09,0.0233333333333333,-0.05,0.05,-0.1,0.0445161290322581,0,-0.2,-0.1,0.1,-0.124782804681495,-0.177272727272727,-0.453333333333333
"Jagged",0.44,0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.258333333333333,0.286666666666667,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.293,0.0888888888888889,0.0333333333333333,0,0.0333333333333333,0.166493506493506,0,0,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.252727272727273,-0.424069478908189,0.18,0.18,0.18,-0.472121212121212,-0.23639846743295,-0.498511166253102,0.340434545784664,0.269230769230769,0.311166253101737,0.2,0.269230769230769,0.2,0.1,0.1,0,0.28,0,0,0,0,0.298888888888889,-0.0833333333333333,-0.235897435897436
"DELTA",0.44,0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.258333333333333,0.286666666666667,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.293,0.0888888888888889,0.0333333333333333,0,0.0333333333333333,0.166493506493506,0,0,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.252727272727273,-0.424069478908189,0.18,0.18,0.18,-0.472121212121212,-0.23639846743295,-0.498511166253102,0.340434545784664,0.269230769230769,0.311166253101737,0.2,0.269230769230769,0.2,0.1,0.1,0,0.28,0,0,0,0,0.298888888888889,-0.0833333333333333,-0.235897435897436
"NFB",0.767373007424842,0.541447887797094,0.571587870303748,0.528541512687854,0.469191919191919,0.405555555555556,0.32045503484457,0.306137844611529,0.142857142857143,0.252190476190476,0.178857142857143,0.198011573050273,0.199542600635528,0.18578795379538,0.276963937621832,0.56084742287385,0.358121122727864,0.321042471042471,0.264285714285714,0.228148148148148,0.302752323984155,0.18,0.314285714285714,0.400035854874565,0.362198017036727,0.307359307359307,0.33593330949401,-0.41529304029304,0.474453295400664,0.474453295400664,0.407868136232748,-0.592290964795652,0.377037037037037,0.377037037037037,0.377037037037037,-0.478992555394036,-0.24533660155085,-0.721267181978178,0.442305387190997,0.395683905548312,0.419712441528461,0.368760828625235,0.395212441528461,0.368760828625235,0.329777777777778,0.329777777777778,0.277777777777778,0.433974307266233,0.277777777777778,-0.3,-0.12,0.2,0.147013945335108,-0.254463937621832,-0.314984742033922
"SMO",0.38610248447205,0.423879142300195,0.514598930481283,0.476363636363636,0.44,0.4,0.355441583005965,0.391346153846154,0.2,0.353846153846154,0.3,0.128937728937729,0.134285714285714,0.12,0.316078431372549,0.271230024213075,0.23452380952381,0.192857142857143,0.15,0.253333333333333,0.224027210884354,0.333333333333333,0.1,0.313873873873874,0.273333333333333,0.233333333333333,0.25,-0.413888888888889,0.480701754385965,0.480701754385965,0.36950998185118,-0.383225516621743,0.337931034482759,0.337931034482759,0.337931034482759,-0.491125541125541,-0.322344322344322,-0.4591515599369,0.278012832333319,0.321018062397373,0.250740105060592,0.276190476190476,0.216622458001768,0.171794871794872,0.233333333333333,0.133333333333333,0.2,0.345175438596491,0.1,0,-0.3,0.1,0.299187906260691,-0.286666666666667,-0.349915966386555
"SRC",0.389312638580931,0.410022660749693,0.40297619047619,0.369642857142857,0.345833333333333,0.333333333333333,0.310204169795213,0.333142748237088,0.3,0.316161616161616,0.327272727272727,0.126804038397881,0.113934329065908,0.109429824561404,0.0972249861802101,0.265175438596491,0.168803418803419,0.157692307692308,0.15,0.0533333333333333,0.116697994987469,0.0333333333333333,0.15,0.171082251082251,0.143809523809524,0.12,0.00857142857142857,-0.354328165374677,0.481079664570231,0.481079664570231,0.225457169516215,-0.135733421168204,0.194748508098892,0.194748508098892,0.194748508098892,-0.493078612209047,-0.157275733525734,-0.311435384131642,0.0966789003931092,0.0482456140350877,0.0774973147153598,0.00789473684210527,0.0482456140350877,0.00789473684210527,-0.05,-0.05,-0.1,-0.0168652037617555,0,-0.1,-0.0333333333333333,0,-0.0719201578627808,-0.0718518518518519,-0.405408927989573
"TWIST1",0.870728090317643,0.528275345722761,0.512664844807702,0.479501579501579,0.438961038961039,0.381818181818182,0.469982623361935,0.47401268115942,0.28,0.431304347826087,0.371304347826087,0.243465573974049,0.237660387660388,0.21981526981527,0.447048281678263,0.449717429615302,0.456643661216832,0.415572232645403,0.369230769230769,0.388888888888889,0.389360042262519,0.355555555555556,0.3,0.408184778184778,0.372735042735043,0.333846153846154,0.309409888357257,-0.40351252141284,0.485204190156207,0.485204190156207,0.436534036012297,-0.63363125004587,0.409656565656566,0.409656565656566,0.409656565656566,-0.493635159891894,-0.388447715322521,-0.843262608610096,0.437726628028383,0.391008807478251,0.415656612807683,0.362365591397849,0.389716018748277,0.361433190465449,0.334160463192721,0.334160463192721,0.305128205128205,0.440178092762426,0.305128205128205,-0.2,-0.3,0.266666666666667,0.375796096546835,-0.421241830065359,-0.457269317983604
"NOTCH",0.504444444444444,0.376122448979592,0.396071684587814,0.331555555555555,0.255555555555556,0.2,0.299871794871795,0.350952380952381,0.2,0.286666666666667,0.22,0.171014492753623,0.0814285714285714,0.0714285714285714,0.151206636500754,0.340368421052632,0.133333333333333,0.0888888888888889,0.0333333333333333,0.0833333333333333,0.193416583416583,0.0333333333333333,0,0.186267281105991,0.231428571428571,0.16,0.167368421052632,-0.46207729468599,0.52133655394525,0.52133655394525,0.301981004070556,-0.469069478908189,0.252727272727273,0.252727272727273,0.252727272727273,-0.529264069264069,-0.27593335115388,-0.556575682382134,0.365906243897871,0.311166253101737,0.340434545784664,0.269230769230769,0.311166253101737,0.269230769230769,0.2,0.2,0.1,0.336862745098039,0.1,0,0,0,0.324012041598248,-0.121794871794872,-0.28762157382847
"FUS",0.433560111590694,0.461560301720485,0.553521086169906,0.514598930481283,0.476363636363636,0.44,0.382902722902338,0.424679487179487,0.3,0.391346153846154,0.353846153846154,0.144879757923236,0.144352828379674,0.134285714285714,0.33999147485081,0.305753833736885,0.265136054421769,0.23452380952381,0.192857142857143,0.286666666666667,0.249702886560029,0.253333333333333,0.15,0.34977130977131,0.313873873873874,0.273333333333333,0.2625,-0.459651600753296,0.523009446693657,0.523009446693657,0.397428763577068,-0.420725516621743,0.36950998185118,0.36950998185118,0.36950998185118,-0.53309445304264,-0.345245085703101,-0.501836930678383,0.299478800919707,0.355901783327605,0.278012832333319,0.321018062397373,0.250740105060592,0.216622458001768,0.276190476190476,0.171794871794872,0.233333333333333,0.382017543859649,0.133333333333333,-0.1,-0.333333333333333,0.1,0.315679134330867,-0.316078431372549,-0.386872488125685
"TGF",0.515116279069767,0.534673913043478,0.55047619047619,0.593333333333333,0.526666666666667,0.46,0.442803560076287,0.474670008354219,0.333333333333333,0.423558897243108,0.376190476190476,0.231850419084462,0.22603128054741,0.211515151515151,0.265617816091954,0.464276729559748,0.341791979949875,0.315476190476191,0.258333333333333,0.203333333333333,0.318389724310777,0.153333333333333,0.233333333333333,0.38816091954023,0.343333333333333,0.273333333333333,0.181578947368421,-0.507068395626748,0.559795668354021,0.559795668354021,0.396839826839827,-0.506778463911046,0.34047619047619,0.34047619047619,0.34047619047619,-0.567284583232859,-0.374631519274376,-0.588066744643583,0.41708038804374,0.34078431372549,0.383037834852251,0.28,0.34078431372549,0.28,0.2,0.2,0.1,0.355334538878843,0.1,-0.2,-0.133333333333333,0,0.177262613865805,-0.234367816091954,-0.411688311688312
"cfos",0.546736490054568,0.403245594673141,0.42360698125404,0.378991596638655,0.314285714285714,0.242857142857143,0.318301698301698,0.389064112011791,0.32,0.336521739130435,0.28,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.158556067588326,0.358208616780045,0.157675438596491,0.120833333333333,0.0833333333333333,0.10952380952381,0.203415494322366,0.0761904761904762,0.0333333333333333,0.21113782051282,0.17051282051282,0.116666666666667,0.193055555555556,-0.509936507936508,0.560496175871478,0.560496175871478,0.341267487646423,-0.514619106935665,0.302413984461709,0.302413984461709,0.302413984461709,-0.571971819030643,-0.306823650301911,-0.593900649535599,0.40830588720121,0.357582417582418,0.38476377057054,0.326153846153846,0.358506787330317,0.326153846153846,0.28,0.28,0.2,0.39076154247781,0.2,0,-0.0333333333333333,0.1,0.357029675638371,-0.138556067588326,-0.31979020979021
"CDC42",0.546736490054568,0.403245594673141,0.42360698125404,0.378991596638655,0.314285714285714,0.342857142857143,0.318301698301698,0.389064112011791,0.22,0.336521739130435,0.28,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.158556067588326,0.358208616780045,0.157675438596491,0.120833333333333,0.0833333333333333,0.10952380952381,0.203415494322366,0.0761904761904762,0.0333333333333333,0.21113782051282,0.17051282051282,0.116666666666667,0.193055555555556,-0.509936507936508,0.560496175871478,0.560496175871478,0.341267487646423,-0.514619106935665,0.302413984461709,0.302413984461709,0.302413984461709,-0.571971819030643,-0.306823650301911,-0.593900649535599,0.40830588720121,0.357582417582418,0.38476377057054,0.326153846153846,0.358506787330317,0.326153846153846,0.28,0.28,0.2,0.39076154247781,0.2,0,-0.0333333333333333,0.1,0.357029675638371,-0.138556067588326,-0.31979020979021
"NOTCHic",0.56,0.420384744061559,0.439862534261016,0.396071684587814,0.331555555555555,0.255555555555556,0.330682605682606,0.408095238095238,0.22,0.350952380952381,0.286666666666667,0.184860646599777,0.0979753340184995,0.0814285714285714,0.172085757379875,0.375035087719298,0.172868217054264,0.133333333333333,0.0888888888888889,0.121794871794872,0.214543343979964,0.0833333333333333,0.0333333333333333,0.226807821646531,0.186267281105991,0.231428571428571,0.221913875598086,-0.515648723257419,0.570966183574879,0.570966183574879,0.339481004070556,-0.509772996496128,0.301981004070556,0.301981004070556,0.301981004070556,-0.581865225333433,-0.304071879292409,-0.605315178180453,0.389318222119287,0.339737681673166,0.365906243897871,0.311166253101737,0.340434545784664,0.311166253101737,0.269230769230769,0.269230769230769,0.2,0.37671236915819,0.2,0,-0.0333333333333333,0.1,0.342127983627234,-0.151206636500754,-0.331283545659456
"TCFLEF",0.686244358242759,0.618270674387965,0.607276452496982,0.578655762841809,0.547227191413238,0.507692307692308,0.436749936713965,0.527908293955738,0.431428571428571,0.500511033681765,0.472891986062718,0.202196974022267,0.185159955337675,0.175408521303258,0.283306653227799,0.433861826366062,0.311298894653733,0.290419773774612,0.271064935064935,0.24047619047619,0.28444217257348,0.216666666666667,0.235064935064935,0.396341613450737,0.371082097879802,0.345082097879802,0.200839160839161,-0.440433218742042,0.577184680796174,0.577184680796174,0.410907887691555,-0.451619884287075,0.386575960827982,0.386575960827982,0.386575960827982,-0.588194613529612,-0.359371517836802,-0.644230619444004,0.213236061101703,0.273639654347291,0.194038943242722,0.244062189558558,0.269671433256037,0.240385718970323,0.211351909184727,0.207675438596491,0.174509803921569,0.604403361344538,0.170833333333333,-0.171428571428571,-0.183333333333333,0.133333333333333,0.321706725853703,-0.261787665886027,-0.437778646342258
"PAK1",0.591964705822203,0.436578928006475,0.456561526708586,0.42360698125404,0.378991596638655,0.314285714285714,0.344902683523373,0.438057400602395,0.28,0.389064112011791,0.336521739130435,0.100476967398654,0.108190817545656,0.0933521078682369,0.179174624289357,0.387071590540978,0.186647401213314,0.157675438596491,0.120833333333333,0.138556067588326,0.224867639536887,0.10952380952381,0.0833333333333333,0.241423534798535,0.21113782051282,0.17051282051282,0.225055555555556,-0.55255945875618,0.600949250305135,0.600949250305135,0.372974804719593,-0.54955061378498,0.341267487646423,0.341267487646423,0.341267487646423,-0.612788145561255,-0.329989673467934,-0.633671204028906,0.428835688525713,0.383956043956044,0.40830588720121,0.357582417582418,0.38476377057054,0.358506787330317,0.326153846153846,0.326153846153846,0.28,0.423400431366699,0.28,-0.0333333333333333,-0.0761904761904762,0.2,0.3726883334677,-0.158556067588326,-0.353868422080713
"LIV1",0.591964705822203,0.436578928006475,0.456561526708586,0.42360698125404,0.378991596638655,0.314285714285714,0.344902683523373,0.438057400602395,0.28,0.389064112011791,0.336521739130435,0.100476967398654,0.108190817545656,0.0933521078682369,0.179174624289357,0.387071590540978,0.186647401213314,0.157675438596491,0.120833333333333,0.138556067588326,0.224867639536887,0.10952380952381,0.0833333333333333,0.241423534798535,0.21113782051282,0.17051282051282,0.225055555555556,-0.55255945875618,0.600949250305135,0.600949250305135,0.372974804719593,-0.54955061378498,0.341267487646423,0.341267487646423,0.341267487646423,-0.612788145561255,-0.329989673467934,-0.633671204028906,0.428835688525713,0.383956043956044,0.40830588720121,0.357582417582418,0.38476377057054,0.358506787330317,0.326153846153846,0.326153846153846,0.28,0.423400431366699,0.28,-0.0333333333333333,-0.0761904761904762,0.2,0.3726883334677,-0.158556067588326,-0.353868422080713
"EGR1",0.591964705822203,0.436578928006475,0.456561526708586,0.42360698125404,0.378991596638655,0.314285714285714,0.344902683523373,0.438057400602395,0.28,0.389064112011791,0.336521739130435,0.100476967398654,0.108190817545656,0.0933521078682369,0.179174624289357,0.387071590540978,0.186647401213314,0.157675438596491,0.120833333333333,0.138556067588326,0.224867639536887,0.10952380952381,0.0833333333333333,0.241423534798535,0.21113782051282,0.17051282051282,0.225055555555556,-0.55255945875618,0.600949250305135,0.600949250305135,0.372974804719593,-0.54955061378498,0.341267487646423,0.341267487646423,0.341267487646423,-0.612788145561255,-0.329989673467934,-0.633671204028906,0.428835688525713,0.383956043956044,0.40830588720121,0.357582417582418,0.38476377057054,0.358506787330317,0.326153846153846,0.326153846153846,0.28,0.423400431366699,0.28,-0.0333333333333333,-0.0761904761904762,0.2,0.3726883334677,-0.158556067588326,-0.353868422080713
"ZEB1",0.486102564102564,0.459536801278329,0.488444313907814,0.456097590863417,0.416415051180877,0.364176245210728,0.341212922118994,0.362813852813853,0.216666666666667,0.321904761904762,0.276666666666667,0.185035508532918,0.178747206524977,0.166552084573757,0.264796305645837,0.46002830826098,0.281584107327141,0.250701754385965,0.220701754385965,0.221414728682171,0.321523927053339,0.195833333333333,0.173333333333333,0.354421476117329,0.322865920561773,0.288172043010753,0.289943217986912,-0.552137225093747,0.603277446631466,0.603277446631466,0.441185959478642,-0.621738252551631,0.412962962962963,0.412962962962963,0.412962962962963,-0.622565981268513,-0.375987295360794,-0.63241968560363,0.47358466237548,0.434970432517088,0.455084057780558,0.409870830923462,0.433022866154149,0.408022866154149,0.378002699055331,0.375438596491228,0.335897435897436,0.467493103745208,0.333333333333333,-0.133333333333333,-0.158333333333333,0.266666666666667,0.383903934685168,-0.244647051914494,-0.329899724081038
"TGFR",0.57151438333517,0.580048362382685,0.598677629325111,0.55047619047619,0.593333333333333,0.526666666666667,0.479519977986735,0.518505624792575,0.376190476190476,0.474670008354219,0.423558897243108,0.248268329532223,0.239198540333886,0.22603128054741,0.293617816091954,0.505236139153844,0.374350119484758,0.341791979949875,0.315476190476191,0.234367816091954,0.347713032581454,0.203333333333333,0.258333333333333,0.431226612970887,0.38816091954023,0.343333333333333,0.224788823911631,-0.557068395626748,0.607720196655907,0.607720196655907,0.44047619047619,-0.553299609886489,0.396839826839827,0.396839826839827,0.396839826839827,-0.615671680007053,-0.40813277872022,-0.639345943753705,0.444058075670515,0.382853279242732,0.41708038804374,0.34078431372549,0.383037834852251,0.34078431372549,0.28,0.28,0.2,0.407370737973865,0.2,-0.233333333333333,-0.153333333333333,0.1,0.201673748769445,-0.265617816091954,-0.453116883116883
"Csl",0.605454545454545,0.452922057494395,0.47160477769777,0.439862534261016,0.396071684587814,0.331555555555555,0.357431576876021,0.456446886446886,0.286666666666667,0.408095238095238,0.350952380952381,0.206429274050757,0.114086445129611,0.0979753340184995,0.193161990563732,0.403606516290727,0.203576878471586,0.172868217054264,0.133333333333333,0.151206636500754,0.236480665917286,0.121794871794872,0.0888888888888889,0.256951362316388,0.226807821646531,0.186267281105991,0.250839495432797,-0.559934437543133,0.612306965697784,0.612306965697784,0.369881004070556,-0.544923921520471,0.339481004070556,0.339481004070556,0.339481004070556,-0.623843247311455,-0.326417362652155,-0.645594095325654,0.40996202897723,0.365319077022003,0.389318222119287,0.339737681673166,0.365906243897871,0.340434545784664,0.311166253101737,0.311166253101737,0.269230769230769,0.407726861911813,0.269230769230769,-0.0333333333333333,-0.0833333333333333,0.2,0.356920076333437,-0.172085757379875,-0.36649481326509
"SMAD",0.621303856577027,0.495129700460048,0.512134808853119,0.477134808853119,0.431991951710262,0.371428571428571,0.393816296042256,0.471156485376545,0.314285714285714,0.422612796056157,0.369124423963134,0.229016604874041,0.118864696946889,0.204578982661174,0.297605439731608,0.424851018261034,0.309927574633457,0.276143790849673,0.238888888888889,0.250833333333333,0.343756944481913,0.220833333333333,0.205555555555556,0.361453095761126,0.327843137254902,0.286666666666667,0.256902761104442,-0.575333164186459,0.627126401128387,0.627126401128387,0.454879865844391,-0.559451215906107,0.423085904920767,0.423085904920767,0.423085904920767,-0.637302374718662,-0.365324361843349,-0.658513855939076,0.426174707071295,0.379807498495516,0.404973726679138,0.351118973905352,0.380451433685507,0.351820728291317,0.318487394957983,0.318487394957983,0.271428571428571,0.418385855558092,0.271428571428571,-0.15,-0.183333333333333,0.2,0.268301421370713,-0.276066978193146,-0.389281893420238
"SNAI1",0.629134223707117,0.464215777138651,0.483951430038338,0.456561526708586,0.42360698125404,0.378991596638655,0.26838257126893,0.473378501519826,0.336521739130435,0.438057400602395,0.389064112011791,0.118334110255796,0.119219318165235,0.108190817545656,0.198280315346267,0.412269330653973,0.214761280216872,0.186647401213314,0.157675438596491,0.158556067588326,0.244919385979319,0.138556067588326,0.120833333333333,0.268814839146361,0.241423534798535,0.21113782051282,0.244121703415478,-0.589236574743641,0.634533210204885,0.634533210204885,0.397636051332059,-0.579009353802726,0.372974804719593,0.372974804719593,0.372974804719593,-0.647749083061255,-0.34889693443127,-0.667520191137562,0.445927525260407,0.407785831190086,0.428835688525713,0.383956043956044,0.40830588720121,0.38476377057054,0.357582417582418,0.358506787330317,0.326153846153846,0.450431057198923,0.326153846153846,-0.0833333333333333,-0.10952380952381,0.28,0.385448345886204,-0.179174624289357,-0.383760895198992
"GLI",0.623113777235462,0.497272152569388,0.614125391509462,0.576899114137199,0.530402298850575,0.468333333333333,0.407156578811558,0.555909090909091,0.402857142857143,0.509242424242424,0.461190476190476,0.15473324072645,0.158369988985897,0.144856475472383,0.322319545928635,0.421986843642819,0.238626703616935,0.206343239050006,0.175730994152047,0.273339598997494,0.2692933265488,0.247023809523809,0.138888888888889,0.288504116282379,0.253528746824251,0.214288240495137,0.23271645021645,-0.586816816816817,0.636427400289789,0.636427400289789,0.466411401431756,-0.574448824778543,0.431674559326493,0.431674559326493,0.431674559326493,-0.647161632243734,-0.419566486972147,-0.661606619444677,0.455026581693312,0.40464931136056,0.432341069325821,0.472573839662447,0.404864433811802,0.37280701754386,0.433333333333333,0.333333333333333,0.38,0.438053259871442,0.28,-0.0833333333333333,-0.20952380952381,0.2,0.337039735964909,-0.299112794873782,-0.408122579175211
