"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","HEY1","SMAD","ILK","SHH","TWIST1","SMO","FUS","NFB","Csn","Jagged","AKT","IKK","NOTCH","NOTCHic","Csl","EGR1","MEK","ERK","KLF4","cfos","ZEB2","ZEB1","SNAI2","cateninmemb","Ecadherin","GSK3","miR200","RAS","RAF","PI3K","DELTA","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP","SOSGRB2"
"Csn",0.251247804550747,0.27786208733026,0.252802421459138,0.206648575305292,0.145454545454545,0.156999107421172,0.0673338870431893,0.0731131278374768,0.0600025879917184,0.133456419601316,0.293027894654823,0.108513708513709,0.0873015873015873,0.138333333333333,0.105,0.183087863585273,0.179166666666667,0.159166666666667,0.246404983904984,0.222366522366522,0.18989898989899,-0.02,0.094353354978355,0.0683116883116883,-0.399880772821949,0.0254545454545455,0.435063688999173,0.435063688999173,0.433507446759145,-0.442053058621199,-0.51493599380799,-0.140504631695969,-0.443355132389914,0.176715215685319,0.153106770387814,0.153106770387814,0.153106770387814,0.419354375619382,0.37427547866515,0.398849264374644,0.348511286525412,0.374733508747634,0.348511286525412,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.407069759206799,-0.18,-0.0428571428571429,0.2,0.0519458771054811,-0.120341665502956,-0.15888419822398,-0.0818009915830739
"STAT",0.216332651670075,0.209832304740772,0.194856459330144,0.165909090909091,0.140909090909091,0.140266016268588,0.0493333333333333,0.0535065800433117,0.051207729468599,0.0564015229471084,0.0782927800169179,0.045,0.025,0,0,0.0636220715525577,0.00984665052461663,0.00476190476190476,0.0139122560596004,0.003232644409115,-0.0156862745098039,-0.0333333333333333,-0.0374067046173308,-0.0556862745098039,-0.326728064963359,-0.0733333333333333,0.440568405953021,0.440568405953021,0.100191269467937,-0.0625450219421262,-0.203755815560779,0.0516800178015131,-0.456698065576147,-0.0918452865943237,-0.105278122415219,-0.105278122415219,-0.105278122415219,0.0320548337403595,0.0111440030557678,0.0224004833231963,-0.00146103896103896,0.0113594738594739,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,-0.0431294196000078,0,0,0,-0.061961406941512,-0.0519767441860465,-0.145299227799228,-0.228694581280788
"ERK",0.364969292900327,0.392527197658516,0.363955769087088,0.320890075656431,0.267619047619048,0.264647881479676,0.169479492454603,0.17071803420485,0.159775784964728,0.240872062200979,0.431432115698249,0.208590163934426,0.184,0.144047619047619,0.110714285714286,0.295769489252302,0.189336340040603,0.16640056022409,0.262436024142153,0.23556621804797,0.202719502719503,0.066551724137931,0.0593672677085271,0.035133284421619,-0.404802420117224,0.0984666177549523,0.441467696738768,0.441467696738768,0.684947499806366,-0.544603972159761,-0.617631270251523,-0.208195881069671,-0.451386387340658,0.109121653923634,0.0856893106893107,0.0856893106893107,0.0856893106893107,0.420059052924638,0.378681669207985,0.400545164035749,0.352867132867133,0.377496836898203,0.351288185498712,0.32,0.318421052631579,0.27,0.268421052631579,0.411646311331399,-0.0857142857142857,-0.14,0.2,0.0595574375640025,-0.224930033215472,-0.270072845147442,-0.261314224071506
"TGFR",0.398411199110364,0.423422830124958,0.391507936507936,0.445079365079365,0.402222222222222,0.295921627313421,0.116276451398712,0.118874846501985,0.112825024437928,0.178523889538282,0.364925530512719,0.151034482758621,0.12,0.00595238095238095,-0.00833333333333333,0.224151031995048,0.0479352450894679,0.0270050125313283,0.107768130323328,0.0811494252873563,0.0466666666666667,-0.180952380952381,-0.122745219212415,-0.152882205513784,-0.417878936471614,-0.186215538847118,0.449338137647796,0.449338137647796,0.282098071333271,-0.446629907033403,-0.487228738731224,-0.0775778299843008,-0.459440418992699,0.0840852130325814,0.0595238095238095,0.0595238095238095,0.0595238095238095,0.357432326720445,0.318429701765064,0.339628960909994,0.295849056603774,0.319533267130089,0.295849056603774,0.26,0.26,0.2,0.2,0.351765560778436,0.0333333333333333,-0.0866666666666667,0.1,0.254832608826628,-0.166659482758621,-0.17034632034632,-0.145646523716699
"cMet",0.405332278481013,0.406264775413712,0.372222222222222,0.35,0.3,0.4052230602186,0.21781905744754,0.208528138528139,0.197619047619048,0.205397727272727,0.393514425649257,0.15,0.15,0.266666666666667,0.2,0.225487990270599,0.26625,0.26,0.275779875219965,0.24812030075188,0.242857142857143,0.325,0.348636363636364,0.365,-0.320634920634921,0.365,0.458008658008658,0.458008658008658,0.48806150864545,-0.196763716710336,-0.332217112076693,-0.257680491551459,-0.467637104743083,0.204456424079066,0.172380952380952,0.172380952380952,0.172380952380952,0.166176182246344,0.086969696969697,0.132277877161598,0.0233333333333333,0.0861240310077519,0.0233333333333333,-0.05,0.05,-0.1,0,0.0419047619047619,-0.2,-0.1,0.1,-0.127328695606007,-0.177272727272727,-0.44962962962963,-0.323809523809524
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.258333333333333,0.166666666666667,0.0619047619047619,0.0666666666666667,0.121794871794872,0.293,0.0333333333333333,0,0,0,0.166493506493506,0.0666666666666667,0.0333333333333333,0.217142857142857,0.16,0.1,0.1,0.0133333333333333,-0.02,-0.405555555555556,0,0.46207729468599,0.46207729468599,0.435746606334842,-0.431991951710262,-0.513017543859649,-0.229501915708812,-0.472121212121212,0.166060606060606,0.0933333333333333,0.0933333333333333,0.0933333333333333,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.22051282051282,-0.14
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.258333333333333,0.166666666666667,0.0619047619047619,0.0666666666666667,0.121794871794872,0.293,0.0333333333333333,0,0,0,0.166493506493506,0.0666666666666667,0.0333333333333333,0.217142857142857,0.16,0.1,0.1,0.0133333333333333,-0.02,-0.405555555555556,0,0.46207729468599,0.46207729468599,0.435746606334842,-0.431991951710262,-0.513017543859649,-0.229501915708812,-0.472121212121212,0.166060606060606,0.0933333333333333,0.0933333333333333,0.0933333333333333,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.22051282051282,-0.14
"TWIST1",0.518414546818523,0.509760998564706,0.473542319749216,0.433542319749216,0.381818181818182,0.453868919500646,0.167275097783572,0.162594682891713,0.147743197743198,0.433629169759543,0.45336198285569,0.369333333333333,0.333333333333333,0.253846153846154,0.2,0.396011553882557,0.337058421804184,0.301465201465201,0.367586948341665,0.331737891737892,0.288148148148148,0.0133333333333333,0.128891127884604,0.107498093058734,-0.387721492599541,0.0785507246376812,0.465401366278559,0.465401366278559,0.714933002194835,-0.652134738505219,-0.814472875334819,-0.382590116622903,-0.474073996436432,0.327522079321573,0.302522079321573,0.302522079321573,0.302522079321573,0.464827079349507,0.417254803675856,0.442802927538121,0.385254803675856,0.416309818809178,0.384582911178656,0.348412698412698,0.348412698412698,0.309523809523809,0.309523809523809,0.460247333311849,-0.1,-0.3,0.266666666666667,0.399715610886445,-0.403579908675799,-0.378527524179698,-0.10681609262845
"NFB",0.536395715837947,0.569029893875463,0.525991919191919,0.469191919191919,0.405555555555556,0.310223372488875,0.180342400117942,0.181003906617428,0.168736248624862,0.270013694625244,0.562941176470588,0.220740740740741,0.18,0.235714285714286,0.285714285714286,0.306608860989933,0.30958815958816,0.276254826254826,0.373273751338267,0.335209235209235,0.289177489177489,0.00714285714285715,0.118646125116713,0.0826984126984127,-0.411446886446886,0.0271428571428571,0.46777869962262,0.46777869962262,0.689566384745233,-0.610830425132455,-0.725974491369146,-0.237564102564103,-0.472591451195155,0.312105712077632,0.281757453371165,0.281757453371165,0.281757453371165,0.464019906956616,0.409947181407856,0.438686573623282,0.376239316239316,0.40957264957265,0.376239316239316,0.331623931623932,0.331623931623932,0.277777777777778,0.277777777777778,0.443520770010132,-0.3,-0.12,0.2,0.162008668953683,-0.248326947637292,-0.277595628415301,-0.237857142857143
"SRC",0.40859943977591,0.400551948051948,0.369642857142857,0.345833333333333,0.333333333333333,0.305209791429629,0.123030453492221,0.10796586059744,0.105263157894737,0.0924400871459695,0.258834154351396,0.0533333333333333,0.0333333333333333,0.15,0.15,0.108640908021642,0.147863247863248,0.142307692307692,0.155714285714286,0.134285714285714,0.12,0.233333333333333,0.210977701543739,0.209090909090909,-0.354328165374677,0.242424242424242,0.481079664570231,0.481079664570231,0.204371545617093,-0.109673701541685,-0.272803808392044,-0.146320346320346,-0.493078612209047,0.158680547654265,0.135953274926992,0.135953274926992,0.135953274926992,0.0811660123422667,0.0344262295081967,0.0612554978008796,0,0.0344262295081967,0,-0.05,-0.05,-0.1,0,-0.0271686004505079,-0.1,-0.0333333333333333,0,-0.0790687211339385,-0.0718518518518519,-0.393092212447051,-0.375714285714286
"SMO",0.431379310344828,0.52490990990991,0.481666666666667,0.44,0.4,0.358602150537634,0.119413919413919,0.121111111111111,0.11,0.318611111111111,0.284858387799564,0.253333333333333,0.333333333333333,0.15,0.1,0.235740740740741,0.200285714285714,0.164285714285714,0.300606060606061,0.260606060606061,0.233333333333333,0.1,0.173519813519814,0.152307692307692,-0.413888888888889,0.16,0.482485875706215,0.482485875706215,0.453946360153257,-0.399283850088736,-0.445345955886743,-0.32657989259931,-0.492374924653406,0.293694096601073,0.263461538461538,0.263461538461538,0.263461538461538,0.302911242507563,0.344444444444444,0.275091693635383,0.3,0.241111111111111,0.196666666666667,0.25,0.15,0.2,0.1,0.366472607851918,0,-0.3,0.1,0.319967164618327,-0.290833333333333,-0.333015873015873,-0.259649122807018
"NOTCH",0.376122448979592,0.396071684587814,0.331555555555555,0.255555555555556,0.2,0.293717948717949,0.16231884057971,0.0685714285714286,0.0619047619047619,0.145324283559578,0.342152542372881,0.0833333333333333,0.0333333333333333,0.0333333333333333,0,0.192419432419432,0.1,0.0666666666666667,0.165529953917051,0.217142857142857,0.16,0,0.0704761904761905,0.0133333333333333,-0.46207729468599,-0.02,0.52133655394525,0.52133655394525,0.482836553424789,-0.483824412443246,-0.571888511601585,-0.265865552072449,-0.529264069264069,0.216785243741765,0.166060606060606,0.166060606060606,0.166060606060606,0.383193948908235,0.314685314685315,0.350949050949051,0.269230769230769,0.314685314685315,0.269230769230769,0.2,0.2,0.1,0.1,0.338490566037736,0,0,0,0.330447082596615,-0.121794871794872,-0.265340406719717,-0.134736842105263
"FUS",0.46953720508167,0.564271612037569,0.52490990990991,0.481666666666667,0.44,0.384073848650842,0.132457397674789,0.126917562724014,0.121111111111111,0.341843434343434,0.31888980141213,0.290833333333333,0.253333333333333,0.164285714285714,0.15,0.261041945560018,0.219516483516484,0.200285714285714,0.330151515151515,0.300606060606061,0.260606060606061,0.16,0.195358893979584,0.173519813519814,-0.461429872495446,0.152307692307692,0.524817164049773,0.524817164049773,0.487519071104783,-0.437458896643671,-0.486989791503182,-0.348319023034093,-0.534949182079148,0.319458288740811,0.293694096601073,0.293694096601073,0.293694096601073,0.325737329464085,0.379059829059829,0.302911242507563,0.344444444444444,0.275091693635383,0.241111111111111,0.3,0.196666666666667,0.25,0.15,0.404360806609682,-0.1,-0.333333333333333,0.1,0.338799281406649,-0.318611111111111,-0.360850924562265,-0.263495276653171
"cfos",0.399967206394753,0.421415839062898,0.378991596638655,0.314285714285714,0.242857142857143,0.306842018740753,0.0692153923038481,0.0785116914149172,0.0656084656084656,0.150622973203618,0.359125541125541,0.10952380952381,0.0761904761904762,0.0583333333333333,0.0333333333333333,0.202881944444444,0.114912280701754,0.0833333333333333,0.184615384615385,0.146153846153846,0.1,0.08,0.0901989683124539,0.0478260869565217,-0.509936507936508,0,0.557106345363004,0.557106345363004,0.528197933453408,-0.531392751703092,-0.608443360960603,-0.294366883116883,-0.569357439945675,0.214907805940804,0.178322440087146,0.178322440087146,0.178322440087146,0.426437031090496,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.367565438492497,-0.1321044546851,-0.283916083916084,-0.159722222222222
"CDC42",0.399967206394753,0.421415839062898,0.378991596638655,0.314285714285714,0.342857142857143,0.306842018740753,0.0692153923038481,0.0785116914149172,0.0656084656084656,0.150622973203618,0.359125541125541,0.10952380952381,0.0761904761904762,0.0583333333333333,0.0333333333333333,0.202881944444444,0.114912280701754,0.0833333333333333,0.184615384615385,0.146153846153846,0.1,-0.02,0.0901989683124539,0.0478260869565217,-0.509936507936508,0,0.557106345363004,0.557106345363004,0.528197933453408,-0.531392751703092,-0.608443360960603,-0.294366883116883,-0.569357439945675,0.214907805940804,0.178322440087146,0.178322440087146,0.178322440087146,0.426437031090496,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.367565438492497,-0.1321044546851,-0.283916083916084,-0.159722222222222
"NOTCHic",0.418057932850559,0.438746843823482,0.396071684587814,0.331555555555555,0.255555555555556,0.321760276760277,0.173088071348941,0.0836793422404933,0.0685714285714286,0.165754391086459,0.378001598976655,0.121794871794872,0.0833333333333333,0.0666666666666667,0.0333333333333333,0.216922743677711,0.134883720930233,0.1,0.205003638127577,0.165529953917051,0.217142857142857,-0.02,0.113333333333333,0.0704761904761905,-0.515648723257419,0.0133333333333333,0.568003220611916,0.568003220611916,0.522716312943827,-0.529463357676512,-0.620127408998216,-0.296444064469143,-0.57955308660511,0.251760613199894,0.216785243741765,0.216785243741765,0.216785243741765,0.410827536694494,0.350169185653057,0.383193948908235,0.314685314685315,0.350949050949051,0.314685314685315,0.269230769230769,0.269230769230769,0.2,0.2,0.38293501048218,0,-0.0333333333333333,0.1,0.354113749263282,-0.145324283559578,-0.300551674325351,-0.16200956937799
"TCFLEF",0.608833197737514,0.599164432237648,0.574329995151556,0.547227191413238,0.507692307692308,0.421375107923225,0.179621657626796,0.163143371203953,0.154156755525177,0.269939121502549,0.425868957705663,0.230952380952381,0.216666666666667,0.226701298701299,0.198701298701299,0.275297063071738,0.254856978925703,0.236378718056137,0.359870520338973,0.336282480471863,0.316674637334609,0.172857142857143,0.226469221835076,0.216945412311266,-0.436511650114591,0.204564459930314,0.568986753499911,0.568986753499911,0.475342645688325,-0.436548039115686,-0.602259026678883,-0.345726471738193,-0.580528694866044,0.321114105350821,0.302060228872503,0.302060228872503,0.302060228872503,0.208656123804441,0.270326282129351,0.190099422773513,0.2411337355455,0.266388082567328,0.237457264957265,0.209509803921569,0.205833333333333,0.174509803921569,0.170833333333333,0.601418315018315,-0.171428571428571,-0.183333333333333,0.133333333333333,0.325269388572852,-0.250307219662058,-0.395653212104514,-0.258529709811147
"PAK1",0.431001689153374,0.453656276221368,0.421415839062898,0.378991596638655,0.314285714285714,0.33381099248777,0.0853918628920834,0.092705239802014,0.0785116914149172,0.172622973203618,0.389016845473367,0.1321044546851,0.10952380952381,0.0833333333333333,0.0583333333333333,0.228035318677573,0.142690058479532,0.114912280701754,0.216483516483517,0.184615384615385,0.146153846153846,0,0.116865634979121,0.0901989683124539,-0.54928077023159,0.0478260869565217,0.594083837324419,0.594083837324419,0.562013484990478,-0.56912168943203,-0.647682115285863,-0.321275974025974,-0.606413277509127,0.243544169577168,0.214907805940804,0.214907805940804,0.214907805940804,0.449195651780152,0.397673180240574,0.426437031090496,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.387415062552647,-0.150622973203618,-0.313197851871885,-0.190415291529153
"LIV1",0.431001689153374,0.453656276221368,0.421415839062898,0.378991596638655,0.314285714285714,0.33381099248777,0.0853918628920834,0.092705239802014,0.0785116914149172,0.172622973203618,0.389016845473367,0.1321044546851,0.10952380952381,0.0833333333333333,0.0583333333333333,0.228035318677573,0.142690058479532,0.114912280701754,0.216483516483517,0.184615384615385,0.146153846153846,0,0.116865634979121,0.0901989683124539,-0.54928077023159,0.0478260869565217,0.594083837324419,0.594083837324419,0.562013484990478,-0.56912168943203,-0.647682115285863,-0.321275974025974,-0.606413277509127,0.243544169577168,0.214907805940804,0.214907805940804,0.214907805940804,0.449195651780152,0.397673180240574,0.426437031090496,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.387415062552647,-0.150622973203618,-0.313197851871885,-0.190415291529153
"EGR1",0.431001689153374,0.453656276221368,0.421415839062898,0.378991596638655,0.314285714285714,0.33381099248777,0.0853918628920834,0.092705239802014,0.0785116914149172,0.172622973203618,0.389016845473367,0.1321044546851,0.10952380952381,0.0833333333333333,0.0583333333333333,0.228035318677573,0.142690058479532,0.114912280701754,0.216483516483517,0.184615384615385,0.146153846153846,0,0.116865634979121,0.0901989683124539,-0.54928077023159,0.0478260869565217,0.594083837324419,0.594083837324419,0.562013484990478,-0.56912168943203,-0.647682115285863,-0.321275974025974,-0.606413277509127,0.243544169577168,0.214907805940804,0.214907805940804,0.214907805940804,0.449195651780152,0.397673180240574,0.426437031090496,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.387415062552647,-0.150622973203618,-0.313197851871885,-0.190415291529153
"ZEB1",0.464130038421902,0.494577082603295,0.459931413311956,0.417799433616525,0.364176245210728,0.344102811795152,0.180922316025943,0.173201144854035,0.162143452546342,0.268343657424147,0.470029927908283,0.223106060606061,0.195833333333333,0.210175438596491,0.173333333333333,0.332352985186673,0.266615719626936,0.238044291055508,0.35085885593907,0.318627450980392,0.283333333333333,0.15,0.243755895309666,0.217764705882353,-0.552877562600551,0.186,0.604339433386087,0.604339433386087,0.524721278302833,-0.643066799919077,-0.646070297926694,-0.381667303601443,-0.623583576240892,0.408136281165749,0.382152029197245,0.382152029197245,0.382152029197245,0.496945160957892,0.450872070264829,0.475418742171199,0.420975163048334,0.449354912383965,0.419493801272854,0.384436701509872,0.38223889931207,0.338095238095238,0.335897435897436,0.48012547234277,-0.133333333333333,-0.158333333333333,0.266666666666667,0.399528833023654,-0.246635472370766,-0.321094559856649,-0.204522417153996
"Csl",0.449667128252858,0.471173147678358,0.438746843823482,0.396071684587814,0.331555555555555,0.349823517866996,0.192042319714954,0.0992348977960489,0.0836793422404933,0.189030253155425,0.408475639608709,0.145324283559578,0.121794871794872,0.1,0.0666666666666667,0.242964410344377,0.165116279069767,0.134883720930233,0.23773091085485,0.205003638127577,0.165529953917051,0.0133333333333333,0.139420289855072,0.113333333333333,-0.55707729468599,0.0704761904761905,0.606677253761087,0.606677253761087,0.556497073570225,-0.567383846973148,-0.660011129928448,-0.322806361965461,-0.618550907955872,0.279334142611658,0.251760613199894,0.251760613199894,0.251760613199894,0.433640572715077,0.382427250169186,0.410827536694494,0.350169185653057,0.383193948908235,0.350949050949051,0.314685314685315,0.314685314685315,0.269230769230769,0.269230769230769,0.419695935932052,-0.0333333333333333,-0.0833333333333333,0.2,0.3731874847904,-0.165754391086459,-0.332348909348392,-0.195342902711324
"GLI",0.475012147402821,0.597246035694694,0.563128388635871,0.523505747126437,0.468333333333333,0.375285686059536,0.119427295021523,0.123647179460518,0.112295828109166,0.30230525608554,0.410866316290764,0.255576441102757,0.234523809523809,0.0824561403508772,0.0666666666666667,0.259663671178857,0.135549252595775,0.108986752595775,0.215943854995579,0.182610521662246,0.145110521662246,-0.0742857142857143,0.0150956686039559,-0.00534632034632034,-0.572359502359502,-0.0326190476190476,0.614536183649087,0.614536183649087,0.563247572990287,-0.583367219205626,-0.65965521690153,-0.383327754028307,-0.626288685514692,0.160310151100814,0.130013121397844,0.130013121397844,0.130013121397844,0.465994632485376,0.413687270378295,0.44298208018412,0.478368121442125,0.414085976288017,0.37874114870181,0.434838709677419,0.334838709677419,0.38,0.28,0.444557669082126,-0.0333333333333333,-0.20952380952381,0.2,0.354030284612191,-0.278025420694594,-0.3136382121685,-0.238703980385396
"SMAD",0.492195143303316,0.511584197253229,0.476126029922552,0.431991951710262,0.371428571428571,0.387129499980306,0.217107465290055,0.106268161062682,0.192934827729348,0.294024049884611,0.428862287702067,0.245833333333333,0.220833333333333,0.207142857142857,0.183333333333333,0.349153470185728,0.27247619047619,0.24047619047619,0.341817186644773,0.306896551724138,0.266666666666667,0.0571428571428571,0.160885138867134,0.133962061944057,-0.572894139796215,0.0990783410138249,0.622311305990104,0.622311305990104,0.569085371722766,-0.579011654629513,-0.671070074486233,-0.361880241729866,-0.632788541904111,0.360882414452169,0.331935046031116,0.331935046031116,0.331935046031116,0.44742618118872,0.394422483990829,0.423819291624384,0.35989010989011,0.395189712248536,0.360644257703081,0.321428571428571,0.321428571428571,0.271428571428571,0.271428571428571,0.428696207957508,-0.15,-0.183333333333333,0.2,0.282947772238778,-0.270603975535168,-0.35845297078578,-0.237400177462289
"SNAI1",0.459337140233425,0.48289014718911,0.453656276221368,0.421415839062898,0.378991596638655,0.259789640174602,0.10205852955875,0.10266833943301,0.092705239802014,0.194176371261871,0.416401460857983,0.150622973203618,0.1321044546851,0.114912280701754,0.0833333333333333,0.250858848089338,0.169078947368421,0.142690058479532,0.245463108320251,0.216483516483517,0.184615384615385,0.0478260869565217,0.135251285203336,0.116865634979121,-0.582614103564923,0.0901989683124539,0.625941155897604,0.625941155897604,0.590139532593563,-0.600106145390579,-0.681084820800951,-0.342992145643136,-0.639362364925073,0.266532675324295,0.243544169577168,0.243544169577168,0.243544169577168,0.467729466958262,0.425643929783536,0.449195651780152,0.397673180240574,0.426437031090496,0.398659253312719,0.364990253411306,0.365985985985986,0.328148148148148,0.328148148148148,0.464327533234495,-0.0583333333333333,-0.10952380952381,0.28,0.40293041342984,-0.172622973203618,-0.342068144758914,-0.210415291529153
