"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","ERK","EGR1","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","SMO","NFB","FUS","Jagged","NOTCH","Csn","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","Ecadherin","GSK3","miR200","cateninnuc","GLI","RAS","TCFLEF","Wnt","RAF","PI3K","DELTA","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"STAT",0.218786639400136,0.21176467189053,0.194856459330144,0.165909090909091,0.140909090909091,0.148627450052929,0.218677918424754,0.202222222222222,0.2,0.188888888888889,0.0586666666666667,0.0655599303752106,0.0615136876006441,0.0628225972422309,0.0576470588235294,0.0802251471666764,0.0509803921568627,0.045,0.0333333333333333,0.025,0.0675142417782127,0.0437989445011917,0,0.0314393939393939,0.00416666666666667,-0.00820802005012531,-0.326728064963359,0.442935269858347,0.442935269858347,0.105172295404854,-0.0628629869659736,-0.20560603104461,0.0413019891500904,-0.458532927961468,0.0325315917856516,0.0111440030557678,0.0118363646665533,0.0224004833231963,-0.00146103896103896,-0.00167714884696018,-0.00167714884696018,-0.00167714884696018,0.0113594738594739,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,-0.0431294196000078,0,0,0,-0.0635332413002316,-0.0566279069767442,-0.172402628192102
"cMet",0.404391025641026,0.405555555555556,0.372222222222222,0.35,0.3,0.400426170041967,0.406740957252466,0.393697478991597,0.314285714285714,0.364285714285714,0.214297648884115,0.206944444444444,0.195833333333333,0.204256854256854,0.161333333333333,0.392171276998863,0.133333333333333,0.15,0.15,0.15,0.224795204795205,0.165,0.1,0.12,0.12,0.0278388278388278,-0.320634920634921,0.457369614512472,0.457369614512472,0.487821603804735,-0.196763716710336,-0.331956802177759,-0.248291633037396,-0.467132675609225,0.165988925320238,0.086969696969697,0.0621553884711779,0.132277877161598,0.0233333333333333,0.0112781954887218,0.0112781954887218,0.0112781954887218,0.0861240310077519,0.0233333333333333,-0.05,0.05,-0.1,0,0.0419047619047619,-0.2,-0.1,0.1,-0.124093133164218,-0.177272727272727,-0.445490196078431
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.258333333333333,0.286666666666667,0.22,0.1,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.293,0.0333333333333333,0.0333333333333333,0,0,0.166493506493506,0.231428571428571,0,0.16,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.269230769230769,0.240659340659341,0.314685314685315,0.2,0.171428571428571,0.171428571428571,0.171428571428571,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.258333333333333,0.286666666666667,0.22,0.1,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.293,0.0333333333333333,0.0333333333333333,0,0,0.166493506493506,0.231428571428571,0,0.16,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.269230769230769,0.240659340659341,0.314685314685315,0.2,0.171428571428571,0.171428571428571,0.171428571428571,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
"NFB",0.540710922666939,0.572486038176211,0.526679586563307,0.468346253229974,0.405555555555556,0.32331858590894,0.332965543941154,0.281746031746032,0.166666666666667,0.20952380952381,0.193028322440087,0.19734331232493,0.18328081232493,0.280120421148557,0.269487179487179,0.566013162415792,0.243333333333333,0.226153846153846,0.193333333333333,0.18,0.312422181661,0.315657519868046,0.233333333333333,0.280272904483431,0.228421052631579,0.349949494949495,-0.412155388471178,0.471937680905072,0.471937680905072,0.697478905695029,-0.611372605776845,-0.72898813761991,-0.253836406023575,-0.476177777777778,0.464410774640933,0.40957264957265,0.413701894435839,0.438555563821521,0.376239316239316,0.377922077922078,0.377922077922078,0.377922077922078,0.409193861693862,0.376239316239316,0.331623931623932,0.331623931623932,0.277777777777778,0.277777777777778,0.443308761226911,-0.2,-0.12,0.2,0.163427146621449,-0.253740053050398,-0.312503533894853
"SRC",0.407775469738457,0.399918086500655,0.369642857142857,0.345833333333333,0.333333333333333,0.304338405067788,0.342727272727273,0.32,0.3,0.32,0.123400412796698,0.111204486070108,0.107568122433744,0.0942399115533444,0.157847439916405,0.257593984962406,0.140606060606061,0.0533333333333333,0.113333333333333,0.0333333333333333,0.109779202279202,0.153168635875403,0.133333333333333,0.122556390977444,0.0857142857142857,0.0194570135746606,-0.354328165374677,0.480396825396825,0.480396825396825,0.206242109014356,-0.109673701541685,-0.272947780398546,-0.14750966834642,-0.492547932275382,0.0809864395049155,0.0344262295081967,0.138280701754386,0.0612554978008796,0,0.109333333333333,0.109333333333333,0.109333333333333,0.0344262295081967,0,-0.05,-0.05,-0.1,0,-0.0271686004505079,-0.1,-0.0333333333333333,0,-0.0777753954571429,-0.0718518518518519,-0.399365079365079
"SMO",0.431379310344828,0.52490990990991,0.481666666666667,0.44,0.4,0.362618214794663,0.390740740740741,0.35,0.2,0.3,0.128937728937729,0.132903225806452,0.12,0.324166666666667,0.214035087719298,0.284858387799564,0.166666666666667,0.253333333333333,0.133333333333333,0.333333333333333,0.239312169312169,0.307058823529412,0.1,0.26,0.22,0.261111111111111,-0.413888888888889,0.482485875706215,0.482485875706215,0.458239821078297,-0.399283850088736,-0.446083963266817,-0.332215060155171,-0.492374924653406,0.302911242507563,0.344444444444444,0.288493962178173,0.275091693635383,0.3,0.252130325814536,0.252130325814536,0.252130325814536,0.241111111111111,0.196666666666667,0.25,0.15,0.2,0.1,0.366472607851918,0,-0.3,0.1,0.319662516471855,-0.290833333333333,-0.351428571428571
"TWIST1",0.536686067388832,0.523795035856916,0.485438871473354,0.440438871473354,0.381818181818182,0.478399216967657,0.471328248055987,0.425315978117336,0.277777777777778,0.367251461988304,0.242238221548566,0.236162537909795,0.219105681722504,0.458244827222448,0.435172280294231,0.465314723590586,0.391269841269841,0.391555555555556,0.355555555555556,0.355555555555556,0.410228291267965,0.402876592007027,0.3,0.3631038647343,0.325603864734299,0.323106142938467,-0.404315196998124,0.487914539926924,0.487914539926924,0.730881642838598,-0.658642259734095,-0.827453014089531,-0.39965635540379,-0.495959323051522,0.470488862349112,0.418854803675856,0.434546303369833,0.446553304236338,0.385254803675856,0.400130718954248,0.400130718954248,0.400130718954248,0.417916244511989,0.384582911178656,0.348412698412698,0.348412698412698,0.309523809523809,0.309523809523809,0.461239889143115,-0.2,-0.3,0.266666666666667,0.397483573552409,-0.428541856925419,-0.459750232135964
"NOTCH",0.376122448979592,0.396071684587814,0.331555555555555,0.255555555555556,0.2,0.299871794871795,0.346666666666667,0.286666666666667,0.2,0.22,0.171014492753623,0.0814285714285714,0.0714285714285714,0.151206636500754,0.122222222222222,0.342152542372881,0.0888888888888889,0.0833333333333333,0.0333333333333333,0.0333333333333333,0.196123136123136,0.181428571428571,0,0.231428571428571,0.16,0.167368421052632,-0.46207729468599,0.52133655394525,0.52133655394525,0.487894132011779,-0.483824412443246,-0.572694963214488,-0.277307558342041,-0.529264069264069,0.383193948908235,0.314685314685315,0.285659340659341,0.350949050949051,0.269230769230769,0.240659340659341,0.240659340659341,0.240659340659341,0.314685314685315,0.269230769230769,0.2,0.2,0.1,0.1,0.338490566037736,0,0,0,0.329512503157363,-0.121794871794872,-0.28762157382847
"FUS",0.471776661338205,0.566086380498145,0.52490990990991,0.481666666666667,0.44,0.390502830179278,0.42962962962963,0.390740740740741,0.3,0.35,0.142370564758624,0.143292836196062,0.132903225806452,0.348656462585034,0.247368421052632,0.3203081232493,0.214035087719298,0.290833333333333,0.166666666666667,0.253333333333333,0.265372775372775,0.345725490196078,0.133333333333333,0.307058823529412,0.26,0.282679738562091,-0.461429872495446,0.526930320150659,0.526930320150659,0.493735316573792,-0.437831336122255,-0.48894110612396,-0.356613685584725,-0.53665353161858,0.326176548630012,0.379059829059829,0.319693962178173,0.302911242507563,0.344444444444444,0.288493962178173,0.288493962178173,0.288493962178173,0.275091693635383,0.241111111111111,0.3,0.196666666666667,0.25,0.15,0.404360806609682,-0.1,-0.333333333333333,0.1,0.338137589785638,-0.324166666666667,-0.390375939849624
"TGF",0.534673913043478,0.55047619047619,0.593333333333333,0.526666666666667,0.46,0.44180349062702,0.464957264957265,0.411111111111111,0.333333333333333,0.366666666666667,0.231850419084462,0.224629905613512,0.211515151515151,0.265617816091954,0.312179487179487,0.465185185185185,0.287179487179487,0.203333333333333,0.233333333333333,0.153333333333333,0.319691948944526,0.372908232118758,0.233333333333333,0.326754385964912,0.258333333333333,0.188888888888889,-0.507068395626748,0.559795668354021,0.559795668354021,0.510597389545493,-0.514243894589953,-0.597978803812028,-0.372168493445089,-0.567284583232859,0.427072763383588,0.342264150943396,0.288571428571429,0.388316782522344,0.28,0.226666666666667,0.226666666666667,0.226666666666667,0.342264150943396,0.28,0.2,0.2,0.1,0.1,0.356084656084656,-0.2,-0.133333333333333,0,0.181295295223077,-0.234367816091954,-0.409889069264069
"cfos",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.242857142857143,0.319178037152721,0.382380952380952,0.332380952380952,0.32,0.28,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.159543721909313,0.140937019969278,0.362155844155844,0.111904761904762,0.10952380952381,0.0833333333333333,0.0761904761904762,0.208611111111111,0.204597701149425,0.0333333333333333,0.166666666666667,0.116666666666667,0.193055555555556,-0.509936507936508,0.560496175871478,0.560496175871478,0.535891553701773,-0.531877013204303,-0.61120282246208,-0.309501025290499,-0.571971819030643,0.427177771831237,0.364990253411306,0.33084219858156,0.398659253312719,0.328148148148148,0.290416666666667,0.290416666666667,0.290416666666667,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.365130149024012,-0.138556067588326,-0.31979020979021
"CDC42",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.342857142857143,0.319178037152721,0.382380952380952,0.332380952380952,0.22,0.28,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.159543721909313,0.140937019969278,0.362155844155844,0.111904761904762,0.10952380952381,0.0833333333333333,0.0761904761904762,0.208611111111111,0.204597701149425,0.0333333333333333,0.166666666666667,0.116666666666667,0.193055555555556,-0.509936507936508,0.560496175871478,0.560496175871478,0.535891553701773,-0.531877013204303,-0.61120282246208,-0.309501025290499,-0.571971819030643,0.427177771831237,0.364990253411306,0.33084219858156,0.398659253312719,0.328148148148148,0.290416666666667,0.290416666666667,0.290416666666667,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.365130149024012,-0.138556067588326,-0.31979020979021
"NOTCHic",0.421283739302172,0.441294614524119,0.396071684587814,0.331555555555555,0.255555555555556,0.332146927146927,0.400765027322404,0.346666666666667,0.22,0.286666666666667,0.184860646599777,0.0979753340184995,0.0814285714285714,0.173787281662044,0.151633986928105,0.380517322247095,0.122222222222222,0.121794871794872,0.0888888888888889,0.0833333333333333,0.221950950692673,0.218742004264392,0.0333333333333333,0.181428571428571,0.231428571428571,0.221913875598086,-0.515648723257419,0.570966183574879,0.570966183574879,0.528976296340436,-0.529869037189696,-0.622465254179266,-0.307851491396434,-0.581865225333433,0.411438223717395,0.350169185653057,0.326528905876732,0.383193948908235,0.314685314685315,0.285659340659341,0.285659340659341,0.285659340659341,0.350949050949051,0.314685314685315,0.269230769230769,0.269230769230769,0.2,0.2,0.38293501048218,0,-0.0333333333333333,0.1,0.35217916982403,-0.151206636500754,-0.331283545659456
"TCFLEF",0.61591835818378,0.604924831391812,0.57774362333812,0.547227191413238,0.507692307692308,0.432485330730769,0.516618675442205,0.488413547237077,0.419607843137255,0.459001782531194,0.198180486180486,0.182311245549962,0.173149452177643,0.281544427783951,0.282721788015906,0.430412095291225,0.264260249554367,0.24047619047619,0.246078431372549,0.216666666666667,0.282769622235271,0.377077308656256,0.216666666666667,0.352380952380952,0.326190476190476,0.213679245283019,-0.440133788625168,0.575700743363897,0.575700743363897,0.484846852788412,-0.438548821233563,-0.60728909141652,-0.354345318607178,-0.586947656429152,0.210619155855099,0.270326282129351,0.387276522242928,0.190929366970998,0.2411337355455,0.358705093671499,0.358705093671499,0.358705093671499,0.266388082567328,0.237457264957265,0.209509803921569,0.205833333333333,0.174509803921569,0.170833333333333,0.601418315018315,-0.166666666666667,-0.183333333333333,0.133333333333333,0.324143747510603,-0.260801393728223,-0.431418773891907
"PAK1",0.43894914399738,0.459965267776261,0.424446142093201,0.378991596638655,0.314285714285714,0.34771520741651,0.429255952380952,0.382380952380952,0.28,0.332380952380952,0.100476967398654,0.107637822153951,0.0933521078682369,0.182543721909313,0.161867252527418,0.394764539808018,0.140937019969278,0.138556067588326,0.111904761904762,0.10952380952381,0.234377982276755,0.233347701149425,0.0833333333333333,0.204597701149425,0.166666666666667,0.228409090909091,-0.55255945875618,0.601332188733215,0.601332188733215,0.571036481238005,-0.570888002215292,-0.652517701354814,-0.335194186103808,-0.613088570299678,0.451177771831237,0.397673180240574,0.368745424388012,0.427177771831237,0.364990253411306,0.33084219858156,0.33084219858156,0.33084219858156,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.384859064686663,-0.159543721909313,-0.353868422080713
"LIV1",0.43894914399738,0.459965267776261,0.424446142093201,0.378991596638655,0.314285714285714,0.34771520741651,0.429255952380952,0.382380952380952,0.28,0.332380952380952,0.100476967398654,0.107637822153951,0.0933521078682369,0.182543721909313,0.161867252527418,0.394764539808018,0.140937019969278,0.138556067588326,0.111904761904762,0.10952380952381,0.234377982276755,0.233347701149425,0.0833333333333333,0.204597701149425,0.166666666666667,0.228409090909091,-0.55255945875618,0.601332188733215,0.601332188733215,0.571036481238005,-0.570888002215292,-0.652517701354814,-0.335194186103808,-0.613088570299678,0.451177771831237,0.397673180240574,0.368745424388012,0.427177771831237,0.364990253411306,0.33084219858156,0.33084219858156,0.33084219858156,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.384859064686663,-0.159543721909313,-0.353868422080713
"EGR1",0.43894914399738,0.459965267776261,0.424446142093201,0.378991596638655,0.314285714285714,0.34771520741651,0.429255952380952,0.382380952380952,0.28,0.332380952380952,0.100476967398654,0.107637822153951,0.0933521078682369,0.182543721909313,0.161867252527418,0.394764539808018,0.140937019969278,0.138556067588326,0.111904761904762,0.10952380952381,0.234377982276755,0.233347701149425,0.0833333333333333,0.204597701149425,0.166666666666667,0.228409090909091,-0.55255945875618,0.601332188733215,0.601332188733215,0.571036481238005,-0.570888002215292,-0.652517701354814,-0.335194186103808,-0.613088570299678,0.451177771831237,0.397673180240574,0.368745424388012,0.427177771831237,0.364990253411306,0.33084219858156,0.33084219858156,0.33084219858156,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.384859064686663,-0.159543721909313,-0.353868422080713
"ZEB1",0.464797493227084,0.495109278924605,0.459931413311956,0.417799433616525,0.364176245210728,0.345686930004717,0.355408989333222,0.313000612369871,0.21,0.266521739130435,0.183280978280978,0.177647942617294,0.165570647931304,0.270460055967646,0.254947156167432,0.470268561465177,0.227169378389654,0.223106060606061,0.199509803921569,0.195833333333333,0.333681235467319,0.348268398268398,0.158333333333333,0.315887445887446,0.27952380952381,0.300967804125699,-0.552877562600551,0.604982899182057,0.604982899182057,0.526619877544641,-0.643198813120397,-0.64670747988948,-0.383322042973491,-0.624097667098159,0.497064187812727,0.450872070264829,0.456231204842352,0.475418742171199,0.420975163048334,0.423653301159633,0.423653301159633,0.423653301159633,0.449354912383965,0.419493801272854,0.384436701509872,0.38223889931207,0.338095238095238,0.335897435897436,0.48012547234277,-0.133333333333333,-0.158333333333333,0.266666666666667,0.399646837186259,-0.248596256684492,-0.330736484317047
"TGFR",0.580048362382685,0.599047619047619,0.55047619047619,0.593333333333333,0.526666666666667,0.477948068940273,0.510118555279846,0.464957264957265,0.366666666666667,0.411111111111111,0.245696572930615,0.237487048470655,0.224629905613512,0.293617816091954,0.34159125188537,0.5074234523332,0.312179487179487,0.234367816091954,0.287179487179487,0.203333333333333,0.351078810258395,0.41670988501132,0.233333333333333,0.372908232118758,0.326754385964912,0.233888888888889,-0.557068395626748,0.607324185464287,0.607324185464287,0.557868005108791,-0.56528315555993,-0.651141196974421,-0.408168493445089,-0.615367179103066,0.458572319727864,0.388070602556299,0.334963181148748,0.427072763383588,0.342264150943396,0.288571428571429,0.288571428571429,0.288571428571429,0.388316782522344,0.342264150943396,0.28,0.28,0.2,0.2,0.410591093852896,-0.233333333333333,-0.153333333333333,0.1,0.209562772426725,-0.265617816091954,-0.450035054665529
"Csl",0.45634121056654,0.476442006814369,0.441294614524119,0.396071684587814,0.331555555555555,0.361371579234402,0.447861801515953,0.400765027322404,0.286666666666667,0.346666666666667,0.206429274050757,0.113381496483485,0.0979753340184995,0.197925212696527,0.175633986928105,0.413248699222265,0.151633986928105,0.151206636500754,0.122222222222222,0.121794871794872,0.248513450692673,0.248584936201565,0.0888888888888889,0.218742004264392,0.181428571428571,0.255247208931419,-0.559934437543133,0.612955133851122,0.612955133851122,0.563804397984682,-0.56885986287777,-0.66409316115601,-0.332888972655805,-0.624348885464152,0.435280419257704,0.382427250169186,0.363614998591964,0.411438223717395,0.350169185653057,0.326528905876732,0.326528905876732,0.326528905876732,0.383193948908235,0.350949050949051,0.314685314685315,0.314685314685315,0.269230769230769,0.269230769230769,0.419695935932052,-0.0333333333333333,-0.0833333333333333,0.2,0.371226788871649,-0.173787281662044,-0.366797564351045
"SMAD",0.496830530647268,0.51528270748084,0.478059367440599,0.431991951710262,0.371428571428571,0.395808238902189,0.460868554633316,0.413742117851707,0.304761904761905,0.36031746031746,0.226912379985006,0.117409040235127,0.203399378399378,0.300922828032493,0.275886860491323,0.432011970912826,0.248300653594771,0.250833333333333,0.218300653594771,0.220833333333333,0.353569454275795,0.352316875349071,0.188888888888889,0.319289352413291,0.279815668202765,0.266508186662076,-0.574989007370657,0.626799993995197,0.626799993995197,0.575371755010834,-0.58019310446516,-0.674224383588958,-0.370644970911213,-0.636955234924158,0.44863128143856,0.394422483990829,0.374395604395604,0.424265799205058,0.35989010989011,0.335934065934066,0.335934065934066,0.335934065934066,0.395189712248536,0.360644257703081,0.321428571428571,0.321428571428571,0.271428571428571,0.271428571428571,0.428696207957508,-0.133333333333333,-0.183333333333333,0.2,0.282109428808451,-0.276759259259259,-0.38728219426698
"SNAI1",0.469395003869992,0.490874358685352,0.459965267776261,0.424446142093201,0.378991596638655,0.273367772673035,0.465277457757297,0.429255952380952,0.332380952380952,0.382380952380952,0.117344437278172,0.118307797340055,0.107637822153951,0.204181148809898,0.187555325921913,0.423291831260129,0.161867252527418,0.159543721909313,0.140937019969278,0.138556067588326,0.257727038880529,0.262395320197044,0.111904761904762,0.233347701149425,0.204597701149425,0.252440098661029,-0.589631109846523,0.635980770730749,0.635980770730749,0.600693508810298,-0.603530489261924,-0.68793436802148,-0.356622757532379,-0.648988474053287,0.470909176789915,0.426375191209496,0.399075754718342,0.451177771831237,0.397673180240574,0.368745424388012,0.368745424388012,0.368745424388012,0.427177771831237,0.398659253312719,0.364990253411306,0.365985985985986,0.328148148148148,0.328148148148148,0.464793733700695,-0.0833333333333333,-0.10952380952381,0.28,0.401108720996809,-0.182543721909313,-0.384785266430393
"GLI",0.499008872198934,0.616723053567556,0.577572110171329,0.530402298850575,0.468333333333333,0.408647527146389,0.545033261287474,0.499226809674571,0.398412698412698,0.452958152958153,0.153778190378687,0.157359761844194,0.144316283583324,0.324663599672144,0.212745098039216,0.427795709969441,0.185822021116139,0.273339598997494,0.162745098039216,0.247023809523809,0.276615773855563,0.279699607441543,0.133333333333333,0.245291005291005,0.208148148148148,0.239107479572596,-0.586816816816817,0.636578368177367,0.636578368177367,0.590805595967429,-0.591363051192571,-0.67580372715888,-0.423105621908553,-0.647281552297032,0.473704851061156,0.41538939803787,0.465930492492224,0.447628296037233,0.478368121442125,0.425579615299241,0.425579615299241,0.425579615299241,0.415810114219051,0.37874114870181,0.434838709677419,0.334838709677419,0.38,0.28,0.445668780193237,-0.0833333333333333,-0.20952380952381,0.2,0.347978254700967,-0.299870211242392,-0.40704989747095
