"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","SNAI2","ZEB2","ZEB1","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","SUFU","LIV1","Destcompl","Patched","RKIP"
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.258333333333333,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.293,0.0333333333333333,0,0.0333333333333333,0,0.166493506493506,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.43868778280543,0.46207729468599,0.46207729468599,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.258333333333333,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.293,0.0333333333333333,0,0.0333333333333333,0,0.166493506493506,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.43868778280543,0.46207729468599,0.46207729468599,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
"SRC",0.401785714285714,0.395462962962963,0.365833333333333,0.345833333333333,0.333333333333333,0.328161616161616,0.299319112260289,0.3,0.316161616161616,0.327272727272727,0.126804038397881,0.114102721757665,0.109429824561404,0.0953812636165577,0.166263736263736,0.255230550747792,0.157692307692308,0.15,0.0533333333333333,0.0333333333333333,0.110475770406963,0.167445887445887,0.143809523809524,0.12,0.00857142857142857,-0.351151761517615,0.206540445743515,0.476367521367521,0.476367521367521,-0.109076738720949,0.215070515943912,0.186826241134752,0.186826241134752,0.186826241134752,-0.271651206878428,-0.13642933399031,-0.488437297724725,0.0801759669757256,0.0344262295081967,0.0608065976063562,0,0.0344262295081967,0,-0.05,-0.05,-0.1,0,-0.0271686004505079,-0.0333333333333333,0,-0.0760070548212593,-0.0718518518518519,-0.398136200716846
"SMO",0.431379310344828,0.52490990990991,0.481666666666667,0.44,0.4,0.393240093240093,0.363364055299539,0.2,0.353846153846154,0.3,0.128937728937729,0.134285714285714,0.12,0.324166666666667,0.236857142857143,0.284858387799564,0.192857142857143,0.15,0.253333333333333,0.333333333333333,0.239312169312169,0.323787878787879,0.278787878787879,0.233333333333333,0.255263157894737,-0.413888888888889,0.458517788724685,0.482485875706215,0.482485875706215,-0.399283850088736,0.382479874776386,0.347596153846154,0.347596153846154,0.347596153846154,-0.446083963266817,-0.335225292506846,-0.492374924653406,0.302911242507563,0.344444444444444,0.275091693635383,0.3,0.241111111111111,0.196666666666667,0.25,0.15,0.2,0.1,0.366472607851918,-0.3,0.1,0.319191970819878,-0.290833333333333,-0.352857142857143
"TWIST1",0.536864045556844,0.523935454616862,0.485438871473354,0.440438871473354,0.381818181818182,0.477104295456357,0.479416436165615,0.28,0.431830663615561,0.371304347826087,0.243465573974049,0.237967084996788,0.21981526981527,0.458591118009162,0.460917613459986,0.465609313137917,0.416849816849817,0.369230769230769,0.391555555555556,0.355555555555556,0.410423425501433,0.419711336881148,0.379145299145299,0.335555555555555,0.315754268614681,-0.404315196998124,0.731234132410533,0.488073160880178,0.488073160880178,-0.658642259734095,0.45193278426317,0.42054341891154,0.42054341891154,0.42054341891154,-0.827519665813628,-0.402331036737596,-0.496082171680117,0.470532602683722,0.418854803675856,0.446553304236338,0.385254803675856,0.417916244511989,0.384582911178656,0.348412698412698,0.348412698412698,0.309523809523809,0.309523809523809,0.461239889143115,-0.3,0.266666666666667,0.396961599612245,-0.428541856925419,-0.461840770536423
"NOTCH",0.376122448979592,0.396071684587814,0.331555555555555,0.255555555555556,0.2,0.350952380952381,0.299871794871795,0.2,0.286666666666667,0.22,0.171014492753623,0.0814285714285714,0.0714285714285714,0.151206636500754,0.133333333333333,0.342152542372881,0.0888888888888889,0.0333333333333333,0.0833333333333333,0.0333333333333333,0.196123136123136,0.186267281105991,0.231428571428571,0.16,0.167368421052632,-0.46207729468599,0.487894132011779,0.52133655394525,0.52133655394525,-0.483824412443246,0.303451910408432,0.252727272727273,0.252727272727273,0.252727272727273,-0.572694963214488,-0.277307558342041,-0.529264069264069,0.383193948908235,0.314685314685315,0.350949050949051,0.269230769230769,0.314685314685315,0.269230769230769,0.2,0.2,0.1,0.1,0.338490566037736,0,0,0.329512503157363,-0.121794871794872,-0.28762157382847
"FUS",0.472168784029038,0.566399271612038,0.52490990990991,0.481666666666667,0.44,0.431171127722852,0.392609338318407,0.3,0.393240093240093,0.353846153846154,0.144879757923236,0.145253456221198,0.134285714285714,0.349419191919192,0.271472527472527,0.320984042249826,0.236857142857143,0.192857142857143,0.290833333333333,0.253333333333333,0.265818193408555,0.362424242424242,0.323787878787879,0.278787878787879,0.274493927125506,-0.461429872495446,0.494244898239946,0.527271151779834,0.527271151779834,-0.437831336122255,0.412610879143199,0.382479874776386,0.382479874776386,0.382479874776386,-0.489097661896954,-0.359386366332349,-0.53692938009895,0.326280807724955,0.379059829059829,0.302911242507563,0.344444444444444,0.275091693635383,0.241111111111111,0.3,0.196666666666667,0.25,0.15,0.404360806609682,-0.333333333333333,0.1,0.33714817519944,-0.324166666666667,-0.393063328424153
"TGF",0.533611111111111,0.54969696969697,0.593333333333333,0.526666666666667,0.46,0.474670008354219,0.439495798319328,0.333333333333333,0.423558897243108,0.376190476190476,0.231850419084462,0.22603128054741,0.211515151515151,0.265617816091954,0.341791979949875,0.464276729559748,0.315476190476191,0.258333333333333,0.203333333333333,0.153333333333333,0.319691948944526,0.38816091954023,0.343333333333333,0.273333333333333,0.181578947368421,-0.507068395626748,0.51086636890726,0.5589202474786,0.5589202474786,-0.514243894589953,0.3961876510657,0.339430894308943,0.339430894308943,0.339430894308943,-0.59781064237705,-0.37209601081812,-0.566639043326756,0.426925895232176,0.342264150943396,0.388316782522344,0.28,0.342264150943396,0.28,0.2,0.2,0.1,0.1,0.356084656084656,-0.133333333333333,0,0.182541130367217,-0.234367816091954,-0.409889069264069
"cfos",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.242857142857143,0.389064112011791,0.319178037152721,0.32,0.336521739130435,0.28,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.159543721909313,0.157675438596491,0.362155844155844,0.120833333333333,0.0833333333333333,0.10952380952381,0.0761904761904762,0.208611111111111,0.212051282051282,0.17051282051282,0.116666666666667,0.193055555555556,-0.509936507936508,0.535891553701773,0.560496175871478,0.560496175871478,-0.531877013204303,0.344785854721292,0.303322440087146,0.303322440087146,0.303322440087146,-0.61120282246208,-0.310553656869446,-0.571971819030643,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,-0.0333333333333333,0.1,0.365130149024012,-0.138556067588326,-0.31979020979021
"CDC42",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.342857142857143,0.389064112011791,0.319178037152721,0.22,0.336521739130435,0.28,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.159543721909313,0.157675438596491,0.362155844155844,0.120833333333333,0.0833333333333333,0.10952380952381,0.0761904761904762,0.208611111111111,0.212051282051282,0.17051282051282,0.116666666666667,0.193055555555556,-0.509936507936508,0.535891553701773,0.560496175871478,0.560496175871478,-0.531877013204303,0.344785854721292,0.303322440087146,0.303322440087146,0.303322440087146,-0.61120282246208,-0.310553656869446,-0.571971819030643,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,-0.0333333333333333,0.1,0.365130149024012,-0.138556067588326,-0.31979020979021
"NOTCHic",0.421283739302172,0.441294614524119,0.396071684587814,0.331555555555555,0.255555555555556,0.408095238095238,0.332146927146927,0.22,0.350952380952381,0.286666666666667,0.184860646599777,0.0979753340184995,0.0814285714285714,0.173787281662044,0.172868217054264,0.380517322247095,0.133333333333333,0.0888888888888889,0.121794871794872,0.0833333333333333,0.221950950692673,0.228372544263885,0.186267281105991,0.231428571428571,0.221913875598086,-0.515648723257419,0.528976296340436,0.570966183574879,0.570966183574879,-0.529869037189696,0.344338609915821,0.303451910408432,0.303451910408432,0.303451910408432,-0.622465254179266,-0.308974225008708,-0.581865225333433,0.411438223717395,0.350169185653057,0.383193948908235,0.314685314685315,0.350949050949051,0.314685314685315,0.269230769230769,0.269230769230769,0.2,0.2,0.38293501048218,-0.0333333333333333,0.1,0.35217916982403,-0.151206636500754,-0.331283545659456
"TCFLEF",0.616422632714941,0.605322847402707,0.577415870658521,0.547227191413238,0.507692307692308,0.526971514781422,0.434904775035801,0.431428571428571,0.500511033681765,0.472891986062718,0.202196974022267,0.185235110898634,0.175408521303258,0.282916325049711,0.310638353009585,0.43152958472272,0.290419773774612,0.271064935064935,0.24047619047619,0.216666666666667,0.283584454025305,0.3952389606249,0.370572293958234,0.345082097879802,0.200614156302779,-0.439831393853671,0.485746922163533,0.576065525961318,0.576065525961318,-0.438548821233563,0.409332895829666,0.384859211619139,0.384859211619139,0.384859211619139,-0.607573360056685,-0.357716184278684,-0.587116587591555,0.210757323960245,0.270326282129351,0.190929366970998,0.2411337355455,0.266388082567328,0.237457264957265,0.209509803921569,0.205833333333333,0.174509803921569,0.170833333333333,0.601418315018315,-0.183333333333333,0.133333333333333,0.322965181007754,-0.261443932411674,-0.43627654676835
"PAK1",0.43894914399738,0.459965267776261,0.424446142093201,0.378991596638655,0.314285714285714,0.438397445345124,0.348334663658745,0.28,0.389064112011791,0.336521739130435,0.100476967398654,0.108190817545656,0.0933521078682369,0.182543721909313,0.187305068226121,0.394764539808018,0.157675438596491,0.120833333333333,0.138556067588326,0.10952380952381,0.234377982276755,0.245018315018315,0.212051282051282,0.17051282051282,0.225728822882288,-0.55255945875618,0.571153759850055,0.601332188733215,0.601332188733215,-0.570888002215292,0.380402293077457,0.344785854721292,0.344785854721292,0.344785854721292,-0.652517701354814,-0.337061883560488,-0.613088570299678,0.451177771831237,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0761904761904762,0.2,0.384708462277024,-0.159543721909313,-0.354596839624464
"LIV1",0.43894914399738,0.459965267776261,0.424446142093201,0.378991596638655,0.314285714285714,0.438397445345124,0.348334663658745,0.28,0.389064112011791,0.336521739130435,0.100476967398654,0.108190817545656,0.0933521078682369,0.182543721909313,0.187305068226121,0.394764539808018,0.157675438596491,0.120833333333333,0.138556067588326,0.10952380952381,0.234377982276755,0.245018315018315,0.212051282051282,0.17051282051282,0.225728822882288,-0.55255945875618,0.571153759850055,0.601332188733215,0.601332188733215,-0.570888002215292,0.380402293077457,0.344785854721292,0.344785854721292,0.344785854721292,-0.652517701354814,-0.337061883560488,-0.613088570299678,0.451177771831237,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0761904761904762,0.2,0.384708462277024,-0.159543721909313,-0.354596839624464
"EGR1",0.43894914399738,0.459965267776261,0.424446142093201,0.378991596638655,0.314285714285714,0.438397445345124,0.348334663658745,0.28,0.389064112011791,0.336521739130435,0.100476967398654,0.108190817545656,0.0933521078682369,0.182543721909313,0.187305068226121,0.394764539808018,0.157675438596491,0.120833333333333,0.138556067588326,0.10952380952381,0.234377982276755,0.245018315018315,0.212051282051282,0.17051282051282,0.225728822882288,-0.55255945875618,0.571153759850055,0.601332188733215,0.601332188733215,-0.570888002215292,0.380402293077457,0.344785854721292,0.344785854721292,0.344785854721292,-0.652517701354814,-0.337061883560488,-0.613088570299678,0.451177771831237,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0761904761904762,0.2,0.384708462277024,-0.159543721909313,-0.354596839624464
"ZEB1",0.464031592461184,0.494515760767635,0.459337895154987,0.417799433616525,0.364176245210728,0.364513305322129,0.346180351906158,0.216666666666667,0.322549019607843,0.276666666666667,0.185035508532918,0.179173443797058,0.166552084573757,0.271016185510115,0.284223396088996,0.470136009796204,0.251849295369572,0.220701754385965,0.223106060606061,0.195833333333333,0.334010086578585,0.361278069319014,0.326838235294118,0.289583333333333,0.293879142300195,-0.552137225093747,0.526874132268799,0.604264121104788,0.604264121104788,-0.643072038538177,0.451493886382305,0.41953186106585,0.41953186106585,0.41953186106585,-0.646504777660604,-0.384943596092532,-0.623383738277859,0.496927347242991,0.450872070264829,0.475320291877973,0.420975163048334,0.449354912383965,0.419493801272854,0.384436701509872,0.38223889931207,0.338095238095238,0.335897435897436,0.48012547234277,-0.158333333333333,0.266666666666667,0.399618350151351,-0.248596256684492,-0.331819892887087
"TGFR",0.5785,0.59789840854589,0.54969696969697,0.593333333333333,0.526666666666667,0.517327351011562,0.477365620804535,0.376190476190476,0.474670008354219,0.423558897243108,0.248268329532223,0.239388681269431,0.22603128054741,0.294431375413988,0.373556685832228,0.506929059308852,0.341791979949875,0.315476190476191,0.234367816091954,0.203333333333333,0.351576006915541,0.431639180409795,0.38816091954023,0.343333333333333,0.224788823911631,-0.556159304717657,0.558136984470558,0.606046684260209,0.606046684260209,-0.565112956003627,0.442228706784175,0.3961876510657,0.3961876510657,0.3961876510657,-0.650812357642916,-0.408234624679506,-0.61410172989392,0.458303673009954,0.388070602556299,0.426925895232176,0.342264150943396,0.388316782522344,0.342264150943396,0.28,0.28,0.2,0.2,0.410591093852896,-0.153333333333333,0.1,0.210273923889485,-0.265617816091954,-0.450468779408997
"Csl",0.45634121056654,0.476442006814369,0.441294614524119,0.396071684587814,0.331555555555555,0.457008281573499,0.362027405234577,0.286666666666667,0.408095238095238,0.350952380952381,0.206429274050757,0.114086445129611,0.0979753340184995,0.197925212696527,0.204651162790698,0.413248699222265,0.172868217054264,0.133333333333333,0.151206636500754,0.121794871794872,0.248513450692673,0.262008907900249,0.228372544263885,0.186267281105991,0.251995176411094,-0.559934437543133,0.563950196415008,0.612955133851122,0.612955133851122,-0.56885986287777,0.37902495677929,0.344338609915821,0.344338609915821,0.344338609915821,-0.66409316115601,-0.335009727967288,-0.624348885464152,0.435280419257704,0.382427250169186,0.411438223717395,0.350169185653057,0.383193948908235,0.350949050949051,0.314685314685315,0.314685314685315,0.269230769230769,0.269230769230769,0.419695935932052,-0.0833333333333333,0.2,0.371032128945445,-0.173787281662044,-0.367689075613373
"SMAD",0.49604944888079,0.514735325643061,0.476611573148051,0.430848861283644,0.371428571428571,0.469970114417258,0.395488129154796,0.314285714285714,0.420931652878796,0.369124423963134,0.229463532248342,0.118965079655967,0.204955417820218,0.301967139807282,0.309555555555556,0.431694689488731,0.274888888888889,0.238888888888889,0.250833333333333,0.220833333333333,0.354060273801097,0.365035068290882,0.328527131782946,0.286666666666667,0.256902761104442,-0.57317102650436,0.575350432664157,0.625443834856839,0.625443834856839,-0.579664438168185,0.462293829094108,0.426532239690134,0.426532239690134,0.426532239690134,-0.673688178366991,-0.371085668826746,-0.635497589300228,0.448094619039525,0.394186138770976,0.423833660833613,0.35989010989011,0.394950827046147,0.360644257703081,0.321428571428571,0.321428571428571,0.271428571428571,0.271428571428571,0.428555724139754,-0.183333333333333,0.2,0.283068762095916,-0.277438837920489,-0.388078263200214
"SNAI1",0.469728198914366,0.491139356845087,0.459965267776261,0.424446142093201,0.378991596638655,0.475168745793555,0.274631622513843,0.336521739130435,0.438397445345124,0.389064112011791,0.118334110255796,0.119383929476776,0.108190817545656,0.204485469482129,0.217166179337232,0.423703777707091,0.187305068226121,0.157675438596491,0.159543721909313,0.138556067588326,0.257907394041461,0.27603872318158,0.245018315018315,0.212051282051282,0.247238256844552,-0.589631109846523,0.600955972387768,0.636313647324068,0.636313647324068,-0.603530489261924,0.408797354805852,0.380402293077457,0.380402293077457,0.380402293077457,-0.688038534688147,-0.359055239042216,-0.649250576085599,0.470960829682477,0.426375191209496,0.451177771831237,0.397673180240574,0.427177771831237,0.398659253312719,0.364990253411306,0.365985985985986,0.328148148148148,0.328148148148148,0.464793733700695,-0.10952380952381,0.28,0.400711756265495,-0.182543721909313,-0.386664350172987
"GLI",0.499191068971448,0.616866227818388,0.577572110171329,0.530402298850575,0.468333333333333,0.556203750209275,0.409670390399874,0.402857142857143,0.509242424242424,0.461190476190476,0.15473324072645,0.158369988985897,0.144856475472383,0.324973091900828,0.239155739050006,0.428092680758216,0.206343239050006,0.175730994152047,0.273339598997494,0.247023809523809,0.276800336507992,0.291431097637994,0.254288240495137,0.214288240495137,0.233301153124162,-0.586816816816817,0.591063581491758,0.636728537293053,0.636728537293053,-0.591363051192571,0.472468749414785,0.434620143837095,0.434620143837095,0.434620143837095,-0.675868564374612,-0.425139309989497,-0.64740096848456,0.473749037220735,0.41538939803787,0.447628296037233,0.478368121442125,0.415810114219051,0.37874114870181,0.434838709677419,0.334838709677419,0.38,0.28,0.445668780193237,-0.20952380952381,0.2,0.347532195606938,-0.299870211242392,-0.408715571088957
