"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","AXIN2","SRC","DSH","STAT","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"SHH",0.35,0.44,0.4,0.3,0.2,0.283333333333333,0.3,0,0.2,0.1,0.0666666666666667,0.1,0.0666666666666667,0.253333333333333,0.15,0.2,0.1,0,0.3,0.2,0.162857142857143,0,0.233333333333333,0.2,0.1,0.25,-0.3,0.375,0.375,0.36727969348659,-0.299068100358423,0.303846153846154,0.25,0.25,0.25,-0.341666666666667,-0.256410256410256,-0.383333333333333,0.246666666666667,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.0476190476190476,0.1,0.2,0.1,0,-0.2,0,0.249090909090909,-0.333333333333333,-0.26
"PI3K",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.171892109500805,0.192441566790651,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.132051282051282,0.276018099547511,0.276816119652898,0.252941176470588,0.2,0.1,0.05,0.183245614035088,0.166666666666667,0.236104218362283,0.203846153846154,0.15,0.163461538461538,-0.336842105263158,0.375508463573364,0.375508463573364,0.395902730283891,-0.397420381305117,0.214983573504121,0.18621645021645,0.18621645021645,0.18621645021645,-0.472077970556085,-0.178607503607504,-0.376039526859199,0.383702166533457,0.332612411742847,0.359166084059231,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.198666666666667,0.255555555555556,0.2,0.2,-0.2,0,0.1,-0.0298688985807369,-0.115384615384615,-0.165481577246283
"ILK",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.171892109500805,0.192441566790651,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0747923182995325,0.0798917967186875,0.0694917967186875,0.132051282051282,0.276018099547511,0.276816119652898,0.252941176470588,0.2,0.1,0.05,0.183245614035088,0.166666666666667,0.236104218362283,0.203846153846154,0.15,0.163461538461538,-0.336842105263158,0.375508463573364,0.375508463573364,0.395902730283891,-0.397420381305117,0.214983573504121,0.18621645021645,0.18621645021645,0.18621645021645,-0.472077970556085,-0.178607503607504,-0.376039526859199,0.383702166533457,0.332612411742847,0.359166084059231,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.198666666666667,0.255555555555556,0.2,0.2,-0.2,0,0.1,-0.0298688985807369,-0.115384615384615,-0.165481577246283
"RAS",0.345396825396825,0.367769365171811,0.315294117647059,0.28,0.26,0.306489675516224,0.315727554179567,0.26,0.286315789473684,0.26,0.161857707509881,0.158750773036487,0.156709956709957,0.192870056497175,0.212222222222222,0.375242771412984,0.173333333333333,0.166666666666667,0.116666666666667,0.1,0.258624088310664,0.2,0.277259185700099,0.226315789473684,0.2,0.0125541125541125,-0.356428571428571,0.398696612665685,0.398696612665685,0.57634173186284,-0.400410502033264,0.153717948717949,0.205641025641026,0.205641025641026,0.205641025641026,-0.47119473173547,-0.215439276485788,-0.407661538461538,0.410589364402169,0.338970588235294,0.37971117743333,0.276470588235294,0.338172715894869,0.276470588235294,0.2,0.232990777338603,0.2,0.1,0.1,-0.2,-0.1,0,-0.0393112387298434,-0.160666666666667,-0.392622641509434
"SOSGRB2",0.370573870573871,0.39267243394903,0.343736263736264,0.301428571428571,0.271428571428571,0.356393745557925,0.359400959400959,0.276190476190476,0.323037323037323,0.30952380952381,0.261647727272727,0.259196932100158,0.252903225806452,0.298701026608003,0.338011695906433,0.403942028985507,0.304678362573099,0.288888888888889,0.233333333333333,0.2,0.357215265481102,0.3,0.394031320791884,0.347552447552448,0.309090909090909,-0.0272222222222222,-0.362017543859649,0.400588972431078,0.400588972431078,0.645446544203578,-0.494195273195273,0.333311603650587,0.285875706214689,0.285875706214689,0.285875706214689,-0.563557925110508,-0.313702544922741,-0.410651126415904,0.401218721423227,0.331521739130435,0.370434782608696,0.275,0.330434782608696,0.273913043478261,0.2,0.219788228822882,0.2,0.1,0.1,-0.2,-0.2,0,-0.0422015717317731,-0.268468468468469,-0.381834795321637
"AKT",0.277606332905434,0.297645644330977,0.273778574844572,0.233941176470588,0.177941176470588,0.192694114513336,0.221555490841284,0.0952380952380952,0.192441566790651,0.148179271708683,0.0875742731867506,0.0923497091765999,0.0798917967186875,0.14889338731444,0.195210018739431,0.300363520264519,0.276018099547511,0.252941176470588,0.115384615384615,0.1,0.203113163703962,0.2,0.2592749500696,0.236104218362283,0.203846153846154,0.196794871794872,-0.370175438596491,0.404275586861036,0.404275586861036,0.424947956414544,-0.429734346646605,0.240766706034242,0.214983573504121,0.214983573504121,0.214983573504121,-0.504653728131843,-0.196349439091375,-0.405451291565081,0.404471397302688,0.35886939498307,0.383702166533457,0.332612411742847,0.359166084059231,0.332612411742847,0.303381642512077,0.211302045728038,0.303381642512077,0.255555555555556,0.255555555555556,-0.166666666666667,-0.05,0.2,-0.0170483857602241,-0.132051282051282,-0.18846294370591
"MEK",0.33744792537896,0.363955769087088,0.320890075656431,0.267619047619048,0.22,0.245096599428394,0.174333577891905,0.17,0.227666911225238,0.187241379310345,0.163218245169465,0.165950203144554,0.156725110893631,0.227544412300439,0.185580595874714,0.406605486017251,0.156168831168831,0.110714285714286,0.184,0.14,0.279035339538693,0.0857142857142857,0.247638087784073,0.21041181041181,0.156565656565657,0.0925079365079365,-0.369918699186992,0.410759035321446,0.410759035321446,0.659665770265079,-0.512985061306439,0.128532023532024,0.0945637695637696,0.0945637695637696,0.0945637695637696,-0.584662235643144,-0.185377447079575,-0.419033446164188,0.403049964588168,0.352867132867133,0.378514648603038,0.32,0.351288185498712,0.318421052631579,0.27,0.218365834188619,0.268421052631579,0.2,0.2,-0.1,-0.1,0.1,0.0307908266742908,-0.208590163934426,-0.257629367536488
"CD44",0.37875,0.372222222222222,0.35,0.3,0.2,0.373019670388091,0.415,0.3,0.385,0.325,0.204093567251462,0.197619047619048,0.183333333333333,0.177272727272727,0.26,0.351941391941392,0.266666666666667,0.2,0.15,0.1,0.188531468531469,0.2,0.24812030075188,0.242857142857143,0.2,-0.00238095238095239,-0.277777777777778,0.420634920634921,0.420634920634921,0.439156399156399,-0.144450549450549,0.203809523809524,0.166666666666667,0.166666666666667,0.166666666666667,-0.283107697318424,-0.223809523809524,-0.431699604743083,0.132277877161598,0.0233333333333333,0.0861240310077519,-0.05,0.0233333333333333,0.05,-0.1,0,0,0,0.1,-0.1,-0.1,0.1,-0.157044636036233,-0.15,-0.423703703703704
"IKK",0.497806637806638,0.529191919191919,0.469191919191919,0.405555555555556,0.35,0.292034209782301,0.252190476190476,0.1,0.178857142857143,0.142857142857143,0.181940144478844,0.18578795379538,0.172916666666667,0.2557343550447,0.321042471042471,0.532941176470588,0.264285714285714,0.314285714285714,0.18,0.12,0.287413308341143,0.3,0.362914862914863,0.307359307359307,0.245454545454545,0.301890756302521,-0.363369963369963,0.425418546365915,0.425418546365915,0.66089503685797,-0.569814691825865,0.379190204749367,0.334119782214156,0.334119782214156,0.334119782214156,-0.682863893582049,-0.215934065934066,-0.428840579710145,0.442770103623998,0.376239316239316,0.410702593075474,0.331623931623932,0.376239316239316,0.331623931623932,0.277777777777778,0.231666666666667,0.277777777777778,0.2,0.2,-0.2,-0.1,0.1,0.124639895805929,-0.228148148148148,-0.277322404371585
"Csn",0.253033518836461,0.279294068237181,0.252802421459138,0.206648575305292,0.145454545454545,0.161904481804705,0.244680735930736,0.106666666666667,0.209264069264069,0.161212121212121,0.0753737541528239,0.0823617387046469,0.0687370600414079,0.139396839132429,0.205766666666667,0.294960261804582,0.184166666666667,0.155,0.108513708513709,0.0873015873015873,0.187363356165725,0.105,0.263672438672439,0.238672438672439,0.201010101010101,0.171982013144241,-0.399880772821949,0.436676592224979,0.436676592224979,0.439544573445832,-0.443425871181798,0.235045708478078,0.207982368746792,0.207982368746792,0.207982368746792,-0.516861999130285,-0.139794358822774,-0.444602533637315,0.423453671455001,0.375148841110565,0.401024326896973,0.348511286525412,0.375622397636523,0.348511286525412,0.318390804597701,0.232747875354108,0.318390804597701,0.266666666666667,0.266666666666667,-0.18,-0.0428571428571429,0.2,0.0365581844095106,-0.124642740771773,-0.179131705132546
