"","FOXC2","TGF","TGFR","CDC42","PAK1","EGR1","MEK","ERK","cfos","SNAI1","TWIST1","HEY1","AKT","SHH","IKK","ILK","SMAD","NFB","Csn","Jagged","SMO","NOTCH","FUS","KLF4","NOTCHic","Csl","SOSGRB2","cateninmemb","SNAI2","ZEB2","ZEB1","RAS","RAF","PI3K","DELTA","miR200","Ecadherin","GSK3","GLI","cateninnuc","Wnt","TCFLEF","CD44","cMet","Frizzled","SRC","DSH","SUFU","STAT","AXIN2","Patched","TrCP","LIV1","Destcompl","RKIP"
"SOSGRB2",0.351428571428571,0.37646948795885,0.336043956043956,0.301428571428571,0.271428571428571,0.276190476190476,0.353340353340353,0.323037323037323,0.30952380952381,0.322501066098081,0.390144927536232,0.184659090909091,0.300292397660819,0.232118164676304,0.283625730994152,0.17010752688172,0.168009624783818,0.288888888888889,0.3,0.310957926307495,0.2,0.367379099773466,0.2,-0.355,0.332167832167832,0.309090909090909,-0.0272222222222222,-0.492229671229671,0.64444151907795,0.385,0.385,0.333311603650587,0.285875706214689,0.285875706214689,0.285875706214689,-0.396331895355584,-0.55499324038532,-0.313702544922741,0.331521739130435,0.398924266356306,0.275,0.370434782608696,0.330434782608696,0.273913043478261,0.2,0.2,0.1,-0.2,0.1,0.345606435643564,-0.213513513513513,-0.2,0,-0.0356106235300866,-0.358808479532164
"MEK",0.312139858691583,0.342896384148857,0.302020471740098,0.258095238095238,0.22,0.17,0.160822939594033,0.219156272927366,0.187241379310345,0.209354933479561,0.390544879956645,0.0847478266990462,0.142398777692895,0.159622843672988,0.112987012987013,0.0692055694658041,0.0651465288753982,0.0857142857142857,0.0857142857142857,0.232215420889612,0.12,0.217917808063793,0.1,-0.350358680057389,0.180691530691531,0.138383838383838,0.0880634920634921,-0.505980438319032,0.65566046758383,0.385447382204914,0.385447382204914,0.128532023532024,0.0945637695637696,0.0945637695637696,0.0945637695637696,-0.394441612710176,-0.570308514671702,-0.187834449536577,0.352867132867133,0.395535562930913,0.32,0.375461213488534,0.351288185498712,0.318421052631579,0.27,0.268421052631579,0.2,-0.1,0.2,0.379613791006196,-0.144590163934426,-0.1,0.1,0.0423733795998244,-0.229197994987469
"STAT",0.178458077709611,0.179417458336223,0.161543062200957,0.135227272727273,0.122727272727273,0.2,0.179860847564832,0.165882352941176,0.16,0.0951234511924684,0.0547295616261134,-0.0253333333333333,-0.0204600484261501,0.00066474583247582,-0.0357142857142857,-0.0178743961352657,-0.022472097284691,-0.05,-0.05,0.0177634292104987,-0.03,-0.00819042914988088,-0.05,-0.284907902554961,-0.0246952835188129,-0.0490196078431372,-0.0187192118226601,-0.047569979911685,0.0957519991969753,0.396727631343016,0.396727631343016,-0.0358973587397998,-0.0463451199338296,-0.0463451199338296,-0.0463451199338296,-0.411779745253825,-0.179921014070716,0.050636404094348,0.00778265851795264,0.0211206992416691,-0.00146103896103896,0.0145652761189039,0.00794067044067044,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,0.05,-0.0571428571428571,-0.0452684570331629,0.00906976744186046,0,0,-0.065882076435952,-0.116954633204633
"Csn",0.215860629562453,0.247889900265849,0.221398253487806,0.176526458616011,0.127272727272727,0.106666666666667,0.220262445887446,0.185887445887446,0.143030303030303,0.11133680737287,0.269052516752377,-0.0183970099667774,0.143266666666667,0.0595349887787751,0.121666666666667,-0.0250103519668737,-0.0314370871853827,0.0883333333333333,0.055,0.125368345611129,0.0352092352092352,0.218795093795094,0.00793650793650794,-0.365261797026503,0.193795093795094,0.153535353535354,0.160428917329644,-0.427214102652074,0.428974287289429,0.397421009098429,0.397421009098429,0.232021350305843,0.206877396371102,0.206877396371102,0.206877396371102,-0.40533782899982,-0.491387528806649,-0.141564704780904,0.370782028883491,0.408410862376851,0.348511286525412,0.390792101102046,0.371177953192079,0.348511286525412,0.318390804597701,0.318390804597701,0.266666666666667,0.0142857142857143,0.266666666666667,0.404803470254958,-0.0513382674672997,-0.18,0.2,0.0478636081122569,-0.130822856705952
"ERK",0.33931934587107,0.37119308744556,0.342896384148857,0.302020471740098,0.258095238095238,0.187241379310345,0.195084778034144,0.160822939594033,0.219156272927366,0.227179007553635,0.413429762064828,0.083041342057408,0.164417126316749,0.168318495846901,0.142398777692895,0.0651465288753982,0.0602833069908997,0.112987012987013,0.0857142857142857,0.24486602329925,0.144590163934426,0.244233597537478,0.12,-0.379816044398474,0.217917808063793,0.180691530691531,0.116218831869317,-0.534867282845251,0.682170837286264,0.412691476693103,0.412691476693103,0.15482465279495,0.128532023532024,0.128532023532024,0.128532023532024,-0.423118083298411,-0.601101511582103,-0.208997029009783,0.376676656676657,0.412896674042024,0.352867132867133,0.395535562930913,0.375461213488534,0.351288185498712,0.32,0.318421052631579,0.27,-0.1,0.268421052631579,0.410345498323269,-0.159622843672988,-0.0857142857142857,0.2,0.0570671037636726,-0.25287487521031
"CD44",0.3725,0.366666666666667,0.35,0.3,0.2,0.3,0.415,0.385,0.325,0.348856990962254,0.346227106227106,0.150292397660819,0.246666666666667,0.13,0.266666666666667,0.127777777777778,0.121655328798186,0.2,0.2,0.154965034965035,0.15,0.237593984962406,0.1,-0.277777777777778,0.242857142857143,0.2,-0.00238095238095239,-0.144450549450549,0.439156399156399,0.415873015873016,0.415873015873016,0.203809523809524,0.166666666666667,0.166666666666667,0.166666666666667,-0.428063241106719,-0.280458690695907,-0.223809523809524,0.0233333333333333,0.132277877161598,-0.05,0.0861240310077519,0.0233333333333333,0.05,-0.1,0,0,-0.1,0.1,-0.02,-0.13,-0.1,0.1,-0.159085452362763,-0.416296296296296
"SMO",0.372586206896552,0.477432432432432,0.445,0.42,0.4,0.2,0.371794871794872,0.338461538461538,0.3,0.270199692780338,0.243627450980392,-0.0695970695970696,0.134285714285714,0.168888888888889,0.114285714285714,-0.0833333333333333,-0.0785714285714286,0.1,0.1,0.141375661375661,0.146666666666667,0.257272727272727,0.266666666666667,-0.375,0.227272727272727,0.2,0.244736842105263,-0.386932178028326,0.452041598248495,0.4204802259887,0.4204802259887,0.380154293381038,0.347596153846154,0.347596153846154,0.347596153846154,-0.436558167570826,-0.414194003590521,-0.328521640172126,0.344444444444444,0.293764589467196,0.3,0.271208198489752,0.241111111111111,0.196666666666667,0.25,0.15,0.2,-0.3,0.1,0.366472607851918,-0.146666666666667,0,0.1,0.318416777021428,-0.281904761904762
"Jagged",0.264285714285714,0.293333333333333,0.233333333333333,0.2,0.2,0.1,0.253333333333333,0.22,0.2,0.175,0.26,0.0666666666666667,0,0.0301282051282051,-0.0333333333333333,-0.0333333333333333,-0.0285714285714286,0,0,0.108311688311688,-0.0333333333333333,0.177142857142857,0,-0.383333333333333,0.12,0.1,0.12,-0.42635814889336,0.435746606334842,0.422463768115942,0.422463768115942,0.252727272727273,0.18,0.18,0.18,-0.433939393939394,-0.492491228070175,-0.229501915708812,0.269230769230769,0.346553446553447,0.2,0.314685314685315,0.269230769230769,0.2,0.1,0.1,0,0,0,0.28,0.00833333333333333,0,0,0.300540540540541,-0.153846153846154
"DELTA",0.264285714285714,0.293333333333333,0.233333333333333,0.2,0.2,0.1,0.253333333333333,0.22,0.2,0.175,0.26,0.0666666666666667,0,0.0301282051282051,-0.0333333333333333,-0.0333333333333333,-0.0285714285714286,0,0,0.108311688311688,-0.0333333333333333,0.177142857142857,0,-0.383333333333333,0.12,0.1,0.12,-0.42635814889336,0.435746606334842,0.422463768115942,0.422463768115942,0.252727272727273,0.18,0.18,0.18,-0.433939393939394,-0.492491228070175,-0.229501915708812,0.269230769230769,0.346553446553447,0.2,0.314685314685315,0.269230769230769,0.2,0.1,0.1,0,0,0,0.28,0.00833333333333333,0,0,0.300540540540541,-0.153846153846154
"cMet",0.388955696202532,0.392198581560284,0.366666666666667,0.35,0.3,0.325,0.416818181818182,0.415,0.385,0.372585804521576,0.381058566901263,0.144410044719642,0.240416666666667,0.1425,0.246666666666667,0.121655328798186,0.119837146980004,0.266666666666667,0.2,0.181051991486774,0.13,0.256742921132619,0.15,-0.315873015873016,0.237593984962406,0.242857142857143,0.0109523809523809,-0.195340229165852,0.48806150864545,0.445165945165945,0.445165945165945,0.245318957771788,0.203809523809524,0.203809523809524,0.203809523809524,-0.456188241106719,-0.324987952782421,-0.257680491551459,0.086969696969697,0.165046238743519,0.0233333333333333,0.132277877161598,0.0861240310077519,0.0233333333333333,-0.05,0.05,-0.1,-0.1,0,0.0419047619047619,-0.13,-0.2,0.1,-0.127328695606007,-0.434814814814815
"SRC",0.378104575163399,0.374891774891775,0.347619047619048,0.333333333333333,0.333333333333333,0.3,0.318258052220316,0.305050505050505,0.327272727272727,0.259137043326772,0.238648477958823,0.01329030122476,0.114529914529915,0.00915032679738562,0.108974358974359,-0.00526315789473684,-0.00256045519203414,0.116666666666667,0.15,0.0473429781227946,-0.0166666666666667,0.130714285714286,-0.0166666666666667,-0.333914728682171,0.109285714285714,0.095,0.00285714285714286,-0.102502619368358,0.203191604614143,0.452897574123989,0.452897574123989,0.217730875715857,0.191973299958281,0.191973299958281,0.191973299958281,-0.466066461718636,-0.257050406020994,-0.147532467532468,0.0344262295081967,0.0755949969005686,0,0.0588164734106357,0.0344262295081967,0,-0.05,-0.05,-0.1,-0.0333333333333333,0,-0.0271686004505079,0.00555555555555556,-0.1,0,-0.0800943621595796,-0.370869990224829
"FUS",0.405480943738657,0.512538815411156,0.477432432432432,0.445,0.42,0.3,0.40053050397878,0.371794871794872,0.338461538461538,0.29472799466713,0.273470382917565,-0.0652492435101131,0.161208791208791,0.188080808080808,0.134285714285714,-0.0785714285714286,-0.0792165898617511,0.114285714285714,0.1,0.161857589086505,0.146666666666667,0.291363636363636,0.146666666666667,-0.402868852459016,0.257272727272727,0.227272727272727,0.260121457489879,-0.417285995532981,0.482382711354419,0.452995563412013,0.452995563412013,0.40679184796619,0.380154293381038,0.380154293381038,0.380154293381038,-0.466261137867856,-0.448714551535727,-0.349591874285838,0.375213675213675,0.311427632945456,0.344444444444444,0.293764589467196,0.271208198489752,0.241111111111111,0.3,0.196666666666667,0.25,-0.266666666666667,0.15,0.401876334559993,-0.168888888888889,-0.1,0.1,0.334329185780552,-0.31386352479136
"NOTCH",0.323469387755102,0.354623655913978,0.293333333333333,0.233333333333333,0.2,0.2,0.310476190476191,0.253333333333333,0.22,0.213461538461538,0.309152542372881,0.0710144927536232,0.0444444444444444,0.0595399698340875,0,-0.0285714285714286,-0.0319047619047619,-0.0333333333333333,0,0.137941317941318,-0.00833333333333333,0.131981566820276,-0.0333333333333333,-0.422463768115942,0.177142857142857,0.12,0.156842105263158,-0.470860766694407,0.480720151308387,0.47061191626409,0.47061191626409,0.300553359683794,0.252727272727273,0.252727272727273,0.252727272727273,-0.47965367965368,-0.544910582908885,-0.268138279345176,0.314685314685315,0.373084058798345,0.269230769230769,0.346553446553447,0.314685314685315,0.269230769230769,0.2,0.2,0.1,0,0.1,0.338490566037736,-0.0301282051282051,0,0,0.328577923718111,-0.205570291777188
"GLI",0.336377816477468,0.462455802620333,0.437279332032097,0.400172413793103,0.345,0.354285714285714,0.471736265576045,0.433614718614719,0.395952380952381,0.241326600647122,0.305823324006686,-0.056104337089057,0.0821227175080559,0.128206484023109,0.0633727175080559,-0.0582545516703839,-0.0642004976163298,0.0368421052631579,0,0.0998107288381432,0.111434837092732,0.146641720348617,0.0851190476190476,-0.447570999571,0.124736958443855,0.092236958443855,0.175692066046048,-0.506053083563903,0.526833801749759,0.483005973715651,0.483005973715651,0.427408165426638,0.400279452555351,0.400279452555351,0.400279452555351,-0.497318295739348,-0.553382111066475,-0.372679312551939,0.368343493883483,0.410513164622639,0.446641366223909,0.392282441370995,0.371178545267099,0.348764752163651,0.421935483870968,0.321935483870968,0.38,-0.0476190476190476,0.28,0.408466183574879,-0.123679735051915,0.0333333333333333,0.2,0.320951166147884,-0.274669564133318
"TCFLEF",0.545615898416295,0.544717039187144,0.523524986207012,0.496422182468694,0.461538461538462,0.411428571428571,0.491687406669985,0.469918699186992,0.44801393728223,0.348360200933423,0.381784480832314,0.018336917562724,0.216912770259194,0.108699311111739,0.203869291998324,-0.0358572188045872,-0.0387252876382392,0.18774025974026,0.15974025974026,0.164741427877399,0.089047619047619,0.32513228395915,0.07,-0.359931245225363,0.307524310537223,0.283994898772517,0.181365269461078,-0.403048469054231,0.462469540408577,0.486744284954811,0.486744284954811,0.396132035399096,0.376552534742065,0.376552534742065,0.376552534742065,-0.499738086545315,-0.550147271697759,-0.34349885761412,0.254793023117831,0.185823466284952,0.234296128707893,0.1704454594121,0.2520033059184,0.230619658119658,0.209509803921569,0.205833333333333,0.174509803921569,-0.05,0.170833333333333,0.590622710622711,-0.101950844854071,-0.114285714285714,0.133333333333333,0.31445599558441,-0.368358818937411
"cfos",0.340131174420988,0.371390374331551,0.327450980392157,0.266666666666667,0.214285714285714,0.32,0.336978629329403,0.287826086956522,0.24,0.22381171571045,0.31752380952381,-0.0289855072463768,0.0660087719298246,0.0593673550662798,0.0291666666666667,-0.0285714285714286,-0.0366359447004608,-0.00833333333333333,-0.0333333333333333,0.132361111111111,0.0142857142857143,0.145384615384615,-0.019047619047619,-0.456666666666667,0.103846153846154,0.05,0.175,-0.508657131071725,0.52122096881221,0.498506860371267,0.498506860371267,0.336204102237101,0.299618736383442,0.299618736383442,0.299618736383442,-0.510512689924455,-0.572264359640876,-0.296182359307359,0.359727095516569,0.409286117800969,0.328148148148148,0.386323154838006,0.360580580580581,0.328148148148148,0.28,0.28,0.2,0.0333333333333333,0.2,0.391674876847291,-0.0433179723502304,0,0.1,0.361035108518183,-0.228275058275058
"CDC42",0.340131174420988,0.371390374331551,0.327450980392157,0.266666666666667,0.314285714285714,0.22,0.336978629329403,0.287826086956522,0.24,0.22381171571045,0.31752380952381,-0.0289855072463768,0.0660087719298246,0.0593673550662798,0.0291666666666667,-0.0285714285714286,-0.0366359447004608,-0.00833333333333333,-0.0333333333333333,0.132361111111111,0.0142857142857143,0.145384615384615,-0.019047619047619,-0.456666666666667,0.103846153846154,0.05,0.175,-0.508657131071725,0.52122096881221,0.498506860371267,0.498506860371267,0.336204102237101,0.299618736383442,0.299618736383442,0.299618736383442,-0.510512689924455,-0.572264359640876,-0.296182359307359,0.359727095516569,0.409286117800969,0.328148148148148,0.386323154838006,0.360580580580581,0.328148148148148,0.28,0.28,0.2,0.0333333333333333,0.2,0.391674876847291,-0.0433179723502304,0,0.1,0.361035108518183,-0.228275058275058
"NOTCHic",0.367017774851876,0.398572700499966,0.354623655913978,0.293333333333333,0.233333333333333,0.22,0.364761904761905,0.310476190476191,0.253333333333333,0.239387464387464,0.342485875706215,0.0694760312151617,0.0839793281653747,0.0735184644577434,0.0444444444444444,-0.0319047619047619,-0.0412572798903734,0,-0.0333333333333333,0.155822112643305,0.0301282051282051,0.174086829978171,-0.00833333333333333,-0.465320910973085,0.131981566820276,0.177142857142857,0.206842105263158,-0.510414519229904,0.516992696398567,0.512834138486313,0.512834138486313,0.337499172491676,0.300553359683794,0.300553359683794,0.300553359683794,-0.524162350173911,-0.589167857028334,-0.297890345460878,0.345868110384239,0.396748180935749,0.314685314685315,0.373084058798345,0.346553446553447,0.314685314685315,0.269230769230769,0.269230769230769,0.2,0.0333333333333333,0.2,0.380157232704402,-0.0595399698340875,0,0.1,0.348911257051444,-0.243598460791273
"PAK1",0.369786346834781,0.401445019140294,0.371390374331551,0.327450980392157,0.266666666666667,0.24,0.380978629329403,0.336978629329403,0.287826086956522,0.243143457953887,0.343610766045549,-0.031926683716965,0.0900828460038986,0.0663673550662798,0.0660087719298246,-0.0366359447004608,-0.0430875576036866,0.0291666666666667,-0.00833333333333333,0.145244546693933,0.0433179723502304,0.172857142857143,0.0142857142857143,-0.491092896174863,0.145384615384615,0.103846153846154,0.207673267326733,-0.541624164038758,0.550696556515645,0.532268918249081,0.532268918249081,0.367113193146192,0.336204102237101,0.336204102237101,0.336204102237101,-0.544522842208719,-0.606935639917693,-0.319455086580087,0.384605144297057,0.429424048835452,0.359727095516569,0.409286117800969,0.386323154838006,0.360580580580581,0.328148148148148,0.328148148148148,0.28,0.019047619047619,0.28,0.423750348545404,-0.0593673550662798,0.0333333333333333,0.2,0.377275710021943,-0.257556826230859
"LIV1",0.369786346834781,0.401445019140294,0.371390374331551,0.327450980392157,0.266666666666667,0.24,0.380978629329403,0.336978629329403,0.287826086956522,0.243143457953887,0.343610766045549,-0.031926683716965,0.0900828460038986,0.0663673550662798,0.0660087719298246,-0.0366359447004608,-0.0430875576036866,0.0291666666666667,-0.00833333333333333,0.145244546693933,0.0433179723502304,0.172857142857143,0.0142857142857143,-0.491092896174863,0.145384615384615,0.103846153846154,0.207673267326733,-0.541624164038758,0.550696556515645,0.532268918249081,0.532268918249081,0.367113193146192,0.336204102237101,0.336204102237101,0.336204102237101,-0.544522842208719,-0.606935639917693,-0.319455086580087,0.384605144297057,0.429424048835452,0.359727095516569,0.409286117800969,0.386323154838006,0.360580580580581,0.328148148148148,0.328148148148148,0.28,0.019047619047619,0.28,0.423750348545404,-0.0593673550662798,0.0333333333333333,0.2,0.377275710021943,-0.257556826230859
"EGR1",0.369786346834781,0.401445019140294,0.371390374331551,0.327450980392157,0.266666666666667,0.24,0.380978629329403,0.336978629329403,0.287826086956522,0.243143457953887,0.343610766045549,-0.031926683716965,0.0900828460038986,0.0663673550662798,0.0660087719298246,-0.0366359447004608,-0.0430875576036866,0.0291666666666667,-0.00833333333333333,0.145244546693933,0.0433179723502304,0.172857142857143,0.0142857142857143,-0.491092896174863,0.145384615384615,0.103846153846154,0.207673267326733,-0.541624164038758,0.550696556515645,0.532268918249081,0.532268918249081,0.367113193146192,0.336204102237101,0.336204102237101,0.336204102237101,-0.544522842208719,-0.606935639917693,-0.319455086580087,0.384605144297057,0.429424048835452,0.359727095516569,0.409286117800969,0.386323154838006,0.360580580580581,0.328148148148148,0.328148148148148,0.28,0.019047619047619,0.28,0.423750348545404,-0.0593673550662798,0.0333333333333333,0.2,0.377275710021943,-0.257556826230859
"Csl",0.396328119679462,0.428277915919467,0.398572700499966,0.354623655913978,0.293333333333333,0.253333333333333,0.409327122153209,0.364761904761905,0.310476190476191,0.259545567154263,0.368896710920662,0.0662080573589525,0.108010335917313,0.0804150161818813,0.0839793281653747,-0.0412572798903734,-0.0473683910014845,0.0444444444444444,0,0.169363779309971,0.0595399698340875,0.201359557250898,0.0301282051282051,-0.502463768115942,0.174086829978171,0.131981566820276,0.236923406076166,-0.544359473358345,0.547194038680446,0.547640768320567,0.547640768320567,0.368381525432853,0.337499172491676,0.337499172491676,0.337499172491676,-0.559674332744717,-0.624749252377171,-0.321307134857049,0.371674561997143,0.417388546859134,0.345868110384239,0.396748180935749,0.373084058798345,0.346553446553447,0.314685314685315,0.314685314685315,0.269230769230769,0.00833333333333333,0.269230769230769,0.412290908796948,-0.0735184644577434,0.0333333333333333,0.2,0.365059946874722,-0.273552377841964
"SNAI1",0.392276816974552,0.424428890108036,0.401445019140294,0.371390374331551,0.327450980392157,0.287826086956522,0.413714055338372,0.380978629329403,0.336978629329403,0.159869436601573,0.365251791686574,-0.0337123980026793,0.10744395711501,0.072386772542008,0.0900828460038986,-0.0430875576036866,-0.0466545932740433,0.0660087719298246,0.0291666666666667,0.15747984081158,0.0593673550662798,0.193673469387755,0.0433179723502304,-0.521310964710689,0.172857142857143,0.145384615384615,0.227673267326733,-0.569016219306461,0.575604367444241,0.558714182701725,0.558714182701725,0.391579531405633,0.367113193146192,0.367113193146192,0.367113193146192,-0.572476732698632,-0.635343548346413,-0.338002941365565,0.4074570638583,0.446099319873139,0.384605144297057,0.429424048835452,0.409286117800969,0.386323154838006,0.359727095516569,0.360580580580581,0.328148148148148,-0.0142857142857143,0.328148148148148,0.45009067488573,-0.0663673550662798,0.00833333333333333,0.28,0.390488429320188,-0.280569378532115
"SMAD",0.44648445268916,0.473830851147378,0.44235674756172,0.39822266934943,0.34047619047619,0.285714285714286,0.429494942416923,0.385264173186154,0.334101382488479,0.309844922998149,0.391127321783689,0.0959408811258044,0.224,0.176478320430181,0.2,0.0546782897467829,-0.0515121864436933,0.166666666666667,0.133333333333333,0.270465158497417,0.154166666666667,0.307848932676519,0.129166666666667,-0.526064234138497,0.27927750410509,0.239047619047619,0.245489500147885,-0.558337900845905,0.560802273028857,0.569839187079641,0.569839187079641,0.453387185211938,0.421150343106675,0.421150343106675,0.421150343106675,-0.581122689331032,-0.638750083567831,-0.360548738368287,0.384820934461222,0.432758228427778,0.356043956043956,0.41127899843791,0.386177234530176,0.35672268907563,0.321428571428571,0.321428571428571,0.271428571428571,-0.0916666666666667,0.271428571428571,0.42203301924928,-0.167928134556575,-0.1,0.2,0.275655857895676,-0.310632569739572
"ZEB1",0.441345208099405,0.476475539426285,0.444192074859355,0.405105780443112,0.35727969348659,0.216666666666667,0.352284184158245,0.312196078431373,0.268666666666667,0.306182942190653,0.45413640783715,0.0949131007162095,0.240479888245203,0.203233454494706,0.214765602530917,0.0701747840008468,0.0653670916931545,0.190175438596491,0.153333333333333,0.290419111394131,0.176515151515152,0.334745179063361,0.158333333333333,-0.53309243719918,0.304166666666667,0.270833333333333,0.28869395711501,-0.636276141686587,0.522873556098309,0.579314865837928,0.579314865837928,0.449716332644185,0.419322631856783,0.419322631856783,0.419322631856783,-0.599883841775857,-0.633065413489141,-0.382130648286871,0.449497499818093,0.492031164853281,0.420975163048334,0.472168151154651,0.447966023495077,0.419493801272854,0.384436701509872,0.38223889931207,0.338095238095238,-0.133333333333333,0.335897435897436,0.479240516590558,-0.192201426024955,-0.133333333333333,0.266666666666667,0.397905291674086,-0.299132189538379
