"","Ecadherin","KLF4","miR200","cateninmemb","Patched","RKIP","GSK3","SUFU","TrCP","LIV1","EGR1","Csn","STAT","DSH","SOSGRB2","PAK1","NFB","FUS","cfos","SRC","Frizzled","cMet","Wnt","Csl","CDC42","SMO","ERK","IKK","Destcompl","RAF","PI3K","DELTA","CD44","GLI","RAS","AXIN2","TCFLEF","TGFR","NOTCHic","MEK","AKT","TWIST1","cateninnuc","SNAI1","TGF","SNAI2","NOTCH","FOXC2","SHH","Jagged","ILK","HEY1","SMAD","ZEB2","ZEB1"
"SMO",-0.473791012467979,-0.447727272727273,-0.545014084507042,-0.408816844077016,-0.433333333333333,-0.422596153846154,-0.339752786668138,-0.3,0,0.1,0.2,0.1,0.1,0.2,0.261111111111111,0.4,0.2,0.4,0.3,0.15,0.25,0.196666666666667,0.3,0.26,0.455555555555556,0.35,0.366666666666667,0.266666666666667,0.319830365712719,0.347596153846154,0.347596153846154,0.347596153846154,0.241111111111111,0.344444444444444,0.384066742081448,0.366472607851918,0.277744774477448,0.51010101010101,0.32,0.410416666666667,0.338095238095238,0.320707417582418,0.309018905751579,0.462471562471562,0.563724198506807,0.463291239012699,0.381111111111111,0.481701108116202,0.503703703703704,0.339330866481653,0.4,0.4,0.472222222222222,0.541958041958042,0.541958041958042
"NFB",-0.770019876103889,-0.474327122153209,-0.554085630195283,-0.630172714882017,-0.438095238095238,-0.394986631016043,-0.260718125960061,-0.2,-0.3,0.2,0.142857142857143,0.36,0.277777777777778,0.277777777777778,0.350040128410915,0.425,0.34,0.3,0.190683229813665,0.331623931623932,0.331623931623932,0.376239316239316,0.376239316239316,0.35672514619883,0.505,0.380952380952381,0.272078578650874,0.420645161290323,0.161882195805269,0.382691210785585,0.382691210785585,0.382691210785585,0.412655501210414,0.413020925434719,0.420254662562234,0.445541281260706,0.446568544688675,0.574230769230769,0.425146198830409,0.333457888995702,0.477401918047079,0.610733594955983,0.477180789586635,0.432426044312926,0.628340358271865,0.708694893834126,0.476225335521057,0.611099728749295,0.495472287275566,0.441138818804723,0.517763157894737,0.524009324009324,0.591273091669571,0.553015513470176,0.553015513470176
"Csn",-0.602555570335039,-0.503184593184593,-0.567736568356979,-0.488798798221684,-0.387816009127485,-0.311717171717172,-0.172756602756603,-0.2,-0.233333333333333,0.2,0.123076923076923,0.2,0.266666666666667,0.266666666666667,0.205766851028212,0.211111111111111,0.278947368421053,0.284615384615385,0.193076923076923,0.318390804597701,0.318390804597701,0.355099665357195,0.355099665357195,0.301971326164875,0.287777777777778,0.336996336996337,0.253076923076923,0.328947368421053,0.0600360748344539,0.220058130041475,0.220058130041475,0.220058130041475,0.389696821755299,0.390310932962829,0.254894195615245,0.418668753009148,0.422101002939968,0.346901865369019,0.352740556934105,0.300695970695971,0.378397917871602,0.388491917331696,0.450221896501072,0.332959092499882,0.388406043641999,0.468251547958096,0.396269968698811,0.376468253968254,0.43936880415854,0.403980944218056,0.429186991869919,0.432184482184482,0.49765989827386,0.565079692187296,0.565079692187296
"SRC",-0.322429792429792,-0.419256756756757,-0.576379056047198,-0.133321710488424,-0.271428571428571,-0.492466460268318,-0.164469894849642,-0.1,-0.1,0,0.3,0.2,0,-0.1,0.0201923076923077,0.35,0.22,0.133333333333333,0.34,-0.05,-0.05,0,0,0.164285714285714,0.378571428571429,0.204761904761905,0.334117647058824,0.26,-0.0759534205751158,0.194748508098892,0.194748508098892,0.194748508098892,0.0389830508474576,0.0389830508474576,0.225998508098892,-0.0241251221896383,0.0714671272805786,0.415413533834586,0.208730158730159,0.360648259303722,0.300740740740741,0.316705193404223,0.0975334779914791,0.426434056007227,0.461805286411906,0.220979551906468,0.253411009793988,0.483549783549783,0.32887537993921,0.259075730471079,0.442962962962963,0.441290322580645,0.48962962962963,0.568617353308364,0.568617353308364
"STAT",-0.276906197477466,-0.456529581529581,-0.601427307476565,-0.10205862429271,-0.297931034482759,-0.314050632911392,0.0221108750551168,-0.133333333333333,-0.1,0,0.22,0.133333333333333,-0.0571428571428571,-0.0571428571428571,0.0142857142857143,0.177777777777778,0.183333333333333,0.2,0.208888888888889,-0.0196428571428571,-0.0196428571428571,0.00416666666666667,0.00416666666666667,0.0666666666666667,0.215708812260536,0.26,0.231469534050179,0.220833333333333,-0.0553612556994714,-0.035241308166281,-0.035241308166281,-0.035241308166281,0.0241666666666667,0.0248873873873874,-0.0161936891186619,-0.0336216042164489,0.0425340136054422,0.256885282848772,0.104166666666667,0.258298802342862,0.248106060606061,0.157197010282835,0.0592222412897889,0.339419008851845,0.285774171737661,0.129876169100317,0.129748062015504,0.323391825565739,0.327801164352889,0.212415442996205,0.475604395604396,0.468333333333333,0.514734830387004,0.594770787471517,0.594770787471517
"Jagged",-0.590804597701149,-0.5,-0.6,-0.462740384615385,-0.3,-0.4,-0.264285714285714,0,0,0,0.1,0,0,0,0.15,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.3,0.2,0.25,0.2,0.303661971830986,0.18,0.18,0.18,0.269230769230769,0.269230769230769,0.260952380952381,0.28,0.324069478908189,0.4,0.3,0.35,0.3,0.382608695652174,0.371688526527236,0.5,0.5,0.455875,0.4,0.5,0.4,0.375,0.4,0.5,0.5,0.6,0.6
"DELTA",-0.590804597701149,-0.5,-0.6,-0.462740384615385,-0.3,-0.4,-0.264285714285714,0,0,0,0.1,0,0,0,0.15,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.3,0.2,0.25,0.2,0.303661971830986,0.18,0.18,0.18,0.269230769230769,0.269230769230769,0.260952380952381,0.28,0.324069478908189,0.4,0.3,0.35,0.3,0.382608695652174,0.371688526527236,0.5,0.5,0.455875,0.4,0.5,0.4,0.375,0.4,0.5,0.5,0.6,0.6
"FUS",-0.52628368108968,-0.514393939393939,-0.607935432821649,-0.453846083843098,-0.503703703703704,-0.478410107334526,-0.366900552991162,-0.4,-0.1,0.1,0.3,0.2,0.15,0.25,0.283560090702948,0.455555555555556,0.266666666666667,0.35,0.366666666666667,0.196666666666667,0.3,0.241111111111111,0.344444444444444,0.32,0.51010101010101,0.433333333333333,0.410416666666667,0.338095238095238,0.339118199540612,0.384066742081448,0.384066742081448,0.384066742081448,0.277744774477448,0.381699346405229,0.416511186525892,0.406095249361352,0.309018905751579,0.563724198506807,0.381111111111111,0.456758130081301,0.396234772978959,0.365651237807137,0.336522431844668,0.50673385755353,0.615448336437842,0.50303245897573,0.433009845288326,0.535324296522,0.562037037037037,0.385316267941507,0.472222222222222,0.470731707317073,0.53733850129199,0.60333735230287,0.60333735230287
"TCFLEF",-0.646704348947526,-0.496641151255358,-0.658232181981157,-0.457069994428486,-0.45063670411985,-0.506534399958409,-0.366932022943025,-0.26,-0.2,0.133333333333333,0.43984962406015,0.28,0.170833333333333,0.174509803921569,0.209876543209877,0.528828828828829,0.334545454545455,0.326666666666667,0.48484962406015,0.205833333333333,0.209509803921569,0.239746376811594,0.24342284739983,0.384868421052632,0.575170292243463,0.393333333333333,0.517522891386883,0.378545454545455,0.325519975224295,0.388730751230751,0.388730751230751,0.388730751230751,0.271579174239247,0.275906923832951,0.415343654456558,0.605285950528313,0.199409362918492,0.615574332647503,0.424868421052632,0.551580862401376,0.421788697788698,0.471393950384747,0.222904681687997,0.528099809511055,0.654372146855154,0.49680560880719,0.464031919151491,0.67729856097353,0.50063670411985,0.408670273411784,0.540310204081633,0.539977603583427,0.592310204081633,0.649955924900103,0.649955924900103
"TGF",-0.674595487066593,-0.58974358974359,-0.676710684273709,-0.550754065396048,-0.489473684210526,-0.525925925925926,-0.396239303926071,-0.2,-0.2,0,0.333333333333333,0.3,0.1,0.1,0.212605042016807,0.5,0.366666666666667,0.3,0.387179487179487,0.2,0.2,0.28,0.28,0.375,0.6,0.4,0.451885369532428,0.466666666666667,0.18646612559656,0.344308943089431,0.344308943089431,0.344308943089431,0.348627450980392,0.348627450980392,0.408794924397842,0.360397830018083,0.403872206225147,0.689189189189189,0.475,0.517739028069014,0.530952380952381,0.550718803910293,0.45232581447257,0.624711923280224,0.666740209597352,0.53245354989541,0.545833333333333,0.663589743589744,0.579717586649551,0.559027777777778,0.583333333333333,0.583333333333333,0.668407960199005,0.674188034188034,0.674188034188034
"NOTCH",-0.673982167794607,-0.6,-0.7,-0.532331027890238,-0.4,-0.490909090909091,-0.313066202090592,-0.1,0,0,0.2,0.1,0.1,0.1,0.2125,0.3,0.2,0.2,0.25,0.2,0.2,0.269230769230769,0.269230769230769,0.3,0.4,0.3,0.35,0.3,0.337652119614237,0.260952380952381,0.260952380952381,0.260952380952381,0.324069478908189,0.324069478908189,0.320952380952381,0.344705882352941,0.371688526527236,0.5,0.4,0.434,0.384615384615385,0.454608695652174,0.41583267067138,0.572549019607843,0.585185185185185,0.517017857142857,0.376923076923077,0.590243902439024,0.481818181818182,0.44,0.5,0.6,0.593103448275862,0.7,0.7
"TGFR",-0.748618924566593,-0.670178372352286,-0.757074320637346,-0.616782162458628,-0.579717586649551,-0.597354497354497,-0.439171241098846,-0.3,-0.3,0.1,0.387179487179487,0.366666666666667,0.2,0.2,0.263956393368158,0.6,0.466666666666667,0.4,0.451885369532428,0.28,0.28,0.348627450980392,0.348627450980392,0.475,0.689189189189189,0.489473684210526,0.517739028069014,0.530952380952381,0.21894748874885,0.408794924397842,0.408794924397842,0.408794924397842,0.403872206225147,0.404489519945909,0.462211073466165,0.422559992180245,0.45232581447257,0.666740209597352,0.545833333333333,0.577428950549634,0.605145929339478,0.613013885877506,0.493525040778179,0.689897108465409,0.738406876264019,0.59095354989541,0.617514749262537,0.736076516076516,0.657683688344466,0.623789682539683,0.668407960199005,0.667333333333333,0.751741293532338,0.753627286524483,0.753627286524483
"ZEB2",-0.807082106889943,-0.767653276955603,-0.765450174825175,-0.648002261795113,-0.456818181818182,-0.439627329192547,-0.384591985960807,-0.2,-0.1,0.2,0.2,0.2,0.26,0.26,0.274458874458874,0.3,0.3,0.3,0.3,0.317142857142857,0.317142857142857,0.365714285714286,0.367142857142857,0.377777777777778,0.380952380952381,0.381818181818182,0.382608695652174,0.386666666666667,0.391525598397791,0.392022792022792,0.392022792022792,0.392022792022792,0.409464285714286,0.410892857142857,0.436682986197549,0.440734746849298,0.447423469387755,0.44991789819376,0.450191570881226,0.451358695652174,0.45963963963964,0.459649787347156,0.480554168475901,0.490525867575048,0.507060755336617,0.510783749260332,0.511302681992337,0.519549306625578,0.529545454545455,0.553809523809524,0.6,0.6,0.685915492957746,0.761365853658537,0.761365853658537
"NOTCHic",-0.746742024425432,-0.690909090909091,-0.78962962962963,-0.595633780183817,-0.481818181818182,-0.565909090909091,-0.352351916376307,-0.2,-0.1,0.1,0.25,0.2,0.2,0.2,0.2775,0.4,0.3,0.3,0.35,0.269230769230769,0.269230769230769,0.324069478908189,0.324069478908189,0.4,0.5,0.4,0.434,0.384615384615385,0.366325954739685,0.320952380952381,0.320952380952381,0.320952380952381,0.371688526527236,0.372304773025836,0.371754519989814,0.398779956427015,0.41583267067138,0.585185185185185,0.376923076923077,0.513661016949152,0.471282051282051,0.512272929228816,0.454712127377662,0.633359830418654,0.653367003367003,0.571442635903919,0.447414880201765,0.662521130161797,0.555151515151515,0.49929203539823,0.593103448275862,0.693939393939394,0.693103448275862,0.786666666666667,0.786666666666667
"cfos",-0.758128010813172,-0.694736842105263,-0.79304347826087,-0.612562917956619,-0.489473684210526,-0.571695906432748,-0.367082307060755,-0.2,-0.1,0.1,0.35,0.2,0.2,0.2,0.255929487179487,0.4,0.3,0.3,0.35,0.28,0.28,0.34,0.34,0.3,0.5,0.4,0.43,0.381818181818182,0.383758069012846,0.3265,0.3265,0.3265,0.392238805970149,0.392941176470588,0.380554054054054,0.415545171339564,0.439724839489702,0.590697674418605,0.380952380952381,0.509166666666667,0.473818181818182,0.528135008622814,0.481496991388436,0.64519368723099,0.664529450119539,0.589900316401864,0.456952380952381,0.671988174427199,0.565473684210526,0.518247098170372,0.592,0.592857142857143,0.692,0.790909090909091,0.790909090909091
"CDC42",-0.758128010813172,-0.694736842105263,-0.79304347826087,-0.612562917956619,-0.489473684210526,-0.571695906432748,-0.367082307060755,-0.2,-0.1,0.1,0.25,0.2,0.2,0.2,0.255929487179487,0.5,0.3,0.3,0.35,0.28,0.28,0.34,0.34,0.3,0.5,0.4,0.43,0.381818181818182,0.383758069012846,0.3265,0.3265,0.3265,0.392238805970149,0.392941176470588,0.380554054054054,0.415545171339564,0.439724839489702,0.590697674418605,0.380952380952381,0.509166666666667,0.473818181818182,0.528135008622814,0.481496991388436,0.64519368723099,0.664529450119539,0.589900316401864,0.456952380952381,0.671988174427199,0.565473684210526,0.518247098170372,0.592,0.592857142857143,0.692,0.790909090909091,0.790909090909091
"ZEB1",-0.779819610195685,-0.744135625322849,-0.838030595212799,-0.717981946841007,-0.640666795890676,-0.606617574864998,-0.424088169827225,-0.4,-0.3,0.266666666666667,0.281818181818182,0.4,0.335897435897436,0.338095238095238,0.364523809523809,0.484,0.485714285714286,0.481818181818182,0.372294372294372,0.38974358974359,0.391941391941392,0.437112010796221,0.439858058608059,0.462393162393162,0.557333333333333,0.567532467532468,0.434456534456534,0.558441558441558,0.416342094653083,0.442333333333333,0.442333333333333,0.442333333333333,0.477796421442609,0.480990134079757,0.482708120386144,0.503662712499724,0.51377292658211,0.620428571428571,0.526248584079909,0.494255529431409,0.62737359727651,0.629067269302817,0.544916878415717,0.650155237067389,0.676242524916943,0.577130597098235,0.584834442665768,0.687362032892334,0.706442196960195,0.635142508252713,0.784615384615385,0.784615384615385,0.863256161314414,0.834106995022269,0.834106995022269
"SMAD",-0.808521688633035,-0.751666795178246,-0.843952599901689,-0.655615812132115,-0.659615384615385,-0.608924845269673,-0.416706179573551,-0.4,-0.3,0.2,0.366666666666667,0.4,0.271428571428571,0.271428571428571,0.312703533026114,0.492,0.473333333333333,0.5,0.438095238095238,0.330252100840336,0.330252100840336,0.379725785050862,0.380252100840336,0.472413793103448,0.572645161290323,0.584615384615385,0.511068211068211,0.556666666666667,0.299328494889994,0.45145390817299,0.45145390817299,0.45145390817299,0.424963880288958,0.425921392178919,0.495937893938114,0.453478839568392,0.463977333203756,0.642181585131382,0.54384236453202,0.577188429647446,0.627837837837838,0.560781712473304,0.497875638288502,0.663675277394058,0.7007698204255,0.626562031023426,0.605007413075709,0.706550815117444,0.729447786850021,0.665260176181314,0.782244768547876,0.78438188494492,0.762800324103431,0.839487809040048,0.839487809040048
"Csl",-0.810340925524333,-0.769090909090909,-0.865607283260915,-0.650995593610146,-0.555151515151515,-0.630070940620074,-0.386868045408565,-0.3,-0.2,0.2,0.35,0.3,0.269230769230769,0.269230769230769,0.315681818181818,0.5,0.384615384615385,0.4,0.434,0.324069478908189,0.324069478908189,0.371688526527236,0.372304773025836,0.376923076923077,0.585185185185185,0.481818181818182,0.513661016949152,0.471282051282051,0.391159952083643,0.371754519989814,0.371754519989814,0.371754519989814,0.41583267067138,0.416947630168693,0.416043097144123,0.446679116090881,0.454712127377662,0.653367003367003,0.447414880201765,0.580120644278345,0.541494817239498,0.563997067159851,0.488431561097096,0.688310325468159,0.71012376012376,0.619239809636255,0.506965441999518,0.721819375775832,0.626580086580087,0.556680351549433,0.693103448275862,0.793939393939394,0.778973013493253,0.861224970553592,0.861224970553592
"GLI",-0.832286494474427,-0.774456140350877,-0.86747147455434,-0.68337431076243,-0.672256728778468,-0.633170228807952,-0.478756231029028,-0.4,-0.2,0.2,0.444444444444444,0.3,0.28,0.38,0.29489898989899,0.6,0.384615384615385,0.5,0.525396825396825,0.34551724137931,0.44551724137931,0.402850574712644,0.503958799820869,0.382608695652174,0.687755102040816,0.591304347826087,0.594627594627595,0.466433566433566,0.371111184576143,0.464563443492452,0.464563443492452,0.464563443492452,0.453089809162404,0.454669700294802,0.513583051335589,0.477297198258461,0.49725039310401,0.763139717425432,0.456802244039271,0.662369530111466,0.542257742257742,0.590635836512339,0.535082703942456,0.698422912268356,0.828182697368125,0.654887004608259,0.524272123557343,0.73487317623165,0.749179805701545,0.594164482306684,0.689054355919583,0.690292397660819,0.776832133697361,0.863776399725519,0.863776399725519
"PAK1",-0.825891723893341,-0.777345537757437,-0.873382461311717,-0.671746591426006,-0.565473684210526,-0.638602381252892,-0.404353182824503,-0.3,-0.2,0.2,0.35,0.3,0.28,0.28,0.299111305361305,0.5,0.381818181818182,0.4,0.43,0.34,0.34,0.392238805970149,0.392941176470588,0.380952380952381,0.590697674418605,0.489473684210526,0.509166666666667,0.473818181818182,0.410954721732511,0.380554054054054,0.380554054054054,0.380554054054054,0.439724839489702,0.44100747481313,0.428402155319877,0.467293423087816,0.481496991388436,0.664529450119539,0.456952380952381,0.580820209973753,0.547151515151515,0.58339816651755,0.517751971468118,0.703578780398692,0.726145611735701,0.641139985823352,0.520332662642522,0.73618031416519,0.640276833816825,0.578751299851044,0.692,0.692857142857143,0.781403973509934,0.86954156954157,0.86954156954157
"LIV1",-0.825891723893341,-0.777345537757437,-0.873382461311717,-0.671746591426006,-0.565473684210526,-0.638602381252892,-0.404353182824503,-0.3,-0.2,0.2,0.35,0.3,0.28,0.28,0.299111305361305,0.5,0.381818181818182,0.4,0.43,0.34,0.34,0.392238805970149,0.392941176470588,0.380952380952381,0.590697674418605,0.489473684210526,0.509166666666667,0.473818181818182,0.410954721732511,0.380554054054054,0.380554054054054,0.380554054054054,0.439724839489702,0.44100747481313,0.428402155319877,0.467293423087816,0.481496991388436,0.664529450119539,0.456952380952381,0.580820209973753,0.547151515151515,0.58339816651755,0.517751971468118,0.703578780398692,0.726145611735701,0.641139985823352,0.520332662642522,0.73618031416519,0.640276833816825,0.578751299851044,0.692,0.692857142857143,0.781403973509934,0.86954156954157,0.86954156954157
"EGR1",-0.825891723893341,-0.777345537757437,-0.873382461311717,-0.671746591426006,-0.565473684210526,-0.638602381252892,-0.404353182824503,-0.3,-0.2,0.2,0.35,0.3,0.28,0.28,0.299111305361305,0.5,0.381818181818182,0.4,0.43,0.34,0.34,0.392238805970149,0.392941176470588,0.380952380952381,0.590697674418605,0.489473684210526,0.509166666666667,0.473818181818182,0.410954721732511,0.380554054054054,0.380554054054054,0.380554054054054,0.439724839489702,0.44100747481313,0.428402155319877,0.467293423087816,0.481496991388436,0.664529450119539,0.456952380952381,0.580820209973753,0.547151515151515,0.58339816651755,0.517751971468118,0.703578780398692,0.726145611735701,0.641139985823352,0.520332662642522,0.73618031416519,0.640276833816825,0.578751299851044,0.692,0.692857142857143,0.781403973509934,0.86954156954157,0.86954156954157
"SNAI1",-0.885561460317603,-0.849476685298421,-0.94376220814716,-0.723303968475187,-0.640276833816825,-0.699683462333973,-0.436736990920455,-0.4,-0.3,0.28,0.43,0.381818181818182,0.34,0.34,0.33334553959554,0.590697674418605,0.473818181818182,0.489473684210526,0.509166666666667,0.392238805970149,0.392941176470588,0.439724839489702,0.44100747481313,0.456952380952381,0.664529450119539,0.565473684210526,0.580820209973753,0.547151515151515,0.434041179743047,0.428402155319877,0.428402155319877,0.428402155319877,0.481496991388436,0.483387433059476,0.468661895579617,0.512819738877289,0.517751971468118,0.726145611735701,0.520332662642522,0.63708687664042,0.614301273605621,0.632344882750512,0.548934118633377,0.655184284985848,0.781040283358997,0.686072024658303,0.578363750725423,0.793049323749855,0.707144303696344,0.632031299851044,0.781403973509934,0.781229235880399,0.858781865540782,0.938423255116934,0.938423255116934
