"","FOXC2","TGF","TGFR","CDC42","PAK1","EGR1","cfos","SNAI1","MEK","ERK","SMAD","ILK","SHH","NFB","IKK","AKT","SMO","Csn","cateninmemb","FUS","TWIST1","Jagged","NOTCH","NOTCHic","Csl","HEY1","KLF4","Ecadherin","SOSGRB2","ZEB2","ZEB1","GSK3","SNAI2","miR200","RAS","RAF","PI3K","DELTA","GLI","cateninnuc","Wnt","TCFLEF","TrCP","SUFU","CD44","Frizzled","cMet","SRC","DSH","Patched","STAT","LIV1","AXIN2","Destcompl","RKIP"
"ILK",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.0666666666666667,0.0952380952380952,0.173280998389694,0.192441566790651,0.148179271708683,0.0798917967186875,0.0694917967186875,0.132051282051282,0.2,0.252941176470588,0.276018099547511,0.1,0.166666666666667,-0.400234063419418,0.05,0.277253278122843,0.183558897243108,0.236104218362283,0.203846153846154,0.15,0.1,-0.336842105263158,-0.480461260854188,0.163461538461538,0.375508463573364,0.375508463573364,-0.18510101010101,0.396357808857809,-0.376039526859199,0.216772005772006,0.18621645021645,0.18621645021645,0.18621645021645,0.333540372670807,0.382297733684881,0.303381642512077,0.359121768019645,-0.2,0,0.333540372670807,0.255555555555556,0.303381642512077,0.255555555555556,0.2,-0.115384615384615,0.2,0.1,0.359727891156463,-0.0188749156581535,-0.165481577246283
"SNAI2",0.425495673461765,0.41151863197899,0.375493787258493,0.333613445378151,0.276470588235294,0.2,0.288235294117647,0.37146790711633,0.393614202437732,0.349019607843137,0.112087517128288,0.0934272300469483,0.365447812927988,0.275,0.326724137931034,0.36889281262983,0.301176470588235,0.2,-0.637562961223555,0.26,0.448322008191805,0.401762028014479,0.41441672362725,0.376754385964912,0.332894736842105,0.275,-0.286538461538462,-0.809169622556005,0.323799864773496,0.378588839941263,0.378588839941263,-0.386470390385003,0.710777486540221,-0.386587993124707,0.442051352058506,0.412827607766268,0.412827607766268,0.412827607766268,0.402974962071897,0.449485141327245,0.373563197366014,0.427956280172798,-0.1,-0.2,0.40259545543053,0.341168831168831,0.373563197366014,0.341168831168831,0.305454545454545,-0.335870348139256,0.305454545454545,0.26,0.447100565604419,0.385743987724154,-0.355166666666667
"cateninnuc",0.395207420994306,0.378697062812708,0.358173045345459,0.331736263736264,0.299428571428571,0.297101449275362,0.327260179434092,0.338090145240852,0.375402090942628,0.353842457915105,0.111715903923271,0.103393939393939,0.217547714104253,0.304166666666667,0.328166666666667,0.345354166666667,0.18792349726776,0.270833333333333,-0.409866631271458,0.163333333333333,0.32483253777734,0.2480333612934,0.375258358118035,0.356621994481671,0.332203389830509,0.3,-0.301618152507832,-0.494181124990681,0.260300632619561,0.382946233909949,0.382946233909949,-0.337989113399599,0.463737834117175,-0.390226954822903,0.388622798064422,0.372717552717553,0.372717552717553,0.372717552717553,0.254854862548609,0.181971281335901,0.238054862548609,0.268849617947309,-0.233333333333333,-0.133333333333333,0.253894935167853,0.217402688635565,0.237027465288335,0.216375291375291,0.191375291375291,-0.204693683603163,0.191375291375291,0.160606060606061,0.395541423035791,0.319723584558604,-0.350273978296311
"RAS",0.344765729585007,0.36680926916221,0.315294117647059,0.28,0.26,0.26,0.26,0.305405405405405,0.315727554179567,0.286315789473684,0.158750773036487,0.156709956709957,0.191701149425287,0.166666666666667,0.173333333333333,0.212222222222222,0.116666666666667,0.2,-0.402572186945491,0.1,0.373389926428976,0.256654381654382,0.276315789473684,0.226315789473684,0.2,0.2,-0.356428571428571,-0.477429575506038,0.0125541125541125,0.398696612665685,0.398696612665685,-0.214675495108566,0.574920559316844,-0.407661538461538,0.151620227038184,0.204561403508772,0.204561403508772,0.204561403508772,0.336702127659574,0.409407289768289,0.275,0.378269565217391,-0.2,-0.1,0.335869565217391,0.2,0.275,0.2,0.1,-0.160666666666667,0.1,0,0.348116560056859,-0.036732758690857,-0.392622641509434
"SOSGRB2",0.36757423862687,0.388873826903024,0.341428571428571,0.301428571428571,0.271428571428571,0.276190476190476,0.30952380952381,0.353431235431235,0.358421938421938,0.323037323037323,0.259196932100158,0.252903225806452,0.296078431372549,0.288888888888889,0.304678362573099,0.336593256190121,0.233333333333333,0.3,-0.496614017040596,0.2,0.398932395924877,0.352740763173834,0.390018445322793,0.345090909090909,0.309090909090909,0.3,-0.362017543859649,-0.56953994707052,-0.0292857142857143,0.399698703279939,0.399698703279939,-0.311364674753573,0.64348035736131,-0.40998443917247,0.328262813897489,0.281596147230822,0.281596147230822,0.281596147230822,0.330836120401338,0.401488770049658,0.273913043478261,0.370893287503457,-0.2,-0.2,0.32965034965035,0.2,0.272727272727273,0.2,0.1,-0.266666666666667,0.1,0,0.344210526315789,-0.0413025866680732,-0.380198948948949
"AKT",0.278534790412839,0.298549217046407,0.273778574844572,0.233941176470588,0.177941176470588,0.0952380952380952,0.148179271708683,0.195812643959314,0.221555490841284,0.192441566790651,0.0923497091765999,0.0798917967186875,0.149072558647027,0.252941176470588,0.276018099547511,0.195210018739431,0.115384615384615,0.2,-0.432856664698736,0.1,0.300855762594893,0.202750816435027,0.25956100848574,0.236104218362283,0.203846153846154,0.15,-0.370175438596491,-0.514276521898365,0.196794871794872,0.404960518367885,0.404960518367885,-0.205755406829026,0.424796278351087,-0.40598605092337,0.243732790085731,0.216772005772006,0.216772005772006,0.216772005772006,0.358827728992646,0.402265784803092,0.333540372670807,0.382297733684881,-0.166666666666667,-0.05,0.359121768019645,0.303381642512077,0.333540372670807,0.303381642512077,0.255555555555556,-0.132051282051282,0.255555555555556,0.2,0.390098261526833,-0.0038621930118431,-0.189705179730755
"MEK",0.332641128342063,0.358661633873528,0.316456310679612,0.265,0.22,0.17,0.187241379310345,0.242007668177065,0.17071964017991,0.226371814092954,0.16540435617665,0.156725110893631,0.223666666666667,0.110714285714286,0.154464285714286,0.18217512908778,0.181666666666667,0.0857142857142857,-0.515534720077541,0.14,0.401045591798932,0.274370643853402,0.24233189033189,0.205968253968254,0.153968253968254,0.111111111111111,-0.368663797226208,-0.591294606806782,0.0874657909140668,0.408281412693447,0.408281412693447,-0.187001743289037,0.65650283167982,-0.416734020564775,0.124843014128728,0.0894688644688645,0.0894688644688645,0.0894688644688645,0.353792605833012,0.401634479961598,0.319441460794844,0.378557556884674,-0.1,-0.1,0.3520382198681,0.268421052631579,0.317687074829932,0.266666666666667,0.2,-0.205,0.2,0.1,0.378874093605801,0.0371638216652262,-0.254010866091403
"CD44",0.37875,0.372222222222222,0.35,0.3,0.2,0.3,0.325,0.373019670388091,0.415,0.385,0.197619047619048,0.183333333333333,0.177272727272727,0.2,0.266666666666667,0.26,0.15,0.2,-0.140787223980501,0.1,0.349924585218703,0.186826923076923,0.24812030075188,0.242857142857143,0.2,0.2,-0.277777777777778,-0.282857142857143,-0.00238095238095239,0.420634920634921,0.420634920634921,-0.222391084093212,0.437314922797033,-0.431699604743083,0.201960784313725,0.166666666666667,0.166666666666667,0.166666666666667,0.0214285714285714,0.129674796747968,-0.05,0.0833333333333333,-0.1,-0.1,0.0214285714285714,-0.1,0.05,0,0,-0.15,0.1,0.1,-0.0221052631578947,-0.1625,-0.423703703703704
"IKK",0.497806637806638,0.529191919191919,0.469191919191919,0.405555555555556,0.35,0.1,0.142857142857143,0.293560927339553,0.252190476190476,0.178857142857143,0.18578795379538,0.172916666666667,0.2557343550447,0.314285714285714,0.264285714285714,0.321042471042471,0.18,0.3,-0.570737085694958,0.12,0.532549019607843,0.286704545454545,0.362914862914863,0.307359307359307,0.245454545454545,0.2,-0.363369963369963,-0.689100166641677,0.301890756302521,0.425418546365915,0.425418546365915,-0.224135146621334,0.660218714536263,-0.428840579710145,0.380219072994298,0.334119782214156,0.334119782214156,0.334119782214156,0.375373931623932,0.439246705674277,0.331623931623932,0.40909486185649,-0.2,-0.1,0.375373931623932,0.277777777777778,0.331623931623932,0.277777777777778,0.2,-0.228148148148148,0.2,0.1,0.402637362637363,0.13870467022128,-0.277322404371585
"Csn",0.253944304837609,0.280296338734077,0.252802421459138,0.206648575305292,0.145454545454545,0.106666666666667,0.161212121212121,0.164937281157925,0.244680735930736,0.209264069264069,0.0823617387046469,0.0687370600414079,0.139642740771773,0.155,0.184166666666667,0.205766666666667,0.108513708513709,0.105,-0.449405498167625,0.0873015873015873,0.295878303062094,0.1872713275692,0.26416263475087,0.238672438672439,0.201010101010101,0.145454545454545,-0.399880772821949,-0.531177949567588,0.171982013144241,0.437214226633582,0.437214226633582,-0.149871249440215,0.440503962608796,-0.445018334053115,0.238398623768491,0.209799018245809,0.209799018245809,0.209799018245809,0.376063771478228,0.422466818704387,0.350036374217954,0.400826440155491,-0.18,-0.0428571428571429,0.376548002124931,0.318390804597701,0.350036374217954,0.318390804597701,0.266666666666667,-0.124642740771773,0.266666666666667,0.2,0.409088876201351,0.0510987621968585,-0.180116926807423
