"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","TWIST1","AKT","SMO","IKK","NFB","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"cMet",0.381545893719807,0.380751157121153,0.343401759530792,0.327272727272727,0.3,0.396128078542939,0.443333333333333,0.36,0.438571428571429,0.41,0.211575507395941,0.196228531902689,0.188363363363363,0.196666666666667,0.366704545454545,0.365384615384615,0.133333333333333,0.35,0.35,0.133333333333333,0.209217273954116,0.3,0.3675,0.3325,0.32,-0.0123188405797102,-0.308571428571429,0.445156794425087,0.445156794425087,0.465155868799133,-0.184329660238751,0.359655955858487,0.312820512820513,0.312820512820513,0.312820512820513,-0.316009181718831,-0.256374311047208,-0.454579439252336,0.152061210234037,0.0814285714285714,0.121995850756913,0.0214285714285714,0.0804029304029304,0.0214285714285714,-0.05,0.05,-0.1,0,0.0365154264972777,-0.2,-0.1,0.1,-0.111385596074764,-0.163333333333333,-0.435281385281385
"ERK",0.382481562497298,0.407432165934319,0.376985238560017,0.332003825920612,0.271219512195122,0.28955101251752,0.275592593387476,0.24,0.2383144868786,0.284186046511628,0.189267806978209,0.186636085645536,0.173880180133725,0.252295461947671,0.446920099462401,0.323720103130883,0.214590163934426,0.298477384684281,0.266009852216749,0.19,0.30424470650434,0.214285714285714,0.387714960349283,0.358979328165375,0.319444444444444,0.116254138880595,-0.416784179807381,0.457333985458041,0.457333985458041,0.699448534380203,-0.55073655431421,0.292544256589455,0.263528067299293,0.263528067299293,0.263528067299293,-0.628933114326384,-0.251092689977741,-0.466551193895719,0.42553478982047,0.380891424496345,0.404376188619481,0.353802816901408,0.379730296268206,0.352223869532987,0.32,0.318421052631579,0.27,0.268421052631579,0.413372628101581,-0.185714285714286,-0.14,0.2,0.0584361485263112,-0.233795461947671,-0.311114329554293
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.258333333333333,0.28,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.293,0.0833333333333333,0.0333333333333333,0.0333333333333333,0,0,0.166493506493506,0,0.229230769230769,0.16,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,0.272727272727273,0.2,0.2,0.2,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.258333333333333,0.28,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.293,0.0833333333333333,0.0333333333333333,0.0333333333333333,0,0,0.166493506493506,0,0.229230769230769,0.16,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,0.272727272727273,0.2,0.2,0.2,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
"NFB",0.543406637806638,0.574588744588745,0.529191919191919,0.469191919191919,0.405555555555556,0.322925422234814,0.299759689922481,0.133333333333333,0.241426356589147,0.169333333333333,0.196485599024299,0.198671313506815,0.184916666666667,0.280582839893185,0.567765457620748,0.346454388984509,0.228148148148148,0.304285714285714,0.25,0.18,0.313045077294212,0.3,0.399246365803743,0.3560031225605,0.301904761904762,0.340905673274094,-0.41529304029304,0.474649315596684,0.474649315596684,0.69875199977827,-0.61265624380123,0.386263985014628,0.352204039510541,0.352204039510541,0.352204039510541,-0.730773861427708,-0.251032335970447,-0.479143610013175,0.465904081853449,0.409947181407856,0.439530455479823,0.376239316239316,0.40957264957265,0.376239316239316,0.331623931623932,0.331623931623932,0.277777777777778,0.277777777777778,0.443520770010132,-0.3,-0.12,0.2,0.160012272199042,-0.2557343550447,-0.314731182795699
"SRC",0.40859943977591,0.400551948051948,0.369642857142857,0.345833333333333,0.333333333333333,0.309226233003323,0.34,0.3,0.322352941176471,0.34,0.126804038397881,0.114884370015949,0.109429824561404,0.0953812636165577,0.258834154351396,0.181764705882353,0.0533333333333333,0.17,0.17,0.0333333333333333,0.110475770406963,0.15,0.18021164021164,0.154285714285714,0.134285714285714,0.00588235294117647,-0.354328165374677,0.481079664570231,0.481079664570231,0.207540727513027,-0.109673701541685,0.231856489763466,0.200232558139535,0.200232558139535,0.200232558139535,-0.273239538239538,-0.15499812616377,-0.493078612209047,0.0811660123422667,0.0344262295081967,0.0612554978008796,0,0.0344262295081967,0,-0.05,-0.05,-0.1,0,-0.0271686004505079,-0.1,-0.0333333333333333,0,-0.0797898337830718,-0.0718518518518519,-0.407418446762709
"SMO",0.431379310344828,0.52490990990991,0.481666666666667,0.44,0.4,0.363364055299539,0.385483870967742,0.2,0.35,0.3,0.128937728937729,0.134285714285714,0.12,0.324166666666667,0.284858387799564,0.222463768115942,0.253333333333333,0.183333333333333,0.15,0.333333333333333,0.239312169312169,0.1,0.315438596491228,0.273333333333333,0.233333333333333,0.255263157894737,-0.413888888888889,0.482485875706215,0.482485875706215,0.458517788724685,-0.399283850088736,0.359145021645022,0.321645021645022,0.321645021645022,0.321645021645022,-0.446083963266817,-0.334539969834088,-0.492374924653406,0.302911242507563,0.344444444444444,0.275091693635383,0.3,0.241111111111111,0.196666666666667,0.25,0.15,0.2,0.1,0.366472607851918,0,-0.3,0.1,0.319191970819878,-0.290833333333333,-0.352857142857143
"TWIST1",0.535530924396131,0.522880977956848,0.485092959523669,0.440438871473354,0.381818181818182,0.477894289661639,0.478198418062126,0.28,0.435193236714976,0.371304347826087,0.240608431116906,0.236285893262637,0.218013468013468,0.45771592775041,0.464406916979396,0.459230769230769,0.391555555555556,0.419230769230769,0.369230769230769,0.355555555555556,0.409930178290629,0.3,0.418527691778466,0.380292397660819,0.335555555555555,0.324526198439242,-0.403917319014039,0.487072368421053,0.487072368421053,0.730657017563685,-0.65850035153681,0.448658451923402,0.417187315982993,0.417187315982993,0.417187315982993,-0.827030691299904,-0.401328001381722,-0.495194586623904,0.470247886456085,0.418854803675856,0.446443851873952,0.385254803675856,0.417916244511989,0.384582911178656,0.348412698412698,0.348412698412698,0.309523809523809,0.309523809523809,0.461239889143115,-0.2,-0.3,0.266666666666667,0.397800720394613,-0.427666666666667,-0.459082460381413
"NOTCH",0.376122448979592,0.396071684587814,0.331555555555555,0.255555555555556,0.2,0.299871794871795,0.349230769230769,0.2,0.28,0.22,0.171014492753623,0.0814285714285714,0.0714285714285714,0.151206636500754,0.342152542372881,0.133333333333333,0.0833333333333333,0.0833333333333333,0.0333333333333333,0.0333333333333333,0.196123136123136,0,0.187851458885942,0.229230769230769,0.16,0.167368421052632,-0.46207729468599,0.52133655394525,0.52133655394525,0.487894132011779,-0.483824412443246,0.325852272727273,0.272727272727273,0.272727272727273,0.272727272727273,-0.572694963214488,-0.276628352490421,-0.529264069264069,0.383193948908235,0.314685314685315,0.350949050949051,0.269230769230769,0.314685314685315,0.269230769230769,0.2,0.2,0.1,0.1,0.338490566037736,0,0,0,0.329512503157363,-0.121794871794872,-0.28762157382847
"FUS",0.472168784029038,0.566399271612038,0.52490990990991,0.481666666666667,0.44,0.392274007906174,0.422833268558103,0.3,0.385483870967742,0.35,0.144879757923236,0.144675324675325,0.134285714285714,0.349419191919192,0.320984042249826,0.255797101449275,0.290833333333333,0.222463768115942,0.183333333333333,0.253333333333333,0.265818193408555,0.15,0.353533834586466,0.315438596491228,0.273333333333333,0.276831785345717,-0.461429872495446,0.527271151779834,0.527271151779834,0.494129299516052,-0.437831336122255,0.391202437912964,0.359145021645022,0.359145021645022,0.359145021645022,-0.489097661896954,-0.358188618482736,-0.53692938009895,0.326280807724955,0.379059829059829,0.302911242507563,0.344444444444444,0.275091693635383,0.241111111111111,0.3,0.196666666666667,0.25,0.15,0.404360806609682,-0.1,-0.333333333333333,0.1,0.337320625790638,-0.324166666666667,-0.392440476190476
"TGF",0.525057471264368,0.543877390309496,0.586868044515103,0.524705882352941,0.46,0.431893262568185,0.485821048321048,0.333333333333333,0.434469696969697,0.396969696969697,0.22020202020202,0.221352813852814,0.205281385281385,0.262080426062628,0.458773883773884,0.248917748917749,0.198787878787879,0.221645021645022,0.176190476190476,0.153333333333333,0.317345491388045,0.133333333333333,0.300764582562585,0.25359477124183,0.188888888888889,0.212745098039216,-0.501587301587302,0.553043612266913,0.553043612266913,0.508758862147481,-0.511768284351292,0.392820092820093,0.331203931203931,0.331203931203931,0.331203931203931,-0.594234943821076,-0.281470588235294,-0.560547553826067,0.423290163364976,0.341538461538462,0.386133056133056,0.28,0.341538461538462,0.28,0.2,0.2,0.1,0.1,0.355714285714286,-0.1,-0.133333333333333,0,0.204455956349122,-0.229822361546499,-0.398652094717668
"cfos",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.242857142857143,0.31874265861527,0.384447134786118,0.32,0.331904761904762,0.27,0.0813593203398301,0.0926571170473609,0.0788359788359788,0.159543721909313,0.362155844155844,0.155889724310777,0.10952380952381,0.119047619047619,0.0761904761904762,0.0761904761904762,0.208611111111111,0.0333333333333333,0.213508158508158,0.171969696969697,0.113636363636364,0.1975,-0.509936507936508,0.560496175871478,0.560496175871478,0.535749128919861,-0.531877013204303,0.37396718687475,0.332470588235294,0.332470588235294,0.332470588235294,-0.61120282246208,-0.309369052847314,-0.571971819030643,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.365387220650379,-0.138556067588326,-0.318829757812809
"CDC42",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.342857142857143,0.31874265861527,0.384447134786118,0.22,0.331904761904762,0.27,0.0813593203398301,0.0926571170473609,0.0788359788359788,0.159543721909313,0.362155844155844,0.155889724310777,0.10952380952381,0.119047619047619,0.0761904761904762,0.0761904761904762,0.208611111111111,0.0333333333333333,0.213508158508158,0.171969696969697,0.113636363636364,0.1975,-0.509936507936508,0.560496175871478,0.560496175871478,0.535749128919861,-0.531877013204303,0.37396718687475,0.332470588235294,0.332470588235294,0.332470588235294,-0.61120282246208,-0.309369052847314,-0.571971819030643,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.365387220650379,-0.138556067588326,-0.318829757812809
"NOTCHic",0.421283739302172,0.441294614524119,0.396071684587814,0.331555555555555,0.255555555555556,0.331786688488816,0.406373626373626,0.22,0.349230769230769,0.28,0.184860646599777,0.0973706004140787,0.0814285714285714,0.173787281662044,0.380517322247095,0.172868217054264,0.121794871794872,0.133333333333333,0.0833333333333333,0.0833333333333333,0.221950950692673,0.0333333333333333,0.229956722043836,0.187851458885942,0.229230769230769,0.225507955936353,-0.515648723257419,0.570966183574879,0.570966183574879,0.528857987433466,-0.529869037189696,0.365742983109786,0.325852272727273,0.325852272727273,0.325852272727273,-0.622465254179266,-0.308009105628497,-0.581865225333433,0.411438223717395,0.350169185653057,0.383193948908235,0.314685314685315,0.350949050949051,0.314685314685315,0.269230769230769,0.269230769230769,0.2,0.2,0.38293501048218,0,-0.0333333333333333,0.1,0.352383955578064,-0.151206636500754,-0.330478716685613
"TCFLEF",0.616072324780857,0.605046805917685,0.57774362333812,0.547227191413238,0.507692307692308,0.43350116837387,0.523727160158256,0.422222222222222,0.495811965811966,0.465811965811966,0.198933966933967,0.18338878038753,0.173562190792154,0.281789048049211,0.430663392687083,0.304290510112176,0.24047619047619,0.283386555309916,0.261352657004831,0.216666666666667,0.282915750915751,0.222222222222222,0.387571000428143,0.362400932400932,0.335128205128205,0.208742216687422,-0.440133788625168,0.575834834467888,0.575834834467888,0.485113736513818,-0.438548821233563,0.411357831659266,0.386541385256917,0.386541385256917,0.386541385256917,-0.607346141191891,-0.356449177493285,-0.587049122996858,0.210653742509327,0.270326282129351,0.190929366970998,0.2411337355455,0.266388082567328,0.237457264957265,0.209509803921569,0.205833333333333,0.174509803921569,0.170833333333333,0.601418315018315,-0.166666666666667,-0.183333333333333,0.133333333333333,0.32367084132903,-0.260801393728223,-0.433123204316977
"PAK1",0.43872482709009,0.459788607846625,0.424446142093201,0.378991596638655,0.314285714285714,0.347245074074207,0.435836023675007,0.27,0.384447134786118,0.331904761904762,0.0992697681010241,0.107592181982426,0.0926571170473609,0.182156787235946,0.394396281314314,0.186658955080008,0.138556067588326,0.155889724310777,0.119047619047619,0.10952380952381,0.234149572649573,0.0761904761904762,0.247216023676698,0.213508158508158,0.171969696969697,0.230833333333333,-0.55255945875618,0.601141337161801,0.601141337161801,0.571016581322399,-0.570888002215292,0.407633022286221,0.37396718687475,0.37396718687475,0.37396718687475,-0.652436363695621,-0.336242910251336,-0.612938740150235,0.451125321865744,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.385145893350228,-0.159543721909313,-0.353661218486966
"LIV1",0.43872482709009,0.459788607846625,0.424446142093201,0.378991596638655,0.314285714285714,0.347245074074207,0.435836023675007,0.27,0.384447134786118,0.331904761904762,0.0992697681010241,0.107592181982426,0.0926571170473609,0.182156787235946,0.394396281314314,0.186658955080008,0.138556067588326,0.155889724310777,0.119047619047619,0.10952380952381,0.234149572649573,0.0761904761904762,0.247216023676698,0.213508158508158,0.171969696969697,0.230833333333333,-0.55255945875618,0.601141337161801,0.601141337161801,0.571016581322399,-0.570888002215292,0.407633022286221,0.37396718687475,0.37396718687475,0.37396718687475,-0.652436363695621,-0.336242910251336,-0.612938740150235,0.451125321865744,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.385145893350228,-0.159543721909313,-0.353661218486966
"EGR1",0.43872482709009,0.459788607846625,0.424446142093201,0.378991596638655,0.314285714285714,0.347245074074207,0.435836023675007,0.27,0.384447134786118,0.331904761904762,0.0992697681010241,0.107592181982426,0.0926571170473609,0.182156787235946,0.394396281314314,0.186658955080008,0.138556067588326,0.155889724310777,0.119047619047619,0.10952380952381,0.234149572649573,0.0761904761904762,0.247216023676698,0.213508158508158,0.171969696969697,0.230833333333333,-0.55255945875618,0.601141337161801,0.601141337161801,0.571016581322399,-0.570888002215292,0.407633022286221,0.37396718687475,0.37396718687475,0.37396718687475,-0.652436363695621,-0.336242910251336,-0.612938740150235,0.451125321865744,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.385145893350228,-0.159543721909313,-0.353661218486966
"TGFR",0.57300267674382,0.594430895844551,0.543877390309496,0.586868044515103,0.524705882352941,0.471575802250725,0.534305896805897,0.396969696969697,0.485821048321048,0.434469696969697,0.23921028466483,0.232549725049725,0.221352813852814,0.292568230940677,0.503011801989497,0.285626609677243,0.229822361546499,0.248917748917749,0.221645021645022,0.198787878787879,0.349653183695737,0.176190476190476,0.347329468058768,0.300764582562585,0.25359477124183,0.25795057749127,-0.55015873015873,0.601430709041107,0.601430709041107,0.555070833126925,-0.56122414892203,0.440406299716645,0.392820092820093,0.392820092820093,0.392820092820093,-0.647007752407838,-0.316174958415243,-0.609297553826067,0.453724945973672,0.385909322465614,0.423290163364976,0.341538461538462,0.386133056133056,0.341538461538462,0.28,0.28,0.2,0.2,0.40922305764411,-0.133333333333333,-0.153333333333333,0.1,0.231346712651643,-0.262080426062628,-0.441729017794592
"ZEB1",0.465120137431803,0.495364484178098,0.459931413311956,0.417799433616525,0.364176245210728,0.347173854119173,0.363683805756977,0.216666666666667,0.321341463414634,0.275,0.185035508532918,0.178841241200263,0.166552084573757,0.271016185510115,0.470806626937409,0.28066411238825,0.223106060606061,0.248812260536398,0.217777777777778,0.195833333333333,0.334010086578585,0.173333333333333,0.359722995574363,0.32554578038449,0.288172043010753,0.294852055511914,-0.552877562600551,0.605258973615972,0.605258973615972,0.526961157370102,-0.643198813120397,0.450488573145679,0.419109262800852,0.419109262800852,0.419109262800852,-0.64682869904023,-0.385357124308762,-0.624325691268721,0.497140855674135,0.450872070264829,0.475418742171199,0.420975163048334,0.449354912383965,0.419493801272854,0.384436701509872,0.38223889931207,0.338095238095238,0.335897435897436,0.48012547234277,-0.133333333333333,-0.158333333333333,0.266666666666667,0.398989690696108,-0.248596256684492,-0.332801256011285
"Csl",0.456154056305054,0.476294614524119,0.441294614524119,0.396071684587814,0.331555555555555,0.361128005854086,0.456656112249333,0.28,0.406373626373626,0.349230769230769,0.20539044792428,0.113571717732514,0.0973706004140787,0.197596805471568,0.412943626101971,0.205126281570393,0.151206636500754,0.172868217054264,0.133333333333333,0.121794871794872,0.248321707872829,0.0833333333333333,0.263910210415929,0.229956722043836,0.187851458885942,0.256086468333047,-0.559934437543133,0.612794438422525,0.612794438422525,0.563835565908802,-0.56885986287777,0.398539763793891,0.365742983109786,0.365742983109786,0.365742983109786,-0.664025207613492,-0.334340466575242,-0.624223303936053,0.435236850719683,0.382427250169186,0.411438223717395,0.350169185653057,0.383193948908235,0.350949050949051,0.314685314685315,0.314685314685315,0.269230769230769,0.269230769230769,0.419695935932052,-0.0333333333333333,-0.0833333333333333,0.2,0.371382122957417,-0.173787281662044,-0.366927314816454
"SMAD",0.497850465412443,0.516085217692264,0.47836066679406,0.431991951710262,0.371428571428571,0.396978799626786,0.471632871272005,0.309523809523809,0.421632871272005,0.368144499178982,0.228107600044953,0.118415680836769,0.204061613851123,0.301319434935415,0.432809039400676,0.308819229446164,0.250833333333333,0.274097007223942,0.236842105263158,0.220833333333333,0.353811013465433,0.2,0.36652668889843,0.329941323044771,0.287412587412587,0.261519607843137,-0.575333164186459,0.627535543180235,0.627535543180235,0.57581401101069,-0.580314753423626,0.477036879858168,0.442864217987665,0.442864217987665,0.442864217987665,-0.674589452277437,-0.372395949683488,-0.637624006577144,0.448842519034309,0.394422483990829,0.424362032465632,0.35989010989011,0.395189712248536,0.360644257703081,0.321428571428571,0.321428571428571,0.271428571428571,0.271428571428571,0.428696207957508,-0.15,-0.183333333333333,0.2,0.281329636985156,-0.277438837920489,-0.389663268710888
"GLI",0.497650913120575,0.615662562890936,0.577237741888549,0.530402298850575,0.468333333333333,0.407187865482077,0.551551022481255,0.388888888888889,0.503876603876604,0.452525252525253,0.151397237997734,0.156665862069433,0.143004659883641,0.323906183303534,0.426573070940691,0.223407875546913,0.273339598997494,0.191176470588235,0.157843137254902,0.247023809523809,0.276144161303414,0.116666666666667,0.284273520262171,0.24732770745429,0.205555555555556,0.243972344437461,-0.586439909297052,0.635610276891951,0.635610276891951,0.59039801383531,-0.59122597160459,0.408024003713282,0.370606060606061,0.370606060606061,0.370606060606061,-0.675330132269554,-0.423462683227218,-0.646420653003882,0.473416711867761,0.41538939803787,0.447517431292222,0.478368121442125,0.415810114219051,0.37874114870181,0.434838709677419,0.334838709677419,0.38,0.28,0.445668780193237,-0.0666666666666667,-0.20952380952381,0.2,0.349091188473981,-0.299112794873782,-0.404795598256478
"SNAI1",0.4689812373465,0.490550029166422,0.459788607846625,0.424446142093201,0.378991596638655,0.273768371565247,0.472628476505195,0.331904761904762,0.435836023675007,0.384447134786118,0.117342057257651,0.118812897148887,0.107592181982426,0.20418407768429,0.423115289578777,0.215547843968897,0.159543721909313,0.186658955080008,0.155889724310777,0.138556067588326,0.25773447830995,0.119047619047619,0.277724498252969,0.247216023676698,0.213508158508158,0.252342767295598,-0.58943445875618,0.635713827868121,0.635713827868121,0.600744495329789,-0.603460616323176,0.435819736828412,0.407633022286221,0.407633022286221,0.407633022286221,-0.687788844113376,-0.358553667223447,-0.648722105720835,0.47082542527836,0.426375191209496,0.451125321865744,0.397673180240574,0.427177771831237,0.398659253312719,0.364990253411306,0.365985985985986,0.328148148148148,0.328148148148148,0.464793733700695,-0.0761904761904762,-0.10952380952381,0.28,0.401134904339239,-0.182156787235946,-0.385162275569418
