"","KLF4","miR200","Ecadherin","cateninmemb","Patched","RKIP","GSK3","SUFU","TrCP","LIV1","EGR1","STAT","DSH","SRC","Frizzled","SOSGRB2","cfos","Destcompl","Csn","RAF","PI3K","DELTA","cMet","Wnt","RAS","ERK","CD44","GLI","AXIN2","Csl","PAK1","NFB","FUS","TCFLEF","MEK","cateninnuc","SNAI2","NOTCHic","IKK","CDC42","SMO","TWIST1","NOTCH","TGFR","AKT","Jagged","SNAI1","TGF","FOXC2","SHH","ILK","HEY1","ZEB2","ZEB1","SMAD"
"ERK",-0.49367054819659,-0.559200594123745,-0.687806781753034,-0.584007874920156,-0.451013393335476,-0.391067542689265,-0.234896590812876,-0.266666666666667,-0.142857142857143,0.2,0.201034482758621,0.268421052631579,0.27,0.318421052631579,0.32,0.150126059485283,0.254225972120323,0.0669757901704615,0.205357142857143,0.138934953934954,0.138934953934954,0.138934953934954,0.356882591093117,0.358461538461538,0.173148375277088,0.210892638786989,0.391233736131285,0.393298631193368,0.421753979975653,0.297513597513598,0.318095238095238,0.275054112554113,0.342666666666667,0.422274628324594,0.256296538508438,0.449288517213483,0.713631669800817,0.347878561017247,0.32564234784823,0.384450378282154,0.396765027322404,0.505753136070098,0.394138948828882,0.4384649768223,0.377018494637221,0.482589306822324,0.416433429604776,0.482695746053069,0.471241427103496,0.503670398166394,0.498012427753251,0.492368678520348,0.55296090571175,0.55296090571175,0.556978993102795
"NFB",-0.483608058608059,-0.563177594330885,-0.775756080574817,-0.634985808584765,-0.439846743295019,-0.402402970435757,-0.263837535014006,-0.2,-0.3,0.2,0.142857142857143,0.277777777777778,0.277777777777778,0.331623931623932,0.331623931623932,0.352602830605927,0.194857142857143,0.162759788410566,0.371428571428571,0.383415556862043,0.383415556862043,0.383415556862043,0.376239316239316,0.376239316239316,0.422221527011297,0.277079365079365,0.414092423583949,0.414441563430327,0.446357649442756,0.362770562770563,0.427777777777778,0.354761904761905,0.3,0.449957402486903,0.339170868347339,0.482349559349648,0.711980772856345,0.431024531024531,0.433140283140283,0.50959595959596,0.377777777777778,0.618692810457516,0.484572918121305,0.57919595959596,0.493140283140283,0.454678911041738,0.449055561364983,0.634892162127605,0.619922158408214,0.503702164981766,0.522765401540154,0.526321318000885,0.562858698470314,0.562858698470314,0.598973579978816
"SRC",-0.429457364341085,-0.593913043478261,-0.337592804798687,-0.14163523424637,-0.307777777777778,-0.520495275333985,-0.171168831168831,-0.1,-0.1,0,0.3,0,-0.1,-0.05,-0.05,0.0285714285714286,0.345454545454545,-0.074563226628444,0.2,0.196228619107217,0.196228619107217,0.196228619107217,0,0,0.229561952440551,0.345454545454545,0.0409836065573771,0.0409836065573771,-0.0228207743635514,0.185,0.355555555555556,0.233333333333333,0.15,0.0763494602159136,0.377530017152659,0.105655947911663,0.226748870229123,0.237380952380952,0.287179487179487,0.393055555555556,0.23,0.336813186813187,0.290952380952381,0.435912698412698,0.342735042735043,0.306524347212421,0.46660848348982,0.488639971139971,0.512366946778712,0.369542483660131,0.456140350877193,0.455511420059583,0.587061994609164,0.587061994609164,0.51289710763395
"Csn",-0.524058033469798,-0.589905458905201,-0.617812184319855,-0.50157103118441,-0.394493320299772,-0.333629427763154,-0.18168511945489,-0.2,-0.26,0.2,0.133333333333333,0.266666666666667,0.266666666666667,0.318390804597701,0.318390804597701,0.211896690879742,0.206060606060606,0.0637603060057168,0.235,0.224484497177188,0.224484497177188,0.224484497177188,0.358149840742279,0.358149840742279,0.261528643050509,0.267099567099567,0.396816507408946,0.397887832008655,0.423518059490085,0.320707070707071,0.231818181818182,0.31,0.277777777777778,0.43250782573692,0.317099567099567,0.463475955622669,0.478261848268544,0.373953823953824,0.364166666666667,0.307937584803257,0.335353535353535,0.409015116097865,0.423953823953824,0.368193995059667,0.420966666666667,0.424361840533565,0.377358479587396,0.415210701503581,0.411000577678986,0.45514905800469,0.459642857142857,0.462331118493909,0.589230769230769,0.589230769230769,0.528280389276533
"Jagged",-0.5,-0.6,-0.592,-0.465995975855131,-0.3,-0.4,-0.26551724137931,0,0,0,0.1,0,0,0.1,0.1,0.16,0.2,0.303243243243243,0,0.18,0.18,0.18,0.2,0.2,0.261818181818182,0.26,0.269230769230769,0.269230769230769,0.28,0.2,0.2,0.1,0.1,0.326806526806527,0.36,0.378454878454878,0.45814479638009,0.3,0.2,0.3,0.2,0.384,0.4,0.4,0.3,0.380952380952381,0.5,0.5,0.5,0.4,0.4,0.5,0.6,0.6,0.5
"DELTA",-0.5,-0.6,-0.592,-0.465995975855131,-0.3,-0.4,-0.26551724137931,0,0,0,0.1,0,0,0.1,0.1,0.16,0.2,0.303243243243243,0,0.18,0.18,0.18,0.2,0.2,0.261818181818182,0.26,0.269230769230769,0.269230769230769,0.28,0.2,0.2,0.1,0.1,0.326806526806527,0.36,0.378454878454878,0.45814479638009,0.3,0.2,0.3,0.2,0.384,0.4,0.4,0.3,0.380952380952381,0.5,0.5,0.5,0.4,0.4,0.5,0.6,0.6,0.5
"FUS",-0.523269581056466,-0.618050059978873,-0.535066376059425,-0.459121555668699,-0.525277777777778,-0.490189821633121,-0.370357038487051,-0.4,-0.1,0.1,0.3,0.15,0.25,0.196666666666667,0.3,0.288866396761134,0.369230769230769,0.339967164618327,0.2,0.384805456171735,0.384805456171735,0.384805456171735,0.241111111111111,0.344444444444444,0.418429910320207,0.414685314685315,0.278975188781014,0.382905982905983,0.406845278659372,0.33030303030303,0.46,0.271428571428571,0.36,0.312057895547931,0.464110602041637,0.341677460765323,0.506466151552761,0.39530303030303,0.347428571428571,0.518333333333333,0.4475,0.377721600565764,0.452121212121212,0.57509009009009,0.412813186813187,0.417891885000319,0.526322348781265,0.63040923902626,0.551515426497278,0.588914141414141,0.474603174603175,0.473913043478261,0.613525527711344,0.613525527711344,0.544925755248336
"STAT",-0.482481679540503,-0.637808198212752,-0.310800271881952,-0.122797702042531,-0.347170542635659,-0.361827541827542,0.00867156208277704,-0.15,-0.1,0,0.233333333333333,-0.0571428571428571,-0.0571428571428571,-0.0196428571428571,-0.0196428571428571,0.036863711001642,0.233333333333333,-0.0505275121716312,0.15,-0.0293424317617866,-0.0293424317617866,-0.0293424317617866,0.00762987012987013,0.00762987012987013,-0.00695437206029405,0.262745098039216,0.0324161949161949,0.0336802902979374,-0.0277894654365243,0.119607843137255,0.227272727272727,0.21,0.225,0.0554445860833873,0.296078431372549,0.076541129587559,0.144518015680414,0.165553789083201,0.262380952380952,0.271022727272727,0.298333333333333,0.198855442408666,0.199534371607473,0.318391148325359,0.30136400322841,0.294409475879262,0.396506410747114,0.35462303238333,0.399316973415133,0.390533374494066,0.509178743961353,0.505333333333333,0.630679576833423,0.630679576833423,0.560902881892387
"TCFLEF",-0.505326903488668,-0.670991237677985,-0.658334893926558,-0.464123144954979,-0.480706605222734,-0.52323230931717,-0.371566344676009,-0.266666666666667,-0.2,0.133333333333333,0.441428571428571,0.170833333333333,0.174509803921569,0.205833333333333,0.209509803921569,0.214565945033011,0.487770034843206,0.32708315418883,0.281818181818182,0.390494773009213,0.390494773009213,0.390494773009213,0.240876068376068,0.244552538964304,0.418221448436283,0.523008130081301,0.274209401709402,0.278714029647534,0.607216117216117,0.393703172325841,0.533333333333333,0.341818181818182,0.34,0.203648118776985,0.560423096067695,0.229163582694511,0.501684040450841,0.440761995855253,0.396656891495601,0.582170542635659,0.416190476190476,0.485302068491853,0.485612494194123,0.627030355719771,0.44774384801734,0.446769567721166,0.553272201996051,0.67040783916348,0.694746102774635,0.53653482608163,0.546035543403964,0.545751260824056,0.663462298422825,0.663462298422825,0.603588124665915
"TGF",-0.591304347826087,-0.680603448275862,-0.677446628092578,-0.554323015932464,-0.493103448275862,-0.538528138528139,-0.401497219892523,-0.2,-0.2,0,0.333333333333333,0.1,0.1,0.2,0.2,0.217105263157895,0.390476190476191,0.186815963306951,0.3,0.345238095238095,0.345238095238095,0.345238095238095,0.28,0.28,0.411309523809524,0.458897243107769,0.349811320754717,0.349811320754717,0.361022927689594,0.38,0.5,0.375,0.3,0.407706057596822,0.527786131996658,0.458902229845626,0.535546647432519,0.48,0.475,0.6,0.4,0.555925925925926,0.555862068965517,0.69047619047619,0.548684210526316,0.569219440353461,0.639281627463446,0.670833333333333,0.669006211180124,0.586853448275862,0.590909090909091,0.590909090909091,0.678577075098814,0.678577075098814,0.679618768328446
"NOTCH",-0.6,-0.7,-0.677483870967742,-0.538770844965078,-0.4,-0.493103448275862,-0.31551724137931,-0.1,0,0,0.2,0.1,0.1,0.2,0.2,0.217894736842105,0.26,0.338757261934832,0.1,0.261818181818182,0.261818181818182,0.261818181818182,0.269230769230769,0.269230769230769,0.324137022397892,0.36,0.326806526806527,0.326806526806527,0.346037735849057,0.3,0.3,0.2,0.2,0.378454878454878,0.445714285714286,0.426209980495695,0.522165960401255,0.4,0.3,0.4,0.3,0.460271186440678,0.380645161290323,0.5,0.388888888888889,0.455026455026455,0.578461538461538,0.587096774193548,0.591836734693878,0.488235294117647,0.5,0.6,0.7,0.7,0.596666666666667
"TGFR",-0.675232919254658,-0.764767671149762,-0.754789047172646,-0.623145186833157,-0.586853448275862,-0.615670995670996,-0.446729493731154,-0.3,-0.3,0.1,0.390476190476191,0.2,0.2,0.28,0.28,0.267722547108512,0.458897243107769,0.220686931048887,0.375,0.411309523809524,0.411309523809524,0.411309523809524,0.349811320754717,0.349811320754717,0.466280284043442,0.527786131996658,0.407706057596822,0.408520998174072,0.424971425543672,0.48,0.6,0.475,0.4,0.458902229845626,0.590799830626795,0.503100635514359,0.59665775854363,0.555862068965517,0.548684210526316,0.69047619047619,0.493103448275862,0.623185712402794,0.632840486231704,0.670833333333333,0.630079559363525,0.640958570788243,0.709783102389699,0.746719858156028,0.746298787599338,0.669904295733489,0.679618768328446,0.678968792401628,0.761973301513909,0.761973301513909,0.766095636655848
"NOTCHic",-0.692857142857143,-0.791907514450867,-0.754206688731907,-0.605505124883942,-0.488235294117647,-0.573385138416707,-0.357666001709889,-0.2,-0.1,0.1,0.26,0.2,0.2,0.269230769230769,0.269230769230769,0.281531100478469,0.36,0.369423928601499,0.2,0.324137022397892,0.324137022397892,0.324137022397892,0.326806526806527,0.326806526806527,0.376846382003803,0.445714285714286,0.378454878454878,0.379494698849538,0.402982180293501,0.4,0.4,0.3,0.3,0.426209980495695,0.525714285714286,0.468500056831573,0.580081792064581,0.380645161290323,0.388888888888889,0.5,0.4,0.523793199019294,0.456960950764007,0.587096774193548,0.479586563307494,0.524562878867515,0.646715506715507,0.66034518183686,0.669256089532587,0.571030993042378,0.596666666666667,0.696923076923077,0.78962962962963,0.78962962962963,0.696666666666667
"cfos",-0.696,-0.794771241830065,-0.765079130353975,-0.622456220151608,-0.493548387096774,-0.578974358974359,-0.37284632034632,-0.2,-0.1,0.1,0.36,0.2,0.2,0.28,0.28,0.266666666666667,0.36,0.386930760511237,0.2,0.329901960784314,0.329901960784314,0.329901960784314,0.342962962962963,0.342962962962963,0.385999521759923,0.442608695652174,0.39971971971972,0.400857699805068,0.42016420361248,0.3,0.4,0.3,0.3,0.451204868234571,0.522269712601326,0.496760423790127,0.599056782633425,0.384615384615385,0.3875,0.5,0.4,0.53969696969697,0.466153846153846,0.592156862745098,0.482236842105263,0.541493055555555,0.657606444188723,0.670944741532977,0.677979094076655,0.578733572281959,0.596296296296296,0.596551724137931,0.793220338983051,0.793220338983051,0.696296296296296
"CDC42",-0.696,-0.794771241830065,-0.765079130353975,-0.622456220151608,-0.493548387096774,-0.578974358974359,-0.37284632034632,-0.2,-0.1,0.1,0.26,0.2,0.2,0.28,0.28,0.266666666666667,0.36,0.386930760511237,0.2,0.329901960784314,0.329901960784314,0.329901960784314,0.342962962962963,0.342962962962963,0.385999521759923,0.442608695652174,0.39971971971972,0.400857699805068,0.42016420361248,0.3,0.5,0.3,0.3,0.451204868234571,0.522269712601326,0.496760423790127,0.599056782633425,0.384615384615385,0.3875,0.5,0.4,0.53969696969697,0.466153846153846,0.592156862745098,0.482236842105263,0.541493055555555,0.657606444188723,0.670944741532977,0.677979094076655,0.578733572281959,0.596296296296296,0.596551724137931,0.793220338983051,0.793220338983051,0.696296296296296
"ZEB1",-0.755950360149267,-0.850900464069666,-0.795826296733974,-0.732982343423162,-0.660762032085562,-0.62446130272049,-0.436283227703619,-0.4,-0.3,0.266666666666667,0.283333333333333,0.335897435897436,0.338095238095238,0.391994996873046,0.394192799070848,0.364405458089669,0.375333333333333,0.421526110350033,0.4,0.447917994420465,0.447917994420465,0.447917994420465,0.442975389029908,0.446115875993925,0.491225081034638,0.440039215686275,0.487419833474353,0.491133058124509,0.51082703128528,0.46875,0.486206896551724,0.489473684210526,0.4875,0.527047493048821,0.503915867668653,0.561881152540015,0.590129338025961,0.539338235294118,0.569801553062985,0.563018490754623,0.578409090909091,0.649731001964012,0.605453937773457,0.631546409536349,0.646944410205842,0.672057336019499,0.677668771006996,0.693751133945797,0.706132522951292,0.73513925628485,0.787570621468927,0.787564766839378,0.847258639587769,0.847258639587769,0.870743698392003
"SMAD",-0.761140098963179,-0.854500960630434,-0.820220620674095,-0.668068491202617,-0.671651376146789,-0.624746118491201,-0.426328754787401,-0.4,-0.3,0.2,0.371428571428571,0.271428571428571,0.271428571428571,0.332539682539683,0.332539682539683,0.317879325643301,0.445622119815668,0.303804570101258,0.4,0.456111155220326,0.456111155220326,0.456111155220326,0.385480859010271,0.386385836385836,0.503150628904536,0.520040724466831,0.433844495373907,0.435306699695189,0.45993773234059,0.477142857142857,0.492857142857143,0.480952380952381,0.5,0.476042595780963,0.5892714936976,0.513225979772857,0.637436711935739,0.554154351395731,0.569187675070028,0.575955734406439,0.59,0.576973082326302,0.621614668856048,0.650257410384092,0.646521008403361,0.695350090769446,0.687778979085431,0.714400836678913,0.721330551666442,0.750090037856826,0.785720215857202,0.786818471112368,0.850801320584026,0.850801320584026,0.770482120619107
"Csl",-0.775714285714286,-0.872735401161107,-0.822811339894698,-0.664985247208101,-0.571030993042378,-0.643892050859104,-0.395221229986767,-0.3,-0.2,0.2,0.36,0.269230769230769,0.269230769230769,0.326806526806527,0.326806526806527,0.321368498852453,0.445714285714286,0.396297786005521,0.3,0.376846382003803,0.376846382003803,0.376846382003803,0.378454878454878,0.379494698849538,0.423905205533215,0.525714285714286,0.426209980495695,0.427881795623731,0.454138992632833,0.380645161290323,0.5,0.388888888888889,0.4,0.468500056831573,0.59527950310559,0.505606975070566,0.631610501982553,0.456960950764007,0.479586563307494,0.587096774193548,0.488235294117647,0.58135527576873,0.524233678036734,0.66034518183686,0.557881136950904,0.591229545534181,0.709956613434874,0.723610487959309,0.735348043555576,0.652065475800999,0.696666666666667,0.796923076923077,0.869187640679354,0.869187640679354,0.785555555555556
"GLI",-0.78013728013728,-0.874521257895871,-0.84243766898806,-0.694983962594235,-0.682491944146079,-0.647310256774011,-0.489644065423926,-0.4,-0.2,0.2,0.451428571428571,0.28,0.38,0.347741935483871,0.447741935483871,0.304305252269854,0.534761904761905,0.375719479512089,0.3,0.470024664906074,0.470024664906074,0.470024664906074,0.408717545239969,0.510094876660342,0.521707833222906,0.606190476190476,0.462165821102037,0.464137429851831,0.483982487922705,0.386206896551724,0.6,0.389473684210526,0.5,0.509568418504635,0.67746119442252,0.550871466920654,0.665653458614357,0.466206896551724,0.477228786251343,0.689655172413793,0.594736842105263,0.606183745513117,0.540492610837438,0.769529386250271,0.560041286251343,0.62147747675674,0.720061495928003,0.840352915662036,0.747420343137255,0.766854084063775,0.693217457018704,0.693713450292398,0.871509643283837,0.871509643283837,0.784028267829515
"ZEB2",-0.879241998125084,-0.875093521748581,-0.838702997226298,-0.688487340133589,-0.682090592334495,-0.654766505636071,-0.495154454917814,-0.4,-0.3,0.2,0.275,0.28,0.281818181818182,0.346666666666667,0.348484848484849,0.36521978021978,0.375,0.386609039123451,0.4,0.400670995670996,0.400670995670996,0.400670995670996,0.404561403508772,0.407459207459207,0.451848725863715,0.45241935483871,0.455487329434698,0.458835354248198,0.479125977879687,0.492307692307692,0.5,0.5,0.5,0.501261977322022,0.526809598741149,0.541391847451892,0.557828667035426,0.570974358974359,0.586666666666667,0.589090909090909,0.594285714285714,0.601452481242245,0.644744850777638,0.668682745825603,0.671713395638629,0.715196565280364,0.720697618238961,0.738524015666873,0.74648174048174,0.764817865061768,0.795774647887324,0.796129032258065,0.872386891009881,0.872386891009881,0.887847818619031
"PAK1",-0.782885245901639,-0.879542815434126,-0.837951102672315,-0.686009333704722,-0.578733572281959,-0.652455021957784,-0.413573593073593,-0.3,-0.2,0.2,0.36,0.28,0.28,0.342962962962963,0.342962962962963,0.311221122112211,0.442608695652174,0.416404444721763,0.3,0.385999521759923,0.385999521759923,0.385999521759923,0.39971971971972,0.400857699805068,0.436908612669014,0.522269712601326,0.451204868234571,0.453052821756288,0.475510115562165,0.384615384615385,0.5,0.3875,0.4,0.496760423790127,0.596936379267993,0.536760423790127,0.654391321512268,0.466153846153846,0.482236842105263,0.592156862745098,0.493548387096774,0.601110013175231,0.537582417582418,0.670944741532977,0.563718323586745,0.611431705862304,0.724670883329534,0.739250752461939,0.749013576835276,0.662733572281959,0.696296296296296,0.696551724137931,0.876500081748324,0.876500081748324,0.788554360812425
"LIV1",-0.782885245901639,-0.879542815434126,-0.837951102672315,-0.686009333704722,-0.578733572281959,-0.652455021957784,-0.413573593073593,-0.3,-0.2,0.2,0.36,0.28,0.28,0.342962962962963,0.342962962962963,0.311221122112211,0.442608695652174,0.416404444721763,0.3,0.385999521759923,0.385999521759923,0.385999521759923,0.39971971971972,0.400857699805068,0.436908612669014,0.522269712601326,0.451204868234571,0.453052821756288,0.475510115562165,0.384615384615385,0.5,0.3875,0.4,0.496760423790127,0.596936379267993,0.536760423790127,0.654391321512268,0.466153846153846,0.482236842105263,0.592156862745098,0.493548387096774,0.601110013175231,0.537582417582418,0.670944741532977,0.563718323586745,0.611431705862304,0.724670883329534,0.739250752461939,0.749013576835276,0.662733572281959,0.696296296296296,0.696551724137931,0.876500081748324,0.876500081748324,0.788554360812425
"EGR1",-0.782885245901639,-0.879542815434126,-0.837951102672315,-0.686009333704722,-0.578733572281959,-0.652455021957784,-0.413573593073593,-0.3,-0.2,0.2,0.36,0.28,0.28,0.342962962962963,0.342962962962963,0.311221122112211,0.442608695652174,0.416404444721763,0.3,0.385999521759923,0.385999521759923,0.385999521759923,0.39971971971972,0.400857699805068,0.436908612669014,0.522269712601326,0.451204868234571,0.453052821756288,0.475510115562165,0.384615384615385,0.5,0.3875,0.4,0.496760423790127,0.596936379267993,0.536760423790127,0.654391321512268,0.466153846153846,0.482236842105263,0.592156862745098,0.493548387096774,0.601110013175231,0.537582417582418,0.670944741532977,0.563718323586745,0.611431705862304,0.724670883329534,0.739250752461939,0.749013576835276,0.662733572281959,0.696296296296296,0.696551724137931,0.876500081748324,0.876500081748324,0.788554360812425
"SNAI1",-0.861078392319085,-0.956295937432205,-0.903507814430899,-0.742416933013875,-0.662733572281959,-0.721074268819709,-0.449415177232009,-0.4,-0.3,0.28,0.442608695652174,0.342962962962963,0.342962962962963,0.39971971971972,0.400857699805068,0.348579612678249,0.522269712601326,0.441733392090184,0.3875,0.436908612669014,0.436908612669014,0.436908612669014,0.451204868234571,0.453052821756288,0.480586773588555,0.596936379267993,0.496760423790127,0.499305106948244,0.524694264746314,0.466153846153846,0.592156862745098,0.482236842105263,0.493548387096774,0.536760423790127,0.657474495859921,0.571917883779802,0.703502954096914,0.537582417582418,0.563718323586745,0.670944741532977,0.578733572281959,0.65659719266241,0.602888540031397,0.739250752461939,0.638718323586745,0.674019941156422,0.684457360197862,0.801145913752261,0.8134354319814,0.73904425189361,0.788554360812425,0.788218390804598,0.952145838205889,0.952145838205889,0.870842183690654
