"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","EGR1","cfos","HEY1","SMAD","ILK","AKT","IKK","SHH","TWIST1","NFB","SMO","FUS","Csn","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","ZEB2","ZEB1","KLF4","cateninmemb","SNAI2","RAS","RAF","PI3K","DELTA","Ecadherin","miR200","GSK3","cateninnuc","GLI","TCFLEF","CD44","Wnt","Frizzled","cMet","DSH","SRC","STAT","Destcompl","AXIN2","TrCP","SUFU","LIV1","Patched","RKIP"
"ERK",0.362428608980333,0.389563050815524,0.360991622244095,0.320115709835336,0.276190476190476,0.200904788375089,0.252807391634516,0.168871362191245,0.201034482758621,0.237204695524578,0.177664413335769,0.178394852313426,0.168668408544429,0.20737886731006,0.182608225108225,0.244096841967958,0.430265213560473,0.162608225108225,0.200590163934426,0.176,0.123214285714286,0.298275107403687,0.271971969119997,0.242332079923321,0.206565656565657,0.115938357219911,0.442775368286999,0.442775368286999,-0.410911659048191,-0.543999044024927,0.684800901854122,0.14029804079309,0.115545565545566,0.115545565545566,0.115545565545566,-0.617151647004753,-0.453259784360343,-0.169512171561566,0.419329607366807,0.368100145468566,0.396204607366807,0.367022451232978,0.335268065268065,0.298205128205128,0.333689117899644,0.236666666666667,0.296626180836707,0.235087719298246,0.132638971616937,0.394985561356355,-0.0857142857142857,-0.14,0.166666666666667,-0.224773170470374,-0.273352539960421
"Csn",0.259569804073534,0.280221431105733,0.254207111296664,0.21061736770692,0.161363636363636,0.240949675324675,0.166239608363573,0.208658008658009,0.133333333333333,0.178787878787879,0.0793936877076412,0.0841582806420881,0.0731042960662526,0.211533333333333,0.188333333333333,0.136376685186839,0.290384915069347,0.171666666666667,0.0974025974025974,0.0761904761904762,0.13,0.180007300099084,0.257442557442557,0.230519480519481,0.195454545454545,0.15804219993082,0.448820512820513,0.448820512820513,-0.4173023055376,-0.430846858486412,0.410159364908636,0.283878111575017,0.259118034799585,0.259118034799585,0.259118034799585,-0.512113775402592,-0.455994889413373,-0.242996235054154,0.384714943724617,0.330798453564295,0.360962688763703,0.331380695194571,0.298047361861238,0.26551724137931,0.298047361861238,0.2,0.26551724137931,0.2,0.100091891919908,0.357804926030847,-0.18,-0.0428571428571429,0.133333333333333,-0.119983242563888,-0.17930411892565
"SMO",0.413275862068965,0.518648648648649,0.47,0.42,0.4,0.368531468531469,0.316743471582181,0.323076923076923,0.2,0.3,0.128937728937729,0.131111111111111,0.12,0.216285714285714,0.164285714285714,0.336666666666667,0.290740740740741,0.15,0.253333333333333,0.333333333333333,0.1,0.267883597883598,0.328787878787879,0.278787878787879,0.233333333333333,0.255263157894737,0.449152542372881,0.449152542372881,-0.383333333333333,-0.428167345234367,0.496017515051998,0.344812164579606,0.319230769230769,0.319230769230769,0.319230769230769,-0.451173786009705,-0.461422543701025,-0.119911803406949,0.366379378867882,0.394444444444444,0.334800431499461,0.291111111111111,0.35,0.3,0.246666666666667,0.2,0.2,0.1,0.0973260847679452,0.407583221376325,0,-0.3,0.1,-0.303333333333333,-0.323968253968254
"STAT",0.220651670074983,0.210552175068765,0.198474880382775,0.172159090909091,0.140909090909091,0.217507906388362,0.149490213997769,0.203529411764706,0.2,0.18,0.0586666666666667,0.0661113887500694,0.0615136876006441,0.0488942695722357,0.0438095238095238,0.0581714344515332,0.0782927800169179,0.02,0.045,0.025,0,0.0624067148964923,0.0310823673473588,0.0204027556968733,-0.00392156862745098,-0.0069376026272578,0.450107584722969,0.450107584722969,-0.337076648841355,-0.0596081692637033,0.0996036311938367,-0.0302292816315445,-0.04366211745244,-0.04366211745244,-0.04366211745244,-0.204849550391902,-0.466314197206206,0.020838896306186,0.0285670377706676,0.00368601986249046,0.0162905181043982,0.00398767898767899,-0.013961038961039,-0.0321428571428571,-0.013961038961039,-0.0571428571428571,-0.0321428571428571,-0.0571428571428571,-0.0346729873659684,-0.0515398327163033,0,0,0,-0.0519767441860465,-0.175109395109395
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.241666666666667,0.22,0.1,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.0888888888888889,0.0333333333333333,0.121794871794872,0.293,0,0.0333333333333333,0,0,0.166493506493506,0.231428571428571,0.16,0.1,0.12,0.46207729468599,0.46207729468599,-0.405555555555556,-0.437625754527163,0.444570135746606,0.234545454545455,0.18,0.18,0.18,-0.513017543859649,-0.472121212121212,-0.157471264367816,0.374059274059274,0.269230769230769,0.326806526806527,0.269230769230769,0.2,0.1,0.2,0,0.1,0,0.187181467181467,0.28,0,0,0,-0.0833333333333333,-0.235897435897436
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.241666666666667,0.22,0.1,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.0888888888888889,0.0333333333333333,0.121794871794872,0.293,0,0.0333333333333333,0,0,0.166493506493506,0.231428571428571,0.16,0.1,0.12,0.46207729468599,0.46207729468599,-0.405555555555556,-0.437625754527163,0.444570135746606,0.234545454545455,0.18,0.18,0.18,-0.513017543859649,-0.472121212121212,-0.157471264367816,0.374059274059274,0.269230769230769,0.326806526806527,0.269230769230769,0.2,0.1,0.2,0,0.1,0,0.187181467181467,0.28,0,0,0,-0.0833333333333333,-0.235897435897436
"NFB",0.533272508810357,0.566548830072881,0.521612121212121,0.471212121212121,0.416666666666667,0.293419234360411,0.3036361981557,0.254857142857143,0.142857142857143,0.194857142857143,0.199797287335987,0.20152279865533,0.187768151815181,0.353564993564994,0.326898326898327,0.284305343981289,0.565480859010271,0.280952380952381,0.220740740740741,0.18,0.314285714285714,0.31915053524191,0.400385421030582,0.35974025974026,0.307359307359307,0.3303118089341,0.468700429234005,0.468700429234005,-0.418040293040293,-0.620486289827638,0.706174064829555,0.407478773917534,0.375637977897634,0.375637977897634,0.375637977897634,-0.730606981835444,-0.473204673517297,-0.239994613229907,0.485443163746885,0.416419859790646,0.453207869629238,0.416077067941475,0.377094017094017,0.317094017094017,0.377094017094017,0.255555555555556,0.317094017094017,0.255555555555556,0.11644758109452,0.445851063829787,-0.3,-0.12,0.2,-0.251775223499361,-0.295824576152445
"cMet",0.419177215189873,0.416075650118203,0.377777777777778,0.35,0.3,0.427727272727273,0.424300993881725,0.415,0.325,0.385,0.21781905744754,0.21034632034632,0.197619047619048,0.27875,0.26,0.202272727272727,0.393514425649257,0.266666666666667,0.15,0.15,0.2,0.212905645079558,0.280035194368901,0.24812030075188,0.242857142857143,0.0109523809523809,0.470851370851371,0.470851370851371,-0.325396825396825,-0.185280200226819,0.472806560835758,0.261599281221923,0.22952380952381,0.22952380952381,0.22952380952381,-0.3298747970606,-0.479085968379447,-0.294450844854071,0.146077539593503,0.06,0.106529516994633,0.0588372093023256,0.01,-0.05,0.01,-0.1,0.05,0,-0.0779842403791983,0.0192063492063492,-0.2,-0.1,0.1,-0.177272727272727,-0.471851851851852
"FUS",0.451433756805808,0.558010350776308,0.518648648648649,0.47,0.42,0.413359054738365,0.339384981016144,0.368531468531469,0.3,0.323076923076923,0.141981207198598,0.14078853046595,0.131111111111111,0.254747252747253,0.216285714285714,0.35989898989899,0.327913515609851,0.164285714285714,0.303333333333333,0.253333333333333,0.15,0.299208899088417,0.36969696969697,0.328787878787879,0.278787878787879,0.286032388663968,0.489029842986378,0.489029842986378,-0.430874316939891,-0.46932190761798,0.535694355267438,0.374943168946419,0.344812164579606,0.344812164579606,0.344812164579606,-0.496653238064499,-0.502016603106965,-0.13830645223638,0.39355329191136,0.438675213675214,0.366379378867882,0.334800431499461,0.394444444444444,0.35,0.291111111111111,0.3,0.246666666666667,0.2,0.105355281848237,0.452924836283157,-0.1,-0.333333333333333,0.1,-0.336666666666667,-0.351803305514646
"SRC",0.422586367880486,0.408257575757576,0.379166666666667,0.345833333333333,0.333333333333333,0.348237087859729,0.319496968735264,0.316161616161616,0.3,0.327272727272727,0.126804038397881,0.113934329065908,0.109429824561404,0.17991452991453,0.157692307692308,0.0894989106753813,0.258834154351396,0.15,0.0533333333333333,0.0333333333333333,0.15,0.0983844977652317,0.168809523809524,0.143809523809524,0.12,0.00857142857142857,0.496263851452531,0.496263851452531,-0.363630490956072,-0.101578356533453,0.194835775449079,0.226398907725566,0.211247392574051,0.211247392574051,0.211247392574051,-0.271402540814306,-0.507758746889182,-0.184675324675325,0.0657745939655458,0.0111475409836066,0.0440743702518992,0.0111475409836066,-0.02,-0.05,-0.02,-0.1,-0.05,0,-0.0352086319477624,-0.0465935653873943,-0.1,-0.0333333333333333,0,-0.0718518518518519,-0.426816552623004
"NOTCH",0.367959183673469,0.389620071684588,0.331555555555555,0.255555555555556,0.2,0.350952380952381,0.267820512820513,0.286666666666667,0.2,0.22,0.171014492753623,0.0814285714285714,0.0714285714285714,0.133333333333333,0.0888888888888889,0.151206636500754,0.342152542372881,0.0333333333333333,0.0833333333333333,0.0333333333333333,0,0.203530543530544,0.186267281105991,0.231428571428571,0.16,0.167368421052632,0.513929146537842,0.513929146537842,-0.46207729468599,-0.494693817354388,0.501183892360363,0.276574440052701,0.234545454545455,0.234545454545455,0.234545454545455,-0.574307866440294,-0.523549783549784,-0.184743991640543,0.412834784263356,0.326806526806527,0.374059274059274,0.326806526806527,0.269230769230769,0.2,0.269230769230769,0.1,0.2,0.1,0.203069317648757,0.346037735849057,0,0,0,-0.121794871794872,-0.273828470380194
"TCFLEF",0.600159169994991,0.599675295952739,0.571529600588501,0.538819320214669,0.492307692307692,0.510462916874067,0.404215496265705,0.483252032520325,0.411428571428571,0.44801393728223,0.198276524883433,0.181629945714277,0.17111369332422,0.297167829365585,0.27868956849602,0.300012156851658,0.439503926713798,0.252883116883117,0.258571428571429,0.23,0.216883116883117,0.314713023700647,0.40495330671501,0.379371911366172,0.34996014666029,0.213404575464456,0.538438197767145,0.538438197767145,-0.404212821492233,-0.472894658804894,0.530791309775235,0.389171353121431,0.365124046945347,0.365124046945347,0.365124046945347,-0.616067050906002,-0.550021123454858,-0.255050870577178,0.271754298026424,0.323658116535354,0.247871136514397,0.320494275116917,0.291359979889392,0.254607843137255,0.288418803418803,0.219607843137255,0.251666666666667,0.216666666666667,0.169843809322436,0.655288888888889,-0.171428571428571,-0.183333333333333,0.166666666666667,-0.277926267281106,-0.408998025439684
"cfos",0.391279633804741,0.415979118920295,0.375070028011204,0.314285714285714,0.242857142857143,0.382284450994842,0.288779659159406,0.336521739130435,0.32,0.28,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.152412280701754,0.120833333333333,0.162012857711782,0.362155844155844,0.0833333333333333,0.10952380952381,0.0761904761904762,0.0333333333333333,0.219027777777778,0.212051282051282,0.17051282051282,0.116666666666667,0.193055555555556,0.547939966947231,0.547939966947231,-0.505936507936508,-0.544115885088202,0.551860839890037,0.319471013337584,0.280446623093682,0.280446623093682,0.280446623093682,-0.613237646282397,-0.560954078601137,-0.216677489177489,0.458252609044688,0.382923976608187,0.423808164600244,0.384204204204204,0.335555555555555,0.28,0.335555555555555,0.2,0.28,0.2,0.235334515403308,0.408505747126437,0,-0.0333333333333333,0.1,-0.138556067588326,-0.298764568764569
"CDC42",0.391279633804741,0.415979118920295,0.375070028011204,0.314285714285714,0.342857142857143,0.382284450994842,0.288779659159406,0.336521739130435,0.22,0.28,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.152412280701754,0.120833333333333,0.162012857711782,0.362155844155844,0.0833333333333333,0.10952380952381,0.0761904761904762,0.0333333333333333,0.219027777777778,0.212051282051282,0.17051282051282,0.116666666666667,0.193055555555556,0.547939966947231,0.547939966947231,-0.505936507936508,-0.544115885088202,0.551860839890037,0.319471013337584,0.280446623093682,0.280446623093682,0.280446623093682,-0.613237646282397,-0.560954078601137,-0.216677489177489,0.458252609044688,0.382923976608187,0.423808164600244,0.384204204204204,0.335555555555555,0.28,0.335555555555555,0.2,0.28,0.2,0.235334515403308,0.408505747126437,0,-0.0333333333333333,0.1,-0.138556067588326,-0.298764568764569
"NOTCHic",0.405055957867018,0.431021345569938,0.389620071684588,0.331555555555555,0.255555555555556,0.396666666666667,0.295862840862841,0.350952380952381,0.22,0.286666666666667,0.184860646599777,0.0979753340184995,0.0814285714285714,0.163565891472868,0.133333333333333,0.178088356930862,0.380517322247095,0.0888888888888889,0.121794871794872,0.0833333333333333,0.0333333333333333,0.235980874656371,0.228372544263885,0.186267281105991,0.231428571428571,0.221913875598086,0.553188405797101,0.553188405797101,-0.508505866114562,-0.544795237232684,0.548278080737117,0.316475917885213,0.276574440052701,0.276574440052701,0.276574440052701,-0.62499699354596,-0.565746315341691,-0.204578702384345,0.447491272812974,0.373043085946312,0.412834784263356,0.374059274059274,0.326806526806527,0.269230769230769,0.326806526806527,0.2,0.269230769230769,0.2,0.215069317648757,0.400204402515723,0,-0.0333333333333333,0.1,-0.151206636500754,-0.303405935168927
"TGF",0.534673913043478,0.55047619047619,0.593333333333333,0.526666666666667,0.46,0.474670008354219,0.43453909726637,0.423558897243108,0.333333333333333,0.376190476190476,0.231850419084462,0.22603128054741,0.211515151515151,0.341791979949875,0.315476190476191,0.265617816091954,0.465185185185185,0.258333333333333,0.203333333333333,0.153333333333333,0.233333333333333,0.319691948944526,0.38816091954023,0.343333333333333,0.273333333333333,0.181578947368421,0.559795668354021,0.559795668354021,-0.507068395626748,-0.517265042626207,0.514001165145505,0.388690476190476,0.34047619047619,0.34047619047619,0.34047619047619,-0.597978803812028,-0.567284583232859,-0.333047556922312,0.441307213144353,0.342264150943396,0.394895729890765,0.342264150943396,0.28,0.2,0.28,0.1,0.2,0.1,0.111612098804987,0.356084656084656,-0.2,-0.133333333333333,0,-0.234367816091954,-0.411688311688312
"ZEB1",0.448040723804822,0.486893129304354,0.453034861587819,0.410902881892387,0.35727969348659,0.345165241426967,0.306531525878696,0.304196078431373,0.216666666666667,0.260666666666667,0.183999239102866,0.176960602609394,0.165422141070932,0.272751551008669,0.241322979580098,0.278945911913779,0.474110712914254,0.210175438596491,0.227651515151515,0.195833333333333,0.173333333333333,0.35393480455174,0.365162655971479,0.328799019607843,0.289583333333333,0.298323586744639,0.579637561632887,0.579637561632887,-0.5342900419896,-0.663230764981214,0.55490537629515,0.419497289630147,0.389418549472666,0.389418549472666,0.389418549472666,-0.651120411543653,-0.600430215454603,-0.219445537003656,0.541607443612186,0.484052486780674,0.515482198993791,0.483833262823578,0.445908156883767,0.403600464576074,0.445638818379134,0.352380952380952,0.402501563477173,0.351282051282051,0.214285205581564,0.509720579639221,-0.133333333333333,-0.158333333333333,0.266666666666667,-0.255102495543672,-0.29795406398888
"PAK1",0.423003771735776,0.450951796515924,0.415979118920295,0.375070028011204,0.314285714285714,0.422284450994842,0.314316651999501,0.382284450994842,0.28,0.336521739130435,0.100476967398654,0.107545656255334,0.0933521078682369,0.176486354775828,0.152412280701754,0.189012857711782,0.395851496329757,0.120833333333333,0.138556067588326,0.10952380952381,0.0833333333333333,0.249089127471029,0.246117216117216,0.212051282051282,0.17051282051282,0.225728822882288,0.581702024825044,0.581702024825044,-0.540362737444705,-0.586606727579045,0.59218633717756,0.353107376973948,0.319471013337584,0.319471013337584,0.319471013337584,-0.655244566697622,-0.594456616672203,-0.233041125541126,0.487493988355033,0.422436171730138,0.458252609044688,0.423808164600244,0.382923976608187,0.335555555555555,0.384204204204204,0.28,0.335555555555555,0.28,0.24661271089203,0.453788765994361,-0.0333333333333333,-0.0761904761904762,0.2,-0.162012857711782,-0.32804633672037
"LIV1",0.423003771735776,0.450951796515924,0.415979118920295,0.375070028011204,0.314285714285714,0.422284450994842,0.314316651999501,0.382284450994842,0.28,0.336521739130435,0.100476967398654,0.107545656255334,0.0933521078682369,0.176486354775828,0.152412280701754,0.189012857711782,0.395851496329757,0.120833333333333,0.138556067588326,0.10952380952381,0.0833333333333333,0.249089127471029,0.246117216117216,0.212051282051282,0.17051282051282,0.225728822882288,0.581702024825044,0.581702024825044,-0.540362737444705,-0.586606727579045,0.59218633717756,0.353107376973948,0.319471013337584,0.319471013337584,0.319471013337584,-0.655244566697622,-0.594456616672203,-0.233041125541126,0.487493988355033,0.422436171730138,0.458252609044688,0.423808164600244,0.382923976608187,0.335555555555555,0.384204204204204,0.28,0.335555555555555,0.28,0.24661271089203,0.453788765994361,-0.0333333333333333,-0.0761904761904762,0.2,-0.162012857711782,-0.32804633672037
"EGR1",0.423003771735776,0.450951796515924,0.415979118920295,0.375070028011204,0.314285714285714,0.422284450994842,0.314316651999501,0.382284450994842,0.28,0.336521739130435,0.100476967398654,0.107545656255334,0.0933521078682369,0.176486354775828,0.152412280701754,0.189012857711782,0.395851496329757,0.120833333333333,0.138556067588326,0.10952380952381,0.0833333333333333,0.249089127471029,0.246117216117216,0.212051282051282,0.17051282051282,0.225728822882288,0.581702024825044,0.581702024825044,-0.540362737444705,-0.586606727579045,0.59218633717756,0.353107376973948,0.319471013337584,0.319471013337584,0.319471013337584,-0.655244566697622,-0.594456616672203,-0.233041125541126,0.487493988355033,0.422436171730138,0.458252609044688,0.423808164600244,0.382923976608187,0.335555555555555,0.384204204204204,0.28,0.335555555555555,0.28,0.24661271089203,0.453788765994361,-0.0333333333333333,-0.0761904761904762,0.2,-0.162012857711782,-0.32804633672037
"Csl",0.437814578556673,0.466622252599416,0.431021345569938,0.389620071684588,0.331555555555555,0.436884057971015,0.32194979738458,0.396666666666667,0.286666666666667,0.350952380952381,0.206429274050757,0.112975334018499,0.0979753340184995,0.190697674418605,0.163565891472868,0.206536632792931,0.415054568296757,0.133333333333333,0.151206636500754,0.121794871794872,0.0888888888888889,0.266710041323038,0.263827089718431,0.228372544263885,0.186267281105991,0.251995176411094,0.587995035631355,0.587995035631355,-0.542791580400276,-0.5874557876914,0.588621108328466,0.348828859061684,0.316475917885213,0.316475917885213,0.316475917885213,-0.667438854011077,-0.600386838217508,-0.220631721530148,0.476479265951911,0.411752763365667,0.447491272812974,0.412834784263356,0.373043085946312,0.326806526806527,0.374059274059274,0.269230769230769,0.326806526806527,0.269230769230769,0.22634293129897,0.444677410227805,-0.0333333333333333,-0.0833333333333333,0.2,-0.178088356930862,-0.336124829178143
"TGFR",0.576158629200683,0.595866261398176,0.55047619047619,0.593333333333333,0.526666666666667,0.518505624792575,0.462562696086429,0.474670008354219,0.376190476190476,0.423558897243108,0.248268329532223,0.239198540333886,0.22603128054741,0.374350119484758,0.341791979949875,0.294431375413988,0.508245683405826,0.315476190476191,0.234367816091954,0.203333333333333,0.258333333333333,0.355199195321338,0.432045811626561,0.38816091954023,0.343333333333333,0.224788823911631,0.603946611750247,0.603946611750247,-0.557068395626748,-0.571999453711658,0.566315979960319,0.427871762740184,0.388690476190476,0.388690476190476,0.388690476190476,-0.652152568718331,-0.612739128687405,-0.354807948120356,0.478773997909632,0.394522215459525,0.441307213144353,0.394895729890765,0.342264150943396,0.28,0.342264150943396,0.2,0.28,0.2,0.126531453643697,0.414882939346459,-0.233333333333333,-0.153333333333333,0.1,-0.265617816091954,-0.445974025974026
"SMAD",0.483485542052059,0.507727878096776,0.471074491642593,0.429175050301811,0.371428571428571,0.458346248650075,0.366692864035606,0.417961633265459,0.314285714285714,0.369124423963134,0.229016604874041,0.118388506470698,0.204578982661174,0.301555555555556,0.272222222222222,0.307154741198004,0.433866643631093,0.238888888888889,0.250833333333333,0.220833333333333,0.205555555555556,0.367462225946097,0.366496989600438,0.329195402298851,0.286666666666667,0.25790446613428,0.609937533528699,0.609937533528699,-0.565031016388861,-0.594787191081732,0.594867977214837,0.439239714261836,0.405358135314467,0.405358135314467,0.405358135314467,-0.677141708700833,-0.621043559434259,-0.284799914649539,0.482480249738203,0.416787668766086,0.45269301569565,0.417821916645446,0.37506105006105,0.326984126984127,0.376003734827264,0.271428571428571,0.326984126984127,0.271428571428571,0.165809586867423,0.447125421588054,-0.15,-0.183333333333333,0.2,-0.27927370030581,-0.3662477330652
"SNAI1",0.452355741240223,0.48240340941915,0.450951796515924,0.415979118920295,0.375070028011204,0.455916737990357,0.236736580825124,0.422284450994842,0.336521739130435,0.382284450994842,0.117738872160558,0.11750875588633,0.107545656255334,0.204958576998051,0.176486354775828,0.213284702371977,0.426518162996424,0.152412280701754,0.162012857711782,0.138556067588326,0.120833333333333,0.276147951000441,0.279178440607012,0.246117216117216,0.212051282051282,0.249502407787949,0.611099318797984,0.611099318797984,-0.57058080598053,-0.622219853658492,0.626413625142695,0.379708362195623,0.353107376973948,0.353107376973948,0.353107376973948,-0.691821049528007,-0.624908105625133,-0.24723254468304,0.511345304823799,0.456988274106738,0.487493988355033,0.458252609044688,0.422436171730138,0.382923976608187,0.423808164600244,0.335555555555555,0.384204204204204,0.335555555555555,0.255603938962205,0.4922503044559,-0.0833333333333333,-0.10952380952381,0.28,-0.189012857711782,-0.356079809523717
"GLI",0.487395725834193,0.609961052215291,0.57160811103882,0.526954022988506,0.468333333333333,0.545484083136017,0.383296869568318,0.504047619047619,0.402857142857143,0.461190476190476,0.15473324072645,0.157829448445356,0.144856475472383,0.231949106396945,0.202261606396945,0.329483044029828,0.429025081690617,0.175730994152047,0.273339598997494,0.247023809523809,0.138888888888889,0.287806756243794,0.292383478590375,0.254288240495137,0.214288240495137,0.233301153124162,0.62265616999488,0.62265616999488,-0.578236808236808,-0.60426327823927,0.608243057395293,0.450000933248938,0.415347467902403,0.415347467902403,0.415347467902403,-0.678002528899208,-0.634111523151771,-0.340892931558637,0.504861503450477,0.434857281279018,0.473600296038642,0.435613283051629,0.491878557874763,0.441290322580645,0.392509834775767,0.38,0.341290322580645,0.28,0.226260378838118,0.462377717391304,-0.0833333333333333,-0.20952380952381,0.2,-0.301911027568922,-0.390389567400491
