"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","ERK","SNAI1","cfos","EGR1","HEY1","TWIST1","SMAD","IKK","AKT","SHH","ILK","SMO","NFB","FUS","Jagged","NOTCH","NOTCHic","Csl","Csn","SOSGRB2","SNAI2","ZEB2","ZEB1","RAS","RAF","PI3K","DELTA","KLF4","GLI","DSH","Wnt","cateninnuc","TCFLEF","miR200","CD44","Ecadherin","Frizzled","STAT","cMet","cateninmemb","GSK3","SRC","AXIN2","LIV1","Destcompl","TrCP","SUFU","Patched","RKIP"
"Csn",0.205434582339887,0.217369068671031,0.21522109731065,0.194708276797829,0.145454545454545,0.222819264069264,0.204069264069264,0.116865537602351,0.161212121212121,0.106666666666667,0.0753737541528239,0.207304036153966,0.0803051834347241,0.175833333333333,0.181433333333333,0.0977762439687347,0.0687370600414079,0.0963924963924964,0.155,0.0873015873015873,0.107705144924982,0.20254884004884,0.201587301587302,0.18989898989899,0.105,0.143479764787271,0.3101406657455,0.420052936311001,0.420052936311001,0.142114690594645,0.133861331669501,0.133861331669501,0.133861331669501,-0.394652014652015,0.229537816980919,0.233333333333333,0.223860961085722,0.236848813245791,0.235104976805622,-0.430019041566912,0.2296387388635,-0.342011126281552,0.229885057471264,0.233333333333333,0.223860961085722,0.120072098085782,-0.0731088507435091,0.229885057471264,0.271367347340258,0.2,-0.0532017081998959,-0.18,-0.0428571428571429,-0.0953172275752921,-0.152626839098664
"CD44",0.385,0.383333333333333,0.35,0.3,0.2,0.415,0.385,0.382110579479001,0.325,0.3,0.204093567251462,0.361611721611722,0.197619047619048,0.266666666666667,0.26,0.186363636363636,0.183333333333333,0.15,0.2,0.1,0.197855477855478,0.258646616541353,0.242857142857143,0.2,0.2,-0.00238095238095239,0.438379398379398,0.420634920634921,0.420634920634921,0.218095238095238,0.180952380952381,0.180952380952381,0.180952380952381,-0.277777777777778,0.06,0,0,0.0963148479427549,0.0809302325581395,-0.431699604743083,0.06,-0.253171208337857,-0.1,0.1,0.1,0.064981684981685,-0.236309523809524,0,0.02,0.1,-0.159270981119721,-0.1,-0.1,-0.15,-0.423703703703704
"NFB",0.44539176626826,0.456028845416187,0.440206060606061,0.410606060606061,0.383333333333333,0.23987675070028,0.213079365079365,0.233079829280289,0.170857142857143,0.142857142857143,0.19265443019313,0.405901027077498,0.188890754781798,0.282754182754183,0.300531960531961,0.203499669174783,0.181827557755776,0.185925925925926,0.247619047619048,0.16,0.174320760823394,0.290324442582507,0.278066378066378,0.251082251082251,0.314285714285714,0.256952675807165,0.488753715095572,0.427160429810158,0.427160429810158,0.243805346367012,0.240322759302335,0.240322759302335,0.240322759302335,-0.389652014652015,0.178863920099875,0.161111111111111,0.181111111111111,0.186505661636749,0.182505661636749,-0.434339675386569,0.178286252354049,-0.435953514553867,0.176495726495726,0.161111111111111,0.181111111111111,0.208599211340063,-0.117518853695324,0.176495726495726,0.221175278622087,0.15,-0.0128252041386117,-0.3,-0.12,-0.196270753512133,-0.251380131708001
"cMet",0.414113924050633,0.417375886524823,0.383333333333333,0.35,0.3,0.424090909090909,0.415,0.412619054055272,0.385,0.325,0.21781905744754,0.387454418240935,0.21034632034632,0.26,0.27875,0.211363636363636,0.197619047619048,0.15,0.266666666666667,0.15,0.215246782203304,0.290561510158375,0.258646616541353,0.242857142857143,0.2,0.0176190476190476,0.46684655166407,0.462049062049062,0.462049062049062,0.242623539982031,0.218095238095238,0.218095238095238,0.218095238095238,-0.320634920634921,0.0827272727272727,-0.1,0.06,0.100834621954054,0.0963148479427549,-0.470762104743083,0.0809302325581395,-0.27530861291801,0,0,0.06,0.0788606885404038,-0.257277265745008,0.1,0.0533333333333333,0.1,-0.147108818957558,-0.2,-0.1,-0.186363636363636,-0.460740740740741
"Jagged",0.292857142857143,0.299555555555556,0.255555555555556,0.2,0.2,0.286666666666667,0.22,0.225,0.2,0.1,0.166666666666667,0.203,0.0714285714285714,0.0333333333333333,0.0888888888888889,0.091025641025641,0.0666666666666667,0.0333333333333333,0,0,0.0825108225108225,0.202857142857143,0.16,0.1,0,0.12,0.29333836098542,0.46207729468599,0.46207729468599,0.149090909090909,0.14,0.14,0.14,-0.405555555555556,0.112307692307692,0,0.12,0.120832500832501,0.115337995337995,-0.472121212121212,0.112307692307692,-0.320245614035088,0.1,0,0.12,0.166012438265959,-0.14367816091954,0.1,0.152857142857143,0,0.149559845559846,0,0,-0.0833333333333333,-0.235897435897436
"DELTA",0.292857142857143,0.299555555555556,0.255555555555556,0.2,0.2,0.286666666666667,0.22,0.225,0.2,0.1,0.166666666666667,0.203,0.0714285714285714,0.0333333333333333,0.0888888888888889,0.091025641025641,0.0666666666666667,0.0333333333333333,0,0,0.0825108225108225,0.202857142857143,0.16,0.1,0,0.12,0.29333836098542,0.46207729468599,0.46207729468599,0.149090909090909,0.14,0.14,0.14,-0.405555555555556,0.112307692307692,0,0.12,0.120832500832501,0.115337995337995,-0.472121212121212,0.112307692307692,-0.320245614035088,0.1,0,0.12,0.166012438265959,-0.14367816091954,0.1,0.152857142857143,0,0.149559845559846,0,0,-0.0833333333333333,-0.235897435897436
"STAT",0.241405589638719,0.233943843469015,0.230562200956938,0.214772727272727,0.177272727272727,0.251423149905123,0.235294117647059,0.163409973372464,0.2,0.2,0.0666666666666667,0.0980118166025213,0.0742073407740574,0.0638095238095238,0.0621146085552865,0.0656781230705906,0.0673107890499195,0.07,0.04,0.05,0.0607627651766679,0.0483137049099356,0.0492845786963434,0.0411764705882353,0,0.0279556650246305,0.126029563206597,0.465043930428546,0.465043930428546,-0.000849968519684455,-0.00831265508684863,-0.00831265508684863,-0.00831265508684863,-0.34742523271935,0.0362394957983193,0.0428571428571429,0.0303571428571429,0.0394667995534939,0.0379173359062949,-0.481092260968463,0.0363400488400488,-0.182783392055004,0.0303571428571429,0.0428571428571429,0.0303571428571429,0.0527508414730322,0.00842234089897642,0.0303571428571429,-0.0113043818926172,0.1,-0.0253209764398687,0,0,-0.0630232558139535,-0.192717181467181
"SMO",0.421034482758621,0.508693693693694,0.481666666666667,0.44,0.4,0.393240093240093,0.353846153846154,0.349078341013825,0.3,0.2,0.128937728937729,0.239106753812636,0.134285714285714,0.192857142857143,0.236857142857143,0.3075,0.12,0.253333333333333,0.15,0.333333333333333,0.188518518518519,0.308787878787879,0.278787878787879,0.233333333333333,0.1,0.255263157894737,0.381828133552272,0.482485875706215,0.482485875706215,0.338148479427549,0.328846153846154,0.328846153846154,0.328846153846154,-0.413888888888889,0.2625,0.2,0.2625,0.16797406136701,0.163462783171521,-0.492374924653406,0.156666666666667,-0.32142166931378,0.25,0.1,0.156666666666667,0.03861554789992,-0.299580354920161,0.15,0.301268846096432,0.1,0.258493444539956,0,-0.3,-0.290833333333333,-0.352857142857143
"SRC",0.432427637721755,0.425984848484848,0.404166666666667,0.370833333333333,0.333333333333333,0.35934819897084,0.327272727272727,0.322550403849768,0.327272727272727,0.3,0.126804038397881,0.268528483011242,0.117537932669512,0.173076923076923,0.18974358974359,0.103616557734205,0.109429824561404,0.0733333333333333,0.15,0.0333333333333333,0.118953775582216,0.192619047619048,0.178333333333333,0.145,0.15,0.0342857142857143,0.222081307290134,0.496263851452531,0.496263851452531,0.247638715060492,0.230972048393826,0.230972048393826,0.230972048393826,-0.363630490956072,0.0747540983606557,0,0.06,0.0827423124709848,0.0820711715313874,-0.507758746889182,0.0747540983606557,-0.252113431231078,0.05,0.1,0.06,0.0698469540487951,-0.169437229437229,0.05,0.0187598282969952,0,-0.0658026755852843,-0.1,-0.0333333333333333,-0.0918518518518519,-0.426816552623004
"NOTCH",0.319387755102041,0.318910394265233,0.299555555555556,0.255555555555556,0.2,0.336666666666667,0.286666666666667,0.229615384615385,0.22,0.2,0.171014492753623,0.214864406779661,0.0814285714285714,0.0888888888888889,0.111111111111111,0.091025641025641,0.0714285714285714,0.0833333333333333,0.0333333333333333,0.0333333333333333,0.0862145262145262,0.112534562211982,0.202857142857143,0.16,0,0.146315789473684,0.305507673154732,0.506521739130435,0.506521739130435,0.159235836627141,0.149090909090909,0.149090909090909,0.149090909090909,-0.46207729468599,0.115337995337995,0.1,0.112307692307692,0.124505970220256,0.120832500832501,-0.517835497835498,0.115337995337995,-0.336374646293152,0.12,0.1,0.112307692307692,0.174912961826169,-0.152769070010449,0.12,0.158517520215633,0,0.152363583877603,0,0,-0.091025641025641,-0.260035366931919
"FUS",0.443402903811252,0.526778800076672,0.508693693693694,0.481666666666667,0.44,0.424274575998714,0.393240093240093,0.360399095730806,0.353846153846154,0.3,0.144879757923236,0.254289999885935,0.145253456221198,0.236857142857143,0.259934065934066,0.316590909090909,0.134285714285714,0.290833333333333,0.192857142857143,0.253333333333333,0.198157072735386,0.322424242424242,0.308787878787879,0.278787878787879,0.15,0.262955465587045,0.393497792439166,0.51990918858965,0.51990918858965,0.34644542265899,0.338148479427549,0.338148479427549,0.338148479427549,-0.461429872495446,0.270192307692308,0.25,0.2625,0.171778409193097,0.16797406136701,-0.530988786039544,0.163462783171521,-0.336764135067205,0.2625,0.15,0.156666666666667,0.0458781177323222,-0.307272662612468,0.156666666666667,0.308101144233078,0.1,0.260099283956015,-0.1,-0.333333333333333,-0.3075,-0.380692194403535
"NOTCHic",0.327452271231073,0.325916763691985,0.318910394265233,0.299555555555556,0.255555555555556,0.356666666666667,0.336666666666667,0.239668294668295,0.286666666666667,0.22,0.184860646599777,0.220524784138152,0.0922199383350462,0.111111111111111,0.118087855297158,0.0985525227460711,0.0814285714285714,0.091025641025641,0.0888888888888889,0.0833333333333333,0.0934992944264467,0.117797720106718,0.112534562211982,0.202857142857143,0.0333333333333333,0.159952153110048,0.31412490762367,0.532447665056361,0.532447665056361,0.168595442538471,0.159235836627141,0.159235836627141,0.159235836627141,-0.501363008971705,0.120714339424017,0.12,0.115337995337995,0.127101390067584,0.124505970220256,-0.547315266621625,0.120832500832501,-0.346634983199737,0.112307692307692,0.12,0.115337995337995,0.18120099428053,-0.159380640258383,0.112307692307692,0.164073075771189,0.1,0.154030250544269,0,-0.0333333333333333,-0.091025641025641,-0.269894521861496
"ZEB1",0.331286521628752,0.332024937742302,0.324544622781672,0.313884724304514,0.292145593869732,0.254537444933921,0.24,0.224088529411608,0.22,0.2,0.168550853291786,0.258690805441234,0.159152682318145,0.194403221167673,0.200117506881959,0.180692047119721,0.154344990010453,0.171969696969697,0.179649122807018,0.158333333333333,0.157185649410205,0.196135148274186,0.191176470588235,0.183333333333333,0.153333333333333,0.176374269005848,0.238852649126622,0.533643688821394,0.533643688821394,0.208470886905737,0.202014193992351,0.202014193992351,0.202014193992351,-0.508516892636133,0.0691538157592973,0.0619047619047619,0.0633118913606718,0.0660501590926389,0.0647781434370616,-0.557387206681714,0.063448356203019,-0.345995057323308,0.059465737514518,0.0564102564102564,0.0578928006474635,0.126442667294324,-0.15068863781634,0.0539712320200125,0.165448920006512,0.0333333333333333,0.132730194407441,-0.133333333333333,-0.133333333333333,-0.173930481283422,-0.232314133319936
"cfos",0.328458017353283,0.328304048892284,0.320728291316527,0.295238095238095,0.242857142857143,0.353249815770081,0.327826086956522,0.243352512466436,0.28,0.32,0.0813593203398301,0.227281385281385,0.090126301416624,0.108333333333333,0.118859649122807,0.0997866530124595,0.0788359788359788,0.0928571428571428,0.0833333333333333,0.0761904761904762,0.0978125,0.12,0.115384615384615,0.1,0.0333333333333333,0.147222222222222,0.342053591177679,0.533688842768746,0.533688842768746,0.186030075987034,0.175054466230937,0.175054466230937,0.175054466230937,-0.501936507936508,0.154191033138402,0.15,0.146296296296296,0.161577121676132,0.159354899453909,-0.548629148629149,0.154404404404404,-0.371650960563337,0.15,0.15,0.146296296296296,0.210899682036485,-0.176902056277056,0.15,0.191658456486043,0.1,0.178926552203469,0,-0.0333333333333333,-0.0960829493087557,-0.274405594405594
"CDC42",0.328458017353283,0.328304048892284,0.320728291316527,0.295238095238095,0.342857142857143,0.353249815770081,0.327826086956522,0.243352512466436,0.28,0.22,0.0813593203398301,0.227281385281385,0.090126301416624,0.108333333333333,0.118859649122807,0.0997866530124595,0.0788359788359788,0.0928571428571428,0.0833333333333333,0.0761904761904762,0.0978125,0.12,0.115384615384615,0.1,0.0333333333333333,0.147222222222222,0.342053591177679,0.533688842768746,0.533688842768746,0.186030075987034,0.175054466230937,0.175054466230937,0.175054466230937,-0.501936507936508,0.154191033138402,0.15,0.146296296296296,0.161577121676132,0.159354899453909,-0.548629148629149,0.154404404404404,-0.371650960563337,0.15,0.15,0.146296296296296,0.210899682036485,-0.176902056277056,0.15,0.191658456486043,0.1,0.178926552203469,0,-0.0333333333333333,-0.0960829493087557,-0.274405594405594
"TCFLEF",0.557379682382068,0.532781006690868,0.521191602717358,0.513714967203339,0.497435897435897,0.489238427078148,0.480394889663182,0.381628840708339,0.46801393728223,0.431428571428571,0.199542106765629,0.336491175440072,0.179039578783566,0.266290741516548,0.273899437168722,0.231269589965414,0.173494645705172,0.208095238095238,0.263064935064935,0.203333333333333,0.186576999689917,0.320522483903752,0.310887932408736,0.30892714809501,0.235064935064935,0.157760171963765,0.344130882531803,0.548005715045189,0.548005715045189,0.311256450280635,0.304029117823342,0.304029117823342,0.304029117823342,-0.42543449197861,0.116876048078094,0.0941176470588235,0.106938159879336,0.016054589632201,0.0139927339620979,-0.561077556981172,0.109754475084664,-0.388245387785158,0.0941176470588235,0.0875,0.100320512820513,0.240298163741404,-0.283641977154736,0.0875,0.455398290598291,0.1,0.22379573176644,-0.171428571428571,-0.183333333333333,-0.217772657450077,-0.399661110345778
"Csl",0.335498248242567,0.333399756889263,0.325916763691985,0.318910394265233,0.299555555555556,0.367536231884058,0.356666666666667,0.249549717593196,0.336666666666667,0.286666666666667,0.198586136795855,0.227973994070432,0.0994421605572685,0.118087855297158,0.128165374677003,0.107173212401244,0.0922199383350462,0.091025641025641,0.111111111111111,0.091025641025641,0.0997492944264467,0.125979538288537,0.117797720106718,0.112534562211982,0.0888888888888889,0.159139144979967,0.320314318511067,0.551784681630946,0.551784681630946,0.174110148420824,0.168595442538471,0.168595442538471,0.168595442538471,-0.525648723257419,0.124746597488533,0.112307692307692,0.120714339424017,0.128645129347173,0.127101390067584,-0.566705244835133,0.124505970220256,-0.353379169246249,0.115337995337995,0.112307692307692,0.120832500832501,0.185023624249949,-0.163651627003597,0.115337995337995,0.168443255719775,0.12,0.155188081135372,-0.0333333333333333,-0.0833333333333333,-0.0985525227460711,-0.285101895133385
"TGF",0.501506211180124,0.502857142857143,0.574285714285714,0.526666666666667,0.46,0.46578111946533,0.423558897243108,0.404278448823903,0.376190476190476,0.333333333333333,0.231850419084462,0.378888888888889,0.22603128054741,0.315476190476191,0.331265664160401,0.233074712643678,0.211515151515151,0.203333333333333,0.258333333333333,0.153333333333333,0.241378252331861,0.340574712643678,0.323333333333333,0.273333333333333,0.233333333333333,0.171052631578947,0.370312690056358,0.552522941081293,0.552522941081293,0.298809523809524,0.277380952380952,0.277380952380952,0.277380952380952,-0.507068395626748,0.179838274932615,0.1,0.162857142857143,0.18753934579158,0.180840781198279,-0.561729027677303,0.170314465408805,-0.414527463499366,0.142857142857143,0.1,0.153333333333333,0.209888101004553,-0.293100984686112,0.133333333333333,0.199559082892416,0,0.042133177394253,-0.2,-0.133333333333333,-0.220574712643678,-0.3995670995671
"PAK1",0.336733879422248,0.33650077020376,0.328304048892284,0.320728291316527,0.295238095238095,0.366583149103414,0.353249815770081,0.254092369268346,0.327826086956522,0.28,0.0960652026927713,0.23434660267269,0.097868236900495,0.118859649122807,0.126267056530214,0.109786653012459,0.090126301416624,0.0960829493087557,0.108333333333333,0.0928571428571428,0.105174463190184,0.127692307692308,0.12,0.115384615384615,0.0833333333333333,0.148212321232123,0.348925200580934,0.553946077495434,0.553946077495434,0.193302803259762,0.186030075987034,0.186030075987034,0.186030075987034,-0.528166016133229,0.159556886796938,0.15,0.154191033138402,0.16350815615889,0.161577121676132,-0.568933717157067,0.159354899453909,-0.37947102976749,0.146296296296296,0.15,0.154404404404404,0.21566158679839,-0.182356601731602,0.146296296296296,0.197318833844533,0.15,0.180279935662115,-0.0333333333333333,-0.0761904761904762,-0.0997866530124595,-0.287112776726036
"LIV1",0.336733879422248,0.33650077020376,0.328304048892284,0.320728291316527,0.295238095238095,0.366583149103414,0.353249815770081,0.254092369268346,0.327826086956522,0.28,0.0960652026927713,0.23434660267269,0.097868236900495,0.118859649122807,0.126267056530214,0.109786653012459,0.090126301416624,0.0960829493087557,0.108333333333333,0.0928571428571428,0.105174463190184,0.127692307692308,0.12,0.115384615384615,0.0833333333333333,0.148212321232123,0.348925200580934,0.553946077495434,0.553946077495434,0.193302803259762,0.186030075987034,0.186030075987034,0.186030075987034,-0.528166016133229,0.159556886796938,0.15,0.154191033138402,0.16350815615889,0.161577121676132,-0.568933717157067,0.159354899453909,-0.37947102976749,0.146296296296296,0.15,0.154404404404404,0.21566158679839,-0.182356601731602,0.146296296296296,0.197318833844533,0.15,0.180279935662115,-0.0333333333333333,-0.0761904761904762,-0.0997866530124595,-0.287112776726036
"EGR1",0.336733879422248,0.33650077020376,0.328304048892284,0.320728291316527,0.295238095238095,0.366583149103414,0.353249815770081,0.254092369268346,0.327826086956522,0.28,0.0960652026927713,0.23434660267269,0.097868236900495,0.118859649122807,0.126267056530214,0.109786653012459,0.090126301416624,0.0960829493087557,0.108333333333333,0.0928571428571428,0.105174463190184,0.127692307692308,0.12,0.115384615384615,0.0833333333333333,0.148212321232123,0.348925200580934,0.553946077495434,0.553946077495434,0.193302803259762,0.186030075987034,0.186030075987034,0.186030075987034,-0.528166016133229,0.159556886796938,0.15,0.154191033138402,0.16350815615889,0.161577121676132,-0.568933717157067,0.159354899453909,-0.37947102976749,0.146296296296296,0.15,0.154404404404404,0.21566158679839,-0.182356601731602,0.146296296296296,0.197318833844533,0.15,0.180279935662115,-0.0333333333333333,-0.0761904761904762,-0.0997866530124595,-0.287112776726036
"SNAI1",0.345755480438767,0.344766899236018,0.33650077020376,0.328304048892284,0.320728291316527,0.376000189462159,0.366583149103414,0.161743614819947,0.353249815770081,0.327826086956522,0.104398536026105,0.2406030129291,0.100943267650802,0.126267056530214,0.137378167641326,0.116582769517314,0.097868236900495,0.0997866530124595,0.118859649122807,0.0960829493087557,0.109409757307831,0.136263736263736,0.127692307692308,0.12,0.108333333333333,0.148589679722689,0.353786078891359,0.569321231246972,0.569321231246972,0.196751079121831,0.193302803259762,0.193302803259762,0.193302803259762,-0.547792184357528,0.162299117144287,0.146296296296296,0.159556886796938,0.164695559359716,0.16350815615889,-0.585360230125367,0.161577121676132,-0.385558438716501,0.154191033138402,0.146296296296296,0.159354899453909,0.21859768351687,-0.185326898761305,0.154404404404404,0.200815337341037,0.15,0.181211953205975,-0.0833333333333333,-0.0928571428571428,-0.109786653012459,-0.299665077981266
"SMAD",0.391958220744256,0.38958206941576,0.376833065431696,0.363983903420523,0.342857142857143,0.394861627494786,0.37947701211017,0.301461297215329,0.356221198156682,0.314285714285714,0.222312694259516,0.264249863037079,0.106397164479356,0.229645191409897,0.245645191409897,0.224631975944431,0.19973049781269,0.200833333333333,0.21984126984127,0.195833333333333,0.215313782991202,0.241932129173508,0.228440065681445,0.218095238095238,0.205555555555556,0.176966873706004,0.345795921310509,0.575805873064212,0.575805873064212,0.276600856796616,0.269692962059774,0.269692962059774,0.269692962059774,-0.546319694947289,0.158376375822419,0.133333333333333,0.154059829059829,0.148976653286294,0.14695031083442,-0.588881326864003,0.144915032679739,-0.379245650154456,0.144444444444444,0.12,0.140915032679739,0.188822047834421,-0.220862003493582,0.131111111111111,0.18656699569984,0.12,0.0827878936697043,-0.15,-0.183333333333333,-0.214594801223242,-0.320861571923728
"TGFR",0.521156866201958,0.522006079027356,0.502857142857143,0.574285714285714,0.526666666666667,0.490438653711905,0.46578111946533,0.422862519620363,0.423558897243108,0.376190476190476,0.248268329532223,0.392767892447608,0.236351565244918,0.331265664160401,0.345219152532494,0.248328949931814,0.22603128054741,0.220574712643678,0.315476190476191,0.203333333333333,0.253697092911571,0.355682626312743,0.340574712643678,0.323333333333333,0.258333333333333,0.189571150097466,0.385821949315617,0.586862563722803,0.586862563722803,0.314598997493734,0.298809523809524,0.298809523809524,0.298809523809524,-0.549925538483891,0.190806016868098,0.142857142857143,0.179838274932615,0.190107990610004,0.18753934579158,-0.597212898645045,0.180840781198279,-0.430030018865635,0.162857142857143,0.133333333333333,0.170314465408805,0.218664082528802,-0.304592427228899,0.153333333333333,0.213722173021172,0.1,0.0467702741684465,-0.233333333333333,-0.153333333333333,-0.233074712643678,-0.420995670995671
"GLI",0.411422106123151,0.508858496944646,0.49497614400347,0.479252873563218,0.451666666666667,0.497256941953075,0.48012987012987,0.330981803028817,0.452857142857143,0.402857142857143,0.151224468796625,0.282716006875599,0.149892397470331,0.175408759995226,0.189471259995226,0.264789067023821,0.142324829902763,0.239786967418546,0.165204678362573,0.234523809523809,0.158552261449543,0.187754199823165,0.174420866489832,0.164420866489832,0.138888888888889,0.168186032256829,0.380769526271993,0.598067929680833,0.598067929680833,0.303636399964676,0.293933429667647,0.293933429667647,0.293933429667647,-0.566954096954097,0.189852638378618,0.26,0.282618595825427,0.184791208989551,0.182340521601625,-0.611361662073736,0.178769093030196,-0.417546692754277,0.269677419354839,0.15,0.171872541306058,0.226655019680721,-0.288839472187225,0.159677419354839,0.214432367149758,0.15,0.156270940137428,-0.0833333333333333,-0.20952380952381,-0.25203186537773,-0.354734864605768
