"","TGF","FOXC2","TGFR","CDC42","PAK1","SNAI1","MEK","ERK","EGR1","cfos","HEY1","SHH","SMAD","ILK","SMO","FUS","TWIST1","AKT","IKK","NFB","Jagged","Csn","NOTCH","Wnt","GLI","Frizzled","DSH","NOTCHic","Csl","SOSGRB2","ZEB2","ZEB1","SNAI2","KLF4","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","TCFLEF","CD44","cMet","SRC","STAT","AXIN2","TrCP","LIV1","Destcompl","SUFU","Patched","RKIP"
"CD44",0.38258064516129,0.38258064516129,0.36,0.3,0.2,0.375555555555556,0.415,0.385,0.3,0.325,0.204093567251462,0.183333333333333,0.197619047619048,0.183333333333333,0.15,0.1,0.355806938159879,0.26,0.266666666666667,0.2,0.188531468531469,0.2,0.24812030075188,0,0,0,0,0.242857142857143,0.2,-0.00238095238095239,0.424119241192412,0.424119241192412,0.439156399156399,-0.277777777777778,-0.144450549450549,0.203809523809524,0.166666666666667,0.166666666666667,0.166666666666667,-0.284158469945355,-0.223809523809524,-0.434460547504026,0.132277877161598,0.0861240310077519,0.0233333333333333,0.05,0,0.1,-0.02,-0.1,0.1,-0.159085452362763,-0.1,-0.161111111111111,-0.427692307692308
"NFB",0.526929711842912,0.526929711842912,0.483267740011926,0.425128205128205,0.371794871794872,0.293224455860083,0.297269612881124,0.246190476190476,0.142857142857143,0.176190476190476,0.193254919807,0.179417268110131,0.190131553824417,0.179417268110131,0.166666666666667,0.133333333333333,0.557448912326961,0.35897350552523,0.321042471042471,0.264285714285714,0.312560278766223,0.314285714285714,0.403704336599073,0,0.1,0,0,0.362914862914863,0.307359307359307,0.315677339901478,0.455124439217231,0.455124439217231,0.696396175074796,-0.398254444387954,-0.609268903450086,0.413889959070247,0.380219072994298,0.380219072994298,0.380219072994298,-0.724824748987981,-0.251119273605461,-0.460313572086018,0.462626645855567,0.437949226500729,0.409193861693862,0.376239316239316,0.331623931623932,0.277777777777778,0.443308761226911,-0.3,0.2,0.158859387465585,-0.1,-0.170114942528736,-0.295210345210345
"Jagged",0.309523809523809,0.309523809523809,0.242857142857143,0.2,0.2,0.240701754385965,0.286666666666667,0.22,0.1,0.2,0.166666666666667,0.0666666666666667,0.0714285714285714,0.0666666666666667,0.0333333333333333,0,0.290217391304348,0.0888888888888889,0.0333333333333333,0,0.166493506493506,0,0.231428571428571,0,0,0,0,0.16,0.1,0.12,0.457936507936508,0.457936507936508,0.43868778280543,-0.405555555555556,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.512323666308629,-0.23639846743295,-0.469264069264069,0.350949050949051,0.314685314685315,0.269230769230769,0.2,0.1,0,0.28,0,0,0.300540540540541,0,-0.0666666666666667,-0.23030303030303
"DELTA",0.309523809523809,0.309523809523809,0.242857142857143,0.2,0.2,0.240701754385965,0.286666666666667,0.22,0.1,0.2,0.166666666666667,0.0666666666666667,0.0714285714285714,0.0666666666666667,0.0333333333333333,0,0.290217391304348,0.0888888888888889,0.0333333333333333,0,0.166493506493506,0,0.231428571428571,0,0,0,0,0.16,0.1,0.12,0.457936507936508,0.457936507936508,0.43868778280543,-0.405555555555556,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.512323666308629,-0.23639846743295,-0.469264069264069,0.350949050949051,0.314685314685315,0.269230769230769,0.2,0.1,0,0.28,0,0,0.300540540540541,0,-0.0666666666666667,-0.23030303030303
"cMet",0.409607672188317,0.409607672188317,0.38258064516129,0.36,0.3,0.401769147788565,0.422407407407407,0.415,0.325,0.385,0.21781905744754,0.197619047619048,0.211637739207833,0.197619047619048,0.161111111111111,0.15,0.396983408748115,0.2725,0.26,0.266666666666667,0.225487990270599,0.2,0.280035194368901,0,0.1,0,0,0.24812030075188,0.242857142857143,0.0148604269293924,0.462417113532837,0.462417113532837,0.489339549339549,-0.324119241192412,-0.197307692307692,0.245318957771788,0.203809523809524,0.203809523809524,0.203809523809524,-0.334417537302868,-0.259293394777266,-0.472165465536813,0.166555497558199,0.132277877161598,0.0861240310077519,0.0233333333333333,0.05,0,0.0419047619047619,-0.2,0.1,-0.127328695606007,-0.1,-0.183333333333333,-0.455692307692308
"STAT",0.233298203156511,0.233298203156511,0.219429590017825,0.193939393939394,0.166666666666667,0.162808207765003,0.220680571749363,0.205017921146953,0.2,0.188888888888889,0.062962962962963,0.0666666666666667,0.0702127659574468,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.0900483829895595,0.045,0.0342857142857143,0.02,0.0709838201014672,0,0.0344027556968734,0,0,0,0,0.0204027556968733,-0.00392156862745098,0.00861195542046606,0.465955685063905,0.465955685063905,0.108559511263887,-0.349649122807018,-0.0680563143297531,-0.028126788280326,-0.0429556856187291,-0.0429556856187291,-0.0429556856187291,-0.214910987853952,0.0410184767913475,-0.482102111484287,0.035928768469793,0.0248722574132819,0.0123320644872369,-0.00146103896103896,-0.0196428571428571,-0.0571428571428571,-0.0425026586316909,0,0,-0.0624365579708966,-0.0333333333333333,-0.0666666666666667,-0.187894736842105
"SMO",0.531301587301587,0.43015873015873,0.487301587301587,0.442857142857143,0.4,0.366041666666667,0.39,0.35,0.2,0.3,0.128888888888889,0.222222222222222,0.131372549019608,0.117647058823529,0.166666666666667,0.233333333333333,0.270666666666667,0.238311688311688,0.192857142857143,0.15,0.239139194139194,0.1,0.324733824733825,0.2,0.2,0.1,0.1,0.278787878787879,0.233333333333333,0.22,0.481428571428571,0.481428571428571,0.453799268497694,-0.41,-0.393283056812469,0.378311758199049,0.345781637717122,0.345781637717122,0.345781637717122,-0.439916851441242,-0.332215060155171,-0.491458333333333,0.296821192805445,0.270836940836941,0.23952380952381,0.196666666666667,0.15,0.1,0.365504670767829,0,0.1,0.317272727272727,-0.2,-0.2,-0.36
"TWIST1",0.528496145643445,0.528273783900129,0.48986798679868,0.443333333333333,0.383333333333333,0.477323472485654,0.468686868686869,0.424827219564062,0.277777777777778,0.367251461988304,0.249411764705882,0.218017543859649,0.234757009345794,0.217,0.158333333333333,0.133333333333333,0.452350849737803,0.462710622710623,0.417948717948718,0.369230769230769,0.409137533389698,0.3,0.419959595959596,0.1,0.1,0,0,0.379555555555556,0.335555555555555,0.292380952380952,0.485862884160756,0.485862884160756,0.725199794875941,-0.388940568475452,-0.650897600621894,0.447564427871674,0.418152663165791,0.418152663165791,0.418152663165791,-0.819043461585046,-0.399333972297297,-0.493854283387522,0.462966893911785,0.441381528058126,0.415301528058126,0.38389656938044,0.348412698412698,0.309523809523809,0.459552825349549,-0.2,0.266666666666667,0.394644145083502,-0.1,-0.194333333333333,-0.463790849673203
"SRC",0.420657568238213,0.420657568238213,0.395657568238213,0.373076923076923,0.35,0.316148350813193,0.341390374331551,0.321390374331551,0.3,0.327272727272727,0.12959649122807,0.112485380116959,0.118367733058136,0.112485380116959,0.0916666666666667,0.0666666666666667,0.267674817674818,0.168803418803419,0.157692307692308,0.15,0.112120222544751,0.15,0.168809523809524,0,0,0,0,0.143809523809524,0.12,0.0201923076923077,0.49618994897468,0.49618994897468,0.209235055643325,-0.367941176470588,-0.112543510264539,0.220217574767442,0.191973299958281,0.191973299958281,0.191973299958281,-0.279902110348335,-0.153120050681026,-0.508118619348566,0.0831220268455366,0.0620335914713869,0.0344262295081967,0,-0.05,0,-0.0271686004505079,-0.1,0,-0.079275694965591,-0.0333333333333333,-0.0969298245614035,-0.415185185185185
"NOTCH",0.366666666666667,0.366666666666667,0.309523809523809,0.242857142857143,0.2,0.27531713900135,0.348205128205128,0.286666666666667,0.2,0.22,0.171014492753623,0.0714285714285714,0.0788359788359788,0.0714285714285714,0.0666666666666667,0.0333333333333333,0.334661835748792,0.133333333333333,0.0888888888888889,0.0333333333333333,0.196123136123136,0,0.186267281105991,0,0,0,0,0.231428571428571,0.16,0.161176470588235,0.51112799729821,0.51112799729821,0.487350884409708,-0.457936507936508,-0.483314703033013,0.303451910408432,0.252727272727273,0.252727272727273,0.252727272727273,-0.570129573481624,-0.277307558342041,-0.520083741395217,0.382636293747405,0.350949050949051,0.314685314685315,0.269230769230769,0.2,0.1,0.338490566037736,0,0,0.329512503157363,0,-0.0666666666666667,-0.271969696969697
"FUS",0.570011264720942,0.468868407578085,0.531301587301587,0.487301587301587,0.442857142857143,0.391507505175983,0.427837837837838,0.39,0.3,0.35,0.144678362573099,0.235947712418301,0.142483660130719,0.131372549019608,0.2,0.166666666666667,0.303600798403194,0.271645021645022,0.238311688311688,0.192857142857143,0.264472527472527,0.15,0.362083222324186,0.2,0.2,0.2,0.1,0.324733824733825,0.278787878787879,0.24,0.525178571428571,0.525178571428571,0.487765112899971,-0.458,-0.430483056812469,0.407078881486721,0.378311758199049,0.378311758199049,0.378311758199049,-0.481596240754219,-0.355560007890363,-0.535208333333333,0.318899114883367,0.296821192805445,0.270836940836941,0.23952380952381,0.196666666666667,0.15,0.401402106665265,-0.1,0.1,0.334140197152245,-0.233333333333333,-0.222222222222222,-0.396842105263158
"cfos",0.389850427350427,0.389850427350427,0.351388888888889,0.295833333333333,0.233333333333333,0.291523692810458,0.382693602693603,0.334545454545455,0.32,0.28,0.0801054018445323,0.0773109243697479,0.089237529874335,0.0773109243697479,0.0666666666666667,0.0666666666666667,0.352726792033541,0.157675438596491,0.120833333333333,0.0833333333333333,0.208411111111111,0.0333333333333333,0.212051282051282,0,0,0,0,0.17051282051282,0.116666666666667,0.181720430107527,0.546732026143791,0.546732026143791,0.534703901762725,-0.502222222222222,-0.530503135680167,0.344426734565674,0.303322440087146,0.303322440087146,0.303322440087146,-0.607123817359112,-0.309859250696947,-0.559406090985038,0.425767903466254,0.398324294443697,0.365985985985986,0.328148148148148,0.28,0.2,0.39512315270936,0,0.1,0.364971420234578,-0.0333333333333333,-0.0714285714285714,-0.299030303030303
"CDC42",0.389850427350427,0.389850427350427,0.351388888888889,0.295833333333333,0.333333333333333,0.291523692810458,0.382693602693603,0.334545454545455,0.22,0.28,0.0801054018445323,0.0773109243697479,0.089237529874335,0.0773109243697479,0.0666666666666667,0.0666666666666667,0.352726792033541,0.157675438596491,0.120833333333333,0.0833333333333333,0.208411111111111,0.0333333333333333,0.212051282051282,0,0,0,0,0.17051282051282,0.116666666666667,0.181720430107527,0.546732026143791,0.546732026143791,0.534703901762725,-0.502222222222222,-0.530503135680167,0.344426734565674,0.303322440087146,0.303322440087146,0.303322440087146,-0.607123817359112,-0.309859250696947,-0.559406090985038,0.425767903466254,0.398324294443697,0.365985985985986,0.328148148148148,0.28,0.2,0.39512315270936,0,0.1,0.364971420234578,-0.0333333333333333,-0.0714285714285714,-0.299030303030303
"TGF",0.528942577030812,0.527694805194805,0.581323529411765,0.5225,0.46,0.421900320466829,0.472396106545433,0.423558897243108,0.333333333333333,0.376190476190476,0.231850419084462,0.215467720685112,0.22507447354905,0.211515151515151,0.193333333333333,0.153333333333333,0.460510835913313,0.341791979949875,0.315476190476191,0.258333333333333,0.319691948944526,0.233333333333333,0.38816091954023,0.1,0.1,0.1,0,0.343333333333333,0.273333333333333,0.177777777777778,0.554309347343403,0.554309347343403,0.510597389545493,-0.505289739500266,-0.514001468121391,0.397619047619048,0.34047619047619,0.34047619047619,0.34047619047619,-0.596631067043518,-0.375373528406796,-0.562509505419953,0.426778320983882,0.388316782522344,0.342264150943396,0.28,0.2,0.1,0.356084656084656,-0.2,0,0.180510097044069,-0.133333333333333,-0.206376811594203,-0.400918204602415
"NOTCHic",0.406289308176101,0.406289308176101,0.366666666666667,0.309523809523809,0.242857142857143,0.304650472334683,0.400586080586081,0.348205128205128,0.22,0.286666666666667,0.182878899533284,0.0788359788359788,0.0923953008698771,0.0788359788359788,0.0666666666666667,0.0666666666666667,0.370278274104957,0.172868217054264,0.133333333333333,0.0888888888888889,0.221640377502446,0.0333333333333333,0.228372544263885,0,0,0,0,0.186267281105991,0.231428571428571,0.207122416534181,0.554490829156617,0.554490829156617,0.527350884409708,-0.504875283446712,-0.527898036366346,0.343750417871119,0.303451910408432,0.303451910408432,0.303451910408432,-0.617446646652356,-0.308140891675374,-0.56665908386097,0.409427571005972,0.382636293747405,0.350949050949051,0.314685314685315,0.269230769230769,0.2,0.38293501048218,0,0.1,0.351920529913216,-0.0333333333333333,-0.0714285714285714,-0.309900731452456
"PAK1",0.421596459096459,0.421850427350427,0.389850427350427,0.351388888888889,0.295833333333333,0.317743205005579,0.427878787878788,0.382693602693603,0.28,0.334545454545455,0.0974607737453587,0.0890226360814596,0.10145127033235,0.089237529874335,0.0714285714285714,0.0666666666666667,0.383884062063214,0.187199248120301,0.157675438596491,0.120833333333333,0.233572401433692,0.0833333333333333,0.245012175906031,0,0.0333333333333333,0,0,0.212051282051282,0.17051282051282,0.206426312460468,0.583130493576741,0.583130493576741,0.568653948016194,-0.538071278825996,-0.567683835774775,0.37883782001602,0.344426734565674,0.344426734565674,0.344426734565674,-0.646222117433021,-0.335594544814594,-0.595550669298291,0.448115852546876,0.425767903466254,0.398324294443697,0.365985985985986,0.328148148148148,0.28,0.432662584886016,-0.0333333333333333,0.2,0.384062329325487,-0.0666666666666667,-0.0773109243697479,-0.331030303030303
"LIV1",0.421596459096459,0.421850427350427,0.389850427350427,0.351388888888889,0.295833333333333,0.317743205005579,0.427878787878788,0.382693602693603,0.28,0.334545454545455,0.0974607737453587,0.0890226360814596,0.10145127033235,0.089237529874335,0.0714285714285714,0.0666666666666667,0.383884062063214,0.187199248120301,0.157675438596491,0.120833333333333,0.233572401433692,0.0833333333333333,0.245012175906031,0,0.0333333333333333,0,0,0.212051282051282,0.17051282051282,0.206426312460468,0.583130493576741,0.583130493576741,0.568653948016194,-0.538071278825996,-0.567683835774775,0.37883782001602,0.344426734565674,0.344426734565674,0.344426734565674,-0.646222117433021,-0.335594544814594,-0.595550669298291,0.448115852546876,0.425767903466254,0.398324294443697,0.365985985985986,0.328148148148148,0.28,0.432662584886016,-0.0333333333333333,0.2,0.384062329325487,-0.0666666666666667,-0.0773109243697479,-0.331030303030303
"EGR1",0.421596459096459,0.421850427350427,0.389850427350427,0.351388888888889,0.295833333333333,0.317743205005579,0.427878787878788,0.382693602693603,0.28,0.334545454545455,0.0974607737453587,0.0890226360814596,0.10145127033235,0.089237529874335,0.0714285714285714,0.0666666666666667,0.383884062063214,0.187199248120301,0.157675438596491,0.120833333333333,0.233572401433692,0.0833333333333333,0.245012175906031,0,0.0333333333333333,0,0,0.212051282051282,0.17051282051282,0.206426312460468,0.583130493576741,0.583130493576741,0.568653948016194,-0.538071278825996,-0.567683835774775,0.37883782001602,0.344426734565674,0.344426734565674,0.344426734565674,-0.646222117433021,-0.335594544814594,-0.595550669298291,0.448115852546876,0.425767903466254,0.398324294443697,0.365985985985986,0.328148148148148,0.28,0.432662584886016,-0.0333333333333333,0.2,0.384062329325487,-0.0666666666666667,-0.0773109243697479,-0.331030303030303
"ZEB1",0.444588342799806,0.443670857462476,0.412823636917454,0.375510204081633,0.328571428571429,0.313394957983193,0.353015245623941,0.313015245623941,0.213636363636364,0.270158102766798,0.179193724048737,0.162361585782638,0.169606642869801,0.159080327080327,0.141428571428571,0.134285714285714,0.458812349715035,0.284067064212255,0.251736237144586,0.220701754385965,0.332152875053178,0.173333333333333,0.361145104895105,0.1,0.1,0.1,0.1,0.326957070707071,0.289583333333333,0.267297703742264,0.585415168635508,0.585415168635508,0.522817826368059,-0.535797101449275,-0.637992975257203,0.448873052077387,0.418452340103277,0.418452340103277,0.418452340103277,-0.638930540249278,-0.383407358318311,-0.603577351131042,0.49212532649996,0.472084634740041,0.447494470805615,0.418872562678407,0.38223889931207,0.335897435897436,0.478906280803369,-0.133333333333333,0.266666666666667,0.397402596066263,-0.114285714285714,-0.15051948051948,-0.307530544919965
"Csl",0.438504073276772,0.438721740608533,0.406289308176101,0.366666666666667,0.309523809523809,0.33182995951417,0.445708031805593,0.400586080586081,0.286666666666667,0.348205128205128,0.202575869230254,0.0921693121693122,0.106000743046748,0.0923953008698771,0.0714285714285714,0.0666666666666667,0.401621557687046,0.204575534127434,0.172868217054264,0.133333333333333,0.247402150355632,0.0888888888888889,0.26201740407697,0,0.0333333333333333,0,0,0.228372544263885,0.186267281105991,0.229894693761904,0.592328666994455,0.592328666994455,0.560786467231794,-0.542163419039932,-0.564731767472154,0.376958673030593,0.343750417871119,0.343750417871119,0.343750417871119,-0.656806345334089,-0.333215518541046,-0.604425041307779,0.431361533270123,0.409427571005972,0.382636293747405,0.350949050949051,0.314685314685315,0.269230769230769,0.419369119009312,-0.0333333333333333,0.2,0.370147130898437,-0.0666666666666667,-0.0788359788359788,-0.343991640543365
"TGFR",0.569829276538201,0.568581504702194,0.528942577030812,0.581323529411765,0.5225,0.454757463323972,0.512975816690361,0.472396106545433,0.376190476190476,0.423558897243108,0.247475419084462,0.22902704271901,0.236358520241657,0.22507447354905,0.206376811594203,0.193333333333333,0.500740720970784,0.374350119484758,0.341791979949875,0.315476190476191,0.351543800796378,0.258333333333333,0.432045811626561,0.1,0.133333333333333,0.1,0.1,0.38816091954023,0.343333333333333,0.214764079147641,0.597288070747658,0.597288070747658,0.557435797039638,-0.551443585654112,-0.564236209905428,0.442913165266106,0.397619047619048,0.397619047619048,0.397619047619048,-0.648318456031084,-0.410508663541932,-0.606116062797002,0.457540652822447,0.426778320983882,0.388316782522344,0.342264150943396,0.28,0.2,0.410591093852896,-0.233333333333333,0.1,0.207984844518816,-0.153333333333333,-0.215467720685112,-0.435918204602415
"SMAD",0.482444396813489,0.48074363327674,0.447560675883257,0.407238095238095,0.355238095238095,0.367179746221624,0.460831486278889,0.415376940824344,0.314285714285714,0.366009852216749,0.226005928641614,0.209211486394067,0.111972721860782,0.20029181017987,0.183449883449883,0.175757575757576,0.422117590389711,0.310866013071895,0.276143790849673,0.238888888888889,0.353173882695367,0.205555555555556,0.365780768152509,0.1,0.133333333333333,0.1,0.1,0.329195402298851,0.286666666666667,0.23777150385846,0.609212105845473,0.609212105845473,0.573149633018419,-0.5598916827853,-0.576732728140124,0.461071695606396,0.426733337147434,0.426733337147434,0.426733337147434,-0.668261031239017,-0.371377927145362,-0.619945692195038,0.445423244255203,0.422610744255203,0.394710191769015,0.360644257703081,0.321428571428571,0.271428571428571,0.428414589933954,-0.15,0.2,0.280232986086064,-0.166666666666667,-0.196882719270779,-0.367279411764706
"SNAI1",0.450338974066519,0.450572231861706,0.421596459096459,0.389850427350427,0.351388888888889,0.241497550312648,0.462049642150145,0.427878787878788,0.334545454545455,0.382693602693603,0.113432995967581,0.101475466270139,0.110596697618707,0.10145127033235,0.0773109243697479,0.0714285714285714,0.411053011834904,0.216611012826183,0.187199248120301,0.157675438596491,0.255990537453843,0.120833333333333,0.275667567026538,0.0333333333333333,0.0666666666666667,0,0,0.245012175906031,0.212051282051282,0.223321289629418,0.614342614788862,0.614342614788862,0.596859076221323,-0.570174599859206,-0.598222325113409,0.405773846952047,0.37883782001602,0.37883782001602,0.37883782001602,-0.679687240279675,-0.356643636946403,-0.628021257533585,0.466103004581137,0.448115852546876,0.425767903466254,0.398324294443697,0.365985985985986,0.328148148148148,0.463875776876593,-0.0833333333333333,0.28,0.39927790651603,-0.0666666666666667,-0.0890226360814596,-0.360349674758052
"GLI",0.586266247662661,0.484529939976696,0.551149190806474,0.510798313613491,0.457309941520468,0.382834498275304,0.547196820407926,0.503823326432022,0.402857142857143,0.459378881987578,0.152659075379973,0.25000815394651,0.153200603744082,0.14202047952048,0.223809523809524,0.216666666666667,0.418936692907292,0.239143239050006,0.206343239050006,0.175730994152047,0.276338338953371,0.138888888888889,0.291486308127987,0.233333333333333,0.166666666666667,0.2,0.2,0.254288240495137,0.214288240495137,0.21629659000793,0.622642137751787,0.622642137751787,0.589051816820599,-0.576118077324974,-0.588798171761475,0.471266421746549,0.43431863058189,0.43431863058189,0.43431863058189,-0.670899990459235,-0.424263888273329,-0.633925926616027,0.471199116871526,0.446458738129925,0.415537685498346,0.37874114870181,0.334838709677419,0.28,0.445507839308062,-0.0833333333333333,0.2,0.346897955311377,-0.2,-0.236309523809524,-0.389429063737429
