"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","TWIST1","cfos","EGR1","SHH","HEY1","AKT","SMAD","IKK","ILK","SMO","Jagged","NFB","NOTCH","FUS","NOTCHic","SNAI2","Csl","Csn","SOSGRB2","RAS","RAF","PI3K","DELTA","ZEB2","ZEB1","KLF4","cateninnuc","TCFLEF","GLI","CD44","Wnt","cMet","Frizzled","SRC","AXIN2","DSH","STAT","miR200","cateninmemb","LIV1","GSK3","Destcompl","Ecadherin","TrCP","SUFU","Patched","RKIP"
"IKK",0.493766233766234,0.522791919191919,0.469191919191919,0.405555555555556,0.35,0.252190476190476,0.287454057110546,0.178857142857143,0.517385620915033,0.142857142857143,0.1,0.248837803320562,0.181940144478844,0.321042471042471,0.18578795379538,0.264285714285714,0.172916666666667,0.18,0.270074976569822,0.314285714285714,0.356565656565657,0.12,0.307359307359307,0.635349031545647,0.245454545454545,0.3,0.301890756302521,0.365251399504103,0.327223230490018,0.327223230490018,0.327223230490018,0.425418546365915,0.425418546365915,-0.363369963369963,0.396047544912595,0.372840793857743,0.348547008547009,0.348547008547009,0.316239316239316,0.316239316239316,0.277777777777778,0.277777777777778,0.381666666666667,0.2,0.2,-0.428840579710145,-0.507546717714315,0.1,-0.211758241758242,0.118594982113146,-0.583032206325415,-0.2,-0.1,-0.228148148148148,-0.277322404371585
"STAT",0.183956373551466,0.168982444583131,0.166566985645933,0.153409090909091,0.140909090909091,0.189108159392789,0.114671760561805,0.185882352941176,0.0225867585687676,0.18,0.2,0.0331072923098031,0.0586666666666667,0.0230669895076675,0.0626631128880004,0.0247619047619048,0.0615136876006441,0.0316666666666667,0.0166684723726977,0.02,-0.00854904018810358,0.025,-0.00757816640169581,0.0281462703415982,-0.0156862745098039,0,-0.029064039408867,-0.0918904238114638,-0.0933829611248966,-0.0933829611248966,-0.0933829611248966,0.428590640129102,0.428590640129102,-0.320845712022183,-0.0678867822517033,-0.0701513829668404,-0.0723739495798319,-0.0723595848595849,-0.0732142857142857,-0.0732142857142857,-0.0732142857142857,-0.0732142857142857,-0.121179604709016,-0.0857142857142857,-0.0857142857142857,-0.445456770119089,0.077272869627523,0,0.0930218068535826,-0.127671085347355,-0.0195276187537868,0,0,-0.0339922480620155,-0.15001287001287
"ERK",0.345083996463307,0.36658982580055,0.346260155470879,0.313413440142412,0.267619047619048,0.199133949293948,0.249543389088598,0.171000244558572,0.395149875823776,0.227666911225238,0.187241379310345,0.22749456579971,0.175163637660932,0.199223337374983,0.176284549649113,0.180874713521772,0.165950203144554,0.202032786885246,0.26483711772215,0.156168831168831,0.248840375396778,0.184,0.229726801989576,0.636098500064304,0.202719502719503,0.110714285714286,0.110393589150871,0.118938448789934,0.0985864135864136,0.0985864135864136,0.0985864135864136,0.43451356600511,0.43451356600511,-0.401701644923426,0.344319134984247,0.332096912762025,0.31884343726449,0.316483529862397,0.301048951048951,0.298417372101583,0.280769230769231,0.278137651821862,0.354289059049788,0.25,0.247368421052632,-0.444988038527449,-0.436367918298587,0.2,-0.182659625351955,0.0156565999081832,-0.465539536395312,-0.0857142857142857,-0.14,-0.214451087538841,-0.273257574544258
"cMet",0.402800632911392,0.402009456264775,0.372222222222222,0.35,0.3,0.420454545454546,0.401833229710125,0.415,0.378811375890028,0.385,0.325,0.202272727272727,0.21781905744754,0.2725,0.21034632034632,0.26,0.197619047619048,0.15,0.21073173203608,0.266666666666667,0.275779875219965,0.15,0.24812030075188,0.460567380713366,0.242857142857143,0.2,0.0109523809523809,0.230170709793351,0.198095238095238,0.198095238095238,0.198095238095238,0.458008658008658,0.458008658008658,-0.320634920634921,0.10262585529042,0.0834168157423971,0.0554545454545454,0.0541860465116279,0.01,0.01,-0.05,0.05,0.016031746031746,-0.1,0,-0.467637104743083,-0.112810670942344,0.1,-0.247062211981567,-0.154225940990647,-0.207501430279042,-0.2,-0.1,-0.177272727272727,-0.453333333333333
"Jagged",0.302857142857143,0.315555555555556,0.255555555555556,0.2,0.2,0.286666666666667,0.241666666666667,0.22,0.252,0.2,0.1,0.106410256410256,0.166666666666667,0.0888888888888889,0.0714285714285714,0.0333333333333333,0.0666666666666667,0.0333333333333333,0.129264069264069,0,0.217142857142857,0,0.16,0.369859225741579,0.1,0,0.12,0.205454545454545,0.16,0.16,0.16,0.46207729468599,0.46207729468599,-0.405555555555556,0.240552780552781,0.21967365967366,0.198461538461538,0.198461538461538,0.16,0.16,0.1,0.1,0.221428571428571,0,0,-0.472121212121212,-0.294561916956283,0,-0.193486590038314,0.229050193050193,-0.318701754385965,0,0,-0.0833333333333333,-0.235897435897436
"DELTA",0.302857142857143,0.315555555555556,0.255555555555556,0.2,0.2,0.286666666666667,0.241666666666667,0.22,0.252,0.2,0.1,0.106410256410256,0.166666666666667,0.0888888888888889,0.0714285714285714,0.0333333333333333,0.0666666666666667,0.0333333333333333,0.129264069264069,0,0.217142857142857,0,0.16,0.369859225741579,0.1,0,0.12,0.205454545454545,0.16,0.16,0.16,0.46207729468599,0.46207729468599,-0.405555555555556,0.240552780552781,0.21967365967366,0.198461538461538,0.198461538461538,0.16,0.16,0.1,0.1,0.221428571428571,0,0,-0.472121212121212,-0.294561916956283,0,-0.193486590038314,0.229050193050193,-0.318701754385965,0,0,-0.0833333333333333,-0.235897435897436
"NFB",0.533208464841931,0.560766602736223,0.522791919191919,0.469191919191919,0.405555555555556,0.303824463118581,0.312385563959861,0.252190476190476,0.54500466853408,0.178857142857143,0.142857142857143,0.269319731031405,0.198011573050273,0.354375804375804,0.199542600635528,0.321042471042471,0.18578795379538,0.228148148148148,0.290218861461908,0.264285714285714,0.389468882372108,0.18,0.356565656565657,0.666649844553777,0.307359307359307,0.314285714285714,0.332417072091995,0.393112096021516,0.365251399504103,0.365251399504103,0.365251399504103,0.47177869962262,0.47177869962262,-0.41529304029304,0.415263231187105,0.396047544912595,0.373266109670604,0.372840793857743,0.348547008547009,0.348547008547009,0.316239316239316,0.316239316239316,0.412163120567376,0.277777777777778,0.277777777777778,-0.47687683348658,-0.539120107365847,0.2,-0.234111182934712,0.133877374139724,-0.614332366839059,-0.3,-0.12,-0.248837803320562,-0.310655737704918
"SRC",0.393828197945845,0.380119047619048,0.360119047619048,0.345833333333333,0.333333333333333,0.329369163331427,0.292786501502972,0.316161616161616,0.223175445244411,0.327272727272727,0.3,0.0820915032679738,0.126804038397881,0.163247863247863,0.113934329065908,0.157692307692308,0.109429824561404,0.0533333333333333,0.0785450482239473,0.15,0.148571428571429,0.0333333333333333,0.134285714285714,0.154373980942897,0.12,0.15,0.00285714285714286,0.182594151780635,0.16744263662912,0.16744263662912,0.16744263662912,0.47730607966457,0.47730607966457,-0.354328165374677,-0.00559983165570461,-0.0147720911635346,-0.0269672131147541,-0.0269672131147541,-0.045,-0.045,-0.075,-0.075,-0.0820965616898296,-0.1,0,-0.490115649246084,0.01121014818141,0,-0.122683982683983,-0.12681000159261,-0.107976402682285,-0.1,-0.0333333333333333,-0.0644444444444444,-0.398957315086347
"SMO",0.427931034482759,0.519504504504505,0.481666666666667,0.44,0.4,0.393240093240093,0.358602150537634,0.353846153846154,0.27156862745098,0.3,0.2,0.318611111111111,0.128937728937729,0.236857142857143,0.134285714285714,0.192857142857143,0.12,0.253333333333333,0.224761904761905,0.15,0.318787878787879,0.333333333333333,0.278787878787879,0.434097427476738,0.233333333333333,0.1,0.255263157894737,0.36925313059034,0.341346153846154,0.341346153846154,0.341346153846154,0.482485875706215,0.482485875706215,-0.413888888888889,0.257041876536,0.238996763754045,0.320833333333333,0.216666666666667,0.2875,0.183333333333333,0.25,0.15,0.347036871174802,0.2,0.1,-0.492374924653406,-0.330150850819501,0.1,-0.324638145026495,0.299907534326139,-0.329880272831855,0,-0.3,-0.290833333333333,-0.352857142857143
"TWIST1",0.536282650208007,0.523024292885655,0.485438871473354,0.440438871473354,0.381818181818182,0.477104295456357,0.478892057684029,0.431830663615561,0.462070983618466,0.371304347826087,0.28,0.457605896334286,0.243465573974049,0.460917613459986,0.237967084996788,0.416849816849817,0.21981526981527,0.391555555555556,0.406095587496002,0.369230769230769,0.418767940654733,0.355555555555556,0.379145299145299,0.724305832036151,0.335555555555555,0.3,0.315754268614681,0.449090496330495,0.419638441535975,0.419638441535975,0.419638441535975,0.488073160880178,0.488073160880178,-0.404315196998124,0.453661726689474,0.435202842273142,0.412749540517962,0.411772520680493,0.383149540517962,0.382455251604188,0.348412698412698,0.348412698412698,0.456963520350617,0.309523809523809,0.309523809523809,-0.496082171680117,-0.634157779335714,0.266666666666667,-0.400430392922196,0.391624508037531,-0.777503354651983,-0.2,-0.3,-0.428541856925419,-0.461840770536423
"NOTCH",0.349795918367347,0.360716845878136,0.315555555555556,0.255555555555556,0.2,0.343809523809524,0.267820512820513,0.286666666666667,0.280813559322034,0.22,0.2,0.124057315233786,0.171014492753623,0.122222222222222,0.0814285714285714,0.0888888888888889,0.0714285714285714,0.0833333333333333,0.144078884078884,0.0333333333333333,0.152626728110599,0.0333333333333333,0.217142857142857,0.40107615695851,0.16,0,0.156842105263158,0.235889328063241,0.205454545454545,0.205454545454545,0.205454545454545,0.513929146537842,0.513929146537842,-0.46207729468599,0.259736454022168,0.240552780552781,0.21967365967366,0.21967365967366,0.198461538461538,0.198461538461538,0.16,0.16,0.253504043126685,0.1,0.1,-0.523549783549784,-0.324404848893456,0,-0.218486590038314,0.244938043517483,-0.350153367289191,0,0,-0.106410256410256,-0.273828470380194
"FUS",0.463457350272232,0.554610887483228,0.519504504504505,0.481666666666667,0.44,0.428872277148139,0.383130452424427,0.393240093240093,0.299317318550457,0.353846153846154,0.3,0.339823232323232,0.144879757923236,0.267626373626374,0.145253456221198,0.236857142857143,0.134285714285714,0.290833333333333,0.24403901319564,0.192857142857143,0.350606060606061,0.253333333333333,0.318787878787879,0.460847876309772,0.278787878787879,0.15,0.270647773279352,0.391523872948419,0.36925313059034,0.36925313059034,0.36925313059034,0.524817164049773,0.524817164049773,-0.461429872495446,0.271987528709913,0.257041876536,0.343910256410256,0.238996763754045,0.320833333333333,0.216666666666667,0.2875,0.183333333333333,0.373744945708964,0.25,0.15,-0.534949182079148,-0.354545636666801,0.1,-0.343032793855926,0.311440381041467,-0.356729587900348,-0.1,-0.333333333333333,-0.318611111111111,-0.388939617083947
"cfos",0.351547448247592,0.359141838553603,0.336414565826331,0.295238095238095,0.242857142857143,0.36002947678703,0.268024549290372,0.327826086956522,0.271402597402597,0.28,0.32,0.120097286226318,0.0813593203398301,0.129385964912281,0.090126301416624,0.108333333333333,0.0788359788359788,0.0928571428571428,0.138784722222222,0.0833333333333333,0.150769230769231,0.0761904761904762,0.130769230769231,0.407173191771732,0.1,0.0333333333333333,0.158333333333333,0.239053616026356,0.217102396514161,0.217102396514161,0.217102396514161,0.540468503785695,0.540468503785695,-0.501936507936508,0.257972824309458,0.244269120605754,0.226939571150097,0.227437437437437,0.208518518518518,0.208518518518518,0.19,0.19,0.257651888341544,0.15,0.15,-0.553857906799083,-0.313810399991349,0.1,-0.218744588744589,0.238120612735157,-0.335597612449651,0,-0.0333333333333333,-0.108986175115207,-0.287738927738928
"CDC42",0.351547448247592,0.359141838553603,0.336414565826331,0.295238095238095,0.342857142857143,0.36002947678703,0.268024549290372,0.327826086956522,0.271402597402597,0.28,0.22,0.120097286226318,0.0813593203398301,0.129385964912281,0.090126301416624,0.108333333333333,0.0788359788359788,0.0928571428571428,0.138784722222222,0.0833333333333333,0.150769230769231,0.0761904761904762,0.130769230769231,0.407173191771732,0.1,0.0333333333333333,0.158333333333333,0.239053616026356,0.217102396514161,0.217102396514161,0.217102396514161,0.540468503785695,0.540468503785695,-0.501936507936508,0.257972824309458,0.244269120605754,0.226939571150097,0.227437437437437,0.208518518518518,0.208518518518518,0.19,0.19,0.257651888341544,0.15,0.15,-0.553857906799083,-0.313810399991349,0.1,-0.218744588744589,0.238120612735157,-0.335597612449651,0,-0.0333333333333333,-0.108986175115207,-0.287738927738928
"NOTCHic",0.377215273206057,0.386831495559665,0.360716845878136,0.315555555555556,0.255555555555556,0.383809523809524,0.288455433455433,0.343809523809524,0.304083999573606,0.286666666666667,0.22,0.138035809857442,0.184860646599777,0.147803617571059,0.0950976361767729,0.122222222222222,0.0814285714285714,0.106410256410256,0.160635175469613,0.0888888888888889,0.176310938636915,0.0833333333333333,0.152626728110599,0.426527058762117,0.217142857142857,0.0333333333333333,0.193205741626794,0.261012480772601,0.235889328063241,0.235889328063241,0.235889328063241,0.553188405797101,0.553188405797101,-0.508505866114562,0.275156301350413,0.259736454022168,0.240103767200541,0.240552780552781,0.21967365967366,0.21967365967366,0.198461538461538,0.198461538461538,0.278504043126685,0.16,0.16,-0.565746315341691,-0.349759818467492,0.1,-0.237494854501124,0.257604710184149,-0.374502525022728,0,-0.0333333333333333,-0.124057315233786,-0.303405935168927
"TGF",0.518090062111801,0.526666666666667,0.583809523809524,0.526666666666667,0.46,0.470225563909774,0.423541004450095,0.423558897243108,0.422037037037037,0.376190476190476,0.333333333333333,0.249346264367816,0.231850419084462,0.336528822055138,0.22603128054741,0.315476190476191,0.211515151515151,0.203333333333333,0.280535100638193,0.258333333333333,0.364367816091954,0.153333333333333,0.333333333333333,0.440276049857985,0.273333333333333,0.233333333333333,0.176315789473684,0.348214285714286,0.308928571428571,0.308928571428571,0.308928571428571,0.556159304717657,0.556159304717657,-0.507068395626748,0.307365863200024,0.283920887123469,0.261051212938005,0.256289308176101,0.221428571428571,0.216666666666667,0.171428571428571,0.166666666666667,0.277821869488536,0.1,0.1,-0.564506805455081,-0.36063532190901,0,-0.334237256546454,0.11103345278112,-0.388014330313131,-0.2,-0.133333333333333,-0.227471264367816,-0.405627705627706
"PAK1",0.370857793075178,0.378267521613712,0.359141838553603,0.336414565826331,0.295238095238095,0.38802947678703,0.28496965668894,0.36002947678703,0.289337380011293,0.327826086956522,0.28,0.134097286226318,0.0960652026927713,0.146052631578947,0.100448882061785,0.129385964912281,0.090126301416624,0.108986175115207,0.15350864860259,0.108333333333333,0.168351648351648,0.0928571428571428,0.150769230769231,0.425798869891081,0.130769230769231,0.0833333333333333,0.173184818481848,0.25768997966272,0.239053616026356,0.239053616026356,0.239053616026356,0.568442780313026,0.568442780313026,-0.53472339318241,0.26859351396463,0.257972824309458,0.244012741881805,0.244269120605754,0.226939571150097,0.227437437437437,0.208518518518518,0.208518518518518,0.276519812869845,0.19,0.19,-0.58228430273817,-0.331209667390616,0.15,-0.232562770562771,0.247293545065984,-0.352967854664183,-0.0333333333333333,-0.0761904761904762,-0.120097286226318,-0.309285889064895
"LIV1",0.370857793075178,0.378267521613712,0.359141838553603,0.336414565826331,0.295238095238095,0.38802947678703,0.28496965668894,0.36002947678703,0.289337380011293,0.327826086956522,0.28,0.134097286226318,0.0960652026927713,0.146052631578947,0.100448882061785,0.129385964912281,0.090126301416624,0.108986175115207,0.15350864860259,0.108333333333333,0.168351648351648,0.0928571428571428,0.150769230769231,0.425798869891081,0.130769230769231,0.0833333333333333,0.173184818481848,0.25768997966272,0.239053616026356,0.239053616026356,0.239053616026356,0.568442780313026,0.568442780313026,-0.53472339318241,0.26859351396463,0.257972824309458,0.244012741881805,0.244269120605754,0.226939571150097,0.227437437437437,0.208518518518518,0.208518518518518,0.276519812869845,0.19,0.19,-0.58228430273817,-0.331209667390616,0.15,-0.232562770562771,0.247293545065984,-0.352967854664183,-0.0333333333333333,-0.0761904761904762,-0.120097286226318,-0.309285889064895
"EGR1",0.370857793075178,0.378267521613712,0.359141838553603,0.336414565826331,0.295238095238095,0.38802947678703,0.28496965668894,0.36002947678703,0.289337380011293,0.327826086956522,0.28,0.134097286226318,0.0960652026927713,0.146052631578947,0.100448882061785,0.129385964912281,0.090126301416624,0.108986175115207,0.15350864860259,0.108333333333333,0.168351648351648,0.0928571428571428,0.150769230769231,0.425798869891081,0.130769230769231,0.0833333333333333,0.173184818481848,0.25768997966272,0.239053616026356,0.239053616026356,0.239053616026356,0.568442780313026,0.568442780313026,-0.53472339318241,0.26859351396463,0.257972824309458,0.244012741881805,0.244269120605754,0.226939571150097,0.227437437437437,0.208518518518518,0.208518518518518,0.276519812869845,0.19,0.19,-0.58228430273817,-0.331209667390616,0.15,-0.232562770562771,0.247293545065984,-0.352967854664183,-0.0333333333333333,-0.0761904761904762,-0.120097286226318,-0.309285889064895
"TCFLEF",0.605113291776736,0.590326229773744,0.567809673482353,0.54257602862254,0.507692307692308,0.521735523477684,0.424778387581735,0.498606271777004,0.40791547093357,0.472891986062718,0.431428571428571,0.271861129173617,0.202196974022267,0.304585271670826,0.184395136982034,0.287193967323,0.175408521303258,0.235714285714286,0.258762883872856,0.271064935064935,0.379413221140224,0.216666666666667,0.359811892236569,0.449471345905036,0.340204049099314,0.235064935064935,0.193157070474436,0.386164923707548,0.36842510767601,0.36842510767601,0.36842510767601,0.572176546163388,0.572176546163388,-0.438472434428317,0.152997604310578,0.141141934207486,0.230697797513654,0.225907111756168,0.210822021116139,0.206410256410256,0.187745098039216,0.183333333333333,0.566196336996337,0.162745098039216,0.158333333333333,-0.583650272084007,-0.350935708429712,0.133333333333333,-0.340940751142488,0.295715667941973,-0.464684446206766,-0.171428571428571,-0.183333333333333,-0.253456221198157,-0.430785691325711
"Csl",0.399054353665827,0.408373445673044,0.386831495559665,0.360716845878136,0.315555555555556,0.415331262939959,0.308218279305236,0.383809523809524,0.324625760295954,0.343809523809524,0.286666666666667,0.154415120202269,0.202507705423306,0.168733850129199,0.107319858398995,0.147803617571059,0.0950976361767729,0.124057315233786,0.177822675469613,0.122222222222222,0.197220029546006,0.106410256410256,0.176310938636915,0.447481570320655,0.152626728110599,0.0888888888888889,0.208652896098339,0.281968363125542,0.261012480772601,0.261012480772601,0.261012480772601,0.584127632316438,0.584127632316438,-0.544220151828847,0.287105986885004,0.275156301350413,0.259458605910219,0.259736454022168,0.240103767200541,0.240552780552781,0.21967365967366,0.21967365967366,0.299840804052135,0.198461538461538,0.198461538461538,-0.597336729285046,-0.369637494308471,0.16,-0.253253322836912,0.267781431695423,-0.394502525022728,-0.0333333333333333,-0.0833333333333333,-0.138035809857442,-0.328751557288743
"SNAI1",0.388265671092967,0.395606231291132,0.378267521613712,0.359141838553603,0.336414565826331,0.40820884898434,0.199916275906022,0.38802947678703,0.304619431293344,0.36002947678703,0.327826086956522,0.147106994964183,0.107969964597533,0.163413742690058,0.106475942332388,0.146052631578947,0.100448882061785,0.120097286226318,0.165979236837884,0.129385964912281,0.185494505494505,0.108986175115207,0.168351648351648,0.440716737809284,0.150769230769231,0.108333333333333,0.182618780745999,0.271647286723475,0.25768997966272,0.25768997966272,0.25768997966272,0.590952005405277,0.590952005405277,-0.560580091001724,0.276905336370412,0.26859351396463,0.258089524331531,0.257972824309458,0.244012741881805,0.244269120605754,0.226939571150097,0.227437437437437,0.292137528487561,0.208518518518518,0.208518518518518,-0.605819365178131,-0.345199304696315,0.19,-0.243585872873002,0.254420738048441,-0.367588041969074,-0.0833333333333333,-0.0928571428571428,-0.134097286226318,-0.32811434094774
"TGFR",0.550841153814858,0.560709219858156,0.526666666666667,0.583809523809524,0.526666666666667,0.50447213925224,0.451564603270154,0.470225563909774,0.450150916040596,0.423558897243108,0.376190476190476,0.271380162672901,0.248268329532223,0.359784636008626,0.237775052789402,0.336528822055138,0.22603128054741,0.227471264367816,0.302274231072976,0.315476190476191,0.393864218969652,0.203333333333333,0.364367816091954,0.471989012820948,0.333333333333333,0.258333333333333,0.207179987004548,0.378623642439432,0.348214285714286,0.348214285714286,0.348214285714286,0.597291380189355,0.597291380189355,-0.553496967055319,0.325346376928988,0.307365863200024,0.288793148421876,0.283920887123469,0.261051212938005,0.256289308176101,0.221428571428571,0.216666666666667,0.311727448887678,0.171428571428571,0.166666666666667,-0.606442289326049,-0.389965575950581,0.1,-0.357464640409535,0.127364097942411,-0.416975148030337,-0.233333333333333,-0.153333333333333,-0.249346264367816,-0.437056277056277
"SMAD",0.447436507775043,0.455513369114955,0.430413767521329,0.400804828973843,0.357142857142857,0.435861540934684,0.351358442632636,0.402207694780838,0.352043455788744,0.362672811059908,0.314285714285714,0.264328012914521,0.225664649566778,0.280188608776844,0.113107121189313,0.254855275443511,0.202154740236932,0.228333333333333,0.287536656891496,0.229365079365079,0.306278051450465,0.208333333333333,0.281674876847291,0.465497919872891,0.255238095238095,0.205555555555556,0.220201123927832,0.374069871234259,0.352030397550048,0.352030397550048,0.352030397550048,0.60323308057011,0.60323308057011,-0.562045941761996,0.304176790144063,0.29130951557466,0.281241819731028,0.274891605126899,0.26037851037851,0.254164332399626,0.237301587301587,0.230634920634921,0.3124558200126,0.20952380952381,0.202857142857143,-0.614842228662607,-0.384079630406041,0.16,-0.299998860788334,0.185980604780529,-0.40886129678121,-0.15,-0.183333333333333,-0.247599388379205,-0.357616521208181
"GLI",0.440692939456484,0.545583157921594,0.521347863803947,0.493045977011494,0.451666666666667,0.514606443280476,0.357662040544676,0.485324675324675,0.334958142216207,0.452857142857143,0.402857142857143,0.285553058130335,0.151224468796625,0.205447025301349,0.152054559632493,0.183572025301349,0.142324829902763,0.25031328320802,0.202173089110866,0.165204678362573,0.223571112795251,0.234523809523809,0.200713969938108,0.453685729832446,0.178213969938108,0.138888888888889,0.189666321878711,0.361200908022438,0.340012789210557,0.340012789210557,0.340012789210557,0.609972691585595,0.609972691585595,-0.572359502359502,0.291856837073488,0.279483854407618,0.273738140417457,0.263250088173852,0.353738140417457,0.243422501966955,0.329032258064516,0.219032258064516,0.292352053140097,0.3,0.19,-0.622294877465156,-0.353751197971701,0.15,-0.335596678148949,0.221123250860117,-0.379940089624531,-0.0833333333333333,-0.20952380952381,-0.268680630146796,-0.372808350206563
