"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","NFB","IKK","AKT","SHH","TWIST1","SMO","FUS","Csn","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"cMet",0.402279942279942,0.399587203302374,0.362745098039216,0.333333333333333,0.3,0.398537414965986,0.415849673202614,0.325,0.388333333333333,0.358333333333333,0.222222222222222,0.207977113325951,0.201310446659284,0.15,0.161111111111111,0.18968253968254,0.208333333333333,0.332991996644882,0.15,0.15,0.1,0.225371412688486,0.263724696356275,0.225263157894737,0.22,0.00151515151515151,-0.319444444444444,0.460185185185185,0.460185185185185,0.474581846806019,-0.187031265331094,0.161030595813205,0.124074074074074,0.124074074074074,-0.3219875939474,-0.180068027210884,-0.468429315045856,0.154874129138835,0.0792307692307692,0.122847985347985,0.0192307692307692,0.0782051282051282,0.0192307692307692,-0.05,0.05,-0.1,0,0.0334502923976608,-0.1,-0.1,0.1,-0.111769260549748,-0.183333333333333,-0.431649122807018
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.258333333333333,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0,0.0333333333333333,0.0666666666666667,0.121794871794872,0.293,0.0333333333333333,0,0,0.166493506493506,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,0.252727272727273,0.18,0.18,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.258333333333333,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0,0.0333333333333333,0.0666666666666667,0.121794871794872,0.293,0.0333333333333333,0,0,0.166493506493506,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,0.252727272727273,0.18,0.18,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
"NFB",0.542397452323723,0.573849692879755,0.527695846725909,0.468346253229974,0.405555555555556,0.305198532126029,0.322769828455724,0.142857142857143,0.250950166112957,0.178857142857143,0.198303780842481,0.199581814384446,0.18604797979798,0.133333333333333,0.166666666666667,0.172916666666667,0.281344111142261,0.566585597347794,0.228148148148148,0.18,0.2,0.313231490159325,0.402843178327049,0.362198017036727,0.307359307359307,0.33593330949401,-0.41361169915079,0.473660245424951,0.473660245424951,0.698197385652882,-0.61200660726673,0.415127423565571,0.380776278527403,0.380776278527403,-0.730063145144309,-0.249060341566825,-0.477922008547009,0.465062321240005,0.40957264957265,0.438854878643014,0.376239316239316,0.409193861693862,0.376239316239316,0.331623931623932,0.331623931623932,0.277777777777778,0.277777777777778,0.443308761226911,-0.2,-0.12,0.2,0.163660241677976,-0.2557343550447,-0.314835304268386
"SRC",0.297595441595442,0.284696846480528,0.25781512605042,0.234285714285714,0.214285714285714,0.333426573426573,0.210564784053156,0.3,0.320606060606061,0.327272727272727,0.121428571428571,0.111646136618141,0.105263157894737,0.0666666666666667,0.1,0.1,0.0892339544513458,0.121673861852433,0.0583333333333333,0.0333333333333333,0.0333333333333333,0.101990950226244,0.150245098039216,0.129411764705882,0.1,-0.0242424242424242,-0.355238095238095,0.479826137351492,0.479826137351492,0.179035459678644,-0.0887084148727984,0.126186025812194,0.100952380952381,0.100952380952381,-0.248142321197772,-0.0378603896716272,-0.492069342069342,0.0597996807198099,0.0180708180708181,0.041475073389967,-0.0126984126984127,0.0180708180708181,-0.0126984126984127,-0.0571428571428571,-0.0571428571428571,-0.1,0,-0.0451190476190476,0,-0.0333333333333333,0,-0.0810018220627782,-0.0713768115942029,-0.305185185185185
"SMO",0.430350877192982,0.524132420091324,0.481666666666667,0.44,0.4,0.393240093240093,0.360682730923695,0.2,0.353846153846154,0.3,0.128937728937729,0.134285714285714,0.12,0.0333333333333333,0.0666666666666667,0.1,0.324166666666667,0.283164983164983,0.253333333333333,0.333333333333333,0,0.239312169312169,0.323787878787879,0.278787878787879,0.233333333333333,0.255263157894737,-0.413888888888889,0.481609195402299,0.481609195402299,0.458517788724685,-0.399283850088736,0.379899284775945,0.345781637717122,0.345781637717122,-0.445895361380798,-0.328986228637797,-0.491758241758242,0.302638863446704,0.344444444444444,0.275091693635383,0.3,0.241111111111111,0.196666666666667,0.25,0.15,0.2,0.1,0.366472607851918,0,-0.3,0.1,0.32152867965368,-0.290833333333333,-0.351428571428571
"TWIST1",0.534538002980626,0.522097657340781,0.484742668941709,0.440438871473354,0.381818181818182,0.475993100163784,0.476071063140157,0.28,0.431830663615561,0.371304347826087,0.243465573974049,0.238209918644701,0.21981526981527,0.133333333333333,0.160606060606061,0.195741195741196,0.458591118009162,0.462876012876013,0.391555555555556,0.355555555555556,0.1,0.410423425501433,0.419145299145299,0.379145299145299,0.335555555555555,0.315754268614681,-0.40351252141284,0.486379138082353,0.486379138082353,0.73094799342669,-0.658452898038701,0.449198563788192,0.418079682669311,0.418079682669311,-0.826963222772778,-0.395360665293886,-0.494543795139744,0.469962023968737,0.418854803675856,0.446334063252389,0.385254803675856,0.417916244511989,0.384582911178656,0.348412698412698,0.348412698412698,0.309523809523809,0.309523809523809,0.461239889143115,-0.1,-0.3,0.266666666666667,0.39978891696419,-0.428541856925419,-0.459310134310134
"NOTCH",0.376122448979592,0.396071684587814,0.331555555555555,0.255555555555556,0.2,0.350952380952381,0.299871794871795,0.2,0.286666666666667,0.22,0.171014492753623,0.0814285714285714,0.0714285714285714,0.0333333333333333,0.0666666666666667,0.0666666666666667,0.151206636500754,0.342152542372881,0.0833333333333333,0.0333333333333333,0,0.196123136123136,0.186267281105991,0.231428571428571,0.16,0.167368421052632,-0.46207729468599,0.52133655394525,0.52133655394525,0.487894132011779,-0.483824412443246,0.303451910408432,0.252727272727273,0.252727272727273,-0.572694963214488,-0.275221996844715,-0.529264069264069,0.383193948908235,0.314685314685315,0.350949050949051,0.269230769230769,0.314685314685315,0.269230769230769,0.2,0.2,0.1,0.1,0.338490566037736,0,0,0,0.329512503157363,-0.121794871794872,-0.28762157382847
"FUS",0.469948192629224,0.564672960631865,0.524132420091324,0.481666666666667,0.44,0.429710681475387,0.390151329957511,0.3,0.393240093240093,0.353846153846154,0.144879757923236,0.145396825396825,0.134285714285714,0.0666666666666667,0.1,0.12,0.349419191919192,0.318614718614719,0.290833333333333,0.253333333333333,0.0333333333333333,0.265818193408555,0.361718913270637,0.323787878787879,0.278787878787879,0.274493927125506,-0.460555555555555,0.525708574284286,0.525708574284286,0.493896850096527,-0.437601607098081,0.410256427633088,0.379899284775945,0.379899284775945,-0.488516051035971,-0.352661140298574,-0.535476834723066,0.325694797962393,0.379059829059829,0.302638863446704,0.344444444444444,0.275091693635383,0.241111111111111,0.3,0.196666666666667,0.25,0.15,0.404360806609682,0,-0.333333333333333,0.1,0.339992490584256,-0.324166666666667,-0.391011904761905
"TGF",0.531421911421911,0.5482644409115,0.589705882352941,0.524705882352941,0.46,0.468478057889823,0.439548102426811,0.333333333333333,0.417366946778712,0.376190476190476,0.232323232323232,0.225997638724911,0.211948051948052,0.153333333333333,0.193333333333333,0.202424242424242,0.266625880608083,0.462060957910015,0.203333333333333,0.153333333333333,0.133333333333333,0.319845491388045,0.386581972171809,0.341754385964912,0.273333333333333,0.17972972972973,-0.504444444444444,0.557715472481828,0.557715472481828,0.509415170816445,-0.513035409035409,0.402799509127167,0.344308943089431,0.344308943089431,-0.596633505661516,-0.28614370535657,-0.565142396610482,0.425258102940254,0.341538461538462,0.386871794871795,0.28,0.341538461538462,0.28,0.2,0.2,0.1,0.1,0.355714285714286,-0.1,-0.133333333333333,0,0.19988673787423,-0.234367816091954,-0.408424908424908
"cfos",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.242857142857143,0.389064112011791,0.318301698301698,0.32,0.336521739130435,0.28,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.0666666666666667,0.0666666666666667,0.0714285714285714,0.159543721909313,0.362155844155844,0.10952380952381,0.0761904761904762,0.0333333333333333,0.208611111111111,0.212051282051282,0.17051282051282,0.116666666666667,0.193055555555556,-0.509936507936508,0.560496175871478,0.560496175871478,0.535891553701773,-0.531877013204303,0.344063180827887,0.303322440087146,0.303322440087146,-0.61120282246208,-0.306676188261866,-0.571971819030643,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.365645363408521,-0.138556067588326,-0.31979020979021
"CDC42",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.342857142857143,0.389064112011791,0.318301698301698,0.22,0.336521739130435,0.28,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.0666666666666667,0.0666666666666667,0.0714285714285714,0.159543721909313,0.362155844155844,0.10952380952381,0.0761904761904762,0.0333333333333333,0.208611111111111,0.212051282051282,0.17051282051282,0.116666666666667,0.193055555555556,-0.509936507936508,0.560496175871478,0.560496175871478,0.535891553701773,-0.531877013204303,0.344063180827887,0.303322440087146,0.303322440087146,-0.61120282246208,-0.306676188261866,-0.571971819030643,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.365645363408521,-0.138556067588326,-0.31979020979021
"NOTCHic",0.421283739302172,0.441294614524119,0.396071684587814,0.331555555555555,0.255555555555556,0.408095238095238,0.33105459057072,0.22,0.350952380952381,0.286666666666667,0.184860646599777,0.0979753340184995,0.0814285714285714,0.0666666666666667,0.0666666666666667,0.0714285714285714,0.173787281662044,0.380517322247095,0.121794871794872,0.0833333333333333,0.0333333333333333,0.221950950692673,0.228372544263885,0.186267281105991,0.231428571428571,0.221913875598086,-0.515648723257419,0.570966183574879,0.570966183574879,0.528976296340436,-0.529869037189696,0.343451910408432,0.303451910408432,0.303451910408432,-0.622465254179266,-0.304532341672301,-0.581865225333433,0.411438223717395,0.350169185653057,0.383193948908235,0.314685314685315,0.350949050949051,0.314685314685315,0.269230769230769,0.269230769230769,0.2,0.2,0.38293501048218,0,-0.0333333333333333,0.1,0.352795585234415,-0.151206636500754,-0.331283545659456
"TCFLEF",0.610500864252929,0.598837952588548,0.572577083023331,0.542527821939587,0.501351351351351,0.52340675157963,0.431730747683689,0.426984126984127,0.497859306324156,0.468447541618273,0.201363891697562,0.184929922829391,0.174529922829391,0.133333333333333,0.146376811594203,0.159957058507783,0.282048832271762,0.422811199169863,0.241666666666667,0.216666666666667,0.1,0.28144381837063,0.392119809516181,0.368671533654112,0.342140921409214,0.198581306017926,-0.437953390462165,0.573654946736482,0.573654946736482,0.480690734898743,-0.434328870795028,0.403480012894906,0.379591124006018,0.379591124006018,-0.602948703312949,-0.358941818672607,-0.585067942975278,0.205812348279067,0.26671242465593,0.186487603721093,0.238277919863598,0.262756789081188,0.234601449275362,0.207843137254902,0.204166666666667,0.174509803921569,0.170833333333333,0.598393438806972,-0.05,-0.183333333333333,0.133333333333333,0.333547270863993,-0.261666666666667,-0.434602332422643
"PAK1",0.438498952426499,0.459610977258036,0.424446142093201,0.378991596638655,0.314285714285714,0.438397445345124,0.346282233581504,0.28,0.389064112011791,0.336521739130435,0.100476967398654,0.108190817545656,0.0933521078682369,0.0666666666666667,0.0714285714285714,0.0788359788359788,0.182543721909313,0.394023976023976,0.138556067588326,0.10952380952381,0.0666666666666667,0.234377982276755,0.245018315018315,0.212051282051282,0.17051282051282,0.225728822882288,-0.55255945875618,0.600949250305135,0.600949250305135,0.571153759850055,-0.570888002215292,0.378785403050109,0.344063180827887,0.344063180827887,-0.652436363695621,-0.332099917075425,-0.612788145561255,0.451072799455547,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.385948393711552,-0.159543721909313,-0.353868422080713
"LIV1",0.438498952426499,0.459610977258036,0.424446142093201,0.378991596638655,0.314285714285714,0.438397445345124,0.346282233581504,0.28,0.389064112011791,0.336521739130435,0.100476967398654,0.108190817545656,0.0933521078682369,0.0666666666666667,0.0714285714285714,0.0788359788359788,0.182543721909313,0.394023976023976,0.138556067588326,0.10952380952381,0.0666666666666667,0.234377982276755,0.245018315018315,0.212051282051282,0.17051282051282,0.225728822882288,-0.55255945875618,0.600949250305135,0.600949250305135,0.571153759850055,-0.570888002215292,0.378785403050109,0.344063180827887,0.344063180827887,-0.652436363695621,-0.332099917075425,-0.612788145561255,0.451072799455547,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.385948393711552,-0.159543721909313,-0.353868422080713
"EGR1",0.438498952426499,0.459610977258036,0.424446142093201,0.378991596638655,0.314285714285714,0.438397445345124,0.346282233581504,0.28,0.389064112011791,0.336521739130435,0.100476967398654,0.108190817545656,0.0933521078682369,0.0666666666666667,0.0714285714285714,0.0788359788359788,0.182543721909313,0.394023976023976,0.138556067588326,0.10952380952381,0.0666666666666667,0.234377982276755,0.245018315018315,0.212051282051282,0.17051282051282,0.225728822882288,-0.55255945875618,0.600949250305135,0.600949250305135,0.571153759850055,-0.570888002215292,0.378785403050109,0.344063180827887,0.344063180827887,-0.652436363695621,-0.332099917075425,-0.612788145561255,0.451072799455547,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.385948393711552,-0.159543721909313,-0.353868422080713
"ZEB1",0.463926982443997,0.494427420795492,0.459636168310403,0.417799433616525,0.364176245210728,0.364771241830065,0.345053115644333,0.216666666666667,0.322549019607843,0.276666666666667,0.185035508532918,0.179112471047187,0.166552084573757,0.134285714285714,0.140952380952381,0.152427790788447,0.271016185510115,0.469325740278589,0.223106060606061,0.195833333333333,0.114285714285714,0.334010086578585,0.361278069319014,0.326838235294118,0.289583333333333,0.293879142300195,-0.552509623779399,0.604347119715279,0.604347119715279,0.526874132268799,-0.643114352592388,0.449925740520972,0.418725740520972,0.418725740520972,-0.646545385892081,-0.380532997917454,-0.62351144402532,0.496850453722015,0.450872070264829,0.475320291877973,0.420975163048334,0.449354912383965,0.419493801272854,0.384436701509872,0.38223889931207,0.338095238095238,0.335897435897436,0.48012547234277,-0.1,-0.158333333333333,0.266666666666667,0.400764097208974,-0.248596256684492,-0.331641872322126
"TGFR",0.578453874892231,0.598079939066481,0.5482644409115,0.589705882352941,0.524705882352941,0.513932603344368,0.47613346828047,0.376190476190476,0.468478057889823,0.417366946778712,0.248353766674377,0.238174760496129,0.225997638724911,0.193333333333333,0.202424242424242,0.211948051948052,0.294949580030048,0.505344539999567,0.234367816091954,0.203333333333333,0.153333333333333,0.351210805041181,0.431767157356994,0.386581972171809,0.341754385964912,0.225184275184275,-0.554903160040775,0.606534370119623,0.606534370119623,0.556460088074128,-0.56368475968476,0.447377822380179,0.402799509127167,0.402799509127167,-0.650036647022773,-0.32105184183951,-0.614377870616598,0.456536434762557,0.386636500754148,0.425258102940254,0.341538461538462,0.386871794871795,0.341538461538462,0.28,0.28,0.2,0.2,0.409627329192547,-0.133333333333333,-0.153333333333333,0.1,0.227969639428634,-0.266625880608083,-0.44996336996337
"Csl",0.455776492925361,0.475997810871151,0.441294614524119,0.396071684587814,0.331555555555555,0.457008281573499,0.359683622828784,0.286666666666667,0.408095238095238,0.350952380952381,0.206429274050757,0.114086445129611,0.0979753340184995,0.0666666666666667,0.0714285714285714,0.0814285714285714,0.197925212696527,0.412325102567461,0.151206636500754,0.121794871794872,0.0666666666666667,0.248513450692673,0.262008907900249,0.228372544263885,0.186267281105991,0.251995176411094,-0.559934437543133,0.61247036184786,0.61247036184786,0.563950196415008,-0.56885986287777,0.377159775576971,0.343451910408432,0.343451910408432,-0.663991171476878,-0.329608794271689,-0.623970488491328,0.435149563923581,0.382427250169186,0.411438223717395,0.350169185653057,0.383193948908235,0.350949050949051,0.314685314685315,0.314685314685315,0.269230769230769,0.269230769230769,0.419695935932052,-0.0333333333333333,-0.0833333333333333,0.2,0.372451604890435,-0.173787281662044,-0.366797564351045
"SMAD",0.496830530647268,0.51528270748084,0.478059367440599,0.431991951710262,0.371428571428571,0.471156485376545,0.395420034348251,0.314285714285714,0.422612796056157,0.369124423963134,0.229016604874041,0.11893304964682,0.204578982661174,0.166666666666667,0.174358974358974,0.189427467509659,0.301602406693723,0.431617666422136,0.250833333333333,0.220833333333333,0.166666666666667,0.353976679234744,0.365450382378532,0.329195402298851,0.286666666666667,0.25790446613428,-0.574989007370657,0.626799993995197,0.626799993995197,0.575782519316467,-0.58023370887781,0.461095762266573,0.425860862937714,0.425860862937714,-0.674378171926284,-0.367974144413569,-0.636955234924158,0.448592868783524,0.394422483990829,0.424265799205058,0.35989010989011,0.395189712248536,0.360644257703081,0.321428571428571,0.321428571428571,0.271428571428571,0.271428571428571,0.428696207957508,-0.133333333333333,-0.183333333333333,0.2,0.282968431477998,-0.277438837920489,-0.388846942180275
"SNAI1",0.468305404039402,0.490019140523342,0.459610977258036,0.424446142093201,0.378991596638655,0.474596540367748,0.272074088785124,0.336521739130435,0.438397445345124,0.389064112011791,0.118334110255796,0.119439272428227,0.108190817545656,0.0714285714285714,0.0788359788359788,0.0933521078682369,0.204485469482129,0.422074028161619,0.159543721909313,0.138556067588326,0.0666666666666667,0.257907394041461,0.275756019936348,0.245018315018315,0.212051282051282,0.247238256844552,-0.589236574743641,0.635195825647601,0.635195825647601,0.600814492130874,-0.603437293118094,0.406725353008408,0.378785403050109,0.378785403050109,-0.687702821375872,-0.353701021285225,-0.648259476950953,0.47064814901536,0.426375191209496,0.451072799455547,0.397673180240574,0.427177771831237,0.398659253312719,0.364990253411306,0.365985985985986,0.328148148148148,0.328148148148148,0.464793733700695,-0.0666666666666667,-0.10952380952381,0.28,0.402509079362644,-0.182543721909313,-0.384932251867947
"GLI",0.497838597453402,0.615809170459978,0.577237741888549,0.530402298850575,0.468333333333333,0.555611139326223,0.407265763631267,0.402857142857143,0.509242424242424,0.461190476190476,0.15473324072645,0.158443431994122,0.144856475472383,0.109090909090909,0.116233766233766,0.129666602054662,0.324973091900828,0.426421413864104,0.273339598997494,0.247023809523809,0.1,0.276800336507992,0.291130345758295,0.254288240495137,0.214288240495137,0.233301153124162,-0.586439909297052,0.635763679710549,0.635763679710549,0.590918820204492,-0.591271737329466,0.470440797940798,0.432940797940798,0.432940797940798,-0.675567525296282,-0.419952894774569,-0.646542620750189,0.473416711867761,0.41538939803787,0.447517431292222,0.478368121442125,0.415810114219051,0.37874114870181,0.434838709677419,0.334838709677419,0.38,0.28,0.445668780193237,-0.0666666666666667,-0.20952380952381,0.2,0.349815782822345,-0.299870211242392,-0.40704989747095
