"","FOXC2","SNAI1","EGR1","MEK","ERK","cfos","HEY1","TWIST1","SHH","SMAD","ILK","AKT","NFB","Csn","IKK","SMO","Jagged","FUS","NOTCH","NOTCHic","Csl","KLF4","SNAI2","cateninmemb","ZEB2","ZEB1","RAS","TGF","TGFR","RAF","PI3K","DELTA","CDC42","PAK1","Ecadherin","miR200","GSK3","SOSGRB2","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"CD44",0.37875,0.368474215842637,0.3,0.405,0.385,0.325,0.193567251461988,0.351941391941392,0.168181818181818,0.178344671201814,0.172222222222222,0.26,0.2,0.2,0.266666666666667,0.15,0.182470862470862,0.1,0.24812030075188,0.242857142857143,0.2,-0.277777777777778,0.439156399156399,-0.144450549450549,0.420634920634921,0.420634920634921,0.198095238095238,0.136666666666667,0.153333333333333,0.166666666666667,0.166666666666667,0.166666666666667,0.153333333333333,0.133333333333333,-0.283107697318424,-0.431699604743083,-0.223809523809524,-0.080952380952381,0.132277877161598,0.0233333333333333,0.0861240310077519,-0.05,0.0233333333333333,0.05,-0.1,0,0,0.1,-0.02,-0.1,-0.1,0.1,-0.159085452362763,-0.15,-0.423703703703704
"Csn",0.238866340870071,0.142545621863752,0.08,0.203457792207792,0.172207792207792,0.134545454545455,0.0457225913621262,0.285712949976625,0.113895928385616,0.0424999068589099,0.0371014492753623,0.180766666666667,0.138333333333333,0.105,0.159166666666667,0.0862914862914863,0.16995786777578,0.0650793650793651,0.247366522366522,0.222366522366522,0.18989898989899,-0.388302808302808,0.435059226470891,-0.438780508854236,0.422203473945409,0.422203473945409,0.220951988879645,-0.0512410741990766,-0.0567303343422746,0.194272526307668,0.194272526307668,0.194272526307668,-0.0592944369063772,-0.0727272727272727,-0.508665410291191,-0.430589931105189,-0.145183604408649,0.0648633690764441,0.417106085329297,0.37427547866515,0.397563090741203,0.348511286525412,0.374733508747634,0.348511286525412,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.407069759206799,-0.18,-0.0428571428571429,0.2,0.0504276184258625,-0.102420518549551,-0.158932257817876
"STAT",0.20411997273347,0.127039185228018,0.166666666666667,0.166527514231499,0.152549019607843,0.146666666666667,0.0293333333333333,0.0716973764200151,0.0407038485285038,0.0326892109500805,0.0326892109500805,0.0166263115415658,0,0,0.00476190476190476,0.02,0.0538712589848437,0,0.0177957512052315,0.003232644409115,-0.0156862745098039,-0.313438304614775,0.10179429664372,-0.0592815566555253,0.426815492200108,0.426815492200108,-0.0447420928854487,0.00677007489078427,0.00242224880382775,-0.0574286600496278,-0.0574286600496278,-0.0574286600496278,-0.00284090909090909,-0.00909090909090909,-0.197828536207429,-0.44283743300655,0.0466800178015131,-0.0803776683087028,0.0298394879967787,0.0111440030557678,0.0211386536701994,-0.00146103896103896,0.0113594738594739,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,-0.0431294196000078,0,0,0,-0.0634173280695643,-0.0362790697674419,-0.148227155727156
"ERK",0.355525206904517,0.251615319757441,0.173448275862069,0.17719973282487,0.14795182196136,0.209618488628026,0.143276443304746,0.425748694480848,0.220002012494235,0.13595652886137,0.131397258344652,0.189336340040603,0.144047619047619,0.110714285714286,0.16640056022409,0.189311475409836,0.282105079043905,0.168,0.262436024142153,0.23556621804797,0.202719502719503,-0.397004882497525,0.686068855835692,-0.542524406561897,0.431924639620908,0.431924639620908,0.14465926262956,0.0118324288895269,0.00633792339502143,0.118366633366633,0.118366633366633,0.118366633366633,-0.000231419670672002,-0.0123809523809524,-0.613270672934534,-0.441990462508057,-0.211342507951007,0.00471135768223147,0.418621114056402,0.378681669207985,0.399801669611958,0.352867132867133,0.377496836898203,0.351288185498712,0.32,0.318421052631579,0.27,0.268421052631579,0.411646311331399,-0.0857142857142857,-0.14,0.2,0.0586129095214099,-0.206958534233365,-0.269112575392274
"Jagged",0.302857142857143,0.233333333333333,0.1,0.246666666666667,0.18,0.2,0.133333333333333,0.285,0.0967948717948718,0.0380952380952381,0.0333333333333333,0.0666666666666667,0,0,0.0333333333333333,0.0333333333333333,0.148311688311688,0,0.217142857142857,0.16,0.1,-0.405555555555556,0.43868778280543,-0.431991951710262,0.453381642512077,0.453381642512077,0.232727272727273,0.0311111111111111,0.0111111111111111,0.16,0.16,0.16,0,0,-0.509017543859649,-0.465454545454545,-0.23639846743295,0.02,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0583333333333333,-0.22051282051282
"DELTA",0.302857142857143,0.233333333333333,0.1,0.246666666666667,0.18,0.2,0.133333333333333,0.285,0.0967948717948718,0.0380952380952381,0.0333333333333333,0.0666666666666667,0,0,0.0333333333333333,0.0333333333333333,0.148311688311688,0,0.217142857142857,0.16,0.1,-0.405555555555556,0.43868778280543,-0.431991951710262,0.453381642512077,0.453381642512077,0.232727272727273,0.0311111111111111,0.0111111111111111,0.16,0.16,0.16,0,0,-0.509017543859649,-0.465454545454545,-0.23639846743295,0.02,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0583333333333333,-0.22051282051282
"cMet",0.402800632911392,0.395592859910433,0.325,0.403181818181818,0.405,0.385,0.199449604403165,0.391267234638021,0.190056818181818,0.18379921665636,0.178344671201814,0.26625,0.266666666666667,0.2,0.26,0.15,0.215079558123036,0.15,0.275779875219965,0.24812030075188,0.242857142857143,-0.320634920634921,0.48879143565275,-0.196763716710336,0.455988455988456,0.455988455988456,0.235831087151842,0.145177304964539,0.136666666666667,0.198095238095238,0.198095238095238,0.198095238095238,0.153333333333333,0.153333333333333,-0.331199300371859,-0.466074604743083,-0.259293394777266,-0.0942857142857143,0.166176182246344,0.086969696969697,0.132277877161598,0.0233333333333333,0.0861240310077519,0.0233333333333333,-0.05,0.05,-0.1,0,0.0419047619047619,-0.2,-0.1,0.1,-0.127328695606007,-0.168181818181818,-0.44962962962963
"SRC",0.398272642390289,0.292288624569957,0.3,0.303640175338289,0.297979797979798,0.309090909090909,0.0980304534922211,0.251981811292156,0.0724400871459695,0.0775604551920341,0.0802631578947368,0.147863247863248,0.15,0.15,0.142307692307692,0.0333333333333333,0.096140908021642,0.0333333333333333,0.155714285714286,0.134285714285714,0.12,-0.349677002583979,0.205971545617093,-0.10849723095345,0.472544174902665,0.472544174902665,0.205966169833504,0.0981457431457432,0.0908730158730159,0.180208594075928,0.180208594075928,0.180208594075928,0.0861111111111111,0.111111111111111,-0.269223891576833,-0.484997804128239,-0.14995670995671,-0.117142857142857,0.0802711577561369,0.0344262295081967,0.0612554978008796,0,0.0344262295081967,0,-0.05,-0.05,-0.1,0,-0.0271686004505079,-0.1,-0.0333333333333333,0,-0.079581541646759,-0.0518518518518519,-0.389866405995438
"SMO",0.42448275862069,0.345698924731183,0.2,0.362470862470862,0.323076923076923,0.3,0.0981684981684982,0.278976034858388,0.299166666666667,0.0946031746031746,0.0866666666666667,0.220857142857143,0.15,0.1,0.192857142857143,0.253333333333333,0.224497354497354,0.333333333333333,0.313787878787879,0.278787878787879,0.233333333333333,-0.413888888888889,0.458517788724685,-0.399283850088736,0.475706214689265,0.475706214689265,0.369979874776386,0.283108108108108,0.275,0.335096153846154,0.335096153846154,0.335096153846154,0.266666666666667,0.266666666666667,-0.443131933746522,-0.487311633514165,-0.335225292506846,0.134210526315789,0.302911242507563,0.344444444444444,0.275091693635383,0.3,0.241111111111111,0.196666666666667,0.25,0.15,0.2,0.1,0.366472607851918,0,-0.3,0.1,0.319191970819878,-0.265833333333333,-0.341746031746032
"NOTCH",0.357959183673469,0.274871794871795,0.2,0.296666666666667,0.246666666666667,0.18,0.13768115942029,0.330762711864407,0.126206636500754,0.0380952380952381,0.0380952380952381,0.1,0.0333333333333333,0,0.0666666666666667,0.0583333333333333,0.177941317941318,0.0333333333333333,0.165529953917051,0.217142857142857,0.16,-0.453381642512077,0.485777729895377,-0.48173017160555,0.505233494363929,0.505233494363929,0.283451910408432,0.0407885304659498,0.0311111111111111,0.232727272727273,0.232727272727273,0.232727272727273,0.0111111111111111,0,-0.565469156762875,-0.514025974025974,-0.272762103796587,0.0568421052631579,0.38156129584701,0.314685314685315,0.350949050949051,0.269230769230769,0.314685314685315,0.269230769230769,0.2,0.2,0.1,0.1,0.338490566037736,0,0,0,0.329512503157363,-0.0967948717948718,-0.258443854995579
"FUS",0.460009074410163,0.373057415297221,0.3,0.386608793505345,0.362470862470862,0.323076923076923,0.10831342570473,0.313007448470953,0.320378787878788,0.0978289810547875,0.0946031746031746,0.24778021978022,0.192857142857143,0.15,0.220857142857143,0.265833333333333,0.248593740039523,0.253333333333333,0.347878787878788,0.313787878787879,0.278787878787879,-0.454872495446266,0.492808632530789,-0.436341578207916,0.515583515302762,0.515583515302762,0.398364154252369,0.292682576193215,0.283108108108108,0.369979874776386,0.369979874776386,0.369979874776386,0.275,0.266666666666667,-0.483953851554741,-0.525925494900304,-0.356964422941629,0.145748987854251,0.325193851203216,0.379059829059829,0.302911242507563,0.344444444444444,0.275091693635383,0.241111111111111,0.3,0.196666666666667,0.25,0.15,0.404360806609682,-0.1,-0.333333333333333,0.1,0.33714817519944,-0.299166666666667,-0.37370479463263
"TCFLEF",0.570762285461712,0.376681066492782,0.301428571428571,0.375701012112162,0.35801393728223,0.33801393728223,0.114018714118058,0.399946949292198,0.203006323447645,0.0821916187420867,0.0789411407306144,0.246606218465966,0.216311688311688,0.188311688311688,0.22921491411814,0.172380952380952,0.228362978567969,0.153333333333333,0.349380432831102,0.32778574844572,0.306217120994739,-0.390538260758849,0.468213524626333,-0.418389419733513,0.519858718766614,0.519858718766614,0.366124868922274,0.143065722605874,0.137767709360841,0.346019744086531,0.346019744086531,0.346019744086531,0.13309481216458,0.130769230769231,-0.573550399055047,-0.531988994940802,-0.345783777629727,0.0245988023952096,0.196280459420413,0.262559652623591,0.179699703406667,0.237714932126697,0.259195694242864,0.234038461538462,0.209509803921569,0.205833333333333,0.174509803921569,0.170833333333333,0.596020512820513,-0.142857142857143,-0.133333333333333,0.133333333333333,0.319347688506352,-0.190122887864823,-0.37696468751435
"cfos",0.380351164856186,0.284590936489671,0.28,0.324893146647015,0.279130434782609,0.24,0.0411294352823588,0.348155844155844,0.126034021732946,0.0429339477726575,0.0380952380952381,0.120175438596491,0.0583333333333333,0.0333333333333333,0.0833333333333333,0.080952380952381,0.185486111111111,0.0476190476190476,0.187692307692308,0.146153846153846,0.1,-0.492412698412698,0.530861061080039,-0.526455720926599,0.537724355278835,0.537724355278835,0.317346830331048,0.0489814107461166,0.038375350140056,0.278322440087146,0.278322440087146,0.278322440087146,0.0285714285714286,0.0142857142857143,-0.599082282509029,-0.550076394194041,-0.303457792207792,0.0597222222222222,0.422975351589213,0.364990253411306,0.396679055292917,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.365130149024012,-0.109984639016897,-0.286223776223776
"CDC42",0.380351164856186,0.284590936489671,0.18,0.324893146647015,0.279130434782609,0.24,0.0411294352823588,0.348155844155844,0.126034021732946,0.0429339477726575,0.0380952380952381,0.120175438596491,0.0583333333333333,0.0333333333333333,0.0833333333333333,0.080952380952381,0.185486111111111,0.0476190476190476,0.187692307692308,0.146153846153846,0.1,-0.492412698412698,0.530861061080039,-0.526455720926599,0.537724355278835,0.537724355278835,0.317346830331048,0.0489814107461166,0.038375350140056,0.278322440087146,0.278322440087146,0.278322440087146,0.0285714285714286,0.114285714285714,-0.599082282509029,-0.550076394194041,-0.303457792207792,0.0597222222222222,0.422975351589213,0.364990253411306,0.396679055292917,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.365130149024012,-0.109984639016897,-0.286223776223776
"TGF",0.522437888198758,0.423458359821996,0.333333333333333,0.440969089390142,0.39874686716792,0.361904761904762,0.204577691811734,0.456481481481481,0.242054597701149,0.185650048875855,0.182424242424242,0.316979949874687,0.258333333333333,0.233333333333333,0.301190476190476,0.186666666666667,0.302430044182621,0.153333333333333,0.371264367816092,0.333333333333333,0.273333333333333,-0.502720569539791,0.509612450411962,-0.513035435375452,0.549993296812519,0.549993296812519,0.380357142857143,0.078452380952381,0.16952380952381,0.323214285714286,0.323214285714286,0.323214285714286,0.16,0.16,-0.593065595511948,-0.558280751815235,-0.372633802379399,0.0552631578947368,0.426115825584545,0.342264150943396,0.388316782522344,0.28,0.342264150943396,0.28,0.2,0.2,0.1,0.1,0.356084656084656,-0.2,-0.133333333333333,0,0.180510097044069,-0.210804597701149,-0.393073593073593
"NOTCHic",0.401507570770244,0.301855921855922,0.18,0.345238095238095,0.296666666666667,0.246666666666667,0.142296544035674,0.369127491738621,0.142335668758819,0.044570058239123,0.0380952380952381,0.13953488372093,0.0666666666666667,0.0333333333333333,0.1,0.0967948717948718,0.19979562257708,0.0583333333333333,0.207635217074945,0.165529953917051,0.217142857142857,-0.499810213940649,0.524855886208002,-0.525340719272892,0.550418679549114,0.550418679549114,0.321382944891191,0.0503426705933384,0.0407885304659498,0.283451910408432,0.283451910408432,0.283451910408432,0.0311111111111111,0.0111111111111111,-0.612176660591359,-0.562002852638691,-0.303340616193281,0.0795693779904306,0.407973509587468,0.350169185653057,0.38156129584701,0.314685314685315,0.350949050949051,0.314685314685315,0.269230769230769,0.269230769230769,0.2,0.2,0.38293501048218,0,-0.0333333333333333,0.1,0.35217916982403,-0.126206636500754,-0.302105826826565
"PAK1",0.412764957959635,0.308695948422845,0.24,0.366226479980349,0.324893146647015,0.279130434782609,0.0499529646941235,0.376960191981931,0.143034021732946,0.0474500768049155,0.0429339477726575,0.146101364522417,0.0833333333333333,0.0583333333333333,0.120175438596491,0.109984639016897,0.206345006816633,0.080952380952381,0.218461538461538,0.187692307692308,0.146153846153846,-0.530117616445485,0.563772453485102,-0.562536307007185,0.573415673606809,0.573415673606809,0.348710466694685,0.0538994435330019,0.0489814107461166,0.317346830331048,0.317346830331048,0.317346830331048,0.038375350140056,0.0285714285714286,-0.637213770398302,-0.586117003331097,-0.329275974025974,0.0686331133113311,0.444768455037489,0.395721960728379,0.422975351589213,0.364990253411306,0.396679055292917,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.431601140130743,-0.0333333333333333,-0.0476190476190476,0.2,0.383927141505215,-0.126034021732946,-0.314400571803887
"LIV1",0.412764957959635,0.308695948422845,0.24,0.366226479980349,0.324893146647015,0.279130434782609,0.0499529646941235,0.376960191981931,0.143034021732946,0.0474500768049155,0.0429339477726575,0.146101364522417,0.0833333333333333,0.0583333333333333,0.120175438596491,0.109984639016897,0.206345006816633,0.080952380952381,0.218461538461538,0.187692307692308,0.146153846153846,-0.530117616445485,0.563772453485102,-0.562536307007185,0.573415673606809,0.573415673606809,0.348710466694685,0.0538994435330019,0.0489814107461166,0.317346830331048,0.317346830331048,0.317346830331048,0.038375350140056,0.0285714285714286,-0.637213770398302,-0.586117003331097,-0.329275974025974,0.0686331133113311,0.444768455037489,0.395721960728379,0.422975351589213,0.364990253411306,0.396679055292917,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.431601140130743,-0.0333333333333333,-0.0476190476190476,0.2,0.383927141505215,-0.126034021732946,-0.314400571803887
"EGR1",0.412764957959635,0.308695948422845,0.24,0.366226479980349,0.324893146647015,0.279130434782609,0.0499529646941235,0.376960191981931,0.143034021732946,0.0474500768049155,0.0429339477726575,0.146101364522417,0.0833333333333333,0.0583333333333333,0.120175438596491,0.109984639016897,0.206345006816633,0.080952380952381,0.218461538461538,0.187692307692308,0.146153846153846,-0.530117616445485,0.563772453485102,-0.562536307007185,0.573415673606809,0.573415673606809,0.348710466694685,0.0538994435330019,0.0489814107461166,0.317346830331048,0.317346830331048,0.317346830331048,0.038375350140056,0.0285714285714286,-0.637213770398302,-0.586117003331097,-0.329275974025974,0.0686331133113311,0.444768455037489,0.395721960728379,0.422975351589213,0.364990253411306,0.396679055292917,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.431601140130743,-0.0333333333333333,-0.0476190476190476,0.2,0.383927141505215,-0.126034021732946,-0.314400571803887
"Csl",0.433691478816221,0.326757107626673,0.246666666666667,0.386542443064182,0.345238095238095,0.296666666666667,0.153407655146786,0.398247130564806,0.160439117034681,0.0501256137946785,0.044570058239123,0.166666666666667,0.1,0.0666666666666667,0.13953488372093,0.126206636500754,0.22167062257708,0.0967948717948718,0.238544307984036,0.207635217074945,0.165529953917051,-0.539810213940649,0.557890934679292,-0.561885061780538,0.58743525413475,0.58743525413475,0.352265297832367,0.0555580900944721,0.0503426705933384,0.321382944891191,0.321382944891191,0.321382944891191,0.0407885304659498,0.0311111111111111,-0.650897590823917,-0.59969348444697,-0.328819261259555,0.0852604349009997,0.42998608820382,0.380814346943379,0.407973509587468,0.350169185653057,0.38156129584701,0.350949050949051,0.314685314685315,0.314685314685315,0.269230769230769,0.269230769230769,0.41866765829709,-0.0333333333333333,-0.0583333333333333,0.2,0.370399767020861,-0.142335668758819,-0.332059743877256
"TGFR",0.565669329246793,0.45561175215238,0.361904761904762,0.47247593870521,0.440969089390142,0.39874686716792,0.210547841065466,0.49883023592988,0.262958552503409,0.189564639623186,0.185650048875855,0.347212508014222,0.301190476190476,0.258333333333333,0.316979949874687,0.210804597701149,0.32924163838552,0.186666666666667,0.41371041098156,0.371264367816092,0.333333333333333,-0.547363426682649,0.555445783745295,-0.562227121287692,0.594144240208745,0.594144240208745,0.4218776106934,0.0883814589665654,0.078452380952381,0.380357142857143,0.380357142857143,0.380357142857143,0.16952380952381,0.16,-0.644002563143975,-0.602562276741921,-0.406619132452749,0.0713125406107862,0.456319545690833,0.388070602556299,0.426115825584545,0.342264150943396,0.388316782522344,0.342264150943396,0.28,0.28,0.2,0.2,0.410591093852896,-0.233333333333333,-0.153333333333333,0.1,0.208131064786004,-0.242054597701149,-0.431645021645022
"ZEB1",0.455657421929484,0.330075005086143,0.2,0.323863176988857,0.290823529411765,0.252,0.146571554524922,0.465188187772425,0.245604252700757,0.131244930164769,0.126437237857077,0.264765602530917,0.210175438596491,0.173333333333333,0.234765602530917,0.206060606060606,0.317399571389255,0.183333333333333,0.349724517906336,0.316666666666667,0.283333333333333,-0.546386197504656,0.525415261322397,-0.641448263065392,0.595832468381194,0.595832468381194,0.439158271021733,0.0630362933166296,0.0555559783559997,0.410339373383937,0.410339373383937,0.410339373383937,0.0469265367316342,0.0367816091954023,-0.642278981633898,-0.615155860817141,-0.383554096054274,0.130019493177388,0.495826161915547,0.450872070264829,0.474886827277582,0.420975163048334,0.449354912383965,0.419493801272854,0.384436701509872,0.38223889931207,0.338095238095238,0.335897435897436,0.48012547234277,-0.133333333333333,-0.158333333333333,0.266666666666667,0.398927810504824,-0.229590017825312,-0.318492133269696
"SNAI1",0.439067372190893,0.230226197533165,0.279130434782609,0.394029170563308,0.366226479980349,0.324893146647015,0.0576910599322188,0.402293525315264,0.157985478043626,0.0524931272354198,0.0474500768049155,0.170406920077973,0.120175438596491,0.0833333333333333,0.146101364522417,0.126034021732946,0.224697947993103,0.109984639016897,0.245400313971743,0.218461538461538,0.187692307692308,-0.562204843859816,0.591026895322179,-0.592484493535682,0.603304972499798,0.603304972499798,0.373833619404044,0.0597462177265503,0.0538994435330019,0.348710466694685,0.348710466694685,0.348710466694685,0.0489814107461166,0.038375350140056,-0.669159660096533,-0.617144861160108,-0.350068053233895,0.0742934906698217,0.462734381728248,0.421864556706441,0.444768455037489,0.395721960728379,0.422975351589213,0.396679055292917,0.364990253411306,0.365985985985986,0.328148148148148,0.328148148148148,0.461671070200673,-0.0583333333333333,-0.080952380952381,0.28,0.398729773084163,-0.143034021732946,-0.341178814481711
"SMAD",0.476982779188545,0.363827129859388,0.285714285714286,0.410856388547686,0.369510234701533,0.327649769585253,0.172969177770818,0.41872764059142,0.261480139376783,0.0530881447319803,0.147850049493885,0.272397759103641,0.207142857142857,0.183333333333333,0.244397759103641,0.225833333333333,0.325535120793185,0.195833333333333,0.341735084838533,0.309195402298851,0.266666666666667,-0.558297070939954,0.57050922458721,-0.574142101476587,0.605122522547185,0.605122522547185,0.436600459813687,0.0757684062785163,0.0697923106609864,0.404692565076845,0.404692565076845,0.404692565076845,0.0602951039570758,0.0476190476190476,-0.662636447414728,-0.616111020656268,-0.367414532000998,0.0785122744750074,0.444176934193522,0.392983635069966,0.421279264487342,0.35989010989011,0.39373516679399,0.360644257703081,0.321428571428571,0.321428571428571,0.271428571428571,0.271428571428571,0.427774548971333,-0.15,-0.158333333333333,0.2,0.280445873732884,-0.243264525993884,-0.357945283712396
"GLI",0.475827743378053,0.371984552852775,0.374285714285714,0.494333668173447,0.456212121212121,0.415952380952381,0.102540258270309,0.411137270576999,0.28369485220989,0.0973062008448368,0.0924413359799719,0.20171970103831,0.142982456140351,0.116666666666667,0.17359470103831,0.244768170426065,0.247645285742203,0.218452380952381,0.266292787672098,0.232007073386384,0.192007073386384,-0.568413556413556,0.584586686574155,-0.584099952077456,0.613348352961256,0.613348352961256,0.439894001010047,0.190459400155638,0.183635870743873,0.406428654475393,0.406428654475393,0.406428654475393,0.175459770114943,0.161666666666667,-0.662514369763567,-0.62499393279579,-0.418762199419493,0.0661747691836187,0.468164115721804,0.413687270378295,0.443956106158146,0.478368121442125,0.414085976288017,0.37874114870181,0.434838709677419,0.334838709677419,0.38,0.28,0.444557669082126,-0.0833333333333333,-0.180952380952381,0.2,0.346759263647157,-0.265176333691371,-0.372501407893662
