"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","TWIST1","ILK","SHH","AKT","IKK","SMO","NFB","Jagged","FUS","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","SNAI2","ZEB2","ZEB1","KLF4","RAS","RAF","PI3K","DELTA","cateninmemb","miR200","GSK3","Ecadherin","cateninnuc","GLI","TCFLEF","Wnt","CD44","Frizzled","cMet","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"STAT",0.23538073038073,0.231795900178253,0.212477718360071,0.174242424242424,0.140909090909091,0.218407329105004,0.160932848990184,0.2,0.195151515151515,0.18,0.0586666666666667,0.0662755923625489,0.100035301237224,0.0615136876006441,0.0724929971988796,0.0527272727272727,0.04,0.0535714285714286,0.02,0.0798924731182796,0.025,0,0.0511363636363636,0.0375,0.00416666666666667,0.00603539200750029,0.131735272394139,0.45097465034965,0.45097465034965,-0.33047138047138,-0.00986658601337501,-0.0227106227106227,-0.0227106227106227,-0.0227106227106227,-0.224570682482075,-0.466021482543222,0.0262488590158493,-0.246537895596829,0.066031421902696,0.0424825174825175,0.0533553655646679,0.0356643356643357,0.0426410798503822,0.0205128205128205,0.0356643356643357,0.0205128205128205,-0.0333333333333333,-0.0333333333333333,-0.0123791102514507,0,0,0,-0.0448640835710749,-0.0685714285714286,-0.182225789192081
"cMet",0.406955128205128,0.409178743961353,0.372222222222222,0.35,0.3,0.420454545454546,0.407502429008781,0.325,0.415,0.385,0.21781905744754,0.21034632034632,0.398664081017022,0.197619047619048,0.207431457431457,0.2725,0.26,0.15,0.266666666666667,0.231007957559682,0.15,0.2,0.282902909447532,0.24812030075188,0.242857142857143,0.0109523809523809,0.498281753420366,0.458008658008658,0.458008658008658,-0.320634920634921,0.251843137254902,0.207843137254902,0.207843137254902,0.207843137254902,-0.29461246399581,-0.467637104743083,-0.263934538835368,-0.343285030367492,0.17612784383753,0.104945054945055,0.147254604400911,0.0357142857142857,0.104135338345865,-0.05,0.0357142857142857,0.05,-0.1,0,0.0568421052631579,-0.2,-0.1,0.1,-0.122297967461622,-0.177272727272727,-0.453333333333333
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.258333333333333,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.290217391304348,0.0666666666666667,0.121794871794872,0.0888888888888889,0.0333333333333333,0.0333333333333333,0,0.160478468899522,0,0,0.231428571428571,0.16,0.1,0.12,0.430932203389831,0.46207729468599,0.46207729468599,-0.405555555555556,0.25,0.18,0.18,0.18,-0.438927738927739,-0.472121212121212,-0.233333333333333,-0.502783160614486,0.321941826289652,0.263636363636364,0.294405594405594,0.2,0.263636363636364,0.1,0.2,0.1,0,0,0.277777777777778,0,0,0,0.288829431438127,-0.0833333333333333,-0.235897435897436
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.258333333333333,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.290217391304348,0.0666666666666667,0.121794871794872,0.0888888888888889,0.0333333333333333,0.0333333333333333,0,0.160478468899522,0,0,0.231428571428571,0.16,0.1,0.12,0.430932203389831,0.46207729468599,0.46207729468599,-0.405555555555556,0.25,0.18,0.18,0.18,-0.438927738927739,-0.472121212121212,-0.233333333333333,-0.502783160614486,0.321941826289652,0.263636363636364,0.294405594405594,0.2,0.263636363636364,0.1,0.2,0.1,0,0,0.277777777777778,0,0,0,0.288829431438127,-0.0833333333333333,-0.235897435897436
"NFB",0.534516832664046,0.563139269776438,0.523212529849698,0.467460317460317,0.405555555555556,0.302973304473304,0.311920724535403,0.142857142857143,0.251584415584416,0.178857142857143,0.198011573050273,0.199095938586254,0.551920529384358,0.18578795379538,0.267438364459482,0.353174603174603,0.31984126984127,0.226153846153846,0.264285714285714,0.292072561584757,0.18,0.314285714285714,0.390660096645957,0.356331738437002,0.305454545454545,0.32965367965368,0.683951719555945,0.471335597057159,0.471335597057159,-0.414350355526826,0.398576675849403,0.368273645546373,0.368273645546373,0.368273645546373,-0.677124544392937,-0.47631684553293,-0.235672068833961,-0.724572970017258,0.437492569902562,0.383628135223555,0.411490278951817,0.353857142857143,0.383087912087912,0.317857142857143,0.353857142857143,0.317857142857143,0.275,0.275,0.424191027956833,-0.3,-0.12,0.2,0.135843893765327,-0.246908563134978,-0.309781804013248
"SMO",0.411044417767107,0.499262295081967,0.455,0.425,0.4,0.378571428571429,0.347380952380952,0.2,0.35,0.3,0.128937728937729,0.132280701754386,0.264502164502164,0.12,0.304166666666667,0.222463768115942,0.183333333333333,0.233333333333333,0.15,0.220289855072464,0.333333333333333,0.1,0.300392156862745,0.253333333333333,0.22,0.2175,0.446525404420141,0.473989898989899,0.473989898989899,-0.41010101010101,0.361305361305361,0.324941724941725,0.324941724941725,0.324941724941725,-0.405014958274288,-0.484401709401709,-0.315066844919786,-0.453994550111022,0.208125792336319,0.253846153846154,0.184149184149184,0.2,0.150815850815851,0.133333333333333,0.096969696969697,0.0333333333333333,0.1,0,0.322380952380952,0,-0.3,0.1,0.284786034878542,-0.266666666666667,-0.338787878787879
"TWIST1",0.518559698478934,0.50249174498349,0.467007874015748,0.43,0.38,0.464438502673797,0.460893784554957,0.28,0.426791443850267,0.370909090909091,0.242579942579943,0.235566903802198,0.445415825349325,0.219270607505902,0.435408905690922,0.446422893481717,0.407207207207207,0.373809523809524,0.366666666666667,0.379067311589459,0.35,0.3,0.397270411067535,0.358716194200065,0.323232323232323,0.292134502923977,0.717239798628077,0.478458628841608,0.478458628841608,-0.399194139194139,0.429740451307159,0.399973009446694,0.399973009446694,0.399973009446694,-0.79403081232493,-0.487192833290205,-0.38055367005214,-0.839721266449119,0.433989761688448,0.383431235431235,0.411353658536585,0.346461538461538,0.382085365853659,0.308,0.3455,0.308,0.28,0.28,0.435311578113436,-0.2,-0.3,0.26,0.366665413986161,-0.406067588325653,-0.448318122555411
"SRC",0.417262541380188,0.413088235294118,0.375833333333333,0.345833333333333,0.333333333333333,0.335392385392385,0.31706662970791,0.3,0.316161616161616,0.327272727272727,0.126804038397881,0.113934329065908,0.275023342670402,0.109429824561404,0.102564102564103,0.171978021978022,0.157692307692308,0.0533333333333333,0.15,0.123711340206186,0.0333333333333333,0.15,0.180769230769231,0.15,0.12,0.0117647058823529,0.231169069119599,0.483547008547008,0.483547008547008,-0.354328165374677,0.235860732424485,0.206550387596899,0.206550387596899,0.206550387596899,-0.26978575116159,-0.495016790989331,-0.16530612244898,-0.306224107325974,0.112694834353681,0.070828331332533,0.094265831332533,0.0361344537815126,0.070828331332533,-0.0285714285714286,0.0361344537815126,-0.0285714285714286,-0.1,0,0.00432748538011697,-0.1,-0.0333333333333333,0,-0.0643935759029722,-0.0764102564102564,-0.409494949494949
"FUS",0.45435150438128,0.544360334297654,0.499262295081967,0.455,0.425,0.411904761904762,0.377613510520487,0.3,0.378571428571429,0.35,0.141840954744181,0.140852130325815,0.302433198984923,0.132280701754386,0.329467871485944,0.257246376811594,0.222463768115942,0.266666666666667,0.183333333333333,0.244099378881988,0.233333333333333,0.15,0.342058823529412,0.300392156862745,0.253333333333333,0.233779069767442,0.482422840317577,0.518434343434343,0.518434343434343,-0.455555555555555,0.38987678987679,0.361305361305361,0.361305361305361,0.361305361305361,-0.453994550111022,-0.527735042735043,-0.338622400475342,-0.498974469789737,0.22995985347169,0.288131868131868,0.208125792336319,0.253846153846154,0.184149184149184,0.2,0.150815850815851,0.096969696969697,0.133333333333333,0.0333333333333333,0.362921492921493,-0.1,-0.333333333333333,0,0.300378550471057,-0.304166666666667,-0.381645021645022
"NOTCH",0.374559270516717,0.393624521072797,0.331555555555555,0.255555555555556,0.2,0.350952380952381,0.29603825136612,0.2,0.286666666666667,0.22,0.171014492753623,0.0814285714285714,0.33252508361204,0.0714285714285714,0.146794871794872,0.133333333333333,0.0888888888888889,0.0833333333333333,0.0333333333333333,0.179627405069734,0.0333333333333333,0,0.183152709359606,0.231428571428571,0.16,0.167368421052632,0.474521946979574,0.52133655394525,0.52133655394525,-0.46207729468599,0.293333333333333,0.25,0.25,0.25,-0.502783160614486,-0.529264069264069,-0.267510548523207,-0.561577130463732,0.352328566621144,0.294405594405594,0.321941826289652,0.263636363636364,0.294405594405594,0.2,0.263636363636364,0.2,0.1,0.1,0.327777777777778,0,0,0,0.310617140935334,-0.121794871794872,-0.28762157382847
"cfos",0.398855542216887,0.417551020408163,0.377551020408163,0.314285714285714,0.242857142857143,0.388245877061469,0.311867539468618,0.32,0.336521739130435,0.28,0.0813593203398301,0.0933521078682369,0.348738512949039,0.0788359788359788,0.151979949874687,0.155968468468468,0.120833333333333,0.10952380952381,0.0833333333333333,0.189963846003518,0.0761904761904762,0.0333333333333333,0.20425988700565,0.168666666666667,0.116666666666667,0.191785714285714,0.520893760727575,0.559590272890765,0.559590272890765,-0.509936507936508,0.331044600938967,0.295833333333333,0.295833333333333,0.295833333333333,-0.551053177188427,-0.571313895817207,-0.29702380952381,-0.598639384084979,0.399200610233644,0.340808080808081,0.371139385743848,0.314141414141414,0.341727621037966,0.277777777777778,0.314141414141414,0.277777777777778,0.2,0.2,0.379567713610267,0,-0.0333333333333333,0.1,0.344463583082267,-0.136190476190476,-0.317836186801704
"CDC42",0.398855542216887,0.417551020408163,0.377551020408163,0.314285714285714,0.342857142857143,0.388245877061469,0.311867539468618,0.22,0.336521739130435,0.28,0.0813593203398301,0.0933521078682369,0.348738512949039,0.0788359788359788,0.151979949874687,0.155968468468468,0.120833333333333,0.10952380952381,0.0833333333333333,0.189963846003518,0.0761904761904762,0.0333333333333333,0.20425988700565,0.168666666666667,0.116666666666667,0.191785714285714,0.520893760727575,0.559590272890765,0.559590272890765,-0.509936507936508,0.331044600938967,0.295833333333333,0.295833333333333,0.295833333333333,-0.551053177188427,-0.571313895817207,-0.29702380952381,-0.598639384084979,0.399200610233644,0.340808080808081,0.371139385743848,0.314141414141414,0.341727621037966,0.277777777777778,0.314141414141414,0.277777777777778,0.2,0.2,0.379567713610267,0,-0.0333333333333333,0.1,0.344463583082267,-0.136190476190476,-0.317836186801704
"TGF",0.533611111111111,0.548888888888889,0.593333333333333,0.526666666666667,0.46,0.474670008354219,0.440769230769231,0.333333333333333,0.423558897243108,0.376190476190476,0.231850419084462,0.22603128054741,0.459491228070175,0.211515151515151,0.26340007415647,0.341791979949875,0.315476190476191,0.203333333333333,0.258333333333333,0.311274745853398,0.153333333333333,0.233333333333333,0.386190476190476,0.343333333333333,0.273333333333333,0.181578947368421,0.503675033505744,0.559795668354021,0.559795668354021,-0.507068395626748,0.391274509803922,0.338333333333333,0.338333333333333,0.338333333333333,-0.530350631136045,-0.567284583232859,-0.369361006814073,-0.591093336706337,0.407446826397646,0.333333333333333,0.372677595628415,0.277777777777778,0.333333333333333,0.2,0.277777777777778,0.2,0.1,0.1,0.350812567713976,-0.2,-0.133333333333333,0,0.167579640846968,-0.234367816091954,-0.411688311688312
"NOTCHic",0.414382279366275,0.431754017475675,0.393624521072797,0.331555555555555,0.255555555555556,0.406834733893557,0.322049812059762,0.22,0.350952380952381,0.286666666666667,0.184860646599777,0.0979753340184995,0.364855910679709,0.0814285714285714,0.163073941562314,0.169918699186992,0.133333333333333,0.121794871794872,0.0888888888888889,0.199007250030975,0.0833333333333333,0.0333333333333333,0.217481067568561,0.183152709359606,0.231428571428571,0.219749373433584,0.512243465966916,0.569428156998685,0.569428156998685,-0.515648723257419,0.328217054263566,0.293333333333333,0.293333333333333,0.293333333333333,-0.561577130463732,-0.580743359204898,-0.293114413257506,-0.609873723650105,0.380622303122224,0.321166157785876,0.352328566621144,0.294405594405594,0.321941826289652,0.263636363636364,0.294405594405594,0.263636363636364,0.2,0.2,0.364060963618486,0,-0.0333333333333333,0.1,0.32904364197053,-0.146794871794872,-0.327920081291157
"TCFLEF",0.619937468574692,0.609416372005505,0.581114485213052,0.549155722326454,0.507692307692308,0.529104879825378,0.437068849017377,0.431428571428571,0.501047325868543,0.472891986062718,0.202196974022267,0.185388951831634,0.437123620581715,0.175408521303258,0.283022988505747,0.311754590237349,0.291064935064935,0.241666666666667,0.271064935064935,0.285489725470526,0.216666666666667,0.235064935064935,0.397573528896214,0.373045227009421,0.346958270487682,0.201308904676116,0.497564914787066,0.578441111039002,0.578441111039002,-0.441217532467533,0.411631569886388,0.387450602647698,0.387450602647698,0.387450602647698,-0.602254337107307,-0.589458214410896,-0.359197157714138,-0.638597452231461,0.221237269461904,0.27944943268114,0.201016003327916,0.249368131868132,0.27531067417431,0.2175,0.245558608058608,0.213690476190476,0.18,0.176190476190476,0.609668793942631,-0.171428571428571,-0.183333333333333,0.133333333333333,0.319615415718905,-0.26235632183908,-0.438837549866182
"PAK1",0.428357457925699,0.446522983024986,0.417551020408163,0.377551020408163,0.314285714285714,0.434345167841611,0.335878093558327,0.28,0.388245877061469,0.336521739130435,0.100476967398654,0.107825792078763,0.377309941520468,0.0933521078682369,0.170458210744252,0.1814586645469,0.155968468468468,0.136190476190476,0.120833333333333,0.212707528313987,0.10952380952381,0.0833333333333333,0.23050988700565,0.20425988700565,0.168666666666667,0.219445288753799,0.554149844157471,0.597845306447812,0.597845306447812,-0.551603174603175,0.362551450254036,0.331044600938967,0.331044600938967,0.331044600938967,-0.598639384084979,-0.610100175500584,-0.319868637110016,-0.63790543913085,0.422216483249517,0.37029526029526,0.399200610233644,0.340808080808081,0.371139385743848,0.314141414141414,0.341727621037966,0.314141414141414,0.277777777777778,0.277777777777778,0.412361235877473,-0.0333333333333333,-0.0761904761904762,0.2,0.361304686793019,-0.151979949874687,-0.348424422095822
"LIV1",0.428357457925699,0.446522983024986,0.417551020408163,0.377551020408163,0.314285714285714,0.434345167841611,0.335878093558327,0.28,0.388245877061469,0.336521739130435,0.100476967398654,0.107825792078763,0.377309941520468,0.0933521078682369,0.170458210744252,0.1814586645469,0.155968468468468,0.136190476190476,0.120833333333333,0.212707528313987,0.10952380952381,0.0833333333333333,0.23050988700565,0.20425988700565,0.168666666666667,0.219445288753799,0.554149844157471,0.597845306447812,0.597845306447812,-0.551603174603175,0.362551450254036,0.331044600938967,0.331044600938967,0.331044600938967,-0.598639384084979,-0.610100175500584,-0.319868637110016,-0.63790543913085,0.422216483249517,0.37029526029526,0.399200610233644,0.340808080808081,0.371139385743848,0.314141414141414,0.341727621037966,0.314141414141414,0.277777777777778,0.277777777777778,0.412361235877473,-0.0333333333333333,-0.0761904761904762,0.2,0.361304686793019,-0.151979949874687,-0.348424422095822
"EGR1",0.428357457925699,0.446522983024986,0.417551020408163,0.377551020408163,0.314285714285714,0.434345167841611,0.335878093558327,0.28,0.388245877061469,0.336521739130435,0.100476967398654,0.107825792078763,0.377309941520468,0.0933521078682369,0.170458210744252,0.1814586645469,0.155968468468468,0.136190476190476,0.120833333333333,0.212707528313987,0.10952380952381,0.0833333333333333,0.23050988700565,0.20425988700565,0.168666666666667,0.219445288753799,0.554149844157471,0.597845306447812,0.597845306447812,-0.551603174603175,0.362551450254036,0.331044600938967,0.331044600938967,0.331044600938967,-0.598639384084979,-0.610100175500584,-0.319868637110016,-0.63790543913085,0.422216483249517,0.37029526029526,0.399200610233644,0.340808080808081,0.371139385743848,0.314141414141414,0.341727621037966,0.314141414141414,0.277777777777778,0.277777777777778,0.412361235877473,-0.0333333333333333,-0.0761904761904762,0.2,0.361304686793019,-0.151979949874687,-0.348424422095822
"ZEB1",0.451743615861263,0.48031746031746,0.448689553340716,0.41031746031746,0.361111111111111,0.355607103355045,0.333395965908054,0.216666666666667,0.316772151898734,0.275,0.184066095195127,0.177270488249398,0.453422806265802,0.165878083186107,0.257256835637481,0.27505148467433,0.24536398467433,0.21547619047619,0.217777777777778,0.312486920902068,0.191666666666667,0.173333333333333,0.345789178581441,0.315057471264368,0.281724137931034,0.280717086834734,0.511620099219497,0.598970921551567,0.598970921551567,-0.549591418813047,0.433930509306059,0.405643656716418,0.405643656716418,0.405643656716418,-0.598768392899328,-0.618172386997088,-0.366901861569215,-0.636561496347604,0.471097518071888,0.428728902953586,0.450654713643844,0.40206223628692,0.426423944413075,0.370416666666667,0.399853896103896,0.367386363636364,0.326666666666667,0.323636363636364,0.461989245356307,-0.133333333333333,-0.158333333333333,0.26,0.373268994947395,-0.238056835637481,-0.323868517147561
"TGFR",0.576468253968254,0.59392705682782,0.548888888888889,0.593333333333333,0.526666666666667,0.517725563909774,0.474725617062066,0.376190476190476,0.474670008354219,0.423558897243108,0.248268329532223,0.239198540333886,0.497952766531714,0.22603128054741,0.288843861138719,0.372744360902256,0.341791979949875,0.234367816091954,0.315476190476191,0.33810401414608,0.203333333333333,0.258333333333333,0.425725359911406,0.386190476190476,0.343333333333333,0.223351099267155,0.547919138914898,0.60692210513563,0.60692210513563,-0.557068395626748,0.432334112452928,0.391274509803922,0.391274509803922,0.391274509803922,-0.591093336706337,-0.615059063945025,-0.400319910923662,-0.642898007619288,0.437041098474018,0.372533333333333,0.407446826397646,0.333333333333333,0.372677595628415,0.277777777777778,0.333333333333333,0.277777777777778,0.2,0.2,0.400035365641437,-0.233333333333333,-0.153333333333333,0.1,0.190693413302057,-0.26340007415647,-0.451394194041253
"Csl",0.443140449300915,0.460135980340396,0.431754017475675,0.393624521072797,0.331555555555555,0.451213432118409,0.347216849921677,0.286666666666667,0.406834733893557,0.350952380952381,0.206429274050757,0.11349257539781,0.39378153051442,0.0979753340184995,0.183073941562314,0.196585365853659,0.169918699186992,0.146794871794872,0.133333333333333,0.223382250030975,0.121794871794872,0.0888888888888889,0.244465194552688,0.217481067568561,0.183152709359606,0.24296365914787,0.545707646536101,0.608024648226755,0.608024648226755,-0.558295782080948,0.359282813900754,0.328217054263566,0.328217054263566,0.328217054263566,-0.609873723650105,-0.620053704032484,-0.315971556114649,-0.649478466733109,0.403426357176278,0.351600940394572,0.380622303122224,0.321166157785876,0.352328566621144,0.294405594405594,0.321941826289652,0.294405594405594,0.263636363636364,0.263636363636364,0.396714024842976,-0.0333333333333333,-0.0833333333333333,0.2,0.345473341812553,-0.163073941562314,-0.359263364873246
"SMAD",0.486636790439607,0.502120289203025,0.470010197459905,0.429637526652452,0.371428571428571,0.46658309655134,0.385001433920026,0.314285714285714,0.421505376344086,0.369124423963134,0.229016604874041,0.118304472857253,0.415666159003817,0.204578982661174,0.28904295351003,0.304079220340619,0.273582766439909,0.247149122807018,0.238888888888889,0.332051756958378,0.220833333333333,0.205555555555556,0.35035631035631,0.319447219447219,0.283549783549784,0.24992042218127,0.560190350974161,0.623510277771231,0.623510277771231,-0.573930725162068,0.444968416033575,0.412968416033575,0.412968416033575,0.412968416033575,-0.6204565679713,-0.63409089581447,-0.35563435715528,-0.661953166610756,0.420277082554742,0.367842851061242,0.397154843968586,0.335461898680289,0.368610420528133,0.304597701149425,0.336243270769678,0.304597701149425,0.266666666666667,0.266666666666667,0.408600856720045,-0.15,-0.183333333333333,0.2,0.257238853525869,-0.268717750257998,-0.383140539175022
"SNAI1",0.454412770880575,0.47321337448406,0.446522983024986,0.417551020408163,0.377551020408163,0.46587226143767,0.259503348140812,0.336521739130435,0.434345167841611,0.388245877061469,0.117802195362179,0.117903311458608,0.403612355751726,0.107825792078763,0.190023428135556,0.207022574321336,0.1814586645469,0.151979949874687,0.155968468468468,0.234833965095596,0.136190476190476,0.120833333333333,0.257478860752666,0.23050988700565,0.20425988700565,0.233852068414816,0.582625481171329,0.629243723334356,0.629243723334356,-0.586456594798614,0.388271614863089,0.362551450254036,0.362551450254036,0.362551450254036,-0.63790543913085,-0.642818124218533,-0.339738343950407,-0.671476867702279,0.440063947438445,0.398616062300273,0.422216483249517,0.37029526029526,0.399200610233644,0.340808080808081,0.371139385743848,0.341727621037966,0.314141414141414,0.314141414141414,0.442251689711589,-0.0833333333333333,-0.10952380952381,0.277777777777778,0.375167502677496,-0.170458210744252,-0.376113209281176
"GLI",0.490667568239498,0.606115288220551,0.571904761904762,0.529047619047619,0.468333333333333,0.552744943754736,0.399976955099613,0.402857142857143,0.508558897243108,0.461190476190476,0.15473324072645,0.158043288659196,0.414031369229316,0.144856475472383,0.315514682093125,0.234405857540025,0.204897660818713,0.271348133848134,0.175730994152047,0.259293841263231,0.247023809523809,0.138888888888889,0.279614131316259,0.247699237699238,0.212564102564103,0.227708059090244,0.577999163649978,0.633988369753059,0.633988369753059,-0.586057838660578,0.456917426427863,0.422645125958379,0.422645125958379,0.422645125958379,-0.621681877711657,-0.645040210260999,-0.410584480857981,-0.664997385733048,0.449800965368352,0.394229442055529,0.425075226971728,0.460163507989595,0.394373472585763,0.423931623931624,0.36029526029526,0.323931623931624,0.377777777777778,0.277777777777778,0.429242918617298,-0.0833333333333333,-0.20952380952381,0.2,0.325784573810445,-0.293928779009424,-0.403743357623955
