"","FOXC2","TGF","TGFR","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","IKK","TWIST1","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","SNAI2","ZEB2","ZEB1","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","miR200","GSK3","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"ERK",0.363529346252634,0.391468015857101,0.362007434944238,0.208261083763803,0.265962166343517,0.187241379310345,0.173429623089645,0.227666911225238,0.175328971813063,0.177543515132914,0.166088406773781,0.245105387910195,0.210351238076548,0.185580595874714,0.430823608944348,0.156168831168831,0.208590163934426,0.184,0.298429278932633,0.110714285714286,0.275615927119253,0.247638087784073,0.21041181041181,0.122900093370682,-0.402260635170872,0.687740147436467,0.439591316846802,0.439591316846802,-0.544290964558391,0.158074692084593,0.129801864801865,0.129801864801865,0.129801864801865,-0.617611960587927,-0.449321085241392,-0.214034722087363,0.419886005646779,0.378681669207985,0.400401864831164,0.352867132867133,0.377496836898203,0.351288185498712,0.32,0.318421052631579,0.27,0.268421052631579,0.411646311331399,-0.0857142857142857,-0.14,0.2,0.0585495933272615,-0.227544412300439,-0.281741958528378
"cMet",0.404391025641026,0.405555555555556,0.372222222222222,0.420454545454546,0.401657412827654,0.325,0.415,0.385,0.21781905744754,0.21034632034632,0.197619047619048,0.205397727272727,0.2725,0.26,0.392850482850483,0.266666666666667,0.15,0.15,0.225487990270599,0.2,0.280035194368901,0.24812030075188,0.242857142857143,0.0109523809523809,-0.320634920634921,0.48879143565275,0.457369614512472,0.457369614512472,-0.196763716710336,0.245318957771788,0.203809523809524,0.203809523809524,0.203809523809524,-0.332087289155158,-0.467132675609225,-0.259293394777266,0.166176182246344,0.086969696969697,0.132277877161598,0.0233333333333333,0.0861240310077519,0.0233333333333333,-0.05,0.05,-0.1,0,0.0419047619047619,-0.2,-0.1,0.1,-0.127328695606007,-0.177272727272727,-0.452005590496157
"Jagged",0.311278195488722,0.330555555555556,0.255555555555556,0.286666666666667,0.253491436100132,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.0333333333333333,0.291666666666667,0,0.0333333333333333,0,0.166493506493506,0,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.43868778280543,0.46010101010101,0.46010101010101,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.512674109516215,-0.470741901776385,-0.23639846743295,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.233333333333333
"DELTA",0.311278195488722,0.330555555555556,0.255555555555556,0.286666666666667,0.253491436100132,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.0333333333333333,0.291666666666667,0,0.0333333333333333,0,0.166493506493506,0,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.43868778280543,0.46010101010101,0.46010101010101,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.512674109516215,-0.470741901776385,-0.23639846743295,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.233333333333333
"NFB",0.536749265923657,0.570242757963522,0.525081467640942,0.302857142857143,0.31124111742156,0.142857142857143,0.24952380952381,0.176190476190476,0.198271768871721,0.19909174480603,0.185578231292517,0.281872950952705,0.359678834678835,0.321042471042471,0.564047749225442,0.264285714285714,0.228148148148148,0.18,0.313633569657388,0.314285714285714,0.404091333503098,0.362914862914863,0.307359307359307,0.335592096075967,-0.407759784075574,0.697769678133315,0.466751562675476,0.466751562675476,-0.611086473078969,0.415098655453593,0.380598655453593,0.380598655453593,0.380598655453593,-0.728577757713506,-0.471981547389896,-0.252064549623605,0.464446300163564,0.40957264957265,0.438555563821521,0.376239316239316,0.409193861693862,0.376239316239316,0.331623931623932,0.331623931623932,0.277777777777778,0.277777777777778,0.443308761226911,-0.3,-0.12,0.2,0.159027171059674,-0.256719576719577,-0.309191590390378
"SRC",0.404437229437229,0.397414182475158,0.367784552845528,0.331546231546232,0.301440781440781,0.3,0.316161616161616,0.327272727272727,0.126804038397881,0.114016980524706,0.109429824561404,0.0953812636165577,0.168803418803419,0.157692307692308,0.25646507573281,0.15,0.0533333333333333,0.0333333333333333,0.110475770406963,0.15,0.168809523809524,0.143809523809524,0.12,0.00857142857142857,-0.352777777777778,0.206949011536696,0.478074838440692,0.478074838440692,-0.109475887902956,0.219246027231008,0.191973299958281,0.191973299958281,0.191973299958281,-0.272302808302808,-0.490250329380764,-0.152380952380952,0.0809864395049155,0.0344262295081967,0.0612554978008796,0,0.0344262295081967,0,-0.05,-0.05,-0.1,0,-0.0271686004505079,-0.1,-0.0333333333333333,0,-0.079581541646759,-0.0718518518518519,-0.400676554774915
"SMO",0.426127819548872,0.520797101449275,0.479130434782609,0.391346153846154,0.35307519640853,0.2,0.353846153846154,0.3,0.128937728937729,0.134754098360656,0.12,0.324166666666667,0.236857142857143,0.192857142857143,0.281745120551091,0.15,0.253333333333333,0.333333333333333,0.239312169312169,0.1,0.323787878787879,0.278787878787879,0.233333333333333,0.255263157894737,-0.41207729468599,0.458239821078297,0.478890160183066,0.478890160183066,-0.399013899816417,0.382479874776386,0.347596153846154,0.347596153846154,0.347596153846154,-0.444883234192553,-0.488888888888889,-0.335225292506846,0.302638863446704,0.344444444444444,0.275091693635383,0.3,0.241111111111111,0.196666666666667,0.25,0.15,0.2,0.1,0.366472607851918,0,-0.3,0.1,0.319191970819878,-0.290833333333333,-0.347032967032967
"TWIST1",0.536351476596155,0.523138028856056,0.485142690860718,0.475000492950804,0.478321530843186,0.277777777777778,0.429082125603865,0.369082125603865,0.250949050949051,0.244134263875042,0.225490196078431,0.461420684215715,0.463578595317726,0.419230769230769,0.461926764022932,0.369230769230769,0.394685990338164,0.355555555555556,0.410736983016977,0.3,0.420677013045434,0.380292397660819,0.335555555555555,0.314996114996115,-0.401418198320853,0.72861808943183,0.486602364406103,0.486602364406103,-0.655449108777502,0.450875936973208,0.41997315919543,0.41997315919543,0.41997315919543,-0.824534607206072,-0.494908789386401,-0.401825270514926,0.467577856345598,0.417103236381908,0.443979725504476,0.384582911178656,0.416141467339624,0.38389656938044,0.348412698412698,0.348412698412698,0.309523809523809,0.309523809523809,0.460045160442737,-0.2,-0.3,0.266666666666667,0.395462534088364,-0.431828847481021,-0.461810125968209
"NOTCH",0.372980323148296,0.393888888888889,0.330555555555556,0.34962962962963,0.295029897638593,0.2,0.286666666666667,0.22,0.171014492753623,0.0817733990147783,0.0714285714285714,0.151206636500754,0.133333333333333,0.0888888888888889,0.339942528735632,0.0333333333333333,0.0833333333333333,0.0333333333333333,0.196123136123136,0,0.186267281105991,0.231428571428571,0.16,0.167368421052632,-0.46010101010101,0.487623953018196,0.517793317793318,0.517793317793318,-0.483570899078683,0.303451910408432,0.252727272727273,0.252727272727273,0.252727272727273,-0.571690502958838,-0.525965782373399,-0.277307558342041,0.382916264063805,0.314685314685315,0.350949050949051,0.269230769230769,0.314685314685315,0.269230769230769,0.2,0.2,0.1,0.1,0.338490566037736,0,0,0,0.329512503157363,-0.121794871794872,-0.283333333333333
"FUS",0.465317008738061,0.561014492753623,0.520797101449275,0.428555456171735,0.381921350254684,0.3,0.391346153846154,0.353846153846154,0.14535563938549,0.145420765027322,0.134754098360656,0.349939862542955,0.271472527472527,0.236857142857143,0.316851503529814,0.192857142857143,0.290833333333333,0.253333333333333,0.266141437604852,0.15,0.362424242424242,0.323787878787879,0.278787878787879,0.272910216718266,-0.457840006550397,0.493618882450138,0.521565319418735,0.521565319418735,-0.436983824628448,0.412610879143199,0.382479874776386,0.382479874776386,0.382479874776386,-0.487025097892136,-0.531452991452992,-0.359640008225909,0.325484280683366,0.379059829059829,0.302638863446704,0.344444444444444,0.275091693635383,0.241111111111111,0.3,0.196666666666667,0.25,0.15,0.404360806609682,-0.1,-0.333333333333333,0.1,0.337028228129819,-0.324166666666667,-0.385330839373393
"cfos",0.399038461538462,0.421160616918523,0.376122448979592,0.386269592476489,0.313174603174603,0.32,0.334545454545455,0.28,0.0817287784679089,0.0934065934065934,0.0791208791208791,0.160075054930098,0.157675438596491,0.120833333333333,0.359515672297627,0.0833333333333333,0.10952380952381,0.0761904761904762,0.209007936507937,0.0333333333333333,0.212051282051282,0.17051282051282,0.116666666666667,0.191785714285714,-0.505555555555556,0.53513963161022,0.554834001438997,0.554834001438997,-0.530909816871162,0.344785854721292,0.303322440087146,0.303322440087146,0.303322440087146,-0.609230787683473,-0.566670056267372,-0.310213744588745,0.426174761733417,0.364990253411306,0.398324294443697,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.364971420234578,-0.138556067588326,-0.314
"TGF",0.443659491193738,0.458397224058163,0.505588235294118,0.444322344322344,0.351252032520325,0.3,0.395604395604396,0.338461538461538,0.246153846153846,0.237466603803237,0.220634920634921,0.28026418026418,0.35030303030303,0.33030303030303,0.367959770114943,0.266666666666667,0.222222222222222,0.166666666666667,0.334208860759494,0.233333333333333,0.397463768115942,0.358333333333333,0.283333333333333,0.151960784313726,-0.505873015873016,0.504164387618331,0.55759715380405,0.55759715380405,-0.509206349206349,0.38281586318738,0.329131652661064,0.329131652661064,0.329131652661064,-0.595791863501017,-0.565207558462657,-0.362000768049155,0.417515045087803,0.333139534883721,0.378739534883721,0.275,0.333139534883721,0.275,0.2,0.2,0.1,0.1,0.349275362318841,-0.2,-0.133333333333333,0,0.162851926977688,-0.249494949494949,-0.411406784936197
"NOTCHic",0.417695770302768,0.438760683760684,0.393888888888889,0.406151368760064,0.328002870611566,0.22,0.34962962962963,0.286666666666667,0.185300207039337,0.0981913094625395,0.0817733990147783,0.174283559577677,0.172868217054264,0.133333333333333,0.378307308609846,0.0888888888888889,0.121794871794872,0.0833333333333333,0.222297632767431,0.0333333333333333,0.228372544263885,0.186267281105991,0.231428571428571,0.220856793145655,-0.511952861952862,0.528349759469809,0.566278166278166,0.566278166278166,-0.529062702357371,0.344338609915821,0.303451910408432,0.303451910408432,0.303451910408432,-0.620837789780543,-0.577445072314228,-0.308712517019727,0.410608571756113,0.350169185653057,0.382916264063805,0.314685314685315,0.350949050949051,0.314685314685315,0.269230769230769,0.269230769230769,0.2,0.2,0.38293501048218,0,-0.0333333333333333,0.1,0.352050065761704,-0.151206636500754,-0.326995305164319
"TCFLEF",0.611143404354207,0.600829227518099,0.57273558203315,0.523273667912843,0.427393138056714,0.431428571428571,0.496813186813187,0.46989010989011,0.20278308078205,0.184847127996382,0.175756218905473,0.283526504941599,0.311530884885724,0.290419773774612,0.427450150662608,0.271064935064935,0.24047619047619,0.216666666666667,0.283764531253029,0.235064935064935,0.395824819210759,0.370572293958234,0.345082097879802,0.198378019747883,-0.434507234507234,0.484192423786254,0.570203910361096,0.570203910361096,-0.436428183661039,0.409516858097129,0.385606686366614,0.385606686366614,0.385606686366614,-0.604405312565259,-0.581259709473051,-0.358746017839422,0.209016649626236,0.2698837355455,0.189780870208085,0.2411337355455,0.265938277615493,0.237457264957265,0.209509803921569,0.205833333333333,0.174509803921569,0.170833333333333,0.601138796946026,-0.171428571428571,-0.183333333333333,0.133333333333333,0.321836314375959,-0.262142857142857,-0.430518807884018
"LIV1",0.434702797202797,0.457072219128468,0.421160616918523,0.435262881067093,0.341921531921532,0.28,0.386269592476489,0.334545454545455,0.100812747933558,0.107692307692308,0.0934065934065934,0.183151978007021,0.187864117841774,0.157675438596491,0.392298041443633,0.120833333333333,0.138556067588326,0.10952380952381,0.234632936507937,0.0833333333333333,0.245384615384615,0.212051282051282,0.17051282051282,0.224438775510204,-0.546732026143791,0.569870716386884,0.595428060844937,0.595428060844937,-0.569185998520838,0.37994567207289,0.344785854721292,0.344785854721292,0.344785854721292,-0.650143068385228,-0.607295056267372,-0.336491116851518,0.449573090424225,0.397343194587777,0.426174761733417,0.364990253411306,0.398324294443697,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432662584886016,-0.0333333333333333,-0.0761904761904762,0.2,0.38415571026479,-0.160075054930098,-0.349227272727273
"EGR1",0.434702797202797,0.457072219128468,0.421160616918523,0.435262881067093,0.341921531921532,0.28,0.386269592476489,0.334545454545455,0.100812747933558,0.107692307692308,0.0934065934065934,0.183151978007021,0.187864117841774,0.157675438596491,0.392298041443633,0.120833333333333,0.138556067588326,0.10952380952381,0.234632936507937,0.0833333333333333,0.245384615384615,0.212051282051282,0.17051282051282,0.224438775510204,-0.546732026143791,0.569870716386884,0.595428060844937,0.595428060844937,-0.569185998520838,0.37994567207289,0.344785854721292,0.344785854721292,0.344785854721292,-0.650143068385228,-0.607295056267372,-0.336491116851518,0.449573090424225,0.397343194587777,0.426174761733417,0.364990253411306,0.398324294443697,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432662584886016,-0.0333333333333333,-0.0761904761904762,0.2,0.38415571026479,-0.160075054930098,-0.349227272727273
"TGFR",0.485905480498551,0.50361461536251,0.458397224058163,0.485305950879721,0.387714126383141,0.338461538461538,0.444322344322344,0.395604395604396,0.265419901199718,0.251881018217652,0.237466603803237,0.309430846930847,0.381731601731602,0.35030303030303,0.409951112106285,0.33030303030303,0.249494949494949,0.222222222222222,0.366952223591352,0.266666666666667,0.439056688469924,0.397463768115942,0.358333333333333,0.195710784313726,-0.554187622614589,0.550699041083678,0.603137059907337,0.603137059907337,-0.5596336996337,0.427260307631825,0.38281586318738,0.38281586318738,0.38281586318738,-0.647624324234002,-0.61192288692981,-0.395924071883963,0.448534567864375,0.378452034883721,0.417515045087803,0.333139534883721,0.378739534883721,0.333139534883721,0.275,0.275,0.2,0.2,0.402154943470673,-0.233333333333333,-0.166666666666667,0.1,0.189704903891418,-0.28026418026418,-0.451757662129179
"ZEB1",0.463100053603486,0.493844750018983,0.458655883219778,0.364382638010957,0.343955568136392,0.216666666666667,0.321904761904762,0.276666666666667,0.185214549848058,0.179122264198248,0.166713505074161,0.271176901845782,0.284706438226714,0.251849295369572,0.469548955242725,0.220701754385965,0.223106060606061,0.195833333333333,0.334113200910084,0.173333333333333,0.361548979095771,0.326838235294118,0.289583333333333,0.293359518198481,-0.551412587412587,0.526768984121521,0.603327566149017,0.603327566149017,-0.642886396883813,0.451834544262583,0.420181000955496,0.420181000955496,0.420181000955496,-0.646119170169855,-0.622368661527116,-0.38573549056942,0.496850453722015,0.450872070264829,0.475320291877973,0.420975163048334,0.449354912383965,0.419493801272854,0.384436701509872,0.38223889931207,0.338095238095238,0.335897435897436,0.48012547234277,-0.133333333333333,-0.158333333333333,0.266666666666667,0.398884261070383,-0.248596256684492,-0.330527284227474
"Csl",0.453160886581838,0.474229791312171,0.438760683760684,0.454785248541485,0.357271163294493,0.286666666666667,0.406151368760064,0.34962962962963,0.206921828660959,0.113860825132055,0.0981913094625395,0.198512634467545,0.205151681621193,0.172868217054264,0.411184020938613,0.133333333333333,0.151206636500754,0.121794871794872,0.248752659222458,0.0888888888888889,0.262317498392326,0.228372544263885,0.186267281105991,0.250856793145655,-0.555018555383519,0.562884294004343,0.608086075882686,0.608086075882686,-0.56744108073575,0.378655953089253,0.344338609915821,0.344338609915821,0.344338609915821,-0.662131907427602,-0.6195386135169,-0.334561852322534,0.433951511237381,0.382152991321073,0.410608571756113,0.350169185653057,0.382916264063805,0.350949050949051,0.314685314685315,0.314685314685315,0.269230769230769,0.269230769230769,0.41953294862651,-0.0333333333333333,-0.0833333333333333,0.2,0.370582175853447,-0.174283559577677,-0.363787757994508
"SMAD",0.494585640142032,0.513886244969864,0.47585807595578,0.469352494621037,0.391756855834748,0.314285714285714,0.420560224089636,0.367619047619048,0.229496939841767,0.118720545244139,0.204851932105453,0.302178561314075,0.311278925984808,0.276143790849673,0.430921664392432,0.238888888888889,0.250833333333333,0.220833333333333,0.354229803697452,0.205555555555556,0.365995402298851,0.329195402298851,0.286666666666667,0.256851851851852,-0.571108891108891,0.574992396015171,0.623331113331113,0.623331113331113,-0.579096172398256,0.462554726838872,0.427241195485737,0.427241195485737,0.427241195485737,-0.672952382966794,-0.633478225558239,-0.372570192438266,0.447720984289372,0.394186138770976,0.423639351636311,0.35989010989011,0.394950827046147,0.360644257703081,0.321428571428571,0.321428571428571,0.271428571428571,0.271428571428571,0.428555724139754,-0.15,-0.183333333333333,0.2,0.28061403198678,-0.277936137071651,-0.385765121796164
"GLI",0.488762778524916,0.609233657115013,0.569766344766345,0.549029675638371,0.394149795982423,0.398412698412698,0.5016011042098,0.454934437543133,0.154603647124877,0.157286604467451,0.143972156875383,0.326358632407019,0.240979221102401,0.207645887769068,0.42258029626505,0.175730994152047,0.274801587301587,0.247023809523809,0.276866466866467,0.138888888888889,0.292568783481562,0.255313881520778,0.214288240495137,0.230886917960089,-0.575962886995672,0.587507188127906,0.625553549812132,0.625553549812132,-0.586936838367405,0.470983572218369,0.434013875248672,0.434013875248672,0.434013875248672,-0.67062901242821,-0.63601768621936,-0.423937137068466,0.469425754891025,0.413348026447606,0.444180656851809,0.477695852534562,0.413731405603889,0.378048586220629,0.434838709677419,0.334838709677419,0.38,0.28,0.444308098186327,-0.0833333333333333,-0.20952380952381,0.2,0.34537976559398,-0.301683307731695,-0.397455611436828
"SNAI1",0.465352147852148,0.488078379292739,0.457072219128468,0.472249182436956,0.267127764735464,0.334545454545455,0.435262881067093,0.386269592476489,0.118243940594108,0.118887276245767,0.107692307692308,0.204736136422862,0.21789945353082,0.187864117841774,0.420690525786013,0.157675438596491,0.160075054930098,0.138556067588326,0.25759944368497,0.120833333333333,0.276376350921805,0.245384615384615,0.212051282051282,0.246111779312485,-0.583473240201299,0.599186897835766,0.629941335181221,0.629941335181221,-0.601307634312519,0.407925804523222,0.37994567207289,0.37994567207289,0.37994567207289,-0.685255353722084,-0.643129212239731,-0.358270665324294,0.468999426799714,0.425387475030581,0.449573090424225,0.397343194587777,0.426174761733417,0.398324294443697,0.364990253411306,0.365985985985986,0.328148148148148,0.328148148148148,0.464117983947049,-0.0833333333333333,-0.10952380952381,0.28,0.399741917161341,-0.183151978007021,-0.380840175953079
