"","FOXC2","TGF","TGFR","CDC42","PAK1","EGR1","MEK","ERK","SNAI1","cfos","SMAD","ILK","SHH","AKT","IKK","NFB","SMO","HEY1","TWIST1","FUS","Csn","Jagged","KLF4","SOSGRB2","cateninmemb","SNAI2","ZEB2","ZEB1","RAS","RAF","PI3K","DELTA","Ecadherin","miR200","GSK3","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","Csl","NOTCHic","NOTCH","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"ERK",0.35779864745382,0.386445584567557,0.357324705446678,0.314259012016021,0.262857142857143,0.187241379310345,0.204897200247147,0.170078258742969,0.255635098453735,0.223411592076302,0.176154445004601,0.16521219576448,0.244452624860826,0.210351238076548,0.185580595874714,0.156168831168831,0.208590163934426,0.143161707092449,0.426432115698249,0.184,0.110714285714286,0.297408833514597,-0.396413199426112,0.121353675450763,-0.54124930354083,0.685918226987438,0.433002346370979,0.433002346370979,0.157414626077992,0.129801864801865,0.129801864801865,0.129801864801865,-0.612768901882087,-0.442783441069889,-0.213489762959297,0.417764650967842,0.377679162942321,0.398597984301175,0.352867132867133,0.376479025193368,0.351288185498712,0.32,0.318421052631579,0.27,0.268421052631579,0.410995904827334,-0.175990675990676,-0.178180457012574,-0.177903448702324,-0.0857142857142857,-0.14,0.2,0.0576683814788173,-0.227544412300439,-0.275201326682264
"Csn",0.253033518836461,0.279294068237181,0.252802421459138,0.206648575305292,0.145454545454545,0.106666666666667,0.244680735930736,0.209264069264069,0.16150686749059,0.161212121212121,0.0823617387046469,0.0687370600414079,0.139396839132429,0.205766666666667,0.184166666666667,0.155,0.108513708513709,0.066702657807309,0.294477170017142,0.0873015873015873,0.105,0.186845221450699,-0.399880772821949,0.171982013144241,-0.442370015831975,0.438332543420922,0.436676592224979,0.436676592224979,0.237302312331696,0.209087341122483,0.209087341122483,0.209087341122483,-0.516507179496932,-0.444602533637315,-0.149229914302437,0.419835433947705,0.37427547866515,0.398849264374644,0.348511286525412,0.374733508747634,0.348511286525412,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.407069759206799,0.00454545454545456,0.00584415584415585,0.00680569430569432,-0.18,-0.0428571428571429,0.2,0.0504276184258625,-0.124642740771773,-0.179131705132546
"STAT",0.220013633265167,0.212730855465409,0.194856459330144,0.165909090909091,0.140909090909091,0.2,0.207893738140417,0.191764705882353,0.149691740046472,0.18,0.0649619634627131,0.0615136876006441,0.0628225972422309,0.0427602905569007,0.0342857142857143,0.02,0.045,0.0626666666666667,0.0811913307415556,0.025,0,0.0675142417782127,-0.326728064963359,-0.0069376026272578,-0.0628629869659736,0.104995176821802,0.444118701811009,0.444118701811009,-0.0307617464785255,-0.044194582299421,-0.044194582299421,-0.044194582299421,-0.206089706981732,-0.459450359154128,0.0427236315086783,0.0325315917856516,0.0111440030557678,0.0224004833231963,-0.00146103896103896,0.0113594738594739,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,-0.0431294196000078,-0.0294117647058824,-0.0375198728139905,-0.0384907466003982,0,0,0,-0.0634173280695643,-0.0566279069767442,-0.173323680823681
"cMet",0.402800632911392,0.404137115839243,0.372222222222222,0.35,0.3,0.325,0.420454545454546,0.415,0.400677605673145,0.385,0.21034632034632,0.197619047619048,0.205397727272727,0.2725,0.26,0.266666666666667,0.15,0.207292741658067,0.391267234638021,0.15,0.2,0.225487990270599,-0.320634920634921,0.0109523809523809,-0.196763716710336,0.48879143565275,0.455988455988456,0.455988455988456,0.245318957771788,0.203809523809524,0.203809523809524,0.203809523809524,-0.331199300371859,-0.466074604743083,-0.259293394777266,0.166176182246344,0.086969696969697,0.132277877161598,0.0233333333333333,0.0861240310077519,0.0233333333333333,-0.05,0.05,-0.1,0,0.0419047619047619,0.0142857142857143,-0.0120300751879699,-0.0439449688049912,-0.2,-0.1,0.1,-0.127328695606007,-0.177272727272727,-0.44962962962963
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.1,0.286666666666667,0.22,0.258333333333333,0.2,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.0333333333333333,0,0.0333333333333333,0.166666666666667,0.293,0,0,0.166493506493506,-0.405555555555556,0.12,-0.431991951710262,0.43868778280543,0.46207729468599,0.46207729468599,0.252727272727273,0.18,0.18,0.18,-0.513017543859649,-0.472121212121212,-0.23639846743295,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0.1,0.04,0.0114285714285714,0,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
"NFB",0.542029745376359,0.573495716660274,0.529191919191919,0.469191919191919,0.405555555555556,0.142857142857143,0.306438842203548,0.252190476190476,0.318726670307241,0.178857142857143,0.199542600635528,0.18578795379538,0.281035559863977,0.358820248820249,0.321042471042471,0.264285714285714,0.228148148148148,0.179104010025063,0.566909430438842,0.18,0.314285714285714,0.313312588916683,-0.41529304029304,0.336627598407784,-0.61265624380123,0.698964977831352,0.473311266672428,0.473311266672428,0.415424526100359,0.380598655453593,0.380598655453593,0.380598655453593,-0.730215418461664,-0.478085292701081,-0.252348631760396,0.465961828028842,0.409947181407856,0.439530455479823,0.376239316239316,0.40957264957265,0.376239316239316,0.331623931623932,0.331623931623932,0.277777777777778,0.277777777777778,0.443520770010132,-0.0510822510822511,-0.059018759018759,-0.0583735977284364,-0.3,-0.12,0.2,0.159531272477971,-0.2557343550447,-0.313219840269021
"SMO",0.427931034482759,0.522207207207207,0.481666666666667,0.44,0.4,0.2,0.393240093240093,0.353846153846154,0.356912442396313,0.3,0.134285714285714,0.12,0.324166666666667,0.236857142857143,0.192857142857143,0.15,0.253333333333333,0.113553113553114,0.281917211328976,0.333333333333333,0.1,0.239312169312169,-0.413888888888889,0.255263157894737,-0.399283850088736,0.458517788724685,0.47909604519774,0.47909604519774,0.382479874776386,0.347596153846154,0.347596153846154,0.347596153846154,-0.44460794850667,-0.489843279083785,-0.335225292506846,0.302911242507563,0.344444444444444,0.275091693635383,0.3,0.241111111111111,0.196666666666667,0.25,0.15,0.2,0.1,0.366472607851918,0,-0.00909090909090909,-0.0190909090909091,0,-0.3,0.1,0.319191970819878,-0.290833333333333,-0.347301587301587
"SRC",0.40859943977591,0.400551948051948,0.369642857142857,0.345833333333333,0.333333333333333,0.3,0.333142748237088,0.316161616161616,0.308263226544133,0.327272727272727,0.113934329065908,0.109429824561404,0.0953812636165577,0.168803418803419,0.157692307692308,0.15,0.0533333333333333,0.126804038397881,0.258834154351396,0.0333333333333333,0.15,0.110475770406963,-0.354328165374677,0.00857142857142857,-0.109673701541685,0.207151486620042,0.481079664570231,0.481079664570231,0.219246027231008,0.191973299958281,0.191973299958281,0.191973299958281,-0.273239538239538,-0.493078612209047,-0.152380952380952,0.0811660123422667,0.0344262295081967,0.0612554978008796,0,0.0344262295081967,0,-0.05,-0.05,-0.1,0,-0.0271686004505079,0.095,0.0616666666666667,0.0473809523809524,-0.1,-0.0333333333333333,0,-0.079581541646759,-0.0718518518518519,-0.405408927989573
"TWIST1",0.530731262361045,0.519157550288844,0.482938871473354,0.440438871473354,0.381818181818182,0.28,0.475114245705113,0.431830663615561,0.468589108910891,0.371304347826087,0.237967084996788,0.21981526981527,0.458591118009162,0.460917613459986,0.416849816849817,0.369230769230769,0.391555555555556,0.191630967902154,0.461736315426247,0.355555555555556,0.3,0.410423425501433,-0.40089639357932,0.315754268614681,-0.658006834793666,0.730937616472801,0.481383137523488,0.481383137523488,0.452050268226609,0.42054341891154,0.42054341891154,0.42054341891154,-0.824743223120815,-0.489776752960906,-0.402797009911764,0.470072568181134,0.418854803675856,0.446553304236338,0.385254803675856,0.417916244511989,0.384582911178656,0.348412698412698,0.348412698412698,0.309523809523809,0.309523809523809,0.461239889143115,-0.116296296296296,-0.116296296296296,-0.120069881201957,-0.2,-0.3,0.266666666666667,0.396894060148204,-0.428541856925419,-0.45353681440638
"NOTCH",0.376122448979592,0.396071684587814,0.331555555555555,0.255555555555556,0.2,0.2,0.350952380952381,0.286666666666667,0.299871794871795,0.22,0.0814285714285714,0.0714285714285714,0.151206636500754,0.133333333333333,0.0888888888888889,0.0333333333333333,0.0833333333333333,0.171014492753623,0.342152542372881,0.0333333333333333,0,0.196123136123136,-0.46207729468599,0.167368421052632,-0.483824412443246,0.487894132011779,0.52133655394525,0.52133655394525,0.303451910408432,0.252727272727273,0.252727272727273,0.252727272727273,-0.572694963214488,-0.529264069264069,-0.277307558342041,0.383193948908235,0.314685314685315,0.350949050949051,0.269230769230769,0.314685314685315,0.269230769230769,0.2,0.2,0.1,0.1,0.338490566037736,0.04,0.0114285714285714,-0.0917972350230415,0,0,0,0.329512503157363,-0.121794871794872,-0.28762157382847
"FUS",0.467404718693285,0.562632739122101,0.522207207207207,0.481666666666667,0.44,0.3,0.428872277148139,0.393240093240093,0.385214329188766,0.353846153846154,0.145253456221198,0.134285714285714,0.349419191919192,0.271472527472527,0.236857142857143,0.192857142857143,0.290833333333333,0.126596591813983,0.318042865779238,0.253333333333333,0.15,0.265818193408555,-0.458151183970856,0.274493927125506,-0.437086457165086,0.493885831812657,0.522654327406329,0.522654327406329,0.412610879143199,0.382479874776386,0.382479874776386,0.382479874776386,-0.486799729328587,-0.532417536509528,-0.359640008225909,0.325737329464085,0.379059829059829,0.302911242507563,0.344444444444444,0.275091693635383,0.241111111111111,0.3,0.196666666666667,0.25,0.15,0.404360806609682,-0.00909090909090909,-0.0190909090909091,-0.0259090909090909,-0.1,-0.333333333333333,0.1,0.33714817519944,-0.324166666666667,-0.387507772868598
"TGF",0.516459627329192,0.534603174603175,0.577460317460317,0.515555555555556,0.46,0.333333333333333,0.464143692564745,0.413032581453634,0.416150667514304,0.376190476190476,0.224418377321603,0.211515151515151,0.265617816091954,0.341791979949875,0.315476190476191,0.258333333333333,0.203333333333333,0.194261766602192,0.451851851851852,0.153333333333333,0.233333333333333,0.319691948944526,-0.492194253750318,0.176315789473684,-0.507916961429733,0.507215579659889,0.541285162841227,0.541285162841227,0.397619047619048,0.34047619047619,0.34047619047619,0.34047619047619,-0.586065924135017,-0.549917946038636,-0.375373528406796,0.422048839938611,0.342264150943396,0.385685203574975,0.28,0.342264150943396,0.28,0.2,0.2,0.1,0.1,0.356084656084656,-0.0533333333333333,-0.0833333333333333,-0.100574712643678,-0.2,-0.133333333333333,0,0.179357359291907,-0.234367816091954,-0.393506493506493
"TCFLEF",0.591241862734864,0.583383306965281,0.557555492395745,0.526714370900417,0.487179487179487,0.421428571428571,0.515136884021901,0.488606271777004,0.405612883165184,0.462891986062718,0.180865127358636,0.17111369332422,0.278849434093843,0.309984991165917,0.290419773774612,0.271064935064935,0.24047619047619,0.150435626605766,0.414329346345424,0.216666666666667,0.235064935064935,0.277942832908876,-0.408845811051693,0.192921848610471,-0.424039607473098,0.476235559368655,0.542411394648237,0.542411394648237,0.405648242935256,0.383440621384665,0.383440621384665,0.383440621384665,-0.584990976294934,-0.554323788661138,-0.355890813808586,0.201033101578229,0.263801888648436,0.18239048989438,0.237714932126697,0.259824625060474,0.234038461538462,0.209509803921569,0.205833333333333,0.174509803921569,0.170833333333333,0.596420512820513,0.00967639088155588,0.00183325362665391,-0.00381458690490755,-0.171428571428571,-0.183333333333333,0.133333333333333,0.318085828084211,-0.259831029185868,-0.413777839004454
"cfos",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.242857142857143,0.32,0.389064112011791,0.336521739130435,0.3166463915831,0.28,0.0933521078682369,0.0788359788359788,0.159543721909313,0.157675438596491,0.120833333333333,0.0833333333333333,0.10952380952381,0.0744627686156921,0.362155844155844,0.0761904761904762,0.0333333333333333,0.208611111111111,-0.509936507936508,0.193055555555556,-0.531877013204303,0.535891553701773,0.560496175871478,0.560496175871478,0.344785854721292,0.303322440087146,0.303322440087146,0.303322440087146,-0.61120282246208,-0.571971819030643,-0.310213744588745,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,-0.0833333333333333,-0.091025641025641,-0.0925641025641026,0,-0.0333333333333333,0.1,0.365130149024012,-0.138556067588326,-0.31979020979021
"CDC42",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.342857142857143,0.22,0.389064112011791,0.336521739130435,0.3166463915831,0.28,0.0933521078682369,0.0788359788359788,0.159543721909313,0.157675438596491,0.120833333333333,0.0833333333333333,0.10952380952381,0.0744627686156921,0.362155844155844,0.0761904761904762,0.0333333333333333,0.208611111111111,-0.509936507936508,0.193055555555556,-0.531877013204303,0.535891553701773,0.560496175871478,0.560496175871478,0.344785854721292,0.303322440087146,0.303322440087146,0.303322440087146,-0.61120282246208,-0.571971819030643,-0.310213744588745,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,-0.0833333333333333,-0.091025641025641,-0.0925641025641026,0,-0.0333333333333333,0.1,0.365130149024012,-0.138556067588326,-0.31979020979021
"NOTCHic",0.421283739302172,0.441294614524119,0.396071684587814,0.331555555555555,0.255555555555556,0.22,0.408095238095238,0.350952380952381,0.328972323972324,0.286666666666667,0.0979753340184995,0.0814285714285714,0.173787281662044,0.172868217054264,0.133333333333333,0.0888888888888889,0.121794871794872,0.175629877369008,0.380517322247095,0.0833333333333333,0.0333333333333333,0.221950950692673,-0.515648723257419,0.221913875598086,-0.529869037189696,0.528976296340436,0.570966183574879,0.570966183574879,0.344338609915821,0.303451910408432,0.303451910408432,0.303451910408432,-0.622465254179266,-0.581865225333433,-0.308712517019727,0.411438223717395,0.350169185653057,0.383193948908235,0.314685314685315,0.350949050949051,0.314685314685315,0.269230769230769,0.269230769230769,0.2,0.2,0.38293501048218,0.0114285714285714,-0.0917972350230415,-0.0917972350230415,0,-0.0333333333333333,0.1,0.35217916982403,-0.151206636500754,-0.331283545659456
"TGFR",0.561437793268057,0.582830124957785,0.534603174603175,0.577460317460317,0.515555555555556,0.376190476190476,0.506609445989403,0.464143692564745,0.451253912352062,0.413032581453634,0.236162149563596,0.224418377321603,0.293301431911163,0.374350119484758,0.341791979949875,0.315476190476191,0.234367816091954,0.204709527796222,0.492777118755766,0.203333333333333,0.258333333333333,0.349402093872062,-0.538622825178889,0.219525666016894,-0.556415806695322,0.552585950030259,0.586945540199717,0.586945540199717,0.441478696741855,0.397619047619048,0.397619047619048,0.397619047619048,-0.637173249518322,-0.595372491493181,-0.409358858480146,0.452075412126388,0.385489957395009,0.422048839938611,0.342264150943396,0.385685203574975,0.342264150943396,0.28,0.28,0.2,0.2,0.408874355655472,-0.0833333333333333,-0.100574712643678,-0.10992723062929,-0.233333333333333,-0.153333333333333,0.1,0.205567036711262,-0.265617816091954,-0.432077922077922
"ZEB1",0.450515971329574,0.483766751728124,0.449121082436785,0.408004331167749,0.35727969348659,0.216666666666667,0.355518182603438,0.314549019607843,0.323729091952941,0.268666666666667,0.176960602609394,0.165422141070932,0.270304441737873,0.284706438226714,0.251849295369572,0.220701754385965,0.223106060606061,0.144680362815078,0.460238726343809,0.195833333333333,0.173333333333333,0.33271976399794,-0.538386197504656,0.290175438596491,-0.637894678540273,0.523732817717367,0.588418675277746,0.588418675277746,0.450889662372819,0.420181000955496,0.420181000955496,0.420181000955496,-0.637551518863823,-0.608507298548691,-0.384982667482845,0.493345858611869,0.449497499818093,0.472700066048268,0.420975163048334,0.447966023495077,0.419493801272854,0.384436701509872,0.38223889931207,0.338095238095238,0.335897435897436,0.479240516590558,-0.158333333333333,-0.162254901960784,-0.16473424080376,-0.133333333333333,-0.158333333333333,0.266666666666667,0.397620391389185,-0.248596256684492,-0.311106366232092
"SMAD",0.465901437009609,0.48921249756621,0.454551142984537,0.408182427900738,0.347619047619048,0.285714285714286,0.439792709166302,0.391715786089379,0.338643388869195,0.340552995391705,0.113700728495249,0.199415014209535,0.296793566613235,0.309477124183007,0.276143790849673,0.238888888888889,0.250833333333333,0.158834156673772,0.405043259092619,0.220833333333333,0.205555555555556,0.347366289624354,-0.541334764953258,0.249571132800946,-0.564016624598966,0.564541513348648,0.589620366948454,0.589620366948454,0.457515844991598,0.424621108149492,0.424621108149492,0.424621108149492,-0.649579925618887,-0.600361131915725,-0.368698893698894,0.437360753244974,0.386979207842517,0.4143617664162,0.356043956043956,0.387631779984721,0.35672268907563,0.321428571428571,0.321428571428571,0.271428571428571,0.271428571428571,0.422954678235455,-0.17047619047619,-0.173924466338259,-0.175511767925561,-0.15,-0.183333333333333,0.2,0.275578880539849,-0.275603975535168,-0.334635042483194
"PAK1",0.437569833652553,0.458872371601398,0.424446142093201,0.378991596638655,0.314285714285714,0.28,0.438397445345124,0.389064112011791,0.34266071139217,0.336521739130435,0.108190817545656,0.0933521078682369,0.182543721909313,0.187305068226121,0.157675438596491,0.120833333333333,0.138556067588326,0.084756886262751,0.393677583286279,0.10952380952381,0.0833333333333333,0.234377982276755,-0.55255945875618,0.225728822882288,-0.570888002215292,0.571153759850055,0.600046015099774,0.600046015099774,0.380240400175838,0.344785854721292,0.344785854721292,0.344785854721292,-0.651964068136821,-0.612073341873282,-0.336759199134199,0.451177771831237,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.091025641025641,-0.0925641025641026,-0.0947619047619047,-0.0333333333333333,-0.0761904761904762,0.2,0.384679021204463,-0.159543721909313,-0.352386894873083
"LIV1",0.437569833652553,0.458872371601398,0.424446142093201,0.378991596638655,0.314285714285714,0.28,0.438397445345124,0.389064112011791,0.34266071139217,0.336521739130435,0.108190817545656,0.0933521078682369,0.182543721909313,0.187305068226121,0.157675438596491,0.120833333333333,0.138556067588326,0.084756886262751,0.393677583286279,0.10952380952381,0.0833333333333333,0.234377982276755,-0.55255945875618,0.225728822882288,-0.570888002215292,0.571153759850055,0.600046015099774,0.600046015099774,0.380240400175838,0.344785854721292,0.344785854721292,0.344785854721292,-0.651964068136821,-0.612073341873282,-0.336759199134199,0.451177771831237,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.091025641025641,-0.0925641025641026,-0.0947619047619047,-0.0333333333333333,-0.0761904761904762,0.2,0.384679021204463,-0.159543721909313,-0.352386894873083
"EGR1",0.437569833652553,0.458872371601398,0.424446142093201,0.378991596638655,0.314285714285714,0.28,0.438397445345124,0.389064112011791,0.34266071139217,0.336521739130435,0.108190817545656,0.0933521078682369,0.182543721909313,0.187305068226121,0.157675438596491,0.120833333333333,0.138556067588326,0.084756886262751,0.393677583286279,0.10952380952381,0.0833333333333333,0.234377982276755,-0.55255945875618,0.225728822882288,-0.570888002215292,0.571153759850055,0.600046015099774,0.600046015099774,0.380240400175838,0.344785854721292,0.344785854721292,0.344785854721292,-0.651964068136821,-0.612073341873282,-0.336759199134199,0.451177771831237,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.091025641025641,-0.0925641025641026,-0.0947619047619047,-0.0333333333333333,-0.0761904761904762,0.2,0.384679021204463,-0.159543721909313,-0.352386894873083
"Csl",0.454617072635506,0.475081462596682,0.441294614524119,0.396071684587814,0.331555555555555,0.286666666666667,0.457008281573499,0.408095238095238,0.355849794328055,0.350952380952381,0.114086445129611,0.0979753340184995,0.197925212696527,0.204651162790698,0.172868217054264,0.133333333333333,0.151206636500754,0.188048178022603,0.411894297416395,0.121794871794872,0.0888888888888889,0.248513450692673,-0.559934437543133,0.251995176411094,-0.56885986287777,0.563950196415008,0.611297675287586,0.611297675287586,0.378897433445233,0.344338609915821,0.344338609915821,0.344338609915821,-0.663395486737405,-0.623041695921669,-0.33478026370603,0.435280419257704,0.382427250169186,0.411438223717395,0.350169185653057,0.383193948908235,0.350949050949051,0.314685314685315,0.314685314685315,0.269230769230769,0.269230769230769,0.419695935932052,-0.0917972350230415,-0.0917972350230415,-0.0936154168412233,-0.0333333333333333,-0.0833333333333333,0.2,0.371009151542494,-0.173787281662044,-0.364924098654848
"SNAI1",0.466159414338703,0.488307855472365,0.458872371601398,0.424446142093201,0.378991596638655,0.336521739130435,0.474271884807007,0.438397445345124,0.267571743420639,0.389064112011791,0.119383929476776,0.108190817545656,0.204485469482129,0.217166179337232,0.187305068226121,0.157675438596491,0.159543721909313,0.0978521243579891,0.421267326876023,0.138556067588326,0.120833333333333,0.257907394041461,-0.58838500392752,0.247238256844552,-0.603254150747244,0.600821879192998,0.632887343513058,0.632887343513058,0.408647625134787,0.380240400175838,0.380240400175838,0.380240400175838,-0.686511414650868,-0.64617516704139,-0.358871410355321,0.470744111531805,0.426375191209496,0.451177771831237,0.397673180240574,0.427177771831237,0.398659253312719,0.364990253411306,0.365985985985986,0.328148148148148,0.328148148148148,0.464793733700695,-0.0925641025641026,-0.0947619047619047,-0.0980272108843537,-0.0833333333333333,-0.10952380952381,0.28,0.400632968572885,-0.182543721909313,-0.381675597801953
"GLI",0.495863863089095,0.614196601477286,0.576314248536109,0.530402298850575,0.468333333333333,0.402857142857143,0.555098777833584,0.509242424242424,0.402111176972193,0.461190476190476,0.158369988985897,0.144856475472383,0.324973091900828,0.239155739050006,0.206343239050006,0.175730994152047,0.273339598997494,0.135708528408019,0.42584449035213,0.247023809523809,0.138888888888889,0.276800336507992,-0.585465465465465,0.233301153124162,-0.591046093981795,0.590905852785133,0.633752346816863,0.633752346816863,0.472441926015313,0.434620143837095,0.434620143837095,0.434620143837095,-0.674426807636046,-0.644667664636705,-0.425251671566259,0.473509945768255,0.41538939803787,0.447628296037233,0.478368121442125,0.415810114219051,0.37874114870181,0.434838709677419,0.334838709677419,0.38,0.28,0.445668780193237,-0.0867550839964633,-0.0942550839964633,-0.099969369710749,-0.0833333333333333,-0.20952380952381,0.2,0.347422393620632,-0.299870211242392,-0.404197199688759
