"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","AXIN2","cMet","Frizzled","SRC","DSH","STAT","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"ERK",0.366092865344655,0.393432353109126,0.363955769087088,0.320890075656431,0.267619047619048,0.268147158951719,0.20970962246015,0.187241379310345,0.174333577891905,0.227666911225238,0.175163637660932,0.177500355120237,0.165950203144554,0.244935716648265,0.210351238076548,0.43268637862534,0.185580595874714,0.156168831168831,0.208590163934426,0.184,0.298672801774343,0.110714285714286,0.275615927119253,0.247638087784073,0.21041181041181,0.123575897672985,-0.404802420117224,0.442512589823815,0.442512589823815,0.689154334989454,-0.5457356246038,0.157147248038344,0.129388050713929,0.129388050713929,0.129388050713929,-0.618889961821334,-0.209575842898072,-0.452202979333721,0.423458884750474,0.379315495587536,0.402345032089212,0.352867132867133,0.378142405447561,0.378142405447561,0.351288185498712,0.32,0.318421052631579,0.27,0.268421052631579,-0.0857142857142857,-0.14,0.2,0.05202933249207,-0.227544412300439,-0.284800235883827
"STAT",0.219506172839506,0.212332187485483,0.194856459330144,0.165909090909091,0.140909090909091,0.150495254350003,0.207893738140417,0.2,0.191764705882353,0.18,0.0586666666666667,0.0649619634627131,0.0615136876006441,0.0628225972422309,0.0427602905569007,0.0803524006131239,0.0342857142857143,0.02,0.045,0.025,0.0670143870848096,0,0.0330241149201743,0.0204027556968733,-0.00392156862745098,-0.0069376026272578,-0.326728064963359,0.443639693639694,0.443639693639694,0.10429875160554,-0.0623087662891243,-0.0288872445540903,-0.0429556856187291,-0.0429556856187291,-0.0429556856187291,-0.205552028391436,0.0376119245367408,-0.459086768911876,0.0316133446512406,0.0104033678186221,0.0211510575466178,-0.00146103896103896,0.0106079265562024,0.0106079265562024,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,0,0,0,-0.0587311027569122,-0.0566279069767442,-0.172402628192102
"cMet",0.405332278481013,0.406264775413712,0.372222222222222,0.35,0.3,0.4052230602186,0.420454545454546,0.325,0.415,0.385,0.21781905744754,0.21034632034632,0.197619047619048,0.205397727272727,0.2725,0.393514425649257,0.26,0.266666666666667,0.15,0.15,0.225487990270599,0.2,0.280035194368901,0.24812030075188,0.242857142857143,0.0109523809523809,-0.320634920634921,0.458008658008658,0.458008658008658,0.48879143565275,-0.196763716710336,0.245318957771788,0.203809523809524,0.203809523809524,0.203809523809524,-0.332217112076693,-0.260394889663182,-0.467637104743083,0.165988925320238,0.086969696969697,0.132277877161598,0.0233333333333333,0.0861240310077519,0.0861240310077519,0.0233333333333333,-0.05,0.05,-0.1,0,-0.2,-0.1,0.1,-0.125240983896386,-0.177272727272727,-0.453333333333333
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.258333333333333,0.286666666666667,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.293,0.0333333333333333,0,0.0333333333333333,0,0.166493506493506,0,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.269230769230769,0.2,0.1,0.1,0,0,0,0,0,0.298888888888889,-0.0833333333333333,-0.235897435897436
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.258333333333333,0.286666666666667,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.293,0.0333333333333333,0,0.0333333333333333,0,0.166493506493506,0,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.269230769230769,0.2,0.1,0.1,0,0,0,0,0,0.298888888888889,-0.0833333333333333,-0.235897435897436
"NFB",0.543406637806638,0.574588744588745,0.529191919191919,0.469191919191919,0.405555555555556,0.322339078954678,0.306438842203548,0.142857142857143,0.252190476190476,0.178857142857143,0.198011573050273,0.199542600635528,0.18578795379538,0.281035559863977,0.358820248820249,0.568404435256531,0.321042471042471,0.264285714285714,0.228148148148148,0.18,0.313767098954862,0.314285714285714,0.403560024205185,0.362914862914863,0.307359307359307,0.336627598407784,-0.41529304029304,0.474649315596684,0.474649315596684,0.700357062052528,-0.613986847475627,0.414396288184171,0.380219072994298,0.380219072994298,0.380219072994298,-0.73105375681616,-0.247126490312966,-0.479143610013175,0.470228917337544,0.410702593075474,0.441954156954157,0.376239316239316,0.410330225330225,0.410330225330225,0.376239316239316,0.331623931623932,0.331623931623932,0.277777777777778,0.277777777777778,-0.3,-0.12,0.2,0.152004463664411,-0.2557343550447,-0.315386920500617
"SRC",0.40859943977591,0.400551948051948,0.369642857142857,0.345833333333333,0.333333333333333,0.309226233003323,0.333142748237088,0.3,0.316161616161616,0.327272727272727,0.126804038397881,0.113934329065908,0.109429824561404,0.0953812636165577,0.168803418803419,0.258834154351396,0.157692307692308,0.15,0.0533333333333333,0.0333333333333333,0.110475770406963,0.15,0.168809523809524,0.143809523809524,0.12,0.00857142857142857,-0.354328165374677,0.481079664570231,0.481079664570231,0.206949011536696,-0.109475887902956,0.220217574767442,0.191973299958281,0.191973299958281,0.191973299958281,-0.273239538239538,-0.156507099985361,-0.493078612209047,0.0804454237914578,0.0344262295081967,0.0608065976063562,0,0.0344262295081967,0.0344262295081967,0,-0.05,-0.05,-0.1,0,-0.1,-0.0333333333333333,0,-0.0745762585641942,-0.0718518518518519,-0.405408927989573
"SMO",0.430350877192982,0.524132420091324,0.481666666666667,0.44,0.4,0.359918699186992,0.393240093240093,0.2,0.353846153846154,0.3,0.128937728937729,0.134285714285714,0.12,0.324166666666667,0.236857142857143,0.286195286195286,0.192857142857143,0.15,0.253333333333333,0.333333333333333,0.241779701779702,0.1,0.323787878787879,0.278787878787879,0.233333333333333,0.255263157894737,-0.413888888888889,0.481609195402299,0.481609195402299,0.462592397494946,-0.402893010604211,0.380721396753266,0.345781637717122,0.345781637717122,0.345781637717122,-0.447006472491909,-0.327916666666667,-0.491758241758242,0.311329122945517,0.348571428571429,0.281871758604432,0.3,0.245238095238095,0.245238095238095,0.196666666666667,0.25,0.15,0.2,0.1,0,-0.3,0.1,0.309902597402597,-0.290833333333333,-0.351428571428571
"TWIST1",0.53575675880174,0.52337602216868,0.485092959523669,0.440438871473354,0.381818181818182,0.476214898723913,0.476554281706013,0.28,0.431830663615561,0.371304347826087,0.243465573974049,0.238087695064439,0.21981526981527,0.459234926232349,0.46043956043956,0.466957018679368,0.416849816849817,0.369230769230769,0.391555555555556,0.355555555555556,0.4133227905803,0.3,0.42009768009768,0.379145299145299,0.335555555555555,0.315754268614681,-0.403917319014039,0.486746110559417,0.486746110559417,0.735739873786906,-0.662830956141329,0.4507554935887,0.419082895723931,0.419082895723931,0.419082895723931,-0.828751814919812,-0.395061971295605,-0.494942085045769,0.479522692033935,0.423037101365369,0.453451263462506,0.386710570753124,0.422112680785341,0.422112680785341,0.386047107014849,0.348412698412698,0.348412698412698,0.309523809523809,0.309523809523809,-0.2,-0.3,0.266666666666667,0.38768155769353,-0.428541856925419,-0.459750232135964
"NOTCH",0.376122448979592,0.396071684587814,0.331555555555555,0.255555555555556,0.2,0.299871794871795,0.350952380952381,0.2,0.286666666666667,0.22,0.171014492753623,0.0814285714285714,0.0714285714285714,0.151206636500754,0.133333333333333,0.342152542372881,0.0888888888888889,0.0333333333333333,0.0833333333333333,0.0333333333333333,0.196123136123136,0,0.186267281105991,0.231428571428571,0.16,0.167368421052632,-0.46207729468599,0.52133655394525,0.52133655394525,0.487894132011779,-0.483824412443246,0.303451910408432,0.252727272727273,0.252727272727273,0.252727272727273,-0.572694963214488,-0.27593335115388,-0.529264069264069,0.384282384282384,0.314685314685315,0.350949050949051,0.269230769230769,0.314685314685315,0.314685314685315,0.269230769230769,0.2,0.2,0.1,0.1,0,0,0,0.324742547425474,-0.121794871794872,-0.28762157382847
"FUS",0.470891417733523,0.566208922823565,0.524132420091324,0.481666666666667,0.44,0.390310856049737,0.429710681475387,0.3,0.393240093240093,0.353846153846154,0.144879757923236,0.145396825396825,0.134285714285714,0.350697278911565,0.270190476190476,0.323093681917211,0.236857142857143,0.192857142857143,0.290833333333333,0.253333333333333,0.269828482267507,0.15,0.363322762508809,0.323787878787879,0.278787878787879,0.274493927125506,-0.460555555555555,0.525359195402299,0.525359195402299,0.500092397494946,-0.442816964976835,0.412539578571448,0.380721396753266,0.380721396753266,0.380721396753266,-0.490817320892466,-0.353895314353499,-0.535192585192585,0.335873302468659,0.385826330532213,0.311329122945517,0.348571428571429,0.281871758604432,0.281871758604432,0.245238095238095,0.3,0.196666666666667,0.25,0.15,-0.1,-0.333333333333333,0.1,0.328503551297669,-0.324166666666667,-0.390375939849624
"TGF",0.534673913043478,0.55047619047619,0.593333333333333,0.526666666666667,0.46,0.442803560076287,0.474670008354219,0.333333333333333,0.423558897243108,0.376190476190476,0.231850419084462,0.22603128054741,0.211515151515151,0.265617816091954,0.341791979949875,0.465185185185185,0.315476190476191,0.258333333333333,0.203333333333333,0.153333333333333,0.319691948944526,0.233333333333333,0.38816091954023,0.343333333333333,0.273333333333333,0.181578947368421,-0.507068395626748,0.559795668354021,0.559795668354021,0.51086636890726,-0.514243894589953,0.397619047619048,0.34047619047619,0.34047619047619,0.34047619047619,-0.597978803812028,-0.374631519274376,-0.567284583232859,0.42773985944542,0.342264150943396,0.388316782522344,0.28,0.342264150943396,0.342264150943396,0.28,0.2,0.2,0.1,0.1,-0.2,-0.133333333333333,0,0.177659442777626,-0.234367816091954,-0.411688311688312
"cfos",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.242857142857143,0.31874265861527,0.389064112011791,0.32,0.336521739130435,0.28,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.159543721909313,0.157675438596491,0.362155844155844,0.120833333333333,0.0833333333333333,0.10952380952381,0.0761904761904762,0.208611111111111,0.0333333333333333,0.212051282051282,0.17051282051282,0.116666666666667,0.193055555555556,-0.509936507936508,0.560496175871478,0.560496175871478,0.536236933797909,-0.532230806194265,0.344426734565674,0.303322440087146,0.303322440087146,0.303322440087146,-0.61120282246208,-0.307201447453902,-0.571971819030643,0.429281866135799,0.364990253411306,0.399319319319319,0.328148148148148,0.365985985985986,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0,-0.0333333333333333,0.1,0.35905176885569,-0.138556067588326,-0.31979020979021
"CDC42",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.342857142857143,0.31874265861527,0.389064112011791,0.22,0.336521739130435,0.28,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.159543721909313,0.157675438596491,0.362155844155844,0.120833333333333,0.0833333333333333,0.10952380952381,0.0761904761904762,0.208611111111111,0.0333333333333333,0.212051282051282,0.17051282051282,0.116666666666667,0.193055555555556,-0.509936507936508,0.560496175871478,0.560496175871478,0.536236933797909,-0.532230806194265,0.344426734565674,0.303322440087146,0.303322440087146,0.303322440087146,-0.61120282246208,-0.307201447453902,-0.571971819030643,0.429281866135799,0.364990253411306,0.399319319319319,0.328148148148148,0.365985985985986,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0,-0.0333333333333333,0.1,0.35905176885569,-0.138556067588326,-0.31979020979021
"NOTCHic",0.421283739302172,0.441294614524119,0.396071684587814,0.331555555555555,0.255555555555556,0.331422597010832,0.408095238095238,0.22,0.350952380952381,0.286666666666667,0.184860646599777,0.0979753340184995,0.0814285714285714,0.173787281662044,0.172868217054264,0.380517322247095,0.133333333333333,0.0888888888888889,0.121794871794872,0.0833333333333333,0.221950950692673,0.0333333333333333,0.228372544263885,0.186267281105991,0.231428571428571,0.221913875598086,-0.515648723257419,0.570966183574879,0.570966183574879,0.529544031408157,-0.530463923644875,0.343750417871119,0.303451910408432,0.303451910408432,0.303451910408432,-0.622465254179266,-0.304688715960747,-0.581865225333433,0.414313344034706,0.350169185653057,0.384282384282384,0.314685314685315,0.350949050949051,0.350949050949051,0.314685314685315,0.269230769230769,0.269230769230769,0.2,0.2,0,-0.0333333333333333,0.1,0.345024734374328,-0.151206636500754,-0.331283545659456
"TCFLEF",0.637701468990391,0.63287240163722,0.598131518719754,0.557472178060413,0.508823529411765,0.452899501077317,0.534384214818997,0.426984126984127,0.499206349206349,0.465873015873016,0.204778417071714,0.188159258222464,0.177146042363434,0.306037409855053,0.317786348188317,0.469576074005817,0.292320509679,0.267792207792208,0.257769423558897,0.226190476190476,0.324016017448128,0.231428571428571,0.423371356147021,0.393333333333333,0.36,0.21699494949495,-0.441258872208217,0.584511386768805,0.584511386768805,0.547490137238208,-0.493732764536359,0.437658868363698,0.408081403574966,0.408081403574966,0.408081403574966,-0.640697939140632,-0.371287546989231,-0.594826680242758,0.288021351693727,0.337887732710413,0.26366692131398,0.304313725490196,0.334789915966387,0.334789915966387,0.301456582633053,0.267058823529412,0.264201680672269,0.22,0.217142857142857,-0.171428571428571,-0.183333333333333,0.16,0.316213918805718,-0.282093747883222,-0.449384369304021
"PAK1",0.43872482709009,0.459788607846625,0.424446142093201,0.378991596638655,0.314285714285714,0.346587694934883,0.438397445345124,0.28,0.389064112011791,0.336521739130435,0.100476967398654,0.108190817545656,0.0933521078682369,0.182543721909313,0.187305068226121,0.394942729401746,0.157675438596491,0.120833333333333,0.138556067588326,0.10952380952381,0.234764957264957,0.0833333333333333,0.245018315018315,0.212051282051282,0.17051282051282,0.225728822882288,-0.55255945875618,0.601141337161801,0.601141337161801,0.572360682660512,-0.572009811719127,0.379299713780454,0.344426734565674,0.344426734565674,0.344426734565674,-0.652673002767212,-0.331679625822023,-0.612938740150235,0.454948065294284,0.398323586744639,0.429281866135799,0.364990253411306,0.399319319319319,0.399319319319319,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,-0.0333333333333333,-0.0761904761904762,0.2,0.377327906126241,-0.159543721909313,-0.354234654234654
"LIV1",0.43872482709009,0.459788607846625,0.424446142093201,0.378991596638655,0.314285714285714,0.346587694934883,0.438397445345124,0.28,0.389064112011791,0.336521739130435,0.100476967398654,0.108190817545656,0.0933521078682369,0.182543721909313,0.187305068226121,0.394942729401746,0.157675438596491,0.120833333333333,0.138556067588326,0.10952380952381,0.234764957264957,0.0833333333333333,0.245018315018315,0.212051282051282,0.17051282051282,0.225728822882288,-0.55255945875618,0.601141337161801,0.601141337161801,0.572360682660512,-0.572009811719127,0.379299713780454,0.344426734565674,0.344426734565674,0.344426734565674,-0.652673002767212,-0.331679625822023,-0.612938740150235,0.454948065294284,0.398323586744639,0.429281866135799,0.364990253411306,0.399319319319319,0.399319319319319,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,-0.0333333333333333,-0.0761904761904762,0.2,0.377327906126241,-0.159543721909313,-0.354234654234654
"EGR1",0.43872482709009,0.459788607846625,0.424446142093201,0.378991596638655,0.314285714285714,0.346587694934883,0.438397445345124,0.28,0.389064112011791,0.336521739130435,0.100476967398654,0.108190817545656,0.0933521078682369,0.182543721909313,0.187305068226121,0.394942729401746,0.157675438596491,0.120833333333333,0.138556067588326,0.10952380952381,0.234764957264957,0.0833333333333333,0.245018315018315,0.212051282051282,0.17051282051282,0.225728822882288,-0.55255945875618,0.601141337161801,0.601141337161801,0.572360682660512,-0.572009811719127,0.379299713780454,0.344426734565674,0.344426734565674,0.344426734565674,-0.652673002767212,-0.331679625822023,-0.612938740150235,0.454948065294284,0.398323586744639,0.429281866135799,0.364990253411306,0.399319319319319,0.399319319319319,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,-0.0333333333333333,-0.0761904761904762,0.2,0.377327906126241,-0.159543721909313,-0.354234654234654
"ZEB1",0.464428235576829,0.49509433564108,0.459636168310403,0.417799433616525,0.364176245210728,0.345243898238088,0.364771241830065,0.216666666666667,0.322549019607843,0.276666666666667,0.185035508532918,0.179112471047187,0.166552084573757,0.271453399541635,0.284223396088996,0.471585603285014,0.251849295369572,0.220701754385965,0.223106060606061,0.195833333333333,0.335602143277179,0.173333333333333,0.361838235294118,0.326838235294118,0.289583333333333,0.293879142300195,-0.552509623779399,0.604347119715279,0.604347119715279,0.529882315248403,-0.645654866697402,0.451151227589079,0.419325702548692,0.419325702548692,0.419325702548692,-0.647515080179209,-0.380357016940215,-0.62351144402532,0.502946330519635,0.453550779179775,0.479723107296411,0.422300779179775,0.452080830873647,0.452080830873647,0.420852760698209,0.384436701509872,0.38223889931207,0.338095238095238,0.335897435897436,-0.133333333333333,-0.158333333333333,0.266666666666667,0.391716002593909,-0.248596256684492,-0.331641872322126
"TGFR",0.580525441427758,0.599412360688956,0.55047619047619,0.593333333333333,0.526666666666667,0.479895548206851,0.518505624792575,0.376190476190476,0.474670008354219,0.423558897243108,0.248268329532223,0.239198540333886,0.22603128054741,0.294431375413988,0.374350119484758,0.508245683405826,0.341791979949875,0.315476190476191,0.234367816091954,0.203333333333333,0.351576006915541,0.258333333333333,0.432045811626561,0.38816091954023,0.343333333333333,0.224788823911631,-0.557068395626748,0.607720196655907,0.607720196655907,0.558662192573153,-0.565632783478842,0.442913165266106,0.397619047619048,0.397619047619048,0.397619047619048,-0.651300779961942,-0.408466105740542,-0.615671680007053,0.460536999749263,0.388070602556299,0.42773985944542,0.342264150943396,0.388316782522344,0.388316782522344,0.342264150943396,0.28,0.28,0.2,0.2,-0.233333333333333,-0.153333333333333,0.1,0.203343653303941,-0.265617816091954,-0.453116883116883
"Csl",0.455965820227028,0.476146550742798,0.441294614524119,0.396071684587814,0.331555555555555,0.3597928183388,0.457008281573499,0.286666666666667,0.408095238095238,0.350952380952381,0.206429274050757,0.114086445129611,0.0979753340184995,0.197925212696527,0.204651162790698,0.413546935003359,0.172868217054264,0.133333333333333,0.151206636500754,0.121794871794872,0.249176081582725,0.0888888888888889,0.262008907900249,0.228372544263885,0.186267281105991,0.251995176411094,-0.559934437543133,0.612632850241546,0.612632850241546,0.565634256972067,-0.570417734268432,0.377709142073745,0.343750417871119,0.343750417871119,0.343750417871119,-0.664355569231775,-0.328837322771893,-0.624097172817022,0.439984289192233,0.38350251898639,0.414313344034706,0.350169185653057,0.384282384282384,0.384282384282384,0.350949050949051,0.314685314685315,0.314685314685315,0.269230769230769,0.269230769230769,-0.0333333333333333,-0.0833333333333333,0.2,0.362916731771856,-0.173787281662044,-0.367097499147828
"SMAD",0.497692716640085,0.51596066679406,0.47836066679406,0.431991951710262,0.371428571428571,0.395830403876916,0.471651257594618,0.314285714285714,0.422612796056157,0.369124423963134,0.229016604874041,0.118864696946889,0.204578982661174,0.301602406693723,0.31081045751634,0.43335258121267,0.276143790849673,0.238888888888889,0.250833333333333,0.220833333333333,0.354557833240555,0.205555555555556,0.365703338806787,0.329195402298851,0.286666666666667,0.25790446613428,-0.575333164186459,0.627399811928114,0.627399811928114,0.577422238377052,-0.581701294396539,0.461741712356814,0.426733337147434,0.426733337147434,0.426733337147434,-0.674882039004412,-0.367449574111016,-0.637517198248906,0.453157214302725,0.395397356266921,0.426944624003448,0.35989010989011,0.396175393234217,0.396175393234217,0.360644257703081,0.321428571428571,0.321428571428571,0.271428571428571,0.271428571428571,-0.15,-0.183333333333333,0.2,0.273594248731099,-0.277438837920489,-0.389795021502339
"SNAI1",0.468891707706265,0.490612615984977,0.459788607846625,0.424446142093201,0.378991596638655,0.272042240389428,0.474883931831611,0.336521739130435,0.438397445345124,0.389064112011791,0.118334110255796,0.119411532712117,0.108190817545656,0.204722710236162,0.216921792964797,0.424122376338402,0.187305068226121,0.157675438596491,0.159543721909313,0.138556067588326,0.259172540203346,0.120833333333333,0.276165856001922,0.245018315018315,0.212051282051282,0.247238256844552,-0.58943445875618,0.635384513340461,0.635384513340461,0.603343733507969,-0.605622085080354,0.407474650702237,0.379299713780454,0.379299713780454,0.379299713780454,-0.688501319961664,-0.352820098701022,-0.64846632969525,0.476172986096818,0.428452976763124,0.454948065294284,0.398323586744639,0.429281866135799,0.429281866135799,0.399319319319319,0.364990253411306,0.365985985985986,0.328148148148148,0.328148148148148,-0.0833333333333333,-0.10952380952381,0.28,0.392972167940154,-0.182543721909313,-0.385166857624485
"GLI",0.499008872198934,0.616723053567556,0.577572110171329,0.530402298850575,0.468333333333333,0.408507039179308,0.556203750209275,0.402857142857143,0.509242424242424,0.461190476190476,0.15473324072645,0.158369988985897,0.144856475472383,0.324973091900828,0.239155739050006,0.428264094044383,0.206343239050006,0.175730994152047,0.273339598997494,0.247023809523809,0.277129912673044,0.138888888888889,0.291431097637994,0.254288240495137,0.214288240495137,0.233301153124162,-0.586816816816817,0.636578368177367,0.636578368177367,0.592142792070059,-0.592357240345084,0.471668028172252,0.43431863058189,0.43431863058189,0.43431863058189,-0.676006683915449,-0.420987858719647,-0.647281552297032,0.477110720753593,0.415974959048963,0.449518240462508,0.478368121442125,0.416403486364147,0.416403486364147,0.37874114870181,0.434838709677419,0.334838709677419,0.38,0.28,-0.0833333333333333,-0.20952380952381,0.2,0.340968031498795,-0.299870211242392,-0.408420480326192
