"","FOXC2","TGF","TGFR","CDC42","PAK1","SOSGRB2","MEK","SNAI1","HEY1","TWIST1","AKT","SHH","IKK","SMAD","NFB","Csn","ILK","SMO","FUS","Jagged","NOTCH","NOTCHic","Csl","KLF4","cateninmemb","ZEB2","ZEB1","SNAI2","RAS","RAF","PI3K","DELTA","GSK3","Ecadherin","miR200","GLI","cateninnuc","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","RKIP","TrCP","SUFU","LIV1","Destcompl","Patched","ERK","cfos","EGR1"
"Csn",0.217637346767061,0.250322485906499,0.223353512159482,0.188738127544098,0.145454545454545,0.306233137322726,0.22597132034632,0.119454698635746,0.0367109634551495,0.269640018700327,0.180766666666667,0.105243833667948,0.159166666666667,0.0318650039651493,0.13,0.105,0.0274948240165631,0.0751803751803752,0.053968253968254,0.160996056223295,0.247005772005772,0.222005772005772,0.184343434343434,-0.369068447891977,-0.424272755363788,0.399407775020678,0.399407775020678,0.384226224334589,0.238313966502914,0.212402258249555,0.212402258249555,0.212402258249555,-0.0901003593009001,-0.48549203598379,-0.408616690208085,0.369035303992661,0.404024000562746,0.387728149690828,0.348511286525412,0.369400175414301,0.348511286525412,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.403670325779037,-0.0522081198868415,-0.18,-0.0428571428571429,0.2,0.0572513945732848,-0.0913094074384397,-0.193679653679654,-0.161212121212121,-0.106666666666667
"IKK",0.481645021645022,0.516391919191919,0.469191919191919,0.405555555555556,0.35,0.433823529411765,0.252190476190476,0.257824427480916,0.139834881320949,0.519607843137255,0.299420849420849,0.22610472541507,0.264285714285714,0.135402915291529,0.314285714285714,0.3,0.128472222222222,0.18,0.12,0.269231490159325,0.35021645021645,0.307359307359307,0.245454545454545,-0.363369963369963,-0.567021395736479,0.409418546365915,0.409418546365915,0.635814307458143,0.380598655453593,0.334119782214156,0.334119782214156,0.334119782214156,-0.192271062271062,-0.671678676383726,-0.416532887402453,0.376239316239316,0.436154928053662,0.40957264957265,0.331623931623932,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0.403095238095238,-0.174590163934426,-0.2,-0.1,0.1,0.146040304920945,-0.198518518518518,-0.178857142857143,-0.142857142857143,-0.1
"STAT",0.190332651670075,0.189437567898666,0.174461722488038,0.153409090909091,0.140909090909091,0.107840722495895,0.193978494623656,0.107819733583317,0.0186666666666667,0.0609360903963603,0.0193704600484262,0.0331714344515332,0.0142857142857143,0.0242212227219723,0,0,0.0207729468599034,0.02,0,0.047162187350738,0.0193176614650058,0.00863804981452041,-0.0156862745098039,-0.30308972073678,-0.0505807130388453,0.411359153666846,0.411359153666846,0.070741260490768,-0.0301037461575497,-0.0420440446650124,-0.0420440446650124,-0.0420440446650124,0.0921005785491767,-0.182909457641602,-0.428634145413188,0.00778265851795264,0.0217516140681675,0.0151961909454023,-0.00146103896103896,0.00794067044067044,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,-0.0452684570331629,-0.0583944658944659,0,0,0,-0.0582260431488507,-0.0269767441860465,-0.18,-0.18,-0.2
"ERK",0.34890856373615,0.379485871360829,0.350639717514675,0.313413440142412,0.267619047619048,0.228615194945292,0.200814543537216,0.244559149529891,0.147825000549549,0.420698297197441,0.195877084778866,0.223241569186477,0.171106442577031,0.140888756401467,0.144047619047619,0.110714285714286,0.136329485884749,0.189311475409836,0.168,0.282924751175052,0.266463765412347,0.238485926077167,0.202719502719503,-0.390757732474726,-0.536998176024955,0.424913765980113,0.424913765980113,0.662195610083773,0.158684467347834,0.131071706071706,0.131071706071706,0.131071706071706,-0.184802053646624,-0.604503871209871,-0.435058417964413,0.376676656676657,0.413476754587253,0.395907310142809,0.352867132867133,0.375461213488534,0.351288185498712,0.32,0.318421052631579,0.27,0.268421052631579,0.410345498323269,-0.21074497237687,-0.0857142857142857,-0.14,0.2,0.0621188338463796,-0.208265723775849,-0.167666911225238,-0.0276669112252384,0.0127586206896552
"TGF",0.374751552795031,0.398452380952381,0.460952380952381,0.413333333333333,0.38,0.511842105263158,0.417794486215539,0.279195804195804,0.102707930367505,0.356481481481482,0.246553884711779,0.143096264367816,0.220238095238095,0.085347018572825,0.191666666666667,0.166666666666667,0.0821212121212121,0.103333333333333,0.0866666666666667,0.195182866961217,0.294597701149425,0.256666666666667,0.206666666666667,-0.39626239511823,-0.419787722043284,0.425353304209139,0.425353304209139,0.233698013917727,0.386309523809524,0.343452380952381,0.343452380952381,0.343452380952381,-0.211778958158606,-0.456448089291583,-0.433647147871286,0.299622641509434,0.342924076916133,0.32330685203575,0.26,0.299622641509434,0.26,0.2,0.2,0.1,0.1,0.322045855379189,-0.0987012987012987,-0.2,-0.0666666666666667,0,0.226960854804844,-0.127471264367816,-0.384461152882206,-0.347619047619048,-0.333333333333333
"Jagged",0.292857142857143,0.315555555555556,0.255555555555556,0.2,0.2,0.26,0.286666666666667,0.216666666666667,0.133333333333333,0.277,0.0666666666666667,0.0967948717948718,0.0333333333333333,0.0285714285714286,0,0,0.0333333333333333,0.0333333333333333,0,0.148311688311688,0.217142857142857,0.16,0.1,-0.405555555555556,-0.429175050301811,0.444685990338164,0.444685990338164,0.402890899949723,0.252727272727273,0.18,0.18,0.18,-0.169731800766284,-0.499754385964912,-0.458787878787879,0.269230769230769,0.346553446553447,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,-0.123076923076923,0,0,0,0.311243243243243,-0.0583333333333333,-0.22,-0.2,-0.1
"DELTA",0.292857142857143,0.315555555555556,0.255555555555556,0.2,0.2,0.26,0.286666666666667,0.216666666666667,0.133333333333333,0.277,0.0666666666666667,0.0967948717948718,0.0333333333333333,0.0285714285714286,0,0,0.0333333333333333,0.0333333333333333,0,0.148311688311688,0.217142857142857,0.16,0.1,-0.405555555555556,-0.429175050301811,0.444685990338164,0.444685990338164,0.402890899949723,0.252727272727273,0.18,0.18,0.18,-0.169731800766284,-0.499754385964912,-0.458787878787879,0.269230769230769,0.346553446553447,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,-0.123076923076923,0,0,0,0.311243243243243,-0.0583333333333333,-0.22,-0.2,-0.1
"NFB",0.517900001724703,0.554366602736223,0.516391919191919,0.469191919191919,0.405555555555556,0.48750773993808,0.295981325863679,0.287139495974067,0.150549167035235,0.552306255835668,0.337198627198627,0.247791472403022,0.299420849420849,0.142466112317551,0.264285714285714,0.314285714285714,0.135402915291529,0.198518518518518,0.18,0.29297249735357,0.390861611506773,0.35021645021645,0.307359307359307,-0.399908424908425,-0.605352969126131,0.449648431423386,0.449648431423386,0.667928128596355,0.417414575851603,0.380598655453593,0.380598655453593,0.380598655453593,-0.216584787761258,-0.713412223735251,-0.454901467462876,0.409947181407856,0.458821594720329,0.436154928053662,0.376239316239316,0.40957264957265,0.376239316239316,0.331623931623932,0.331623931623932,0.277777777777778,0.277777777777778,0.443520770010132,-0.196385035729298,-0.3,-0.12,0.2,0.165475520867789,-0.22610472541507,-0.252190476190476,-0.178857142857143,-0.142857142857143
"TGFR",0.404009194716428,0.429658054711246,0.398452380952381,0.460952380952381,0.413333333333333,0.559990253411306,0.449301335530607,0.300729727499639,0.108678079621236,0.381748385396072,0.267484117269919,0.157220558153127,0.246553884711779,0.089973353092398,0.220238095238095,0.191666666666667,0.085347018572825,0.127471264367816,0.103333333333333,0.209675620584406,0.32265525510626,0.294597701149425,0.256666666666667,-0.423048109403945,-0.448194188555986,0.452145757039328,0.452145757039328,0.257772087991801,0.416134085213033,0.386309523809524,0.386309523809524,0.386309523809524,-0.231583359136601,-0.485919980262622,-0.462092895671872,0.322203286670724,0.360195998971048,0.342924076916133,0.299622641509434,0.32330685203575,0.299622641509434,0.26,0.26,0.2,0.2,0.355093065679618,-0.117272727272727,-0.166666666666667,-0.0866666666666667,0.1,0.242485048353232,-0.143096264367816,-0.417794486215539,-0.384461152882206,-0.347619047619048
"TWIST1",0.519446054695492,0.510555417699102,0.474792319749216,0.433542319749216,0.381818181818182,0.514594457157386,0.470846112685998,0.446208297460181,0.148953870987769,0.454488985144019,0.440448252312659,0.420267944305734,0.401465201465201,0.125087869147275,0.353846153846154,0.3,0.122117572117572,0.369333333333333,0.333333333333333,0.388476326050966,0.409473740794495,0.371737891737892,0.328148148148148,-0.389430894308943,-0.652134738505219,0.465968600179126,0.465968600179126,0.705266061825503,0.452270314095325,0.421448396287106,0.421448396287106,0.421448396287106,-0.3733070643061,-0.812929250098509,-0.475009957027565,0.417254803675856,0.464903340811843,0.443109206251751,0.385254803675856,0.416309818809178,0.384582911178656,0.348412698412698,0.348412698412698,0.309523809523809,0.309523809523809,0.460247333311849,-0.3239341348037,-0.2,-0.3,0.266666666666667,0.400476290995408,-0.398100456621005,-0.426567505720824,-0.371304347826087,-0.28
"SMO",0.42448275862069,0.519504504504505,0.481666666666667,0.44,0.4,0.424561403508772,0.393240093240093,0.338556067588326,0.0945054945054945,0.278976034858388,0.228857142857143,0.300555555555556,0.192857142857143,0.0817460317460317,0.15,0.1,0.0833333333333333,0.253333333333333,0.333333333333333,0.224761904761905,0.318787878787879,0.278787878787879,0.233333333333333,-0.413888888888889,-0.398312976302328,0.475706214689265,0.475706214689265,0.4360021893815,0.382479874776386,0.347596153846154,0.347596153846154,0.347596153846154,-0.302549877307159,-0.439714171413559,-0.487311633514165,0.344444444444444,0.301407483109067,0.275091693635383,0.3,0.241111111111111,0.196666666666667,0.25,0.15,0.2,0.1,0.366472607851918,-0.245396825396825,0,-0.3,0.1,0.323715354413029,-0.278333333333333,-0.353846153846154,-0.3,-0.2
"NOTCH",0.343877551020408,0.370394265232975,0.315555555555556,0.255555555555556,0.2,0.317894736842105,0.336666666666667,0.255128205128205,0.128985507246377,0.322762711864407,0.111111111111111,0.120324283559578,0.0666666666666667,0.0352380952380952,0.0333333333333333,0,0.0285714285714286,0.0583333333333333,0.0333333333333333,0.174237614237614,0.171981566820276,0.217142857142857,0.16,-0.444685990338164,-0.474724788521706,0.492834138486312,0.492834138486312,0.444689841748665,0.30635046113307,0.252727272727273,0.252727272727273,0.252727272727273,-0.208368164402647,-0.551367289190719,-0.501645021645022,0.314685314685315,0.373900385328957,0.346553446553447,0.269230769230769,0.314685314685315,0.269230769230769,0.2,0.2,0.1,0.1,0.338490566037736,-0.161007957559682,0,0,0,0.339280626420813,-0.0967948717948718,-0.286666666666667,-0.22,-0.2
"FUS",0.456061705989111,0.553547057695994,0.519504504504505,0.481666666666667,0.44,0.470715249662618,0.426573426573427,0.357423992116628,0.0959547698678133,0.309866087214409,0.25578021978022,0.315707070707071,0.228857142857143,0.0836815156169995,0.192857142857143,0.15,0.0817460317460317,0.278333333333333,0.253333333333333,0.245243832472748,0.352878787878788,0.318787878787879,0.278787878787879,-0.454872495446266,-0.43388094650717,0.51190253370767,0.51190253370767,0.464907036778268,0.413484241588614,0.382479874776386,0.382479874776386,0.382479874776386,-0.323620111420871,-0.476700472783422,-0.522955197870601,0.379059829059829,0.322059657022111,0.301407483109067,0.344444444444444,0.275091693635383,0.241111111111111,0.3,0.196666666666667,0.25,0.15,0.404360806609682,-0.260860742922599,-0.1,-0.333333333333333,0.1,0.343131412807189,-0.300555555555556,-0.393240093240093,-0.353846153846154,-0.3
"cfos",0.361803648288584,0.390603514132926,0.348179271708683,0.295238095238095,0.242857142857143,0.361111111111111,0.36828297715549,0.262220395638117,0.0358820589705147,0.33361038961039,0.127412280701754,0.12205154463219,0.0958333333333333,0.0387267451783581,0.0583333333333333,0.0333333333333333,0.0322751322751323,0.080952380952381,0.0476190476190476,0.179756944444444,0.192307692307692,0.153846153846154,0.1,-0.478888888888889,-0.513248326040278,0.519034167339252,0.519034167339252,0.472683982683983,0.346050534034752,0.30702614379085,0.30702614379085,0.30702614379085,-0.203189935064935,-0.577556126535896,-0.532662762074527,0.359727095516569,0.41027621681087,0.387313253847907,0.328148148148148,0.360580580580581,0.328148148148148,0.28,0.28,0.2,0.2,0.391674876847291,-0.16986013986014,0,-0.0333333333333333,0.1,0.376069929318455,-0.103533026113671,-0.319130434782609,-0.28,-0.12
"CDC42",0.361803648288584,0.390603514132926,0.348179271708683,0.295238095238095,0.342857142857143,0.361111111111111,0.36828297715549,0.262220395638117,0.0358820589705147,0.33361038961039,0.127412280701754,0.12205154463219,0.0958333333333333,0.0387267451783581,0.0583333333333333,0.0333333333333333,0.0322751322751323,0.080952380952381,0.0476190476190476,0.179756944444444,0.192307692307692,0.153846153846154,0.1,-0.478888888888889,-0.513248326040278,0.519034167339252,0.519034167339252,0.472683982683983,0.346050534034752,0.30702614379085,0.30702614379085,0.30702614379085,-0.203189935064935,-0.577556126535896,-0.532662762074527,0.359727095516569,0.41027621681087,0.387313253847907,0.328148148148148,0.360580580580581,0.328148148148148,0.28,0.28,0.2,0.2,0.391674876847291,-0.16986013986014,0,-0.0333333333333333,0.1,0.376069929318455,-0.103533026113671,-0.319130434782609,-0.28,-0.22
"TCFLEF",0.566650835493211,0.564041343127951,0.54218703849219,0.520691711389386,0.497435897435897,0.588656533087671,0.504360378297661,0.358278511353825,0.0777255051225933,0.393695849864231,0.266090690515655,0.195512048476624,0.249786342689569,0.0410006178898199,0.236883116883117,0.216883116883117,0.0396621857674489,0.170952380952381,0.156666666666667,0.225357274349316,0.366060154445594,0.345129921887454,0.323561294436474,-0.396025910364146,-0.411552302926155,0.520311669324827,0.520311669324827,0.403697769261176,0.408763059559781,0.387606686366614,0.387606686366614,0.387606686366614,-0.291874986196895,-0.559910640059252,-0.533025956640415,0.260696298586324,0.188237817478724,0.174663934317212,0.237714932126697,0.256679970972424,0.234038461538462,0.209509803921569,0.205833333333333,0.174509803921569,0.170833333333333,0.594420512820513,-0.164841805574689,-0.171428571428571,-0.15,0.133333333333333,0.330494966628367,-0.183855606758833,-0.48123112659698,-0.463135888501742,-0.431428571428571
"NOTCHic",0.385813034891376,0.413069424468644,0.370394265232975,0.315555555555556,0.255555555555556,0.381531100478469,0.390952380952381,0.284228734228734,0.139754738015608,0.35735390683296,0.145994832041344,0.140754391086459,0.111111111111111,0.0431517643028434,0.0666666666666667,0.0333333333333333,0.0352380952380952,0.0967948717948718,0.0583333333333333,0.196091918873376,0.211455251030803,0.171981566820276,0.217142857142857,-0.487543133195307,-0.514278541057203,0.533574879227053,0.533574879227053,0.478557577219607,0.345266717290705,0.30635046113307,0.30635046113307,0.30635046113307,-0.235640891675374,-0.593786891028391,-0.546153692165253,0.345868110384239,0.397564507466361,0.373900385328957,0.314685314685315,0.346553446553447,0.314685314685315,0.269230769230769,0.269230769230769,0.2,0.2,0.380157232704402,-0.190585422348414,0,-0.0333333333333333,0.1,0.35994729308748,-0.120324283559578,-0.336666666666667,-0.286666666666667,-0.22
"PAK1",0.392838131047204,0.421751055116532,0.390603514132926,0.348179271708683,0.295238095238095,0.40962596259626,0.414949643822157,0.28489342666437,0.0461761766175736,0.360784302653868,0.157041910331384,0.13805154463219,0.127412280701754,0.0445331967912613,0.0958333333333333,0.0583333333333333,0.0387267451783581,0.103533026113671,0.080952380952381,0.19877534935242,0.223076923076923,0.192307692307692,0.153846153846154,-0.511675774134791,-0.54511645790841,0.553439312033786,0.553439312033786,0.499627924817798,0.377414170398388,0.346050534034752,0.346050534034752,0.346050534034752,-0.223189935064935,-0.611812181899218,-0.566165300145593,0.386556363809252,0.429586561638456,0.41027621681087,0.359727095516569,0.387313253847907,0.360580580580581,0.328148148148148,0.328148148148148,0.28,0.28,0.424379279363014,-0.189197156434726,-0.0333333333333333,-0.0476190476190476,0.2,0.392761658641763,-0.12205154463219,-0.36828297715549,-0.319130434782609,-0.28
"LIV1",0.392838131047204,0.421751055116532,0.390603514132926,0.348179271708683,0.295238095238095,0.40962596259626,0.414949643822157,0.28489342666437,0.0461761766175736,0.360784302653868,0.157041910331384,0.13805154463219,0.127412280701754,0.0445331967912613,0.0958333333333333,0.0583333333333333,0.0387267451783581,0.103533026113671,0.080952380952381,0.19877534935242,0.223076923076923,0.192307692307692,0.153846153846154,-0.511675774134791,-0.54511645790841,0.553439312033786,0.553439312033786,0.499627924817798,0.377414170398388,0.346050534034752,0.346050534034752,0.346050534034752,-0.223189935064935,-0.611812181899218,-0.566165300145593,0.386556363809252,0.429586561638456,0.41027621681087,0.359727095516569,0.387313253847907,0.360580580580581,0.328148148148148,0.328148148148148,0.28,0.28,0.424379279363014,-0.189197156434726,-0.0333333333333333,-0.0476190476190476,0.2,0.392761658641763,-0.12205154463219,-0.36828297715549,-0.319130434782609,-0.28
"EGR1",0.392838131047204,0.421751055116532,0.390603514132926,0.348179271708683,0.295238095238095,0.40962596259626,0.414949643822157,0.28489342666437,0.0461761766175736,0.360784302653868,0.157041910331384,0.13805154463219,0.127412280701754,0.0445331967912613,0.0958333333333333,0.0583333333333333,0.0387267451783581,0.103533026113671,0.080952380952381,0.19877534935242,0.223076923076923,0.192307692307692,0.153846153846154,-0.511675774134791,-0.54511645790841,0.553439312033786,0.553439312033786,0.499627924817798,0.377414170398388,0.346050534034752,0.346050534034752,0.346050534034752,-0.223189935064935,-0.611812181899218,-0.566165300145593,0.386556363809252,0.429586561638456,0.41027621681087,0.359727095516569,0.387313253847907,0.360580580580581,0.328148148148148,0.328148148148148,0.28,0.28,0.424379279363014,-0.189197156434726,-0.0333333333333333,-0.0476190476190476,0.2,0.392761658641763,-0.12205154463219,-0.36828297715549,-0.319130434782609,-0.28
"Csl",0.417422230293675,0.444588698845061,0.413069424468644,0.370394265232975,0.315555555555556,0.432750612673591,0.437691511387164,0.307944149248497,0.152173038669202,0.385570611121899,0.177777777777778,0.157995770396804,0.145994832041344,0.048707319858399,0.111111111111111,0.0666666666666667,0.0431517643028434,0.120324283559578,0.0967948717948718,0.216404418873376,0.243273432848985,0.211455251030803,0.171981566820276,-0.523257418909593,-0.547306063992983,0.570038967624843,0.570038967624843,0.505776070881054,0.376516717290705,0.345266717290705,0.345266717290705,0.345266717290705,-0.254933969731339,-0.629368286377228,-0.582101404583554,0.373287465222949,0.417518767043263,0.397564507466361,0.345868110384239,0.373900385328957,0.346553446553447,0.314685314685315,0.314685314685315,0.269230769230769,0.269230769230769,0.412805047614428,-0.209479431565004,-0.0333333333333333,-0.0583333333333333,0.2,0.376583490528065,-0.140754391086459,-0.390952380952381,-0.336666666666667,-0.286666666666667
"SNAI1",0.417615767641868,0.446952668019758,0.421751055116532,0.390603514132926,0.348179271708683,0.450758038067958,0.448133500324399,0.203576700685722,0.0556999861413831,0.383861225730791,0.182041910331384,0.152226301913743,0.157041910331384,0.0478542300015934,0.127412280701754,0.0958333333333333,0.0445331967912613,0.12205154463219,0.103533026113671,0.215481231705361,0.248791208791209,0.223076923076923,0.192307692307692,-0.542516895630118,-0.571886751518082,0.581360591246578,0.581360591246578,0.52138454566929,0.401716305045351,0.377414170398388,0.377414170398388,0.377414170398388,-0.238701486220051,-0.640220090327938,-0.595848297263748,0.409408283370495,0.445642317962669,0.429586561638456,0.386556363809252,0.41027621681087,0.387313253847907,0.359727095516569,0.360580580580581,0.328148148148148,0.328148148148148,0.450952705936441,-0.203004687815479,-0.0583333333333333,-0.080952380952381,0.28,0.406358149869834,-0.13805154463219,-0.414949643822157,-0.36828297715549,-0.319130434782609
"GLI",0.443610251117991,0.571021814841747,0.537374756018217,0.496494252873563,0.451666666666667,0.632443780408382,0.528429958623329,0.327348596267608,0.0779068271852652,0.386159096515633,0.199200568385249,0.264285603780173,0.169513068385249,0.0714409849796209,0.142982456140351,0.116666666666667,0.0671166606552966,0.227005012531328,0.205952380952381,0.228970158874607,0.262840406719717,0.229507073386384,0.192007073386384,-0.542781638781639,-0.562626117030584,0.582575695511179,0.582575695511179,0.501719443198856,0.470300349109105,0.436835002574451,0.436835002574451,0.436835002574451,-0.287860099836788,-0.628711165279825,-0.594971932092675,0.403875005046631,0.449059422859673,0.429035513714425,0.473662239089184,0.404035513714425,0.373863099921322,0.434838709677419,0.334838709677419,0.38,0.28,0.436988224637681,-0.198517305270036,-0.0833333333333333,-0.180952380952381,0.2,0.358982948818277,-0.247413175796634,-0.48478354978355,-0.44452380952381,-0.402857142857143
"SMAD",0.461476959080768,0.486457340495151,0.453389611411486,0.409255533199195,0.357142857142857,0.445874001774623,0.454499373469741,0.344386958919217,0.172006930202956,0.406408509669716,0.282,0.259406369723634,0.25,0.0525636007827789,0.216666666666667,0.183333333333333,0.146849315068493,0.220833333333333,0.195833333333333,0.320945677977936,0.345944170771757,0.312610837438424,0.272380952380952,-0.544246052320315,-0.560958962803909,0.589442806209327,0.589442806209327,0.518287482819564,0.460657662665994,0.42809187319231,0.42809187319231,0.42809187319231,-0.306933169865501,-0.642747650671083,-0.600465010257579,0.386259783382086,0.432674964174301,0.412006271165183,0.356043956043956,0.386904507257448,0.35672268907563,0.321428571428571,0.321428571428571,0.271428571428571,0.271428571428571,0.422493848742367,-0.243445027020951,-0.15,-0.158333333333333,0.2,0.286899301800218,-0.241934250764526,-0.407383988854356,-0.356221198156682,-0.314285714285714
"ZEB1",0.45202105829312,0.484946894300029,0.451088626583493,0.41200233216725,0.364176245210728,0.430487329434698,0.359693357519219,0.323117148818015,0.150591506938657,0.462389955242611,0.271322979580098,0.248900666704728,0.241322979580098,0.135282082578901,0.210175438596491,0.173333333333333,0.130955159501978,0.210606060606061,0.183333333333333,0.318559371405793,0.353646086533787,0.320588235294118,0.283333333333333,-0.543487646780019,-0.637945329438696,0.591971751680721,0.591971751680721,0.504322687271079,0.452062992101452,0.421039370054208,0.421039370054208,0.421039370054208,-0.360084582683716,-0.635939234711178,-0.611335726540946,0.449497499818093,0.492492817016332,0.47243410860146,0.420975163048334,0.447966023495077,0.419493801272854,0.384436701509872,0.38223889931207,0.338095238095238,0.335897435897436,0.479240516590558,-0.242853291131821,-0.133333333333333,-0.158333333333333,0.266666666666667,0.402149368988661,-0.232174688057041,-0.317843137254902,-0.276666666666667,-0.216666666666667
