"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","EGR1","cfos","TWIST1","HEY1","SMAD","SHH","ILK","AKT","IKK","SMO","NFB","Jagged","FUS","NOTCH","NOTCHic","Csn","Csl","SNAI2","SOSGRB2","ZEB2","ZEB1","RAS","KLF4","RAF","PI3K","DELTA","cateninmemb","cateninnuc","GLI","TCFLEF","Wnt","CD44","Frizzled","cMet","SRC","DSH","miR200","Ecadherin","STAT","GSK3","AXIN2","LIV1","Destcompl","TrCP","SUFU","Patched","RKIP"
"ERK",0.34170658883057,0.364206276646947,0.344276206716878,0.311236559139785,0.265,0.195174122895262,0.244309742177289,0.168189995911135,0.187241379310345,0.226371814092954,0.3946860867766,0.174407056358276,0.175355416535541,0.221024026066963,0.16540435617665,0.194464285714286,0.177541208791209,0.198030303030303,0.154464285714286,0.259319597521323,0.181666666666667,0.245417609063309,0.226950710108605,0.110714285714286,0.200634920634921,0.649400382679012,0.104263259775455,0.43178636664096,0.43178636664096,0.119236733246955,-0.400068755903893,0.097830005418209,0.097830005418209,0.097830005418209,-0.520821382722178,0.361814165065806,0.331894035770411,0.347366215538992,0.312215320910973,0.329083226667768,0.29047619047619,0.30891861761427,0.287179487179487,0.257142857142857,-0.442450917580428,-0.594499831068608,0.253846153846154,-0.178749653241243,0.371806327701468,0.2,0.0116426071473607,-0.0857142857142857,-0.14,-0.208979208139792,-0.268863196959332
"cMet",0.41231037489102,0.416621067031464,0.379411764705882,0.35,0.3,0.422407407407407,0.412197159565581,0.415,0.325,0.385,0.405123873873874,0.21781905744754,0.21034632034632,0.21120218579235,0.197619047619048,0.276129032258064,0.26,0.15,0.266666666666667,0.231645569620253,0.15,0.288851974898487,0.253968253968254,0.2,0.242857142857143,0.511936385563896,0.0148604269293924,0.460841106201931,0.460841106201931,0.255620300926571,-0.320634920634921,0.216294458229942,0.216294458229942,0.216294458229942,-0.219774238901999,0.209116575133102,0.144623655913978,0.182659176029963,0.0833333333333333,0.143333333333333,0,0.0833333333333333,0.1,-0.1,-0.469794842838321,-0.342957804906957,0,-0.266839826839827,0.0902173913043478,0.1,-0.123642016433489,-0.2,-0.1,-0.183333333333333,-0.458319088319088
"Jagged",0.309523809523809,0.326984126984127,0.255555555555556,0.2,0.2,0.286666666666667,0.25,0.22,0.1,0.2,0.276666666666667,0.166666666666667,0.0714285714285714,0.110606060606061,0.0666666666666667,0.0888888888888889,0.0333333333333333,0.0333333333333333,0,0.140555555555556,0,0.226666666666667,0.16,0,0.1,0.420594965675057,0.12,0.46207729468599,0.46207729468599,0.235,-0.405555555555556,0.175,0.175,0.175,-0.420772946859903,0.310769230769231,0.25,0.28,0.2,0.25,0.1,0.2,0.1,0,-0.472121212121212,-0.504386684906521,0,-0.216883116883117,0.269230769230769,0,0.272444444444444,0,0,-0.0833333333333333,-0.235897435897436
"DELTA",0.309523809523809,0.326984126984127,0.255555555555556,0.2,0.2,0.286666666666667,0.25,0.22,0.1,0.2,0.276666666666667,0.166666666666667,0.0714285714285714,0.110606060606061,0.0666666666666667,0.0888888888888889,0.0333333333333333,0.0333333333333333,0,0.140555555555556,0,0.226666666666667,0.16,0,0.1,0.420594965675057,0.12,0.46207729468599,0.46207729468599,0.235,-0.405555555555556,0.175,0.175,0.175,-0.420772946859903,0.310769230769231,0.25,0.28,0.2,0.25,0.1,0.2,0.1,0,-0.472121212121212,-0.504386684906521,0,-0.216883116883117,0.269230769230769,0,0.272444444444444,0,0,-0.0833333333333333,-0.235897435897436
"NFB",0.518828090580668,0.545955835839343,0.508616780045351,0.455555555555556,0.4,0.291486528822055,0.298482965466958,0.244611528822055,0.142857142857143,0.176190476190476,0.529776607961192,0.196225858764558,0.196065861968972,0.253500016922192,0.184495614035088,0.341125541125541,0.311255411255411,0.217222222222222,0.25974025974026,0.268893258025309,0.175555555555556,0.371975659229209,0.340941176470588,0.314285714285714,0.292941176470588,0.670898716267111,0.312852664576802,0.463173306536138,0.463173306536138,0.376357628327889,-0.409811331087927,0.350707070707071,0.350707070707071,0.350707070707071,-0.597072986324727,0.412068667748955,0.365448315248429,0.389896722047598,0.341176470588235,0.364705882352941,0.307843137254902,0.341176470588235,0.307843137254902,0.266666666666667,-0.468297907398253,-0.710403994519441,0.266666666666667,-0.218693722943723,0.408932178932179,0.2,0.110904832039165,-0.3,-0.12,-0.235589569160998,-0.29935326547922
"STAT",0.249782608695652,0.248600862738794,0.234118104118104,0.19957264957265,0.161111111111111,0.239081939081939,0.173853857859795,0.217460317460317,0.2,0.188888888888889,0.125852756196818,0.0629411764705882,0.070432617491441,0.076035076035076,0.0645502645502645,0.0616780045351474,0.0555555555555556,0.0659340659340659,0.0333333333333333,0.0914269247908954,0.0428571428571429,0.0635578435578436,0.0554497354497355,0,0.0295238095238095,0.17175256932421,0.0184848484848485,0.464795266039406,0.464795266039406,0.0199647639182523,-0.343272727272727,0.00484848484848484,0.00484848484848484,0.00484848484848484,-0.118175045116869,0.144940402064233,0.118766169154229,0.13328991662734,0.105333333333333,0.119179487179487,0.0933333333333333,0.105333333333333,0.0933333333333333,0.06,-0.47983367983368,-0.245474634188137,0.06,-0.00447365642487593,0.0192894944448097,0.1,-0.0146321685482301,0,0,-0.0714896214896215,-0.196228070175439
"TWIST1",0.508050580960861,0.491082718383298,0.455988378760656,0.417374517374517,0.371428571428571,0.450190631808279,0.449694336312298,0.413425925925926,0.277777777777778,0.365277777777778,0.433027440395861,0.238789945686497,0.231363300180504,0.421230518155855,0.21707758589479,0.433796296296296,0.393055555555556,0.359649122807018,0.355555555555556,0.352900867976245,0.333333333333333,0.382598039215686,0.345098039215686,0.3,0.307843137254902,0.701938796958759,0.272875064004096,0.471205073051646,0.471205073051646,0.409773809523809,-0.393696739692945,0.384773809523809,0.384773809523809,0.384773809523809,-0.647998214383629,0.397786469530876,0.357920536635707,0.379087282539007,0.328508771929825,0.355903891535546,0.295175438596491,0.327090332213512,0.295175438596491,0.258333333333333,-0.479700854700855,-0.811776852877965,0.258333333333333,-0.365384713701432,0.41523088023088,0.233333333333333,0.340579287091894,-0.2,-0.3,-0.395649122807018,-0.441741904167533
"SMO",0.414965986394558,0.503736517719569,0.461363636363636,0.425,0.4,0.381034482758621,0.349130434782609,0.35,0.2,0.3,0.258357256778309,0.128937728937729,0.132280701754386,0.304166666666667,0.12,0.225,0.183333333333333,0.233333333333333,0.15,0.212987012987013,0.333333333333333,0.305454545454545,0.26,0.1,0.22,0.436406926406926,0.224117647058824,0.475974025974026,0.475974025974026,0.35431746031746,-0.41010101010101,0.327333333333333,0.327333333333333,0.327333333333333,-0.388167582875229,0.189126162400537,0.243333333333333,0.166757741347905,0.21,0.138888888888889,0.15,0.105555555555556,0.05,0.1,-0.485828135828136,-0.436432072829132,0,-0.310717299578059,0.318461538461538,0.1,0.274848275685763,0,-0.3,-0.270833333333333,-0.341904761904762
"SRC",0.431322537112011,0.430069555912253,0.395238095238095,0.361904761904762,0.333333333333333,0.349049948799636,0.326213006941907,0.321390374331551,0.3,0.327272727272727,0.293414001728608,0.126804038397881,0.11609649122807,0.107978142076503,0.109429824561404,0.181818181818182,0.166666666666667,0.0666666666666667,0.15,0.139696223316913,0.0333333333333333,0.193706004140787,0.167619047619048,0.15,0.134285714285714,0.270608581132599,0.0238213399503722,0.492777777777778,0.492777777777778,0.254134491634492,-0.360907859078591,0.224967824967825,0.224967824967825,0.224967824967825,-0.161954824525885,0.197061049366115,0.153846153846154,0.178335949764521,0.120512820512821,0.153846153846154,0.0666666666666667,0.120512820512821,0.0666666666666667,0,-0.504187545204772,-0.303680338779236,0.1,-0.177516089548703,0.0423809523809524,0,-0.0587174190874236,-0.1,-0.0333333333333333,-0.0866666666666667,-0.42187134502924
"NOTCH",0.364523809523809,0.381150793650794,0.326984126984127,0.255555555555556,0.2,0.348205128205128,0.278301886792453,0.286666666666667,0.2,0.22,0.314761904761905,0.171014492753623,0.0814285714285714,0.127847439916405,0.0714285714285714,0.126388888888889,0.0888888888888889,0.0833333333333333,0.0333333333333333,0.157628726287263,0.0333333333333333,0.168333333333333,0.226666666666667,0,0.16,0.463684396569366,0.161176470588235,0.51807729468599,0.51807729468599,0.273775510204082,-0.46207729468599,0.235,0.235,0.235,-0.470048309178744,0.338710407239819,0.28,0.310769230769231,0.25,0.28,0.2,0.25,0.2,0.1,-0.526666666666667,-0.557922038441874,0.1,-0.248133116883117,0.314685314685315,0,0.293612327656123,0,0,-0.110606060606061,-0.279897435897436
"FUS",0.453675663813913,0.541574355557406,0.503736517719569,0.461363636363636,0.425,0.416099417823556,0.372207357859532,0.381034482758621,0.3,0.35,0.292685614987265,0.141840954744181,0.141869742850276,0.322685185185185,0.132280701754386,0.258333333333333,0.225,0.270833333333333,0.183333333333333,0.23332599603786,0.233333333333333,0.338787878787879,0.305454545454545,0.15,0.26,0.46844035259077,0.240396716826265,0.52002997002997,0.52002997002997,0.377298826777088,-0.457469431153642,0.35431746031746,0.35431746031746,0.35431746031746,-0.424337795641187,0.208529147475164,0.272365591397849,0.189126162400537,0.243333333333333,0.166757741347905,0.21,0.138888888888889,0.105555555555556,0.15,-0.529474544667915,-0.477186112326439,0.05,-0.32978706701992,0.350461538461538,0,0.287152526245047,-0.1,-0.333333333333333,-0.304166666666667,-0.382645502645503
"cfos",0.383452380952381,0.400049023791064,0.367375756464332,0.311278195488722,0.242857142857143,0.379643493761141,0.293273941574813,0.334545454545455,0.32,0.28,0.330524900962083,0.0813593203398301,0.0923953008698771,0.13465777831975,0.0788359788359788,0.143939393939394,0.116666666666667,0.103463203463203,0.0833333333333333,0.16828380474997,0.0761904761904762,0.184493506493506,0.156493506493506,0.0333333333333333,0.113636363636364,0.508051477784302,0.18,0.553184072064565,0.553184072064565,0.310469820035037,-0.507936507936508,0.276556776556777,0.276556776556777,0.276556776556777,-0.5151228776915,0.379775656368104,0.326513213981245,0.356592265364644,0.296078431372549,0.327896613190731,0.266666666666667,0.296078431372549,0.266666666666667,0.2,-0.565798027109502,-0.592894392726398,0.2,-0.277056449163726,0.366176317162233,0.1,0.324015735192206,0,-0.0333333333333333,-0.121981721981722,-0.30530303030303
"CDC42",0.383452380952381,0.400049023791064,0.367375756464332,0.311278195488722,0.342857142857143,0.379643493761141,0.293273941574813,0.334545454545455,0.22,0.28,0.330524900962083,0.0813593203398301,0.0923953008698771,0.13465777831975,0.0788359788359788,0.143939393939394,0.116666666666667,0.103463203463203,0.0833333333333333,0.16828380474997,0.0761904761904762,0.184493506493506,0.156493506493506,0.0333333333333333,0.113636363636364,0.508051477784302,0.18,0.553184072064565,0.553184072064565,0.310469820035037,-0.507936507936508,0.276556776556777,0.276556776556777,0.276556776556777,-0.5151228776915,0.379775656368104,0.326513213981245,0.356592265364644,0.296078431372549,0.327896613190731,0.266666666666667,0.296078431372549,0.266666666666667,0.2,-0.565798027109502,-0.592894392726398,0.2,-0.277056449163726,0.366176317162233,0.1,0.324015735192206,0,-0.0333333333333333,-0.121981721981722,-0.30530303030303
"TGF",0.526417220990392,0.539824561403509,0.589824561403509,0.526666666666667,0.46,0.472396106545433,0.430210280373832,0.423558897243108,0.333333333333333,0.376190476190476,0.447240345154162,0.231850419084462,0.22603128054741,0.253397190293742,0.211515151515151,0.337698412698413,0.315476190476191,0.203333333333333,0.258333333333333,0.2957805907173,0.153333333333333,0.376,0.34,0.233333333333333,0.273333333333333,0.497468180254558,0.177777777777778,0.558011791853163,0.558011791853163,0.372086509022214,-0.507068395626748,0.323249299719888,0.323249299719888,0.323249299719888,-0.50732368406787,0.39693257047,0.325714285714286,0.364661654135338,0.271428571428571,0.325714285714286,0.2,0.271428571428571,0.2,0.1,-0.565975059423335,-0.589999376172161,0.1,-0.351951920381273,0.343636363636364,0,0.139501306026954,-0.2,-0.133333333333333,-0.229259259259259,-0.407973746683424
"NOTCHic",0.397155388471178,0.413324706694272,0.381150793650794,0.326984126984127,0.255555555555556,0.39557354925776,0.301986097318769,0.348205128205128,0.22,0.286666666666667,0.344391534391534,0.184860646599777,0.0963892013498313,0.142847439916405,0.0814285714285714,0.154166666666667,0.126388888888889,0.110606060606061,0.0888888888888889,0.17727158343012,0.0833333333333333,0.196904761904762,0.168333333333333,0.0333333333333333,0.226666666666667,0.499840748360897,0.204033613445378,0.560934437543133,0.560934437543133,0.307599039615846,-0.51207729468599,0.273775510204082,0.273775510204082,0.273775510204082,-0.513162081633834,0.361559071928246,0.30962962962963,0.338710407239819,0.28,0.310769230769231,0.25,0.28,0.25,0.2,-0.573071895424836,-0.601824477466265,0.2,-0.273286491116246,0.351155902920609,0.1,0.31036908441288,0,-0.0333333333333333,-0.127847439916405,-0.312100825727944
"TCFLEF",0.60403537320213,0.590602365039423,0.5657563691462,0.54033264033264,0.505197505197505,0.516825858250277,0.421643220678218,0.494345238095238,0.431428571428571,0.471428571428571,0.415667011164575,0.201421122403889,0.183567669530052,0.268115452656089,0.174889983579639,0.299551452563501,0.282683982683983,0.230823680823681,0.268398268398268,0.260360257480982,0.211904761904762,0.37716995741386,0.356031746031746,0.235064935064935,0.336984126984127,0.465584219984798,0.186048605357636,0.571184675788782,0.571184675788782,0.382847768510001,-0.43779625199362,0.362421480765774,0.362421480765774,0.362421480765774,-0.429892750441744,0.168384862278283,0.239089227924179,0.152883342521444,0.211904761904762,0.232576829111483,0.181904761904762,0.205844155844156,0.175844155844156,0.153333333333333,-0.58275031476422,-0.599371168236856,0.147272727272727,-0.337314392105152,0.569102130010904,0.12,0.287258408820368,-0.171428571428571,-0.183333333333333,-0.248680823680824,-0.428159041394335
"ZEB1",0.429011546281128,0.453418483893685,0.425257564353455,0.391010989010989,0.344857142857143,0.337337047270331,0.309576089955148,0.301664532650448,0.213636363636364,0.263636363636364,0.405081224160979,0.179208463949843,0.172159083998164,0.236247093979292,0.162388969055636,0.256899741028487,0.232371439141694,0.202005012531328,0.207843137254902,0.265840424777506,0.180952380952381,0.314109305827097,0.287728937728938,0.166666666666667,0.259523809523809,0.497424608480704,0.257626068888356,0.586784090917588,0.586784090917588,0.417248274436165,-0.541833287485461,0.391150083221694,0.391150083221694,0.391150083221694,-0.627406269142845,0.358737621544087,0.324654323653244,0.342138431260686,0.299813559322034,0.321928457507405,0.271,0.29725313283208,0.267428571428571,0.235,-0.607292433269085,-0.620644076648945,0.231428571428571,-0.353700479815332,0.449425231289531,0.16,0.355070414579076,-0.133333333333333,-0.147619047619048,-0.219505012531328,-0.303031190121354
"PAK1",0.409345238095238,0.426715690457731,0.400049023791064,0.367375756464332,0.311278195488722,0.417976827094474,0.31673073169827,0.379643493761141,0.28,0.334545454545455,0.356509152930587,0.0991887777041712,0.105030679931249,0.152950461246579,0.0923953008698771,0.164369501466276,0.143939393939394,0.121981721981722,0.116666666666667,0.189313847668425,0.103463203463203,0.208581097734382,0.184493506493506,0.0833333333333333,0.156493506493506,0.538682108414933,0.2,0.587501415237997,0.587501415237997,0.340294381438546,-0.546118326118326,0.310469820035037,0.310469820035037,0.310469820035037,-0.550579941403411,0.398104497338455,0.355326773303279,0.379775656368104,0.326513213981245,0.356592265364644,0.296078431372549,0.327896613190731,0.296078431372549,0.266666666666667,-0.600290780732691,-0.628462362931239,0.266666666666667,-0.298582334722309,0.398434381678362,0.2,0.338265735192206,-0.0333333333333333,-0.0761904761904762,-0.13465777831975,-0.332100415923945
"LIV1",0.409345238095238,0.426715690457731,0.400049023791064,0.367375756464332,0.311278195488722,0.417976827094474,0.31673073169827,0.379643493761141,0.28,0.334545454545455,0.356509152930587,0.0991887777041712,0.105030679931249,0.152950461246579,0.0923953008698771,0.164369501466276,0.143939393939394,0.121981721981722,0.116666666666667,0.189313847668425,0.103463203463203,0.208581097734382,0.184493506493506,0.0833333333333333,0.156493506493506,0.538682108414933,0.2,0.587501415237997,0.587501415237997,0.340294381438546,-0.546118326118326,0.310469820035037,0.310469820035037,0.310469820035037,-0.550579941403411,0.398104497338455,0.355326773303279,0.379775656368104,0.326513213981245,0.356592265364644,0.296078431372549,0.327896613190731,0.296078431372549,0.266666666666667,-0.600290780732691,-0.628462362931239,0.266666666666667,-0.298582334722309,0.398434381678362,0.2,0.338265735192206,-0.0333333333333333,-0.0761904761904762,-0.13465777831975,-0.332100415923945
"EGR1",0.409345238095238,0.426715690457731,0.400049023791064,0.367375756464332,0.311278195488722,0.417976827094474,0.31673073169827,0.379643493761141,0.28,0.334545454545455,0.356509152930587,0.0991887777041712,0.105030679931249,0.152950461246579,0.0923953008698771,0.164369501466276,0.143939393939394,0.121981721981722,0.116666666666667,0.189313847668425,0.103463203463203,0.208581097734382,0.184493506493506,0.0833333333333333,0.156493506493506,0.538682108414933,0.2,0.587501415237997,0.587501415237997,0.340294381438546,-0.546118326118326,0.310469820035037,0.310469820035037,0.310469820035037,-0.550579941403411,0.398104497338455,0.355326773303279,0.379775656368104,0.326513213981245,0.356592265364644,0.296078431372549,0.327896613190731,0.296078431372549,0.266666666666667,-0.600290780732691,-0.628462362931239,0.266666666666667,-0.298582334722309,0.398434381678362,0.2,0.338265735192206,-0.0333333333333333,-0.0761904761904762,-0.13465777831975,-0.332100415923945
"Csl",0.423309234625024,0.44007629905096,0.413324706694272,0.381150793650794,0.326984126984127,0.432636486320697,0.326585027800052,0.39557354925776,0.286666666666667,0.348205128205128,0.370990860990861,0.204285107031432,0.10985073981137,0.162184456490991,0.0963892013498313,0.17710244648318,0.154166666666667,0.127847439916405,0.126388888888889,0.198944587232401,0.110606060606061,0.222370600414079,0.196904761904762,0.0888888888888889,0.168333333333333,0.530174938592259,0.221054890041123,0.596016404756248,0.596016404756248,0.33625401037608,-0.551421556981072,0.307599039615846,0.307599039615846,0.307599039615846,-0.548505869329853,0.379478147072755,0.337687183586464,0.361559071928246,0.30962962962963,0.338710407239819,0.28,0.310769230769231,0.28,0.25,-0.608456510809452,-0.63753876318055,0.25,-0.294291057326291,0.382377622377622,0.2,0.323876937816021,-0.0333333333333333,-0.0833333333333333,-0.142847439916405,-0.341314308874012
"TGFR",0.564241055187283,0.580175438596491,0.539824561403509,0.589824561403509,0.526666666666667,0.510274894424221,0.461481758037062,0.472396106545433,0.376190476190476,0.423558897243108,0.482478440392257,0.248268329532223,0.238298938539975,0.276667630545314,0.22603128054741,0.363339438339438,0.337698412698413,0.229259259259259,0.315476190476191,0.320894745968441,0.203333333333333,0.410513274336283,0.376,0.258333333333333,0.34,0.539933933679215,0.212989045383412,0.602141346509034,0.602141346509034,0.410731927348907,-0.555216543774896,0.372086509022214,0.372086509022214,0.372086509022214,-0.555518346548247,0.422051053882322,0.364489795918367,0.39693257047,0.325714285714286,0.364661654135338,0.271428571428571,0.325714285714286,0.271428571428571,0.2,-0.610802645630232,-0.638749376172161,0.2,-0.380899288802325,0.391636363636364,0.1,0.160222026747675,-0.233333333333333,-0.153333333333333,-0.253397190293742,-0.442894381604059
"SMAD",0.468940533151059,0.484307587588997,0.453310283006787,0.417543859649123,0.366666666666667,0.450137487357426,0.367835497835498,0.411215331668804,0.314285714285714,0.366009852216749,0.396109432015055,0.2270392898241,0.114980914694985,0.27218253968254,0.203152957705738,0.286836379994275,0.259144072301967,0.231904761904762,0.23187134502924,0.309491244216647,0.211904761904762,0.330233834566881,0.300390902629709,0.205555555555556,0.269047619047619,0.548116269008503,0.230797887128162,0.613481869080342,0.613481869080342,0.420334684284551,-0.568124295795529,0.391220760233918,0.391220760233918,0.391220760233918,-0.563428077625058,0.399822042468014,0.356769323671498,0.380929856513514,0.328019323671498,0.357774640228527,0.294685990338164,0.329112219846361,0.294685990338164,0.255555555555556,-0.624356430311366,-0.652384029508722,0.255555555555556,-0.334030305290148,0.396929582643868,0.2,0.228908943835725,-0.15,-0.183333333333333,-0.252738095238095,-0.368940533151059
"SNAI1",0.433912712143681,0.45200304677957,0.426715690457731,0.400049023791064,0.367375756464332,0.445563033991026,0.238501949410447,0.417976827094474,0.334545454545455,0.379643493761141,0.380076031911478,0.113953878375312,0.113099844196379,0.170418815676959,0.105030679931249,0.187974651680868,0.164369501466276,0.13465777831975,0.143939393939394,0.207335049081853,0.121981721981722,0.233868454056221,0.208581097734382,0.116666666666667,0.184493506493506,0.563725891252061,0.212244897959184,0.616649397300777,0.616649397300777,0.362472336285824,-0.578248290017243,0.340294381438546,0.340294381438546,0.340294381438546,-0.579104170478301,0.412511727535158,0.378975421951927,0.398104497338455,0.355326773303279,0.379775656368104,0.326513213981245,0.356592265364644,0.327896613190731,0.296078431372549,-0.63054482230313,-0.658758659227536,0.296078431372549,-0.315701332634627,0.425171223783625,0.266666666666667,0.349291988175499,-0.0833333333333333,-0.103463203463203,-0.152950461246579,-0.358500415923945
"GLI",0.475267459008526,0.590034965034965,0.557727272727273,0.520227272727273,0.466060606060606,0.539156211865685,0.38471797084516,0.501407867494824,0.402857142857143,0.459378881987578,0.397354089383501,0.153727678039244,0.155712986561924,0.301934356891315,0.144140286265188,0.220613211763654,0.194949494949495,0.260504201680672,0.172222222222222,0.238452624639599,0.242857142857143,0.260958785590687,0.230897435897436,0.138888888888889,0.201666666666667,0.567092930701159,0.210755148741419,0.626155774050511,0.626155774050511,0.434286502000783,-0.58194149791064,0.402133109670399,0.402133109670399,0.402133109670399,-0.576708147946975,0.428780775468082,0.381520551752668,0.408192540173964,0.449146451033243,0.38187675070028,0.40952380952381,0.349523809523809,0.309523809523809,0.366666666666667,-0.637593512654034,-0.657646317529971,0.266666666666667,-0.390184360139786,0.41784491096319,0.2,0.294290006101846,-0.0833333333333333,-0.20952380952381,-0.280958747135218,-0.391607673096966
