"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","EGR1","SNAI1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"ERK",0.370514696845929,0.397182610007734,0.366988704190559,0.32295885344429,0.267619047619048,0.279152590329061,0.270980392156863,0.276312083965467,0.243967405143876,0.29825311942959,0.178763215248476,0.180523689849799,0.170014135709672,0.24991959045814,0.215311202139159,0.435437793588267,0.189965580019343,0.159101382488479,0.212416250890948,0.187826086956522,0.301850269528361,0.110714285714286,0.279244854560644,0.250911521227311,0.212565656565657,0.142267685033642,-0.407153593144575,0.446366126278483,0.446366126278483,0.694596555722773,-0.546147670096394,0.165014080324625,0.135709633346289,0.135709633346289,-0.621913824003594,-0.222609974953736,-0.45581480409096,0.421215450346083,0.378943082234222,0.401074605275661,0.352867132867133,0.377766334598969,0.351288185498712,0.32,0.318421052631579,0.27,0.268421052631579,0.411856016865443,-0.0857142857142857,-0.14,0.2,0.0597613964749389,-0.232153092996211,-0.295526796718943
"SRC",0.372862554112554,0.364224985540775,0.331593406593407,0.306593406593407,0.314285714285714,0.224462365591398,0.2,0.270869672333087,0.208333333333333,0.233333333333333,0.106335718545021,0.0748168498168498,0.0737179487179487,0.0631077694235589,0.158267020335986,0.228225108225108,0.141025641025641,0.133333333333333,0.02,0,0.0723478609013956,0.133333333333333,0.151469098277609,0.123809523809524,0.1,0.0946127946127946,-0.32972972972973,0.455867665418227,0.455867665418227,0.133469955969956,-0.085794734464024,0.155618921308576,0.133205128205128,0.133205128205128,-0.24072103676098,-0.0650304414003044,-0.467711406096362,0.0590458491506069,0.0217171717171717,0.0430964820619993,-0.00555555555555556,0.0217171717171717,-0.00555555555555556,-0.05,-0.05,-0.1,0,-0.0371771906254665,-0.1,0,0,-0.0716256157635468,-0.0438095238095238,-0.274326241134752
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.253333333333333,0.1,0.258333333333333,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.293,0.0333333333333333,0,0.0333333333333333,0,0.166493506493506,0,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,0.252727272727273,0.18,0.18,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.253333333333333,0.1,0.258333333333333,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.293,0.0333333333333333,0,0.0333333333333333,0,0.166493506493506,0,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,0.252727272727273,0.18,0.18,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
"NFB",0.542176508781098,0.573589436010538,0.528541512687854,0.469191919191919,0.405555555555556,0.304964373017111,0.15,0.322392923649907,0.248642533936652,0.179411764705882,0.194027702824249,0.194080462924469,0.181239995998399,0.278893427283527,0.358477633477634,0.567182063152369,0.31984126984127,0.264285714285714,0.226153846153846,0.18,0.311962991216408,0.314285714285714,0.403374487624962,0.362198017036727,0.307359307359307,0.365915832406377,-0.414350355526826,0.473398612811098,0.473398612811098,0.697631260265666,-0.612151384278658,0.418265301334992,0.382569098803346,0.382569098803346,-0.729943396629335,-0.251759370185262,-0.477908831243887,0.465317196860652,0.409947181407856,0.439233666521802,0.376239316239316,0.40957264957265,0.376239316239316,0.331623931623932,0.331623931623932,0.277777777777778,0.277777777777778,0.443520770010132,-0.3,-0.12,0.2,0.160662351287018,-0.253740053050398,-0.310250463821892
"SMO",0.431379310344828,0.52490990990991,0.481666666666667,0.44,0.4,0.388888888888889,0.2,0.36185418305796,0.355555555555556,0.3,0.125128205128205,0.128692699490662,0.115789473684211,0.322261904761905,0.236857142857143,0.284858387799564,0.192857142857143,0.15,0.253333333333333,0.333333333333333,0.238143338143338,0.1,0.323787878787879,0.278787878787879,0.233333333333333,0.281111111111111,-0.413888888888889,0.482485875706215,0.482485875706215,0.457274495981393,-0.399283850088736,0.38331043956044,0.347596153846154,0.347596153846154,-0.445895361380798,-0.332913953573925,-0.492374924653406,0.302911242507563,0.344444444444444,0.275091693635383,0.3,0.241111111111111,0.196666666666667,0.25,0.15,0.2,0.1,0.366472607851918,0,-0.3,0.1,0.319662516471855,-0.290833333333333,-0.347032967032967
"TWIST1",0.536145851302398,0.523369905956113,0.485438871473354,0.440438871473354,0.381818181818182,0.483826945412311,0.266666666666667,0.476947189284146,0.43739837398374,0.366666666666667,0.238110661268556,0.229229433819877,0.213188478188478,0.455410039241591,0.459953265125679,0.465017412661754,0.416849816849817,0.369230769230769,0.391555555555556,0.355555555555556,0.40864211344401,0.3,0.419145299145299,0.379145299145299,0.335555555555555,0.356799916228174,-0.404315196998124,0.487432728781413,0.487432728781413,0.72937566253717,-0.658547729532138,0.453180150196279,0.421235705751835,0.421235705751835,-0.826963222772778,-0.399992737070228,-0.495587110042493,0.470357338818471,0.418854803675856,0.446553304236338,0.385254803675856,0.417916244511989,0.384582911178656,0.348412698412698,0.348412698412698,0.309523809523809,0.309523809523809,0.461239889143115,-0.2,-0.3,0.266666666666667,0.397667239751814,-0.426766823161189,-0.453313594867999
"NOTCH",0.376122448979592,0.396071684587814,0.331555555555555,0.255555555555556,0.2,0.308888888888889,0.2,0.299871794871795,0.253333333333333,0.22,0.171014492753623,0.0814285714285714,0.0714285714285714,0.151206636500754,0.133333333333333,0.342152542372881,0.0888888888888889,0.0333333333333333,0.0833333333333333,0.0333333333333333,0.196123136123136,0,0.186267281105991,0.231428571428571,0.16,0.167368421052632,-0.46207729468599,0.52133655394525,0.52133655394525,0.487894132011779,-0.483824412443246,0.303451910408432,0.252727272727273,0.252727272727273,-0.572694963214488,-0.277307558342041,-0.529264069264069,0.383193948908235,0.314685314685315,0.350949050949051,0.269230769230769,0.314685314685315,0.269230769230769,0.2,0.2,0.1,0.1,0.338490566037736,0,0,0,0.329512503157363,-0.121794871794872,-0.28762157382847
"FUS",0.471379310344828,0.565770124963673,0.52490990990991,0.481666666666667,0.44,0.424737945492662,0.3,0.39008384812973,0.388888888888889,0.355555555555556,0.139834087481146,0.138626474325099,0.128692699490662,0.346751700680272,0.270190476190476,0.3203081232493,0.236857142857143,0.192857142857143,0.290833333333333,0.253333333333333,0.264203944203944,0.15,0.361718913270637,0.323787878787879,0.278787878787879,0.306111111111111,-0.461429872495446,0.526585254588202,0.526585254588202,0.492664695618416,-0.437716685909631,0.413706915331365,0.38331043956044,0.38331043956044,-0.488516051035971,-0.357403749492292,-0.536374924653406,0.326072005450343,0.379059829059829,0.302911242507563,0.344444444444444,0.275091693635383,0.241111111111111,0.3,0.196666666666667,0.25,0.15,0.404360806609682,-0.1,-0.333333333333333,0.1,0.337964127013583,-0.322261904761905,-0.385494505494505
"TGF",0.530637555328566,0.54762996941896,0.591666666666667,0.526666666666667,0.46,0.47037037037037,0.333333333333333,0.437287581699346,0.422222222222222,0.388888888888889,0.226395873629916,0.219631093544137,0.204848484848485,0.261072361546499,0.339957264957265,0.462893097229054,0.312179487179487,0.258333333333333,0.198787878787879,0.153333333333333,0.317191948944526,0.233333333333333,0.388182957393484,0.341754385964912,0.273333333333333,0.222727272727273,-0.505289739500266,0.556691608659144,0.556691608659144,0.510105473663839,-0.513273504273504,0.406177606177606,0.347619047619048,0.347619047619048,-0.596264256329806,-0.366812549960032,-0.564281222374748,0.425461561946632,0.342264150943396,0.38759748427673,0.28,0.342264150943396,0.28,0.2,0.2,0.1,0.1,0.356084656084656,-0.2,-0.133333333333333,0,0.185634797235227,-0.229822361546499,-0.402822966507177
"cfos",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.242857142857143,0.342857142857143,0.32,0.319178037152721,0.3,0.253333333333333,0.0813593203398301,0.0919507329343395,0.0788359788359788,0.159543721909313,0.157675438596491,0.362155844155844,0.120833333333333,0.0833333333333333,0.10952380952381,0.0761904761904762,0.208611111111111,0.0333333333333333,0.212051282051282,0.17051282051282,0.116666666666667,0.202205882352941,-0.509936507936508,0.560496175871478,0.560496175871478,0.535606007684247,-0.531877013204303,0.344785854721292,0.303322440087146,0.303322440087146,-0.61120282246208,-0.309501025290499,-0.571971819030643,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.365130149024012,-0.138556067588326,-0.317836186801704
"CDC42",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.342857142857143,0.342857142857143,0.22,0.319178037152721,0.3,0.253333333333333,0.0813593203398301,0.0919507329343395,0.0788359788359788,0.159543721909313,0.157675438596491,0.362155844155844,0.120833333333333,0.0833333333333333,0.10952380952381,0.0761904761904762,0.208611111111111,0.0333333333333333,0.212051282051282,0.17051282051282,0.116666666666667,0.202205882352941,-0.509936507936508,0.560496175871478,0.560496175871478,0.535606007684247,-0.531877013204303,0.344785854721292,0.303322440087146,0.303322440087146,-0.61120282246208,-0.309501025290499,-0.571971819030643,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.365130149024012,-0.138556067588326,-0.317836186801704
"NOTCHic",0.421283739302172,0.441294614524119,0.396071684587814,0.331555555555555,0.255555555555556,0.358888888888889,0.22,0.332146927146927,0.308888888888889,0.253333333333333,0.184860646599777,0.0961344537815126,0.0814285714285714,0.173787281662044,0.172868217054264,0.380517322247095,0.133333333333333,0.0888888888888889,0.121794871794872,0.0833333333333333,0.221950950692673,0.0333333333333333,0.228372544263885,0.186267281105991,0.231428571428571,0.233222079589217,-0.515648723257419,0.570966183574879,0.570966183574879,0.528619938463392,-0.529869037189696,0.344338609915821,0.303451910408432,0.303451910408432,-0.622465254179266,-0.307851491396434,-0.581865225333433,0.411438223717395,0.350169185653057,0.383193948908235,0.314685314685315,0.350949050949051,0.314685314685315,0.269230769230769,0.269230769230769,0.2,0.2,0.38293501048218,0,-0.0333333333333333,0.1,0.35217916982403,-0.151206636500754,-0.328798044416706
"TCFLEF",0.611994344740031,0.601294758705534,0.573678978259565,0.542546902787867,0.505197505197505,0.456253424786955,0.353846153846154,0.427368821622723,0.426309921962096,0.392976588628763,0.188190476190476,0.162231993828459,0.154068728522337,0.266883957466482,0.310603500093271,0.426740646148541,0.289913844920858,0.27055900621118,0.227142857142857,0.203333333333333,0.274112794909134,0.231428571428571,0.394074764143968,0.369507290095525,0.344017094017094,0.331930261519303,-0.435517335517336,0.571354746444032,0.571354746444032,0.473046132958658,-0.433952485368709,0.416753452005217,0.392878963601397,0.392878963601397,-0.601525295536417,-0.351216285395515,-0.582509901250824,0.20651645129508,0.267792687796087,0.187485614290675,0.239944586530264,0.263832218506132,0.236268115942029,0.209509803921569,0.205833333333333,0.174509803921569,0.170833333333333,0.599541796956431,-0.171428571428571,-0.17,0.133333333333333,0.325234012518131,-0.247142857142857,-0.425143667652893
"PAK1",0.43894914399738,0.459965267776261,0.424446142093201,0.378991596638655,0.314285714285714,0.392857142857143,0.253333333333333,0.347370808237058,0.342857142857143,0.3,0.0992697681010241,0.105195766046922,0.0919507329343395,0.181765944131536,0.187305068226121,0.394764539808018,0.157675438596491,0.120833333333333,0.138556067588326,0.10952380952381,0.23391975308642,0.0833333333333333,0.245018315018315,0.212051282051282,0.17051282051282,0.244141366223909,-0.55255945875618,0.601332188733215,0.601332188733215,0.570460022282787,-0.570888002215292,0.380565671235054,0.344785854721292,0.344785854721292,-0.652436363695621,-0.335331283593082,-0.613088570299678,0.451177771831237,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.384859064686663,-0.159543721909313,-0.350784163680317
"LIV1",0.43894914399738,0.459965267776261,0.424446142093201,0.378991596638655,0.314285714285714,0.392857142857143,0.253333333333333,0.347370808237058,0.342857142857143,0.3,0.0992697681010241,0.105195766046922,0.0919507329343395,0.181765944131536,0.187305068226121,0.394764539808018,0.157675438596491,0.120833333333333,0.138556067588326,0.10952380952381,0.23391975308642,0.0833333333333333,0.245018315018315,0.212051282051282,0.17051282051282,0.244141366223909,-0.55255945875618,0.601332188733215,0.601332188733215,0.570460022282787,-0.570888002215292,0.380565671235054,0.344785854721292,0.344785854721292,-0.652436363695621,-0.335331283593082,-0.613088570299678,0.451177771831237,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.384859064686663,-0.159543721909313,-0.350784163680317
"EGR1",0.43894914399738,0.459965267776261,0.424446142093201,0.378991596638655,0.314285714285714,0.392857142857143,0.253333333333333,0.347370808237058,0.342857142857143,0.3,0.0992697681010241,0.105195766046922,0.0919507329343395,0.181765944131536,0.187305068226121,0.394764539808018,0.157675438596491,0.120833333333333,0.138556067588326,0.10952380952381,0.23391975308642,0.0833333333333333,0.245018315018315,0.212051282051282,0.17051282051282,0.244141366223909,-0.55255945875618,0.601332188733215,0.601332188733215,0.570460022282787,-0.570888002215292,0.380565671235054,0.344785854721292,0.344785854721292,-0.652436363695621,-0.335331283593082,-0.613088570299678,0.451177771831237,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.384859064686663,-0.159543721909313,-0.350784163680317
"TGFR",0.576893061936496,0.596915683704675,0.54762996941896,0.591666666666667,0.526666666666667,0.512305854241338,0.388888888888889,0.475987272101823,0.47037037037037,0.422222222222222,0.243195873629916,0.23115525711291,0.219631093544137,0.290834266308404,0.372515404492149,0.506058564854953,0.339957264957265,0.312179487179487,0.229822361546499,0.198787878787879,0.349267420642639,0.258333333333333,0.432067849479815,0.388182957393484,0.341754385964912,0.272060606060606,-0.553913592711275,0.604181956149492,0.604181956149492,0.55672469074569,-0.563449767493246,0.453128825689801,0.406177606177606,0.406177606177606,-0.649051712775799,-0.401649642691862,-0.612185413991514,0.456452552937623,0.387362190159083,0.425461561946632,0.342264150943396,0.38759748427673,0.342264150943396,0.28,0.28,0.2,0.2,0.41019721019721,-0.233333333333333,-0.153333333333333,0.1,0.213019412619842,-0.261072361546499,-0.443563707247918
"ZEB1",0.464797493227084,0.495109278924605,0.459931413311956,0.417799433616525,0.364176245210728,0.322041651619116,0.188888888888889,0.345811197091441,0.281196581196581,0.238888888888889,0.18238038277512,0.174652570169812,0.1635960591133,0.269441269666535,0.284223396088996,0.470538643061863,0.251849295369572,0.220701754385965,0.223106060606061,0.195833333333333,0.333068874077243,0.173333333333333,0.361278069319014,0.326838235294118,0.289583333333333,0.317049486461251,-0.552877562600551,0.604982899182057,0.604982899182057,0.525892503654834,-0.643156610749566,0.452467199487592,0.420511714590931,0.420511714590931,-0.646545385892081,-0.383938779535686,-0.624097667098159,0.497064187812727,0.450872070264829,0.475418742171199,0.420975163048334,0.449354912383965,0.419493801272854,0.384436701509872,0.38223889931207,0.338095238095238,0.335897435897436,0.48012547234277,-0.133333333333333,-0.158333333333333,0.266666666666667,0.399348858168206,-0.247858535853585,-0.327290356702121
"Csl",0.45634121056654,0.476442006814369,0.441294614524119,0.396071684587814,0.331555555555555,0.409347604485219,0.253333333333333,0.360946927146927,0.358888888888889,0.308888888888889,0.204860646599777,0.110420168067227,0.0961344537815126,0.196931386465538,0.204651162790698,0.413248699222265,0.172868217054264,0.133333333333333,0.151206636500754,0.121794871794872,0.247935202661176,0.0888888888888889,0.262008907900249,0.228372544263885,0.186267281105991,0.273045088438774,-0.559934437543133,0.612955133851122,0.612955133851122,0.563107890270621,-0.56885986287777,0.379282847834037,0.344338609915821,0.344338609915821,-0.663991171476878,-0.333113075850844,-0.624348885464152,0.435280419257704,0.382427250169186,0.411438223717395,0.350169185653057,0.383193948908235,0.350949050949051,0.314685314685315,0.314685314685315,0.269230769230769,0.269230769230769,0.419695935932052,-0.0333333333333333,-0.0833333333333333,0.2,0.371226788871649,-0.173787281662044,-0.363097561324918
"SMAD",0.497692716640085,0.51596066679406,0.47836066679406,0.431991951710262,0.371428571428571,0.431285875706215,0.283333333333333,0.396079611156,0.382485875706215,0.333333333333333,0.226606726606727,0.114786545369267,0.201828110161443,0.300067529935951,0.310371978769136,0.432809039400676,0.276143790849673,0.238888888888889,0.250833333333333,0.220833333333333,0.353070182380642,0.205555555555556,0.365450382378532,0.329195402298851,0.286666666666667,0.282186465822207,-0.575333164186459,0.627399811928114,0.627399811928114,0.574900420092004,-0.580274258493682,0.463494793087253,0.427614394416157,0.427614394416157,-0.674378171926284,-0.371036893006626,-0.637517198248906,0.448804223135003,0.394422483990829,0.424362032465632,0.35989010989011,0.395189712248536,0.360644257703081,0.321428571428571,0.321428571428571,0.271428571428571,0.271428571428571,0.428696207957508,-0.15,-0.183333333333333,0.2,0.281438926602642,-0.276759259259259,-0.385085221807549
"SNAI1",0.469217343231097,0.490734498545492,0.459965267776261,0.424446142093201,0.378991596638655,0.428947368421053,0.3,0.272868095759662,0.392857142857143,0.342857142857143,0.11573318273517,0.114994761021797,0.105195766046922,0.202870480620687,0.21667569759675,0.423291831260129,0.187305068226121,0.157675438596491,0.159543721909313,0.138556067588326,0.256960133133926,0.120833333333333,0.275756019936348,0.245018315018315,0.212051282051282,0.272367172675522,-0.589631109846523,0.635819209746812,0.635819209746812,0.599824027695507,-0.603483923404369,0.409351028972159,0.380565671235054,0.380565671235054,-0.687702821375872,-0.356989037603777,-0.648864848023882,0.470867694311857,0.426375191209496,0.451177771831237,0.397673180240574,0.427177771831237,0.398659253312719,0.364990253411306,0.365985985985986,0.328148148148148,0.328148148148148,0.464793733700695,-0.0833333333333333,-0.10952380952381,0.28,0.401076766720748,-0.181765944131536,-0.380324645080754
"GLI",0.498825597339008,0.616579202369911,0.577572110171329,0.530402298850575,0.468333333333333,0.51624895572264,0.376190476190476,0.408015220481082,0.470634920634921,0.426190476190476,0.15211842904937,0.154058061584349,0.141903365451753,0.323279461540449,0.238626703616935,0.427795709969441,0.206343239050006,0.175730994152047,0.273339598997494,0.247023809523809,0.275772174562084,0.138888888888889,0.291130345758295,0.254288240495137,0.214288240495137,0.258954703832753,-0.586816816816817,0.636427400289789,0.636427400289789,0.589925449339246,-0.591317430467943,0.473365697172088,0.435089144065876,0.435089144065876,-0.675567525296282,-0.423247932398418,-0.647161632243734,0.473660612015689,0.41538939803787,0.447628296037233,0.478368121442125,0.415810114219051,0.37874114870181,0.434838709677419,0.334838709677419,0.38,0.28,0.445668780193237,-0.0833333333333333,-0.20952380952381,0.2,0.347978254700967,-0.299112794873782,-0.402731445586138
