"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Csn","Jagged","MEK","NOTCH","ERK","cfos","NOTCHic","EGR1","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"STAT",0.216332651670075,0.209832304740772,0.194856459330144,0.165909090909091,0.140909090909091,0.142714995860425,0.052,0.058703981342662,0.0541062801932367,0.0581714344515332,0.0393704600484261,0.0782927800169179,0.0342857142857143,0.02,0.045,0.025,0,0.064697340369762,0.0294750158127767,0.0310823673473588,0.0176470588235294,0,0.0204027556968733,0,-0.00392156862745098,0.0181855500821018,-0.326728064963359,0.440568405953021,0.440568405953021,0.101946508318588,-0.0625450219421262,-0.0307617464785255,-0.044194582299421,-0.044194582299421,-0.044194582299421,-0.20399765352934,0.0464775255896751,-0.456698065576147,0.0320548337403595,0.0111440030557678,0.0224004833231963,-0.00146103896103896,0.0113594738594739,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,-0.0431294196000078,0,0,0,-0.0624658205606797,-0.0519767441860465,-0.1548712998713
"TGF",0.410652173913043,0.428214285714286,0.48,0.413333333333333,0.38,0.323582326764145,0.139071566731141,0.128572825024438,0.122121212121212,0.176429597701149,0.275125313283208,0.380185185185185,0.248809523809524,0.191666666666667,0.136666666666667,0.0866666666666667,0.166666666666667,0.220182866961217,-0.0610359231411863,0.314597701149425,-0.103258145363409,-0.119047619047619,0.276666666666667,-0.133333333333333,0.206666666666667,0.401315789473684,-0.413653699466056,0.453653699466056,0.453653699466056,0.284621487758503,-0.43034426245426,0.382738095238095,0.343452380952381,0.343452380952381,0.343452380952381,-0.479304704004507,-0.273022085546547,-0.461329140208451,0.353928861605128,0.299622641509434,0.328570009930487,0.26,0.299622641509434,0.26,0.2,0.2,0.1,0.1,0.322045855379189,-0.2,-0.0666666666666667,0,0.215620089544282,-0.160804597701149,-0.206060606060606
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.258333333333333,0.166666666666667,0.0619047619047619,0.0666666666666667,0.121794871794872,0.0888888888888889,0.293,0.0333333333333333,0,0.0333333333333333,0,0,0.166493506493506,0.0866666666666667,0.231428571428571,0.02,0,0.16,0.1,0.1,0.16,-0.405555555555556,0.46207729468599,0.46207729468599,0.435746606334842,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.513017543859649,-0.229501915708812,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.22051282051282
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.258333333333333,0.166666666666667,0.0619047619047619,0.0666666666666667,0.121794871794872,0.0888888888888889,0.293,0.0333333333333333,0,0.0333333333333333,0,0,0.166493506493506,0.0866666666666667,0.231428571428571,0.02,0,0.16,0.1,0.1,0.16,-0.405555555555556,0.46207729468599,0.46207729468599,0.435746606334842,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.513017543859649,-0.229501915708812,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.22051282051282
"MEK",0.389388327319362,0.410017639090564,0.361842456608812,0.308571428571429,0.246666666666667,0.302358840596762,0.208125857881955,0.211991663559158,0.19981454178794,0.27004950176792,0.216504965622613,0.445213707860767,0.18474025974026,0.139285714285714,0.217333333333333,0.173333333333333,0.114285714285714,0.317555522863213,0.249918072878454,0.274239872050091,0.331584739545121,0.274137931034483,0.232634032634033,0.25,0.178787878787879,-0.0154920634920635,-0.415925394548063,0.464065450570472,0.464065450570472,0.733859761864345,-0.546166576496562,0.13502442002442,0.0934371184371184,0.0934371184371184,0.0934371184371184,-0.635264344071568,-0.241881630179503,-0.471265467416079,0.428821064379529,0.368951048951049,0.400196529063544,0.327692307692308,0.367372101582628,0.326113360323887,0.27,0.268421052631579,0.2,0.2,0.391884289352644,-0.1,-0.133333333333333,0.1,0.0348812188266615,-0.24848087431694,-0.372681704260652
"NFB",0.537192528586951,0.569662805267868,0.525991919191919,0.469191919191919,0.405555555555556,0.313393925662565,0.18391382868937,0.183727599061021,0.170716446644664,0.271218513902353,0.353414843414843,0.564211017740429,0.315637065637066,0.264285714285714,0.220740740740741,0.18,0.314285714285714,0.307328285450365,0.138485527544351,0.400385421030582,0.110380952380952,0.0637142857142857,0.35974025974026,0.0357142857142857,0.307359307359307,0.37906899601946,-0.411446886446886,0.468544983147524,0.468544983147524,0.690520834015754,-0.610830425132455,0.41592203853817,0.380598655453593,0.380598655453593,0.380598655453593,-0.726295518656465,-0.242524240465417,-0.473195680802406,0.464176769701714,0.409947181407856,0.438686573623282,0.376239316239316,0.40957264957265,0.376239316239316,0.331623931623932,0.331623931623932,0.277777777777778,0.277777777777778,0.443520770010132,-0.3,-0.12,0.2,0.161224975771439,-0.248326947637292,-0.283438419503993
"TWIST1",0.522934426788515,0.513288902892724,0.474792319749216,0.433542319749216,0.381818181818182,0.458670630650022,0.173409076798907,0.162316186573612,0.149444899444899,0.434398452437186,0.445532998075371,0.45723498056736,0.401465201465201,0.353846153846154,0.369333333333333,0.333333333333333,0.3,0.396417823260537,0.129824333709029,0.412303929473741,0.105446224256293,0.0791304347826087,0.371737891737892,0.04,0.328148148148148,0.4312875276262,-0.389430894308943,0.46967230388283,0.46967230388283,0.715425808513262,-0.652611307210541,0.452270314095325,0.421448396287106,0.421448396287106,0.421448396287106,-0.816103815127828,-0.386831742135503,-0.477965622052196,0.465593392565724,0.417254803675856,0.443109206251751,0.385254803675856,0.416309818809178,0.384582911178656,0.348412698412698,0.348412698412698,0.309523809523809,0.309523809523809,0.460247333311849,-0.2,-0.3,0.266666666666667,0.398531932015909,-0.406319634703196,-0.383517129169303
"SMO",0.431379310344828,0.52490990990991,0.481666666666667,0.44,0.4,0.358602150537634,0.119413919413919,0.117936507936508,0.11,0.318611111111111,0.236857142857143,0.284858387799564,0.192857142857143,0.15,0.253333333333333,0.333333333333333,0.1,0.235740740740741,0.17034965034965,0.323787878787879,0.143076923076923,0.12,0.278787878787879,0.1,0.233333333333333,0.309649122807018,-0.413888888888889,0.482485875706215,0.482485875706215,0.452993979200876,-0.399283850088736,0.382479874776386,0.347596153846154,0.347596153846154,0.347596153846154,-0.445345955886743,-0.32657989259931,-0.492374924653406,0.302911242507563,0.344444444444444,0.275091693635383,0.3,0.241111111111111,0.196666666666667,0.25,0.15,0.2,0.1,0.366472607851918,0,-0.3,0.1,0.319967164618327,-0.290833333333333,-0.327460317460317
"SRC",0.413043884220355,0.404188311688312,0.369642857142857,0.345833333333333,0.333333333333333,0.314579646241783,0.133556769281695,0.120293978188715,0.115789473684211,0.0998474945533769,0.174358974358974,0.262282430213465,0.157692307692308,0.15,0.0533333333333333,0.0333333333333333,0.15,0.113769113149847,0.381151133981323,0.172380952380952,0.371717171717172,0.360606060606061,0.143809523809524,0.333333333333333,0.12,-0.0271428571428571,-0.354328165374677,0.484853249475891,0.484853249475891,0.211499312706999,-0.110261936835803,0.219246027231008,0.191973299958281,0.191973299958281,0.191973299958281,-0.275683091418386,-0.156623376623377,-0.49604157517201,0.0820608669283964,0.0344262295081967,0.0612554978008796,0,0.0344262295081967,0,-0.05,-0.05,-0.1,0,-0.0271686004505079,-0.1,-0.0333333333333333,0,-0.0810101130753305,-0.0792592592592593,-0.424991854024112
"TGFR",0.439909815834441,0.459419959473151,0.428214285714286,0.48,0.413333333333333,0.347476132073879,0.148026790611738,0.139604853494189,0.128572825024438,0.19281377849211,0.296055545841348,0.40687557664426,0.275125313283208,0.248809523809524,0.160804597701149,0.136666666666667,0.191666666666667,0.239023446671362,-0.0404879779357068,0.34265525510626,-0.0610359231411863,-0.103258145363409,0.314597701149425,-0.119047619047619,0.276666666666667,0.446994801819363,-0.451153699466056,0.486483888145302,0.486483888145302,0.315871487758503,-0.465679135433475,0.414901837928154,0.382738095238095,0.382738095238095,0.382738095238095,-0.515590905026653,-0.297227464519653,-0.495639990648333,0.375806629541355,0.327364576993305,0.353928861605128,0.299622641509434,0.328570009930487,0.299622641509434,0.26,0.26,0.2,0.2,0.358526542074468,-0.166666666666667,-0.0866666666666667,0.1,0.233966863737831,-0.176429597701149,-0.228917748917749
"ERK",0.423747301678336,0.445731924804849,0.410017639090564,0.361842456608812,0.308571428571429,0.329442173930095,0.222801625800044,0.224757621005966,0.211991663559158,0.292271723990143,0.243110470209769,0.476142972770614,0.216504965622613,0.18474025974026,0.24848087431694,0.217333333333333,0.139285714285714,0.341953113224659,0.272480746973162,0.30664984434926,0.249918072878454,0.331584739545121,0.274239872050091,0.274137931034483,0.232634032634033,0.0136341501001695,-0.457785859664342,0.501388285216141,0.501388285216141,0.76929709279311,-0.584989023598678,0.168137731355553,0.13502442002442,0.13502442002442,0.13502442002442,-0.675944055709055,-0.268675453976051,-0.510236055651373,0.45243217549064,0.40178312915155,0.428821064379529,0.368951048951049,0.400196529063544,0.367372101582628,0.327692307692308,0.326113360323887,0.27,0.268421052631579,0.43074607797053,-0.114285714285714,-0.173333333333333,0.2,0.0546106438548464,-0.27004950176792,-0.405272233508563
"NOTCH",0.376122448979592,0.396071684587814,0.331555555555555,0.255555555555556,0.2,0.293717948717949,0.16231884057971,0.0719047619047619,0.0619047619047619,0.145324283559578,0.133333333333333,0.342152542372881,0.0888888888888889,0.0333333333333333,0.0833333333333333,0.0333333333333333,0,0.192419432419432,0.12952380952381,0.186267281105991,0.0866666666666667,0.02,0.231428571428571,0,0.16,0.207368421052632,-0.46207729468599,0.52133655394525,0.52133655394525,0.48389475448299,-0.483824412443246,0.303451910408432,0.252727272727273,0.252727272727273,0.252727272727273,-0.571888511601585,-0.270411006617903,-0.529264069264069,0.383193948908235,0.314685314685315,0.350949050949051,0.269230769230769,0.314685314685315,0.269230769230769,0.2,0.2,0.1,0.1,0.338490566037736,0,0,0,0.330447082596615,-0.121794871794872,-0.272236958443855
"FUS",0.46953720508167,0.564271612037569,0.52490990990991,0.481666666666667,0.44,0.383130452424427,0.129558846950151,0.126323604710702,0.117936507936508,0.339823232323232,0.267626373626374,0.31888980141213,0.236857142857143,0.192857142857143,0.290833333333333,0.253333333333333,0.15,0.259837126282909,0.196786431958846,0.360151515151515,0.17034965034965,0.143076923076923,0.323787878787879,0.12,0.278787878787879,0.336572199730094,-0.461429872495446,0.524817164049773,0.524817164049773,0.486925756579691,-0.437458896643671,0.412610879143199,0.382479874776386,0.382479874776386,0.382479874776386,-0.486715818900442,-0.350325711997303,-0.534949182079148,0.325737329464085,0.379059829059829,0.302911242507563,0.344444444444444,0.275091693635383,0.241111111111111,0.3,0.196666666666667,0.25,0.15,0.404360806609682,-0.1,-0.333333333333333,0.1,0.338799281406649,-0.318611111111111,-0.359419080346915
"cfos",0.399967206394753,0.421415839062898,0.378991596638655,0.314285714285714,0.242857142857143,0.310639487095183,0.072663668165917,0.0838282983444274,0.0693121693121693,0.153092109006087,0.152412280701754,0.359125541125541,0.120833333333333,0.0833333333333333,0.10952380952381,0.0761904761904762,0.0333333333333333,0.204444444444444,0.151333824613117,0.208974358974359,0.119130434782609,0.08,0.17051282051282,0.12,0.116666666666667,0.243055555555556,-0.509936507936508,0.557106345363004,0.557106345363004,0.530469870761841,-0.531392751703092,0.344785854721292,0.303322440087146,0.303322440087146,0.303322440087146,-0.608805679801183,-0.302164502164502,-0.569357439945675,0.426437031090496,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.366735562973825,-0.1321044546851,-0.294941724941725
"CDC42",0.399967206394753,0.421415839062898,0.378991596638655,0.314285714285714,0.342857142857143,0.310639487095183,0.072663668165917,0.0838282983444274,0.0693121693121693,0.153092109006087,0.152412280701754,0.359125541125541,0.120833333333333,0.0833333333333333,0.10952380952381,0.0761904761904762,0.0333333333333333,0.204444444444444,0.151333824613117,0.208974358974359,0.119130434782609,0.08,0.17051282051282,0.02,0.116666666666667,0.243055555555556,-0.509936507936508,0.557106345363004,0.557106345363004,0.530469870761841,-0.531392751703092,0.344785854721292,0.303322440087146,0.303322440087146,0.303322440087146,-0.608805679801183,-0.302164502164502,-0.569357439945675,0.426437031090496,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.366735562973825,-0.1321044546851,-0.294941724941725
"TCFLEF",0.601230530898448,0.593034034440452,0.566875094043101,0.54257602862254,0.507692307692308,0.413945733485482,0.163089796047832,0.144068749427308,0.136229361281993,0.259445685260053,0.29662033478443,0.421325104026592,0.275968160871387,0.263064935064935,0.217619047619048,0.203333333333333,0.235064935064935,0.26829208794736,0.176693213870914,0.38668962007189,0.164448315911731,0.148257839721254,0.361772676550295,0.121428571428571,0.340204049099314,0.351145094426532,-0.428375668449198,0.560623117136275,0.560623117136275,0.465126428016493,-0.432244795254928,0.410638826292704,0.386328708027264,0.386328708027264,0.386328708027264,-0.595403054758098,-0.341496944708237,-0.572169196265582,0.205250495846197,0.269084046104506,0.187466990691558,0.2411337355455,0.265130220932108,0.237457264957265,0.209509803921569,0.205833333333333,0.174509803921569,0.170833333333333,0.600618315018315,-0.171428571428571,-0.183333333333333,0.133333333333333,0.325258258745577,-0.238586789554531,-0.375194930431189
"NOTCHic",0.418057932850559,0.438746843823482,0.396071684587814,0.331555555555555,0.255555555555556,0.32493487993488,0.176164994425864,0.08845152449469,0.0719047619047619,0.167904928720868,0.168217054263566,0.378001598976655,0.133333333333333,0.0888888888888889,0.121794871794872,0.0833333333333333,0.0333333333333333,0.218247246988969,0.160952380952381,0.225740965316517,0.12952380952381,0.0866666666666667,0.186267281105991,0.02,0.231428571428571,0.261913875598086,-0.515648723257419,0.568003220611916,0.568003220611916,0.524576117208441,-0.529463357676512,0.344338609915821,0.303451910408432,0.303451910408432,0.303451910408432,-0.620433687711845,-0.302642411576581,-0.57955308660511,0.410827536694494,0.350169185653057,0.383193948908235,0.314685314685315,0.350949050949051,0.314685314685315,0.269230769230769,0.269230769230769,0.2,0.2,0.38293501048218,0,-0.0333333333333333,0.1,0.353447082596615,-0.145324283559578,-0.310265127457939
"PAK1",0.433070654670615,0.455295620483663,0.421415839062898,0.378991596638655,0.314285714285714,0.339995095687069,0.0917813152247406,0.0973766854412016,0.0838282983444274,0.176092109006087,0.182041910331384,0.391190758516845,0.152412280701754,0.120833333333333,0.1321044546851,0.10952380952381,0.0833333333333333,0.230211315610089,0.171333824613117,0.241941391941392,0.151333824613117,0.119130434782609,0.208974358974359,0.08,0.17051282051282,0.279689218921892,-0.54928077023159,0.596013097774579,0.596013097774579,0.564466254125313,-0.56930483961518,0.380694945630383,0.344785854721292,0.344785854721292,0.344785854721292,-0.648874883953432,-0.327982683982684,-0.607936120148721,0.4496094448836,0.397673180240574,0.426437031090496,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.385983683274576,-0.153092109006087,-0.326433437648907
"LIV1",0.433070654670615,0.455295620483663,0.421415839062898,0.378991596638655,0.314285714285714,0.339995095687069,0.0917813152247406,0.0973766854412016,0.0838282983444274,0.176092109006087,0.182041910331384,0.391190758516845,0.152412280701754,0.120833333333333,0.1321044546851,0.10952380952381,0.0833333333333333,0.230211315610089,0.171333824613117,0.241941391941392,0.151333824613117,0.119130434782609,0.208974358974359,0.08,0.17051282051282,0.279689218921892,-0.54928077023159,0.596013097774579,0.596013097774579,0.564466254125313,-0.56930483961518,0.380694945630383,0.344785854721292,0.344785854721292,0.344785854721292,-0.648874883953432,-0.327982683982684,-0.607936120148721,0.4496094448836,0.397673180240574,0.426437031090496,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.385983683274576,-0.153092109006087,-0.326433437648907
"EGR1",0.433070654670615,0.455295620483663,0.421415839062898,0.378991596638655,0.314285714285714,0.339995095687069,0.0917813152247406,0.0973766854412016,0.0838282983444274,0.176092109006087,0.182041910331384,0.391190758516845,0.152412280701754,0.120833333333333,0.1321044546851,0.10952380952381,0.0833333333333333,0.230211315610089,0.171333824613117,0.241941391941392,0.151333824613117,0.119130434782609,0.208974358974359,0.08,0.17051282051282,0.279689218921892,-0.54928077023159,0.596013097774579,0.596013097774579,0.564466254125313,-0.56930483961518,0.380694945630383,0.344785854721292,0.344785854721292,0.344785854721292,-0.648874883953432,-0.327982683982684,-0.607936120148721,0.4496094448836,0.397673180240574,0.426437031090496,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.385983683274576,-0.153092109006087,-0.326433437648907
"ZEB1",0.464130038421902,0.494577082603295,0.459931413311956,0.417799433616525,0.364176245210728,0.344440079923314,0.180922316025943,0.173201144854035,0.162143452546342,0.268343657424147,0.283277866798143,0.470029927908283,0.251849295369572,0.220701754385965,0.223106060606061,0.195833333333333,0.173333333333333,0.332352985186673,0.235816014511531,0.360722532814779,0.210705882352941,0.186,0.326838235294118,0.15,0.289583333333333,0.312553606237817,-0.552877562600551,0.604339433386087,0.604339433386087,0.524721278302833,-0.643066799919077,0.451834544262583,0.420181000955496,0.420181000955496,0.420181000955496,-0.646070297926694,-0.382632530344587,-0.623583576240892,0.496945160957892,0.450872070264829,0.475418742171199,0.420975163048334,0.449354912383965,0.419493801272854,0.384436701509872,0.38223889931207,0.338095238095238,0.335897435897436,0.48012547234277,-0.133333333333333,-0.158333333333333,0.266666666666667,0.399423458945677,-0.246635472370766,-0.321094559856649
"Csl",0.451391266183893,0.472533691896045,0.438746843823482,0.396071684587814,0.331555555555555,0.35497440562658,0.197733621876844,0.102895968939134,0.08845152449469,0.192042859755351,0.2,0.410281508683201,0.168217054263566,0.133333333333333,0.145324283559578,0.121794871794872,0.0888888888888889,0.244809746988969,0.181604554865424,0.259377328952881,0.160952380952381,0.12952380952381,0.225740965316517,0.0866666666666667,0.186267281105991,0.296873225191582,-0.55707729468599,0.608334712324623,0.608334712324623,0.558356877834839,-0.567536752171924,0.379265080504057,0.344338609915821,0.344338609915821,0.344338609915821,-0.661015083060682,-0.32782650583284,-0.619858097498356,0.433983625888319,0.382427250169186,0.410827536694494,0.350169185653057,0.383193948908235,0.350949050949051,0.314685314685315,0.314685314685315,0.269230769230769,0.269230769230769,0.419695935932052,-0.0333333333333333,-0.0833333333333333,0.2,0.372033310506426,-0.167904928720868,-0.342984021467156
"GLI",0.481280529755762,0.602268603212267,0.564386250271091,0.523505747126437,0.468333333333333,0.385908645232599,0.128930218998131,0.129076788173709,0.118265977362898,0.306386888738601,0.224547790607471,0.416761298501536,0.191735290607471,0.165204678362573,0.255576441102757,0.234523809523809,0.138888888888889,0.262348234937246,0.0602028174403865,0.282034545913856,0.0408658008658009,0.0161904761904762,0.244891688770999,-0.0171428571428571,0.207391688770999,0.479616519174041,-0.573710853710854,0.61962877624168,0.61962877624168,0.567044405346589,-0.584001133627179,0.473109716198587,0.435683973624329,0.435683973624329,0.435683973624329,-0.662346641668604,-0.397792577703657,-0.630702661631454,0.467156127893733,0.413687270378295,0.443306755508796,0.478368121442125,0.414085976288017,0.37874114870181,0.434838709677419,0.334838709677419,0.38,0.28,0.444557669082126,-0.0833333333333333,-0.20952380952381,0.2,0.351089247902645,-0.282107053347655,-0.332415343676515
"SMAD",0.493702680991758,0.512779416376735,0.476126029922552,0.431991951710262,0.371428571428571,0.391630588049943,0.221873747731184,0.109267627349819,0.196886674968867,0.296602406693723,0.306888888888889,0.430459094089292,0.272222222222222,0.238888888888889,0.245833333333333,0.220833333333333,0.205555555555556,0.350750872783131,0.196627453566688,0.363404488232074,0.173550530489765,0.14331797235023,0.326896551724138,0.114285714285714,0.286666666666667,0.297034900916888,-0.572894139796215,0.623733106937971,0.623733106937971,0.570746251499062,-0.579146516396202,0.463096458643632,0.427241195485737,0.427241195485737,0.427241195485737,-0.671949168964318,-0.366390724285461,-0.633910037231213,0.447730132556501,0.394422483990829,0.423819291624384,0.35989010989011,0.395189712248536,0.360644257703081,0.321428571428571,0.321428571428571,0.271428571428571,0.271428571428571,0.428696207957508,-0.15,-0.183333333333333,0.2,0.281912764827211,-0.272438837920489,-0.367103852194332
"SNAI1",0.463693272205558,0.486344007580437,0.455295620483663,0.421415839062898,0.378991596638655,0.26561787148778,0.108447981891407,0.106601777692124,0.0973766854412016,0.197257157549777,0.211903021442495,0.41980614313223,0.182041910331384,0.152412280701754,0.153092109006087,0.1321044546851,0.120833333333333,0.252799550904206,0.191064766317153,0.272961800104657,0.171333824613117,0.151333824613117,0.241941391941392,0.119130434782609,0.208974358974359,0.304217520808685,-0.584483262443428,0.629838436027962,0.629838436027962,0.592927534715323,-0.60091105723176,0.408773763364373,0.380694945630383,0.380694945630383,0.380694945630383,-0.683266143058531,-0.349038789593245,-0.642998560110296,0.468711148549062,0.425643929783536,0.4496094448836,0.397673180240574,0.426437031090496,0.398659253312719,0.364990253411306,0.365985985985986,0.328148148148148,0.328148148148148,0.464327533234495,-0.0833333333333333,-0.10952380952381,0.28,0.401608683274577,-0.176092109006087,-0.356140550619619
