"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","miR200","KLF4","EGR1","ERK","HEY1","cfos","SMAD","ILK","SHH","AKT","IKK","NFB","SMO","TWIST1","FUS","Csn","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","cateninmemb","SNAI2","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","cateninnuc","GLI","TCFLEF","Wnt","CD44","ZEB2","ZEB1","Frizzled","cMet","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"NFB",0.555822262884651,0.584205693296602,0.537539026629936,0.475555555555556,0.405555555555556,0.313593313748264,0.348666523666524,-0.322875457875458,-0.307982982982983,0.142857142857143,0.259344947735192,0.275478468899521,0.178857142857143,0.278265230704255,0.26021645021645,0.331502185415229,0.389632214632215,0.346042471042471,0.289285714285714,0.268148148148148,0.573789827732454,0.22,0.314285714285714,0.339412486308872,0.420743100592913,0.377480689245395,0.32192513368984,0.338154492566257,-0.610555704460068,0.697587661724325,0.41401774139783,0.379834067928442,0.379834067928442,0.379834067928442,-0.734010909725195,-0.251477133977134,0.462295334945257,0.406664982527051,0.43591899969464,0.374481074481074,0.406272981995525,0.376091832144464,0.376091832144464,0.331623931623932,0.374481074481074,0.331623931623932,0.277777777777778,0.277777777777778,0.441301031176506,-0.3,-0.12,0.2,0.157040867663091,-0.3029307568438,-0.33803669008587
"RAS",0.352314118629908,0.374489247311828,0.3175,0.28,0.26,0.316928034371643,0.318925518925519,-0.330769230769231,-0.330769230769231,0.26,0.286315789473684,0.180718954248366,0.26,0.17828197945845,0.175424836601307,0.21514963880289,0.221025641025641,0.174358974358974,0.166666666666667,0.12,0.381006523765144,0.1,0.2,0.276794871794872,0.286858573216521,0.229411764705882,0.2,0.0125541125541125,-0.397255398110661,0.575213755542703,0.153213841175006,0.205641025641026,0.205641025641026,0.205641025641026,-0.471068783068783,-0.217063492063492,0.405495377333282,0.338172715894869,0.376540153452685,0.276470588235294,0.337340153452685,0.383150183150183,0.383150183150183,0.2,0.276470588235294,0.2,0.1,0.1,0.349465240641711,-0.2,-0.1,0,-0.036004478156856,-0.177894736842105,-0.400115633672525
"SOSGRB2",0.37702515033014,0.399141604010025,0.347261904761905,0.301428571428571,0.271428571428571,0.361747000456678,0.368295739348371,-0.351351351351351,-0.351351351351351,0.276190476190476,0.323037323037323,0.285119047619048,0.30952380952381,0.282539424835752,0.273801560758082,0.326536796536797,0.345252525252525,0.308888888888889,0.288888888888889,0.25,0.408840579710145,0.2,0.3,0.380992553590531,0.403799185888738,0.354545454545455,0.309090909090909,-0.0272222222222222,-0.491149023038787,0.644325861801037,0.332628952967936,0.285875706214689,0.285875706214689,0.285875706214689,-0.563430312876116,-0.31596060943887,0.396069291225034,0.330223880597015,0.367180402336145,0.275,0.329136924075276,0.388193456614509,0.388193456614509,0.2,0.273913043478261,0.2,0.1,0.1,0.344886363636364,-0.2,-0.2,0,-0.0376651316286852,-0.289393939393939,-0.388492063492063
"CD44",0.38,0.373529411764706,0.35,0.3,0.2,0.415,0.374673202614379,-0.369230769230769,-0.269230769230769,0.3,0.385,0.214285714285714,0.325,0.210805860805861,0.192857142857143,0.183333333333333,0.258974358974359,0.266666666666667,0.2,0.15,0.353846153846154,0.1,0.2,0.198996865203762,0.248739495798319,0.242857142857143,0.2,-0.00238095238095239,-0.142470588235294,0.438744113029827,0.203809523809524,0.166666666666667,0.166666666666667,0.166666666666667,-0.279747418036533,-0.223809523809524,0.12968253968254,0.0233333333333333,0.0852380952380952,-0.05,0.0233333333333333,0.402564102564103,0.402564102564103,-0.1,0.05,0,0,0.1,-0.02,-0.1,-0.1,0.1,-0.159716632669938,-0.15,-0.424
"MEK",0.347797958214625,0.373253269023353,0.329067222511725,0.272631578947368,0.22,0.178885052940617,0.263772051593499,-0.367797101449275,-0.3638779342723,0.17,0.231427425821973,0.194669801053502,0.187241379310345,0.199180519195671,0.186985397244452,0.266593593959323,0.200768049155146,0.167434715821813,0.119047619047619,0.214492753623188,0.412097183222534,0.166666666666667,0.0857142857142857,0.307603327965647,0.261866666666667,0.222666666666667,0.166666666666667,0.0939549649317091,-0.508900897154529,0.656966924700915,0.127793247941989,0.0935827216261999,0.0935827216261999,0.0935827216261999,-0.585434106234337,-0.19107761027359,0.395277113661553,0.348434782608696,0.37226124064568,0.318,0.346855835240275,0.410128389792834,0.410128389792834,0.27,0.316421052631579,0.268421052631579,0.2,0.2,0.376684452498406,-0.1,-0.1,0.1,0.0392866193798762,-0.243904518329071,-0.26836064003066
"FUS",0.47995892995893,0.572595619112473,0.52989898989899,0.485454545454545,0.44,0.43371267219988,0.404652991926822,-0.36025641025641,-0.328130081300813,0.3,0.395781637717122,0.229554655870445,0.353846153846154,0.23269130661114,0.217647058823529,0.374930786267996,0.294909090909091,0.254,0.21,0.304166666666667,0.324300156675188,0.266666666666667,0.15,0.288797851603003,0.375661040787623,0.333888888888889,0.288888888888889,0.275263157894737,-0.433448511243787,0.49245669183432,0.411178086619263,0.381713800904977,0.381713800904977,0.381713800904977,-0.486384469806936,-0.358776853776854,0.321521921883211,0.376190476190476,0.298968730393849,0.342857142857143,0.272197076850542,0.41025641025641,0.41025641025641,0.3,0.23952380952381,0.196666666666667,0.25,0.15,0.402213531527322,-0.1,-0.333333333333333,0.1,0.334548574548575,-0.34702380952381,-0.403820224719101
"NOTCH",0.405959595959596,0.421894409937888,0.354037267080745,0.271428571428571,0.2,0.384285714285714,0.383836477987421,-0.35,-0.35,0.2,0.32,0.24,0.22,0.154662004662005,0.141025641025641,0.241555555555556,0.212698412698413,0.155555555555556,0.1,0.15,0.367610062893082,0.1,0,0.245454545454545,0.232967032967033,0.271428571428571,0.2,0.172941176470588,-0.484092520382843,0.48703770988164,0.301428571428571,0.251428571428571,0.251428571428571,0.251428571428571,-0.585396222417441,-0.278139768728004,0.37713189240071,0.308602150537634,0.344404619673437,0.266666666666667,0.308602150537634,0.43,0.43,0.2,0.266666666666667,0.2,0.1,0.1,0.334947368421053,0,0,0,0.324280284073306,-0.205555555555556,-0.362564102564103
"ERK",0.377986637459908,0.403492789981437,0.373253269023353,0.329067222511725,0.272631578947368,0.215328201628663,0.287874615696063,-0.410128389792834,-0.401156040781176,0.187241379310345,0.178885052940617,0.210364868318076,0.231427425821973,0.215350731961629,0.199180519195671,0.286127121656116,0.229028918720363,0.200768049155146,0.167434715821813,0.243904518329071,0.43870268780969,0.214492753623188,0.119047619047619,0.32829898013956,0.291059213250518,0.261866666666667,0.222666666666667,0.125913727818307,-0.54149979550205,0.685777244815583,0.155399204413925,0.127793247941989,0.127793247941989,0.127793247941989,-0.620285514956838,-0.212526609320301,0.415127300927471,0.373434782608696,0.395277113661553,0.348434782608696,0.37226124064568,0.441835706866004,0.441835706866004,0.318,0.346855835240275,0.316421052631579,0.27,0.268421052631579,0.407624623438577,-0.0857142857142857,-0.166666666666667,0.2,0.0546076118966151,-0.266593593959323,-0.29851937018939
"cMet",0.408767123287671,0.409893048128342,0.373529411764706,0.35,0.3,0.420660377358491,0.409858387799564,-0.402564102564103,-0.302564102564103,0.325,0.415,0.231358885017422,0.385,0.228305860805861,0.210805860805861,0.216666666666667,0.273260073260073,0.258974358974359,0.266666666666667,0.15,0.396703296703297,0.15,0.2,0.239737605944502,0.283623216728552,0.248739495798319,0.242857142857143,0.0109523809523809,-0.193413984461709,0.487807783441812,0.244761904761905,0.203809523809524,0.203809523809524,0.203809523809524,-0.328623822530915,-0.259346713892168,0.162026753332391,0.0861240310077519,0.12968253968254,0.0233333333333333,0.0852380952380952,0.444988344988345,0.444988344988345,-0.05,0.0233333333333333,0.05,-0.1,0,0.0412903225806452,-0.2,-0.1,0.1,-0.129132440230075,-0.183333333333333,-0.456
"cfos",0.439425287356322,0.456050543024227,0.407836257309942,0.338947368421053,0.26,0.434214046822742,0.4068764249886,-0.420634920634921,-0.414285714285714,0.32,0.376521739130435,0.155,0.32,0.17523616734143,0.151551956815115,0.253030303030303,0.244827586206897,0.2,0.15,0.192857142857143,0.394346978557505,0.142857142857143,0.1,0.272876081606732,0.273015873015873,0.228571428571429,0.166666666666667,0.204147465437788,-0.534351922587217,0.5362134425663,0.341960005478702,0.301020408163265,0.301020408163265,0.301020408163265,-0.628079284218357,-0.312692510221062,0.422352490421456,0.358141414141414,0.392611111111111,0.321777777777778,0.359277777777778,0.467113793874357,0.467113793874357,0.277777777777778,0.321777777777778,0.277777777777778,0.2,0.2,0.39031971264981,0,-0.1,0.1,0.358289422251371,-0.229220779220779,-0.40368906455863
"CDC42",0.439425287356322,0.456050543024227,0.407836257309942,0.338947368421053,0.36,0.434214046822742,0.4068764249886,-0.420634920634921,-0.414285714285714,0.22,0.376521739130435,0.155,0.32,0.17523616734143,0.151551956815115,0.253030303030303,0.244827586206897,0.2,0.15,0.192857142857143,0.394346978557505,0.142857142857143,0.1,0.272876081606732,0.273015873015873,0.228571428571429,0.166666666666667,0.204147465437788,-0.534351922587217,0.5362134425663,0.341960005478702,0.301020408163265,0.301020408163265,0.301020408163265,-0.628079284218357,-0.312692510221062,0.422352490421456,0.358141414141414,0.392611111111111,0.321777777777778,0.359277777777778,0.467113793874357,0.467113793874357,0.277777777777778,0.321777777777778,0.277777777777778,0.2,0.2,0.39031971264981,0,-0.1,0.1,0.358289422251371,-0.229220779220779,-0.40368906455863
"TCFLEF",0.624115764187032,0.610918992068711,0.58214706224415,0.551079101079101,0.510602910602911,0.530356660882977,0.447733556765815,-0.435891005373616,-0.330983639002507,0.431428571428571,0.502637362637363,0.256548409284903,0.475018315018315,0.251473871605729,0.238627523998676,0.31020047401948,0.329334307137988,0.306634920634921,0.285206349206349,0.261111111111111,0.434986110420275,0.233333333333333,0.249206349206349,0.298927596431482,0.404355991458438,0.378456710882898,0.352140921409214,0.20111774577528,-0.433233118495302,0.483820227300309,0.407999104384813,0.384240715123068,0.384240715123068,0.384240715123068,-0.603090068567496,-0.357822843001846,0.205846800762624,0.266895283207649,0.18674973529987,0.238277919863598,0.262940211490346,0.467469952742037,0.467469952742037,0.207843137254902,0.234601449275362,0.204166666666667,0.174509803921569,0.170833333333333,0.598514871715291,-0.171428571428571,-0.2,0.133333333333333,0.31958081491083,-0.285382955771305,-0.447590591284568
"TWIST1",0.538558299623873,0.52521962861747,0.486008491726519,0.440438871473354,0.381818181818182,0.477559306831641,0.483585427814317,-0.429913793103448,-0.385087209302326,0.28,0.431830663615561,0.262787878787879,0.371304347826087,0.260312616190009,0.237491039426523,0.467957470773824,0.465659340659341,0.419230769230769,0.369230769230769,0.394685990338164,0.466467938563906,0.355555555555556,0.3,0.415173577754573,0.422039970476353,0.380292397660819,0.335555555555555,0.315754268614681,-0.65710503943527,0.730886969353992,0.45193278426317,0.42054341891154,0.42054341891154,0.42054341891154,-0.825427703281084,-0.402762154169562,0.469043870370798,0.41858813700919,0.445733847060774,0.385254803675856,0.417647427307688,0.477371420222092,0.477371420222092,0.348412698412698,0.384582911178656,0.348412698412698,0.309523809523809,0.309523809523809,0.461080635782128,-0.2,-0.3,0.266666666666667,0.396487979533331,-0.434984497800851,-0.464504401071565
"NOTCHic",0.455016199733181,0.469339665412341,0.421894409937888,0.354037267080745,0.271428571428571,0.446190476190476,0.417571417746457,-0.43,-0.41875,0.22,0.384285714285714,0.259148936170213,0.32,0.1810987862712,0.154662004662005,0.266888888888889,0.259757236227824,0.212698412698413,0.155555555555556,0.205555555555556,0.408350803633822,0.15,0.1,0.273454545454545,0.277582417582418,0.232967032967033,0.271428571428571,0.231915535444947,-0.531777705568028,0.528815487659418,0.341854103343465,0.301428571428571,0.301428571428571,0.301428571428571,-0.637932454301499,-0.309646618043072,0.406320148013836,0.343541909573779,0.37713189240071,0.308602150537634,0.344404619673437,0.478235294117647,0.478235294117647,0.266666666666667,0.308602150537634,0.266666666666667,0.2,0.2,0.378458818802732,0,-0.1,0.1,0.346381733348668,-0.241555555555556,-0.413441295546559
"PAK1",0.476873847027104,0.493267371503192,0.456050543024227,0.407836257309942,0.338947368421053,0.488182300790996,0.439614520226695,-0.467113793874357,-0.452952380952381,0.32,0.434214046822742,0.184545454545455,0.376521739130435,0.196188548293811,0.17523616734143,0.282607767819035,0.27816091954023,0.244827586206897,0.2,0.229220779220779,0.428096978557505,0.192857142857143,0.15,0.303310864215427,0.308115210764217,0.273015873015873,0.228571428571429,0.235330261136713,-0.575464245378929,0.572890558553761,0.378229435530515,0.341960005478702,0.341960005478702,0.341960005478702,-0.671612673905593,-0.339372754620247,0.447191200098875,0.391849279309953,0.422352490421456,0.358141414141414,0.392611111111111,0.513145539906103,0.513145539906103,0.321777777777778,0.359277777777778,0.321777777777778,0.277777777777778,0.277777777777778,0.428176855506953,-0.1,-0.142857142857143,0.2,0.377947541909491,-0.253030303030303,-0.440397925318123
"LIV1",0.476873847027104,0.493267371503192,0.456050543024227,0.407836257309942,0.338947368421053,0.488182300790996,0.439614520226695,-0.467113793874357,-0.452952380952381,0.32,0.434214046822742,0.184545454545455,0.376521739130435,0.196188548293811,0.17523616734143,0.282607767819035,0.27816091954023,0.244827586206897,0.2,0.229220779220779,0.428096978557505,0.192857142857143,0.15,0.303310864215427,0.308115210764217,0.273015873015873,0.228571428571429,0.235330261136713,-0.575464245378929,0.572890558553761,0.378229435530515,0.341960005478702,0.341960005478702,0.341960005478702,-0.671612673905593,-0.339372754620247,0.447191200098875,0.391849279309953,0.422352490421456,0.358141414141414,0.392611111111111,0.513145539906103,0.513145539906103,0.321777777777778,0.359277777777778,0.321777777777778,0.277777777777778,0.277777777777778,0.428176855506953,-0.1,-0.142857142857143,0.2,0.377947541909491,-0.253030303030303,-0.440397925318123
"EGR1",0.476873847027104,0.493267371503192,0.456050543024227,0.407836257309942,0.338947368421053,0.488182300790996,0.439614520226695,-0.467113793874357,-0.452952380952381,0.32,0.434214046822742,0.184545454545455,0.376521739130435,0.196188548293811,0.17523616734143,0.282607767819035,0.27816091954023,0.244827586206897,0.2,0.229220779220779,0.428096978557505,0.192857142857143,0.15,0.303310864215427,0.308115210764217,0.273015873015873,0.228571428571429,0.235330261136713,-0.575464245378929,0.572890558553761,0.378229435530515,0.341960005478702,0.341960005478702,0.341960005478702,-0.671612673905593,-0.339372754620247,0.447191200098875,0.391849279309953,0.422352490421456,0.358141414141414,0.392611111111111,0.513145539906103,0.513145539906103,0.321777777777778,0.359277777777778,0.321777777777778,0.277777777777778,0.277777777777778,0.428176855506953,-0.1,-0.142857142857143,0.2,0.377947541909491,-0.253030303030303,-0.440397925318123
"Csl",0.491893276145141,0.505797998745674,0.469339665412341,0.421894409937888,0.354037267080745,0.498690476190476,0.450745642090133,-0.478235294117647,-0.45875,0.32,0.446190476190476,0.291822203496945,0.384285714285714,0.203146030365688,0.1810987862712,0.297477124183006,0.29494242141301,0.259757236227824,0.212698412698413,0.241555555555556,0.442021689709772,0.205555555555556,0.155555555555556,0.304399170861712,0.313032153032153,0.277582417582418,0.232967032967033,0.26061118761886,-0.572361259944686,0.564889313162774,0.376956144159792,0.341854103343465,0.341854103343465,0.341854103343465,-0.681222199655938,-0.335775650301137,0.430718326283192,0.376573583781924,0.406320148013836,0.343541909573779,0.37713189240071,0.524252993232691,0.524252993232691,0.308602150537634,0.344404619673437,0.308602150537634,0.266666666666667,0.266666666666667,0.415210955554869,-0.1,-0.15,0.2,0.365220355900998,-0.266888888888889,-0.451585625443466
"SMAD",0.529522927694362,0.542060459003134,0.502377919320595,0.453333333333333,0.39025641025641,0.507405130598271,0.467506344332788,-0.501860712387028,-0.48608636977058,0.342857142857143,0.454657877851018,0.298793793092715,0.397695852534562,0.208925710471104,0.289197819314642,0.398616371840912,0.380314703309145,0.341732026143791,0.296732026143791,0.337931034482759,0.459488282326992,0.3,0.255555555555556,0.410438247961945,0.409520636095979,0.370707850707851,0.324761904761905,0.264102564102564,-0.58395302572405,0.577381269928912,0.461122416301051,0.425136882847163,0.425136882847163,0.425136882847163,-0.690503856209409,-0.373606898304531,0.445132726739269,0.389787465100607,0.420147020621488,0.354587465100607,0.390359786578934,0.549621906416879,0.549621906416879,0.316289592760181,0.35542002754279,0.316289592760181,0.269230769230769,0.269230769230769,0.425075108054127,-0.2,-0.25,0.2,0.275726517802635,-0.368268113134444,-0.456144080135111
"SNAI1",0.510105554344177,0.526600704836525,0.493267371503192,0.456050543024227,0.407836257309942,0.525182300790996,0.368848608684085,-0.513145539906103,-0.493356421356421,0.376521739130435,0.488182300790996,0.209220779220779,0.434214046822742,0.211686703275361,0.196188548293811,0.309411891530376,0.313272030651341,0.27816091954023,0.244827586206897,0.253030303030303,0.459377766734845,0.229220779220779,0.2,0.330313831574478,0.342443568973173,0.308115210764217,0.273015873015873,0.25638289271566,-0.609430403034727,0.603914303201484,0.407027198811037,0.378229435530515,0.378229435530515,0.378229435530515,-0.709340673905593,-0.361997189009387,0.467484150968573,0.421785585042438,0.447191200098875,0.391849279309953,0.422352490421456,0.549965623588112,0.549965623588112,0.358141414141414,0.392611111111111,0.359277777777778,0.321777777777778,0.321777777777778,0.460972554431684,-0.15,-0.192857142857143,0.277777777777778,0.394074545996256,-0.282607767819035,-0.476480399544927
"GLI",0.535486605305764,0.647890044316023,0.60590109403978,0.555536130536131,0.490151515151515,0.578586789554531,0.471650031871675,-0.504636591478697,-0.493473193473193,0.417857142857143,0.527619047619048,0.24696918767507,0.476190476190476,0.253526068815208,0.233853937667667,0.422594469599413,0.310261738488616,0.272397660818713,0.235555555555556,0.359523809523809,0.456322099575179,0.326190476190476,0.188888888888889,0.346649635304204,0.344752446558417,0.304181017986988,0.260897435897436,0.23889338731444,-0.597033459348252,0.594213620878884,0.470590696394165,0.431924029727498,0.431924029727498,0.431924029727498,-0.694844882727498,-0.427494246166813,0.471492359477826,0.411666166916542,0.444646258718682,0.473501915708812,0.41181043782316,0.554003680086292,0.554003680086292,0.429501915708812,0.373946360153257,0.329501915708812,0.377777777777778,0.277777777777778,0.442488458940648,-0.133333333333333,-0.276190476190476,0.2,0.341099557949727,-0.391102756892231,-0.459015613854323
"TGF",0.554464624559501,0.5682995951417,0.608684210526316,0.535,0.46,0.482620024754088,0.475530303030303,-0.513928571428571,-0.513928571428571,0.333333333333333,0.429131652661064,0.267241379310345,0.376190476190476,0.262311329332606,0.243162393162393,0.304888888888889,0.362745098039216,0.333333333333333,0.266666666666667,0.226666666666667,0.479658199707705,0.166666666666667,0.233333333333333,0.355444692813114,0.408280922431866,0.361111111111111,0.283333333333333,0.183333333333333,-0.51516614016614,0.511076086465008,0.396034667893849,0.339430894308943,0.339430894308943,0.339430894308943,-0.606468550809739,-0.375665976535542,0.423609022556391,0.338947368421053,0.384661654135338,0.278947368421053,0.338947368421053,0.569810924369748,0.569810924369748,0.2,0.278947368421053,0.2,0.1,0.1,0.354016354016354,-0.2,-0.133333333333333,0,0.176502348448268,-0.262666666666667,-0.430040154148813
"TGFR",0.604464624559501,0.6202995951417,0.5682995951417,0.608684210526316,0.535,0.527943765761282,0.515798759406142,-0.569810924369748,-0.565357142857143,0.376190476190476,0.482620024754088,0.288810006761325,0.429131652661064,0.281683057081297,0.262311329332606,0.338222222222222,0.403043605501902,0.362745098039216,0.333333333333333,0.262666666666667,0.525780648687296,0.226666666666667,0.266666666666667,0.390487427855849,0.456998871149815,0.408280922431866,0.361111111111111,0.229279279279279,-0.567300680916464,0.559066036213752,0.441376282800681,0.396034667893849,0.396034667893849,0.396034667893849,-0.66242093176212,-0.410914018310999,0.455503036295351,0.384401913875598,0.423609022556391,0.338947368421053,0.384661654135338,0.623185157498582,0.623185157498582,0.278947368421053,0.338947368421053,0.278947368421053,0.2,0.2,0.407933404707598,-0.233333333333333,-0.166666666666667,0.1,0.203558625504545,-0.304888888888889,-0.478316016217778
"ZEB1",0.475740761981228,0.503459580777091,0.467057907136924,0.423742399115533,0.368518518518519,0.372210855356635,0.365077979174267,-0.682117291360989,-0.564573099415205,0.216666666666667,0.327766410912191,0.204834696792624,0.281884057971014,0.199226165346955,0.182232701294667,0.291758644736209,0.302550810989738,0.266550810989738,0.230701754385965,0.2375,0.477176265216967,0.204166666666667,0.183333333333333,0.347365054588905,0.37251113671275,0.33651113671275,0.29672619047619,0.295560053981107,-0.64185319637311,0.526005208410226,0.450445320179278,0.41905373441876,0.41905373441876,0.41905373441876,-0.6496666665438,-0.38510505777133,0.494054150973197,0.448138459684949,0.472440914158306,0.418389355742297,0.446607580824972,0.62353143277513,0.62353143277513,0.383095238095238,0.416897435897436,0.380897435897436,0.338095238095238,0.335897435897436,0.477937850685159,-0.133333333333333,-0.166666666666667,0.266666666666667,0.396520789479901,-0.266235632183908,-0.34942883082418
