"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","TWIST1","EGR1","cfos","HEY1","SHH","SMAD","AKT","ILK","IKK","SMO","Jagged","NFB","FUS","NOTCH","NOTCHic","Csn","Csl","SNAI2","SOSGRB2","RAS","ZEB2","ZEB1","RAF","PI3K","DELTA","KLF4","cateninnuc","TCFLEF","GLI","CD44","Wnt","cMet","Frizzled","SRC","miR200","cateninmemb","DSH","AXIN2","GSK3","STAT","LIV1","Destcompl","Ecadherin","TrCP","SUFU","Patched","RKIP"
"STAT",0.20431746031746,0.194404531638574,0.183766233766234,0.160909090909091,0.140909090909091,0.199435736677116,0.133346242608191,0.189090909090909,0.0560817036520361,0.2,0.18,0.0586666666666667,0.049406525774203,0.0638946399815965,0.0335714285714286,0.0615136876006441,0.03,0.0392857142857143,0.0468907700486648,0.02,0.025,0.0156967042136003,0.00931372549019608,0,-0.00833333333333333,0.0739249825683934,-0.0162870945479641,-0.057512315270936,0.437039465164465,0.437039465164465,-0.0658456486042693,-0.0658456486042693,-0.0658456486042693,-0.324410774410774,-0.00479113752568569,-0.0120334773585548,-0.0198766146134567,-0.0197257850508625,-0.0275689223057644,-0.0275689223057644,-0.0380952380952381,-0.0380952380952381,-0.453191941262117,-0.00910826809546625,-0.0666666666666667,-0.0752995455740231,0.0649817425046783,-0.0666666666666667,0,-0.0914390946207316,-0.136942603330499,0,0,-0.046602787456446,-0.161684981684982
"ERK",0.359776406632472,0.385761575307457,0.359075358298659,0.319075358298659,0.267619047619048,0.206377599968258,0.262481720888111,0.173429623089645,0.422517769891108,0.187241379310345,0.227666911225238,0.175163637660932,0.238039588205511,0.177095713980467,0.206154556058913,0.165950203144554,0.183879674542325,0.206033898305085,0.287555747847338,0.156168831168831,0.184,0.267485556724495,0.24241181041181,0.110714285714286,0.208565656565657,0.677542811697668,0.118861061668168,0.147699797868914,0.439970587574845,0.439970587574845,0.12123273200065,0.12123273200065,0.12123273200065,-0.403776966903527,0.404273548329707,0.385943528448991,0.365542059984018,0.364002600178949,0.341035017730496,0.339074233416771,0.311347517730496,0.309386733416771,-0.449915317500547,-0.532915914855485,0.266666666666667,0.400610200364299,-0.204547117187769,0.264705882352941,0.2,0.0463329172987115,-0.608584165174597,-0.0857142857142857,-0.14,-0.222250114521301,-0.280852196007307
"cMet",0.404391025641026,0.404830917874396,0.372222222222222,0.35,0.3,0.420454545454546,0.404054153146712,0.415,0.388748114630468,0.325,0.385,0.21781905744754,0.204256854256854,0.21034632034632,0.2725,0.197619047619048,0.26,0.15,0.220917832167832,0.266666666666667,0.15,0.278555083360575,0.24812030075188,0.2,0.242857142857143,0.4826655113764,0.0109523809523809,0.240574645699864,0.458008658008658,0.458008658008658,0.201960784313725,0.201960784313725,0.201960784313725,-0.320634920634921,0.152219578015756,0.122283272283272,0.0814285714285714,0.0804029304029304,0.0214285714285714,0.0214285714285714,-0.05,0.05,-0.467637104743083,-0.18196182565848,-0.1,0.0365154264972777,-0.255164193336909,0,0.1,-0.136255259467041,-0.314209042660069,-0.2,-0.1,-0.177272727272727,-0.453333333333333
"Jagged",0.311278195488722,0.329468599033816,0.255555555555556,0.2,0.2,0.286666666666667,0.254545454545455,0.22,0.286645962732919,0.1,0.2,0.166666666666667,0.116666666666667,0.0714285714285714,0.0888888888888889,0.0666666666666667,0.0333333333333333,0.0333333333333333,0.156842105263158,0,0,0.229230769230769,0.16,0,0.1,0.432533733133433,0.12,0.246198830409357,0.46207729468599,0.46207729468599,0.177777777777778,0.177777777777778,0.177777777777778,-0.405555555555556,0.338587630692894,0.304377104377104,0.263636363636364,0.263636363636364,0.2,0.2,0.1,0.1,-0.472121212121212,-0.42383808095952,0,0.276470588235294,-0.228846153846154,0,0,0.291053391053391,-0.504274849200105,0,0,-0.0833333333333333,-0.235897435897436
"DELTA",0.311278195488722,0.329468599033816,0.255555555555556,0.2,0.2,0.286666666666667,0.254545454545455,0.22,0.286645962732919,0.1,0.2,0.166666666666667,0.116666666666667,0.0714285714285714,0.0888888888888889,0.0666666666666667,0.0333333333333333,0.0333333333333333,0.156842105263158,0,0,0.229230769230769,0.16,0,0.1,0.432533733133433,0.12,0.246198830409357,0.46207729468599,0.46207729468599,0.177777777777778,0.177777777777778,0.177777777777778,-0.405555555555556,0.338587630692894,0.304377104377104,0.263636363636364,0.263636363636364,0.2,0.2,0.1,0.1,-0.472121212121212,-0.42383808095952,0,0.276470588235294,-0.228846153846154,0,0,0.291053391053391,-0.504274849200105,0,0,-0.0833333333333333,-0.235897435897436
"NFB",0.541048140269217,0.571290657773911,0.527869605142332,0.469191919191919,0.405555555555556,0.305832860296436,0.32008820787073,0.252190476190476,0.562804849285344,0.142857142857143,0.178857142857143,0.198011573050273,0.276604938271605,0.199542600635528,0.357406107406107,0.18578795379538,0.321042471042471,0.228148148148148,0.306131825164083,0.264285714285714,0.18,0.399712701572092,0.361457668015045,0.314285714285714,0.307359307359307,0.69279734954979,0.335224089635854,0.409620737245022,0.474056678661635,0.474056678661635,0.376636444051305,0.376636444051305,0.376636444051305,-0.41529304029304,0.454056662058448,0.428948810462244,0.400468701408326,0.400049727893437,0.368761384335155,0.368761384335155,0.327777777777778,0.327777777777778,-0.478687674511368,-0.603968715091903,0.277777777777778,0.436535068877375,-0.246701806424029,0.277777777777778,0.2,0.151582459555789,-0.726054811002206,-0.3,-0.12,-0.253148148148148,-0.314164509634743
"SRC",0.402693043390718,0.39275641025641,0.365833333333333,0.345833333333333,0.333333333333333,0.331546231546232,0.302093328559494,0.316161616161616,0.245439565065733,0.3,0.327272727272727,0.126804038397881,0.0899300699300699,0.113934329065908,0.166263736263736,0.109429824561404,0.157692307692308,0.0533333333333333,0.0992262851086381,0.15,0.0333333333333333,0.160754716981132,0.14,0.15,0.12,0.191152530779754,0.00588235294117647,0.204844759066071,0.479700854700855,0.479700854700855,0.181893939393939,0.181893939393939,0.181893939393939,-0.354328165374677,0.0558629507215625,0.0391534391534391,0.0169312169312169,0.0169312169312169,-0.0126984126984127,-0.0126984126984127,-0.0571428571428571,-0.0571428571428571,-0.492009272192339,-0.0721192756409146,-0.1,-0.0459117305458769,-0.140723981900452,0,0,-0.0983121916842847,-0.226748557868839,-0.1,-0.0333333333333333,-0.0687179487179487,-0.402828282828283
"SMO",0.430350877192982,0.523333333333333,0.481666666666667,0.44,0.4,0.393240093240093,0.36185418305796,0.353846153846154,0.280885780885781,0.2,0.3,0.128937728937729,0.322261904761905,0.134285714285714,0.236857142857143,0.12,0.192857142857143,0.253333333333333,0.234652014652015,0.15,0.333333333333333,0.322377622377622,0.278787878787879,0.1,0.233333333333333,0.452171717171717,0.255263157894737,0.378311758199049,0.482485875706215,0.482485875706215,0.345781637717122,0.345781637717122,0.345781637717122,-0.413888888888889,0.289457888418525,0.264559929234852,0.337843137254902,0.234033613445378,0.296666666666667,0.192857142857143,0.25,0.15,-0.492374924653406,-0.385566391012638,0.2,0.360865800865801,-0.331502188868043,0.1,0.1,0.311896758703481,-0.432560280821863,0,-0.3,-0.290833333333333,-0.352857142857143
"TWIST1",0.536686067388832,0.523653974448183,0.485438871473354,0.440438871473354,0.381818181818182,0.477104295456357,0.479416436165615,0.431830663615561,0.464490366377159,0.28,0.371304347826087,0.243465573974049,0.458244827222448,0.237967084996788,0.460917613459986,0.21981526981527,0.416849816849817,0.391555555555556,0.408943419950929,0.369230769230769,0.355555555555556,0.419429659334873,0.379145299145299,0.3,0.335555555555555,0.729162137276926,0.315754268614681,0.45105543284916,0.488073160880178,0.488073160880178,0.420259585098295,0.420259585098295,0.420259585098295,-0.404315196998124,0.464760247899654,0.442677662621377,0.41682780913784,0.415863782495194,0.384582911178656,0.38389656938044,0.348412698412698,0.348412698412698,-0.496082171680117,-0.652467352671956,0.309523809523809,0.45988187550419,-0.401915926733445,0.309523809523809,0.266666666666667,0.394787353952694,-0.81956230887755,-0.2,-0.3,-0.428541856925419,-0.461840770536423
"NOTCH",0.371278195488722,0.390182884748102,0.329468599033816,0.255555555555556,0.2,0.34962962962963,0.291212121212121,0.286666666666667,0.331744001948606,0.2,0.22,0.171014492753623,0.141666666666667,0.0814285714285714,0.130065359477124,0.0714285714285714,0.0888888888888889,0.0833333333333333,0.181842105263158,0.0333333333333333,0.0333333333333333,0.179230769230769,0.229230769230769,0,0.16,0.479447313380347,0.164444444444444,0.292865497076023,0.519769602378298,0.519769602378298,0.246198830409357,0.246198830409357,0.246198830409357,-0.46207729468599,0.369622113451515,0.338587630692894,0.304377104377104,0.304377104377104,0.263636363636364,0.263636363636364,0.2,0.2,-0.528003565062389,-0.473205169567115,0.1,0.331016042780749,-0.266508491508491,0.1,0,0.317427017427017,-0.561635255291475,0,0,-0.116666666666667,-0.284045584045584
"FUS",0.469540066382172,0.562893772893773,0.523333333333333,0.481666666666667,0.44,0.430449395565675,0.389390414942018,0.393240093240093,0.314587438344344,0.3,0.353846153846154,0.144879757923236,0.34597324496809,0.145253456221198,0.270190476190476,0.134285714285714,0.236857142857143,0.290833333333333,0.258702647563407,0.192857142857143,0.253333333333333,0.358848210612917,0.322377622377622,0.15,0.278787878787879,0.48550505050505,0.272910216718266,0.405834693978866,0.526585254588202,0.526585254588202,0.378311758199049,0.378311758199049,0.378311758199049,-0.461429872495446,0.310534121602382,0.289457888418525,0.369093137254902,0.264559929234852,0.337843137254902,0.234033613445378,0.296666666666667,0.192857142857143,-0.536374924653406,-0.420701526147774,0.25,0.395532467532468,-0.353879811245665,0.15,0.1,0.327555673432164,-0.472717761136824,-0.1,-0.333333333333333,-0.322261904761905,-0.391804511278195
"cfos",0.391720524872699,0.411101204338279,0.371278195488722,0.311278195488722,0.242857142857143,0.381715265866209,0.30436132885405,0.334545454545455,0.345238095238095,0.32,0.28,0.0813593203398301,0.14493446783102,0.0923953008698771,0.148095238095238,0.0788359788359788,0.116666666666667,0.103463203463203,0.188988973170389,0.0833333333333333,0.0761904761904762,0.197176736307171,0.161462450592885,0.0333333333333333,0.113636363636364,0.524023042382119,0.183333333333333,0.327759103641457,0.555272141442354,0.555272141442354,0.28952380952381,0.28952380952381,0.28952380952381,-0.507936507936508,0.411460926576408,0.384700363196126,0.35228337236534,0.353450363196126,0.317857142857143,0.317857142857143,0.275,0.275,-0.567305963617439,-0.516798085253219,0.2,0.384387351778656,-0.293104202783902,0.2,0.1,0.348721095789279,-0.591050777172282,0,-0.0333333333333333,-0.127601134497686,-0.310151515151515
"CDC42",0.391720524872699,0.411101204338279,0.371278195488722,0.311278195488722,0.342857142857143,0.381715265866209,0.30436132885405,0.334545454545455,0.345238095238095,0.22,0.28,0.0813593203398301,0.14493446783102,0.0923953008698771,0.148095238095238,0.0788359788359788,0.116666666666667,0.103463203463203,0.188988973170389,0.0833333333333333,0.0761904761904762,0.197176736307171,0.161462450592885,0.0333333333333333,0.113636363636364,0.524023042382119,0.183333333333333,0.327759103641457,0.555272141442354,0.555272141442354,0.28952380952381,0.28952380952381,0.28952380952381,-0.507936507936508,0.411460926576408,0.384700363196126,0.35228337236534,0.353450363196126,0.317857142857143,0.317857142857143,0.275,0.275,-0.567305963617439,-0.516798085253219,0.2,0.384387351778656,-0.293104202783902,0.2,0.1,0.348721095789279,-0.591050777172282,0,-0.0333333333333333,-0.127601134497686,-0.310151515151515
"TGF",0.530748816768086,0.545512820512821,0.591666666666667,0.526666666666667,0.46,0.473558897243108,0.436842105263158,0.423558897243108,0.457570325427468,0.333333333333333,0.376190476190476,0.231850419084462,0.259773614363778,0.22603128054741,0.339800514800515,0.211515151515151,0.315476190476191,0.203333333333333,0.309483475326172,0.258333333333333,0.153333333333333,0.382495126705653,0.341754385964912,0.233333333333333,0.273333333333333,0.505555555555556,0.17972972972973,0.386631578947368,0.5589202474786,0.5589202474786,0.332631578947368,0.332631578947368,0.332631578947368,-0.507068395626748,0.417152406417112,0.380220588235294,0.336470588235294,0.336470588235294,0.276470588235294,0.276470588235294,0.2,0.2,-0.566639043326756,-0.506918382913806,0.1,0.351449275362319,-0.365115864527629,0.1,0,0.163769486327626,-0.589625463879608,-0.2,-0.133333333333333,-0.231904761904762,-0.409889069264069
"NOTCHic",0.411818736029262,0.43076259489303,0.390182884748102,0.329468599033816,0.255555555555556,0.40275462962963,0.320281888653982,0.34962962962963,0.366995800509757,0.22,0.286666666666667,0.184860646599777,0.161206896551724,0.0972180451127819,0.165065359477124,0.0814285714285714,0.130065359477124,0.116666666666667,0.205371517027864,0.0888888888888889,0.0833333333333333,0.21654420206659,0.179230769230769,0.0333333333333333,0.229230769230769,0.518783806271342,0.214444444444444,0.331151211361738,0.566644602378298,0.566644602378298,0.292865497076023,0.292865497076023,0.292865497076023,-0.513929146537842,0.396152725696412,0.369622113451515,0.337710437710438,0.338587630692894,0.304377104377104,0.304377104377104,0.263636363636364,0.263636363636364,-0.578003565062388,-0.517205169567115,0.2,0.372682709447415,-0.295695094379305,0.2,0.1,0.338375634027808,-0.607612266785728,0,-0.0333333333333333,-0.141666666666667,-0.323439523439523
"ZEB1",0.375395450259312,0.395209444021325,0.363225638353309,0.322631578947368,0.27,0.292970332970333,0.280587484676548,0.252429792429792,0.326228758709962,0.176190476190476,0.214652014652015,0.160617048346056,0.201946834958883,0.157452075922724,0.206064667906773,0.14772444946358,0.182380457380457,0.167619047619048,0.242327874199908,0.163461538461538,0.147619047619048,0.254596949891068,0.225185185185185,0.125,0.195555555555556,0.468080373200397,0.191008403361345,0.379664335664336,0.569025849016617,0.569025849016617,0.346573426573427,0.346573426573427,0.346573426573427,-0.530750577743059,0.368011542121708,0.347173614889073,0.318843954248366,0.321047488762947,0.290718954248366,0.292476060191518,0.252941176470588,0.252941176470588,-0.586177653171261,-0.450679953741178,0.2,0.351671693346738,-0.295753359364975,0.2,0.1,0.228906302626134,-0.499058116923994,-0.1,-0.114285714285714,-0.185079365079365,-0.27463204780612
"TCFLEF",0.613264104796253,0.600877267386701,0.5746336996337,0.545787545787546,0.507692307692308,0.525509507430239,0.432027216987043,0.499815062985795,0.424576425233044,0.431428571428571,0.472891986062718,0.202196974022267,0.278666192874992,0.184886277589525,0.308434738524767,0.175408521303258,0.289097721950181,0.238617886178862,0.274981999672721,0.271064935064935,0.216666666666667,0.389753110241285,0.366729055258467,0.235064935064935,0.343496732026144,0.475602434447654,0.197534618148115,0.401306150659181,0.575400318625474,0.575400318625474,0.379206703145369,0.379206703145369,0.379206703145369,-0.439831393853671,0.192778274343143,0.175242729319447,0.257924594474938,0.253438218041251,0.231503189792663,0.227336523125997,0.202412280701754,0.198245614035088,-0.586610799123533,-0.416934954864876,0.170833333333333,0.590113748993993,-0.352351888194056,0.166666666666667,0.133333333333333,0.311821695966554,-0.587024425474486,-0.171428571428571,-0.183333333333333,-0.258290017326403,-0.435052503052503
"PAK1",0.422945821315387,0.442948338096241,0.411101204338279,0.371278195488722,0.311278195488722,0.425654659805603,0.330734955227676,0.381715265866209,0.375335182616736,0.28,0.334545454545455,0.0991887777041712,0.165604858892472,0.105890110558458,0.173347763347763,0.0923953008698771,0.148095238095238,0.127601134497686,0.212729980364634,0.116666666666667,0.103463203463203,0.226290660357804,0.197176736307171,0.0833333333333333,0.161462450592885,0.557356375715452,0.210606060606061,0.360906735953434,0.592816001091477,0.592816001091477,0.327759103641457,0.327759103641457,0.327759103641457,-0.54828738512949,0.433322208402571,0.411460926576408,0.383571715923622,0.384700363196126,0.35228337236534,0.353450363196126,0.317857142857143,0.317857142857143,-0.605047010449395,-0.552713578210966,0.275,0.420101637492942,-0.317716176176364,0.275,0.2,0.366655368089749,-0.628720153866049,-0.0333333333333333,-0.0761904761904762,-0.14493446783102,-0.341439858709797
"LIV1",0.422945821315387,0.442948338096241,0.411101204338279,0.371278195488722,0.311278195488722,0.425654659805603,0.330734955227676,0.381715265866209,0.375335182616736,0.28,0.334545454545455,0.0991887777041712,0.165604858892472,0.105890110558458,0.173347763347763,0.0923953008698771,0.148095238095238,0.127601134497686,0.212729980364634,0.116666666666667,0.103463203463203,0.226290660357804,0.197176736307171,0.0833333333333333,0.161462450592885,0.557356375715452,0.210606060606061,0.360906735953434,0.592816001091477,0.592816001091477,0.327759103641457,0.327759103641457,0.327759103641457,-0.54828738512949,0.433322208402571,0.411460926576408,0.383571715923622,0.384700363196126,0.35228337236534,0.353450363196126,0.317857142857143,0.317857142857143,-0.605047010449395,-0.552713578210966,0.275,0.420101637492942,-0.317716176176364,0.275,0.2,0.366655368089749,-0.628720153866049,-0.0333333333333333,-0.0761904761904762,-0.14493446783102,-0.341439858709797
"EGR1",0.422945821315387,0.442948338096241,0.411101204338279,0.371278195488722,0.311278195488722,0.425654659805603,0.330734955227676,0.381715265866209,0.375335182616736,0.28,0.334545454545455,0.0991887777041712,0.165604858892472,0.105890110558458,0.173347763347763,0.0923953008698771,0.148095238095238,0.127601134497686,0.212729980364634,0.116666666666667,0.103463203463203,0.226290660357804,0.197176736307171,0.0833333333333333,0.161462450592885,0.557356375715452,0.210606060606061,0.360906735953434,0.592816001091477,0.592816001091477,0.327759103641457,0.327759103641457,0.327759103641457,-0.54828738512949,0.433322208402571,0.411460926576408,0.383571715923622,0.384700363196126,0.35228337236534,0.353450363196126,0.317857142857143,0.317857142857143,-0.605047010449395,-0.552713578210966,0.275,0.420101637492942,-0.317716176176364,0.275,0.2,0.366655368089749,-0.628720153866049,-0.0333333333333333,-0.0761904761904762,-0.14493446783102,-0.341439858709797
"TGFR",0.573201646956766,0.591038112341614,0.545512820512821,0.591666666666667,0.526666666666667,0.514566091487712,0.47185787813382,0.473558897243108,0.497570325427468,0.376190476190476,0.423558897243108,0.248268329532223,0.286400833298689,0.238758553274682,0.369068807483442,0.22603128054741,0.339800514800515,0.231904761904762,0.338848554691251,0.315476190476191,0.203333333333333,0.422652607020614,0.382495126705653,0.258333333333333,0.341754385964912,0.551277480689245,0.219203413940256,0.429677936563262,0.6050139974786,0.6050139974786,0.386631578947368,0.386631578947368,0.386631578947368,-0.556159304717657,0.446876397924543,0.417152406417112,0.379982038616974,0.380220588235294,0.336470588235294,0.336470588235294,0.276470588235294,0.276470588235294,-0.613305709993422,-0.555657878712126,0.2,0.40373353932171,-0.398265035798347,0.2,0.1,0.189296418411935,-0.640417438536419,-0.233333333333333,-0.153333333333333,-0.259773614363778,-0.448234933925723
"Csl",0.443651533456915,0.462896270985575,0.43076259489303,0.390182884748102,0.329468599033816,0.447332942882642,0.347998074906753,0.40275462962963,0.397724967176423,0.286666666666667,0.34962962962963,0.205408591805256,0.183481778068312,0.112262292900393,0.193398692810457,0.0972180451127819,0.165065359477124,0.141666666666667,0.230371517027864,0.130065359477124,0.116666666666667,0.247156446964549,0.21654420206659,0.0888888888888889,0.179230769230769,0.552057985508254,0.23989898989899,0.363764602290463,0.605930316664012,0.605930316664012,0.331151211361738,0.331151211361738,0.331151211361738,-0.556353388962085,0.417885779504938,0.396152725696412,0.368778398875486,0.369622113451515,0.337710437710438,0.338587630692894,0.304377104377104,0.304377104377104,-0.617723191230613,-0.553303190302271,0.263636363636364,0.407667229571254,-0.320177852999995,0.263636363636364,0.2,0.355697322528536,-0.645983506697687,-0.0333333333333333,-0.0833333333333333,-0.161206896551724,-0.357107865148066
"SMAD",0.486493537908632,0.503921703296703,0.468653846153846,0.426153846153846,0.369230769230769,0.462882205513784,0.38564604374431,0.417619047619048,0.419318526955201,0.314285714285714,0.367619047619048,0.228068183411133,0.289521507278278,0.117176084334741,0.30080378250591,0.203892876314691,0.268888888888889,0.242982456140351,0.337428961557593,0.235555555555556,0.216666666666667,0.352029679204789,0.318108974358974,0.205555555555556,0.279647435897436,0.566026827958364,0.247130434782609,0.447097166695637,0.621709197235513,0.621709197235513,0.413636363636364,0.413636363636364,0.413636363636364,-0.572268842268842,0.433566253305189,0.411037094311941,0.382744179997399,0.383586113919784,0.34969696969697,0.350542635658915,0.313333333333333,0.313333333333333,-0.632082572866545,-0.56649943535959,0.266666666666667,0.418249867876734,-0.358338390591099,0.266666666666667,0.2,0.262999184054829,-0.658849911977488,-0.15,-0.183333333333333,-0.267254300800545,-0.381626199887069
"SNAI1",0.451029030825045,0.471656472067533,0.442948338096241,0.411101204338279,0.371278195488722,0.458471197273303,0.255002737654455,0.425654659805603,0.402043257150898,0.334545454545455,0.381715265866209,0.115214418729812,0.185516363317251,0.115400980123676,0.20011941689107,0.105890110558458,0.173347763347763,0.14493446783102,0.234128581763235,0.148095238095238,0.127601134497686,0.254793075816741,0.226290660357804,0.116666666666667,0.197176736307171,0.585122555256162,0.228828282828283,0.38707306455384,0.624865519660941,0.624865519660941,0.360906735953434,0.360906735953434,0.360906735953434,-0.582758374890582,0.450973148686306,0.433322208402571,0.410592501143021,0.411460926576408,0.383571715923622,0.384700363196126,0.35228337236534,0.353450363196126,-0.638237588607853,-0.582366294150414,0.317857142857143,0.450190133068163,-0.338073029379932,0.317857142857143,0.275,0.381068852781871,-0.661001457468108,-0.0833333333333333,-0.103463203463203,-0.165604858892472,-0.370456645280541
"GLI",0.486069913066746,0.602998196771782,0.566610056610057,0.523752913752914,0.466060606060606,0.545372142162122,0.395917698382473,0.503040853818564,0.413172342032935,0.402857142857143,0.459378881987578,0.153727678039244,0.312069331634549,0.156461203170632,0.227720943449844,0.144140286265188,0.198309178743961,0.265079365079365,0.25788793277526,0.172222222222222,0.242857142857143,0.275419167813534,0.24136511375948,0.138888888888889,0.206153846153846,0.58112951400589,0.22,0.453425489317325,0.630227825702278,0.630227825702278,0.417864630128781,0.417864630128781,0.417864630128781,-0.583622170179547,0.459049564580932,0.434989414204992,0.404478720956982,0.404908113391984,0.469028985507246,0.369424242424242,0.427,0.327,-0.641243039697852,-0.576276201779565,0.375,0.435494487668036,-0.40748691876799,0.275,0.2,0.322036490776987,-0.656773355904175,-0.0833333333333333,-0.20952380952381,-0.288992408557626,-0.398837291163413
