"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","EGR1","SNAI1","ERK","cfos","HEY1","SMAD","ILK","SHH","NFB","IKK","AKT","SMO","TWIST1","FUS","Csn","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","cateninmemb","SNAI2","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","TCFLEF","GLI","Wnt","CD44","Frizzled","cMet","DSH","SRC","STAT","AXIN2","TrCP","SUFU","LIV1","Patched","Destcompl","RKIP"
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.1,0.258333333333333,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0,0.0333333333333333,0.0888888888888889,0.0333333333333333,0.307608695652174,0,0,0.181531100478469,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,-0.462740384615385,0.478107344632768,0.27,0.18,0.18,0.18,-0.519934210526316,-0.248148148148148,-0.472121212121212,0.462740384615385,0.384615384615385,0.3,0.2,0.3,0.1,0.2,0,0.1,0,0.3,0,0,0,-0.0833333333333333,0.333913043478261,-0.235897435897436
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.1,0.258333333333333,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0,0.0333333333333333,0.0888888888888889,0.0333333333333333,0.307608695652174,0,0,0.181531100478469,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,-0.462740384615385,0.478107344632768,0.27,0.18,0.18,0.18,-0.519934210526316,-0.248148148148148,-0.472121212121212,0.462740384615385,0.384615384615385,0.3,0.2,0.3,0.1,0.2,0,0.1,0,0.3,0,0,0,-0.0833333333333333,0.333913043478261,-0.235897435897436
"SRC",0.397773368606702,0.386622807017544,0.361622807017544,0.345833333333333,0.333333333333333,0.329887106357695,0.3,0.297405779781117,0.316161616161616,0.327272727272727,0.126804038397881,0.113934329065908,0.109429824561404,0.085968253968254,0.15,0.157692307692308,0.163574660633484,0.0533333333333333,0.245209442205687,0.0333333333333333,0.15,0.101771170006464,0.154156820622986,0.135789473684211,0.12,0.00303030303030303,-0.354328165374677,0.478267973856209,0.478267973856209,-0.113274732576641,0.206420722135008,0.202305295950156,0.173333333333333,0.173333333333333,0.173333333333333,-0.267115600448934,-0.138606442577031,-0.490907280572067,0.113274732576641,0.0737913377426926,0.0288372093023256,-0.02,0.0288372093023256,-0.0666666666666667,-0.02,-0.1,-0.0666666666666667,0,-0.0456053067993367,-0.1,-0.0333333333333333,0,-0.0653333333333333,-0.0923844919735331,-0.400069662138628
"NFB",0.572241252838506,0.617344228459287,0.546852425180599,0.468421052631579,0.4,0.312955465587045,0.142857142857143,0.352779690954838,0.250549450549451,0.176190476190476,0.196225858764558,0.198205291454443,0.184495614035088,0.304781832927818,0.25974025974026,0.318563789152024,0.365399232189999,0.227555555555556,0.648746470920384,0.175555555555556,0.314285714285714,0.383996183996184,0.443379953379953,0.37974358974359,0.306666666666667,0.342142857142857,-0.415041827541828,0.480929106735558,0.480929106735558,-0.73202225053278,0.848817771695525,0.49374227865477,0.430301418439716,0.430301418439716,0.430301418439716,-0.786771760623756,-0.311632341575182,-0.48375400193582,0.732059440336012,0.655972483814273,0.577930402930403,0.495238095238095,0.577762367082755,0.4,0.495238095238095,0.3,0.4,0.3,0.585688845717986,-0.3,-0.12,0.2,-0.267555555555556,0.252242463742173,-0.326039445628998
"SMO",0.502091900590023,0.616929824561404,0.545,0.475,0.4,0.430952380952381,0.2,0.423025210084034,0.366666666666667,0.3,0.128937728937729,0.139298245614035,0.12,0.376666666666667,0.15,0.216666666666667,0.273188405797101,0.283333333333333,0.426846528084918,0.333333333333333,0.1,0.34047619047619,0.406527777777778,0.337777777777778,0.26,0.295,-0.428282828282828,0.510690235690236,0.510690235690236,-0.580998389694042,0.68844484358629,0.526818181818182,0.456818181818182,0.456818181818182,0.456818181818182,-0.551269609527081,-0.43664312039312,-0.519230769230769,0.68109243697479,0.592857142857143,0.6,0.5,0.5,0.4,0.4,0.3,0.3,0.2,0.6,0,-0.3,0.1,-0.33,0.459027417027417,-0.39030303030303
"NOTCH",0.38306990881459,0.407417624521073,0.331555555555555,0.255555555555556,0.2,0.350952380952381,0.2,0.309153005464481,0.286666666666667,0.22,0.171014492753623,0.0814285714285714,0.0714285714285714,0.159294871794872,0.0333333333333333,0.0888888888888889,0.133333333333333,0.0833333333333333,0.376839464882943,0.0333333333333333,0,0.230467270691235,0.196945812807882,0.231428571428571,0.16,0.167368421052632,-0.46207729468599,0.52133655394525,0.52133655394525,-0.537740384615385,0.558239794963894,0.343333333333333,0.27,0.27,0.27,-0.592108123569794,-0.305110173464604,-0.529264069264069,0.537740384615385,0.462740384615385,0.384615384615385,0.3,0.384615384615385,0.2,0.3,0.1,0.2,0.1,0.390909090909091,0,0,0,-0.121794871794872,0.384487756121939,-0.28762157382847
"cateninnuc",0.630373903115749,0.657081285927454,0.591758705282293,0.521461675579323,0.44969696969697,0.54339146567718,0.366666666666667,0.526288664333047,0.487755102040816,0.425850340136054,0.161657873955904,0.149527847323452,0.132417581163756,0.440459244195899,0.417142857142857,0.470766045548654,0.516004140786749,0.359523809523809,0.672934402761989,0.307142857142857,0.357142857142857,0.612353432282004,0.671262287951283,0.610105263157895,0.542105263157895,0.392954545454545,-0.405223880597015,0.524181965007039,0.524181965007039,-0.849448529676598,0.962020948149379,0.714059819151403,0.651954555993508,0.651954555993508,0.651954555993508,-0.808026860884913,-0.55805679480533,-0.529759461832052,0.849516337123066,0.869979966219789,0.78595709111173,0.697297297297297,0.785898333566727,0.6,0.697297297297297,0.5,0.6,0.5,0.890925196850394,-0.3,-0.25,0.4,-0.402380952380952,0.572619337202831,-0.503159177986764
"TWIST1",0.63846605062274,0.649805724397938,0.573780487804878,0.491666666666667,0.4,0.530840336134454,0.28,0.567437251216706,0.459411764705882,0.38,0.247985347985348,0.247636620577797,0.223192176133353,0.549771003942978,0.383333333333333,0.450900900900901,0.516900900900901,0.436904761904762,0.654544017701913,0.375,0.3,0.602815794752914,0.548831168831169,0.470909090909091,0.390909090909091,0.37005376344086,-0.428498168498168,0.536673061550759,0.536673061550759,-0.892147583221684,0.99416941785424,0.615460136037966,0.543585136037966,0.543585136037966,0.543585136037966,-0.97388069936196,-0.520993125876165,-0.5415788411064,0.892153688103555,0.798089171974522,0.7,0.6,0.7,0.5,0.6,0.4,0.5,0.4,0.7,-0.2,-0.3,0.3,-0.496904761904762,0.551449631504237,-0.519038091003409
"TGF",0.537045454545454,0.554871794871795,0.593333333333333,0.526666666666667,0.46,0.474670008354219,0.333333333333333,0.445670524166099,0.423558897243108,0.376190476190476,0.231850419084462,0.22603128054741,0.211515151515151,0.267701149425287,0.258333333333333,0.315476190476191,0.341791979949875,0.203333333333333,0.4834421534937,0.153333333333333,0.233333333333333,0.334896106545433,0.391481481481481,0.343333333333333,0.273333333333333,0.181578947368421,-0.507068395626748,0.559795668354021,0.559795668354021,-0.552451694646817,0.55907805923926,0.417625248688732,0.346491228070175,0.346491228070175,0.346491228070175,-0.608228351627732,-0.389058524173028,-0.567284583232859,0.552610115841041,0.473962429008301,0.39047619047619,0.3,0.39047619047619,0.2,0.3,0.1,0.2,0.1,0.393939393939394,-0.2,-0.133333333333333,0,-0.234367816091954,0.215761009884632,-0.411688311688312
"cfos",0.418141256502601,0.445714285714286,0.385714285714286,0.314285714285714,0.242857142857143,0.391694152923538,0.32,0.334380695674496,0.336521739130435,0.28,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.171804511278195,0.0833333333333333,0.120833333333333,0.161373873873874,0.10952380952381,0.408514077987762,0.0761904761904762,0.0333333333333333,0.248411626651941,0.232598870056497,0.176666666666667,0.116666666666667,0.1975,-0.509936507936508,0.563038548752834,0.563038548752834,-0.59651759499263,0.621861552332459,0.395923261390887,0.333333333333333,0.333333333333333,0.333333333333333,-0.63882191539296,-0.348198051948052,-0.573962902439724,0.596109692539088,0.527378129117259,0.453748006379585,0.381818181818182,0.456363636363636,0.3,0.381818181818182,0.2,0.3,0.2,0.469108669108669,0,-0.0333333333333333,0.1,-0.142857142857143,0.431145131942633,-0.324732738525842
"CDC42",0.418141256502601,0.445714285714286,0.385714285714286,0.314285714285714,0.342857142857143,0.391694152923538,0.22,0.334380695674496,0.336521739130435,0.28,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.171804511278195,0.0833333333333333,0.120833333333333,0.161373873873874,0.10952380952381,0.408514077987762,0.0761904761904762,0.0333333333333333,0.248411626651941,0.232598870056497,0.176666666666667,0.116666666666667,0.1975,-0.509936507936508,0.563038548752834,0.563038548752834,-0.59651759499263,0.621861552332459,0.395923261390887,0.333333333333333,0.333333333333333,0.333333333333333,-0.63882191539296,-0.348198051948052,-0.573962902439724,0.596109692539088,0.527378129117259,0.453748006379585,0.381818181818182,0.456363636363636,0.3,0.381818181818182,0.2,0.3,0.2,0.469108669108669,0,-0.0333333333333333,0.1,-0.142857142857143,0.431145131942633,-0.324732738525842
"FUS",0.566797782942964,0.68714259051885,0.616929824561404,0.545,0.475,0.489856490541422,0.3,0.473642494034651,0.430952380952381,0.366666666666667,0.151518374099019,0.155012531328321,0.139298245614035,0.418438818565401,0.216666666666667,0.273188405797101,0.323188405797101,0.33,0.498721528084918,0.283333333333333,0.15,0.396228402865571,0.473194444444445,0.406527777777778,0.337777777777778,0.331585365853659,-0.488282828282828,0.572118807118807,0.572118807118807,-0.663233346714099,0.775717570859017,0.594603416717511,0.526818181818182,0.526818181818182,0.526818181818182,-0.627585399000765,-0.488128268907972,-0.579458041958042,0.763478800611154,0.68109243697479,0.692982456140351,0.6,0.592857142857143,0.5,0.5,0.4,0.4,0.3,0.695652173913043,-0.1,-0.333333333333333,0.2,-0.376666666666667,0.50647267250187,-0.44780303030303
"NOTCHic",0.44236194421282,0.47144640149949,0.407417624521073,0.331555555555555,0.255555555555556,0.412717086834734,0.22,0.353661675984712,0.350952380952381,0.286666666666667,0.184860646599777,0.0979753340184995,0.0814285714285714,0.191853011329755,0.0888888888888889,0.133333333333333,0.179674796747967,0.121794871794872,0.440901964882943,0.0833333333333333,0.0333333333333333,0.275628561013815,0.258139842658628,0.196945812807882,0.231428571428571,0.229273182957393,-0.515648723257419,0.575535027227692,0.575535027227692,-0.611073717948718,0.634391556481509,0.408602794411178,0.343333333333333,0.343333333333333,0.343333333333333,-0.659883955443699,-0.355605222969554,-0.585477087015548,0.610699568288854,0.537740384615385,0.46037296037296,0.384615384615385,0.462740384615385,0.3,0.384615384615385,0.2,0.3,0.2,0.474242424242424,0,-0.0333333333333333,0.1,-0.159294871794872,0.428907887412968,-0.33986037979862
"TGFR",0.589426406926407,0.613601953601954,0.554871794871795,0.593333333333333,0.526666666666667,0.51974043088943,0.376190476190476,0.489440492217218,0.474670008354219,0.423558897243108,0.248268329532223,0.239198540333886,0.22603128054741,0.301436089184323,0.315476190476191,0.341791979949875,0.375938321413289,0.234367816091954,0.545181283928483,0.203333333333333,0.258333333333333,0.381677222425262,0.444707287933094,0.391481481481481,0.343333333333333,0.227033492822967,-0.557068395626748,0.609212010766472,0.609212010766472,-0.625556129553827,0.635530658627639,0.481709755730986,0.417625248688732,0.417625248688732,0.417625248688732,-0.673546270702877,-0.438912751578276,-0.616834132782409,0.625505978893823,0.552610115841041,0.472619047619048,0.39047619047619,0.473962429008301,0.3,0.39047619047619,0.2,0.3,0.2,0.481367965367965,-0.233333333333333,-0.153333333333333,0.1,-0.267701149425287,0.263060087618492,-0.455627705627706
"PAK1",0.467753659603376,0.499365079365079,0.445714285714286,0.385714285714286,0.314285714285714,0.450559401150489,0.28,0.375399462430528,0.391694152923538,0.336521739130435,0.100476967398654,0.109141581552447,0.0933521078682369,0.204401196361068,0.120833333333333,0.161373873873874,0.198628775834658,0.142857142857143,0.464145477305168,0.10952380952381,0.0833333333333333,0.292686435812246,0.282917341394077,0.232598870056497,0.176666666666667,0.240053191489362,-0.554936507936508,0.610018414524647,0.610018414524647,-0.66206783422708,0.690429359683536,0.45615380894132,0.395923261390887,0.395923261390887,0.395923261390887,-0.698270414987445,-0.392592670782133,-0.620664749405423,0.661701090388551,0.596109692539088,0.523960772337032,0.453748006379585,0.527378129117259,0.381818181818182,0.456363636363636,0.3,0.381818181818182,0.3,0.543781158191639,-0.0333333333333333,-0.0761904761904762,0.2,-0.171804511278195,0.47118619970444,-0.368262150290548
"LIV1",0.467753659603376,0.499365079365079,0.445714285714286,0.385714285714286,0.314285714285714,0.450559401150489,0.28,0.375399462430528,0.391694152923538,0.336521739130435,0.100476967398654,0.109141581552447,0.0933521078682369,0.204401196361068,0.120833333333333,0.161373873873874,0.198628775834658,0.142857142857143,0.464145477305168,0.10952380952381,0.0833333333333333,0.292686435812246,0.282917341394077,0.232598870056497,0.176666666666667,0.240053191489362,-0.554936507936508,0.610018414524647,0.610018414524647,-0.66206783422708,0.690429359683536,0.45615380894132,0.395923261390887,0.395923261390887,0.395923261390887,-0.698270414987445,-0.392592670782133,-0.620664749405423,0.661701090388551,0.596109692539088,0.523960772337032,0.453748006379585,0.527378129117259,0.381818181818182,0.456363636363636,0.3,0.381818181818182,0.3,0.543781158191639,-0.0333333333333333,-0.0761904761904762,0.2,-0.171804511278195,0.47118619970444,-0.368262150290548
"EGR1",0.467753659603376,0.499365079365079,0.445714285714286,0.385714285714286,0.314285714285714,0.450559401150489,0.28,0.375399462430528,0.391694152923538,0.336521739130435,0.100476967398654,0.109141581552447,0.0933521078682369,0.204401196361068,0.120833333333333,0.161373873873874,0.198628775834658,0.142857142857143,0.464145477305168,0.10952380952381,0.0833333333333333,0.292686435812246,0.282917341394077,0.232598870056497,0.176666666666667,0.240053191489362,-0.554936507936508,0.610018414524647,0.610018414524647,-0.66206783422708,0.690429359683536,0.45615380894132,0.395923261390887,0.395923261390887,0.395923261390887,-0.698270414987445,-0.392592670782133,-0.620664749405423,0.661701090388551,0.596109692539088,0.523960772337032,0.453748006379585,0.527378129117259,0.381818181818182,0.456363636363636,0.3,0.381818181818182,0.3,0.543781158191639,-0.0333333333333333,-0.0761904761904762,0.2,-0.171804511278195,0.47118619970444,-0.368262150290548
"Csl",0.4951858644786,0.528394630382324,0.47144640149949,0.407417624521073,0.331555555555555,0.474847264349527,0.286666666666667,0.397625229515464,0.412717086834734,0.350952380952381,0.206429274050757,0.115791425972522,0.0979753340184995,0.227462767427316,0.133333333333333,0.179674796747967,0.221341463414634,0.159294871794872,0.499966292368323,0.121794871794872,0.0888888888888889,0.323454647970337,0.312487668745585,0.258139842658628,0.196945812807882,0.272130325814536,-0.564178135022125,0.625827424888511,0.625827424888511,-0.680959491572809,0.707128742959154,0.471012432965395,0.408602794411178,0.408602794411178,0.408602794411178,-0.723252376496331,-0.401672638699891,-0.635821914601755,0.680616580736987,0.610699568288854,0.534606089207316,0.46037296037296,0.537740384615385,0.384615384615385,0.462740384615385,0.3,0.384615384615385,0.3,0.552600633197648,-0.0333333333333333,-0.0833333333333333,0.2,-0.191853011329755,0.47006405652427,-0.387124061390659
"ZEB1",0.517212828127053,0.56318665292218,0.505625677312424,0.444179894179894,0.375925925925926,0.396945604955208,0.216666666666667,0.394348806264495,0.340295358649789,0.283333333333333,0.18729190164674,0.183153973333417,0.168217264472657,0.308045267489712,0.228888888888889,0.266819923371648,0.310819923371647,0.238333333333333,0.576678787878788,0.205,0.173333333333333,0.418402754983523,0.426693191865606,0.369770114942529,0.315747126436782,0.326605363984674,-0.563108737878099,0.626283120741559,0.626283120741559,-0.781807788108462,0.708699880959257,0.572302697302697,0.511263736263736,0.511263736263736,0.511263736263736,-0.723606757373062,-0.471323134404305,-0.643708523271342,0.78168622184144,0.713634513623526,0.638429118773946,0.563984674329502,0.641348139489577,0.486206896551724,0.566206896551724,0.4,0.486206896551724,0.4,0.655016310943363,-0.133333333333333,-0.158333333333333,0.3,-0.273888888888889,0.520675117415181,-0.362311368936342
"SMAD",0.529738181488488,0.56003314159557,0.502442780149787,0.440659340659341,0.371428571428571,0.485325398072336,0.314285714285714,0.427053010267952,0.42575092998723,0.369124423963134,0.229016604874041,0.120001868233314,0.204578982661174,0.325075715327608,0.238888888888889,0.280555555555556,0.323001598721023,0.255968468468468,0.510103626943005,0.220833333333333,0.205555555555556,0.4184807096435,0.407478070175439,0.352239974937343,0.294345238095238,0.273457223001403,-0.578266168200043,0.637371149289952,0.637371149289952,-0.684355200482691,0.709770995668136,0.544896434159214,0.482887700534759,0.482887700534759,0.482887700534759,-0.72647469180206,-0.43202890285859,-0.646308526760788,0.684405566941207,0.615259561431565,0.539620653319283,0.463796477495108,0.542532288704293,0.385714285714286,0.465995975855131,0.3,0.385714285714286,0.3,0.555649462171201,-0.15,-0.183333333333333,0.2,-0.290621933815003,0.371390294997051,-0.405219099323903
"TCFLEF",0.734293268880278,0.755093766448605,0.697277389277389,0.635944055944056,0.563636363636364,0.606284222596004,0.43984962406015,0.53597199896807,0.556726700472111,0.505563909774436,0.214331721544247,0.200467737935823,0.184558647026732,0.37333471040238,0.305974025974026,0.340589410589411,0.378089410589411,0.300989010989011,0.668834562697576,0.263846153846154,0.251428571428571,0.453566945237843,0.533943358581846,0.481233998975934,0.428456221198157,0.277401887729757,-0.482207986915633,0.639979591309515,0.639979591309515,-0.740674233445318,0.854213743138006,0.607987666699101,0.547461350909627,0.547461350909627,0.547461350909627,-0.796187102078485,-0.504539232395442,-0.648191875806824,0.740684185304502,0.66260199352368,0.677408148226129,0.589830508474576,0.67836554032171,0.5,0.589830508474576,0.4,0.5,0.4,0.984055268288548,-0.171428571428571,-0.21,0.3,-0.335682888540031,0.507424931283415,-0.510810599909312
"GLI",0.522509336939605,0.649405760440243,0.594811165845649,0.536190476190476,0.468333333333333,0.565576441102757,0.402857142857143,0.431774928092042,0.511190476190476,0.461190476190476,0.15473324072645,0.159142189758098,0.144856475472383,0.342097660914682,0.175730994152047,0.20906432748538,0.247907302691992,0.276753539253539,0.489028353195915,0.247023809523809,0.138888888888889,0.326026016354693,0.32230445951982,0.270391891213809,0.21970695970696,0.245027685492802,-0.588797564687976,0.643644774538996,0.643644774538996,-0.675113655186071,0.70065715201863,0.537459557340832,0.476861053600184,0.476861053600184,0.476861053600184,-0.715495840844583,-0.473843168784614,-0.653448617854125,0.675249168150414,0.607835726195221,0.533458689458689,0.559384615384615,0.536262122134307,0.484,0.46141935483871,0.4,0.384,0.3,0.54961411525768,-0.0833333333333333,-0.20952380952381,0.2,-0.309362234905713,0.425464269017891,-0.419544022910857
"SNAI1",0.515201107050824,0.550790110344014,0.499365079365079,0.445714285714286,0.385714285714286,0.50043533167158,0.336521739130435,0.31575773429565,0.450559401150489,0.391694152923538,0.119625903568866,0.122578274058907,0.109141581552447,0.237434904226237,0.161373873873874,0.198628775834658,0.238552730207282,0.171804511278195,0.517991631151322,0.142857142857143,0.120833333333333,0.336387835501204,0.333540782790586,0.282917341394077,0.232598870056497,0.274817139987216,-0.597607517708495,0.653901393248051,0.653901393248051,-0.724000201376839,0.755426830599065,0.510426838908023,0.45615380894132,0.45615380894132,0.45615380894132,-0.754764130746388,-0.433687371042776,-0.665349991923483,0.72355080137121,0.661701090388551,0.592168864822581,0.523960772337032,0.596109692539088,0.453748006379585,0.527378129117259,0.381818181818182,0.456363636363636,0.381818181818182,0.614907918755019,-0.0833333333333333,-0.10952380952381,0.3,-0.204401196361068,0.50787163815979,-0.411185584165258
