"","FOXC2","TGF","TGFR","CDC42","PAK1","HEY1","MEK","SMAD","ERK","EGR1","SNAI1","cfos","SHH","SMO","FUS","Jagged","TWIST1","NOTCH","NOTCHic","GSK3","Csl","KLF4","SOSGRB2","cateninmemb","SNAI2","ZEB2","ZEB1","Ecadherin","miR200","TrCP","cateninnuc","GLI","TCFLEF","Wnt","CD44","Frizzled","cMet","SRC","DSH","RAS","STAT","RAF","PI3K","DELTA","AKT","IKK","AXIN2","Destcompl","SUFU","NFB","LIV1","Csn","Patched","RKIP"
"cMet",0.400804356933389,0.402608695652174,0.37,0.35,0.3,0.21781905744754,0.41688679245283,0.210582010582011,0.415,0.325,0.399915080003576,0.385,0.205397727272727,0.15,0.15,0.225487990270599,0.389358581493413,0.278555083360575,0.24812030075188,-0.239603484942032,0.242857142857143,-0.319241192411924,0.0109523809523809,-0.196421875615424,0.488233889931307,0.455975886289475,0.455975886289475,-0.33141125486395,-0.465677478720957,-0.1,0.165383192389006,0.086969696969697,0.131860465116279,0.0233333333333333,0.0861240310077519,-0.05,0.0233333333333333,0.05,-0.1,0.238691473542959,0,0.196117216117216,0.196117216117216,0.196117216117216,0.158974358974359,0.166666666666667,0.0419047619047619,-0.120861236054045,-0.1,0.2,0.1,0.1,-0.177272727272727,-0.44962962962963
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.166666666666667,0.286666666666667,0.0714285714285714,0.22,0.1,0.263636363636364,0.2,0.121794871794872,0.0333333333333333,0,0.166493506493506,0.293,0.231428571428571,0.16,-0.261538461538462,0.1,-0.405555555555556,0.12,-0.431991951710262,0.43868778280543,0.46207729468599,0.46207729468599,-0.513017543859649,-0.472121212121212,0,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.1,0.2,0.1,0,0.26,0,0.18,0.18,0.18,0.1,0,0.28,0.301666666666667,0,0,0,0,-0.0833333333333333,-0.235897435897436
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.166666666666667,0.286666666666667,0.0714285714285714,0.22,0.1,0.263636363636364,0.2,0.121794871794872,0.0333333333333333,0,0.166493506493506,0.293,0.231428571428571,0.16,-0.261538461538462,0.1,-0.405555555555556,0.12,-0.431991951710262,0.43868778280543,0.46207729468599,0.46207729468599,-0.513017543859649,-0.472121212121212,0,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.1,0.2,0.1,0,0.26,0,0.18,0.18,0.18,0.1,0,0.28,0.301666666666667,0,0,0,0,-0.0833333333333333,-0.235897435897436
"NFB",0.543537414965986,0.574675790159661,0.528869338546758,0.469191919191919,0.405555555555556,0.198011573050273,0.305832860296436,0.199645631698001,0.252190476190476,0.142857142857143,0.324814554908264,0.178857142857143,0.281035559863977,0.228148148148148,0.18,0.313312588916683,0.568306567810142,0.403174603174603,0.362914862914863,-0.254873163369164,0.307359307359307,-0.414826274049575,0.336627598407784,-0.612536455888411,0.698777264945049,0.474994303941672,0.474994303941672,-0.730753132551571,-0.479299732959996,-0.2,0.465781113895908,0.409947181407856,0.439382374731212,0.376239316239316,0.40957264957265,0.331623931623932,0.376239316239316,0.331623931623932,0.277777777777778,0.416349293707577,0.277777777777778,0.381159420289855,0.381159420289855,0.381159420289855,0.333333333333333,0.278947368421053,0.443520770010132,0.161155693296158,-0.12,0.2,0.2,0.233333333333333,-0.2557343550447,-0.316140350877193
"SRC",0.408369554718439,0.400483978638184,0.369642857142857,0.345833333333333,0.333333333333333,0.126804038397881,0.333142748237088,0.113934329065908,0.316161616161616,0.3,0.30733709273183,0.327272727272727,0.0953812636165577,0.0533333333333333,0.0333333333333333,0.110475770406963,0.258614718614719,0.168809523809524,0.143809523809524,-0.150504758399495,0.12,-0.354328165374677,0.00857142857142857,-0.109673701541685,0.207151486620042,0.480933117583603,0.480933117583603,-0.273239538239538,-0.492977602108037,-0.1,0.0810753176206995,0.0344262295081967,0.0612554978008796,0,0.0344262295081967,-0.05,0,-0.05,-0.1,0.21871823570866,0,0.191586452762923,0.191586452762923,0.191586452762923,0.164313725490196,0.146666666666667,-0.0271686004505079,-0.0775337855707183,-0.0333333333333333,0.166666666666667,0,0.2,-0.0718518518518519,-0.404862181133368
"SMO",0.431379310344828,0.52490990990991,0.481666666666667,0.44,0.4,0.128937728937729,0.393240093240093,0.134285714285714,0.353846153846154,0.2,0.363540422142573,0.3,0.324166666666667,0.253333333333333,0.333333333333333,0.239312169312169,0.284858387799564,0.323787878787879,0.278787878787879,-0.335128205128205,0.233333333333333,-0.413888888888889,0.255263157894737,-0.399283850088736,0.458517788724685,0.482485875706215,0.482485875706215,-0.446083963266817,-0.492374924653406,0,0.302911242507563,0.344444444444444,0.275091693635383,0.3,0.241111111111111,0.25,0.196666666666667,0.15,0.2,0.382535912882298,0.1,0.347596153846154,0.347596153846154,0.347596153846154,0.303846153846154,0.25,0.366472607851918,0.319830365712719,-0.3,0.2,0.1,0.1,-0.290833333333333,-0.352857142857143
"TWIST1",0.535550937601771,0.522829501516769,0.484016716128642,0.439712918660287,0.381818181818182,0.243962359479601,0.476037439126342,0.238269497627988,0.430763807285546,0.28,0.478980958528119,0.371304347826087,0.458890115631886,0.391555555555556,0.355555555555556,0.41039968719255,0.464050355774494,0.418978736148547,0.378412698412698,-0.401903760379256,0.335555555555555,-0.403063660477454,0.315091138641206,-0.658136921107608,0.730651863426833,0.487288035699251,0.487288035699251,-0.826837525575663,-0.495299744668609,-0.1,0.469880274949822,0.41858813700919,0.446065246048087,0.385254803675856,0.417647427307688,0.348412698412698,0.384582911178656,0.348412698412698,0.309523809523809,0.451151188936656,0.309523809523809,0.4196632996633,0.4196632996633,0.4196632996633,0.381481481481481,0.333333333333333,0.461080635782128,0.398693197019457,-0.3,0.28,0.266666666666667,0.2,-0.428541856925419,-0.461308842823406
"NOTCH",0.378814589665653,0.398222222222222,0.331555555555555,0.255555555555556,0.2,0.171014492753623,0.350952380952381,0.0814285714285714,0.286666666666667,0.2,0.305571847507331,0.22,0.151206636500754,0.0833333333333333,0.0333333333333333,0.196123136123136,0.345727272727273,0.186267281105991,0.231428571428571,-0.304038461538462,0.16,-0.46207729468599,0.167368421052632,-0.483824412443246,0.487894132011779,0.523615756224452,0.523615756224452,-0.573180145485665,-0.530944741532977,0,0.383459339014895,0.314685314685315,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.311515151515152,0.1,0.26,0.26,0.26,0.18,0.1,0.338490566037736,0.331810207336523,0,0,0,0,-0.121794871794872,-0.291452991452991
"FUS",0.472318907660264,0.566531531531532,0.52490990990991,0.481666666666667,0.44,0.144879757923236,0.431171127722852,0.145253456221198,0.393240093240093,0.3,0.392727025013386,0.353846153846154,0.349419191919192,0.290833333333333,0.253333333333333,0.265818193408555,0.32107460401578,0.362424242424242,0.323787878787879,-0.359776092452149,0.278787878787879,-0.461429872495446,0.274493927125506,-0.437831336122255,0.494244898239946,0.527485875706215,0.527485875706215,-0.489137608383736,-0.537098542743858,-0.1,0.326240028319296,0.379059829059829,0.302911242507563,0.344444444444444,0.275091693635383,0.3,0.241111111111111,0.196666666666667,0.25,0.41262440845752,0.15,0.382535912882298,0.382535912882298,0.382535912882298,0.347596153846154,0.303846153846154,0.404360806609682,0.338239791338639,-0.333333333333333,0.25,0.1,0.2,-0.324166666666667,-0.393282674772036
"TGF",0.527946300471408,0.543627746921034,0.583231707317073,0.5125,0.45,0.231212121212121,0.471177944862155,0.222931108258451,0.414035087719298,0.333333333333333,0.444090023037391,0.366666666666667,0.266666666666667,0.203333333333333,0.153333333333333,0.31923674151935,0.462105263157895,0.384814814814815,0.336666666666667,-0.417233250620347,0.266666666666667,-0.504457364341085,0.178151260504202,-0.51144551606129,0.507668806477655,0.560012919896641,0.560012919896641,-0.596389299802761,-0.567226107226107,-0.1,0.423451533723537,0.339731682146543,0.385186227601088,0.278947368421053,0.339731682146543,0.2,0.278947368421053,0.2,0.1,0.379111111111111,0.1,0.321111111111111,0.321111111111111,0.321111111111111,0.26,0.2,0.354415954415954,0.234143955276031,-0.133333333333333,0.1,0,0.1,-0.236666666666667,-0.414978354978355
"cfos",0.409080555299043,0.428832653061225,0.381632653061225,0.314285714285714,0.242857142857143,0.0813593203398301,0.392885375494071,0.0938359788359788,0.336521739130435,0.32,0.325535762483131,0.28,0.159543721909313,0.10952380952381,0.0761904761904762,0.208611111111111,0.366618357487923,0.213369963369963,0.17051282051282,-0.349175563293143,0.116666666666667,-0.512103174603175,0.193055555555556,-0.532324570288551,0.536507936507937,0.564055882818828,0.564055882818828,-0.612577717363603,-0.575417224440355,0,0.427691426886549,0.364990253411306,0.398985985985986,0.328148148148148,0.365985985985986,0.28,0.328148148148148,0.28,0.2,0.356915535444947,0.2,0.314607843137255,0.314607843137255,0.314607843137255,0.261666666666667,0.175,0.39512315270936,0.369690082735103,-0.0333333333333333,0.1,0.1,0,-0.138556067588326,-0.324162679425837
"CDC42",0.409080555299043,0.428832653061225,0.381632653061225,0.314285714285714,0.342857142857143,0.0813593203398301,0.392885375494071,0.0938359788359788,0.336521739130435,0.22,0.325535762483131,0.28,0.159543721909313,0.10952380952381,0.0761904761904762,0.208611111111111,0.366618357487923,0.213369963369963,0.17051282051282,-0.349175563293143,0.116666666666667,-0.512103174603175,0.193055555555556,-0.532324570288551,0.536507936507937,0.564055882818828,0.564055882818828,-0.612577717363603,-0.575417224440355,0,0.427691426886549,0.364990253411306,0.398985985985986,0.328148148148148,0.365985985985986,0.28,0.328148148148148,0.28,0.2,0.356915535444947,0.2,0.314607843137255,0.314607843137255,0.314607843137255,0.261666666666667,0.175,0.39512315270936,0.369690082735103,-0.0333333333333333,0.1,0.1,0,-0.138556067588326,-0.324162679425837
"NOTCHic",0.4258231366742,0.444888888888889,0.398222222222222,0.331555555555555,0.255555555555556,0.184860646599777,0.411558441558442,0.0984656084656085,0.350952380952381,0.22,0.338168532590204,0.286666666666667,0.173787281662044,0.121794871794872,0.0833333333333333,0.221950950692673,0.384289364230541,0.229510524349234,0.186267281105991,-0.337959166384277,0.231428571428571,-0.517632850241546,0.221913875598086,-0.530245680336906,0.529476282113199,0.574384986993683,0.574384986993683,-0.623647435205292,-0.585161609002856,0,0.41185440074329,0.350169185653057,0.383459339014895,0.314685314685315,0.350949050949051,0.269230769230769,0.314685314685315,0.269230769230769,0.2,0.353053613053613,0.2,0.311515151515152,0.311515151515152,0.311515151515152,0.26,0.18,0.38293501048218,0.355570891097207,-0.0333333333333333,0.1,0.1,0,-0.151206636500754,-0.335570638511815
"TCFLEF",0.616491162805875,0.605406084592131,0.577703381889428,0.547227191413238,0.507692307692308,0.202196974022267,0.527084460255192,0.185311433924617,0.500511033681765,0.431428571428571,0.435157433940329,0.472891986062718,0.282916325049711,0.24047619047619,0.216666666666667,0.283584454025305,0.431137535515101,0.395151418537358,0.370572293958234,-0.357301945029106,0.345082097879802,-0.440217532467532,0.200614156302779,-0.438584284784246,0.485726124546828,0.576478562546976,0.576478562546976,-0.607700141931544,-0.587569916855631,-0.2,0.210674489630019,0.270326282129351,0.190899014673197,0.2411337355455,0.266388082567328,0.209509803921569,0.237457264957265,0.205833333333333,0.174509803921569,0.408859152241505,0.170833333333333,0.384260221760222,0.384260221760222,0.384260221760222,0.358252895752896,0.333252895752896,0.601418315018315,0.324319182404941,-0.183333333333333,0.308928571428571,0.133333333333333,0.271428571428571,-0.261443932411674,-0.436514998314796
"PAK1",0.444587801675854,0.464628107606679,0.428832653061225,0.381632653061225,0.314285714285714,0.1010562900368,0.442885375494071,0.109272220446717,0.392885375494071,0.28,0.356189028814789,0.336521739130435,0.183013109664415,0.138556067588326,0.10952380952381,0.234861111111111,0.399572902942468,0.246330857224712,0.213369963369963,-0.378055720464066,0.17051282051282,-0.555692918192918,0.226388888888889,-0.571803155018533,0.572110512404901,0.605947774710719,0.605947774710719,-0.654581981755927,-0.6174385010361,0,0.451916778999225,0.39799517951968,0.427691426886549,0.364990253411306,0.398985985985986,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.394031374688446,0.28,0.356915535444947,0.356915535444947,0.356915535444947,0.314607843137255,0.261666666666667,0.433097836253663,0.389875697584291,-0.0761904761904762,0.175,0.2,0.1,-0.159543721909313,-0.359422795032774
"LIV1",0.444587801675854,0.464628107606679,0.428832653061225,0.381632653061225,0.314285714285714,0.1010562900368,0.442885375494071,0.109272220446717,0.392885375494071,0.28,0.356189028814789,0.336521739130435,0.183013109664415,0.138556067588326,0.10952380952381,0.234861111111111,0.399572902942468,0.246330857224712,0.213369963369963,-0.378055720464066,0.17051282051282,-0.555692918192918,0.226388888888889,-0.571803155018533,0.572110512404901,0.605947774710719,0.605947774710719,-0.654581981755927,-0.6174385010361,0,0.451916778999225,0.39799517951968,0.427691426886549,0.364990253411306,0.398985985985986,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.394031374688446,0.28,0.356915535444947,0.356915535444947,0.356915535444947,0.314607843137255,0.261666666666667,0.433097836253663,0.389875697584291,-0.0761904761904762,0.175,0.2,0.1,-0.159543721909313,-0.359422795032774
"EGR1",0.444587801675854,0.464628107606679,0.428832653061225,0.381632653061225,0.314285714285714,0.1010562900368,0.442885375494071,0.109272220446717,0.392885375494071,0.28,0.356189028814789,0.336521739130435,0.183013109664415,0.138556067588326,0.10952380952381,0.234861111111111,0.399572902942468,0.246330857224712,0.213369963369963,-0.378055720464066,0.17051282051282,-0.555692918192918,0.226388888888889,-0.571803155018533,0.572110512404901,0.605947774710719,0.605947774710719,-0.654581981755927,-0.6174385010361,0,0.451916778999225,0.39799517951968,0.427691426886549,0.364990253411306,0.398985985985986,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.394031374688446,0.28,0.356915535444947,0.356915535444947,0.356915535444947,0.314607843137255,0.261666666666667,0.433097836253663,0.389875697584291,-0.0761904761904762,0.175,0.2,0.1,-0.159543721909313,-0.359422795032774
"ZEB1",0.462111824345867,0.492958461769766,0.45739360821328,0.413131313131313,0.355555555555556,0.183310982239942,0.365779658937554,0.178281513260839,0.321282051282051,0.21,0.347525105065251,0.27,0.270403991785393,0.224404761904762,0.195833333333333,0.33213015345344,0.468468325648726,0.360316091954023,0.325833333333333,-0.417397743421549,0.28625,-0.552103494623656,0.293964376590331,-0.640060842557787,0.523250059710023,0.606660637418547,0.606660637418547,-0.644777728255325,-0.624058047437835,-0.1,0.493470731389736,0.447675070028011,0.471727141646146,0.418389355742297,0.446139313153754,0.383095238095238,0.416897435897436,0.380897435897436,0.338095238095238,0.463428397223464,0.335897435897436,0.431663691341111,0.431663691341111,0.431663691341111,0.393414843414843,0.342063492063492,0.477630650283918,0.420459444670437,-0.158333333333333,0.277777777777778,0.266666666666667,0.2,-0.248894557823129,-0.334983957219251
"TGFR",0.574744330028058,0.593234046133632,0.543627746921034,0.583231707317073,0.5125,0.245033259423503,0.517209690893901,0.237659790428994,0.471177944862155,0.366666666666667,0.480723686403728,0.414035087719298,0.293939393939394,0.236666666666667,0.203333333333333,0.349976041130245,0.505188267110464,0.428564814814815,0.384814814814815,-0.456216301467805,0.336666666666667,-0.556932611865838,0.222455057972556,-0.562677043154886,0.554880702388436,0.609592751829414,0.609592751829414,-0.650263838548149,-0.617552904611728,-0.1,0.455265398870736,0.384937161598598,0.423451533723537,0.339731682146543,0.385186227601088,0.278947368421053,0.339731682146543,0.278947368421053,0.2,0.425690915671372,0.2,0.379111111111111,0.379111111111111,0.379111111111111,0.321111111111111,0.26,0.408262108262108,0.262872025451469,-0.153333333333333,0.2,0.1,0.1,-0.266666666666667,-0.456710638442922
"Csl",0.461152477991566,0.480251886546968,0.444888888888889,0.398222222222222,0.331555555555555,0.207008297606488,0.460996643805633,0.115132275132275,0.411558441558442,0.286666666666667,0.369302553208761,0.350952380952381,0.198348685170816,0.151206636500754,0.121794871794872,0.2489350776768,0.417310441513913,0.263151077344626,0.229510524349234,-0.365858852904653,0.186267281105991,-0.562818035426731,0.25249238799478,-0.569625525298147,0.564725903898373,0.617324468261694,0.617324468261694,-0.665859087999584,-0.628472266599228,0,0.435879997020195,0.382689510856309,0.41185440074329,0.350169185653057,0.383459339014895,0.314685314685315,0.350949050949051,0.314685314685315,0.269230769230769,0.388916990662721,0.269230769230769,0.353053613053613,0.353053613053613,0.353053613053613,0.311515151515152,0.26,0.419885914874945,0.374897574388977,-0.0833333333333333,0.18,0.2,0.1,-0.173787281662044,-0.372412743774973
"SMAD",0.471062734420805,0.488160726086155,0.452087666725424,0.404990892531876,0.337777777777778,0.224824025812857,0.466668180785828,0.116615699810262,0.417478991596639,0.291428571428571,0.387978119847262,0.355714285714286,0.303202606726741,0.253968253968254,0.226190476190476,0.35115992654598,0.422958020362243,0.363653571945196,0.329124423963134,-0.368538311549064,0.286267281105991,-0.571942355889724,0.254898806434873,-0.574691233748865,0.569022832171955,0.626969696969697,0.626969696969697,-0.671454533639722,-0.638762109864267,0,0.441465306237422,0.386728535968003,0.416847309633008,0.353131698023339,0.387524001362332,0.316289592760181,0.353924001362332,0.316289592760181,0.269230769230769,0.391736107635593,0.269230769230769,0.354952373809345,0.354952373809345,0.354952373809345,0.312238805970149,0.26,0.422872755035403,0.378220944474245,-0.183333333333333,0.18,0.2,0.1,-0.27767959417444,-0.390752109108039
"GLI",0.502605351992349,0.619969696969697,0.579969696969697,0.531969696969697,0.468333333333333,0.155434995112414,0.557914822266935,0.159258892640281,0.510486250838363,0.402857142857143,0.414947565860968,0.461190476190476,0.325608607866864,0.273339598997494,0.247023809523809,0.277204132187378,0.431041237146127,0.291746048387728,0.254547980754877,-0.450031631587891,0.214288240495137,-0.588403755868545,0.233333333333333,-0.591750311899259,0.591420437098119,0.639708507328257,0.639708507328257,-0.677135332839174,-0.650129799135974,-0.1,0.473848159724026,0.415437086959367,0.44765476927115,0.478368121442125,0.415859052631941,0.434838709677419,0.37874114870181,0.334838709677419,0.38,0.481509564244744,0.28,0.442090477107815,0.442090477107815,0.442090477107815,0.39683908045977,0.341666666666667,0.445743476738521,0.355174411070764,-0.20952380952381,0.275,0.2,0.2,-0.299870211242392,-0.411685039885323
"SNAI1",0.476321135009188,0.496632304878453,0.464628107606679,0.428832653061225,0.381632653061225,0.119574808555318,0.480268553064165,0.1209302515348,0.442885375494071,0.336521739130435,0.283956383411412,0.392885375494071,0.205567999883976,0.159543721909313,0.138556067588326,0.258808162855997,0.429498355551627,0.277843462266729,0.246330857224712,-0.401372517062223,0.213369963369963,-0.593601414924944,0.248436132983377,-0.604877084979622,0.602240917346562,0.642123485305035,0.642123485305035,-0.690702024628382,-0.654812238409837,-0.1,0.471937937422922,0.426884068408569,0.451916778999225,0.39799517951968,0.427691426886549,0.364990253411306,0.398985985985986,0.365985985985986,0.328148148148148,0.423654662359679,0.328148148148148,0.394031374688446,0.394031374688446,0.394031374688446,0.356915535444947,0.314607843137255,0.465253313285466,0.406212611094749,-0.10952380952381,0.261666666666667,0.28,0.175,-0.183013109664415,-0.39319762946986
