"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","ERK","SNAI1","cfos","EGR1","HEY1","SMAD","ILK","AKT","SHH","TWIST1","IKK","NFB","SMO","SOSGRB2","FUS","Jagged","Csn","NOTCH","LIV1","NOTCHic","Csl","STAT","SRC","cMet","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","Frizzled","DSH","AXIN2","TrCP","SUFU","Destcompl","Patched","RKIP"
"ERK",0.366336814267849,0.393626098757417,0.363955769087088,0.320890075656431,0.267619047619048,0.181728232073141,0.155822939594033,0.269063835895631,0.219156272927366,0.187241379310345,0.175163637660932,0.176892452384675,0.165950203144554,0.206681513305906,0.244935716648265,0.432541685739858,0.185580595874714,0.156168831168831,0.208590163934426,-0.0210584065341347,0.184,0.298312447972428,0.110714285714286,0.273399860637259,-0.2,0.247638087784073,0.21041181041181,-0.268421052631579,-0.318421052631579,-0.351288185498712,-0.413375151535373,0.442727539258453,0.442727539258453,0.687943805100609,-0.544787964800055,0.137897465570733,0.11534521034521,0.11534521034521,0.11534521034521,-0.618888119611561,-0.213671416001986,-0.452366779497521,0.420336830702416,0.378681669207985,0.400545164035749,0.352867132867133,0.377496836898203,0.32,0.27,0.411646311331399,-0.0857142857142857,-0.14,0.0586129095214099,-0.227544412300439,-0.284091763079664
"STAT",0.218786639400136,0.21176467189053,0.194856459330144,0.165909090909091,0.140909090909091,0.225743200506009,0.211764705882353,0.148998811712347,0.2,0.2,0.0586666666666667,0.0661113887500694,0.0615136876006441,0.0495399515738499,0.0628225972422309,0.0802251471666764,0.0342857142857143,0.02,0.045,0.143924466338259,0.025,0.0675142417782127,0,0.0369076100658054,0.2,0.0204027556968733,-0.00392156862745098,0.0571428571428571,0.0196428571428571,0.00146103896103896,-0.319320657555952,0.442935269858347,0.442935269858347,0.105304774345022,-0.0628629869659736,-0.022739358418824,-0.031694582299421,-0.031694582299421,-0.031694582299421,-0.205364193076049,0.0421005785491767,-0.458532927961468,0.0325315917856516,0.0111440030557678,0.0224004833231963,-0.00146103896103896,0.0113594738594739,-0.0196428571428571,-0.0571428571428571,-0.0431294196000078,0,0,-0.0634173280695643,-0.0566279069767442,-0.173323680823681
"cMet",0.405332278481013,0.406264775413712,0.372222222222222,0.35,0.3,0.424090909090909,0.415,0.4052230602186,0.385,0.325,0.21781905744754,0.21034632034632,0.197619047619048,0.2725,0.205397727272727,0.393514425649257,0.26,0.266666666666667,0.15,0.0119047619047619,0.15,0.225487990270599,0.2,0.280035194368901,0.1,0.24812030075188,0.242857142857143,0.2,0.15,-0.0233333333333333,-0.320634920634921,0.458008658008658,0.458008658008658,0.48879143565275,-0.196763716710336,0.249092542677448,0.203809523809524,0.203809523809524,0.203809523809524,-0.332217112076693,-0.259293394777266,-0.467637104743083,0.166176182246344,0.086969696969697,0.132277877161598,0.0233333333333333,0.0861240310077519,-0.05,-0.1,0.0419047619047619,-0.2,-0.1,-0.127328695606007,-0.177272727272727,-0.453333333333333
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.22,0.258333333333333,0.2,0.1,0.166666666666667,0.0714285714285714,0.0666666666666667,0.0888888888888889,0.121794871794872,0.293,0.0333333333333333,0,0.0333333333333333,0.04,0,0.166493506493506,0,0.231428571428571,0,0.16,0.1,0,-0.1,-0.2,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.1,0,0.28,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.22,0.258333333333333,0.2,0.1,0.166666666666667,0.0714285714285714,0.0666666666666667,0.0888888888888889,0.121794871794872,0.293,0.0333333333333333,0,0.0333333333333333,0.04,0,0.166493506493506,0,0.231428571428571,0,0.16,0.1,0,-0.1,-0.2,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.1,0,0.28,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
"NFB",0.543623370874367,0.574761539445084,0.529191919191919,0.469191919191919,0.405555555555556,0.268896358543417,0.226412698412698,0.323423941038183,0.170857142857143,0.142857142857143,0.198011573050273,0.198799106211736,0.18578795379538,0.354375804375804,0.281035559863977,0.568179271708683,0.321042471042471,0.264285714285714,0.228148148148148,0.139511278195489,0.18,0.313312588916683,0.314285714285714,0.400979379043895,-0.2,0.362914862914863,0.307359307359307,-0.277777777777778,-0.331623931623932,-0.376239316239316,-0.428113553113553,0.474843833722237,0.474843833722237,0.698761725798832,-0.61265624380123,0.390295194613065,0.362434498095652,0.362434498095652,0.362434498095652,-0.731017986679962,-0.251956474897651,-0.479293751915583,0.465961828028842,0.409947181407856,0.439530455479823,0.376239316239316,0.40957264957265,0.331623931623932,0.277777777777778,0.443520770010132,-0.3,-0.12,0.159531272477971,-0.2557343550447,-0.314501891551072
"SRC",0.40859943977591,0.400551948051948,0.369642857142857,0.345833333333333,0.333333333333333,0.344253859348199,0.327272727272727,0.308263226544133,0.327272727272727,0.3,0.126804038397881,0.113934329065908,0.109429824561404,0.168803418803419,0.0953812636165577,0.258834154351396,0.157692307692308,0.15,0.0533333333333333,0.0357142857142857,0.0333333333333333,0.110475770406963,0.15,0.168809523809524,0.2,0.143809523809524,0.12,0.2,0.05,0,-0.349677002583979,0.481079664570231,0.481079664570231,0.207151486620042,-0.109673701541685,0.227756665528881,0.200483938256154,0.200483938256154,0.200483938256154,-0.273239538239538,-0.152380952380952,-0.493078612209047,0.0811660123422667,0.0344262295081967,0.0612554978008796,0,0.0344262295081967,-0.05,-0.1,-0.0271686004505079,-0.1,-0.0333333333333333,-0.079581541646759,-0.0718518518518519,-0.405408927989573
"SMO",0.431379310344828,0.52490990990991,0.481666666666667,0.44,0.4,0.341118881118881,0.313846153846154,0.360983102918587,0.26,0.2,0.128937728937729,0.131111111111111,0.12,0.220857142857143,0.324166666666667,0.284858387799564,0.192857142857143,0.15,0.253333333333333,0.144736842105263,0.333333333333333,0.239312169312169,0.1,0.313787878787879,-0.1,0.278787878787879,0.233333333333333,-0.1,-0.15,-0.196666666666667,-0.436111111111111,0.482485875706215,0.482485875706215,0.457565407772304,-0.399283850088736,0.351710644007156,0.316826923076923,0.316826923076923,0.316826923076923,-0.446821970646891,-0.33328354493403,-0.492374924653406,0.302911242507563,0.344444444444444,0.275091693635383,0.3,0.241111111111111,0.25,0.2,0.366472607851918,0,-0.3,0.319191970819878,-0.290833333333333,-0.347301587301587
"TWIST1",0.536282650208007,0.523479873751259,0.485438871473354,0.440438871473354,0.381818181818182,0.403287566742944,0.369954233409611,0.476616982350409,0.325217391304348,0.26,0.241770658719811,0.234135035125134,0.217963417963418,0.441224312410753,0.457605896334286,0.465151647234027,0.407326007326007,0.369230769230769,0.391555555555556,0.0331064562185844,0.355555555555556,0.409863201411797,0.3,0.408922754394452,-0.266666666666667,0.374017094017094,0.335555555555555,-0.309523809523809,-0.348412698412698,-0.384582911178656,-0.441171565561809,0.487455876929561,0.487455876929561,0.730251236987311,-0.658801115969202,0.412982819559722,0.385585559285749,0.385585559285749,0.385585559285749,-0.82797105804023,-0.400703616965912,-0.495589560842679,0.470647611309369,0.418854803675856,0.446553304236338,0.385254803675856,0.417916244511989,0.348412698412698,0.309523809523809,0.461239889143115,-0.2,-0.3,0.397008936655958,-0.428541856925419,-0.455273333534203
"NOTCH",0.376122448979592,0.396071684587814,0.331555555555555,0.255555555555556,0.2,0.336666666666667,0.286666666666667,0.299871794871795,0.22,0.2,0.171014492753623,0.0814285714285714,0.0714285714285714,0.133333333333333,0.151206636500754,0.342152542372881,0.0888888888888889,0.0333333333333333,0.0833333333333333,0.0347368421052632,0.0333333333333333,0.196123136123136,0,0.186267281105991,0,0.231428571428571,0.16,-0.1,-0.2,-0.269230769230769,-0.46207729468599,0.52133655394525,0.52133655394525,0.487894132011779,-0.483824412443246,0.291857707509881,0.252727272727273,0.252727272727273,0.252727272727273,-0.572694963214488,-0.277307558342041,-0.529264069264069,0.383193948908235,0.314685314685315,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.1,0.338490566037736,0,0,0.329512503157363,-0.121794871794872,-0.28762157382847
"FUS",0.470852994555354,0.565335441824804,0.52490990990991,0.481666666666667,0.44,0.374452214452214,0.341118881118881,0.388341593484625,0.313846153846154,0.26,0.141981207198598,0.142078853046595,0.131111111111111,0.255472527472527,0.34739898989899,0.319936921830978,0.220857142857143,0.192857142857143,0.290833333333333,0.137044534412955,0.253333333333333,0.264613374131446,0.15,0.352424242424242,-0.1,0.313787878787879,0.278787878787879,-0.15,-0.196666666666667,-0.241111111111111,-0.483652094717668,0.526044157914804,0.526044157914804,0.492933450860276,-0.43820377560084,0.378348198592309,0.351710644007156,0.351710644007156,0.351710644007156,-0.489287724071548,-0.356360468010953,-0.535939281089049,0.326552546855389,0.379059829059829,0.302911242507563,0.344444444444444,0.275091693635383,0.3,0.25,0.404360806609682,-0.1,-0.333333333333333,0.33744014600236,-0.324166666666667,-0.385445917198495
"TCFLEF",0.593338191833708,0.586787155139773,0.561290466398052,0.535122242098986,0.502564102564103,0.349918699186992,0.330871080139373,0.404123663412366,0.310871080139373,0.274285714285714,0.170487645510198,0.155689253843224,0.147467456520088,0.241581264457842,0.266357185264765,0.414990539559315,0.225276916631755,0.205922077922078,0.227142857142857,0.0294524796560725,0.203333333333333,0.273450909225584,0.177922077922078,0.344173388773168,-0.133333333333333,0.321249800733301,0.29575960465487,-0.170833333333333,-0.205833333333333,-0.239166666666667,-0.521489050165521,0.550146996278575,0.550146996278575,0.470257730158355,-0.43462574763588,0.267985682905148,0.246829309711981,0.246829309711981,0.246829309711981,-0.598138906773491,-0.340581269717991,-0.561916671013057,0.206558981175301,0.270793447813908,0.188947297326504,0.242843137254902,0.266839622641509,0.209509803921569,0.174509803921569,0.602117216117216,-0.114285714285714,-0.183333333333333,0.326739259079164,-0.244884792626728,-0.379401662304266
"TGF",0.534673913043478,0.55047619047619,0.593333333333333,0.526666666666667,0.46,0.46578111946533,0.423558897243108,0.442803560076287,0.376190476190476,0.333333333333333,0.231850419084462,0.22603128054741,0.211515151515151,0.341791979949875,0.265617816091954,0.465185185185185,0.315476190476191,0.258333333333333,0.203333333333333,0.1,0.153333333333333,0.319691948944526,0.233333333333333,0.38816091954023,0,0.343333333333333,0.273333333333333,-0.1,-0.2,-0.28,-0.507068395626748,0.559795668354021,0.559795668354021,0.51086636890726,-0.514243894589953,0.39047619047619,0.34047619047619,0.34047619047619,0.34047619047619,-0.597978803812028,-0.375373528406796,-0.567284583232859,0.427072763383588,0.342264150943396,0.388316782522344,0.28,0.342264150943396,0.2,0.1,0.356084656084656,-0.2,-0.133333333333333,0.180510097044069,-0.234367816091954,-0.411688311688312
"cfos",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.242857142857143,0.366809137803979,0.327826086956522,0.319178037152721,0.28,0.32,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.157675438596491,0.159543721909313,0.362155844155844,0.120833333333333,0.0833333333333333,0.10952380952381,0.0486111111111111,0.0761904761904762,0.208611111111111,0.0333333333333333,0.212051282051282,-0.1,0.17051282051282,0.116666666666667,-0.2,-0.28,-0.328148148148148,-0.513936507936508,0.560496175871478,0.560496175871478,0.535891553701773,-0.531877013204303,0.327622349752909,0.295915032679739,0.295915032679739,0.295915032679739,-0.61120282246208,-0.310213744588745,-0.571971819030643,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.28,0.2,0.39512315270936,0,-0.0333333333333333,0.365130149024012,-0.138556067588326,-0.31979020979021
"CDC42",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.342857142857143,0.366809137803979,0.327826086956522,0.319178037152721,0.28,0.22,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.157675438596491,0.159543721909313,0.362155844155844,0.120833333333333,0.0833333333333333,0.10952380952381,0.0486111111111111,0.0761904761904762,0.208611111111111,0.0333333333333333,0.212051282051282,-0.1,0.17051282051282,0.116666666666667,-0.2,-0.28,-0.328148148148148,-0.513936507936508,0.560496175871478,0.560496175871478,0.535891553701773,-0.531877013204303,0.327622349752909,0.295915032679739,0.295915032679739,0.295915032679739,-0.61120282246208,-0.310213744588745,-0.571971819030643,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.28,0.2,0.39512315270936,0,-0.0333333333333333,0.365130149024012,-0.138556067588326,-0.31979020979021
"NOTCHic",0.421283739302172,0.441294614524119,0.396071684587814,0.331555555555555,0.255555555555556,0.379523809523809,0.336666666666667,0.332146927146927,0.286666666666667,0.22,0.184860646599777,0.0979753340184995,0.0814285714285714,0.172868217054264,0.173787281662044,0.380517322247095,0.133333333333333,0.0888888888888889,0.121794871794872,0.0483732057416268,0.0833333333333333,0.221950950692673,0.0333333333333333,0.228372544263885,-0.1,0.186267281105991,0.231428571428571,-0.2,-0.269230769230769,-0.314685314685315,-0.522791580400276,0.570966183574879,0.570966183574879,0.528976296340436,-0.529869037189696,0.322892190268502,0.291857707509881,0.291857707509881,0.291857707509881,-0.622465254179266,-0.308712517019727,-0.581865225333433,0.411438223717395,0.350169185653057,0.383193948908235,0.314685314685315,0.350949050949051,0.269230769230769,0.2,0.38293501048218,0,-0.0333333333333333,0.35217916982403,-0.151206636500754,-0.331283545659456
"PAK1",0.43894914399738,0.459965267776261,0.424446142093201,0.378991596638655,0.314285714285714,0.402809137803979,0.366809137803979,0.347578991806659,0.327826086956522,0.28,0.100476967398654,0.107545656255334,0.0933521078682369,0.183601364522417,0.182543721909313,0.394764539808018,0.157675438596491,0.120833333333333,0.138556067588326,0.05752200220022,0.10952380952381,0.234377982276755,0.0833333333333333,0.242820512820513,-0.2,0.212051282051282,0.17051282051282,-0.28,-0.328148148148148,-0.365985985985986,-0.56311683580536,0.601332188733215,0.601332188733215,0.570972928023653,-0.570888002215292,0.355804167934727,0.327622349752909,0.327622349752909,0.327622349752909,-0.652656109659312,-0.336395562770563,-0.613088570299678,0.451177771831237,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.384679021204463,-0.159543721909313,-0.353491867248773
"LIV1",0.43894914399738,0.459965267776261,0.424446142093201,0.378991596638655,0.314285714285714,0.402809137803979,0.366809137803979,0.347578991806659,0.327826086956522,0.28,0.100476967398654,0.107545656255334,0.0933521078682369,0.183601364522417,0.182543721909313,0.394764539808018,0.157675438596491,0.120833333333333,0.138556067588326,0.05752200220022,0.10952380952381,0.234377982276755,0.0833333333333333,0.242820512820513,-0.2,0.212051282051282,0.17051282051282,-0.28,-0.328148148148148,-0.365985985985986,-0.56311683580536,0.601332188733215,0.601332188733215,0.570972928023653,-0.570888002215292,0.355804167934727,0.327622349752909,0.327622349752909,0.327622349752909,-0.652656109659312,-0.336395562770563,-0.613088570299678,0.451177771831237,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.384679021204463,-0.159543721909313,-0.353491867248773
"EGR1",0.43894914399738,0.459965267776261,0.424446142093201,0.378991596638655,0.314285714285714,0.402809137803979,0.366809137803979,0.347578991806659,0.327826086956522,0.28,0.100476967398654,0.107545656255334,0.0933521078682369,0.183601364522417,0.182543721909313,0.394764539808018,0.157675438596491,0.120833333333333,0.138556067588326,0.05752200220022,0.10952380952381,0.234377982276755,0.0833333333333333,0.242820512820513,-0.2,0.212051282051282,0.17051282051282,-0.28,-0.328148148148148,-0.365985985985986,-0.56311683580536,0.601332188733215,0.601332188733215,0.570972928023653,-0.570888002215292,0.355804167934727,0.327622349752909,0.327622349752909,0.327622349752909,-0.652656109659312,-0.336395562770563,-0.613088570299678,0.451177771831237,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.384679021204463,-0.159543721909313,-0.353491867248773
"ZEB1",0.464625087926853,0.494970783390697,0.459931413311956,0.417799433616525,0.364176245210728,0.316804353459445,0.283764705882353,0.345361738909489,0.252,0.2,0.183999239102866,0.177441371840163,0.165422141070932,0.275291918320391,0.270304441737873,0.470418277422846,0.245291918320391,0.220701754385965,0.223106060606061,0.0888109161793372,0.195833333333333,0.333579979051703,0.173333333333333,0.355974517906336,-0.266666666666667,0.322916666666667,0.289583333333333,-0.335897435897436,-0.38223889931207,-0.419493801272854,-0.568566532486866,0.604799203501029,0.604799203501029,0.526403721907863,-0.643330826321718,0.421331783188608,0.395347531220104,0.395347531220104,0.395347531220104,-0.646991566655007,-0.384268381768559,-0.623954633754806,0.497238703032256,0.450872070264829,0.475418742171199,0.420975163048334,0.449354912383965,0.384436701509872,0.338095238095238,0.48012547234277,-0.133333333333333,-0.158333333333333,0.3990331845828,-0.248596256684492,-0.32928818441391
"TGFR",0.580525441427758,0.599412360688956,0.55047619047619,0.593333333333333,0.526666666666667,0.501397557821494,0.46578111946533,0.480266686919945,0.423558897243108,0.376190476190476,0.248268329532223,0.239198540333886,0.22603128054741,0.374350119484758,0.294431375413988,0.508245683405826,0.341791979949875,0.315476190476191,0.234367816091954,0.103703703703704,0.203333333333333,0.351576006915541,0.258333333333333,0.432045811626561,-0.1,0.38816091954023,0.343333333333333,-0.2,-0.28,-0.342264150943396,-0.560639824198177,0.607720196655907,0.607720196655907,0.558320072610964,-0.56528315555993,0.429072681704261,0.39047619047619,0.39047619047619,0.39047619047619,-0.651300779961942,-0.410825851145183,-0.615671680007053,0.458693666837972,0.388070602556299,0.427072763383588,0.342264150943396,0.388316782522344,0.28,0.2,0.410591093852896,-0.233333333333333,-0.153333333333333,0.208131064786004,-0.265617816091954,-0.453116883116883
"Csl",0.45634121056654,0.476442006814369,0.441294614524119,0.396071684587814,0.331555555555555,0.414306418219462,0.379523809523809,0.361000682087639,0.336666666666667,0.286666666666667,0.206429274050757,0.112975334018499,0.0979753340184995,0.198449612403101,0.197925212696527,0.413248699222265,0.172868217054264,0.133333333333333,0.151206636500754,0.0573162951725211,0.121794871794872,0.248513450692673,0.0888888888888889,0.258372544263885,-0.2,0.228372544263885,0.186267281105991,-0.269230769230769,-0.314685314685315,-0.350949050949051,-0.574220151828847,0.612955133851122,0.612955133851122,0.563651911552964,-0.56885986287777,0.35083336673909,0.322892190268502,0.322892190268502,0.322892190268502,-0.664325719295545,-0.334191162086001,-0.624348885464152,0.435280419257704,0.382427250169186,0.411438223717395,0.350169185653057,0.383193948908235,0.314685314685315,0.269230769230769,0.419695935932052,-0.0333333333333333,-0.0833333333333333,0.371009151542494,-0.173787281662044,-0.365845757641023
"SMAD",0.498007421477403,0.51620927237175,0.47836066679406,0.431991951710262,0.371428571428571,0.433658586349884,0.398081663272961,0.396843913702785,0.356221198156682,0.314285714285714,0.229016604874041,0.117912315994508,0.204578982661174,0.305477124183007,0.301602406693723,0.43306824043748,0.276143790849673,0.238888888888889,0.250833333333333,0.0855664004732328,0.220833333333333,0.353976679234744,0.205555555555556,0.362528735632184,-0.2,0.329195402298851,0.286666666666667,-0.271428571428571,-0.321428571428571,-0.360644257703081,-0.5874008744158,0.627670631156279,0.627670631156279,0.575644444021047,-0.580314753423626,0.437065329063031,0.408117960641978,0.408117960641978,0.408117960641978,-0.674850937814246,-0.3722369053948,-0.637730415621913,0.448880776133312,0.394422483990829,0.424362032465632,0.35989010989011,0.395189712248536,0.321428571428571,0.271428571428571,0.428696207957508,-0.15,-0.183333333333333,0.280991130003331,-0.277438837920489,-0.388686970099244
"SNAI1",0.469317631926224,0.490812041969809,0.459965267776261,0.424446142093201,0.378991596638655,0.430163397893666,0.402809137803979,0.272845895721249,0.366809137803979,0.327826086956522,0.117738872160558,0.117754758346355,0.107545656255334,0.207906920077973,0.204097119967566,0.423379924423403,0.183601364522417,0.157675438596491,0.159543721909313,0.0609182286153144,0.138556067588326,0.257672099923814,0.120833333333333,0.270575614861329,-0.28,0.242820512820513,0.212051282051282,-0.328148148148148,-0.365985985985986,-0.398659253312719,-0.605172910571716,0.635895534366671,0.635895534366671,0.600439907574441,-0.603599573890594,0.37994209896921,0.355804167934727,0.355804167934727,0.355804167934727,-0.688244038899687,-0.357715694783764,-0.648919502096028,0.471002242662419,0.426375191209496,0.451177771831237,0.397673180240574,0.427177771831237,0.364990253411306,0.328148148148148,0.464793733700695,-0.0833333333333333,-0.10952380952381,0.400687793134288,-0.182543721909313,-0.383198980219485
"GLI",0.499191068971448,0.616866227818388,0.577572110171329,0.530402298850575,0.468333333333333,0.526431082729425,0.49051948051948,0.409285268609222,0.452857142857143,0.402857142857143,0.15473324072645,0.157829448445356,0.144856475472383,0.236030739050006,0.324973091900828,0.428092680758216,0.206343239050006,0.175730994152047,0.273339598997494,0.0905236945944911,0.247023809523809,0.276800336507992,0.138888888888889,0.289526335733232,-0.2,0.254288240495137,0.214288240495137,-0.28,-0.334838709677419,-0.37874114870181,-0.595396825396825,0.636728537293053,0.636728537293053,0.590905852785133,-0.591363051192571,0.451037277004894,0.419552128490043,0.419552128490043,0.419552128490043,-0.675986073187773,-0.424932692299912,-0.64740096848456,0.473749037220735,0.41538939803787,0.447628296037233,0.478368121442125,0.415810114219051,0.434838709677419,0.38,0.445668780193237,-0.0833333333333333,-0.20952380952381,0.347422393620632,-0.299870211242392,-0.407772174862542
