"","FOXC2","SNAI1","HEY1","TWIST1","EGR1","ILK","SHH","SMAD","AKT","SMO","MEK","NFB","IKK","Csn","Jagged","ERK","cfos","FUS","NOTCH","NOTCHic","Csl","KLF4","cateninmemb","SNAI2","ZEB2","ZEB1","Ecadherin","miR200","PAK1","RAS","GSK3","RAF","PI3K","DELTA","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","SUFU","AXIN2","TrCP","LIV1","Patched","Destcompl","RKIP","SOSGRB2"
"ERK",0.355999663593828,0.251902115457495,0.131147677282896,0.425776287851304,0.0776923076923077,0.113507498790518,0.218772000260422,0.116408852755701,0.188342490842491,0.186787365177196,0.0968752966359493,0.135714285714286,0.163214285714286,0.1,0.284512169184017,0.0626647703201598,0.114277673545966,0.161363636363636,0.264813284551419,0.236410917687513,0.200047281323877,-0.394010556768005,-0.541106106739964,0.684772739646694,0.430240687106761,0.430240687106761,-0.612852337705188,-0.440145104895444,0,0.150048990097734,-0.210418751807012,0.123288426717453,0.123288426717453,0.123288426717453,0.416929990805461,0.377930424006373,0.39847718739879,0.352867132867133,0.376738056964007,0.351288185498712,0.32,0.318421052631579,0.27,0.268421052631579,-0.125,0.411201352380991,-0.0857142857142857,0.2,-0.204969183359014,0.0586064948777355,-0.266802446020237,0.000558115719406035
"NFB",0.49203707428265,0.201289039752352,0.0363688969258589,0.551020890815924,0.0666666666666667,0.0216276477146042,0.163151515151515,0.0247855424514463,0.230995670995671,0.115454545454545,0.22539185202902,0.14,0.193333333333333,0.2,0.300137046861185,0.16963963963964,0.0966666666666667,0.07,0.391466165413534,0.351466165413534,0.297894736842105,-0.386459572593082,-0.603524006274831,0.690484016062362,0.443641189703353,0.443641189703353,-0.719458187133845,-0.447659203320968,0,0.376555904735705,-0.246085070124153,0.343039421219221,0.343039421219221,0.343039421219221,0.456466934653895,0.405475226527858,0.432586337638969,0.374481074481074,0.405475226527858,0.374481074481074,0.331623931623932,0.331623931623932,0.277777777777778,0.277777777777778,-0.02,0.440856727780759,-0.2,0.2,-0.143454545454545,0.158772496903484,-0.192898550724638,0.134057971014493
"Jagged",0.298039215686275,0.216521739130435,0.12,0.286645962732919,0.1,0.02,0.0813186813186813,0.02,0.0428571428571429,0,0.15,0,0,0,0.152857142857143,0.1,0.1,0,0.216666666666667,0.15,0.1,-0.4,-0.430848861283644,0.437529137529138,0.45,0.45,-0.509385342789598,-0.46051282051282,0,0.250505050505051,-0.233333333333333,0.177777777777778,0.177777777777778,0.177777777777778,0.349516775359472,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0,0.28,0,0,-0.0428571428571429,0.300540540540541,-0.193333333333333,0
"DELTA",0.298039215686275,0.216521739130435,0.12,0.286645962732919,0.1,0.02,0.0813186813186813,0.02,0.0428571428571429,0,0.15,0,0,0,0.152857142857143,0.1,0.1,0,0.216666666666667,0.15,0.1,-0.4,-0.430848861283644,0.437529137529138,0.45,0.45,-0.509385342789598,-0.46051282051282,0,0.250505050505051,-0.233333333333333,0.177777777777778,0.177777777777778,0.177777777777778,0.349516775359472,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0,0.28,0,0,-0.0428571428571429,0.300540540540541,-0.193333333333333,0
"cMet",0.397750653879686,0.386717171717172,0.183514492753623,0.388748114630468,0.325,0.161212121212121,0.176712260878184,0.166706626706627,0.252380952380952,0.138888888888889,0.389869281045752,0.266666666666667,0.252380952380952,0.2,0.21,0.398202614379085,0.380555555555556,0.15,0.26843853820598,0.242857142857143,0.242857142857143,-0.319241192411924,-0.196421875615424,0.488421105038752,0.453283745603413,0.453283745603413,-0.330319461995635,-0.463543729046224,0,0.228838220360498,-0.258235753317721,0.190224358974359,0.190224358974359,0.190224358974359,0.165800604434325,0.086969696969697,0.132277877161598,0.0233333333333333,0.0861240310077519,0.0233333333333333,-0.05,0.05,-0.1,0,-0.1,0.0419047619047619,-0.2,0.1,-0.154678362573099,-0.127328695606007,-0.442448979591837,-0.256410256410256
"SMO",0.40688429217841,0.319099099099099,0.0325,0.269482142857143,0.2,0.0177777777777778,0.252109181141439,0.0264734299516908,0.186666666666667,0.2,0.355769230769231,0.133333333333333,0.153333333333333,0.1,0.2,0.325,0.3,0.3,0.292222222222222,0.253333333333333,0.22,-0.402380952380952,-0.39577805706838,0.455126376798554,0.464985994397759,0.464985994397759,-0.437303122259295,-0.476745718050066,0,0.354597701149425,-0.329794871794872,0.321264367816092,0.321264367816092,0.321264367816092,0.299365773786681,0.344444444444444,0.273784378437844,0.3,0.241111111111111,0.196666666666667,0.25,0.15,0.2,0.1,-0.3,0.366472607851918,0,0.1,-0.223076923076923,0.319521580781423,-0.319208211143695,-0.0583333333333333
"SRC",0.390625541000635,0.273330159650067,0.071602787456446,0.248276095644517,0.3,0.0531746031746032,0.0479242979242979,0.0554473304473304,0.126791443850267,0.0111111111111111,0.294358974358974,0.13,0.120909090909091,0.15,0.0833604630132031,0.286666666666667,0.32,0,0.143725981620718,0.121503759398496,0.105714285714286,-0.346176470588235,-0.107134694729671,0.204693912572503,0.468381598793364,0.468381598793364,-0.26706929875035,-0.481093940797507,0,0.181920289855072,-0.148177492202649,0.155253623188406,0.155253623188406,0.155253623188406,0.0788031804910703,0.0344262295081967,0.0603521554341226,0,0.0344262295081967,0,-0.05,-0.05,-0.1,0,-0.0333333333333333,-0.0271686004505079,-0.1,0,-0.0264957264957265,-0.0793849161651595,-0.376100208147487,-0.272222222222222
"FUS",0.443116176236381,0.34569484377995,0.0423039215686275,0.302066412520064,0.3,0.0264734299516908,0.276499425043878,0.0282916117698726,0.213939393939394,0.223076923076923,0.388122171945701,0.153333333333333,0.186666666666667,0.133333333333333,0.225170068027211,0.355769230769231,0.325,0.2,0.327222222222222,0.292222222222222,0.253333333333333,-0.442003593890386,-0.43094505117447,0.487959397436453,0.503447532859298,0.503447532859298,-0.476625655396261,-0.514245718050066,0,0.383236198802007,-0.352172494172494,0.354597701149425,0.354597701149425,0.354597701149425,0.319820319241226,0.377777777777778,0.299365773786681,0.344444444444444,0.273784378437844,0.241111111111111,0.3,0.196666666666667,0.25,0.15,-0.3,0.403579526090912,-0.1,0.1,-0.252109181141439,0.337133521079931,-0.350915528216866,-0.0365942028985507
"NOTCH",0.358908780903666,0.257901049475262,0.12,0.334921824801885,0.1,0.02,0.112353164077302,0.02,0.0840336134453781,0.0428571428571429,0.221428571428571,0,0.0428571428571429,0,0.183469387755102,0.15,0.1,0,0.17,0.216666666666667,0.15,-0.45,-0.480575637239928,0.484781884781885,0.505102040816326,0.505102040816326,-0.566650300054555,-0.512893772893773,0,0.303630050505051,-0.272156862745098,0.250505050505051,0.250505050505051,0.250505050505051,0.379474581266645,0.314685314685315,0.349516775359472,0.269230769230769,0.314685314685315,0.269230769230769,0.2,0.2,0.1,0.1,0,0.338490566037736,0,0,-0.0813186813186813,0.33006435006435,-0.241481481481481,0.0555555555555556
"cfos",0.379367490892179,0.271593673965937,0.0223255813953488,0.351310360209658,0.2,0.02,0.116838882510524,0.0210989010989011,0.106060606060606,0.0666666666666667,0.25093537414966,0.0333333333333333,0.0666666666666667,0,0.186780177187154,0.195833333333333,0.133333333333333,0.0333333333333333,0.188666666666667,0.145333333333333,0.0933333333333333,-0.491111111111111,-0.524913604748074,0.529494768381211,0.538675213675214,0.538675213675214,-0.601306527913788,-0.55015406162465,0,0.34339855147357,-0.30361897078315,0.303001200480192,0.303001200480192,0.303001200480192,0.419837100327894,0.363283283283283,0.394156166475754,0.328148148148148,0.364259259259259,0.328148148148148,0.28,0.28,0.2,0.2,0,0.394185463659148,0,0.1,-0.0974358974358974,0.365574103954721,-0.266176470588235,0.103846153846154
"TCFLEF",0.5895750509684,0.401369813593088,0.126855628688854,0.411207994735554,0.313333333333333,0.0697619047619048,0.201956043956044,0.0729197994987469,0.27289665624704,0.168571428571429,0.393911351846201,0.240434782608696,0.25524959742351,0.21,0.231038887590028,0.372672413793103,0.350833333333333,0.148571428571429,0.365008265344212,0.342451874366768,0.319047619047619,-0.418191721132898,-0.424812356067207,0.473087612558359,0.549827470103332,0.549827470103332,-0.587585461333573,-0.562001722443226,0,0.384935621160192,-0.347868820234409,0.363423993253215,0.363423993253215,0.363423993253215,0.198953379533747,0.264203539823009,0.181906889105305,0.238713343744578,0.260694767893184,0.235036873156342,0.209509803921569,0.205833333333333,0.174509803921569,0.170833333333333,-0.12,0.597312786084104,-0.16,0.133333333333333,-0.186571428571429,0.320654881121832,-0.402923656154477,-0.117114695340502
"NOTCHic",0.403736367110562,0.288021531402973,0.124166666666667,0.371834576479737,0.1,0.02,0.131833683557821,0.0219607843137255,0.126138876603273,0.0813186813186813,0.280049261083744,0.0428571428571429,0.0840336134453781,0,0.206777658431794,0.221428571428571,0.15,0.0428571428571429,0.213661971830986,0.17,0.216666666666667,-0.499019607843137,-0.524100053375809,0.523659223659224,0.552209478832855,0.552209478832855,-0.614533036210907,-0.562893772893773,0,0.34299175263271,-0.303220692532332,0.303630050505051,0.303630050505051,0.303630050505051,0.405388730710206,0.348751248751249,0.379474581266645,0.314685314685315,0.349516775359472,0.314685314685315,0.269230769230769,0.269230769230769,0.2,0.2,0,0.382152537868722,0,0.1,-0.112353164077302,0.352457512457512,-0.283416965352449,0.0967320261437909
"PAK1",0.412958224482913,0.296934273420978,0.0292562744646558,0.381280686619153,0.133333333333333,0.0210989010989011,0.133202518874161,0.0255631868131868,0.136397684712291,0.0974358974358974,0.299607940521341,0.0666666666666667,0.106060606060606,0.0333333333333333,0.207481931573119,0.25093537414966,0.195833333333333,0.0666666666666667,0.221585921325052,0.188666666666667,0.145333333333333,-0.53,-0.56123298157378,0.562126347328579,0.577136752136752,0.577136752136752,-0.640195416802677,-0.588704786262331,0,0.376234372369092,-0.329672610629893,0.34339855147357,0.34339855147357,0.34339855147357,0.441614230699343,0.392875120017977,0.419837100327894,0.363283283283283,0.394156166475754,0.364259259259259,0.328148148148148,0.328148148148148,0.28,0.28,-0.0333333333333333,0.429899749373434,0,0.2,-0.116838882510524,0.383855353954721,-0.299509803921569,0.1108228980322
"LIV1",0.412958224482913,0.296934273420978,0.0292562744646558,0.381280686619153,0.133333333333333,0.0210989010989011,0.133202518874161,0.0255631868131868,0.136397684712291,0.0974358974358974,0.299607940521341,0.0666666666666667,0.106060606060606,0.0333333333333333,0.207481931573119,0.25093537414966,0.195833333333333,0.0666666666666667,0.221585921325052,0.188666666666667,0.145333333333333,-0.53,-0.56123298157378,0.562126347328579,0.577136752136752,0.577136752136752,-0.640195416802677,-0.588704786262331,0,0.376234372369092,-0.329672610629893,0.34339855147357,0.34339855147357,0.34339855147357,0.441614230699343,0.392875120017977,0.419837100327894,0.363283283283283,0.394156166475754,0.364259259259259,0.328148148148148,0.328148148148148,0.28,0.28,-0.0333333333333333,0.429899749373434,0,0.2,-0.116838882510524,0.383855353954721,-0.299509803921569,0.1108228980322
"EGR1",0.412958224482913,0.296934273420978,0.0292562744646558,0.381280686619153,0.133333333333333,0.0210989010989011,0.133202518874161,0.0255631868131868,0.136397684712291,0.0974358974358974,0.299607940521341,0.0666666666666667,0.106060606060606,0.0333333333333333,0.207481931573119,0.25093537414966,0.195833333333333,0.0666666666666667,0.221585921325052,0.188666666666667,0.145333333333333,-0.53,-0.56123298157378,0.562126347328579,0.577136752136752,0.577136752136752,-0.640195416802677,-0.588704786262331,0,0.376234372369092,-0.329672610629893,0.34339855147357,0.34339855147357,0.34339855147357,0.441614230699343,0.392875120017977,0.419837100327894,0.363283283283283,0.394156166475754,0.364259259259259,0.328148148148148,0.328148148148148,0.28,0.28,-0.0333333333333333,0.429899749373434,0,0.2,-0.116838882510524,0.383855353954721,-0.299509803921569,0.1108228980322
"GLI",0.42470695970696,0.324541917981469,0.0311507936507937,0.386698693739864,0.16,0.022970297029703,0.239007185223466,0.0271719777019719,0.139311043566363,0.2003663003663,0.317215447154472,0.0761904761904762,0.10952380952381,0.0428571428571429,0.210697633394673,0.2725,0.2225,0.171794871794872,0.223841491841492,0.190508158508159,0.148969696969697,-0.537254056466217,-0.566343126831275,0.567654727524372,0.583832871851553,0.583832871851553,-0.64478259654109,-0.596255742187419,0,0.367046877173459,-0.404250055786138,0.333713543840126,0.333713543840126,0.333713543840126,0.448233276536661,0.398663330572833,0.426211115871841,0.468566243194192,0.399954132631617,0.369561975768872,0.431724137931034,0.331724137931034,0.38,0.28,-0.133333333333333,0.434406620154594,0,0.2,-0.221493060929681,0.344493415180904,-0.328981820648487,0.0944444444444444
"Csl",0.437069700443896,0.31391438854583,0.132938596491228,0.402078478918762,0.15,0.0219607843137255,0.148932129153676,0.0276642063669574,0.157620358084754,0.112353164077302,0.326902407936891,0.0840336134453781,0.126138876603273,0.0428571428571429,0.228311581735629,0.280049261083744,0.221428571428571,0.0813186813186813,0.246656895688854,0.213661971830986,0.17,-0.540289449112979,-0.560865942354088,0.556471723659224,0.591961031627886,0.591961031627886,-0.654021495350021,-0.603089851325145,0,0.374864262592869,-0.328873534314206,0.34299175263271,0.34299175263271,0.34299175263271,0.427398300088197,0.37845836172196,0.405388730710206,0.348751248751249,0.379474581266645,0.349516775359472,0.314685314685315,0.314685314685315,0.269230769230769,0.269230769230769,-0.0428571428571429,0.417244886153682,0,0.2,-0.131833683557821,0.37024506745437,-0.318176323641219,0.0967320261437909
"ZEB1",0.457488217185411,0.331845165180254,0.143479837591744,0.465510557329779,0.196969696969697,0.118116466444734,0.246541950113379,0.121522039200152,0.267059727116653,0.205952380952381,0.338633357514446,0.207843137254902,0.23641456582633,0.166666666666667,0.320952044389142,0.298526405642788,0.254864433811802,0.180952380952381,0.353044126144208,0.319415807560137,0.283333333333333,-0.546091145141778,-0.640902035646919,0.524872363183943,0.597039205960929,0.597039205960929,-0.642999151618247,-0.616630308819694,0,0.445223227752639,-0.383355182262224,0.415223227752639,0.415223227752639,0.415223227752639,0.494929267748282,0.450386927754216,0.474133247847785,0.420975163048334,0.448864430643484,0.419493801272854,0.384436701509872,0.38223889931207,0.338095238095238,0.335897435897436,-0.147619047619048,0.479836386797048,-0.133333333333333,0.266666666666667,-0.228174603174603,0.398923229598714,-0.318103280511537,0.155
"SNAI1",0.440515042664731,0.219680175060322,0.0384932222558204,0.406950329476296,0.195833333333333,0.0255631868131868,0.149392995064637,0.0301010019392372,0.162017519423035,0.116838882510524,0.332749150895981,0.106060606060606,0.136397684712291,0.0666666666666667,0.226723123985043,0.299607940521341,0.25093537414966,0.0974358974358974,0.249108857104868,0.221585921325052,0.188666666666667,-0.564275618374558,-0.591436308745684,0.589515790980505,0.60887832517046,0.60887832517046,-0.672865305912714,-0.621892080895409,0,0.401912491718097,-0.350453642707996,0.376234372369092,0.376234372369092,0.376234372369092,0.459693791741867,0.418644350787208,0.441614230699343,0.392875120017977,0.419837100327894,0.394156166475754,0.363283283283283,0.364259259259259,0.328148148148148,0.328148148148148,-0.0666666666666667,0.459340138667837,-0.0333333333333333,0.28,-0.133202518874161,0.39841177083672,-0.328355957767722,0.109996451751209
"SMAD",0.48267085624509,0.363337936462302,0.169837106684812,0.42250254811137,0.193333333333333,0.126103703703704,0.250052803794058,0.0302837680123854,0.276768253968254,0.209768907563025,0.34888132876702,0.206190476190476,0.243968253968254,0.176190476190476,0.332742733457019,0.301967748520106,0.249855072463768,0.180357142857143,0.352046477850399,0.316935366739288,0.273725490196078,-0.55932669408963,-0.573507813296965,0.569477295231554,0.609750221043324,0.609750221043324,-0.665899233920734,-0.620011661264351,0,0.45642885772541,-0.367388010116961,0.423213937654362,0.423213937654362,0.423213937654362,0.442007311698501,0.3910254808243,0.419157707476865,0.358683473389356,0.392012841091493,0.359428571428571,0.321428571428571,0.321428571428571,0.271428571428571,0.271428571428571,-0.142857142857143,0.426588554067539,-0.133333333333333,0.2,-0.231991129785247,0.280391624526653,-0.354237241631608,0.0725894088070716
