"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","cfos","EGR1","HEY1","SMAD","ILK","IKK","AKT","TWIST1","NFB","SHH","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","ZEB2","ZEB1","SNAI2","RAS","KLF4","cateninmemb","RAF","PI3K","DELTA","Ecadherin","miR200","cateninnuc","TCFLEF","GLI","CD44","Wnt","cMet","Frizzled","SRC","DSH","GSK3","STAT","AXIN2","TrCP","SUFU","LIV1","Patched","RKIP","Destcompl"
"FOXC2",0.562393162393162,0.560416666666667,0.483333333333333,0.4,0.3,0.466958698372966,0.525642934875995,0.388235294117647,0.3,0.2,0.17,0.173891625615764,0.142857142857143,0.381818181818182,0.458741258741259,0.637189126662811,0.3,0.501666666666667,0.375,0.3,0.603814935064935,0.2,0.556952380952381,0.480952380952381,0.4,0.37051282051282,0.473050847457627,0.473050847457627,0.730660844323847,0.633309842612168,-0.277489177489178,-0.839603654659244,0.5656330749354,0.5656330749354,0.5656330749354,-0.859082945845662,-0.475783783783784,0.761589940028426,0.695659340659341,0.626929824561403,0.626428571428571,0.555,0.555,0.48,0.48,0.4,-0.394081281037803,0.4,0.645351473922902,-0.1,-0.2,0.3,-0.441666666666667,-0.4675,0.38960840746555
"STAT",0.238699633699634,0.229325380501851,0.211678321678322,0.180769230769231,0.15,0.229287749287749,0.164319601063629,0.218518518518519,0.2,0.2,0.0595238095238095,0.0687272727272727,0.0626666666666667,0.0509803921568627,0.0533059735522116,0.101305795492931,0.0333333333333333,0.0606815952925793,0.0392857142857143,0.025,0.075911054231323,0,0.0413333333333333,0.0266666666666667,0,-0.00610665929814866,0.474519740910718,0.474519740910718,0.123445938881816,0.00730000920556015,-0.358542199488491,-0.0832945030552379,-0.0124183006535948,-0.0124183006535948,-0.0124183006535948,-0.22038584669836,-0.490964099286247,0.0810114283509574,0.0571825077806926,0.0307557151683658,0.0314399335232668,0.00304487179487179,0.00304487179487179,-0.0282051282051282,-0.0282051282051282,-0.0666666666666667,-0.0625174825174825,-0.0666666666666667,-0.0364309764309764,0,0,0,-0.049812030075188,-0.192482794042116,-0.135420168067227
"SNAI2",0.572544787394777,0.571765992345544,0.489830508474576,0.4,0.3,0.476376376376376,0.540650486070333,0.392592592592593,0.3,0.2,0.173846153846154,0.181718281718282,0.145454545454545,0.386666666666667,0.467154471544715,0.652542484150505,0.3,0.522,0.383333333333333,0.3,0.623831187189966,0.2,0.568601679445053,0.487878787878788,0.4,0.402080136402387,0.479467084639498,0.479467084639498,0.947153538075351,0.650705787457149,-0.283333333333333,-0.853705975722967,0.576436781609195,0.576436781609195,0.576436781609195,-0.970411292200685,-0.481717171717172,0.785721665456783,0.717281298484306,0.645598845598846,0.645351473922902,0.56984126984127,0.56984126984127,0.488888888888889,0.488888888888889,0.4,-0.41748712998713,0.4,0.660952881415309,-0.1,-0.2,0.3,-0.456666666666667,-0.474780058651026,0.427875982042649
"SRC",0.423975417491688,0.412929292929293,0.381111111111111,0.353333333333333,0.333333333333333,0.34901185770751,0.319470792365529,0.327272727272727,0.327272727272727,0.3,0.127321981424149,0.11585565576345,0.109973302822273,0.166666666666667,0.179166666666667,0.274216894216894,0.15,0.0925274725274725,0.0533333333333333,0.0333333333333333,0.113026004728132,0.15,0.172846401718582,0.146315789473684,0.12,0.00909090909090909,0.501864621446665,0.501864621446665,0.223295839380745,0.243315018315018,-0.371530920060332,-0.126130180523773,0.21474358974359,0.21474358974359,0.21474358974359,-0.283040027243063,-0.51369696969697,0.132399523002106,0.0921397827423653,0.0457983193277311,0.0457983193277311,-0.0042016806722689,-0.0042016806722689,-0.0571428571428571,-0.0571428571428571,-0.1,-0.105454545454545,0,-0.0259259259259259,-0.1,-0.0333333333333333,0,-0.0687179487179487,-0.4218761188686,-0.267678020903827
"NOTCH",0.372681704260652,0.400897170462388,0.329468599033816,0.255555555555556,0.2,0.345,0.271095169775227,0.286666666666667,0.22,0.2,0.171014492753623,0.0821428571428571,0.0714285714285714,0.0888888888888889,0.126388888888889,0.370396825396825,0.0333333333333333,0.159294871794872,0.0833333333333333,0.0333333333333333,0.230467270691235,0,0.194391534391534,0.231428571428571,0.16,0.167368421052632,0.509047619047619,0.509047619047619,0.555738923580137,0.329615384615385,-0.457936507936508,-0.535411192068801,0.259615384615385,0.259615384615385,0.259615384615385,-0.58986488183396,-0.518416611636951,0.522455595326535,0.457749712973594,0.384615384615385,0.384615384615385,0.3,0.3,0.2,0.2,0.1,-0.196703296703297,0.1,0.390909090909091,0,0,0,-0.121794871794872,-0.266666666666667,0.162162162162162
"SMO",0.501452991452991,0.61613475177305,0.541666666666667,0.466666666666667,0.4,0.431428571428571,0.427728411938938,0.36,0.3,0.2,0.137121212121212,0.143739837398374,0.126666666666667,0.193333333333333,0.26,0.419881440948472,0.133333333333333,0.383333333333333,0.283333333333333,0.333333333333333,0.334561403508772,0.1,0.396428571428571,0.325,0.25,0.283333333333333,0.510087719298246,0.510087719298246,0.654158686730506,0.442777777777778,-0.417857142857143,-0.554244027514756,0.377777777777778,0.377777777777778,0.377777777777778,-0.542752419738721,-0.5187478500172,0.609693786200425,0.538470764617691,0.564426877470356,0.462608695652174,0.481818181818182,0.38,0.4,0.3,0.3,-0.289130434782609,0.2,0.570877192982456,0,-0.3,0.1,-0.337179487179487,-0.400505050505051,0.277142857142857
"cfos",0.400810708898944,0.434299003322259,0.380299003322259,0.312857142857143,0.242857142857143,0.378214285714286,0.291948418781582,0.332380952380952,0.28,0.32,0.0817287784679089,0.0944361944361944,0.0791208791208791,0.116666666666667,0.147916666666667,0.397641723356009,0.0833333333333333,0.172586872586873,0.10952380952381,0.0761904761904762,0.248411626651941,0.0333333333333333,0.226851851851852,0.175,0.116666666666667,0.196323529411765,0.544818296772775,0.544818296772775,0.615840952047894,0.378499278499279,-0.501010101010101,-0.591132972230255,0.316883116883117,0.316883116883117,0.316883116883117,-0.634227589910654,-0.557653726202113,0.574102425231329,0.516761705009722,0.451309707241911,0.453748006379585,0.381818181818182,0.381818181818182,0.3,0.3,0.2,-0.228787878787879,0.2,0.467383512544803,0,-0.0333333333333333,0.1,-0.142857142857143,-0.294883720930233,0.159003831417625
"CDC42",0.400810708898944,0.434299003322259,0.380299003322259,0.312857142857143,0.342857142857143,0.378214285714286,0.291948418781582,0.332380952380952,0.28,0.22,0.0817287784679089,0.0944361944361944,0.0791208791208791,0.116666666666667,0.147916666666667,0.397641723356009,0.0833333333333333,0.172586872586873,0.10952380952381,0.0761904761904762,0.248411626651941,0.0333333333333333,0.226851851851852,0.175,0.116666666666667,0.196323529411765,0.544818296772775,0.544818296772775,0.615840952047894,0.378499278499279,-0.501010101010101,-0.591132972230255,0.316883116883117,0.316883116883117,0.316883116883117,-0.634227589910654,-0.557653726202113,0.574102425231329,0.516761705009722,0.451309707241911,0.453748006379585,0.381818181818182,0.381818181818182,0.3,0.3,0.2,-0.228787878787879,0.2,0.467383512544803,0,-0.0333333333333333,0.1,-0.142857142857143,-0.294883720930233,0.159003831417625
"NOTCHic",0.423844494958326,0.459825741890959,0.400897170462388,0.329468599033816,0.255555555555556,0.396851851851852,0.31075034218902,0.345,0.286666666666667,0.22,0.185768591114279,0.0997899159663865,0.0821428571428571,0.126388888888889,0.161683006535948,0.428955383955384,0.0888888888888889,0.193441213258286,0.121794871794872,0.0833333333333333,0.275182717845706,0.0333333333333333,0.251058201058201,0.194391534391534,0.231428571428571,0.227368421052632,0.553047619047619,0.553047619047619,0.625712113928662,0.39542735042735,-0.502617359000338,-0.60336984839955,0.329615384615385,0.329615384615385,0.329615384615385,-0.65412343696704,-0.564981497133134,0.581688209235408,0.522455595326535,0.455629877369008,0.457749712973594,0.384615384615385,0.384615384615385,0.3,0.3,0.2,-0.252258852258852,0.2,0.471089271089271,0,-0.0333333333333333,0.1,-0.159294871794872,-0.30709219858156,0.207956554685527
"TGF",0.530075757575758,0.550850340136054,0.591666666666667,0.526666666666667,0.46,0.469900360657742,0.418846895925548,0.423558897243108,0.376190476190476,0.333333333333333,0.231850419084462,0.226515151515151,0.211515151515151,0.315476190476191,0.337698412698413,0.481425120772947,0.258333333333333,0.269851687059696,0.203333333333333,0.153333333333333,0.339252273943285,0.233333333333333,0.391481481481481,0.343333333333333,0.273333333333333,0.181578947368421,0.553289739500266,0.553289739500266,0.558312884526477,0.400008043758044,-0.505289739500266,-0.551560279752502,0.332440476190476,0.332440476190476,0.332440476190476,-0.608216433662348,-0.561763236763237,0.539412495562655,0.469444444444444,0.391111111111111,0.391111111111111,0.3,0.3,0.2,0.2,0.1,-0.253971291866029,0.1,0.394366197183099,-0.2,-0.133333333333333,0,-0.234367816091954,-0.398734296556438,-0.143518518518519
"TWIST1",0.654189028026237,0.659855280212187,0.580634500991408,0.494117647058824,0.4,0.531905222437137,0.598258866185746,0.453723404255319,0.375,0.275,0.274471658887833,0.275641025641026,0.246153846153846,0.443,0.518757575757576,0.647902511241479,0.375,0.568798101811907,0.443421052631579,0.375,0.596333551505965,0.3,0.547512983688099,0.468480725623583,0.388888888888889,0.377837195484254,0.554132553606238,0.554132553606238,0.952280243820563,0.63370387742339,-0.409708916728077,-0.857768504793818,0.561346153846154,0.561346153846154,0.561346153846154,-0.966418747217872,-0.557611958418696,0.797527694115894,0.727464801034133,0.653440918379613,0.65299671592775,0.574717514124294,0.574425287356322,0.491666666666667,0.491666666666667,0.4,-0.390750915750916,0.4,0.666040263198374,-0.2,-0.3,0.3,-0.511421052631579,-0.54141225172153,0.395048932614511
"FUS",0.566970232832302,0.685225660863959,0.61613475177305,0.541666666666667,0.466666666666667,0.496813186813187,0.4702816034283,0.431428571428571,0.36,0.3,0.157121212121212,0.161386896221903,0.143739837398374,0.26,0.311515151515151,0.485595726662758,0.193333333333333,0.423958333333333,0.337179487179487,0.283333333333333,0.386076555023923,0.133333333333333,0.460714285714286,0.396428571428571,0.325,0.322222222222222,0.574298245614035,0.574298245614035,0.729236568350444,0.505277777777778,-0.481959706959707,-0.62831810158883,0.442777777777778,0.442777777777778,0.442777777777778,-0.615820852409803,-0.582081183350533,0.67515339622828,0.609693786200425,0.640698063911034,0.538470764617691,0.564426877470356,0.462608695652174,0.481818181818182,0.38,0.4,-0.330797101449275,0.3,0.650043859649123,-0.1,-0.333333333333333,0.2,-0.383333333333333,-0.456060606060606,0.309181692094313
"PAK1",0.445089315864118,0.484299003322259,0.434299003322259,0.380299003322259,0.312857142857143,0.429123376623377,0.330904242074754,0.378214285714286,0.332380952380952,0.28,0.102053981719941,0.11030921030921,0.0944361944361944,0.147916666666667,0.177328431372549,0.448614486001923,0.116666666666667,0.206704519645696,0.142857142857143,0.10952380952381,0.290824078013809,0.0833333333333333,0.273330725091288,0.226851851851852,0.175,0.238183994528044,0.584025345230925,0.584025345230925,0.676840952047894,0.439495129121685,-0.535703978561121,-0.650262355543435,0.378499278499279,0.378499278499279,0.378499278499279,-0.689448828848707,-0.59579805609902,0.62595012959863,0.574102425231329,0.513725814624461,0.516761705009722,0.451309707241911,0.453748006379585,0.381818181818182,0.381818181818182,0.3,-0.273005565862709,0.3,0.536421169448569,-0.0333333333333333,-0.0761904761904762,0.2,-0.172586872586873,-0.331980495123781,0.196072796934866
"LIV1",0.445089315864118,0.484299003322259,0.434299003322259,0.380299003322259,0.312857142857143,0.429123376623377,0.330904242074754,0.378214285714286,0.332380952380952,0.28,0.102053981719941,0.11030921030921,0.0944361944361944,0.147916666666667,0.177328431372549,0.448614486001923,0.116666666666667,0.206704519645696,0.142857142857143,0.10952380952381,0.290824078013809,0.0833333333333333,0.273330725091288,0.226851851851852,0.175,0.238183994528044,0.584025345230925,0.584025345230925,0.676840952047894,0.439495129121685,-0.535703978561121,-0.650262355543435,0.378499278499279,0.378499278499279,0.378499278499279,-0.689448828848707,-0.59579805609902,0.62595012959863,0.574102425231329,0.513725814624461,0.516761705009722,0.451309707241911,0.453748006379585,0.381818181818182,0.381818181818182,0.3,-0.273005565862709,0.3,0.536421169448569,-0.0333333333333333,-0.0761904761904762,0.2,-0.172586872586873,-0.331980495123781,0.196072796934866
"EGR1",0.445089315864118,0.484299003322259,0.434299003322259,0.380299003322259,0.312857142857143,0.429123376623377,0.330904242074754,0.378214285714286,0.332380952380952,0.28,0.102053981719941,0.11030921030921,0.0944361944361944,0.147916666666667,0.177328431372549,0.448614486001923,0.116666666666667,0.206704519645696,0.142857142857143,0.10952380952381,0.290824078013809,0.0833333333333333,0.273330725091288,0.226851851851852,0.175,0.238183994528044,0.584025345230925,0.584025345230925,0.676840952047894,0.439495129121685,-0.535703978561121,-0.650262355543435,0.378499278499279,0.378499278499279,0.378499278499279,-0.689448828848707,-0.59579805609902,0.62595012959863,0.574102425231329,0.513725814624461,0.516761705009722,0.451309707241911,0.453748006379585,0.381818181818182,0.381818181818182,0.3,-0.273005565862709,0.3,0.536421169448569,-0.0333333333333333,-0.0761904761904762,0.2,-0.172586872586873,-0.331980495123781,0.196072796934866
"cateninnuc",0.671334728201533,0.672209365794142,0.613218829516539,0.548333333333333,0.475,0.574813782232261,0.501561441689313,0.520776515151515,0.455151515151515,0.381818181818182,0.222544642857143,0.210420675289842,0.186679668095597,0.409005847953216,0.455242407093001,0.642765343743223,0.351111111111111,0.469112978524743,0.382222222222222,0.326666666666667,0.588486486486486,0.277777777777778,0.664292892048415,0.608604269293924,0.545747126436782,0.397698226831716,0.59344917321046,0.59344917321046,0.845068981830216,0.622838742140828,-0.404065040650406,-0.761806756309465,0.568503482025221,0.568503482025221,0.568503482025221,-0.78241876271204,-0.59998413712072,0.655953871633927,0.698747859255501,0.639189562593818,0.638049169299169,0.575359775359775,0.574412805662806,0.507792207792208,0.506845238095238,0.438095238095238,-0.440311587637169,0.438095238095238,0.761589940028426,-0.2,-0.266666666666667,0.366666666666667,-0.427936507936508,-0.473295985060691,0.389941456448854
"TCFLEF",0.635965822519303,0.628950751531397,0.592084392084392,0.555047355047355,0.510602910602911,0.535057517979478,0.450790853432515,0.506110149558425,0.477374517374517,0.431428571428571,0.205022692222957,0.189509803921569,0.177980392156863,0.293426139078313,0.315343947297491,0.470213715201368,0.274195369847544,0.294927536231884,0.241666666666667,0.216666666666667,0.314776710661314,0.235064935064935,0.412755610965874,0.379989653519065,0.349037272566684,0.205163858217499,0.594319674069181,0.594319674069181,0.54380225881564,0.440797822340423,-0.453058322577798,-0.490637871603993,0.405371813371813,0.405371813371813,0.405371813371813,-0.636485855604436,-0.605048231648443,0.315615073360723,0.273075170515477,0.330134447325459,0.32631749133459,0.280561797752809,0.276752273943285,0.23,0.226190476190476,0.18,-0.358432672783818,0.176190476190476,0.649060618977499,-0.171428571428571,-0.183333333333333,0.133333333333333,-0.266666666666667,-0.451211396902231,0.251457937010808
"TGFR",0.577037083542608,0.606602552525435,0.550850340136054,0.591666666666667,0.526666666666667,0.508962860657742,0.456135031518768,0.469900360657742,0.423558897243108,0.376190476190476,0.248773496007539,0.240028665028665,0.226515151515151,0.337698412698413,0.366645781119465,0.539028807408892,0.315476190476191,0.305609262817272,0.234367816091954,0.203333333333333,0.385918940609952,0.258333333333333,0.443547597183961,0.391481481481481,0.343333333333333,0.227033492822967,0.596276164839632,0.596276164839632,0.630192368027194,0.46073863736535,-0.550387778715952,-0.621023828583313,0.400008043758044,0.400008043758044,0.400008043758044,-0.67167419397669,-0.605015831918946,0.601049324207157,0.539412495562655,0.468346883468835,0.469444444444444,0.391111111111111,0.391111111111111,0.3,0.3,0.2,-0.291850079744817,0.2,0.478659390900376,-0.233333333333333,-0.153333333333333,0.1,-0.269851687059696,-0.433919481741623,-0.10513468013468
"Csl",0.472743173372423,0.513879795945013,0.459825741890959,0.400897170462388,0.329468599033816,0.452757363662876,0.354213239715522,0.396851851851852,0.345,0.286666666666667,0.209076861790971,0.117738633915104,0.0997899159663865,0.161683006535948,0.197099673202614,0.483531655141825,0.126388888888889,0.230675255811478,0.159294871794872,0.121794871794872,0.32051143756889,0.0888888888888889,0.301978446456974,0.251058201058201,0.194391534391534,0.270802764486975,0.596367457104299,0.596367457104299,0.689171573388122,0.458807632117491,-0.539760216143195,-0.66540590354271,0.39542735042735,0.39542735042735,0.39542735042735,-0.712905638372192,-0.607386560424273,0.635744905227588,0.581688209235408,0.51979172707999,0.522455595326535,0.455629877369008,0.457749712973594,0.384615384615385,0.384615384615385,0.3,-0.299079661507407,0.3,0.541907776427349,-0.0333333333333333,-0.0833333333333333,0.2,-0.193441213258286,-0.349949341438703,0.244611358955989
"ZEB1",0.491640925072641,0.545385078643514,0.490977783810687,0.432704402515723,0.366666666666667,0.37485965647256,0.347316889059028,0.321612903225806,0.27,0.21,0.187701292033884,0.183342086540233,0.168032640286161,0.25,0.289393939393939,0.558173983826158,0.216666666666667,0.311032800216861,0.24,0.205,0.413389020660399,0.166666666666667,0.416233667116799,0.362745295023776,0.310846560846561,0.327330316742081,0.598011248011248,0.598011248011248,0.683285871930126,0.566027004219409,-0.538186785891704,-0.761014785010582,0.506533333333333,0.506533333333333,0.506533333333333,-0.710910683176143,-0.614921830703954,0.72660387707975,0.6742894665994,0.613811827956989,0.616210863979313,0.551311827956989,0.55324790101635,0.480645161290323,0.480645161290323,0.4,-0.311926550844832,0.4,0.635575459428408,-0.133333333333333,-0.158333333333333,0.3,-0.276470588235294,-0.324138888888889,0.229561559845289
"SMAD",0.50967057061875,0.547499890309328,0.492642747452185,0.43474801061008,0.369230769230769,0.465367707112674,0.386418313570487,0.411005291005291,0.362433862433862,0.314285714285714,0.231230907457323,0.121570927294893,0.206163072309999,0.265204678362573,0.303135712845332,0.496041105825374,0.23187134502924,0.330124418188328,0.257675438596491,0.220833333333333,0.418716104929096,0.205555555555556,0.400195131455063,0.347863525237446,0.292933947772657,0.274415204678363,0.612434403802196,0.612434403802196,0.692942054727919,0.52612180330869,-0.55796394984326,-0.670612692435418,0.464536437455031,0.464536437455031,0.464536437455031,-0.718480549787131,-0.622258450604442,0.640634535931487,0.586310438534341,0.524187941014545,0.526559401189943,0.458358795285901,0.460232870577698,0.386206896551724,0.386206896551724,0.3,-0.278823529411765,0.3,0.544429283489097,-0.15,-0.183333333333333,0.2,-0.294410132474042,-0.372865847252863,-0.0020888888888889
"SNAI1",0.490148604401668,0.533306636910045,0.484299003322259,0.434299003322259,0.380299003322259,0.47540169377548,0.269645963929059,0.429123376623377,0.378214285714286,0.332380952380952,0.121619199111246,0.122933795026818,0.11030921030921,0.177328431372549,0.214471288515406,0.498054486001923,0.147916666666667,0.23987160193996,0.172586872586873,0.142857142857143,0.331117715860464,0.116666666666667,0.321083534080053,0.273330725091288,0.226851851851852,0.273793750625605,0.622543863749443,0.622543863749443,0.732096207303149,0.492417207043763,-0.569602283645867,-0.703994436611156,0.439495129121685,0.439495129121685,0.439495129121685,-0.741282042364164,-0.634916121532875,0.672853590436517,0.62595012959863,0.570791032015765,0.574102425231329,0.513725814624461,0.516761705009722,0.451309707241911,0.453748006379585,0.381818181818182,-0.311225461150667,0.381818181818182,0.598421169448568,-0.0833333333333333,-0.10952380952381,0.3,-0.206704519645696,-0.372047835191121,0.226169884313507
"GLI",0.503936757850763,0.637323117219043,0.585577085473011,0.531246376811594,0.467246376811594,0.547344570323294,0.393919180281302,0.49982683982684,0.457402597402597,0.402857142857143,0.156164350145567,0.160044553148001,0.145941989045437,0.197803617571059,0.231136950904393,0.477219768870944,0.172222222222222,0.345091773788957,0.276753539253539,0.247023809523809,0.326241742834803,0.138888888888889,0.315357509782062,0.26594574507618,0.218119658119658,0.243809523809524,0.623973727422003,0.623973727422003,0.689546682922404,0.51609243697479,-0.574586870401811,-0.665659842817704,0.45609243697479,0.45609243697479,0.45609243697479,-0.709130300219913,-0.634682871267042,0.643637865321092,0.588853625170999,0.525001939237233,0.527441860465116,0.558144796380091,0.46,0.484615384615385,0.384615384615385,0.4,-0.36554045926894,0.3,0.543515557847688,-0.0833333333333333,-0.20952380952381,0.2,-0.310819473319473,-0.391332734687769,0.00584487975792325
