"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Csn","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","ZEB2","ZEB1","KLF4","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","AXIN2","Ecadherin","miR200","GSK3","cateninnuc","GLI","TCFLEF","Wnt","CD44","Frizzled","cMet","SRC","DSH","STAT","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"STAT",0.222840452457207,0.214575757575758,0.196575757575758,0.165909090909091,0.140909090909091,0.154711497317402,0.210446024563672,0.2,0.191764705882353,0.18,0.0586666666666667,0.0650020596936674,0.0615136876006441,0.0619850498338871,0.0446305418719212,0.0812689886212673,0.0342857142857143,0.02,0.045,0.025,0,0.0652930402930403,0.0332740428255862,0.0204027556968733,-0.00392156862745098,-0.0069376026272578,0.44723520382057,0.44723520382057,-0.328571787527011,0.103466996391669,-0.0620206134262498,-0.0255301150462441,-0.0384333408526957,-0.0384333408526957,-0.0384333408526957,0,-0.205765058199935,-0.462489628794277,0.0294106979531334,0.0324168522371054,0.00794056045067168,0.0201406374033458,-0.00336378737541528,0.00814063740334578,-0.0196428571428571,-0.00336378737541528,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,0,0,0,-0.0493686582435086,-0.0566279069767442,-0.177170462387854
"cMet",0.405332278481013,0.406264775413712,0.372222222222222,0.35,0.3,0.406353003721425,0.420454545454546,0.325,0.415,0.385,0.21781905744754,0.21034632034632,0.197619047619048,0.205397727272727,0.2725,0.393514425649257,0.26,0.266666666666667,0.15,0.15,0.2,0.225487990270599,0.280035194368901,0.24812030075188,0.242857142857143,0.0109523809523809,0.458008658008658,0.458008658008658,-0.320634920634921,0.488606948606949,-0.196593406593407,0.246666666666667,0.203809523809524,0.203809523809524,0.203809523809524,0,-0.332217112076693,-0.467637104743083,-0.263934538835368,0.166343223736969,0.086969696969697,0.131860465116279,0.0233333333333333,0.0861240310077519,-0.05,0.0233333333333333,0.05,-0.1,0,-0.2,-0.1,0.1,-0.12278429984465,-0.177272727272727,-0.453333333333333
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.258333333333333,0.286666666666667,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.293,0.0333333333333333,0,0.0333333333333333,0,0,0.166493506493506,0.231428571428571,0.16,0.1,0.12,0.46207729468599,0.46207729468599,-0.405555555555556,0.43868778280543,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,0,-0.513017543859649,-0.472121212121212,-0.233333333333333,0.354011157381944,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.1,0.2,0.1,0,0,0,0,0,0.288829431438127,-0.0833333333333333,-0.235897435897436
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.258333333333333,0.286666666666667,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.293,0.0333333333333333,0,0.0333333333333333,0,0,0.166493506493506,0.231428571428571,0.16,0.1,0.12,0.46207729468599,0.46207729468599,-0.405555555555556,0.43868778280543,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,0,-0.513017543859649,-0.472121212121212,-0.233333333333333,0.354011157381944,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.1,0.2,0.1,0,0,0,0,0,0.288829431438127,-0.0833333333333333,-0.235897435897436
"NFB",0.542270933064584,0.574146211510927,0.528869338546758,0.469191919191919,0.405555555555556,0.318000993048659,0.305832860296436,0.142857142857143,0.252190476190476,0.178857142857143,0.198011573050273,0.199645631698001,0.18578795379538,0.281794961105306,0.358121122727864,0.570478794639185,0.321042471042471,0.264285714285714,0.228148148148148,0.18,0.314285714285714,0.317464349376114,0.404091333503098,0.362914862914863,0.307359307359307,0.336627598407784,0.473025800004664,0.473025800004664,-0.414826274049575,0.706777963823643,-0.619571717227746,0.413277876807289,0.378518518518519,0.378518518518519,0.378518518518519,0,-0.732744653886962,-0.477756508382716,-0.237694337211739,0.483141455370064,0.416871024647187,0.45176561644389,0.378498931623932,0.416510627530364,0.331623931623932,0.378498931623932,0.331623931623932,0.277777777777778,0.277777777777778,-0.3,-0.12,0.2,0.140756829157802,-0.2557343550447,-0.312666666666667
"SMO",0.427582846003899,0.524057971014493,0.479130434782609,0.44,0.4,0.357309024913381,0.389330024813896,0.2,0.353846153846154,0.3,0.128937728937729,0.134754098360656,0.12,0.327976190476191,0.23452380952381,0.290875,0.192857142857143,0.15,0.253333333333333,0.333333333333333,0.1,0.24975172975173,0.32615629984051,0.278787878787879,0.233333333333333,0.255263157894737,0.477950310559006,0.477950310559006,-0.41207729468599,0.475462090081379,-0.413162393162393,0.385087326466637,0.344827586206897,0.344827586206897,0.344827586206897,0,-0.451205128205128,-0.488222222222222,-0.320886172650879,0.330718644832852,0.362941176470588,0.299031402034498,0.31,0.260084033613445,0.25,0.207142857142857,0.15,0.2,0.1,0,-0.3,0.1,0.294342098357214,-0.290833333333333,-0.34552036199095
"SRC",0.410022660749693,0.401752948885976,0.369642857142857,0.345833333333333,0.333333333333333,0.313062814516607,0.333142748237088,0.3,0.316161616161616,0.327272727272727,0.126804038397881,0.113934329065908,0.109429824561404,0.0953812636165577,0.168803418803419,0.259348370927318,0.157692307692308,0.15,0.0533333333333333,0.0333333333333333,0.15,0.109779202279202,0.168809523809524,0.143809523809524,0.12,0.00857142857142857,0.482301587301587,0.482301587301587,-0.354328165374677,0.20622256353558,-0.109012605042017,0.223882366366608,0.194748508098892,0.194748508098892,0.194748508098892,0,-0.273239538239538,-0.494040469588815,-0.164478764478764,0.0807954545454545,0.0333333333333333,0.0595833333333333,0,0.0333333333333333,-0.05,0,-0.05,-0.1,0,-0.1,-0.0333333333333333,0,-0.0669217662236503,-0.0718518518518519,-0.407418446762709
"TWIST1",0.534830349302678,0.524843849435501,0.48444976076555,0.439712918660287,0.381818181818182,0.473439608009602,0.473921702022388,0.28,0.430763807285546,0.371304347826087,0.243962359479601,0.238890187283161,0.220269497627988,0.464117913832199,0.458429375502546,0.473724217098196,0.415572232645403,0.369230769230769,0.391555555555556,0.355555555555556,0.3,0.424148457817738,0.423575979750371,0.380292397660819,0.335555555555555,0.316155606407323,0.483630807109068,0.483630807109068,-0.400966735966736,0.749755810503616,-0.675415508487796,0.453839098404645,0.418693467336683,0.418693467336683,0.418693467336683,0,-0.834506722330586,-0.491915206610421,-0.387866259820719,0.501596130562017,0.438204707170224,0.47234355324243,0.396825396825397,0.437326718225595,0.352380952380952,0.396201177100053,0.352380952380952,0.309523809523809,0.309523809523809,-0.2,-0.3,0.266666666666667,0.377854984382469,-0.430444444444444,-0.455784679089027
"NOTCH",0.376122448979592,0.396071684587814,0.331555555555555,0.255555555555556,0.2,0.298015873015873,0.350952380952381,0.2,0.286666666666667,0.22,0.171014492753623,0.0814285714285714,0.0714285714285714,0.151206636500754,0.133333333333333,0.342152542372881,0.0888888888888889,0.0333333333333333,0.0833333333333333,0.0333333333333333,0,0.196123136123136,0.186267281105991,0.231428571428571,0.16,0.167368421052632,0.52133655394525,0.52133655394525,-0.46207729468599,0.489489921842863,-0.485431105149415,0.301981004070556,0.252727272727273,0.252727272727273,0.252727272727273,0,-0.572694963214488,-0.529264069264069,-0.267510548523207,0.391299292975164,0.314685314685315,0.354011157381944,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0,0.311481365139785,-0.121794871794872,-0.28762157382847
"FUS",0.471868560289613,0.570034982508746,0.524057971014493,0.479130434782609,0.44,0.390993235439696,0.425915390667554,0.3,0.389330024813896,0.353846153846154,0.14535563938549,0.145564909171467,0.134754098360656,0.356397243107769,0.26921768707483,0.331446428571429,0.23452380952381,0.192857142857143,0.290833333333333,0.253333333333333,0.15,0.279238909238909,0.368324974539306,0.32615629984051,0.278787878787879,0.275263157894737,0.523645674797417,0.523645674797417,-0.456904880892887,0.515500774800915,-0.455110703301558,0.420062695924765,0.385087326466637,0.385087326466637,0.385087326466637,0,-0.497269268146819,-0.532903073286052,-0.347635143844294,0.358487992329058,0.402524509803922,0.330718644832852,0.362941176470588,0.299031402034498,0.31,0.260084033613445,0.207142857142857,0.25,0.15,-0.1,-0.333333333333333,0.1,0.311856222650999,-0.327976190476191,-0.389340586710051
"TGF",0.534673913043478,0.55047619047619,0.593333333333333,0.526666666666667,0.46,0.44180349062702,0.474670008354219,0.333333333333333,0.423558897243108,0.376190476190476,0.231850419084462,0.22603128054741,0.211515151515151,0.265617816091954,0.341791979949875,0.465185185185185,0.315476190476191,0.258333333333333,0.203333333333333,0.153333333333333,0.233333333333333,0.319691948944526,0.38816091954023,0.343333333333333,0.273333333333333,0.181578947368421,0.559795668354021,0.559795668354021,-0.507068395626748,0.511859219198489,-0.515217273592515,0.396839826839827,0.34047619047619,0.34047619047619,0.34047619047619,0,-0.597978803812028,-0.567284583232859,-0.369361006814073,0.432421013688494,0.342264150943396,0.390264150943396,0.28,0.342264150943396,0.2,0.28,0.2,0.1,0.1,-0.2,-0.133333333333333,0,0.168038440825326,-0.234367816091954,-0.411688311688312
"cfos",0.403245594673141,0.424029764577587,0.378991596638655,0.314285714285714,0.242857142857143,0.315402394876079,0.389064112011791,0.32,0.336521739130435,0.28,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.159543721909313,0.157675438596491,0.362761904761905,0.120833333333333,0.0833333333333333,0.10952380952381,0.0761904761904762,0.0333333333333333,0.209595363079615,0.212051282051282,0.17051282051282,0.116666666666667,0.193055555555556,0.560047095761381,0.560047095761381,-0.509936507936508,0.539329756505062,-0.534989148351834,0.342541372996741,0.302413984461709,0.302413984461709,0.302413984461709,0,-0.611654236099524,-0.571645021645022,-0.297460552268245,0.437942202756293,0.366814814814815,0.404608869422959,0.328148148148148,0.367874175545408,0.28,0.328148148148148,0.28,0.2,0.2,0,-0.0333333333333333,0.1,0.346592542508702,-0.138556067588326,-0.318829757812809
"CDC42",0.403245594673141,0.424029764577587,0.378991596638655,0.314285714285714,0.342857142857143,0.315402394876079,0.389064112011791,0.22,0.336521739130435,0.28,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.159543721909313,0.157675438596491,0.362761904761905,0.120833333333333,0.0833333333333333,0.10952380952381,0.0761904761904762,0.0333333333333333,0.209595363079615,0.212051282051282,0.17051282051282,0.116666666666667,0.193055555555556,0.560047095761381,0.560047095761381,-0.509936507936508,0.539329756505062,-0.534989148351834,0.342541372996741,0.302413984461709,0.302413984461709,0.302413984461709,0,-0.611654236099524,-0.571645021645022,-0.297460552268245,0.437942202756293,0.366814814814815,0.404608869422959,0.328148148148148,0.367874175545408,0.28,0.328148148148148,0.28,0.2,0.2,0,-0.0333333333333333,0.1,0.346592542508702,-0.138556067588326,-0.318829757812809
"NOTCHic",0.420384744061559,0.440587813620072,0.396071684587814,0.331555555555555,0.255555555555556,0.326904761904762,0.408095238095238,0.22,0.350952380952381,0.286666666666667,0.184860646599777,0.0979753340184995,0.0814285714285714,0.173787281662044,0.172868217054264,0.381507381082559,0.133333333333333,0.0888888888888889,0.121794871794872,0.0833333333333333,0.0333333333333333,0.223639914646626,0.228372544263885,0.186267281105991,0.231428571428571,0.221913875598086,0.570208734396377,0.570208734396377,-0.515648723257419,0.53375221692483,-0.534191435727927,0.34156433740389,0.301981004070556,0.301981004070556,0.301981004070556,0,-0.623235921483421,-0.5813108528898,-0.293826337996891,0.424847680071938,0.353146853146853,0.391299292975164,0.314685314685315,0.354011157381944,0.269230769230769,0.314685314685315,0.269230769230769,0.2,0.2,0,-0.0333333333333333,0.1,0.332045881268817,-0.151206636500754,-0.329650559335717
"PAK1",0.437288147864631,0.459043770179828,0.424029764577587,0.378991596638655,0.314285714285714,0.341984673357092,0.437712760660439,0.28,0.389064112011791,0.336521739130435,0.100476967398654,0.108287172803302,0.0933521078682369,0.183161812361575,0.186647401213314,0.396469769930444,0.157675438596491,0.120833333333333,0.138556067588326,0.10952380952381,0.0833333333333333,0.237720363079615,0.245384615384615,0.212051282051282,0.17051282051282,0.225728822882288,0.599520779971908,0.599520779971908,-0.552085268267086,0.578006364147187,-0.576773185910519,0.377821178349539,0.342541372996741,0.342541372996741,0.342541372996741,0,-0.653988975902618,-0.611541394702016,-0.321773448674164,0.466241322990897,0.403498231900242,0.437942202756293,0.366814814814815,0.404608869422959,0.328148148148148,0.367874175545408,0.328148148148148,0.28,0.28,-0.0333333333333333,-0.0761904761904762,0.2,0.365858597554574,-0.159543721909313,-0.351401186384237
"LIV1",0.437288147864631,0.459043770179828,0.424029764577587,0.378991596638655,0.314285714285714,0.341984673357092,0.437712760660439,0.28,0.389064112011791,0.336521739130435,0.100476967398654,0.108287172803302,0.0933521078682369,0.183161812361575,0.186647401213314,0.396469769930444,0.157675438596491,0.120833333333333,0.138556067588326,0.10952380952381,0.0833333333333333,0.237720363079615,0.245384615384615,0.212051282051282,0.17051282051282,0.225728822882288,0.599520779971908,0.599520779971908,-0.552085268267086,0.578006364147187,-0.576773185910519,0.377821178349539,0.342541372996741,0.342541372996741,0.342541372996741,0,-0.653988975902618,-0.611541394702016,-0.321773448674164,0.466241322990897,0.403498231900242,0.437942202756293,0.366814814814815,0.404608869422959,0.328148148148148,0.367874175545408,0.328148148148148,0.28,0.28,-0.0333333333333333,-0.0761904761904762,0.2,0.365858597554574,-0.159543721909313,-0.351401186384237
"EGR1",0.437288147864631,0.459043770179828,0.424029764577587,0.378991596638655,0.314285714285714,0.341984673357092,0.437712760660439,0.28,0.389064112011791,0.336521739130435,0.100476967398654,0.108287172803302,0.0933521078682369,0.183161812361575,0.186647401213314,0.396469769930444,0.157675438596491,0.120833333333333,0.138556067588326,0.10952380952381,0.0833333333333333,0.237720363079615,0.245384615384615,0.212051282051282,0.17051282051282,0.225728822882288,0.599520779971908,0.599520779971908,-0.552085268267086,0.578006364147187,-0.576773185910519,0.377821178349539,0.342541372996741,0.342541372996741,0.342541372996741,0,-0.653988975902618,-0.611541394702016,-0.321773448674164,0.466241322990897,0.403498231900242,0.437942202756293,0.366814814814815,0.404608869422959,0.328148148148148,0.367874175545408,0.328148148148148,0.28,0.28,-0.0333333333333333,-0.0761904761904762,0.2,0.365858597554574,-0.159543721909313,-0.351401186384237
"ZEB1",0.46381723827196,0.496020644005492,0.459525798644667,0.417117421681316,0.364176245210728,0.342285300428559,0.363063161737861,0.216666666666667,0.321244979919679,0.276666666666667,0.185214549848058,0.179244217604873,0.166713505074161,0.273751777351648,0.283054695562436,0.475474522987484,0.250701754385965,0.220701754385965,0.223106060606061,0.195833333333333,0.173333333333333,0.340886204270537,0.363753546099291,0.327583333333333,0.289583333333333,0.294335839598997,0.602293926009346,0.602293926009346,-0.550654082114205,0.539133425563592,-0.653123249506283,0.452833539997162,0.419614951356887,0.419614951356887,0.419614951356887,0,-0.650579318080972,-0.621358636948988,-0.37171152637081,0.518221540073504,0.462985326382045,0.492213047504501,0.428689297501179,0.461618146654643,0.388095238095238,0.427311577311577,0.385897435897436,0.338095238095238,0.335897435897436,-0.133333333333333,-0.158333333333333,0.266666666666667,0.380667424838506,-0.249838733873387,-0.329044742667034
"TGFR",0.580048362382685,0.599047619047619,0.55047619047619,0.593333333333333,0.526666666666667,0.477365800657415,0.518505624792575,0.376190476190476,0.474670008354219,0.423558897243108,0.248268329532223,0.239198540333886,0.22603128054741,0.294431375413988,0.374350119484758,0.508867495654499,0.341791979949875,0.315476190476191,0.234367816091954,0.203333333333333,0.258333333333333,0.352538664272993,0.432045811626561,0.38816091954023,0.343333333333333,0.224788823911631,0.607324185464287,0.607324185464287,-0.557068395626748,0.561389735630414,-0.568021011910272,0.441688311688312,0.396839826839827,0.396839826839827,0.396839826839827,0,-0.651745927099699,-0.615367179103066,-0.400696156677833,0.468273548250706,0.38997656924405,0.432421013688494,0.342264150943396,0.390264150943396,0.28,0.342264150943396,0.28,0.2,0.2,-0.233333333333333,-0.153333333333333,0.1,0.192420066267022,-0.265617816091954,-0.452268021833239
"Csl",0.454116087345141,0.47532959765763,0.440587813620072,0.396071684587814,0.331555555555555,0.354717925386715,0.455873015873016,0.286666666666667,0.408095238095238,0.350952380952381,0.206429274050757,0.11426746884996,0.0979753340184995,0.199004672966392,0.203576878471586,0.415625028141382,0.172868217054264,0.133333333333333,0.151206636500754,0.121794871794872,0.0888888888888889,0.253239914646626,0.262631803523145,0.228372544263885,0.186267281105991,0.251995176411094,0.610379674567318,0.610379674567318,-0.559126984126984,0.572714261851244,-0.576417165798961,0.376624098360065,0.34156433740389,0.34156433740389,0.34156433740389,0,-0.666194923265953,-0.622118027777693,-0.318695903214282,0.453191238354147,0.390385346870703,0.424847680071938,0.353146853146853,0.391299292975164,0.314685314685315,0.354011157381944,0.314685314685315,0.269230769230769,0.269230769230769,-0.0333333333333333,-0.0833333333333333,0.2,0.351291164287685,-0.173787281662044,-0.363304405489563
"SMAD",0.496168661499009,0.515331665628056,0.477754663574668,0.431991951710262,0.371428571428571,0.391449674120907,0.470652011742431,0.314285714285714,0.422612796056157,0.369124423963134,0.229016604874041,0.119002059584251,0.204578982661174,0.302532470879291,0.309927574633457,0.435296307993434,0.276143790849673,0.238888888888889,0.250833333333333,0.220833333333333,0.205555555555556,0.358127327401003,0.366292176492399,0.329195402298851,0.286666666666667,0.25790446613428,0.625491536167997,0.625491536167997,-0.574640601705278,0.583894420132054,-0.587158158295133,0.460849970845911,0.424920767306088,0.424920767306088,0.424920767306088,0,-0.676522634007674,-0.635834701696771,-0.358017991186789,0.465485331866892,0.401638499265877,0.436620467002027,0.362605042016807,0.402526315789474,0.321428571428571,0.363428571428571,0.321428571428571,0.271428571428571,0.271428571428571,-0.15,-0.183333333333333,0.2,0.262367758764607,-0.277438837920489,-0.386559062050694
"SNAI1",0.467248201126948,0.490412191232459,0.459043770179828,0.424029764577587,0.378991596638655,0.268067445253146,0.473047633639654,0.336521739130435,0.437712760660439,0.389064112011791,0.118441039254941,0.119565368292024,0.108287172803302,0.206633212756052,0.215473023989114,0.426998356769711,0.186647401213314,0.157675438596491,0.159543721909313,0.138556067588326,0.120833333333333,0.264176673759227,0.277460087082729,0.245384615384615,0.212051282051282,0.24740182668457,0.632683392007759,0.632683392007759,-0.587754058076004,0.61138644829866,-0.612236215343398,0.407633174768519,0.377821178349539,0.377821178349539,0.377821178349539,0,-0.690912877295973,-0.645938204273303,-0.344065442394729,0.489678822990897,0.436959034959515,0.466241322990897,0.403498231900242,0.437942202756293,0.366814814814815,0.404608869422959,0.367874175545408,0.328148148148148,0.328148148148148,-0.0833333333333333,-0.10952380952381,0.28,0.382291805617437,-0.183161812361575,-0.381357133520801
"GLI",0.497874562207942,0.616180049580857,0.577237741888549,0.530402298850575,0.468333333333333,0.404846650524617,0.555611139326223,0.402857142857143,0.509242424242424,0.461190476190476,0.15473324072645,0.158443431994122,0.144856475472383,0.325490045953135,0.238626703616935,0.429707227766174,0.206343239050006,0.175730994152047,0.273339598997494,0.247023809523809,0.138888888888889,0.279683280435399,0.291788240495137,0.254288240495137,0.214288240495137,0.233301153124162,0.635300990346639,0.635300990346639,-0.586439909297052,0.597222440647421,-0.596612920605637,0.470594657752604,0.432779531702184,0.432779531702184,0.432779531702184,0,-0.677182350275473,-0.646175153822213,-0.412174277068687,0.487633337168653,0.420688158627305,0.457374335273517,0.480076804915515,0.421225686624868,0.434838709677419,0.380517722023098,0.334838709677419,0.38,0.28,-0.0833333333333333,-0.20952380952381,0.2,0.329625184165246,-0.299870211242392,-0.40613012230488
"TCFLEF",0.631709717840568,0.640796173113246,0.595538720538721,0.537962962962963,0.460185185185185,0.444333391116565,0.59887603950104,0.42,0.548605769230769,0.489230769230769,0.223474832915622,0.210687159666234,0.192614870509607,0.373230056999232,0.377715924426451,0.624726770813727,0.342628205128205,0.304166666666667,0.311567398119122,0.273636363636364,0.241666666666667,0.412720619553725,0.512044144580909,0.470867673992674,0.423992673992674,0.253960353372118,0.649153782725211,0.649153782725211,-0.488818181818182,0.739367155839999,-0.648952612821942,0.582999038263205,0.541238315915575,0.541238315915575,0.541238315915575,0,-0.761960824227739,-0.657482467587906,-0.436043558221472,0.52133671244322,0.541503113325031,0.484025425599223,0.492503113325031,0.539664523343584,0.441818181818182,0.490684931506849,0.44,0.381818181818182,0.38,-0.166666666666667,-0.21,0.3,0.325426563926896,-0.340835690802049,-0.524334875650665
