"","TGF","FOXC2","TGFR","SNAI2","CDC42","cateninnuc","AXIN2","TWIST1","MEK","TCFLEF","RAS","PAK1","GLI","CD44","SNAI1","RAF","PI3K","DELTA","ERK","Wnt","NOTCH","cMet","Destcompl","Jagged","NOTCHic","Frizzled","SRC","cfos","Csl","SOSGRB2","DSH","AKT","STAT","SHH","IKK","EGR1","SMO","NFB","HEY1","SMAD","FUS","ILK","LIV1","Csn","ZEB2","ZEB1","KLF4","miR200","TrCP","SUFU","Patched","RKIP","GSK3","cateninmemb","Ecadherin"
"ERK",0.386860236882066,0.361458089389124,0.361036061057891,0.672067969292108,0.320890075656431,0.395319607872401,0.395073461853332,0.421232175401222,0.208595416332017,0.378305718983512,0.146691092186142,0.267619047619048,0.359485076327182,0.358231369541132,0.264184918516713,0.121938616938617,0.121938616938617,0.121938616938617,0.174333577891905,0.338181818181818,0.268818102746566,0.336602870813397,0.0454175411352268,0.287202168674379,0.244718379754876,0.312307692307692,0.310728744939271,0.227666911225238,0.21041181041181,0.12163415010017,0.27,0.208516375691227,0.268421052631579,0.2399058786261,0.185580595874714,0.187241379310345,0.208590163934426,0.156168831168831,0.175163637660932,0.177500355120237,0.184,0.165950203144554,0.2,0.110714285714286,0.441467696738768,0.441467696738768,-0.404802420117224,-0.451386387340658,-0.0857142857142857,-0.14,-0.224930033215472,-0.28297755695153,-0.20485159053192,-0.509251840236557,-0.565790327257698
"Jagged",0.331555555555555,0.312857142857143,0.255555555555556,0.422171945701357,0.2,0.314652014652015,0.27,0.285,0.286666666666667,0.287179487179487,0.243636363636364,0.2,0.253846153846154,0.253846153846154,0.258333333333333,0.18,0.18,0.18,0.22,0.2,0.231428571428571,0.2,0.284432432432432,0.156969696969697,0.16,0.1,0.1,0.2,0.1,0.12,0,0.0888888888888889,0,0.121794871794872,0.0333333333333333,0.1,0.0333333333333333,0,0.166666666666667,0.0714285714285714,0,0.0666666666666667,0,0,0.46207729468599,0.46207729468599,-0.405555555555556,-0.472121212121212,0,0,-0.0833333333333333,-0.235897435897436,-0.229501915708812,-0.385439912200476,-0.440561403508772
"DELTA",0.331555555555555,0.312857142857143,0.255555555555556,0.422171945701357,0.2,0.314652014652015,0.27,0.285,0.286666666666667,0.287179487179487,0.243636363636364,0.2,0.253846153846154,0.253846153846154,0.258333333333333,0.18,0.18,0.18,0.22,0.2,0.231428571428571,0.2,0.284432432432432,0.156969696969697,0.16,0.1,0.1,0.2,0.1,0.12,0,0.0888888888888889,0,0.121794871794872,0.0333333333333333,0.1,0.0333333333333333,0,0.166666666666667,0.0714285714285714,0,0.0666666666666667,0,0,0.46207729468599,0.46207729468599,-0.405555555555556,-0.472121212121212,0,0,-0.0833333333333333,-0.235897435897436,-0.229501915708812,-0.385439912200476,-0.440561403508772
"NFB",0.572229893875463,0.542029745376359,0.529191919191919,0.689484097607562,0.469191919191919,0.449402876515968,0.435455927051672,0.562306255835668,0.306438842203548,0.425481307888517,0.409622550065043,0.405555555555556,0.399298953231537,0.398899029407504,0.321780105421745,0.377781754045142,0.377781754045142,0.377781754045142,0.252190476190476,0.37008547008547,0.400979379043895,0.37008547008547,0.152012415421195,0.30631117973475,0.362914862914863,0.331623931623932,0.331623931623932,0.178857142857143,0.307359307359307,0.336627598407784,0.277777777777778,0.358820248820249,0.277777777777778,0.27862592130976,0.321042471042471,0.142857142857143,0.228148148148148,0.264285714285714,0.198011573050273,0.199542600635528,0.18,0.18578795379538,0.2,0.314285714285714,0.474843833722237,0.474843833722237,-0.41529304029304,-0.479293751915583,-0.3,-0.12,-0.2557343550447,-0.315783942833123,-0.247797888386124,-0.58909287303322,-0.691538846269413
"cMet",0.46838061465721,0.452605485232067,0.419444444444444,0.601838291473328,0.375,0.436829083411661,0.364603174603175,0.468363995555007,0.448636363636364,0.401800834824091,0.335687331536388,0.3,0.354848484848485,0.354108527131783,0.44669171645086,0.282857142857143,0.282857142857143,0.282857142857143,0.425,0.286666666666667,0.342425211966085,0.286666666666667,-0.0117763567343399,0.289107124759299,0.297744360902256,0.2,0.3,0.385,0.271428571428571,0.0452380952380952,0.1,0.298333333333333,0.2,0.237613636363636,0.273333333333333,0.325,0.17,0.266666666666667,0.21781905744754,0.213982683982684,0.15,0.197619047619048,0.1,0.2,0.477633477633478,0.477633477633478,-0.33015873015873,-0.48584733201581,-0.2,-0.1,-0.206363636363636,-0.479259259259259,-0.333429339477727,-0.516808493997106,-0.580801434174152
"SMO",0.52490990990991,0.431379310344828,0.481666666666667,0.452993979200876,0.44,0.288960913610888,0.363024331989849,0.281917211328976,0.393240093240093,0.265652642934196,0.380154293381038,0.4,0.338888888888889,0.235555555555556,0.363364055299539,0.347596153846154,0.347596153846154,0.347596153846154,0.353846153846154,0.3,0.323787878787879,0.196666666666667,0.314668587226727,0.235740740740741,0.278787878787879,0.25,0.15,0.3,0.233333333333333,0.255263157894737,0.2,0.236857142857143,0.1,0.324166666666667,0.192857142857143,0.2,0.253333333333333,0.15,0.128937728937729,0.134285714285714,0.333333333333333,0.12,0.1,0.1,0.482485875706215,0.482485875706215,-0.413888888888889,-0.492374924653406,0,-0.3,-0.290833333333333,-0.352857142857143,-0.33328354493403,-0.3804805651251,-0.412415610806594
"TWIST1",0.523935454616862,0.536864045556844,0.485438871473354,0.729954721049579,0.440438871473354,0.466357858253818,0.460743611227482,0.465151647234027,0.477104295456357,0.444218697816786,0.451707802473184,0.381818181818182,0.418054803675856,0.417113031660584,0.47968413689195,0.42054341891154,0.42054341891154,0.42054341891154,0.431830663615561,0.385254803675856,0.419711336881148,0.384582911178656,0.395901310965108,0.409863201411797,0.379145299145299,0.348412698412698,0.348412698412698,0.371304347826087,0.335555555555555,0.315754268614681,0.309523809523809,0.460917613459986,0.309523809523809,0.458591118009162,0.416849816849817,0.28,0.391555555555556,0.369230769230769,0.243465573974049,0.237967084996788,0.355555555555556,0.21981526981527,0.266666666666667,0.3,0.488073160880178,0.488073160880178,-0.404315196998124,-0.496082171680117,-0.2,-0.3,-0.428541856925419,-0.461840770536423,-0.402523785868048,-0.652716427721299,-0.813657405438315
"NOTCH",0.389620071684588,0.372040816326531,0.331555555555555,0.462912686442098,0.255555555555556,0.341182626896913,0.317169811320755,0.327372881355932,0.350952380952381,0.314652014652015,0.28566534914361,0.2,0.287179487179487,0.287179487179487,0.293717948717949,0.243636363636364,0.243636363636364,0.243636363636364,0.286666666666667,0.253846153846154,0.179815668202765,0.253846153846154,0.306862338974489,0.179191919191919,0.231428571428571,0.2,0.2,0.22,0.16,0.167368421052632,0.1,0.133333333333333,0.1,0.145324283559578,0.0888888888888889,0.2,0.0833333333333333,0.0333333333333333,0.171014492753623,0.0814285714285714,0.0333333333333333,0.0714285714285714,0,0,0.52133655394525,0.52133655394525,-0.46207729468599,-0.529264069264069,0,0,-0.121794871794872,-0.28762157382847,-0.263592824799721,-0.427848289163826,-0.488948500282966
"FUS",0.564271612037569,0.470852994555354,0.52490990990991,0.485130424443246,0.481666666666667,0.309069609263062,0.397185822673079,0.315948624941541,0.431171127722852,0.288960913610888,0.407665210411605,0.44,0.36965811965812,0.265652642934196,0.390722545865577,0.380154293381038,0.380154293381038,0.380154293381038,0.393240093240093,0.338888888888889,0.360151515151515,0.235555555555556,0.329997054380011,0.259837126282909,0.323787878787879,0.3,0.196666666666667,0.353846153846154,0.278787878787879,0.274493927125506,0.25,0.271472527472527,0.15,0.34739898989899,0.236857142857143,0.3,0.290833333333333,0.192857142857143,0.144879757923236,0.145253456221198,0.253333333333333,0.134285714285714,0.1,0.15,0.527271151779834,0.527271151779834,-0.461429872495446,-0.53692938009895,-0.1,-0.333333333333333,-0.324166666666667,-0.393063328424153,-0.355691571689883,-0.413813898458433,-0.448579994368237
"SRC",0.544693362193362,0.52952847805789,0.497420634920635,0.460913195874733,0.440277777777778,0.444259294045245,0.401734030345531,0.426654035619553,0.440842386125405,0.415847660935626,0.444920544620169,0.377777777777778,0.379262295081967,0.379262295081967,0.426411763580482,0.399465999165624,0.399465999165624,0.399465999165624,0.38989898989899,0.335,0.301666666666667,0.335,0.172489249880554,0.227278287461774,0.262380952380952,0.275,0.275,0.345454545454545,0.21,0.124285714285714,0.2,0.24957264957265,0.3,0.18161220043573,0.221794871794872,0.3,0.123333333333333,0.183333333333333,0.138124793114863,0.13127667140825,0.0833333333333333,0.117763157894737,0.2,0.15,0.547866127583109,0.547866127583109,-0.39515503875969,-0.556665202752159,-0.1,-0.0333333333333333,-0.149259259259259,-0.493255131964809,-0.368311688311688,-0.550087935937734,-0.625722632487338
"cfos",0.40751209574739,0.391279633804741,0.371148459383754,0.496320346320346,0.314285714285714,0.368695527210379,0.355435139573071,0.335064935064935,0.385674281503316,0.346102934617786,0.313373452361975,0.242857142857143,0.319649122807018,0.32036036036036,0.305576195955943,0.280446623093682,0.280446623093682,0.280446623093682,0.336521739130435,0.293333333333333,0.195128205128205,0.293333333333333,0.329350260159389,0.182916666666667,0.162820512820513,0.26,0.26,0.28,0.116666666666667,0.1875,0.2,0.152412280701754,0.2,0.148153837401149,0.120833333333333,0.32,0.10952380952381,0.0833333333333333,0.0813593203398301,0.0933521078682369,0.0761904761904762,0.0788359788359788,0.1,0.0333333333333333,0.557106345363004,0.557106345363004,-0.509936507936508,-0.569357439945675,0,-0.0333333333333333,-0.1321044546851,-0.313123543123543,-0.28525974025974,-0.454106573725183,-0.500645019094068
"CDC42",0.40751209574739,0.391279633804741,0.371148459383754,0.496320346320346,0.314285714285714,0.368695527210379,0.355435139573071,0.335064935064935,0.385674281503316,0.346102934617786,0.313373452361975,0.342857142857143,0.319649122807018,0.32036036036036,0.305576195955943,0.280446623093682,0.280446623093682,0.280446623093682,0.336521739130435,0.293333333333333,0.195128205128205,0.293333333333333,0.329350260159389,0.182916666666667,0.162820512820513,0.26,0.26,0.28,0.116666666666667,0.1875,0.2,0.152412280701754,0.2,0.148153837401149,0.120833333333333,0.22,0.10952380952381,0.0833333333333333,0.0813593203398301,0.0933521078682369,0.0761904761904762,0.0788359788359788,0.1,0.0333333333333333,0.557106345363004,0.557106345363004,-0.509936507936508,-0.569357439945675,0,-0.0333333333333333,-0.1321044546851,-0.313123543123543,-0.28525974025974,-0.454106573725183,-0.500645019094068
"TGF",0.546904761904762,0.5325,0.593333333333333,0.492344716619968,0.526666666666667,0.3911587072312,0.339065255731922,0.45462962962963,0.474670008354219,0.359101290963257,0.385714285714286,0.46,0.320943396226415,0.320943396226415,0.43949777495232,0.335714285714286,0.335714285714286,0.335714285714286,0.423558897243108,0.27,0.384712643678161,0.27,0.162838542138107,0.308744477172312,0.343333333333333,0.2,0.2,0.376190476190476,0.273333333333333,0.181578947368421,0.1,0.341791979949875,0.1,0.262492816091954,0.315476190476191,0.333333333333333,0.203333333333333,0.258333333333333,0.231850419084462,0.22603128054741,0.153333333333333,0.211515151515151,0,0.233333333333333,0.559795668354021,0.559795668354021,-0.507068395626748,-0.567284583232859,-0.2,-0.133333333333333,-0.234367816091954,-0.411688311688312,-0.365812443698941,-0.466568409999473,-0.526762880850664
"NOTCHic",0.427199689518983,0.410750493745885,0.389620071684588,0.497181223516247,0.331555555555555,0.364541405522867,0.351892033542977,0.358190491418825,0.405238095238095,0.341182626896913,0.319655496926861,0.255555555555556,0.314061207609595,0.314652014652015,0.320702075702076,0.28566534914361,0.28566534914361,0.28566534914361,0.350952380952381,0.287179487179487,0.214026194518554,0.287179487179487,0.324862338974489,0.199721720516422,0.179815668202765,0.253846153846154,0.253846153846154,0.286666666666667,0.231428571428571,0.217368421052632,0.2,0.168217054263566,0.2,0.163603853452051,0.133333333333333,0.22,0.121794871794872,0.0888888888888889,0.184860646599777,0.0979753340184995,0.0833333333333333,0.0814285714285714,0.1,0.0333333333333333,0.568003220611916,0.568003220611916,-0.515648723257419,-0.57955308660511,0,-0.0333333333333333,-0.145324283559578,-0.325649742842555,-0.289212659510465,-0.4653736441334,-0.527999036270714
"TCFLEF",0.603020346083041,0.615156216926071,0.57619915403006,0.477428743362999,0.547227191413238,0.195164103062858,0.59374358974359,0.426567410254962,0.527041645926663,0.178583347049112,0.404895888774618,0.507692307692308,0.26113240837026,0.257162957587486,0.433880919173806,0.382162643045315,0.382162643045315,0.382162643045315,0.500511033681765,0.234424333836099,0.392199549511618,0.230747863247863,0.316062901750139,0.277994479507295,0.368611509644508,0.204509803921569,0.200833333333333,0.472891986062718,0.345082097879802,0.19941655151236,0.174509803921569,0.309984991165917,0.170833333333333,0.280689924891389,0.290419773774612,0.431428571428571,0.24047619047619,0.271064935064935,0.202196974022267,0.185159955337675,0.216666666666667,0.175408521303258,0.133333333333333,0.235064935064935,0.576146065922382,0.576146065922382,-0.440433218742042,-0.58737790990803,-0.171428571428571,-0.183333333333333,-0.259831029185868,-0.43611424897828,-0.355111087901445,-0.415518721093868,-0.566795254807797
"STAT",0.470283643066824,0.446418541240627,0.435017942583732,0.47024659113598,0.382386363636364,0.429923285368968,0.418085443967797,0.444350660167752,0.426426312460468,0.407634846751566,0.397355267706134,0.313636363636364,0.380977845683728,0.381451881451881,0.340664852241318,0.365265715467328,0.365265715467328,0.365265715467328,0.378039215686275,0.353246753246753,0.244632410823159,0.353246753246753,0.375682129955566,0.227037127645942,0.210651828298887,0.321428571428571,0.321428571428571,0.313333333333333,0.164705882352941,0.322454844006568,0.271428571428571,0.188450363196126,0.271428571428571,0.179268710983055,0.152857142857143,0.233333333333333,0.133333333333333,0.11,0.0973333333333333,0.108062635348992,0.1,0.0908212560386473,0.3,0.05,0.578312712928098,0.578312712928098,-0.422133095662507,-0.591477465462212,0,-0.05,-0.158914728682171,-0.350291184041184,-0.358420115709835,-0.55508953926968,-0.638290784779674
"PAK1",0.434834500118975,0.418865840701293,0.40751209574739,0.524530111238972,0.371148459383754,0.387178285831068,0.384365957183134,0.361151891586674,0.427007614836649,0.368695527210379,0.341555270543793,0.314285714285714,0.345502781343603,0.346102934617786,0.329203880920143,0.313373452361975,0.313373452361975,0.313373452361975,0.385674281503316,0.319649122807018,0.22040293040293,0.32036036036036,0.344387854144351,0.204389059304703,0.195128205128205,0.293333333333333,0.293333333333333,0.336521739130435,0.162820512820513,0.212252475247525,0.26,0.176486354775828,0.26,0.167153837401149,0.152412280701754,0.28,0.1321044546851,0.120833333333333,0.100476967398654,0.106900494965011,0.10952380952381,0.0933521078682369,0.2,0.0833333333333333,0.593440750507698,0.593440750507698,-0.54928077023159,-0.605905663295929,-0.0333333333333333,-0.0761904761904762,-0.148153837401149,-0.342405311079344,-0.306350649350649,-0.484143203761813,-0.530748825322442
"LIV1",0.434834500118975,0.418865840701293,0.40751209574739,0.524530111238972,0.371148459383754,0.387178285831068,0.384365957183134,0.361151891586674,0.427007614836649,0.368695527210379,0.341555270543793,0.314285714285714,0.345502781343603,0.346102934617786,0.329203880920143,0.313373452361975,0.313373452361975,0.313373452361975,0.385674281503316,0.319649122807018,0.22040293040293,0.32036036036036,0.344387854144351,0.204389059304703,0.195128205128205,0.293333333333333,0.293333333333333,0.336521739130435,0.162820512820513,0.212252475247525,0.26,0.176486354775828,0.26,0.167153837401149,0.152412280701754,0.28,0.1321044546851,0.120833333333333,0.100476967398654,0.106900494965011,0.10952380952381,0.0933521078682369,0.2,0.0833333333333333,0.593440750507698,0.593440750507698,-0.54928077023159,-0.605905663295929,-0.0333333333333333,-0.0761904761904762,-0.148153837401149,-0.342405311079344,-0.306350649350649,-0.484143203761813,-0.530748825322442
"EGR1",0.434834500118975,0.418865840701293,0.40751209574739,0.524530111238972,0.371148459383754,0.387178285831068,0.384365957183134,0.361151891586674,0.427007614836649,0.368695527210379,0.341555270543793,0.314285714285714,0.345502781343603,0.346102934617786,0.329203880920143,0.313373452361975,0.313373452361975,0.313373452361975,0.385674281503316,0.319649122807018,0.22040293040293,0.32036036036036,0.344387854144351,0.204389059304703,0.195128205128205,0.293333333333333,0.293333333333333,0.336521739130435,0.162820512820513,0.212252475247525,0.26,0.176486354775828,0.26,0.167153837401149,0.152412280701754,0.28,0.1321044546851,0.120833333333333,0.100476967398654,0.106900494965011,0.10952380952381,0.0933521078682369,0.2,0.0833333333333333,0.593440750507698,0.593440750507698,-0.54928077023159,-0.605905663295929,-0.0333333333333333,-0.0761904761904762,-0.148153837401149,-0.342405311079344,-0.306350649350649,-0.484143203761813,-0.530748825322442
"ZEB1",0.476783098784621,0.450414974607829,0.448042941304306,0.490946548879011,0.41200233216725,0.446554580747801,0.444088499885448,0.444532713493308,0.357641012352077,0.429333445718447,0.425251750522214,0.364176245210728,0.411716592015812,0.408854722314191,0.333424372902682,0.39926749855371,0.39926749855371,0.39926749855371,0.320196078431373,0.387317966586259,0.34280505590666,0.384549166758636,0.370230236284363,0.310104802047563,0.314705882352941,0.360394889663182,0.357098186366479,0.276666666666667,0.283333333333333,0.284249512670565,0.323809523809524,0.27714203541641,0.32051282051282,0.258990443475999,0.248570606844981,0.216666666666667,0.218560606060606,0.220701754385965,0.185035508532918,0.178090546112219,0.195833333333333,0.166552084573757,0.266666666666667,0.173333333333333,0.599556110761684,0.599556110761684,-0.550482353019713,-0.619151311258168,-0.133333333333333,-0.158333333333333,-0.240129233511586,-0.324681185996466,-0.363844830006054,-0.573144090788791,-0.542369646623027
"Csl",0.455544360720797,0.439486125929793,0.427199689518983,0.526338568780974,0.389620071684588,0.38358085663779,0.381455015548118,0.385504261170518,0.447629399585921,0.364541405522867,0.348331967515097,0.331555555555555,0.340674110835401,0.341182626896913,0.345998518389823,0.319655496926861,0.319655496926861,0.319655496926861,0.405238095238095,0.314061207609595,0.241298921791282,0.314652014652015,0.340036013563154,0.222638387183089,0.214026194518554,0.287179487179487,0.287179487179487,0.350952380952381,0.179815668202765,0.240945656824989,0.253846153846154,0.195348837209302,0.253846153846154,0.184293508624465,0.168217054263566,0.286666666666667,0.145324283559578,0.133333333333333,0.206429274050757,0.112975334018499,0.121794871794872,0.0979753340184995,0.2,0.0888888888888889,0.606124767573242,0.606124767573242,-0.55707729468599,-0.618115178108378,-0.0333333333333333,-0.0833333333333333,-0.163603853452051,-0.357446977865596,-0.310862144046548,-0.496566304683859,-0.559743222317226
"TGFR",0.59016717325228,0.573984716157205,0.546904761904762,0.533316938842191,0.593333333333333,0.417110877293202,0.384988002513038,0.491996177672334,0.517135761778876,0.3911587072312,0.425480367585631,0.526666666666667,0.359007912355447,0.359101290963257,0.472831108285654,0.385714285714286,0.385714285714286,0.385714285714286,0.474670008354219,0.320943396226415,0.422842140081039,0.320943396226415,0.185620800202624,0.33628070905637,0.384712643678161,0.27,0.27,0.423558897243108,0.343333333333333,0.222319688109162,0.2,0.37202453808941,0.2,0.287916544905513,0.341791979949875,0.376190476190476,0.234367816091954,0.315476190476191,0.248268329532223,0.239198540333886,0.203333333333333,0.22603128054741,0.1,0.258333333333333,0.606210762693643,0.606210762693643,-0.557068395626748,-0.614498659479193,-0.233333333333333,-0.153333333333333,-0.262492816091954,-0.45025974025974,-0.396374790887205,-0.508600742562983,-0.569522676421363
"SMAD",0.497895463322793,0.483376605762218,0.466022953362634,0.541317378032659,0.42635814889336,0.399904688909639,0.39292860880137,0.407959025076269,0.463556445430039,0.380147850003864,0.435269661101941,0.371428571428571,0.355577955218243,0.356131567778627,0.383777285438576,0.405335450575625,0.405335450575625,0.405335450575625,0.420287214660808,0.326800976800977,0.347536945812808,0.327404295051354,0.252450086145454,0.330983940790392,0.316584564860427,0.296031746031746,0.296031746031746,0.369124423963134,0.280952380952381,0.248025732031943,0.257142857142857,0.302888888888889,0.257142857142857,0.289958704227914,0.272222222222222,0.314285714285714,0.245833333333333,0.238888888888889,0.229016604874041,0.117912315994508,0.220833333333333,0.204578982661174,0.2,0.205555555555556,0.621837372340815,0.621837372340815,-0.572894139796215,-0.63241471012841,-0.15,-0.183333333333333,-0.268769113149847,-0.381389566480046,-0.351184454643101,-0.510692561370861,-0.57345061911374
"SNAI1",0.459834500118975,0.443643477295956,0.434834500118975,0.548164036817249,0.40751209574739,0.401788507823841,0.409307682124858,0.384433942868725,0.456604027392703,0.387178285831068,0.363886961841001,0.371148459383754,0.368354700904846,0.368695527210379,0.251090001916585,0.341555270543793,0.341555270543793,0.341555270543793,0.427007614836649,0.345502781343603,0.24570905285191,0.346102934617786,0.35655890677593,0.223683176951762,0.22040293040293,0.319649122807018,0.32036036036036,0.385674281503316,0.195128205128205,0.2269694563796,0.293333333333333,0.201486354775828,0.293333333333333,0.185600439342897,0.176486354775828,0.336521739130435,0.148153837401149,0.152412280701754,0.116548395970082,0.116371589675958,0.1321044546851,0.106900494965011,0.26,0.120833333333333,0.623330049400687,0.623330049400687,-0.582614103564923,-0.637125644083633,-0.0833333333333333,-0.10952380952381,-0.167153837401149,-0.369183553757168,-0.323842398525567,-0.508426450739361,-0.55691948088956
"GLI",0.595363682753518,0.482303814069487,0.563128388635871,0.548643448994077,0.523505747126437,0.41196146077613,0.4000211352657,0.397685724952278,0.546976513357729,0.391578914452161,0.438902569139768,0.468333333333333,0.366265896887238,0.366254239127486,0.39387325554793,0.407813460228877,0.407813460228877,0.407813460228877,0.506645021645022,0.436053130929791,0.27036787924719,0.336081825334382,0.309991929909672,0.251025174347891,0.239891688770999,0.401935483870968,0.301935483870968,0.461190476190476,0.207391688770999,0.221676052561008,0.36,0.230386606396945,0.26,0.312336120283071,0.202261606396945,0.402857142857143,0.268076441102757,0.175730994152047,0.15473324072645,0.157288907904816,0.247023809523809,0.144856475472383,0.2,0.138888888888889,0.630247055811572,0.630247055811572,-0.584114114114114,-0.641514192721623,-0.0833333333333333,-0.20952380952381,-0.290525420694594,-0.398735432062145,-0.398014568500029,-0.50790679176236,-0.557807634079003
