"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","ERK","SNAI1","cfos","EGR1","HEY1","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","SOSGRB2","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Csn",0.253628756931699,0.279771395206155,0.252802421459138,0.206648575305292,0.145454545454545,0.218422619047619,0.192380952380952,0.164599911436857,0.152121212121212,0.106666666666667,0.0753737541528239,0.0818475998871662,0.0687370600414079,0.139396839132429,0.204166666666667,0.294960261804582,0.184166666666667,0.155,0.108513708513709,-0.0243998616395711,0.0873015873015873,0.186845221450699,0.105,0.2627109002109,0.238672438672439,0.201010101010101,-0.399880772821949,0.437214226633582,0.437214226633582,0.438175063105962,-0.442370015831975,0.227637689405562,0.202493735470821,0.202493735470821,0.202493735470821,-0.516743725919167,-0.148908887015118,-0.445018334053115,0.419835433947705,0.37427547866515,0.398849264374644,0.348511286525412,0.374733508747634,0.348511286525412,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.407069759206799,-0.18,-0.0428571428571429,0.2,0.0504276184258625,-0.124642740771773,-0.179131705132546
"ERK",0.366336814267849,0.393626098757417,0.363955769087088,0.320890075656431,0.267619047619048,0.182842438201275,0.155822939594033,0.269526798858594,0.219156272927366,0.187241379310345,0.175163637660932,0.176892452384675,0.165950203144554,0.244935716648265,0.208516375691227,0.432541685739858,0.185580595874714,0.156168831168831,0.208590163934426,-0.0210584065341347,0.184,0.298312447972428,0.110714285714286,0.274507893878256,0.247638087784073,0.21041181041181,-0.404802420117224,0.442727539258453,0.442727539258453,0.687943805100609,-0.544787964800055,0.147986078827663,0.122573537573538,0.122573537573538,0.122573537573538,-0.618750804129241,-0.213671416001986,-0.452366779497521,0.420336830702416,0.378681669207985,0.400545164035749,0.352867132867133,0.377496836898203,0.351288185498712,0.32,0.318421052631579,0.27,0.268421052631579,0.411646311331399,-0.0857142857142857,-0.14,0.2,0.0586129095214099,-0.227544412300439,-0.284091763079664
"STAT",0.218786639400136,0.21176467189053,0.194856459330144,0.165909090909091,0.140909090909091,0.2235926628716,0.211764705882353,0.148182485181735,0.2,0.2,0.0586666666666667,0.0661113887500694,0.0615136876006441,0.0628225972422309,0.0461501210653753,0.0802251471666764,0.0342857142857143,0.02,0.045,0.143924466338259,0.025,0.0675142417782127,0,0.0349658624929899,0.0204027556968733,-0.00392156862745098,-0.326728064963359,0.442935269858347,0.442935269858347,0.105304774345022,-0.0628629869659736,-0.0267505524486747,-0.037944582299421,-0.037944582299421,-0.037944582299421,-0.20560603104461,0.0421005785491767,-0.458532927961468,0.0325315917856516,0.0111440030557678,0.0224004833231963,-0.00146103896103896,0.0113594738594739,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,-0.0431294196000078,0,0,0,-0.0634173280695643,-0.0566279069767442,-0.173323680823681
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.22,0.258333333333333,0.2,0.1,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.293,0.0333333333333333,0,0.0333333333333333,0.04,0,0.166493506493506,0,0.231428571428571,0.16,0.1,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.22,0.258333333333333,0.2,0.1,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.293,0.0333333333333333,0,0.0333333333333333,0.04,0,0.166493506493506,0,0.231428571428571,0.16,0.1,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
"NFB",0.543623370874367,0.574761539445084,0.529191919191919,0.469191919191919,0.405555555555556,0.270203548085901,0.226412698412698,0.323971886243663,0.170857142857143,0.142857142857143,0.198011573050273,0.198799106211736,0.18578795379538,0.281035559863977,0.356598026598027,0.568179271708683,0.321042471042471,0.264285714285714,0.228148148148148,0.139511278195489,0.18,0.313312588916683,0.314285714285714,0.40226970162454,0.362914862914863,0.307359307359307,-0.41529304029304,0.474843833722237,0.474843833722237,0.698761725798832,-0.61265624380123,0.402859860356712,0.371516576774622,0.371516576774622,0.371516576774622,-0.730857473036303,-0.251956474897651,-0.479293751915583,0.465961828028842,0.409947181407856,0.439530455479823,0.376239316239316,0.40957264957265,0.376239316239316,0.331623931623932,0.331623931623932,0.277777777777778,0.277777777777778,0.443520770010132,-0.3,-0.12,0.2,0.159531272477971,-0.2557343550447,-0.314501891551072
"SRC",0.40859943977591,0.400551948051948,0.369642857142857,0.345833333333333,0.333333333333333,0.344253859348199,0.327272727272727,0.308263226544133,0.327272727272727,0.3,0.126804038397881,0.113934329065908,0.109429824561404,0.0953812636165577,0.168803418803419,0.258834154351396,0.157692307692308,0.15,0.0533333333333333,0.0357142857142857,0.0333333333333333,0.110475770406963,0.15,0.168809523809524,0.143809523809524,0.12,-0.354328165374677,0.481079664570231,0.481079664570231,0.207151486620042,-0.109673701541685,0.223501346379945,0.196228619107217,0.196228619107217,0.196228619107217,-0.273239538239538,-0.152380952380952,-0.493078612209047,0.0811660123422667,0.0344262295081967,0.0612554978008796,0,0.0344262295081967,0,-0.05,-0.05,-0.1,0,-0.0271686004505079,-0.1,-0.0333333333333333,0,-0.079581541646759,-0.0718518518518519,-0.405408927989573
"SMO",0.431379310344828,0.52490990990991,0.481666666666667,0.44,0.4,0.347179487179487,0.313846153846154,0.363364055299539,0.26,0.2,0.128937728937729,0.131111111111111,0.12,0.324166666666667,0.228857142857143,0.284858387799564,0.192857142857143,0.15,0.253333333333333,0.144736842105263,0.333333333333333,0.239312169312169,0.1,0.318787878787879,0.278787878787879,0.233333333333333,-0.413888888888889,0.482485875706215,0.482485875706215,0.457565407772304,-0.399283850088736,0.367095259391771,0.332211538461538,0.332211538461538,0.332211538461538,-0.446083963266817,-0.33328354493403,-0.492374924653406,0.302911242507563,0.344444444444444,0.275091693635383,0.3,0.241111111111111,0.196666666666667,0.25,0.15,0.2,0.1,0.366472607851918,0,-0.3,0.1,0.319191970819878,-0.290833333333333,-0.347301587301587
"TWIST1",0.536864045556844,0.523935454616862,0.485438871473354,0.440438871473354,0.381818181818182,0.408904220317178,0.372585812356979,0.478892057684029,0.325217391304348,0.26,0.241770658719811,0.234135035125134,0.217963417963418,0.457605896334286,0.45107096293537,0.465609313137917,0.412087912087912,0.369230769230769,0.391555555555556,0.0331064562185844,0.355555555555556,0.409863201411797,0.3,0.4143170456378,0.376581196581197,0.335555555555555,-0.404315196998124,0.488073160880178,0.488073160880178,0.730251236987311,-0.658642259734095,0.432516543893165,0.403064489098645,0.403064489098645,0.403064489098645,-0.827398306590327,-0.400976841009628,-0.496082171680117,0.470532602683722,0.418854803675856,0.446553304236338,0.385254803675856,0.417916244511989,0.384582911178656,0.348412698412698,0.348412698412698,0.309523809523809,0.309523809523809,0.461239889143115,-0.2,-0.3,0.266666666666667,0.397008936655958,-0.428541856925419,-0.456239517109082
"NOTCH",0.376122448979592,0.396071684587814,0.331555555555555,0.255555555555556,0.2,0.336666666666667,0.286666666666667,0.299871794871795,0.22,0.2,0.171014492753623,0.0814285714285714,0.0714285714285714,0.151206636500754,0.133333333333333,0.342152542372881,0.0888888888888889,0.0333333333333333,0.0833333333333333,0.0347368421052632,0.0333333333333333,0.196123136123136,0,0.186267281105991,0.231428571428571,0.16,-0.46207729468599,0.52133655394525,0.52133655394525,0.487894132011779,-0.483824412443246,0.297654808959157,0.252727272727273,0.252727272727273,0.252727272727273,-0.572694963214488,-0.277307558342041,-0.529264069264069,0.383193948908235,0.314685314685315,0.350949050949051,0.269230769230769,0.314685314685315,0.269230769230769,0.2,0.2,0.1,0.1,0.338490566037736,0,0,0,0.329512503157363,-0.121794871794872,-0.28762157382847
"FUS",0.472168784029038,0.566399271612038,0.52490990990991,0.481666666666667,0.44,0.380512820512821,0.347179487179487,0.390722545865577,0.313846153846154,0.26,0.141981207198598,0.142078853046595,0.131111111111111,0.34739898989899,0.263472527472527,0.320984042249826,0.228857142857143,0.192857142857143,0.290833333333333,0.137044534412955,0.253333333333333,0.264613374131446,0.15,0.357424242424242,0.318787878787879,0.278787878787879,-0.461429872495446,0.527271151779834,0.527271151779834,0.492933450860276,-0.437831336122255,0.395479538867754,0.367095259391771,0.367095259391771,0.367095259391771,-0.488823689294214,-0.357029364332024,-0.53692938009895,0.326280807724955,0.379059829059829,0.302911242507563,0.344444444444444,0.275091693635383,0.241111111111111,0.3,0.196666666666667,0.25,0.15,0.404360806609682,-0.1,-0.333333333333333,0.1,0.33744014600236,-0.324166666666667,-0.387507772868598
"TGF",0.534673913043478,0.55047619047619,0.593333333333333,0.526666666666667,0.46,0.46578111946533,0.423558897243108,0.442803560076287,0.376190476190476,0.333333333333333,0.231850419084462,0.22603128054741,0.211515151515151,0.265617816091954,0.341791979949875,0.465185185185185,0.315476190476191,0.258333333333333,0.203333333333333,0.1,0.153333333333333,0.319691948944526,0.233333333333333,0.38816091954023,0.343333333333333,0.273333333333333,-0.507068395626748,0.559795668354021,0.559795668354021,0.51086636890726,-0.514243894589953,0.394047619047619,0.34047619047619,0.34047619047619,0.34047619047619,-0.597978803812028,-0.375373528406796,-0.567284583232859,0.427072763383588,0.342264150943396,0.388316782522344,0.28,0.342264150943396,0.28,0.2,0.2,0.1,0.1,0.356084656084656,-0.2,-0.133333333333333,0,0.180510097044069,-0.234367816091954,-0.411688311688312
"cfos",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.242857142857143,0.366809137803979,0.327826086956522,0.319178037152721,0.28,0.32,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.159543721909313,0.157675438596491,0.362155844155844,0.120833333333333,0.0833333333333333,0.10952380952381,0.0486111111111111,0.0761904761904762,0.208611111111111,0.0333333333333333,0.212051282051282,0.17051282051282,0.116666666666667,-0.509936507936508,0.560496175871478,0.560496175871478,0.535891553701773,-0.531877013204303,0.336204102237101,0.299618736383442,0.299618736383442,0.299618736383442,-0.61120282246208,-0.310213744588745,-0.571971819030643,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.365130149024012,-0.138556067588326,-0.31979020979021
"CDC42",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.342857142857143,0.366809137803979,0.327826086956522,0.319178037152721,0.28,0.22,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.159543721909313,0.157675438596491,0.362155844155844,0.120833333333333,0.0833333333333333,0.10952380952381,0.0486111111111111,0.0761904761904762,0.208611111111111,0.0333333333333333,0.212051282051282,0.17051282051282,0.116666666666667,-0.509936507936508,0.560496175871478,0.560496175871478,0.535891553701773,-0.531877013204303,0.336204102237101,0.299618736383442,0.299618736383442,0.299618736383442,-0.61120282246208,-0.310213744588745,-0.571971819030643,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.365130149024012,-0.138556067588326,-0.31979020979021
"TCFLEF",0.605089484378587,0.596168898586024,0.569678832360858,0.54257602862254,0.507692307692308,0.385408992865439,0.364320557491289,0.419248763788513,0.344320557491289,0.302857142857143,0.175673676531227,0.15979196237886,0.150805346700084,0.267970088490571,0.272326606072749,0.422781557871525,0.253848345203184,0.234493506493506,0.227142857142857,0.0244268386304314,0.203333333333333,0.273830415866951,0.206493506493507,0.367060062822633,0.343472022955524,0.317981826877092,-0.431316844919786,0.564433147262095,0.564433147262095,0.472149553298751,-0.433901816653135,0.338688431679245,0.316217998039298,0.316217998039298,0.316217998039298,-0.59878800283641,-0.34456639871261,-0.57609398633495,0.206625066292932,0.269084046104506,0.188154275914926,0.2411337355455,0.265130220932108,0.237457264957265,0.209509803921569,0.205833333333333,0.174509803921569,0.170833333333333,0.600618315018315,-0.142857142857143,-0.183333333333333,0.133333333333333,0.324872426573723,-0.246497695852535,-0.39846719015475
"NOTCHic",0.421283739302172,0.441294614524119,0.396071684587814,0.331555555555555,0.255555555555556,0.379523809523809,0.336666666666667,0.332146927146927,0.286666666666667,0.22,0.184860646599777,0.0979753340184995,0.0814285714285714,0.173787281662044,0.172868217054264,0.380517322247095,0.133333333333333,0.0888888888888889,0.121794871794872,0.0483732057416268,0.0833333333333333,0.221950950692673,0.0333333333333333,0.228372544263885,0.186267281105991,0.231428571428571,-0.515648723257419,0.570966183574879,0.570966183574879,0.528976296340436,-0.529869037189696,0.333615400092162,0.297654808959157,0.297654808959157,0.297654808959157,-0.622465254179266,-0.308712517019727,-0.581865225333433,0.411438223717395,0.350169185653057,0.383193948908235,0.314685314685315,0.350949050949051,0.314685314685315,0.269230769230769,0.269230769230769,0.2,0.2,0.38293501048218,0,-0.0333333333333333,0.1,0.35217916982403,-0.151206636500754,-0.331283545659456
"PAK1",0.43894914399738,0.459965267776261,0.424446142093201,0.378991596638655,0.314285714285714,0.404142471137313,0.366809137803979,0.348056318775632,0.327826086956522,0.28,0.100476967398654,0.107545656255334,0.0933521078682369,0.182543721909313,0.185453216374269,0.394764539808018,0.157675438596491,0.120833333333333,0.138556067588326,0.05752200220022,0.10952380952381,0.234377982276755,0.0833333333333333,0.243919413919414,0.212051282051282,0.17051282051282,-0.55255945875618,0.601332188733215,0.601332188733215,0.570972928023653,-0.570888002215292,0.368022284055283,0.336204102237101,0.336204102237101,0.336204102237101,-0.652517701354814,-0.336395562770563,-0.613088570299678,0.451177771831237,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.384679021204463,-0.159543721909313,-0.353491867248773
"LIV1",0.43894914399738,0.459965267776261,0.424446142093201,0.378991596638655,0.314285714285714,0.404142471137313,0.366809137803979,0.348056318775632,0.327826086956522,0.28,0.100476967398654,0.107545656255334,0.0933521078682369,0.182543721909313,0.185453216374269,0.394764539808018,0.157675438596491,0.120833333333333,0.138556067588326,0.05752200220022,0.10952380952381,0.234377982276755,0.0833333333333333,0.243919413919414,0.212051282051282,0.17051282051282,-0.55255945875618,0.601332188733215,0.601332188733215,0.570972928023653,-0.570888002215292,0.368022284055283,0.336204102237101,0.336204102237101,0.336204102237101,-0.652517701354814,-0.336395562770563,-0.613088570299678,0.451177771831237,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.384679021204463,-0.159543721909313,-0.353491867248773
"EGR1",0.43894914399738,0.459965267776261,0.424446142093201,0.378991596638655,0.314285714285714,0.404142471137313,0.366809137803979,0.348056318775632,0.327826086956522,0.28,0.100476967398654,0.107545656255334,0.0933521078682369,0.182543721909313,0.185453216374269,0.394764539808018,0.157675438596491,0.120833333333333,0.138556067588326,0.05752200220022,0.10952380952381,0.234377982276755,0.0833333333333333,0.243919413919414,0.212051282051282,0.17051282051282,-0.55255945875618,0.601332188733215,0.601332188733215,0.570972928023653,-0.570888002215292,0.368022284055283,0.336204102237101,0.336204102237101,0.336204102237101,-0.652517701354814,-0.336395562770563,-0.613088570299678,0.451177771831237,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.384679021204463,-0.159543721909313,-0.353491867248773
"ZEB1",0.465120137431803,0.495364484178098,0.459931413311956,0.417799433616525,0.364176245210728,0.320038351904639,0.286117647058824,0.346620666023826,0.252,0.2,0.183999239102866,0.177441371840163,0.165422141070932,0.270304441737873,0.279999178273553,0.470806626937409,0.248570606844981,0.220701754385965,0.223106060606061,0.0888109161793372,0.195833333333333,0.333579979051703,0.173333333333333,0.358761748501053,0.324877450980392,0.289583333333333,-0.552877562600551,0.605258973615972,0.605258973615972,0.526403721907863,-0.643198813120397,0.436583163725595,0.4077642660878,0.4077642660878,0.4077642660878,-0.646729443457103,-0.384519322797418,-0.624325691268721,0.497140855674135,0.450872070264829,0.475418742171199,0.420975163048334,0.449354912383965,0.419493801272854,0.384436701509872,0.38223889931207,0.338095238095238,0.335897435897436,0.48012547234277,-0.133333333333333,-0.158333333333333,0.266666666666667,0.3990331845828,-0.248596256684492,-0.330114630694901
"TGFR",0.580525441427758,0.599412360688956,0.55047619047619,0.593333333333333,0.526666666666667,0.501397557821494,0.46578111946533,0.480266686919945,0.423558897243108,0.376190476190476,0.248268329532223,0.239198540333886,0.22603128054741,0.294431375413988,0.374350119484758,0.508245683405826,0.341791979949875,0.315476190476191,0.234367816091954,0.103703703703704,0.203333333333333,0.351576006915541,0.258333333333333,0.432045811626561,0.38816091954023,0.343333333333333,-0.557068395626748,0.607720196655907,0.607720196655907,0.558320072610964,-0.56528315555993,0.436152882205514,0.394047619047619,0.394047619047619,0.394047619047619,-0.651300779961942,-0.410825851145183,-0.615671680007053,0.458693666837972,0.388070602556299,0.427072763383588,0.342264150943396,0.388316782522344,0.342264150943396,0.28,0.28,0.2,0.2,0.410591093852896,-0.233333333333333,-0.153333333333333,0.1,0.208131064786004,-0.265617816091954,-0.453116883116883
"Csl",0.45634121056654,0.476442006814369,0.441294614524119,0.396071684587814,0.331555555555555,0.41648033126294,0.379523809523809,0.361791195921631,0.336666666666667,0.286666666666667,0.206429274050757,0.112975334018499,0.0979753340184995,0.197925212696527,0.201550387596899,0.413248699222265,0.172868217054264,0.133333333333333,0.151206636500754,0.0573162951725211,0.121794871794872,0.248513450692673,0.0888888888888889,0.260190726082067,0.228372544263885,0.186267281105991,-0.559934437543133,0.612955133851122,0.612955133851122,0.563651911552964,-0.56885986287777,0.364865400092162,0.333615400092162,0.333615400092162,0.333615400092162,-0.66409316115601,-0.334191162086001,-0.624348885464152,0.435280419257704,0.382427250169186,0.411438223717395,0.350169185653057,0.383193948908235,0.350949050949051,0.314685314685315,0.314685314685315,0.269230769230769,0.269230769230769,0.419695935932052,-0.0333333333333333,-0.0833333333333333,0.2,0.371009151542494,-0.173787281662044,-0.365845757641023
"SMAD",0.498007421477403,0.51620927237175,0.47836066679406,0.431991951710262,0.371428571428571,0.435581663272961,0.398081663272961,0.397538358147229,0.356221198156682,0.314285714285714,0.229016604874041,0.117912315994508,0.204578982661174,0.301602406693723,0.308143790849673,0.43306824043748,0.276143790849673,0.238888888888889,0.250833333333333,0.0855664004732328,0.220833333333333,0.353976679234744,0.205555555555556,0.364116037219485,0.329195402298851,0.286666666666667,-0.575333164186459,0.627670631156279,0.627670631156279,0.575644444021047,-0.580314753423626,0.449916420169121,0.417679578063858,0.417679578063858,0.417679578063858,-0.674647271826466,-0.3722369053948,-0.637730415621913,0.448880776133312,0.394422483990829,0.424362032465632,0.35989010989011,0.395189712248536,0.360644257703081,0.321428571428571,0.321428571428571,0.271428571428571,0.271428571428571,0.428696207957508,-0.15,-0.183333333333333,0.2,0.280991130003331,-0.277438837920489,-0.388686970099244
"SNAI1",0.469571761532323,0.491013654873035,0.459965267776261,0.424446142093201,0.378991596638655,0.433290453200093,0.404142471137313,0.274034966462465,0.366809137803979,0.327826086956522,0.117738872160558,0.117754758346355,0.107545656255334,0.204097119967566,0.212536549707602,0.423585052628531,0.185453216374269,0.157675438596491,0.159543721909313,0.0609182286153144,0.138556067588326,0.257672099923814,0.120833333333333,0.273307169021455,0.243919413919414,0.212051282051282,-0.589631109846523,0.636141536826696,0.636141536826696,0.600439907574441,-0.603530489261924,0.394294862051999,0.368022284055283,0.368022284055283,0.368022284055283,-0.687949543186239,-0.357847707985084,-0.649111625054721,0.470950616436297,0.426375191209496,0.451177771831237,0.397673180240574,0.427177771831237,0.398659253312719,0.364990253411306,0.365985985985986,0.328148148148148,0.328148148148148,0.464793733700695,-0.0833333333333333,-0.10952380952381,0.28,0.400687793134288,-0.182543721909313,-0.383617390261326
"GLI",0.499191068971448,0.616866227818388,0.577572110171329,0.530402298850575,0.468333333333333,0.527536055105116,0.49051948051948,0.409688494415674,0.452857142857143,0.402857142857143,0.15473324072645,0.157829448445356,0.144856475472383,0.324973091900828,0.237593239050006,0.428092680758216,0.206343239050006,0.175730994152047,0.273339598997494,0.0905236945944911,0.247023809523809,0.276800336507992,0.138888888888889,0.290478716685613,0.254288240495137,0.214288240495137,-0.586816816816817,0.636728537293053,0.636728537293053,0.590905852785133,-0.591363051192571,0.461739601510104,0.427086136163569,0.427086136163569,0.427086136163569,-0.675868564374612,-0.424932692299912,-0.64740096848456,0.473749037220735,0.41538939803787,0.447628296037233,0.478368121442125,0.415810114219051,0.37874114870181,0.434838709677419,0.334838709677419,0.38,0.28,0.445668780193237,-0.0833333333333333,-0.20952380952381,0.2,0.347422393620632,-0.299870211242392,-0.407772174862542
