"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","EGR1","cfos","HEY1","SMAD","SHH","ILK","TWIST1","AKT","IKK","SMO","NFB","Jagged","FUS","NOTCH","Csn","NOTCHic","Csl","SOSGRB2","SNAI2","ZEB2","ZEB1","KLF4","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","miR200","GSK3","cateninnuc","Wnt","Frizzled","GLI","TCFLEF","SRC","cMet","CD44","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"ERK",0.337594968974279,0.356166307712798,0.341880593427084,0.313413440142412,0.267619047619048,0.197462640101747,0.241299087094296,0.171000244558572,0.187241379310345,0.227666911225238,0.175163637660932,0.176284549649113,0.219708262872742,0.165950203144554,0.377958006204722,0.196471043797002,0.180874713521772,0.202032786885246,0.156168831168831,0.247912465119141,0.184,0.238366630527498,0.110714285714286,0.22534723994578,0.202719502719503,0.107480967791647,0.6125386340538,0.432623802225583,0.432623802225583,-0.401701644923426,-0.210789297705309,0.101545588624797,0.0864740814740815,0.0864740814740815,0.0864740814740815,-0.513864699951185,-0.443517450292155,-0.168639227773091,0.310082189025612,0.278321678321678,0.269230769230769,0.2895998738104,0.300151633470056,0.266599190283401,0.27569009937431,0.287140481053699,0.25,0.247368421052632,0.328979334382237,-0.0857142857142857,-0.14,0.2,-0.00367640071666502,-0.21052951891139,-0.269914956159857
"TWIST1",0.451648707631453,0.426119966652623,0.404024294670846,0.387774294670846,0.363636363636364,0.421485364937327,0.405788581575549,0.4020823798627,0.28,0.362608695652174,0.238380828211337,0.227002655220477,0.381033987898419,0.216111566111566,0.347395209037085,0.403079406469237,0.377655677655678,0.337333333333333,0.353846153846154,0.288462404614274,0.333333333333333,0.319374832016341,0.3,0.293903133903134,0.278518518518518,0.253499970662442,0.595953549835547,0.439208506752366,0.439208506752366,-0.377465082343131,-0.202484912360919,0.342643486986152,0.32483526780807,0.32483526780807,0.32483526780807,-0.603648486375959,-0.449788282150718,-0.316965188459885,0.290205034492477,0.250918964076859,0.224603174603175,0.274118964076859,0.284512107522954,0.224603174603175,0.250135089496792,0.273026655761852,0.219047619047619,0.219047619047619,0.327735275477211,-0.2,-0.3,0.233333333333333,0.296057307038158,-0.357881278538813,-0.404740526479657
"SMO",0.362586206896552,0.443468468468468,0.408333333333333,0.4,0.4,0.347552447552448,0.310675883256528,0.338461538461538,0.2,0.3,0.128937728937729,0.127936507936508,0.277222222222222,0.12,0.193627450980392,0.192285714285714,0.164285714285714,0.213333333333333,0.15,0.178148148148148,0.333333333333333,0.249090909090909,0.1,0.209090909090909,0.2,0.190350877192982,0.33704214559387,0.448870056497175,0.448870056497175,-0.397222222222222,-0.0265483522984306,0.288483899821109,0.260576923076923,0.260576923076923,0.260576923076923,-0.291952624623334,-0.46036769138035,-0.262477328496746,0.117379695192674,0.1625,0.1,0.206944444444444,0.11512405609493,0,0.06,0.104444444444444,0.1,0,0.230123899089416,0,-0.3,0.1,0.224838727164309,-0.238333333333333,-0.307619047619048
"STAT",0.238013633265167,0.231892436955366,0.217882775119617,0.178409090909091,0.140909090909091,0.224528779253637,0.16316449599056,0.197647058823529,0.2,0.18,0.0586666666666667,0.0672608140374257,0.0737274473485628,0.0615136876006441,0.090864091763642,0.0590637610976594,0.0438095238095238,0.0583333333333333,0.02,0.0681366278731113,0.025,0.051716136467707,0,0.0429782723900371,0.00784313725490196,0.0117405582922824,0.114686325026882,0.454913035682266,0.454913035682266,-0.332610417904535,-0.0495523838748485,-0.0153871615866079,-0.0206110421836228,-0.0206110421836228,-0.0206110421836228,-0.214219778719154,-0.469774223418525,0.029247886070316,0.0320472228051478,0.0214285714285714,0.0214285714285714,0.015546218487395,0.0214393562974005,0.0214285714285714,0.0214285714285714,0.0154456654456654,-0.0285714285714286,-0.0285714285714286,-0.0273628332451862,0,0,0,-0.0535928372121274,-0.0746124031007752,-0.188301158301158
"cMet",0.407863924050633,0.410520094562648,0.372222222222222,0.35,0.3,0.420454545454546,0.408612890727074,0.415,0.325,0.385,0.21781905744754,0.21034632034632,0.208522727272727,0.197619047619048,0.396981520352307,0.2725,0.26,0.15,0.266666666666667,0.229374683287727,0.15,0.284290513517837,0.2,0.24812030075188,0.242857142857143,0.0109523809523809,0.485016670272145,0.458008658008658,0.458008658008658,-0.320634920634921,-0.0735361020948209,0.251033243486074,0.20952380952381,0.20952380952381,0.20952380952381,-0.308674243899663,-0.467637104743083,-0.263460061443932,0.131850964696846,0.0366666666666667,-0.05,0.0957575757575758,0.119421586165772,0.05,0.0366666666666667,0.0948062015503876,-0.1,0,0.0519047619047619,-0.2,-0.1,0.1,-0.130905802124289,-0.177272727272727,-0.453333333333333
"NFB",0.505440977791575,0.525584554404808,0.50090101010101,0.46010101010101,0.405555555555556,0.290229691876751,0.285524010364019,0.247746031746032,0.142857142857143,0.178857142857143,0.198011573050273,0.198055611787945,0.24433858037514,0.18578795379538,0.497684407096172,0.34008151008151,0.315637065637066,0.220740740740741,0.264285714285714,0.245842059248571,0.18,0.354343434343434,0.314285714285714,0.334343434343434,0.297835497835498,0.316008403361345,0.604097509293653,0.460882147898482,0.460882147898482,-0.411446886446886,-0.214901797865287,0.345255433423105,0.3268474732241,0.3268474732241,0.3268474732241,-0.592590749939204,-0.467153384729899,-0.195422322775264,0.331146181923773,0.284786324786325,0.270940170940171,0.301640257370594,0.318048142708087,0.270940170940171,0.284786324786325,0.301170505577285,0.255555555555556,0.255555555555556,0.34677304964539,-0.3,-0.12,0.2,0.0841450364689955,-0.231085568326948,-0.295124001681379
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.258333333333333,0.22,0.1,0.2,0.166666666666667,0.0714285714285714,0.121794871794872,0.0666666666666667,0.277,0.0888888888888889,0.0333333333333333,0.0333333333333333,0,0.147445887445887,0,0.231428571428571,0,0.16,0.1,0.12,0.39683257918552,0.46207729468599,0.46207729468599,-0.405555555555556,-0.160177428205597,0.234545454545455,0.18,0.18,0.18,-0.438035087719298,-0.472121212121212,-0.222605363984674,0.251381951381951,0.2,0.1,0.238461538461538,0.241491841491841,0.1,0.2,0.238461538461538,0,0,0.26,0,0,0,0.260216216216216,-0.0833333333333333,-0.235897435897436
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.258333333333333,0.22,0.1,0.2,0.166666666666667,0.0714285714285714,0.121794871794872,0.0666666666666667,0.277,0.0888888888888889,0.0333333333333333,0.0333333333333333,0,0.147445887445887,0,0.231428571428571,0,0.16,0.1,0.12,0.39683257918552,0.46207729468599,0.46207729468599,-0.405555555555556,-0.160177428205597,0.234545454545455,0.18,0.18,0.18,-0.438035087719298,-0.472121212121212,-0.222605363984674,0.251381951381951,0.2,0.1,0.238461538461538,0.241491841491841,0.1,0.2,0.238461538461538,0,0,0.26,0,0,0,0.260216216216216,-0.0833333333333333,-0.235897435897436
"SRC",0.421148459383754,0.417348484848485,0.379166666666667,0.345833333333333,0.333333333333333,0.336916333142748,0.320686516470791,0.316161616161616,0.3,0.327272727272727,0.126804038397881,0.113934329065908,0.105729847494553,0.109429824561404,0.272123279019831,0.174358974358974,0.157692307692308,0.0533333333333333,0.15,0.118929663608563,0.0333333333333333,0.18547619047619,0.15,0.153333333333333,0.12,0.0142857142857143,0.214382346151235,0.484853249475891,0.484853249475891,-0.354328165374677,-0.0665974405029187,0.234975916865779,0.212248644138506,0.212248644138506,0.212248644138506,-0.270392015392015,-0.49604157517201,-0.165108225108225,0.0695221195638076,0.035,-0.025,0.0530327868852459,0.0603498600559776,-0.025,0.035,0.0530327868852459,-0.1,0,-0.00260529559267286,-0.1,-0.0333333333333333,0,-0.07241519350215,-0.0792592592592593,-0.411860540892799
"FUS",0.39942831215971,0.481766340808894,0.443468468468468,0.408333333333333,0.4,0.369391528012218,0.335204185143321,0.347552447552448,0.3,0.338461538461538,0.136184105749323,0.132452636968766,0.298434343434343,0.127936507936508,0.217187660404476,0.223054945054945,0.192285714285714,0.238333333333333,0.164285714285714,0.187786702365016,0.213333333333333,0.285454545454545,0.15,0.249090909090909,0.209090909090909,0.201889338731444,0.353379668035522,0.48506637551558,0.48506637551558,-0.431648451730419,-0.0382801958738496,0.302894380170454,0.288483899821109,0.288483899821109,0.288483899821109,-0.316336186267169,-0.495021156726884,-0.275520806757616,0.125260129975283,0.206944444444444,0.1625,0.218482905982906,0.117379695192674,0.06,0.104444444444444,0.11512405609493,0.1,0,0.251863029524199,-0.1,-0.333333333333333,0,0.229364274609564,-0.277222222222222,-0.345763377515955
"NOTCH",0.367959183673469,0.383168458781362,0.331555555555555,0.255555555555556,0.2,0.350952380952381,0.287564102564103,0.286666666666667,0.2,0.22,0.171014492753623,0.0814285714285714,0.139441930618401,0.0714285714285714,0.302423728813559,0.133333333333333,0.0888888888888889,0.0833333333333333,0.0333333333333333,0.151149591149591,0.0333333333333333,0.173364055299539,0,0.231428571428571,0.16,0.167368421052632,0.421700304053245,0.52133655394525,0.52133655394525,-0.46207729468599,-0.17850203553544,0.259183135704875,0.234545454545455,0.234545454545455,0.234545454545455,-0.47835766836446,-0.529264069264069,-0.24305990943922,0.271381951381951,0.238461538461538,0.2,0.241491841491841,0.251381951381951,0.2,0.238461538461538,0.241491841491841,0.1,0.1,0.284528301886792,0,0,0,0.26956201060874,-0.121794871794872,-0.28762157382847
"cfos",0.385565348090456,0.398421186656481,0.371148459383754,0.314285714285714,0.242857142857143,0.385674281503316,0.297981259247082,0.336521739130435,0.32,0.28,0.0813593203398301,0.0933521078682369,0.140746429993742,0.0788359788359788,0.312458874458874,0.152412280701754,0.120833333333333,0.10952380952381,0.0833333333333333,0.159479166666667,0.0761904761904762,0.185897435897436,0.0333333333333333,0.162820512820513,0.116666666666667,0.1875,0.462205264322053,0.557106345363004,0.557106345363004,-0.509936507936508,-0.216820199323641,0.290067219299644,0.269335511982571,0.269335511982571,0.269335511982571,-0.513549253863674,-0.569357439945675,-0.266271645021645,0.315189149545585,0.271111111111111,0.26,0.279005847953216,0.297041001397437,0.26,0.271111111111111,0.279219219219219,0.2,0.2,0.323908045977012,0,-0.0333333333333333,0.1,0.299450302797103,-0.1321044546851,-0.313123543123543
"CDC42",0.385565348090456,0.398421186656481,0.371148459383754,0.314285714285714,0.342857142857143,0.385674281503316,0.297981259247082,0.336521739130435,0.22,0.28,0.0813593203398301,0.0933521078682369,0.140746429993742,0.0788359788359788,0.312458874458874,0.152412280701754,0.120833333333333,0.10952380952381,0.0833333333333333,0.159479166666667,0.0761904761904762,0.185897435897436,0.0333333333333333,0.162820512820513,0.116666666666667,0.1875,0.462205264322053,0.557106345363004,0.557106345363004,-0.509936507936508,-0.216820199323641,0.290067219299644,0.269335511982571,0.269335511982571,0.269335511982571,-0.513549253863674,-0.569357439945675,-0.266271645021645,0.315189149545585,0.271111111111111,0.26,0.279005847953216,0.297041001397437,0.26,0.271111111111111,0.279219219219219,0.2,0.2,0.323908045977012,0,-0.0333333333333333,0.1,0.299450302797103,-0.1321044546851,-0.313123543123543
"TGF",0.530326086956522,0.543333333333333,0.593333333333333,0.526666666666667,0.46,0.474670008354219,0.436191989828353,0.423558897243108,0.333333333333333,0.376190476190476,0.231850419084462,0.22603128054741,0.259367816091954,0.211515151515151,0.44037037037037,0.341791979949875,0.315476190476191,0.203333333333333,0.258333333333333,0.293673294059892,0.153333333333333,0.381264367816092,0.233333333333333,0.343333333333333,0.273333333333333,0.181578947368421,0.464013648847338,0.559795668354021,0.559795668354021,-0.507068395626748,-0.209138834097637,0.370238095238095,0.330952380952381,0.330952380952381,0.330952380952381,-0.525023584573494,-0.567284583232859,-0.353511632963688,0.331908007583281,0.26,0.2,0.292075471698113,0.311812313803376,0.2,0.26,0.292075471698113,0.1,0.1,0.31710758377425,-0.2,-0.133333333333333,0,0.136013467962865,-0.234367816091954,-0.411688311688312
"NOTCHic",0.395378538512179,0.405461452411935,0.383168458781362,0.331555555555555,0.255555555555556,0.402380952380952,0.302908017908018,0.350952380952381,0.22,0.286666666666667,0.184860646599777,0.0979753340184995,0.146968812338831,0.0814285714285714,0.320662722524251,0.163565891472868,0.133333333333333,0.121794871794872,0.0888888888888889,0.161083365984028,0.0833333333333333,0.191785107931118,0.0333333333333333,0.173364055299539,0.231428571428571,0.212822966507177,0.444746396237614,0.565040257648953,0.565040257648953,-0.515648723257419,-0.188846863121647,0.27938018003985,0.259183135704875,0.259183135704875,0.259183135704875,-0.507301006802438,-0.577240947876786,-0.257109496216079,0.288939203290348,0.241491841491841,0.238461538461538,0.25116926084668,0.271381951381951,0.238461538461538,0.241491841491841,0.251381951381951,0.2,0.2,0.29980607966457,0,-0.0333333333333333,0.1,0.280228677275406,-0.139441930618401,-0.320015940025653
"TCFLEF",0.610310693076087,0.595853173959503,0.574329995151556,0.547227191413238,0.507692307692308,0.52636137381782,0.428181667240245,0.500511033681765,0.431428571428571,0.472891986062718,0.202196974022267,0.185159955337675,0.274782543137976,0.175408521303258,0.412226426631875,0.308898034644178,0.290419773774612,0.24047619047619,0.271064935064935,0.262639289321892,0.216666666666667,0.384923150579952,0.235064935064935,0.366650725330783,0.345082097879802,0.198218946721941,0.455390216077693,0.575366338826865,0.575366338826865,-0.440433218742042,-0.245176160574382,0.391337849523585,0.374386469760116,0.374386469760116,0.374386469760116,-0.556952709198009,-0.58677184930197,-0.344282103313072,0.157193946935729,0.217458521870287,0.199509803921569,0.235470944230535,0.14662693662645,0.195833333333333,0.213782051282051,0.231392114175133,0.174509803921569,0.170833333333333,0.573075457875458,-0.171428571428571,-0.183333333333333,0.133333333333333,0.299198204389832,-0.258218125960061,-0.434802773568444
"ZEB1",0.414905179481159,0.4347784216396,0.413518579119915,0.386615025820423,0.350383141762452,0.3290657337825,0.301603293701534,0.30043137254902,0.216666666666667,0.268666666666667,0.181926700242762,0.173426812952723,0.2330412138974,0.164292197568108,0.391233714114925,0.25434405686347,0.231486914006327,0.201515151515152,0.210175438596491,0.266083719336227,0.183333333333333,0.302523902122833,0.173333333333333,0.281862745098039,0.258333333333333,0.255204678362573,0.412377518031389,0.581485566202032,0.581485566202032,-0.539894832408761,-0.138403681531192,0.360793880601663,0.344573408160718,0.344573408160718,0.344573408160718,-0.495464129924944,-0.601729081547669,-0.314840857900415,0.349041215982325,0.320327436790851,0.303019744483159,0.333042213423154,0.339941411677042,0.298624140087555,0.316271198911084,0.328771198911084,0.276190476190476,0.271794871794872,0.364657620496518,-0.133333333333333,-0.158333333333333,0.233333333333333,0.307924569768873,-0.219162210338681,-0.301084511877549
"PAK1",0.404186037745628,0.414814629279432,0.398421186656481,0.371148459383754,0.314285714285714,0.423007614836649,0.313494385738729,0.385674281503316,0.28,0.336521739130435,0.100476967398654,0.106900494965011,0.152746429993742,0.0933521078682369,0.33093713532844,0.170930799220273,0.152412280701754,0.1321044546851,0.120833333333333,0.176043583844581,0.10952380952381,0.20018315018315,0.0833333333333333,0.185897435897436,0.162820512820513,0.206311881188119,0.48318175618462,0.589582229607377,0.589582229607377,-0.54928077023159,-0.223230455733897,0.310067219299644,0.290067219299644,0.290067219299644,0.290067219299644,-0.535348561822152,-0.602859978016741,-0.2808170995671,0.326775356442137,0.279005847953216,0.271111111111111,0.297054628441021,0.315189149545585,0.271111111111111,0.279219219219219,0.297041001397437,0.26,0.26,0.341518108870093,-0.0333333333333333,-0.0761904761904762,0.2,0.309976618586577,-0.140746429993742,-0.335775476825201
"LIV1",0.404186037745628,0.414814629279432,0.398421186656481,0.371148459383754,0.314285714285714,0.423007614836649,0.313494385738729,0.385674281503316,0.28,0.336521739130435,0.100476967398654,0.106900494965011,0.152746429993742,0.0933521078682369,0.33093713532844,0.170930799220273,0.152412280701754,0.1321044546851,0.120833333333333,0.176043583844581,0.10952380952381,0.20018315018315,0.0833333333333333,0.185897435897436,0.162820512820513,0.206311881188119,0.48318175618462,0.589582229607377,0.589582229607377,-0.54928077023159,-0.223230455733897,0.310067219299644,0.290067219299644,0.290067219299644,0.290067219299644,-0.535348561822152,-0.602859978016741,-0.2808170995671,0.326775356442137,0.279005847953216,0.271111111111111,0.297054628441021,0.315189149545585,0.271111111111111,0.279219219219219,0.297041001397437,0.26,0.26,0.341518108870093,-0.0333333333333333,-0.0761904761904762,0.2,0.309976618586577,-0.140746429993742,-0.335775476825201
"EGR1",0.404186037745628,0.414814629279432,0.398421186656481,0.371148459383754,0.314285714285714,0.423007614836649,0.313494385738729,0.385674281503316,0.28,0.336521739130435,0.100476967398654,0.106900494965011,0.152746429993742,0.0933521078682369,0.33093713532844,0.170930799220273,0.152412280701754,0.1321044546851,0.120833333333333,0.176043583844581,0.10952380952381,0.20018315018315,0.0833333333333333,0.185897435897436,0.162820512820513,0.206311881188119,0.48318175618462,0.589582229607377,0.589582229607377,-0.54928077023159,-0.223230455733897,0.310067219299644,0.290067219299644,0.290067219299644,0.290067219299644,-0.535348561822152,-0.602859978016741,-0.2808170995671,0.326775356442137,0.279005847953216,0.271111111111111,0.297054628441021,0.315189149545585,0.271111111111111,0.279219219219219,0.297041001397437,0.26,0.26,0.341518108870093,-0.0333333333333333,-0.0761904761904762,0.2,0.309976618586577,-0.140746429993742,-0.335775476825201
"Csl",0.412045205178846,0.420654196176108,0.405461452411935,0.383168458781362,0.331555555555555,0.434989648033126,0.319508808421852,0.402380952380952,0.286666666666667,0.350952380952381,0.206429274050757,0.111864222907388,0.160761915787107,0.0979753340184995,0.339398614172107,0.181395348837209,0.163565891472868,0.139441930618401,0.133333333333333,0.179833365984028,0.121794871794872,0.206330562476573,0.0888888888888889,0.191785107931118,0.173364055299539,0.225018088458397,0.465402622934109,0.59597948416829,0.59597948416829,-0.554220151828847,-0.194504355476387,0.299233121216321,0.27938018003985,0.27938018003985,0.27938018003985,-0.527998681221043,-0.609267091667636,-0.271984312121823,0.299059271900983,0.25116926084668,0.241491841491841,0.271330551169261,0.288939203290348,0.241491841491841,0.251381951381951,0.271381951381951,0.238461538461538,0.238461538461538,0.318058007685136,-0.0333333333333333,-0.0833333333333333,0.2,0.29040539878668,-0.146968812338831,-0.341674926200769
"TGFR",0.565697265995823,0.578085106382979,0.543333333333333,0.593333333333333,0.526666666666667,0.515765898765178,0.463035647645463,0.474670008354219,0.376190476190476,0.423558897243108,0.248268329532223,0.239198540333886,0.279141827391389,0.22603128054741,0.466349018057203,0.369698956694061,0.341791979949875,0.234367816091954,0.315476190476191,0.311064598407718,0.203333333333333,0.41076077069379,0.258333333333333,0.381264367816092,0.343333333333333,0.219850552306693,0.493180315514005,0.604701328731379,0.604701328731379,-0.557068395626748,-0.221840912619577,0.398308270676692,0.370238095238095,0.370238095238095,0.370238095238095,-0.558924777077753,-0.613325638951334,-0.374294029051707,0.349179929638197,0.292075471698113,0.26,0.312075471698113,0.331908007583281,0.26,0.292075471698113,0.311812313803376,0.2,0.2,0.345862948581117,-0.233333333333333,-0.153333333333333,0.1,0.14972314538222,-0.259367816091954,-0.447402597402597
"SMAD",0.459022347660274,0.46650324166728,0.446981329316682,0.420724346076459,0.371428571428571,0.452577017880844,0.359972369923983,0.417961633265459,0.314285714285714,0.369124423963134,0.229016604874041,0.116959935042127,0.269092942487182,0.204578982661174,0.364908604053583,0.290967320261438,0.268300653594771,0.240833333333333,0.238888888888889,0.29123586091328,0.220833333333333,0.316124794745484,0.205555555555556,0.297077175697865,0.275238095238095,0.23379917184265,0.48284012737122,0.613160511629616,0.613160511629616,-0.570455115405971,-0.196165227697436,0.389374282520513,0.368650598309987,0.368650598309987,0.368650598309987,-0.545688357983345,-0.624856013980701,-0.314662576354306,0.316190019350986,0.267429792429792,0.253968253968254,0.28829310178231,0.305653038601239,0.253968253968254,0.267693744164332,0.288421016891605,0.242857142857143,0.242857142857143,0.331502676350035,-0.15,-0.183333333333333,0.2,0.204721995548041,-0.254594801223242,-0.367640549957623
"SNAI1",0.421085656551219,0.431951726053625,0.414814629279432,0.398421186656481,0.371148459383754,0.444083848020506,0.230754172215597,0.423007614836649,0.336521739130435,0.385674281503316,0.116548395970082,0.114895574915811,0.168086235818985,0.106900494965011,0.348270468661773,0.188986354775828,0.170930799220273,0.140746429993742,0.152412280701754,0.192514172079875,0.1321044546851,0.21814233385662,0.120833333333333,0.20018315018315,0.185897435897436,0.211217541565477,0.499842835634838,0.6138134719198,0.6138134719198,-0.578875785807914,-0.228308175941151,0.326487580547591,0.310067219299644,0.310067219299644,0.310067219299644,-0.552622235079176,-0.628508393002332,-0.293952413098453,0.333177008481373,0.297054628441021,0.279005847953216,0.315518979446506,0.326775356442137,0.279219219219219,0.297041001397437,0.315189149545585,0.271111111111111,0.271111111111111,0.359466826818811,-0.0833333333333333,-0.10952380952381,0.26,0.317761706305875,-0.152746429993742,-0.355440748791728
"GLI",0.469969255245958,0.578404748236315,0.55558121882455,0.523505747126437,0.468333333333333,0.543661596230657,0.380635438114848,0.506645021645022,0.402857142857143,0.461190476190476,0.15473324072645,0.157288907904816,0.300452354431051,0.144856475472383,0.370872371356242,0.225699106396945,0.202261606396945,0.268076441102757,0.175730994152047,0.225818684027079,0.247023809523809,0.25334406972338,0.138888888888889,0.232391688770999,0.207391688770999,0.216366318047734,0.509363534842223,0.627072452636969,0.627072452636969,-0.584114114114114,-0.232509906067626,0.410111374010489,0.387339096782766,0.387339096782766,0.387339096782766,-0.566526965177428,-0.638993184318262,-0.374776176407996,0.35166716828869,0.40022770398482,0.38258064516129,0.321078767814607,0.33917463989658,0.28258064516129,0.299653815892998,0.320343471065411,0.36,0.26,0.359685990338164,-0.0833333333333333,-0.20952380952381,0.2,0.276864384706018,-0.284402971715002,-0.393075054703654
