"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","ERK","SNAI1","cfos","EGR1","HEY1","SMAD","ILK","IKK","AKT","NFB","SHH","TWIST1","SMO","FUS","Csn","Jagged","NOTCH","NOTCHic","Csl","ZEB2","ZEB1","SOSGRB2","Destcompl","cateninmemb","RAS","RAF","PI3K","DELTA","KLF4","SNAI2","Ecadherin","miR200","cateninnuc","TCFLEF","GLI","Wnt","CD44","Frizzled","cMet","DSH","SRC","TrCP","SUFU","STAT","LIV1","AXIN2","Patched","GSK3","RKIP"
"ERK",0.307751969476107,0.361561435585585,0.335187809211958,0.300151312861593,0.258095238095238,0.151527714480933,0.133978967962827,0.141176194033956,0.210645634629494,0.187241379310345,0.173798449947622,0.172984826682278,0.164474188384406,0.159341736694678,0.172185773391926,0.144047619047619,0.272095537573547,0.440465153857501,0.215147540983607,0.184,0.110714285714286,0.361461788913805,0.284075801353436,0.25055779581327,0.21041181041181,0.363801337960445,0.363801337960445,0.129401140391432,-0.466272744588715,-0.613679381779057,0.0566294046987116,0.0364973914973915,0.0364973914973915,0.0364973914973915,-0.351407471667056,0.778879562905225,-0.631458083183316,-0.37731144975148,0.575943359549707,0.53677669288304,0.490190160716477,0.435804195804196,0.490494165001999,0.370769230769231,0.435277880014722,0.29,0.370242914979757,-0.0857142857142857,-0.14,0.289473684210526,0.2,0.510775604255073,-0.244559305689489,0.170741904923597,-0.188211321766648
"Csn",0.198734151951102,0.2489322875085,0.225781929513273,0.188602442333786,0.136363636363636,0.188525432900433,0.172900432900433,0.0460592692270016,0.143030303030303,0.106666666666667,0.0742109634551495,0.0785488085923986,0.0674948240165631,0.163333333333333,0.172133333333333,0.146666666666667,0.16389566130444,0.301888733052828,0.114574314574315,0.0873015873015873,0.105,0.244001879853841,0.271077533577534,0.241269841269841,0.201010101010101,0.367070306038048,0.367070306038048,0.177066758906953,-0.43904526488968,-0.506244986529553,0.143481203244681,0.122943775221649,0.122943775221649,0.122943775221649,-0.354093227034404,0.524719073826072,-0.528362597175927,-0.378418737328153,0.564926087723686,0.525058378763975,0.477801251686463,0.42408946129345,0.478756127960116,0.36264367816092,0.42408946129345,0.283333333333333,0.36264367816092,-0.18,-0.0428571428571429,0.283333333333333,0.2,0.498245593327038,-0.139305497370013,0.213374254694995,-0.0876181556038579
"SOSGRB2",0.346300366300366,0.375051048242538,0.336043956043956,0.301428571428571,0.271428571428571,0.347279747279747,0.323037323037323,0.284956645344705,0.30952380952381,0.276190476190476,0.261647727272727,0.259196932100158,0.252903225806452,0.304678362573099,0.329678362573099,0.288888888888889,0.303352189398701,0.403942028985507,0.233333333333333,0.2,0.3,0.37850289330769,0.394031320791884,0.347552447552448,0.309090909090909,0.377857142857143,0.377857142857143,-0.0272222222222222,-0.448697871852234,-0.528080145080145,0.265565696074171,0.239924670433145,0.239924670433145,0.239924670433145,-0.355,0.687356804635789,-0.567840267473103,-0.390807033477131,0.502468945662019,0.443386727688787,0.374275362318841,0.291666666666667,0.373913043478261,0.2,0.291304347826087,0.1,0.2,-0.2,-0.2,0.1,0,0.379888613861386,-0.268468468468469,-0.0569230769230769,-0.345650584795322
"RAS",0.326825396825397,0.353966220151427,0.309411764705882,0.28,0.26,0.307884416924665,0.286315789473684,0.244178957718781,0.26,0.26,0.161857707509881,0.158750773036487,0.156709956709957,0.173333333333333,0.206666666666667,0.166666666666667,0.19625988700565,0.375242771412984,0.116666666666667,0.1,0.2,0.275123201261581,0.277259185700099,0.226315789473684,0.2,0.381325478645066,0.381325478645066,0.0125541125541125,-0.429766540813052,-0.429880130473475,0.0948717948717949,0.171794871794872,0.171794871794872,0.171794871794872,-0.351428571428571,0.612675326780226,-0.474601311758783,-0.392615384615385,0.502323191633909,0.441983248291133,0.37156862745098,0.288235294117647,0.371214017521902,0.2,0.288235294117647,0.1,0.2,-0.2,-0.1,0.1,0,0.376416337285903,-0.160666666666667,0.0275452196382429,-0.365754716981132
"CD44",0.385,0.377777777777778,0.35,0.3,0.2,0.415,0.385,0.379000531632111,0.325,0.3,0.204093567251462,0.197619047619048,0.183333333333333,0.266666666666667,0.26,0.2,0.177272727272727,0.351941391941392,0.15,0.1,0.2,0.182470862470862,0.24812030075188,0.242857142857143,0.2,0.425396825396825,0.425396825396825,-0.00238095238095239,-0.277447342573393,-0.140659340659341,0.206666666666667,0.180952380952381,0.180952380952381,0.180952380952381,-0.277777777777778,0.433442113442113,-0.281783194007165,-0.435335968379447,0.140518783542039,0.0774418604651163,0.01,-0.05,0.01,-0.1,0.05,0,0,-0.1,-0.1,0.1,0.1,-0.03,-0.15,-0.189880952380952,-0.431111111111111
"Jagged",0.292857142857143,0.315555555555556,0.255555555555556,0.2,0.2,0.286666666666667,0.22,0.166666666666667,0.2,0.1,0.166666666666667,0.0714285714285714,0.0666666666666667,0.0333333333333333,0.0888888888888889,0,0.121794871794872,0.293,0.0333333333333333,0,0,0.185541125541126,0.231428571428571,0.16,0.1,0.444685990338164,0.444685990338164,0.12,-0.311243243243243,-0.465995975855131,0.167272727272727,0.14,0.14,0.14,-0.405555555555556,0.480542986425339,-0.517017543859649,-0.458787878787879,0.463702963702964,0.387878787878788,0.3,0.2,0.3,0.1,0.2,0,0.1,0,0,0,0,0.3,-0.0833333333333333,0.162835249042146,-0.205128205128205
"DELTA",0.292857142857143,0.315555555555556,0.255555555555556,0.2,0.2,0.286666666666667,0.22,0.166666666666667,0.2,0.1,0.166666666666667,0.0714285714285714,0.0666666666666667,0.0333333333333333,0.0888888888888889,0,0.121794871794872,0.293,0.0333333333333333,0,0,0.185541125541126,0.231428571428571,0.16,0.1,0.444685990338164,0.444685990338164,0.12,-0.311243243243243,-0.465995975855131,0.167272727272727,0.14,0.14,0.14,-0.405555555555556,0.480542986425339,-0.517017543859649,-0.458787878787879,0.463702963702964,0.387878787878788,0.3,0.2,0.3,0.1,0.2,0,0.1,0,0,0,0,0.3,-0.0833333333333333,0.162835249042146,-0.205128205128205
"cMet",0.409050632911392,0.407565011820331,0.377777777777778,0.35,0.3,0.427727272727273,0.415,0.389170023157534,0.385,0.325,0.21781905744754,0.21034632034632,0.197619047619048,0.26,0.27875,0.266666666666667,0.202272727272727,0.393514425649257,0.15,0.15,0.2,0.221601297253471,0.280035194368901,0.24812030075188,0.242857142857143,0.462770562770563,0.462770562770563,0.0109523809523809,-0.312582477708528,-0.200089945641547,0.227421383647799,0.206666666666667,0.206666666666667,0.206666666666667,-0.325396825396825,0.491106347018756,-0.33191042047027,-0.472835968379447,0.19645098693187,0.140518783542039,0.0781818181818182,0.01,0.0774418604651163,-0.05,0.01,-0.1,0.05,-0.2,-0.1,0,0.1,0.0319047619047619,-0.177272727272727,-0.162461597542243,-0.457037037037037
"STAT",0.225511929107021,0.209758338534082,0.202511961722488,0.184090909090909,0.159090909090909,0.240872865275142,0.237647058823529,0.152669784400574,0.22,0.2,0.0613333333333333,0.0701593647620634,0.0644122383252818,0.0542857142857143,0.052590799031477,0.04,0.0483779241270495,0.0721317912472335,0.0316666666666667,0.025,0,0.0541400761891448,0.0237352143691378,0.0149973502914679,-0.00392156862745098,0.467034247803479,0.467034247803479,-0.0172824302134647,0.0543053736544107,-0.0528032806227329,-0.0220281964865499,-0.0279983457402812,-0.0279983457402812,-0.0279983457402812,-0.359724697959992,0.0859009064863273,-0.201197526409382,-0.485213158309212,0.0251766890779648,0.00622555677760725,-0.0152979373567609,-0.037987012987013,-0.0149100899100899,-0.0607142857142857,-0.037987012987013,-0.0857142857142857,-0.0607142857142857,0,0,-0.0857142857142857,0,-0.0760235842588784,-0.0386434108527132,-0.095636404094348,-0.194726512226512
"NOTCH",0.327551020408163,0.363942652329749,0.315555555555556,0.255555555555556,0.2,0.322380952380952,0.286666666666667,0.165128205128205,0.22,0.2,0.171014492753623,0.0814285714285714,0.0714285714285714,0.0888888888888889,0.111111111111111,0.0333333333333333,0.162971342383107,0.342152542372881,0.0833333333333333,0.0333333333333333,0,0.241096681096681,0.186267281105991,0.231428571428571,0.16,0.47061191626409,0.47061191626409,0.167368421052632,-0.34208436473857,-0.538770844965078,0.191910408432148,0.167272727272727,0.167272727272727,0.167272727272727,-0.444685990338164,0.558320764203117,-0.580727221279004,-0.484502164502164,0.528600922886637,0.463702963702964,0.387878787878788,0.3,0.387878787878788,0.2,0.3,0.1,0.2,0,0,0.1,0,0.392452830188679,-0.121794871794872,0.1923807035876,-0.208576480990274
"ZEB1",0.378563262680783,0.451126939627832,0.4180560734861,0.379985007496252,0.335057471264368,0.269149347844865,0.244039215686275,0.15966471791026,0.219333333333333,0.183333333333333,0.178849777165839,0.169498950156077,0.159883565540693,0.208208225481737,0.228208225481737,0.190175438596491,0.315047957067007,0.486608169615023,0.24469696969697,0.208333333333333,0.153333333333333,0.424567512950972,0.381119348565873,0.338970588235294,0.295833333333333,0.481003898503237,0.481003898503237,0.315360623781676,-0.431577065322471,-0.74244506228541,0.294648196616555,0.271498590317343,0.271498590317343,0.271498590317343,-0.457465870933718,0.667301566231958,-0.668347731960896,-0.502459557452756,0.708624475362817,0.664886706282582,0.611091822853201,0.551641651031895,0.612759046708114,0.480487804878049,0.553036824485892,0.4,0.480487804878049,-0.133333333333333,-0.158333333333333,0.4,0.3,0.631517236097282,-0.281951871657754,0.253990406240383,-0.176439163673206
"NOTCHic",0.350131665569454,0.400248384813826,0.363942652329749,0.315555555555556,0.255555555555556,0.345238095238095,0.322380952380952,0.172006512006512,0.286666666666667,0.22,0.184860646599777,0.0950976361767729,0.0814285714285714,0.111111111111111,0.127390180878553,0.0888888888888889,0.200605750985258,0.385548768787976,0.121794871794872,0.0833333333333333,0.0333333333333333,0.290765555268867,0.233635702158622,0.186267281105991,0.231428571428571,0.483204508856683,0.483204508856683,0.221913875598086,-0.36708436473857,-0.603071047804835,0.219989226166138,0.191910408432148,0.191910408432148,0.191910408432148,-0.466114561766736,0.626256635946604,-0.635091692948223,-0.500109100918349,0.584020770214882,0.528600922886637,0.462072336265885,0.387878787878788,0.463702963702964,0.3,0.387878787878788,0.2,0.3,0,-0.0333333333333333,0.2,0.1,0.474397274633124,-0.162971342383107,0.215521199455369,-0.21280183310295
"Csl",0.373694883960258,0.434488747625617,0.400248384813826,0.363942652329749,0.315555555555556,0.369151138716356,0.345238095238095,0.181887934931413,0.322380952380952,0.286666666666667,0.20381489496579,0.106208747287884,0.0950976361767729,0.127390180878553,0.145219638242894,0.111111111111111,0.238536785468016,0.425503622061113,0.162971342383107,0.121794871794872,0.0888888888888889,0.337119721935533,0.275453883976804,0.233635702158622,0.186267281105991,0.494254232613589,0.494254232613589,0.26175127397207,-0.387742500021934,-0.657964014165691,0.245724520283785,0.219989226166138,0.219989226166138,0.219989226166138,-0.474685990338164,0.684496755260549,-0.681835878994735,-0.510348752334471,0.631076230477889,0.584020770214882,0.526588465298143,0.462072336265885,0.528600922886637,0.387878787878788,0.463702963702964,0.3,0.387878787878788,-0.0333333333333333,-0.0833333333333333,0.3,0.2,0.545605500854203,-0.200605750985258,0.234225175891304,-0.223400911443964
"cfos",0.344764637562342,0.388629997453527,0.353781512605042,0.304761904761905,0.242857142857143,0.341164333087693,0.319130434782609,0.181340347416297,0.28,0.32,0.0813593203398301,0.0917392046424304,0.0788359788359788,0.108333333333333,0.124122807017544,0.0833333333333333,0.178341013824885,0.365186147186147,0.10952380952381,0.0761904761904762,0.0333333333333333,0.262430555555556,0.215128205128205,0.17051282051282,0.116666666666667,0.494279180598793,0.494279180598793,0.193055555555556,-0.384620611001917,-0.593540670616768,0.228463255220788,0.201633986928105,0.201633986928105,0.201633986928105,-0.476412698412698,0.618987897747022,-0.62133274007924,-0.511234190645955,0.580772852059981,0.525217296504425,0.458869395711501,0.385185185185185,0.460860860860861,0.3,0.385185185185185,0.2,0.3,0,-0.0333333333333333,0.2,0.1,0.471510673234811,-0.145007680491551,0.182402597402597,-0.223146853146853
"CDC42",0.344764637562342,0.388629997453527,0.353781512605042,0.304761904761905,0.342857142857143,0.341164333087693,0.319130434782609,0.181340347416297,0.28,0.22,0.0813593203398301,0.0917392046424304,0.0788359788359788,0.108333333333333,0.124122807017544,0.0833333333333333,0.178341013824885,0.365186147186147,0.10952380952381,0.0761904761904762,0.0333333333333333,0.262430555555556,0.215128205128205,0.17051282051282,0.116666666666667,0.494279180598793,0.494279180598793,0.193055555555556,-0.384620611001917,-0.593540670616768,0.228463255220788,0.201633986928105,0.201633986928105,0.201633986928105,-0.476412698412698,0.618987897747022,-0.62133274007924,-0.511234190645955,0.580772852059981,0.525217296504425,0.458869395711501,0.385185185185185,0.460860860860861,0.3,0.385185185185185,0.2,0.3,0,-0.0333333333333333,0.2,0.1,0.471510673234811,-0.145007680491551,0.182402597402597,-0.223146853146853
"SRC",0.419878618113912,0.403961038961039,0.382142857142857,0.358333333333333,0.333333333333333,0.35913855536497,0.338383838383838,0.310300650593705,0.327272727272727,0.3,0.126804038397881,0.11573613086771,0.109429824561404,0.173076923076923,0.184188034188034,0.15,0.0850326797385621,0.255385878489327,0.0533333333333333,0.0333333333333333,0.15,0.0965172900494002,0.165238095238095,0.143809523809524,0.12,0.499827792752321,0.499827792752321,0.00857142857142857,-0.122174709348622,-0.101739634785212,0.225558083968597,0.214952023362536,0.214952023362536,0.214952023362536,-0.374741602067183,0.193180804080001,-0.27081812522989,-0.512683355292051,0.0817979787950592,0.0462275089964014,0.00598360655737705,-0.035,0.00598360655737705,-0.075,-0.035,-0.1,-0.075,-0.1,-0.0333333333333333,0,0,-0.0582536444387777,-0.0644444444444444,-0.166406926406926,-0.423818833496253
"PAK1",0.366833603079583,0.421416882699429,0.388629997453527,0.353781512605042,0.304761904761905,0.36383099975436,0.341164333087693,0.190170896342311,0.319130434782609,0.28,0.0990063791633595,0.102706946577914,0.0917392046424304,0.124122807017544,0.138937621832359,0.108333333333333,0.214341013824885,0.403773103707886,0.145007680491551,0.10952380952381,0.0833333333333333,0.307215831629175,0.254688644688645,0.215128205128205,0.17051282051282,0.506176286708118,0.506176286708118,0.231669416941694,-0.405973994460564,-0.647936275012372,0.253917800675333,0.228463255220788,0.228463255220788,0.228463255220788,-0.487888108248764,0.676854082195485,-0.667076684715918,-0.522401703336311,0.627807334818601,0.580772852059981,0.522771834735891,0.458869395711501,0.525217296504425,0.385185185185185,0.460860860860861,0.3,0.385185185185185,-0.0333333333333333,-0.0761904761904762,0.3,0.2,0.541950924807138,-0.178341013824885,0.201675324675325,-0.232539118340223
"LIV1",0.366833603079583,0.421416882699429,0.388629997453527,0.353781512605042,0.304761904761905,0.36383099975436,0.341164333087693,0.190170896342311,0.319130434782609,0.28,0.0990063791633595,0.102706946577914,0.0917392046424304,0.124122807017544,0.138937621832359,0.108333333333333,0.214341013824885,0.403773103707886,0.145007680491551,0.10952380952381,0.0833333333333333,0.307215831629175,0.254688644688645,0.215128205128205,0.17051282051282,0.506176286708118,0.506176286708118,0.231669416941694,-0.405973994460564,-0.647936275012372,0.253917800675333,0.228463255220788,0.228463255220788,0.228463255220788,-0.487888108248764,0.676854082195485,-0.667076684715918,-0.522401703336311,0.627807334818601,0.580772852059981,0.522771834735891,0.458869395711501,0.525217296504425,0.385185185185185,0.460860860860861,0.3,0.385185185185185,-0.0333333333333333,-0.0761904761904762,0.3,0.2,0.541950924807138,-0.178341013824885,0.201675324675325,-0.232539118340223
"EGR1",0.366833603079583,0.421416882699429,0.388629997453527,0.353781512605042,0.304761904761905,0.36383099975436,0.341164333087693,0.190170896342311,0.319130434782609,0.28,0.0990063791633595,0.102706946577914,0.0917392046424304,0.124122807017544,0.138937621832359,0.108333333333333,0.214341013824885,0.403773103707886,0.145007680491551,0.10952380952381,0.0833333333333333,0.307215831629175,0.254688644688645,0.215128205128205,0.17051282051282,0.506176286708118,0.506176286708118,0.231669416941694,-0.405973994460564,-0.647936275012372,0.253917800675333,0.228463255220788,0.228463255220788,0.228463255220788,-0.487888108248764,0.676854082195485,-0.667076684715918,-0.522401703336311,0.627807334818601,0.580772852059981,0.522771834735891,0.458869395711501,0.525217296504425,0.385185185185185,0.460860860860861,0.3,0.385185185185185,-0.0333333333333333,-0.0761904761904762,0.3,0.2,0.541950924807138,-0.178341013824885,0.201675324675325,-0.232539118340223
"SNAI1",0.389578202825454,0.452666882699429,0.421416882699429,0.388629997453527,0.353781512605042,0.386252524418037,0.36383099975436,0.0985338856661545,0.341164333087693,0.319130434782609,0.113292093449074,0.10996401914864,0.102706946577914,0.138937621832359,0.159770955165692,0.124122807017544,0.246379848776341,0.438747462682245,0.178341013824885,0.145007680491551,0.108333333333333,0.346509949276234,0.293464154892726,0.254688644688645,0.215128205128205,0.516139386339114,0.516139386339114,0.265254322602072,-0.423408204986879,-0.694326603164358,0.274935863072706,0.253917800675333,0.253917800675333,0.253917800675333,-0.496299323202035,0.726367994364442,-0.707451294497396,-0.533064527543804,0.667611155159334,0.627807334818601,0.578164887752345,0.522771834735891,0.580772852059981,0.458869395711501,0.525217296504425,0.385185185185185,0.460860860860861,-0.0833333333333333,-0.10952380952381,0.385185185185185,0.3,0.603023185879399,-0.214341013824885,0.217582915434401,-0.242999369386248
"SMAD",0.422224877300254,0.476908471685238,0.441051897980059,0.403621730382294,0.357142857142857,0.393899367699068,0.368899367699068,0.233462675765095,0.34331797235023,0.314285714285714,0.226781968002532,0.112154740236932,0.202154740236932,0.237488328664799,0.258821661998133,0.21984126984127,0.337085848595432,0.443875355489144,0.260833333333333,0.220833333333333,0.205555555555556,0.434029185867896,0.37744389709907,0.333793103448276,0.286666666666667,0.523549153526798,0.523549153526798,0.266600118308193,-0.389608569902028,-0.664056052117683,0.336258681389858,0.310929734021437,0.310929734021437,0.310929734021437,-0.501945360656682,0.688825088974393,-0.690808889074851,-0.538009703995571,0.636813931846977,0.588485664369773,0.530075939248601,0.463888888888889,0.531904931669637,0.388888888888889,0.465359477124183,0.3,0.388888888888889,-0.15,-0.183333333333333,0.3,0.2,0.547722623662016,-0.300282874617737,0.13311068074226,-0.261498789449222
"TGF",0.505854037267081,0.530238095238095,0.583809523809524,0.526666666666667,0.46,0.456892230576441,0.423558897243108,0.35567069294342,0.376190476190476,0.333333333333333,0.231850419084462,0.22603128054741,0.211515151515151,0.315476190476191,0.331265664160401,0.258333333333333,0.271867816091954,0.465185185185185,0.203333333333333,0.153333333333333,0.233333333333333,0.345710603829161,0.38816091954023,0.343333333333333,0.273333333333333,0.53291819799829,0.53291819799829,0.181578947368421,-0.357830388241173,-0.553274352977731,0.31547619047619,0.286904761904762,0.286904761904762,0.286904761904762,-0.498372743452835,0.560226925957777,-0.602892012112107,-0.543721364842055,0.543529385212603,0.472715988083416,0.392452830188679,0.3,0.392452830188679,0.2,0.3,0.1,0.2,-0.2,-0.133333333333333,0.1,0,0.395061728395062,-0.234367816091954,-0.0437765973969497,-0.368398268398268
"TCFLEF",0.594331618958115,0.591981858912817,0.567809673482353,0.54257602862254,0.507692307692308,0.51057906089265,0.492891986062718,0.379265246608343,0.472891986062718,0.431428571428571,0.202196974022267,0.184395136982034,0.175408521303258,0.283968160871387,0.298098595653995,0.271064935064935,0.291050106961447,0.433503619189794,0.24047619047619,0.216666666666667,0.235064935064935,0.306806658576915,0.396818141134313,0.370572293958234,0.345082097879802,0.54901581605529,0.54901581605529,0.200614156302779,0.111626411562822,-0.46676936741753,0.367799267444682,0.352687572306706,0.352687572306706,0.352687572306706,-0.42543449197861,0.520223233692925,-0.612209176250937,-0.562183800135607,0.281245837468849,0.245592916506649,0.308908328102702,0.264808949220714,0.305157635865183,0.219509803921569,0.261132478632479,0.174509803921569,0.215833333333333,-0.171428571428571,-0.183333333333333,0.170833333333333,0.133333333333333,0.632161172161172,-0.264669738863287,-0.205956258419894,-0.401341782614685
"TGFR",0.532491591852233,0.569245187436677,0.530238095238095,0.583809523809524,0.526666666666667,0.481549764823016,0.456892230576441,0.364225265214807,0.423558897243108,0.376190476190476,0.248268329532223,0.237775052789402,0.22603128054741,0.331265664160401,0.349870315323192,0.315476190476191,0.309720923436587,0.511092658494794,0.234367816091954,0.203333333333333,0.258333333333333,0.39643524151032,0.434923509468287,0.38816091954023,0.343333333333333,0.555182348941686,0.555182348941686,0.224788823911631,-0.388475549531496,-0.621172736349555,0.342961570593149,0.31547619047619,0.31547619047619,0.31547619047619,-0.530515600595692,0.631523222254074,-0.659961858790131,-0.567475030531204,0.603671103547412,0.543529385212603,0.471807668898357,0.392452830188679,0.472715988083416,0.3,0.392452830188679,0.2,0.3,-0.233333333333333,-0.153333333333333,0.2,0.1,0.48046945371695,-0.271867816091954,-0.0161482355387589,-0.378398268398268
"GLI",0.435552008083935,0.581699465472591,0.546640641943179,0.508275862068966,0.46,0.494061012652173,0.469199134199134,0.269240634108513,0.44452380952381,0.402857142857143,0.153563650083175,0.153860922957843,0.143590652687573,0.179490392648287,0.199802892648287,0.165204678362573,0.351139919905584,0.435852464833789,0.278602756892231,0.247023809523809,0.138888888888889,0.340013962831617,0.29964538335228,0.256788240495137,0.214288240495137,0.557058883768561,0.557058883768561,0.238610887637436,-0.421030223230586,-0.662437878977571,0.354214715008797,0.328274120949391,0.328274120949391,0.328274120949391,-0.534093522093522,0.688227082982549,-0.688784137127117,-0.571836151464635,0.643053110983081,0.5926645873728,0.531226936896928,0.563567362428843,0.533249002957215,0.487096774193548,0.465145554681353,0.4,0.387096774193548,-0.0833333333333333,-0.20952380952381,0.3,0.2,0.54745018115942,-0.315337450769782,0.0687416745359548,-0.304911678854082
