"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","EGR1","MEK","HEY1","ERK","cfos","SMAD","ILK","SHH","TWIST1","SMO","AKT","FUS","IKK","Jagged","NFB","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","Ecadherin","GSK3","RAF","PI3K","DELTA","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Csn",0.253628756931699,0.279771395206155,0.252802421459138,0.206648575305292,0.145454545454545,0.163804682808626,0.106666666666667,0.22909632034632,0.0753737541528239,0.193679653679654,0.143030303030303,0.0813334610696855,0.0687370600414079,0.139396839132429,0.294960261804582,0.108513708513709,0.193266666666667,0.0873015873015873,0.171666666666667,0.186845221450699,0.138333333333333,0.105,0.25515873015873,0.23015873015873,0.18989898989899,0.175371843652715,-0.399880772821949,0.437214226633582,0.437214226633582,0.438017582791001,-0.442370015831975,0.189656692140716,-0.516743725919167,-0.147206759355543,0.168735386958374,0.168735386958374,0.168735386958374,-0.445018334053115,0.419835433947705,0.37427547866515,0.398849264374644,0.348511286525412,0.374733508747634,0.348511286525412,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.407069759206799,-0.18,-0.0428571428571429,0.2,0.0506890563343592,-0.124642740771773,-0.178146483457669
"STAT",0.218786639400136,0.21176467189053,0.194856459330144,0.165909090909091,0.140909090909091,0.147366158651123,0.2,0.190044275774826,0.0586666666666667,0.171764705882353,0.16,0.0638125381753568,0.0615136876006441,0.0628225972422309,0.0802251471666764,0.045,0.0261501210653753,0.025,0.0142857142857143,0.0675142417782127,0,0,0.0232011566106369,0.00863804981452041,-0.0156862745098039,-0.00348932676518883,-0.326728064963359,0.442935269858347,0.442935269858347,0.104685579298582,-0.0628629869659736,-0.0702989395454489,-0.20560603104461,0.0450133511348465,-0.0814929693961952,-0.0814929693961952,-0.0814929693961952,-0.458532927961468,0.0325315917856516,0.0111440030557678,0.0224004833231963,-0.00146103896103896,0.0113594738594739,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,-0.0431294196000078,0,0,0,-0.0631651212599804,-0.0566279069767442,-0.169157014157014
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.258333333333333,0.1,0.253333333333333,0.166666666666667,0.22,0.2,0.0714285714285714,0.0666666666666667,0.121794871794872,0.293,0.0333333333333333,0.0666666666666667,0,0.0333333333333333,0.166493506493506,0,0,0.217142857142857,0.16,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,0.186060606060606,-0.513017543859649,-0.23639846743295,0.113333333333333,0.113333333333333,0.113333333333333,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.258333333333333,0.1,0.253333333333333,0.166666666666667,0.22,0.2,0.0714285714285714,0.0666666666666667,0.121794871794872,0.293,0.0333333333333333,0.0666666666666667,0,0.0333333333333333,0.166493506493506,0,0,0.217142857142857,0.16,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,0.186060606060606,-0.513017543859649,-0.23639846743295,0.113333333333333,0.113333333333333,0.113333333333333,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
"ERK",0.386431205741551,0.410473029483194,0.380253249263414,0.334997774810859,0.272380952380952,0.293282035057839,0.237241379310345,0.26581918606275,0.194893850565207,0.231000244558572,0.277666911225238,0.190284435128691,0.177214526314101,0.253901900223145,0.450444462574674,0.216590163934426,0.310869316867698,0.192,0.287933537051184,0.305901302094698,0.256168831168831,0.210714285714286,0.376521764513353,0.349097941798672,0.31041181041181,0.102081060255818,-0.421399575144862,0.462093527046565,0.462093527046565,0.702467023190255,-0.553199261824979,0.233700793156239,-0.632140614022353,-0.254446941367922,0.210928515928516,0.210928515928516,0.210928515928516,-0.471296843151351,0.428201301276899,0.382085283137915,0.406395745721343,0.354265734265734,0.380931061706474,0.352686786897313,0.32,0.318421052631579,0.27,0.268421052631579,0.414173228492463,-0.185714285714286,-0.14,0.2,0.0528475758811781,-0.235544412300439,-0.319589722709198
"NFB",0.542826558125363,0.574128628052679,0.529191919191919,0.469191919191919,0.405555555555556,0.320801333069973,0.114285714285714,0.270285714285714,0.194440144478844,0.214730158730159,0.150285714285714,0.197562402615726,0.183807755775578,0.279830740586869,0.566909430438842,0.228148148148148,0.321660231660232,0.18,0.281660231660232,0.312593164456251,0.235714285714286,0.285714285714286,0.380319322254806,0.338383838383838,0.289177489177489,0.342509951348961,-0.41529304029304,0.474077550197332,0.474077550197332,0.698213780593353,-0.61265624380123,0.313334149782261,-0.730536445748983,-0.247780650721827,0.28646847814047,0.28646847814047,0.28646847814047,-0.478689522308332,0.465804965283744,0.409947181407856,0.439530455479823,0.376239316239316,0.40957264957265,0.376239316239316,0.331623931623932,0.331623931623932,0.277777777777778,0.277777777777778,0.443520770010132,-0.3,-0.12,0.2,0.160314965660216,-0.2557343550447,-0.311223203026482
"SRC",0.40859943977591,0.400551948051948,0.369642857142857,0.345833333333333,0.333333333333333,0.309789944101385,0.3,0.340213455307795,0.126804038397881,0.323232323232323,0.345454545454545,0.11573613086771,0.109429824561404,0.0953812636165577,0.258834154351396,0.0533333333333333,0.186752136752137,0.0333333333333333,0.175641025641026,0.110475770406963,0.183333333333333,0.15,0.184285714285714,0.159285714285714,0.145,0.00285714285714286,-0.354328165374677,0.481079664570231,0.481079664570231,0.207741457121517,-0.109673701541685,0.247427845412827,-0.273239538239538,-0.156017316017316,0.218639966624948,0.218639966624948,0.218639966624948,-0.493078612209047,0.0811660123422667,0.0344262295081967,0.0612554978008796,0,0.0344262295081967,0,-0.05,-0.05,-0.1,0,-0.0271686004505079,-0.1,-0.0333333333333333,0,-0.0800943621595796,-0.0718518518518519,-0.408634734441186
"SMO",0.431379310344828,0.52490990990991,0.481666666666667,0.44,0.4,0.363364055299539,0.2,0.365734265734266,0.128937728937729,0.338461538461538,0.3,0.134285714285714,0.12,0.324166666666667,0.284858387799564,0.253333333333333,0.192285714285714,0.333333333333333,0.164285714285714,0.239312169312169,0.15,0.1,0.295606060606061,0.260606060606061,0.233333333333333,0.255263157894737,-0.413888888888889,0.482485875706215,0.482485875706215,0.458517788724685,-0.399283850088736,0.289210644007156,-0.446083963266817,-0.33328354493403,0.254326923076923,0.254326923076923,0.254326923076923,-0.492374924653406,0.302911242507563,0.344444444444444,0.275091693635383,0.3,0.241111111111111,0.196666666666667,0.25,0.15,0.2,0.1,0.366472607851918,0,-0.3,0.1,0.319191970819878,-0.290833333333333,-0.352857142857143
"TWIST1",0.532344165586851,0.520407550288844,0.484188871473354,0.440438871473354,0.381818181818182,0.473298267326733,0.213333333333333,0.402477429784715,0.233941764450239,0.365163996948894,0.30463768115942,0.232561679591383,0.214409864409864,0.455851391981765,0.461736315426247,0.391555555555556,0.347358291426088,0.355555555555556,0.316849816849817,0.408896707944181,0.269230769230769,0.2,0.372164167069827,0.339145299145299,0.295555555555556,0.326280584404154,-0.402605795288722,0.483802223275907,0.483802223275907,0.729220309152259,-0.658165691028774,0.317864625425602,-0.825646007574018,-0.396281166813472,0.291494762411903,0.291494762411903,0.291494762411903,-0.492190546064354,0.469766289467505,0.418854803675856,0.446247025522709,0.385254803675856,0.417916244511989,0.384582911178656,0.348412698412698,0.348412698412698,0.309523809523809,0.309523809523809,0.461239889143115,-0.1,-0.3,0.266666666666667,0.398307492034248,-0.425802130898021,-0.448547209416775
"NOTCH",0.376122448979592,0.396071684587814,0.331555555555555,0.255555555555556,0.2,0.299871794871795,0.2,0.317619047619048,0.171014492753623,0.253333333333333,0.22,0.0814285714285714,0.0714285714285714,0.151206636500754,0.342152542372881,0.0833333333333333,0.111111111111111,0.0333333333333333,0.0666666666666667,0.196123136123136,0.0333333333333333,0,0.171981566820276,0.217142857142857,0.16,0.167368421052632,-0.46207729468599,0.52133655394525,0.52133655394525,0.487894132011779,-0.483824412443246,0.233886693017128,-0.572694963214488,-0.275034831069314,0.186060606060606,0.186060606060606,0.186060606060606,-0.529264069264069,0.383193948908235,0.314685314685315,0.350949050949051,0.269230769230769,0.314685314685315,0.269230769230769,0.2,0.2,0.1,0.1,0.338490566037736,0,0,0,0.329512503157363,-0.121794871794872,-0.28762157382847
"TGF",0.487080745341615,0.510198412698413,0.558412698412698,0.515555555555556,0.46,0.389456452638271,0.233333333333333,0.33515455304929,0.195486782720825,0.306265664160401,0.29047619047619,0.20603128054741,0.191515151515151,0.248951149425287,0.421666666666667,0.186666666666667,0.113408521303258,0.153333333333333,0.0976190476190476,0.305130093274423,0.0833333333333333,0.0333333333333333,0.171264367816092,0.133333333333333,0.0933333333333333,0.221052631578947,-0.479150775489448,0.522787139125812,0.522787139125812,0.477587060483002,-0.500826002402492,0.138690476190476,-0.571994695084738,-0.158574845463299,0.0869047619047619,0.0869047619047619,0.0869047619047619,-0.531239785119095,0.41181592488941,0.338490566037736,0.379280039721946,0.28,0.338490566037736,0.28,0.2,0.2,0.1,0.1,0.353615520282187,0,-0.133333333333333,0,0.205490112225813,-0.217701149425287,-0.339393939393939
"FUS",0.472168784029038,0.566399271612038,0.52490990990991,0.481666666666667,0.44,0.391665942091992,0.3,0.399067599067599,0.144879757923236,0.365734265734266,0.338461538461538,0.143963133640553,0.134285714285714,0.349419191919192,0.320984042249826,0.290833333333333,0.219208791208791,0.253333333333333,0.192285714285714,0.265818193408555,0.164285714285714,0.15,0.32969696969697,0.295606060606061,0.260606060606061,0.27834008097166,-0.461429872495446,0.527271151779834,0.527271151779834,0.493885831812657,-0.437831336122255,0.317594923483138,-0.489097661896954,-0.355691571689883,0.289210644007156,0.289210644007156,0.289210644007156,-0.53692938009895,0.326280807724955,0.379059829059829,0.302911242507563,0.344444444444444,0.275091693635383,0.241111111111111,0.3,0.196666666666667,0.25,0.15,0.404360806609682,-0.1,-0.333333333333333,0.1,0.33744014600236,-0.324166666666667,-0.39100147275405
"cfos",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.242857142857143,0.317912214367911,0.32,0.349064112011791,0.0813593203398301,0.296521739130435,0.24,0.0917392046424304,0.0788359788359788,0.159543721909313,0.362155844155844,0.10952380952381,0.132675438596491,0.0761904761904762,0.0958333333333333,0.208611111111111,0.0583333333333333,0.0333333333333333,0.195384615384615,0.153846153846154,0.1,0.198611111111111,-0.509936507936508,0.560496175871478,0.560496175871478,0.535404935696907,-0.531877013204303,0.236249269355439,-0.61120282246208,-0.306314935064935,0.203322440087146,0.203322440087146,0.203322440087146,-0.571971819030643,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.365545086783348,-0.138556067588326,-0.316456876456876
"CDC42",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.342857142857143,0.317912214367911,0.22,0.349064112011791,0.0813593203398301,0.296521739130435,0.24,0.0917392046424304,0.0788359788359788,0.159543721909313,0.362155844155844,0.10952380952381,0.132675438596491,0.0761904761904762,0.0958333333333333,0.208611111111111,0.0583333333333333,0.0333333333333333,0.195384615384615,0.153846153846154,0.1,0.198611111111111,-0.509936507936508,0.560496175871478,0.560496175871478,0.535404935696907,-0.531877013204303,0.236249269355439,-0.61120282246208,-0.306314935064935,0.203322440087146,0.203322440087146,0.203322440087146,-0.571971819030643,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.365545086783348,-0.138556067588326,-0.316456876456876
"TGFR",0.532932273725894,0.558425363053023,0.510198412698413,0.558412698412698,0.515555555555556,0.425739638478979,0.29047619047619,0.378990169487646,0.213397230482019,0.33515455304929,0.306265664160401,0.21350459015595,0.20603128054741,0.276634765244496,0.463303677342823,0.217701149425287,0.148292242233491,0.186666666666667,0.113408521303258,0.3341156005208,0.0976190476190476,0.0833333333333333,0.215149259902423,0.171264367816092,0.133333333333333,0.259324236517219,-0.520222204060877,0.565428648559774,0.565428648559774,0.518790764186706,-0.544244016259305,0.174947786131997,-0.619183792188656,-0.188648195096551,0.138690476190476,0.138690476190476,0.138690476190476,-0.574348289517922,0.43847668662546,0.379135727328058,0.41181592488941,0.338490566037736,0.379280039721946,0.338490566037736,0.28,0.28,0.2,0.2,0.403830112556865,-0.0333333333333333,-0.153333333333333,0.1,0.229482047709684,-0.248951149425287,-0.377965367965368
"NOTCHic",0.421283739302172,0.441294614524119,0.396071684587814,0.331555555555555,0.255555555555556,0.331088726088726,0.22,0.374761904761905,0.184860646599777,0.317619047619048,0.253333333333333,0.0965364850976362,0.0814285714285714,0.173787281662044,0.380517322247095,0.121794871794872,0.150645994832041,0.0833333333333333,0.111111111111111,0.221950950692673,0.0666666666666667,0.0333333333333333,0.214086829978171,0.171981566820276,0.217142857142857,0.226459330143541,-0.515648723257419,0.570966183574879,0.570966183574879,0.52857549473723,-0.529869037189696,0.264921175775748,-0.622465254179266,-0.305613343466008,0.233886693017128,0.233886693017128,0.233886693017128,-0.581865225333433,0.411438223717395,0.350169185653057,0.383193948908235,0.314685314685315,0.350949050949051,0.314685314685315,0.269230769230769,0.269230769230769,0.2,0.2,0.38293501048218,0,-0.0333333333333333,0.1,0.352512503157363,-0.151206636500754,-0.328466644251006
"TCFLEF",0.613513506453792,0.602961548038849,0.577133733469313,0.547227191413238,0.507692307692308,0.428751169797195,0.382857142857143,0.480374979259997,0.1943560757446,0.453844367015099,0.424320557491289,0.180865127358636,0.17111369332422,0.280076427958874,0.427999947806919,0.24047619047619,0.248275732682465,0.216666666666667,0.22871051529116,0.28183041586695,0.20612987012987,0.17012987012987,0.351033935979383,0.326781444285031,0.299330463892874,0.21363979732842,-0.439452826585179,0.573576510721247,0.573576510721247,0.483478517872803,-0.438320267887164,0.281005895334327,-0.606218483679162,-0.350926607560748,0.261426394677297,0.261426394677297,0.261426394677297,-0.585059545541473,0.210202515557019,0.270326282129351,0.190786707996881,0.2411337355455,0.266388082567328,0.237457264957265,0.209509803921569,0.205833333333333,0.174509803921569,0.170833333333333,0.601418315018315,-0.142857142857143,-0.183333333333333,0.133333333333333,0.324458521339739,-0.259831029185868,-0.424343114294898
"PAK1",0.438259488824967,0.459418819688829,0.424446142093201,0.378991596638655,0.314285714285714,0.345358515083901,0.24,0.398397445345124,0.0975357909280654,0.349064112011791,0.296521739130435,0.10657791431985,0.0917392046424304,0.181543721909313,0.393677583286279,0.138556067588326,0.162305068226121,0.10952380952381,0.132675438596491,0.23376448534424,0.0958333333333333,0.0583333333333333,0.228351648351648,0.195384615384615,0.153846153846154,0.231284378437844,-0.55255945875618,0.600689101916495,0.600689101916495,0.570486310018787,-0.570888002215292,0.261703814809984,-0.652240884745817,-0.333224025974026,0.236249269355439,0.236249269355439,0.236249269355439,-0.61258095608648,0.451039840796754,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.385394710843499,-0.159543721909313,-0.35015853391544
"LIV1",0.438259488824967,0.459418819688829,0.424446142093201,0.378991596638655,0.314285714285714,0.345358515083901,0.24,0.398397445345124,0.0975357909280654,0.349064112011791,0.296521739130435,0.10657791431985,0.0917392046424304,0.181543721909313,0.393677583286279,0.138556067588326,0.162305068226121,0.10952380952381,0.132675438596491,0.23376448534424,0.0958333333333333,0.0583333333333333,0.228351648351648,0.195384615384615,0.153846153846154,0.231284378437844,-0.55255945875618,0.600689101916495,0.600689101916495,0.570486310018787,-0.570888002215292,0.261703814809984,-0.652240884745817,-0.333224025974026,0.236249269355439,0.236249269355439,0.236249269355439,-0.61258095608648,0.451039840796754,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.385394710843499,-0.159543721909313,-0.35015853391544
"EGR1",0.438259488824967,0.459418819688829,0.424446142093201,0.378991596638655,0.314285714285714,0.345358515083901,0.24,0.398397445345124,0.0975357909280654,0.349064112011791,0.296521739130435,0.10657791431985,0.0917392046424304,0.181543721909313,0.393677583286279,0.138556067588326,0.162305068226121,0.10952380952381,0.132675438596491,0.23376448534424,0.0958333333333333,0.0583333333333333,0.228351648351648,0.195384615384615,0.153846153846154,0.231284378437844,-0.55255945875618,0.600689101916495,0.600689101916495,0.570486310018787,-0.570888002215292,0.261703814809984,-0.652240884745817,-0.333224025974026,0.236249269355439,0.236249269355439,0.236249269355439,-0.61258095608648,0.451039840796754,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.385394710843499,-0.159543721909313,-0.35015853391544
"ZEB1",0.465120137431803,0.495364484178098,0.459931413311956,0.417799433616525,0.364176245210728,0.346957934151988,0.216666666666667,0.352284184158245,0.185035508532918,0.312196078431373,0.268666666666667,0.178571315342988,0.166552084573757,0.271016185510115,0.470806626937409,0.223106060606061,0.266615719626936,0.195833333333333,0.238044291055508,0.334010086578585,0.210175438596491,0.173333333333333,0.35085885593907,0.318627450980392,0.283333333333333,0.295360623781676,-0.552877562600551,0.605258973615972,0.605258973615972,0.526875386627696,-0.643198813120397,0.403572936768783,-0.64682869904023,-0.384519322797418,0.3779036454302,0.3779036454302,0.3779036454302,-0.624325691268721,0.497140855674135,0.450872070264829,0.475418742171199,0.420975163048334,0.449354912383965,0.419493801272854,0.384436701509872,0.38223889931207,0.338095238095238,0.335897435897436,0.48012547234277,-0.133333333333333,-0.158333333333333,0.266666666666667,0.3990331845828,-0.248596256684492,-0.33224229026937
"Csl",0.455766497922862,0.47598849207514,0.441294614524119,0.396071684587814,0.331555555555555,0.359547224112441,0.253333333333333,0.422587991718427,0.20381489496579,0.374761904761905,0.317619047619048,0.112647596208747,0.0965364850976362,0.19706314373101,0.412345764685018,0.151206636500754,0.180878552971576,0.121794871794872,0.150645994832041,0.247992617359339,0.111111111111111,0.0666666666666667,0.246814102705444,0.214086829978171,0.171981566820276,0.256540630956549,-0.559934437543133,0.612402647663277,0.612402647663277,0.56340025238078,-0.56885986287777,0.289921175775748,-0.663860603016475,-0.331975640962326,0.264921175775748,0.264921175775748,0.264921175775748,-0.623913155616658,0.435166068199956,0.382427250169186,0.411438223717395,0.350169185653057,0.383193948908235,0.350949050949051,0.314685314685315,0.314685314685315,0.269230769230769,0.269230769230769,0.419695935932052,-0.0333333333333333,-0.0833333333333333,0.2,0.371586238684481,-0.173787281662044,-0.363950515218747
"SMAD",0.497504908914589,0.515810865997248,0.47836066679406,0.431991951710262,0.371428571428571,0.395575032494387,0.285714285714286,0.441156752100113,0.226781968002532,0.394041367484728,0.340552995391705,0.117652575734768,0.203366861449053,0.300858912269932,0.432269837243867,0.250833333333333,0.285921568627451,0.220833333333333,0.253921568627451,0.353522133780198,0.216666666666667,0.183333333333333,0.349830322933771,0.314909688013136,0.272380952380952,0.261986098787341,-0.575333164186459,0.62719669750699,0.62719669750699,0.575420388113314,-0.580314753423626,0.372417473566807,-0.674443605838685,-0.370244822011739,0.345772736724702,0.345772736724702,0.345772736724702,-0.637356583846212,0.448779459010718,0.394422483990829,0.424362032465632,0.35989010989011,0.395189712248536,0.360644257703081,0.321428571428571,0.321428571428571,0.271428571428571,0.271428571428571,0.428696207957508,-0.15,-0.183333333333333,0.2,0.281508633709115,-0.277438837920489,-0.387054397321903
"GLI",0.494099157206742,0.612784836771403,0.576314248536109,0.530402298850575,0.468333333333333,0.401193194817079,0.354285714285714,0.506914807108177,0.146838503884344,0.463268398268398,0.412619047619048,0.154119091574221,0.140605578060707,0.322109230306807,0.423130099479845,0.273339598997494,0.166327649480845,0.247023809523809,0.138202649480845,0.274945234115977,0.103508771929825,0.0666666666666667,0.235689339396236,0.201403625110522,0.158903625110522,0.247370417193426,-0.585465465465465,0.632694145758662,0.632694145758662,0.588271811126507,-0.590887615376406,0.189786562267767,-0.673839263570241,-0.412937004427031,0.160281611772717,0.160281611772717,0.160281611772717,-0.643827328502251,0.472826633264859,0.41538939803787,0.447303620712557,0.478368121442125,0.415810114219051,0.37874114870181,0.434838709677419,0.334838709677419,0.38,0.28,0.445668780193237,-0.0333333333333333,-0.20952380952381,0.2,0.349863831858419,-0.297829394915861,-0.393964542574274
"SNAI1",0.467611458329414,0.489459142269475,0.459418819688829,0.424446142093201,0.378991596638655,0.271693034656855,0.296521739130435,0.431581301847366,0.115392933785208,0.398397445345124,0.349064112011791,0.117771026250969,0.10657791431985,0.203485469482129,0.421882711491407,0.159543721909313,0.186610623781676,0.138556067588326,0.162305068226121,0.257293897108946,0.132675438596491,0.0958333333333333,0.256106750392465,0.228351648351648,0.195384615384615,0.252793812400108,-0.589008056887021,0.634514440169877,0.634514440169877,0.60002033616696,-0.603323235375914,0.28485652416959,-0.687204464350396,-0.355468250396468,0.261703814809984,0.261703814809984,0.261703814809984,-0.647643396048056,0.470606180497322,0.426375191209496,0.451039840796754,0.397673180240574,0.427177771831237,0.398659253312719,0.364990253411306,0.365985985985986,0.328148148148148,0.328148148148148,0.464793733700695,-0.0583333333333333,-0.10952380952381,0.28,0.40134865821192,-0.181543721909313,-0.380702466969833
