"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","ERK","HEY1","cfos","SMAD","ILK","EGR1","SHH","TWIST1","SMO","AKT","IKK","FUS","NFB","Jagged","NOTCH","NOTCHic","Csn","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","RAS","RAF","PI3K","DELTA","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"ERK",0.34885272540445,0.378882721412567,0.348388215918061,0.306782376502003,0.262857142857143,0.248857692879625,0.16949517729134,0.147489606260699,0.159069788393022,0.219156272927366,0.166088570396024,0.156666077994808,0.187241379310345,0.23727672261587,0.416936287901451,0.200590163934426,0.0868770076838075,0.0832072829131653,0.176,0.0726190476190476,0.291543265981306,0.165170610640413,0.150489170197199,0.0392857142857143,0.124941724941725,0.139012482662968,-0.388980458888036,0.425415044783677,0.425415044783677,0.67486937579375,-0.536652656735572,-0.606411870372686,-0.175453914325733,-0.435281401086209,0.412936011511659,0.375278055278055,0.394880455956103,0.107446376505782,0.104476079476079,0.104476079476079,0.104476079476079,0.351468531468531,0.374062612089932,0.34988958410011,0.32,0.318421052631579,0.27,0.268421052631579,0.409119394170336,-0.0142857142857143,-0.14,0.2,0.0635270621695781,-0.220851601842923,-0.256616676871599
"STAT",0.218786639400136,0.21176467189053,0.194856459330144,0.165909090909091,0.140909090909091,0.148998811712347,0.2235926628716,0.211764705882353,0.0586666666666667,0.2,0.0661113887500694,0.0615136876006441,0.2,0.0628225972422309,0.0802251471666764,0.045,0.0559806295399516,0.0542857142857143,0.025,0.04,0.0675142417782127,0.0409053256568962,0.0321674615792263,0,0.00784313725490196,-0.0103858784893268,-0.326728064963359,0.442935269858347,0.442935269858347,0.105304774345022,-0.0628629869659736,-0.20560603104461,0.04043391188251,-0.458532927961468,0.0325315917856516,0.0111440030557678,0.0224004833231963,-0.0231526147179734,-0.0238988833746898,-0.0238988833746898,-0.0238988833746898,-0.00146103896103896,0.0113594738594739,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,-0.0431294196000078,0,0,0,-0.0636695348791481,-0.0566279069767442,-0.173323680823681
"cMet",0.402800632911392,0.404137115839243,0.372222222222222,0.35,0.3,0.392203029401959,0.356363636363636,0.34,0.209975920192638,0.32,0.202628324056895,0.193537414965986,0.3,0.202272727272727,0.389020043626785,0.15,0.11125,0.08,0.15,0.1,0.223314077227121,0.125131978883379,0.0804511278195489,0.1,0.0857142857142857,0.0385714285714286,-0.320634920634921,0.455988455988456,0.455988455988456,0.48458145261065,-0.196763716710336,-0.331199300371859,-0.231067588325653,-0.466074604743083,0.165611210494931,0.086969696969697,0.132277877161598,-0.062084456424079,-0.0809523809523809,-0.0809523809523809,-0.0809523809523809,0.0233333333333333,0.0861240310077519,0.0233333333333333,-0.05,0.05,-0.1,0,0.0419047619047619,-0.2,-0.1,0.1,-0.122585176576773,-0.177272727272727,-0.434814814814815
"NFB",0.526214449561063,0.560950262114819,0.516646464646465,0.464646464646465,0.405555555555556,0.304920217195131,0.23350700280112,0.204095238095238,0.180530370042754,0.157428571428571,0.189668193120427,0.17665704070407,0.121428571428571,0.274832971733678,0.554925303454715,0.220740740740741,0.119403689403689,0.117181467181467,0.18,0.0928571428571429,0.308767134371228,0.182049062049062,0.162049062049062,0.142857142857143,0.125541125541126,0.357211410880142,-0.402472527472527,0.458515541727883,0.458515541727883,0.690114329950713,-0.608023560762171,-0.721529952889321,-0.224621848739496,-0.463024010885563,0.461261767871761,0.408823585902238,0.436712748263918,0.101601333584118,0.0986162589572523,0.0986162589572523,0.0986162589572523,0.376239316239316,0.408442706069825,0.376239316239316,0.331623931623932,0.331623931623932,0.277777777777778,0.277777777777778,0.442811550151976,-0.1,-0.12,0.2,0.163849762423432,-0.248326947637292,-0.282730839288216
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.258333333333333,0.286666666666667,0.22,0.166666666666667,0.2,0.0714285714285714,0.0666666666666667,0.1,0.121794871794872,0.293,0.0333333333333333,0.0888888888888889,0.0333333333333333,0,0,0.166493506493506,0.231428571428571,0.16,0,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.129090909090909,0.12,0.12,0.12,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.258333333333333,0.286666666666667,0.22,0.166666666666667,0.2,0.0714285714285714,0.0666666666666667,0.1,0.121794871794872,0.293,0.0333333333333333,0.0888888888888889,0.0333333333333333,0,0,0.166493506493506,0.231428571428571,0.16,0,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.129090909090909,0.12,0.12,0.12,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
"SRC",0.406377217553688,0.398733766233766,0.369642857142857,0.345833333333333,0.333333333333333,0.298234787687675,0.274290070516486,0.253535353535354,0.119256868586561,0.242424242424242,0.10796586059744,0.105263157894737,0.233333333333333,0.0924400871459695,0.255385878489327,0.0533333333333333,0.121794871794872,0.105128205128205,0.0333333333333333,0.0666666666666667,0.108640908021642,0.126428571428571,0.0978571428571429,0.1,0.055,0.0285714285714286,-0.354328165374677,0.4791928721174,0.4791928721174,0.204371545617093,-0.109673701541685,-0.272368078544549,-0.138441558441558,-0.491597130727566,0.0807185850492018,0.0344262295081967,0.0612554978008796,0.013396290818068,0.00430538172715895,0.00430538172715895,0.00430538172715895,0,0.0344262295081967,0,-0.05,-0.05,-0.1,0,-0.0271686004505079,-0.1,-0.0333333333333333,0,-0.0766145086797261,-0.0718518518518519,-0.389866405995438
"SMO",0.431379310344828,0.52490990990991,0.481666666666667,0.44,0.4,0.360983102918587,0.325734265734266,0.298461538461538,0.128937728937729,0.26,0.131111111111111,0.12,0.2,0.324166666666667,0.284858387799564,0.253333333333333,0.142285714285714,0.114285714285714,0.333333333333333,0.1,0.239312169312169,0.262272727272727,0.227272727272727,0.1,0.2,0.265789473684211,-0.413888888888889,0.482485875706215,0.482485875706215,0.457565407772304,-0.399283850088736,-0.446083963266817,-0.32657989259931,-0.492374924653406,0.302911242507563,0.344444444444444,0.275091693635383,0.0402280858676208,0.0355769230769231,0.0355769230769231,0.0355769230769231,0.3,0.241111111111111,0.196666666666667,0.25,0.15,0.2,0.1,0.366472607851918,0,-0.3,0.1,0.319967164618327,-0.290833333333333,-0.347301587301587
"TWIST1",0.536282650208007,0.523479873751259,0.485438871473354,0.440438871473354,0.381818181818182,0.475824903142488,0.38008549927707,0.350732265446224,0.240075743465574,0.316521739130435,0.233474969118533,0.217963417963418,0.26,0.457605896334286,0.464693981330137,0.391555555555556,0.274641460234681,0.257692307692308,0.355555555555556,0.257692307692308,0.409863201411797,0.329346341987851,0.303874643874644,0.25,0.285925925925926,0.326939701539244,-0.404315196998124,0.487455876929561,0.487455876929561,0.730102979018445,-0.658642259734095,-0.827276947367026,-0.393647949393369,-0.495589560842679,0.470417594058075,0.418854803675856,0.446553304236338,0.163163712961179,0.156656863646111,0.156656863646111,0.156656863646111,0.385254803675856,0.417916244511989,0.384582911178656,0.348412698412698,0.348412698412698,0.309523809523809,0.309523809523809,0.461239889143115,-0.2,-0.3,0.266666666666667,0.397886809331299,-0.428541856925419,-0.454307149959324
"NOTCH",0.376122448979592,0.396071684587814,0.331555555555555,0.255555555555556,0.2,0.299871794871795,0.329523809523809,0.286666666666667,0.171014492753623,0.22,0.0814285714285714,0.0714285714285714,0.2,0.151206636500754,0.342152542372881,0.0833333333333333,0.1,0.0888888888888889,0.0333333333333333,0.0333333333333333,0.196123136123136,0.166912442396313,0.231428571428571,0,0.16,0.167368421052632,-0.46207729468599,0.52133655394525,0.52133655394525,0.487894132011779,-0.483824412443246,-0.572694963214488,-0.277307558342041,-0.529264069264069,0.383193948908235,0.314685314685315,0.350949050949051,0.130540184453228,0.129090909090909,0.129090909090909,0.129090909090909,0.269230769230769,0.314685314685315,0.269230769230769,0.2,0.2,0.1,0.1,0.338490566037736,0,0,0,0.329512503157363,-0.121794871794872,-0.28762157382847
"FUS",0.470852994555354,0.565335441824804,0.52490990990991,0.481666666666667,0.44,0.386454801031794,0.352171047343461,0.325734265734266,0.139082656473961,0.298461538461538,0.14078853046595,0.131111111111111,0.26,0.34739898989899,0.31888980141213,0.290833333333333,0.15767032967033,0.142285714285714,0.253333333333333,0.114285714285714,0.264613374131446,0.289545454545455,0.262272727272727,0.1,0.227272727272727,0.288866396761134,-0.461429872495446,0.526044157914804,0.526044157914804,0.492574384432987,-0.437831336122255,-0.488549716691475,-0.349656815676233,-0.535939281089049,0.32600906859452,0.379059829059829,0.302911242507563,0.0459049417628173,0.0402280858676208,0.0402280858676208,0.0402280858676208,0.344444444444444,0.275091693635383,0.241111111111111,0.3,0.196666666666667,0.25,0.15,0.404360806609682,-0.1,-0.333333333333333,0.1,0.338799281406649,-0.324166666666667,-0.383384061528391
"TGF",0.534673913043478,0.55047619047619,0.593333333333333,0.526666666666667,0.46,0.43949777495232,0.426683375104428,0.384461152882206,0.231850419084462,0.347619047619048,0.222805474095797,0.211515151515151,0.333333333333333,0.265617816091954,0.465185185185185,0.203333333333333,0.266979949874687,0.251190476190476,0.153333333333333,0.208333333333333,0.319691948944526,0.331264367816092,0.293333333333333,0.233333333333333,0.233333333333333,0.192105263157895,-0.507068395626748,0.559795668354021,0.559795668354021,0.509612450411962,-0.514243894589953,-0.597978803812028,-0.363100674059578,-0.567284583232859,0.427072763383588,0.342264150943396,0.388316782522344,0.110119047619048,0.094047619047619,0.094047619047619,0.094047619047619,0.28,0.342264150943396,0.28,0.2,0.2,0.1,0.1,0.356084656084656,-0.2,-0.133333333333333,0,0.18166283479623,-0.234367816091954,-0.405627705627706
"cfos",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.242857142857143,0.319178037152721,0.354723655121592,0.319130434782609,0.0813593203398301,0.28,0.0933521078682369,0.0788359788359788,0.32,0.159543721909313,0.362155844155844,0.10952380952381,0.106359649122807,0.0958333333333333,0.0761904761904762,0.0833333333333333,0.208611111111111,0.181282051282051,0.155128205128205,0.0333333333333333,0.116666666666667,0.193055555555556,-0.509936507936508,0.560496175871478,0.560496175871478,0.535891553701773,-0.531877013204303,-0.61120282246208,-0.308130411255411,-0.571971819030643,0.427177771831237,0.364990253411306,0.398659253312719,0.147525107604017,0.142647058823529,0.142647058823529,0.142647058823529,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.365130149024012,-0.138556067588326,-0.31979020979021
"CDC42",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.342857142857143,0.319178037152721,0.354723655121592,0.319130434782609,0.0813593203398301,0.28,0.0933521078682369,0.0788359788359788,0.22,0.159543721909313,0.362155844155844,0.10952380952381,0.106359649122807,0.0958333333333333,0.0761904761904762,0.0833333333333333,0.208611111111111,0.181282051282051,0.155128205128205,0.0333333333333333,0.116666666666667,0.193055555555556,-0.509936507936508,0.560496175871478,0.560496175871478,0.535891553701773,-0.531877013204303,-0.61120282246208,-0.308130411255411,-0.571971819030643,0.427177771831237,0.364990253411306,0.398659253312719,0.147525107604017,0.142647058823529,0.142647058823529,0.142647058823529,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.365130149024012,-0.138556067588326,-0.31979020979021
"NOTCHic",0.421283739302172,0.441294614524119,0.396071684587814,0.331555555555555,0.255555555555556,0.332146927146927,0.366666666666667,0.329523809523809,0.184860646599777,0.286666666666667,0.0979753340184995,0.0814285714285714,0.22,0.173787281662044,0.380517322247095,0.121794871794872,0.106976744186046,0.1,0.0833333333333333,0.0888888888888889,0.221950950692673,0.190596652922629,0.166912442396313,0.0333333333333333,0.231428571428571,0.221913875598086,-0.515648723257419,0.570966183574879,0.570966183574879,0.528976296340436,-0.529869037189696,-0.622465254179266,-0.306233178176752,-0.581865225333433,0.411438223717395,0.350169185653057,0.383193948908235,0.135958903665051,0.130540184453228,0.130540184453228,0.130540184453228,0.314685314685315,0.350949050949051,0.314685314685315,0.269230769230769,0.269230769230769,0.2,0.2,0.38293501048218,0,-0.0333333333333333,0.1,0.35217916982403,-0.151206636500754,-0.331283545659456
"TCFLEF",0.613102828835722,0.602630422211034,0.577133733469313,0.547227191413238,0.507692307692308,0.426041013844361,0.433175709308113,0.414808362369338,0.192586164240175,0.394808362369338,0.178378552848312,0.170156755525177,0.372857142857143,0.279462931026359,0.427325411550596,0.24047619047619,0.168921403981713,0.162399664851278,0.216666666666667,0.155948051948052,0.281450909225584,0.301979691479541,0.285700621712099,0.151948051948052,0.26805356288857,0.221096883156763,-0.439452826585179,0.573186647173489,0.573186647173489,0.482619004542505,-0.438320267887164,-0.606047104073335,-0.344806460272414,-0.584756515238443,0.210116604904098,0.270326282129351,0.190786707996881,0.1273065274838,0.119553570847795,0.119553570847795,0.119553570847795,0.2411337355455,0.266388082567328,0.237457264957265,0.209509803921569,0.205833333333333,0.174509803921569,0.170833333333333,0.601418315018315,-0.142857142857143,-0.183333333333333,0.133333333333333,0.325243430445082,-0.259831029185868,-0.419383753501401
"PAK1",0.43894914399738,0.459965267776261,0.424446142093201,0.378991596638655,0.314285714285714,0.347101664837685,0.385390321788258,0.354723655121592,0.100476967398654,0.319130434782609,0.106900494965011,0.0933521078682369,0.28,0.182543721909313,0.394764539808018,0.138556067588326,0.110063352826511,0.106359649122807,0.10952380952381,0.0958333333333333,0.234377982276755,0.198864468864469,0.181282051282051,0.0833333333333333,0.155128205128205,0.229689218921892,-0.55255945875618,0.601332188733215,0.601332188733215,0.570792096197252,-0.570888002215292,-0.652517701354814,-0.332130411255411,-0.613088570299678,0.451177771831237,0.397673180240574,0.427177771831237,0.155706925785835,0.147525107604017,0.147525107604017,0.147525107604017,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.384979773084163,-0.159543721909313,-0.352386894873083
"LIV1",0.43894914399738,0.459965267776261,0.424446142093201,0.378991596638655,0.314285714285714,0.347101664837685,0.385390321788258,0.354723655121592,0.100476967398654,0.319130434782609,0.106900494965011,0.0933521078682369,0.28,0.182543721909313,0.394764539808018,0.138556067588326,0.110063352826511,0.106359649122807,0.10952380952381,0.0958333333333333,0.234377982276755,0.198864468864469,0.181282051282051,0.0833333333333333,0.155128205128205,0.229689218921892,-0.55255945875618,0.601332188733215,0.601332188733215,0.570792096197252,-0.570888002215292,-0.652517701354814,-0.332130411255411,-0.613088570299678,0.451177771831237,0.397673180240574,0.427177771831237,0.155706925785835,0.147525107604017,0.147525107604017,0.147525107604017,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.384979773084163,-0.159543721909313,-0.352386894873083
"EGR1",0.43894914399738,0.459965267776261,0.424446142093201,0.378991596638655,0.314285714285714,0.347101664837685,0.385390321788258,0.354723655121592,0.100476967398654,0.319130434782609,0.106900494965011,0.0933521078682369,0.28,0.182543721909313,0.394764539808018,0.138556067588326,0.110063352826511,0.106359649122807,0.10952380952381,0.0958333333333333,0.234377982276755,0.198864468864469,0.181282051282051,0.0833333333333333,0.155128205128205,0.229689218921892,-0.55255945875618,0.601332188733215,0.601332188733215,0.570792096197252,-0.570888002215292,-0.652517701354814,-0.332130411255411,-0.613088570299678,0.451177771831237,0.397673180240574,0.427177771831237,0.155706925785835,0.147525107604017,0.147525107604017,0.147525107604017,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.384979773084163,-0.159543721909313,-0.352386894873083
"ZEB1",0.464130038421902,0.494577082603295,0.459931413311956,0.417799433616525,0.364176245210728,0.342753739282505,0.287732400449166,0.259098039215686,0.180890430812711,0.227333333333333,0.175830659106569,0.164292197568108,0.183333333333333,0.269592697965631,0.469253228879157,0.223106060606061,0.181124532643083,0.171124532643083,0.195833333333333,0.159649122807018,0.333149871524821,0.29906113271755,0.277573529411765,0.133333333333333,0.252083333333333,0.304249512670565,-0.552877562600551,0.604339433386087,0.604339433386087,0.525802858221622,-0.643198813120397,-0.646431676707724,-0.377599116633467,-0.623583576240892,0.496945160957892,0.450872070264829,0.475418742171199,0.13639596254691,0.130569190893366,0.130569190893366,0.130569190893366,0.420975163048334,0.449354912383965,0.419493801272854,0.384436701509872,0.38223889931207,0.338095238095238,0.335897435897436,0.48012547234277,-0.133333333333333,-0.158333333333333,0.266666666666667,0.400129855542485,-0.248596256684492,-0.325507632277458
"TGFR",0.578778716536928,0.597993920972644,0.55047619047619,0.593333333333333,0.526666666666667,0.472831108285654,0.459560087433195,0.426683375104428,0.242298180278491,0.384461152882206,0.235260990110031,0.222805474095797,0.347619047619048,0.292171488408338,0.505398708316858,0.234367816091954,0.28093343824678,0.266979949874687,0.203333333333333,0.251190476190476,0.350126731553222,0.363638468535516,0.331264367816092,0.208333333333333,0.293333333333333,0.237784275503574,-0.557068395626748,0.606210762693643,0.606210762693643,0.556371709671221,-0.56528315555993,-0.650619348956832,-0.398063999242952,-0.614498659479193,0.458339371000948,0.388070602556299,0.427072763383588,0.118890977443609,0.110119047619048,0.110119047619048,0.110119047619048,0.342264150943396,0.388316782522344,0.342264150943396,0.28,0.28,0.2,0.2,0.410591093852896,-0.233333333333333,-0.153333333333333,0.1,0.210291867054295,-0.265617816091954,-0.442770562770563
"Csl",0.45634121056654,0.476442006814369,0.441294614524119,0.396071684587814,0.331555555555555,0.360605425170643,0.397101449275362,0.366666666666667,0.206429274050757,0.329523809523809,0.112419778462944,0.0979753340184995,0.286666666666667,0.197925212696527,0.413248699222265,0.151206636500754,0.112403100775194,0.106976744186046,0.121794871794872,0.1,0.248513450692673,0.208778471104447,0.190596652922629,0.0888888888888889,0.166912442396313,0.256873225191582,-0.559934437543133,0.612955133851122,0.612955133851122,0.563502769121943,-0.56885986287777,-0.66409316115601,-0.329355416762908,-0.624348885464152,0.435280419257704,0.382427250169186,0.411438223717395,0.143679491900345,0.135958903665051,0.135958903665051,0.135958903665051,0.350169185653057,0.383193948908235,0.350949050949051,0.314685314685315,0.314685314685315,0.269230769230769,0.269230769230769,0.419695935932052,-0.0333333333333333,-0.0833333333333333,0.2,0.371374782255474,-0.173787281662044,-0.364924098654848
"SMAD",0.494096257264731,0.513099922063486,0.477243348358306,0.431991951710262,0.371428571428571,0.391412270077593,0.395628302680066,0.364859071910835,0.2239533137348,0.327649769585253,0.115172589967111,0.201839256633777,0.285714285714286,0.299767544308402,0.429660690895679,0.250833333333333,0.188978524743231,0.179645191409897,0.220833333333333,0.16984126984127,0.352833822091887,0.289770114942529,0.268341543513957,0.155555555555556,0.241904761904762,0.269136350192251,-0.574113651991337,0.624517034923902,0.624517034923902,0.573810269159106,-0.579910168123559,-0.673092748858075,-0.361815794898502,-0.634885646987311,0.448204137222313,0.394422483990829,0.424090662045008,0.0607556040259442,0.05318981455226,0.05318981455226,0.05318981455226,0.35989010989011,0.395189712248536,0.360644257703081,0.321428571428571,0.321428571428571,0.271428571428571,0.271428571428571,0.428696207957508,-0.1,-0.183333333333333,0.2,0.282648371041173,-0.275603975535168,-0.378423185464885
"SNAI1",0.469063502320125,0.490610429066584,0.459965267776261,0.424446142093201,0.378991596638655,0.271478889036973,0.408708707438483,0.385390321788258,0.115953157874844,0.354723655121592,0.116863594596007,0.106900494965011,0.319130434782609,0.203708770453003,0.422764539808018,0.159543721909313,0.119091130604288,0.110063352826511,0.138556067588326,0.106359649122807,0.257436805806167,0.21763997906855,0.198864468864469,0.0958333333333333,0.181282051282051,0.254972237789817,-0.589631109846523,0.635649531906646,0.635649531906646,0.600124982553269,-0.603530489261924,-0.68779345577729,-0.351998398054091,-0.648727379137334,0.470847363984051,0.426375191209496,0.451177771831237,0.161618255835096,0.155706925785835,0.155706925785835,0.155706925785835,0.397673180240574,0.427177771831237,0.398659253312719,0.364990253411306,0.365985985985986,0.328148148148148,0.328148148148148,0.464793733700695,-0.0833333333333333,-0.10952380952381,0.28,0.401427141505215,-0.182543721909313,-0.381257187760112
"GLI",0.498602833677331,0.616395639583094,0.577572110171329,0.530402298850575,0.468333333333333,0.406608535596181,0.488483054698524,0.456991341991342,0.1523940594399,0.42452380952381,0.156023085120006,0.143590652687573,0.382857142857143,0.324150046633338,0.427160279825815,0.273339598997494,0.149516089330469,0.138578589330469,0.247023809523809,0.132456140350877,0.276287515995172,0.23392004547177,0.210110521662246,0.116666666666667,0.185110521662246,0.241386430678466,-0.586816816816817,0.636199436763953,0.636199436763953,0.590170227304657,-0.591363051192571,-0.67563354674829,-0.417809954871959,-0.646980800417333,0.473629491494495,0.41538939803787,0.447628296037233,0.187649659006461,0.178738767917352,0.178738767917352,0.178738767917352,0.478368121442125,0.415810114219051,0.37874114870181,0.434838709677419,0.334838709677419,0.38,0.28,0.445668780193237,-0.0833333333333333,-0.20952380952381,0.2,0.348319870076476,-0.299870211242392,-0.403253803462344
