"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","ILK","SHH","AKT","IKK","NFB","SMO","TWIST1","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"ERK",0.366276606276606,0.393789958509646,0.363692871131005,0.320627177700348,0.266341463414634,0.209529108618162,0.269437746886575,0.187241379310345,0.174333577891905,0.227666911225238,0.174862080785903,0.177199365636178,0.16561399978252,0.244735695593417,0.210351238076548,0.185580595874714,0.156168831168831,0.208590163934426,0.432646720969089,0.184,0.298068572167092,0.110714285714286,0.275615927119253,0.247638087784073,0.21041181041181,0.123106453068119,-0.404802420117224,0.442727539258453,0.442727539258453,0.687770664876719,-0.54439906469764,0.157916528528436,0.129801864801865,0.129801864801865,0.129801864801865,-0.618538398669599,-0.213963712261585,-0.452366779497521,0.419919417628942,0.37849527357065,0.400184410655441,0.352867132867133,0.377308593661977,0.351288185498712,0.32,0.318421052631579,0.27,0.268421052631579,0.411535615110431,-0.0857142857142857,-0.14,0.2,0.0584143223225628,-0.227544412300439,-0.285205969207797
"STAT",0.218992408557626,0.211929630061851,0.194856459330144,0.165909090909091,0.140909090909091,0.207893738140417,0.148182485181735,0.2,0.191764705882353,0.18,0.0586666666666667,0.0649619634627131,0.0615136876006441,0.0628225972422309,0.0427602905569007,0.0342857142857143,0.02,0.045,0.0810016420361248,0.025,0.0675142417782127,0,0.0330241149201743,0.0204027556968733,-0.00392156862745098,-0.0069376026272578,-0.326728064963359,0.442935269858347,0.442935269858347,0.105039405039405,-0.0628629869659736,-0.0307617464785255,-0.044194582299421,-0.044194582299421,-0.044194582299421,-0.205650880995143,0.0427236315086783,-0.458532927961468,0.0325315917856516,0.0111440030557678,0.0224004833231963,-0.00146103896103896,0.0113594738594739,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,-0.0431294196000078,0,0,0,-0.0634173280695643,-0.0566279069767442,-0.171240347490347
"cMet",0.398237179487179,0.398412698412698,0.365079365079365,0.342857142857143,0.3,0.420454545454546,0.4052230602186,0.325,0.415,0.385,0.21781905744754,0.208730158730159,0.197619047619048,0.205397727272727,0.2725,0.26,0.266666666666667,0.15,0.37578665418422,0.15,0.225487990270599,0.2,0.280035194368901,0.24812030075188,0.242857142857143,0.00476190476190475,-0.320634920634921,0.458008658008658,0.458008658008658,0.48494428883882,-0.195082251082251,0.245318957771788,0.203809523809524,0.203809523809524,0.203809523809524,-0.329407718705165,-0.259293394777266,-0.467637104743083,0.164195151697407,0.086969696969697,0.131436531007752,0.0233333333333333,0.0861240310077519,0.0233333333333333,-0.05,0.05,-0.1,0,0.0419047619047619,-0.2,-0.1,0.1,-0.127792935355961,-0.177272727272727,-0.453333333333333
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.258333333333333,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.0333333333333333,0,0.0333333333333333,0.293,0,0.166493506493506,0,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.286666666666667,0.258333333333333,0.1,0.22,0.2,0.166666666666667,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.0333333333333333,0,0.0333333333333333,0.293,0,0.166493506493506,0,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.235897435897436
"SRC",0.401456582633053,0.392218614718615,0.361309523809524,0.3375,0.325,0.331546231546232,0.307687771464861,0.3,0.316161616161616,0.327272727272727,0.125134952766532,0.112072626938248,0.107568122433744,0.0942399115533444,0.168803418803419,0.157692307692308,0.15,0.0533333333333333,0.224118404118404,0.0333333333333333,0.109069614186437,0.15,0.168809523809524,0.143809523809524,0.12,0.000879120879120879,-0.354328165374677,0.481079664570231,0.481079664570231,0.200179843564903,-0.10621347852415,0.218127146112127,0.191973299958281,0.191973299958281,0.191973299958281,-0.268351504188017,-0.151900538485904,-0.493078612209047,0.0780735482598837,0.0333333333333333,0.0587991718426501,0,0.0333333333333333,0,-0.05,-0.05,-0.1,0,-0.027861385925902,-0.1,-0.0333333333333333,0,-0.0809761701789729,-0.0718518518518519,-0.405408927989573
"SMO",0.431379310344828,0.52490990990991,0.481666666666667,0.44,0.4,0.393240093240093,0.363364055299539,0.2,0.353846153846154,0.3,0.128937728937729,0.134285714285714,0.12,0.324166666666667,0.236857142857143,0.192857142857143,0.15,0.253333333333333,0.284024322830293,0.333333333333333,0.239312169312169,0.1,0.323787878787879,0.278787878787879,0.233333333333333,0.255263157894737,-0.413888888888889,0.482485875706215,0.482485875706215,0.458517788724685,-0.399283850088736,0.382479874776386,0.347596153846154,0.347596153846154,0.347596153846154,-0.446083963266817,-0.335225292506846,-0.492374924653406,0.302911242507563,0.344444444444444,0.275091693635383,0.3,0.241111111111111,0.196666666666667,0.25,0.15,0.2,0.1,0.366472607851918,0,-0.3,0.1,0.319191970819878,-0.290833333333333,-0.352857142857143
"TWIST1",0.536074318279068,0.523308062498497,0.485092959523669,0.440438871473354,0.381818181818182,0.477104295456357,0.47968413689195,0.28,0.431830663615561,0.371304347826087,0.243465573974049,0.237967084996788,0.21981526981527,0.458591118009162,0.460917613459986,0.416849816849817,0.369230769230769,0.391555555555556,0.46341046136375,0.355555555555556,0.410423425501433,0.3,0.419711336881148,0.379145299145299,0.335555555555555,0.315754268614681,-0.404315196998124,0.488073160880178,0.488073160880178,0.730977163959379,-0.658595032204739,0.452050268226609,0.42054341891154,0.42054341891154,0.42054341891154,-0.827309283413202,-0.402797009911764,-0.496082171680117,0.470488862349112,0.418854803675856,0.446553304236338,0.385254803675856,0.417916244511989,0.384582911178656,0.348412698412698,0.348412698412698,0.309523809523809,0.309523809523809,0.461239889143115,-0.2,-0.3,0.266666666666667,0.396894060148204,-0.428541856925419,-0.461840770536423
"NOTCH",0.376122448979592,0.396071684587814,0.331555555555555,0.255555555555556,0.2,0.350952380952381,0.299871794871795,0.2,0.286666666666667,0.22,0.171014492753623,0.0814285714285714,0.0714285714285714,0.151206636500754,0.133333333333333,0.0888888888888889,0.0333333333333333,0.0833333333333333,0.343877192982456,0.0333333333333333,0.196123136123136,0,0.186267281105991,0.231428571428571,0.16,0.167368421052632,-0.46207729468599,0.52133655394525,0.52133655394525,0.487894132011779,-0.483824412443246,0.303451910408432,0.252727272727273,0.252727272727273,0.252727272727273,-0.572694963214488,-0.277307558342041,-0.529264069264069,0.383193948908235,0.314685314685315,0.350949050949051,0.269230769230769,0.314685314685315,0.269230769230769,0.2,0.2,0.1,0.1,0.338490566037736,0,0,0,0.329512503157363,-0.121794871794872,-0.28762157382847
"FUS",0.471776661338205,0.566086380498145,0.52490990990991,0.481666666666667,0.44,0.431171127722852,0.392609338318407,0.3,0.393240093240093,0.353846153846154,0.144879757923236,0.145253456221198,0.134285714285714,0.349419191919192,0.271472527472527,0.236857142857143,0.192857142857143,0.290833333333333,0.319853199835641,0.253333333333333,0.265818193408555,0.15,0.362424242424242,0.323787878787879,0.278787878787879,0.274493927125506,-0.461429872495446,0.527271151779834,0.527271151779834,0.494129299516052,-0.437831336122255,0.412610879143199,0.382479874776386,0.382479874776386,0.382479874776386,-0.48901949138753,-0.359640008225909,-0.53692938009895,0.326280807724955,0.379059829059829,0.302911242507563,0.344444444444444,0.275091693635383,0.241111111111111,0.3,0.196666666666667,0.25,0.15,0.404360806609682,-0.1,-0.333333333333333,0.1,0.33714817519944,-0.324166666666667,-0.393063328424153
"TGF",0.530997442455243,0.547702398032384,0.590559540889527,0.524705882352941,0.46,0.474670008354219,0.442803560076287,0.333333333333333,0.423558897243108,0.376190476190476,0.231850419084462,0.225336289726534,0.211515151515151,0.265617816091954,0.341791979949875,0.315476190476191,0.258333333333333,0.203333333333333,0.460238095238095,0.153333333333333,0.319691948944526,0.233333333333333,0.38816091954023,0.343333333333333,0.273333333333333,0.17972972972973,-0.507068395626748,0.559795668354021,0.559795668354021,0.509528545324836,-0.513521916411825,0.397619047619048,0.34047619047619,0.34047619047619,0.34047619047619,-0.596857548865012,-0.375373528406796,-0.567284583232859,0.426123766389536,0.342264150943396,0.387959515181807,0.28,0.342264150943396,0.28,0.2,0.2,0.1,0.1,0.356084656084656,-0.2,-0.133333333333333,0,0.180323526772042,-0.234367816091954,-0.411688311688312
"cfos",0.404645893403537,0.425145442792502,0.378991596638655,0.314285714285714,0.242857142857143,0.389064112011791,0.319178037152721,0.32,0.336521739130435,0.28,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.159543721909313,0.157675438596491,0.120833333333333,0.0833333333333333,0.10952380952381,0.364296788482835,0.0761904761904762,0.208611111111111,0.0333333333333333,0.212051282051282,0.17051282051282,0.116666666666667,0.193055555555556,-0.509936507936508,0.560496175871478,0.560496175871478,0.536095005239259,-0.531877013204303,0.344785854721292,0.303322440087146,0.303322440087146,0.303322440087146,-0.611382005597785,-0.310213744588745,-0.571971819030643,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.365130149024012,-0.138556067588326,-0.31979020979021
"CDC42",0.404645893403537,0.425145442792502,0.378991596638655,0.314285714285714,0.342857142857143,0.389064112011791,0.319178037152721,0.22,0.336521739130435,0.28,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.159543721909313,0.157675438596491,0.120833333333333,0.0833333333333333,0.10952380952381,0.364296788482835,0.0761904761904762,0.208611111111111,0.0333333333333333,0.212051282051282,0.17051282051282,0.116666666666667,0.193055555555556,-0.509936507936508,0.560496175871478,0.560496175871478,0.536095005239259,-0.531877013204303,0.344785854721292,0.303322440087146,0.303322440087146,0.303322440087146,-0.611382005597785,-0.310213744588745,-0.571971819030643,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.365130149024012,-0.138556067588326,-0.31979020979021
"NOTCHic",0.422024088323854,0.441878136200717,0.396071684587814,0.331555555555555,0.255555555555556,0.408095238095238,0.332146927146927,0.22,0.350952380952381,0.286666666666667,0.184860646599777,0.0979753340184995,0.0814285714285714,0.173787281662044,0.172868217054264,0.133333333333333,0.0888888888888889,0.121794871794872,0.382338731443995,0.0833333333333333,0.221950950692673,0.0333333333333333,0.228372544263885,0.186267281105991,0.231428571428571,0.221913875598086,-0.515648723257419,0.570966183574879,0.570966183574879,0.529141616921236,-0.529869037189696,0.344338609915821,0.303451910408432,0.303451910408432,0.303451910408432,-0.622618158298973,-0.308712517019727,-0.581865225333433,0.411438223717395,0.350169185653057,0.383193948908235,0.314685314685315,0.350949050949051,0.314685314685315,0.269230769230769,0.269230769230769,0.2,0.2,0.38293501048218,0,-0.0333333333333333,0.1,0.35217916982403,-0.151206636500754,-0.331283545659456
"TCFLEF",0.615568522556903,0.604491928964553,0.57685373800978,0.546012616514452,0.506477732793522,0.527473491019649,0.436124976823301,0.431428571428571,0.500511033681765,0.472891986062718,0.201835125448029,0.18475509703808,0.175003663003663,0.282674701642444,0.311071947687656,0.290419773774612,0.271064935064935,0.24047619047619,0.427176118104538,0.216666666666667,0.283293860368487,0.235064935064935,0.395489237479828,0.370572293958234,0.345082097879802,0.199533075221698,-0.440433218742042,0.576925793017898,0.576925793017898,0.484416892505929,-0.43795343117352,0.409717358303373,0.385606686366614,0.385606686366614,0.385606686366614,-0.606819012503641,-0.359009916502336,-0.587983970514091,0.210342213837498,0.270105698162323,0.190531705654897,0.2411337355455,0.266163889562943,0.237457264957265,0.209509803921569,0.205833333333333,0.174509803921569,0.170833333333333,0.601278836060399,-0.171428571428571,-0.183333333333333,0.133333333333333,0.32220749581825,-0.261443932411674,-0.437425724388116
"PAK1",0.439837531034199,0.460682632875146,0.425145442792502,0.378991596638655,0.314285714285714,0.438397445345124,0.348056318775632,0.28,0.389064112011791,0.336521739130435,0.100476967398654,0.108190817545656,0.0933521078682369,0.182543721909313,0.187305068226121,0.157675438596491,0.120833333333333,0.138556067588326,0.396519010705057,0.10952380952381,0.234377982276755,0.0833333333333333,0.245018315018315,0.212051282051282,0.17051282051282,0.225728822882288,-0.55255945875618,0.601332188733215,0.601332188733215,0.571426522042166,-0.570959582011642,0.380240400175838,0.344785854721292,0.344785854721292,0.344785854721292,-0.652828459005295,-0.336759199134199,-0.613088570299678,0.451210921002508,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.384679021204463,-0.159543721909313,-0.354596839624464
"LIV1",0.439837531034199,0.460682632875146,0.425145442792502,0.378991596638655,0.314285714285714,0.438397445345124,0.348056318775632,0.28,0.389064112011791,0.336521739130435,0.100476967398654,0.108190817545656,0.0933521078682369,0.182543721909313,0.187305068226121,0.157675438596491,0.120833333333333,0.138556067588326,0.396519010705057,0.10952380952381,0.234377982276755,0.0833333333333333,0.245018315018315,0.212051282051282,0.17051282051282,0.225728822882288,-0.55255945875618,0.601332188733215,0.601332188733215,0.571426522042166,-0.570959582011642,0.380240400175838,0.344785854721292,0.344785854721292,0.344785854721292,-0.652828459005295,-0.336759199134199,-0.613088570299678,0.451210921002508,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.384679021204463,-0.159543721909313,-0.354596839624464
"EGR1",0.439837531034199,0.460682632875146,0.425145442792502,0.378991596638655,0.314285714285714,0.438397445345124,0.348056318775632,0.28,0.389064112011791,0.336521739130435,0.100476967398654,0.108190817545656,0.0933521078682369,0.182543721909313,0.187305068226121,0.157675438596491,0.120833333333333,0.138556067588326,0.396519010705057,0.10952380952381,0.234377982276755,0.0833333333333333,0.245018315018315,0.212051282051282,0.17051282051282,0.225728822882288,-0.55255945875618,0.601332188733215,0.601332188733215,0.571426522042166,-0.570959582011642,0.380240400175838,0.344785854721292,0.344785854721292,0.344785854721292,-0.652828459005295,-0.336759199134199,-0.613088570299678,0.451210921002508,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.384679021204463,-0.159543721909313,-0.354596839624464
"ZEB1",0.463690233291231,0.494331248222768,0.458885703668312,0.41632160110421,0.362698412698413,0.365026895714038,0.347173854119173,0.216666666666667,0.322549019607843,0.276666666666667,0.18460372960373,0.17856415442481,0.16606415442481,0.270739113827349,0.284706438226714,0.251849295369572,0.220701754385965,0.223106060606061,0.468743333960725,0.195833333333333,0.333681235467319,0.173333333333333,0.361548979095771,0.326838235294118,0.289583333333333,0.292621280664975,-0.552877562600551,0.605258973615972,0.605258973615972,0.525961298332211,-0.642503003409584,0.451618599691673,0.420181000955496,0.420181000955496,0.420181000955496,-0.646095524105788,-0.385639653794579,-0.624325691268721,0.496489218229838,0.450630335462127,0.474878216265202,0.420975163048334,0.44911052601153,0.419493801272854,0.384436701509872,0.38223889931207,0.338095238095238,0.335897435897436,0.479981250063862,-0.133333333333333,-0.158333333333333,0.266666666666667,0.398641164979866,-0.248596256684492,-0.333068736550361
"TGFR",0.577015141570287,0.596806340684713,0.547702398032384,0.590559540889527,0.524705882352941,0.518118284216288,0.480081666585163,0.376190476190476,0.474670008354219,0.423558897243108,0.247639892768672,0.238193432583676,0.225336289726534,0.294026907001045,0.374350119484758,0.341791979949875,0.315476190476191,0.234367816091954,0.503620448179272,0.203333333333333,0.351078810258395,0.258333333333333,0.432045811626561,0.38816091954023,0.343333333333333,0.22222972972973,-0.557068395626748,0.607720196655907,0.607720196655907,0.556601144856452,-0.564104666994575,0.442913165266106,0.397619047619048,0.397619047619048,0.397619047619048,-0.649950332370166,-0.410667646053855,-0.615671680007053,0.457373766389536,0.387718696397942,0.426123766389536,0.342264150943396,0.387959515181807,0.342264150943396,0.28,0.28,0.2,0.2,0.410395000912242,-0.233333333333333,-0.153333333333333,0.1,0.207577832749753,-0.265617816091954,-0.453116883116883
"Csl",0.45709655209197,0.477037953552315,0.441878136200717,0.396071684587814,0.331555555555555,0.457008281573499,0.361791195921631,0.286666666666667,0.408095238095238,0.350952380952381,0.206429274050757,0.114086445129611,0.0979753340184995,0.197925212696527,0.204651162790698,0.172868217054264,0.133333333333333,0.151206636500754,0.414596795960124,0.121794871794872,0.248513450692673,0.0888888888888889,0.262008907900249,0.228372544263885,0.186267281105991,0.251995176411094,-0.559934437543133,0.612955133851122,0.612955133851122,0.564171557040996,-0.568919573177445,0.378897433445233,0.344338609915821,0.344338609915821,0.344338609915821,-0.664357796360853,-0.33478026370603,-0.624348885464152,0.435307714272633,0.382427250169186,0.411438223717395,0.350169185653057,0.383193948908235,0.350949050949051,0.314685314685315,0.314685314685315,0.269230769230769,0.269230769230769,0.419695935932052,-0.0333333333333333,-0.0833333333333333,0.2,0.371009151542494,-0.173787281662044,-0.367689075613373
"SMAD",0.493764178106683,0.513228041420928,0.47585430404719,0.428961648679959,0.368398268398268,0.471104061972183,0.396874270968512,0.314285714285714,0.422065600433722,0.369124423963134,0.227977981050607,0.117685092685093,0.203399378399378,0.300639856274185,0.310371978769136,0.276143790849673,0.238888888888889,0.250833333333333,0.426454849036816,0.220833333333333,0.352658249618699,0.205555555555556,0.365195402298851,0.329195402298851,0.286666666666667,0.255368234250222,-0.575333164186459,0.627535543180235,0.627535543180235,0.573517687469633,-0.578493220696135,0.461832674895778,0.426733337147434,0.426733337147434,0.426733337147434,-0.67276014787069,-0.372122803535443,-0.637624006577144,0.447143197295622,0.393110830916656,0.422730531309922,0.359292649098474,0.393865962226475,0.36004243281471,0.321428571428571,0.321428571428571,0.271428571428571,0.271428571428571,0.427795983925076,-0.15,-0.183333333333333,0.2,0.279930355087974,-0.276759259259259,-0.390048469380947
"SNAI1",0.470261151059873,0.491576941818236,0.460682632875146,0.425145442792502,0.378991596638655,0.475168745793555,0.274390838348586,0.336521739130435,0.438397445345124,0.389064112011791,0.118334110255796,0.119411532712117,0.108190817545656,0.204485469482129,0.217166179337232,0.187305068226121,0.157675438596491,0.159543721909313,0.425194714563243,0.138556067588326,0.257907394041461,0.120833333333333,0.27603872318158,0.245018315018315,0.212051282051282,0.24740182668457,-0.589631109846523,0.636141536826696,0.636141536826696,0.601210888618985,-0.603669214721275,0.408647625134787,0.380240400175838,0.380240400175838,0.380240400175838,-0.688322447505034,-0.358871410355321,-0.649111625054721,0.47100393523278,0.426375191209496,0.451210921002508,0.397673180240574,0.427177771831237,0.398659253312719,0.364990253411306,0.365985985985986,0.328148148148148,0.328148148148148,0.464793733700695,-0.0833333333333333,-0.10952380952381,0.28,0.400641720052516,-0.182543721909313,-0.38639600280438
"GLI",0.499338512949039,0.617030595336353,0.577838196286472,0.530402298850575,0.468333333333333,0.556203750209275,0.409688494415674,0.402857142857143,0.509242424242424,0.461190476190476,0.15473324072645,0.158369988985897,0.144856475472383,0.324973091900828,0.239155739050006,0.206343239050006,0.175730994152047,0.273339598997494,0.428402518741502,0.247023809523809,0.276800336507992,0.138888888888889,0.291431097637994,0.254288240495137,0.214288240495137,0.233301153124162,-0.586816816816817,0.636728537293053,0.636728537293053,0.591123666285498,-0.591384827839697,0.472441926015313,0.434620143837095,0.434620143837095,0.434620143837095,-0.675987493901313,-0.425251671566259,-0.64740096848456,0.473736080468371,0.41538939803787,0.447628296037233,0.478368121442125,0.415810114219051,0.37874114870181,0.434838709677419,0.334838709677419,0.38,0.28,0.445668780193237,-0.0833333333333333,-0.20952380952381,0.2,0.347422393620632,-0.299870211242392,-0.408715571088957
