"","TGF","FOXC2","TGFR","SNAI2","CDC42","MEK","RAS","PAK1","TWIST1","SNAI1","RAF","PI3K","DELTA","ERK","cfos","NOTCH","Jagged","cateninnuc","NOTCHic","TCFLEF","AKT","SHH","EGR1","AXIN2","GLI","Csl","IKK","CD44","HEY1","SOSGRB2","Wnt","NFB","SMO","SMAD","cMet","ILK","FUS","Frizzled","SRC","Csn","Destcompl","DSH","STAT","ZEB2","ZEB1","LIV1","KLF4","miR200","TrCP","SUFU","Patched","GSK3","cateninmemb","RKIP","Ecadherin"
"STAT",0.207363978632635,0.215444693174146,0.192936117936118,0.0952507109810324,0.165909090909091,0.206982097186701,-0.0384860223569901,0.140909090909091,0.073124192390524,0.144228996809642,-0.0496829335539013,-0.0496829335539013,-0.0496829335539013,0.191764705882353,0.18,0.0283006535947712,0.0596692679301375,0.0185884411749712,0.0183006535947712,0.00965762356490833,0.0411822660098522,0.059028314028314,0.2,-0.0524472021912907,0.00021070375052676,-0.00392156862745098,0.0342857142857143,0.000386100386100387,0.0586666666666667,-0.00820802005012531,-0.00952380952380952,0.02,0.045,0.0649619634627131,-0.00952380952380952,0.0615136876006441,0.025,-0.0238095238095238,-0.0238095238095238,0,-0.0719542632009201,-0.0571428571428571,-0.0571428571428571,0.441957344053152,0.441957344053152,0,0,-0.45779388616738,0,0,-0.0545238095238095,0.0489125211705857,-0.0444435691231541,-0.169334319121553,-0.178753299550301
"ERK",0.391403614405264,0.364693352624387,0.363112297878653,0.683906732365379,0.320890075656431,0.209347583494146,0.154519192145534,0.267619047619048,0.429093020537406,0.267478677444275,0.127348955392434,0.127348955392434,0.127348955392434,0.174333577891905,0.227666911225238,0.273261779024491,0.29414815893761,0.413462901193271,0.246708106708107,0.394204180263038,0.209654669948788,0.242852376729322,0.187241379310345,0.407207218097057,0.372913949275362,0.21041181041181,0.185580595874714,0.371723560107999,0.175163637660932,0.122900093370682,0.348434782608696,0.156168831168831,0.208590163934426,0.177500355120237,0.346855835240275,0.165950203144554,0.184,0.318,0.316421052631579,0.110714285714286,0.0541343090618134,0.27,0.268421052631579,0.442296277793712,0.442296277793712,0.2,0.2,-0.452038372272562,-0.0857142857142857,-0.14,-0.226470958636413,-0.210872811828057,-0.538052390320682,-0.28438993091677,-0.611695449840062
"cMet",0.406264775413712,0.405332278481013,0.372222222222222,0.487442997788192,0.35,0.420454545454546,0.244761904761905,0.3,0.392850482850483,0.4052230602186,0.203809523809524,0.203809523809524,0.203809523809524,0.415,0.385,0.280035194368901,0.224795204795205,0.161647349066704,0.24812030075188,0.12968253968254,0.2725,0.205397727272727,0.325,0.0412903225806452,0.0861240310077519,0.242857142857143,0.26,0.0852380952380952,0.21781905744754,0.0109523809523809,0.0233333333333333,0.266666666666667,0.15,0.21034632034632,0.0233333333333333,0.197619047619048,0.15,-0.05,0.05,0.2,-0.129132440230075,-0.1,0,0.458008658008658,0.458008658008658,0.1,0.1,-0.467637104743083,-0.2,-0.1,-0.177272727272727,-0.25876887340302,-0.192656461841242,-0.453333333333333,-0.325184667934214
"Jagged",0.331555555555555,0.312857142857143,0.255555555555556,0.436,0.2,0.286666666666667,0.251428571428571,0.2,0.291666666666667,0.258333333333333,0.18,0.18,0.18,0.22,0.2,0.231428571428571,0.163636363636364,0.342719797596458,0.16,0.308602150537634,0.0888888888888889,0.121794871794872,0.1,0.278947368421053,0.266666666666667,0.1,0.0333333333333333,0.266666666666667,0.166666666666667,0.12,0.2,0,0.0333333333333333,0.0714285714285714,0.2,0.0666666666666667,0,0.1,0.1,0,0.296361502347418,0,0,0.46207729468599,0.46207729468599,0,0,-0.472121212121212,0,0,-0.0833333333333333,-0.234920634920635,-0.426806526806527,-0.235897435897436,-0.508448540706605
"DELTA",0.331555555555555,0.312857142857143,0.255555555555556,0.436,0.2,0.286666666666667,0.251428571428571,0.2,0.291666666666667,0.258333333333333,0.18,0.18,0.18,0.22,0.2,0.231428571428571,0.163636363636364,0.342719797596458,0.16,0.308602150537634,0.0888888888888889,0.121794871794872,0.1,0.278947368421053,0.266666666666667,0.1,0.0333333333333333,0.266666666666667,0.166666666666667,0.12,0.2,0,0.0333333333333333,0.0714285714285714,0.2,0.0666666666666667,0,0.1,0.1,0,0.296361502347418,0,0,0.46207729468599,0.46207729468599,0,0,-0.472121212121212,0,0,-0.0833333333333333,-0.234920634920635,-0.426806526806527,-0.235897435897436,-0.508448540706605
"NFB",0.574063714063714,0.543188163911055,0.529191919191919,0.696610671287427,0.469191919191919,0.306438842203548,0.413672451766826,0.405555555555556,0.566555360713145,0.323200816536229,0.379834067928442,0.379834067928442,0.379834067928442,0.252190476190476,0.178857142857143,0.402784143960615,0.310798379492194,0.461353295517018,0.362914862914863,0.435403416778134,0.358820248820249,0.280124598947139,0.142857142857143,0.441301031176506,0.406664982527051,0.307359307359307,0.321042471042471,0.406272981995525,0.198011573050273,0.336627598407784,0.374481074481074,0.264285714285714,0.228148148148148,0.199542600635528,0.374481074481074,0.18578795379538,0.18,0.331623931623932,0.331623931623932,0.314285714285714,0.156840612264902,0.277777777777778,0.277777777777778,0.474843833722237,0.474843833722237,0.2,0.2,-0.479293751915583,-0.3,-0.12,-0.2557343550447,-0.250744810744811,-0.608474692780581,-0.315783942833123,-0.727605805046183
"SRC",0.399272486772487,0.407775469738457,0.369642857142857,0.20267564869477,0.345833333333333,0.333142748237088,0.215982077360772,0.333333333333333,0.255839598997494,0.307103394601415,0.190400682011935,0.190400682011935,0.190400682011935,0.316161616161616,0.327272727272727,0.167445887445887,0.107180275454993,0.0724453620995961,0.143809523809524,0.0544125752143502,0.168803418803419,0.0942399115533444,0.3,-0.0312291453864487,0.02957181088314,0.12,0.157692307692308,0.02957181088314,0.126804038397881,0.00857142857142857,-0.00263157894736842,0.15,0.0533333333333333,0.113934329065908,-0.00263157894736842,0.109429824561404,0.0333333333333333,-0.05,-0.05,0.15,-0.0844273548835593,-0.1,0,0.481079664570231,0.481079664570231,0,0,-0.493078612209047,-0.1,-0.0333333333333333,-0.0718518518518519,-0.149575116241783,-0.0991942028985507,-0.405408927989573,-0.25765247213043
"SMO",0.52490990990991,0.431379310344828,0.481666666666667,0.456991144067606,0.44,0.393240093240093,0.381713800904977,0.4,0.284024322830293,0.363364055299539,0.347596153846154,0.347596153846154,0.347596153846154,0.353846153846154,0.3,0.323787878787879,0.238143338143338,0.298553665997829,0.278787878787879,0.272197076850542,0.236857142857143,0.324166666666667,0.2,0.365504670767829,0.342857142857143,0.233333333333333,0.192857142857143,0.23952380952381,0.128937728937729,0.255263157894737,0.3,0.15,0.253333333333333,0.134285714285714,0.196666666666667,0.12,0.333333333333333,0.25,0.15,0.1,0.317431457431457,0.2,0.1,0.482485875706215,0.482485875706215,0.1,0.1,-0.492374924653406,0,-0.3,-0.290833333333333,-0.334539969834088,-0.394777059902688,-0.352857142857143,-0.439801151229723
"TWIST1",0.523935454616862,0.536864045556844,0.485438871473354,0.730833775590433,0.440438871473354,0.477104295456357,0.45193278426317,0.381818181818182,0.465462356196301,0.47968413689195,0.42054341891154,0.42054341891154,0.42054341891154,0.431830663615561,0.371304347826087,0.419711336881148,0.410228291267965,0.468989661014263,0.379145299145299,0.445733847060774,0.460917613459986,0.458591118009162,0.28,0.461080635782128,0.41858813700919,0.335555555555555,0.416849816849817,0.417647427307688,0.243465573974049,0.315754268614681,0.385254803675856,0.369230769230769,0.391555555555556,0.237967084996788,0.384582911178656,0.21981526981527,0.355555555555556,0.348412698412698,0.348412698412698,0.3,0.396487979533331,0.309523809523809,0.309523809523809,0.488073160880178,0.488073160880178,0.266666666666667,0.266666666666667,-0.496082171680117,-0.2,-0.3,-0.428541856925419,-0.402694223848807,-0.656976580171252,-0.461840770536423,-0.824570584552437
"NOTCH",0.394888888888889,0.375357142857143,0.331555555555555,0.483486033519553,0.255555555555556,0.350952380952381,0.29991341991342,0.2,0.339035087719298,0.298015873015873,0.251428571428571,0.251428571428571,0.251428571428571,0.286666666666667,0.22,0.184761904761905,0.190559440559441,0.374024145422545,0.231428571428571,0.342719797596458,0.133333333333333,0.149067599067599,0.2,0.334947368421053,0.308602150537634,0.16,0.0888888888888889,0.308602150537634,0.171014492753623,0.167368421052632,0.266666666666667,0.0333333333333333,0.0833333333333333,0.0814285714285714,0.266666666666667,0.0714285714285714,0.0333333333333333,0.2,0.2,0,0.323455098406531,0.1,0.1,0.52133655394525,0.52133655394525,0,0,-0.529264069264069,0,0,-0.121794871794872,-0.2737441643324,-0.477368324559336,-0.28762157382847,-0.566709410271823
"FUS",0.565770124963673,0.471776661338205,0.52490990990991,0.491670043150175,0.481666666666667,0.431171127722852,0.410917340727986,0.44,0.319474058280028,0.391935483870968,0.381713800904977,0.381713800904977,0.381713800904977,0.393240093240093,0.353846153846154,0.361718913270637,0.263753094240899,0.320791428235591,0.323787878787879,0.298553665997829,0.271472527472527,0.348656462585034,0.3,0.402213531527322,0.376190476190476,0.278787878787879,0.236857142857143,0.272197076850542,0.144879757923236,0.274493927125506,0.342857142857143,0.192857142857143,0.290833333333333,0.145253456221198,0.23952380952381,0.134285714285714,0.253333333333333,0.3,0.196666666666667,0.15,0.334395743145743,0.25,0.15,0.527271151779834,0.527271151779834,0.1,0.1,-0.53692938009895,-0.1,-0.333333333333333,-0.324166666666667,-0.358188618482736,-0.431842696968325,-0.393063328424153,-0.481383885042672
"cfos",0.420408163265306,0.400613473112017,0.377551020408163,0.529201107737292,0.314285714285714,0.388245877061469,0.338374446552815,0.242857142857143,0.356113064920365,0.314748691929602,0.299019607843137,0.299019607843137,0.299019607843137,0.336521739130435,0.28,0.207376344086022,0.200214246782106,0.416333540937368,0.168666666666667,0.388622697563874,0.155968468468468,0.155177817962628,0.32,0.388613878333505,0.356063492063492,0.116666666666667,0.120833333333333,0.357071895424837,0.0813593203398301,0.191785714285714,0.321777777777778,0.0833333333333333,0.10952380952381,0.0933521078682369,0.321777777777778,0.0788359788359788,0.0761904761904762,0.277777777777778,0.277777777777778,0.0333333333333333,0.35633126569807,0.2,0.2,0.559590272890765,0.559590272890765,0.1,0.1,-0.571313895817207,0,-0.0333333333333333,-0.136190476190476,-0.304018581127512,-0.522687665614846,-0.317836186801704,-0.601427491910501
"CDC42",0.420408163265306,0.400613473112017,0.377551020408163,0.529201107737292,0.314285714285714,0.388245877061469,0.338374446552815,0.342857142857143,0.356113064920365,0.314748691929602,0.299019607843137,0.299019607843137,0.299019607843137,0.336521739130435,0.28,0.207376344086022,0.200214246782106,0.416333540937368,0.168666666666667,0.388622697563874,0.155968468468468,0.155177817962628,0.22,0.388613878333505,0.356063492063492,0.116666666666667,0.120833333333333,0.357071895424837,0.0813593203398301,0.191785714285714,0.321777777777778,0.0833333333333333,0.10952380952381,0.0933521078682369,0.321777777777778,0.0788359788359788,0.0761904761904762,0.277777777777778,0.277777777777778,0.0333333333333333,0.35633126569807,0.2,0.2,0.559590272890765,0.559590272890765,0.1,0.1,-0.571313895817207,0,-0.0333333333333333,-0.136190476190476,-0.304018581127512,-0.522687665614846,-0.317836186801704,-0.601427491910501
"TGF",0.54969696969697,0.534148351648352,0.593333333333333,0.508246700998869,0.526666666666667,0.474670008354219,0.394986449864499,0.46,0.462912087912088,0.44180349062702,0.339430894308943,0.339430894308943,0.339430894308943,0.423558897243108,0.376190476190476,0.38719298245614,0.31632410359058,0.420955264642147,0.343333333333333,0.383391812865497,0.341791979949875,0.264526546250684,0.333333333333333,0.354016354016354,0.338947368421053,0.273333333333333,0.315476190476191,0.338947368421053,0.231850419084462,0.181578947368421,0.278947368421053,0.258333333333333,0.203333333333333,0.22603128054741,0.278947368421053,0.211515151515151,0.153333333333333,0.2,0.2,0.233333333333333,0.175879707458655,0.1,0.1,0.559795668354021,0.559795668354021,0,0,-0.567284583232859,-0.2,-0.133333333333333,-0.234367816091954,-0.372848200312989,-0.509837496968227,-0.411688311688312,-0.592969112138262
"NOTCHic",0.437935246504783,0.418690476190476,0.394888888888889,0.523316541994129,0.331555555555555,0.407474120082816,0.339088677645379,0.255555555555556,0.375458928778901,0.328450655624569,0.29991341991342,0.29991341991342,0.29991341991342,0.350952380952381,0.286666666666667,0.224487932159165,0.214697371593923,0.401593476580783,0.184761904761905,0.374024145422545,0.171428571428571,0.16994671994672,0.22,0.377169590643275,0.341935483870968,0.231428571428571,0.133333333333333,0.342719797596458,0.184860646599777,0.220856793145655,0.308602150537634,0.0888888888888889,0.121794871794872,0.0979753340184995,0.308602150537634,0.0814285714285714,0.0833333333333333,0.266666666666667,0.266666666666667,0.0333333333333333,0.344933971645968,0.2,0.2,0.570208734396377,0.570208734396377,0.1,0.1,-0.5813108528898,0,-0.0333333333333333,-0.149067599067599,-0.303614294202529,-0.522150933254988,-0.329650559335717,-0.614882167746906
"TCFLEF",0.604840619822401,0.616530399315019,0.577415870658521,0.482796753733625,0.547227191413238,0.527473491019649,0.407621441493918,0.507692307692308,0.429853660143749,0.435111987630214,0.384052866260896,0.384052866260896,0.384052866260896,0.500511033681765,0.472891986062718,0.39399564695283,0.281028346862518,0.204880104278451,0.369834573127327,0.186105137567399,0.310638353009585,0.281789048049211,0.431428571428571,0.598272997187702,0.266531888117566,0.345082097879802,0.290419773774612,0.262575725802694,0.202196974022267,0.200123571207909,0.238277919863598,0.271064935064935,0.24047619047619,0.185159955337675,0.234601449275362,0.175408521303258,0.216666666666667,0.207843137254902,0.204166666666667,0.235064935064935,0.319354134819816,0.174509803921569,0.170833333333333,0.576663340844848,0.576663340844848,0.133333333333333,0.133333333333333,-0.587785020527907,-0.171428571428571,-0.183333333333333,-0.260801393728223,-0.357182030373796,-0.431276418797563,-0.436940954599662,-0.597992187201522
"PAK1",0.453549373639946,0.433465458671584,0.420408163265306,0.563311894909304,0.377551020408163,0.435468099283692,0.372355029077087,0.314285714285714,0.387147547678986,0.342111876009204,0.338374446552815,0.338374446552815,0.338374446552815,0.388245877061469,0.336521739130435,0.238012182236311,0.224973089225835,0.439387433152937,0.207376344086022,0.416333540937368,0.183587516087516,0.176827302498711,0.28,0.424668300102212,0.387642439431913,0.168666666666667,0.155968468468468,0.388622697563874,0.100476967398654,0.221682621502209,0.356063492063492,0.120833333333333,0.136190476190476,0.107825792078763,0.357071895424837,0.0933521078682369,0.10952380952381,0.321777777777778,0.321777777777778,0.0833333333333333,0.374939679937552,0.277777777777778,0.277777777777778,0.599063957101292,0.599063957101292,0.2,0.2,-0.611054155557467,-0.0333333333333333,-0.0761904761904762,-0.155177817962628,-0.32935707242345,-0.560350003277184,-0.350790732256249,-0.640531516208147
"LIV1",0.453549373639946,0.433465458671584,0.420408163265306,0.563311894909304,0.377551020408163,0.435468099283692,0.372355029077087,0.314285714285714,0.387147547678986,0.342111876009204,0.338374446552815,0.338374446552815,0.338374446552815,0.388245877061469,0.336521739130435,0.238012182236311,0.224973089225835,0.439387433152937,0.207376344086022,0.416333540937368,0.183587516087516,0.176827302498711,0.28,0.424668300102212,0.387642439431913,0.168666666666667,0.155968468468468,0.388622697563874,0.100476967398654,0.221682621502209,0.356063492063492,0.120833333333333,0.136190476190476,0.107825792078763,0.357071895424837,0.0933521078682369,0.10952380952381,0.321777777777778,0.321777777777778,0.0833333333333333,0.374939679937552,0.277777777777778,0.277777777777778,0.599063957101292,0.599063957101292,0.2,0.2,-0.611054155557467,-0.0333333333333333,-0.0761904761904762,-0.155177817962628,-0.32935707242345,-0.560350003277184,-0.350790732256249,-0.640531516208147
"EGR1",0.453549373639946,0.433465458671584,0.420408163265306,0.563311894909304,0.377551020408163,0.435468099283692,0.372355029077087,0.314285714285714,0.387147547678986,0.342111876009204,0.338374446552815,0.338374446552815,0.338374446552815,0.388245877061469,0.336521739130435,0.238012182236311,0.224973089225835,0.439387433152937,0.207376344086022,0.416333540937368,0.183587516087516,0.176827302498711,0.28,0.424668300102212,0.387642439431913,0.168666666666667,0.155968468468468,0.388622697563874,0.100476967398654,0.221682621502209,0.356063492063492,0.120833333333333,0.136190476190476,0.107825792078763,0.357071895424837,0.0933521078682369,0.10952380952381,0.321777777777778,0.321777777777778,0.0833333333333333,0.374939679937552,0.277777777777778,0.277777777777778,0.599063957101292,0.599063957101292,0.2,0.2,-0.611054155557467,-0.0333333333333333,-0.0761904761904762,-0.155177817962628,-0.32935707242345,-0.560350003277184,-0.350790732256249,-0.640531516208147
"ZEB1",0.490199413179222,0.460810238155776,0.456729187306532,0.51965459591,0.416415051180877,0.363081232492997,0.445050336003197,0.364176245210728,0.464102976146917,0.342851373089894,0.4148024021189,0.4148024021189,0.4148024021189,0.321904761904762,0.276666666666667,0.356284199053943,0.326699874477545,0.485939145819776,0.323525578364288,0.465229703983574,0.282088615699834,0.266582611893849,0.216666666666667,0.472434147773131,0.442235070771153,0.288172043010753,0.250701754385965,0.440336389616575,0.185035508532918,0.290495185103765,0.41350779804388,0.220701754385965,0.221414728682171,0.178747206524977,0.41165991902834,0.166552084573757,0.195833333333333,0.379487179487179,0.376923076923077,0.173333333333333,0.390590536813122,0.335897435897436,0.333333333333333,0.60356264692983,0.60356264692983,0.266666666666667,0.266666666666667,-0.622801830325117,-0.133333333333333,-0.158333333333333,-0.245414728682171,-0.379589494474771,-0.631723472186362,-0.330459917994315,-0.635327543869163
"TGFR",0.597142225171422,0.578791208791209,0.54969696969697,0.55460592429984,0.593333333333333,0.518118284216288,0.439228874106923,0.526666666666667,0.504609504886258,0.477948068940273,0.394986449864499,0.394986449864499,0.394986449864499,0.474670008354219,0.423558897243108,0.429415204678363,0.346921118515953,0.451529112243276,0.38719298245614,0.420955264642147,0.373556685832228,0.292112753147236,0.376190476190476,0.406957530486942,0.383165055495883,0.343333333333333,0.341791979949875,0.383391812865497,0.248268329532223,0.224078947368421,0.338947368421053,0.315476190476191,0.234367816091954,0.239198540333886,0.338947368421053,0.22603128054741,0.203333333333333,0.278947368421053,0.278947368421053,0.258333333333333,0.202306768769437,0.2,0.2,0.607324185464287,0.607324185464287,0.1,0.1,-0.615367179103066,-0.233333333333333,-0.153333333333333,-0.264526546250684,-0.407025415502862,-0.559529235562555,-0.452268021833239,-0.64480734743238
"Csl",0.47111060195502,0.451824804548685,0.437935246504783,0.557335529335901,0.394888888888889,0.454665131318771,0.372422010978712,0.331555555555555,0.406901009157151,0.356876013497779,0.339088677645379,0.339088677645379,0.339088677645379,0.407474120082816,0.350952380952381,0.256241486661535,0.240442629046498,0.42455734675837,0.224487932159165,0.401593476580783,0.201587301587302,0.192955569504242,0.286666666666667,0.412512056396699,0.373265955973972,0.184761904761905,0.171428571428571,0.374024145422545,0.206429274050757,0.24858788558263,0.341935483870968,0.133333333333333,0.149067599067599,0.113794543058048,0.342719797596458,0.0979753340184995,0.121794871794872,0.308602150537634,0.308602150537634,0.0888888888888889,0.362968877916168,0.266666666666667,0.266666666666667,0.611053804818913,0.611053804818913,0.2,0.2,-0.622644186223133,-0.0333333333333333,-0.0833333333333333,-0.16994671994672,-0.328691693583334,-0.559928711032766,-0.364556219713075,-0.654516698307712
"SMAD",0.511589415861846,0.494101342302781,0.475357531803875,0.570262355537067,0.430848861283644,0.469590352908969,0.456933075326858,0.371428571428571,0.427362744833843,0.393360324941167,0.422563472563472,0.422563472563472,0.422563472563472,0.422065600433722,0.369124423963134,0.360609675969153,0.346992543646169,0.439338422744216,0.32563025210084,0.41570402577288,0.308222222222222,0.297466022748084,0.314285714285714,0.42248990310604,0.386612072897274,0.28515406162465,0.274888888888889,0.387380326350915,0.229016604874041,0.254850746268657,0.353024286637732,0.238888888888889,0.249038461538461,0.118588644496923,0.353789592760181,0.204578982661174,0.220833333333333,0.316289592760181,0.316289592760181,0.205555555555556,0.273607618710636,0.269230769230769,0.269230769230769,0.626054371450734,0.626054371450734,0.2,0.2,-0.636277572783407,-0.15,-0.183333333333333,-0.274272106398275,-0.367336242521649,-0.572370637115315,-0.387619722897501,-0.666135949111527
"SNAI1",0.483123841725052,0.462532125338251,0.453549373639946,0.592074074627817,0.420408163265306,0.470047538536028,0.399531810079725,0.377551020408163,0.414876805320907,0.267462671144845,0.372355029077087,0.372355029077087,0.372355029077087,0.435468099283692,0.388245877061469,0.26762591614189,0.247666356058753,0.458061962779446,0.238012182236311,0.439387433152937,0.211902928273896,0.197879934077658,0.336521739130435,0.455476380910293,0.415563231511121,0.207376344086022,0.183587516087516,0.416333540937368,0.117802195362179,0.240730240549828,0.387642439431913,0.155968468468468,0.155177817962628,0.118431852684824,0.388622697563874,0.107825792078763,0.136190476190476,0.356063492063492,0.357071895424837,0.120833333333333,0.390103735509529,0.321777777777778,0.321777777777778,0.632482000303325,0.632482000303325,0.277777777777778,0.277777777777778,-0.645707620904001,-0.0833333333333333,-0.10952380952381,-0.176827302498711,-0.350543513101416,-0.591371488388379,-0.381225514864945,-0.674207608753134
"GLI",0.611584081908626,0.494696574436749,0.574145658263305,0.584971985405867,0.529047619047619,0.553701754385965,0.465178201120556,0.468333333333333,0.421770725834193,0.404855601948504,0.428623579271817,0.428623579271817,0.428623579271817,0.508558897243108,0.461190476190476,0.285549823311017,0.269101950680898,0.463708459073896,0.25022644022644,0.438595482960274,0.236097660818713,0.320398766759526,0.402857142857143,0.438980337709537,0.407347126968277,0.212564102564103,0.204897660818713,0.407718289977818,0.15473324072645,0.229629471588081,0.471274067607546,0.175730994152047,0.271348133848134,0.158043288659196,0.371607178866707,0.144856475472383,0.247023809523809,0.429501915708812,0.329501915708812,0.138888888888889,0.338155361063051,0.377777777777778,0.277777777777778,0.634936566038552,0.634936566038552,0.2,0.2,-0.645792694154592,-0.0833333333333333,-0.20952380952381,-0.296348133848134,-0.418688578755116,-0.582591811556391,-0.40564688347297,-0.665867127669628
