"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","EGR1","cfos","HEY1","SMAD","ILK","AKT","IKK","SHH","TWIST1","NFB","SMO","FUS","Csn","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","ZEB2","ZEB1","KLF4","cateninmemb","SNAI2","RAS","RAF","PI3K","DELTA","Ecadherin","miR200","GSK3","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","DSH","SRC","Destcompl","STAT","AXIN2","TrCP","SUFU","LIV1","Patched","RKIP"
"TWIST1",0.557613551115052,0.536483958269364,0.493887147335423,0.443887147335423,0.381818181818182,0.49132267723169,0.529519210073181,0.437093821510297,0.28,0.371304347826087,0.243465573974049,0.238627151003389,0.21981526981527,0.47245917923884,0.421611721611722,0.450925283607381,0.464693981330137,0.369230769230769,0.391555555555556,0.355555555555556,0.3,0.389570933132064,0.418767940654733,0.379145299145299,0.335555555555555,0.315754268614681,0.517110092548689,0.517110092548689,-0.419449656035022,-0.636486887137973,0.705092768239089,0.482565184396737,0.445921348780299,0.445921348780299,0.445921348780299,-0.823729006754657,-0.523145372602453,-0.514304060024407,0.420494306674706,0.389972932330827,0.406175732781665,0.369172932330827,0.388870985461603,0.36838905775076,0.342857142857143,0.309523809523809,0.342857142857143,0.533941209749761,0.309523809523809,0.439196233873653,-0.2,-0.3,0.266666666666667,-0.425802130898021,-0.496573161790553
"ERK",0.470544443647892,0.475629022613469,0.444035616020062,0.403889630618603,0.358095238095238,0.300867123630148,0.486770040579207,0.267719491318171,0.294137931034483,0.326052824651504,0.182312862364473,0.183777084353569,0.174050640584572,0.232862060587371,0.208091418385536,0.215486441285947,0.41620368716885,0.178679653679654,0.180590163934426,0.156,0.139285714285714,0.24829978514552,0.254804969065842,0.227935162971659,0.193628593628594,0.0868035136384651,0.520930433910969,0.520930433910969,-0.481179584709664,-0.474001333730822,0.592885732718266,0.338854737122064,0.308821733821734,0.308821733821734,0.308821733821734,-0.60094567789022,-0.53144549474822,-0.502013949555836,0.247865258579969,0.21984629405682,0.23460136969108,0.199044289044289,0.218058618761712,0.196939025886394,0.168974358974359,0.126666666666667,0.166869095816464,0.508524197914712,0.124561403508772,0.214931099670217,-0.114285714285714,-0.12,0.0666666666666667,-0.199544412300439,-0.501611219183466
"NOTCH",0.376122448979592,0.396071684587814,0.331555555555555,0.255555555555556,0.2,0.350952380952381,0.309102564102564,0.286666666666667,0.2,0.22,0.171014492753623,0.0814285714285714,0.0714285714285714,0.133333333333333,0.0888888888888889,0.151206636500754,0.342152542372881,0.0333333333333333,0.0833333333333333,0.0333333333333333,0,0.196123136123136,0.186267281105991,0.231428571428571,0.16,0.167368421052632,0.52133655394525,0.52133655394525,-0.46207729468599,-0.480683051186701,0.484719528837176,0.312147562582345,0.252727272727273,0.252727272727273,0.252727272727273,-0.572694963214488,-0.529264069264069,-0.320724486241728,0.368437277008706,0.314685314685315,0.344355644355644,0.269230769230769,0.314685314685315,0.269230769230769,0.2,0.1,0.2,0.405773175044203,0.1,0.338490566037736,0,0,0,-0.121794871794872,-0.28762157382847
"PI3K",0.451653890824623,0.427745098039216,0.394411764705882,0.354411764705882,0.325,0.306695137071222,0.38884460547504,0.272268907563025,0.2,0.242857142857143,0.0941041939932062,0.0982197679071629,0.0894197679071629,0.330920060331825,0.307843137254902,0.0653846153846154,0.241550419169806,0.266666666666667,0.0333333333333333,0,0.233333333333333,0.0610526315789474,0.189267990074442,0.163461538461538,0.125,0.0973076923076923,0.528694921855981,0.528694921855981,-0.487061403508772,-0.221819512945377,0.176535382387255,0.366581509814387,0.340554112554113,0.340554112554113,0.340554112554113,-0.434794613577691,-0.538844470401847,-0.504353054353054,0.0241448235142634,-0.0131549609810479,0.00661905031838709,-0.036231884057971,-0.0131549609810479,-0.036231884057971,-0.0666666666666667,-0.1,-0.0666666666666667,0.394572443077824,-0.1,-0.0669523809523809,-0.2,0,-0.1,-0.0487179487179487,-0.382627666451196
"ILK",0.451653890824623,0.427745098039216,0.394411764705882,0.354411764705882,0.325,0.306695137071222,0.38884460547504,0.272268907563025,0.2,0.242857142857143,0.0941041939932062,0.0982197679071629,0.0894197679071629,0.330920060331825,0.307843137254902,0.0653846153846154,0.241550419169806,0.266666666666667,0.0333333333333333,0,0.233333333333333,0.0610526315789474,0.189267990074442,0.163461538461538,0.125,0.0973076923076923,0.528694921855981,0.528694921855981,-0.487061403508772,-0.221819512945377,0.176535382387255,0.366581509814387,0.340554112554113,0.340554112554113,0.340554112554113,-0.434794613577691,-0.538844470401847,-0.504353054353054,0.0241448235142634,-0.0131549609810479,0.00661905031838709,-0.036231884057971,-0.0131549609810479,-0.036231884057971,-0.0666666666666667,-0.1,-0.0666666666666667,0.394572443077824,-0.1,-0.0669523809523809,-0.2,0,-0.1,-0.0487179487179487,-0.382627666451196
"DSH",0.432229508557538,0.405560773620159,0.384306418219462,0.354782608695652,0.32,0.295638442511508,0.365441683919945,0.275337690631808,0.22,0.249411764705882,0.0926717776437821,0.0939331440431694,0.0860086157412826,0.224525862068965,0.209583333333333,0.0636641213526232,0.224756242922701,0.190833333333333,0.0415584415584416,0.0272727272727273,0.153333333333333,0.0588124576821567,0.185271591153944,0.169187675070028,0.147619047619048,0.0679970436067997,0.535271829355351,0.535271829355351,-0.505090968426205,-0.207594413881022,0.113317815207628,0.329792527341344,0.311585244428178,0.311585244428178,0.311585244428178,-0.4189743392566,-0.548248260039419,-0.501381104427748,0.010533711632788,-0.0157943879306108,-0.00130956530398845,-0.0308270676691729,-0.0155952795897027,-0.0308270676691729,-0.0486842105263158,-0.075,-0.0486842105263158,0.379806372995422,-0.075,-0.0691820768771019,-0.133333333333333,0,-0.1,-0.0544616673648932,-0.383076923076923
"Csn",0.456570672386047,0.444399960575645,0.414567025014786,0.373541383989145,0.327272727272727,0.321636904761905,0.384032974277229,0.291428571428571,0.22,0.256363636363636,0.0882862679955703,0.0932943404812467,0.0832686335403727,0.233266666666667,0.211666666666667,0.100225492822003,0.268776686925355,0.186666666666667,0.0688311688311688,0.0476190476190476,0.145,0.114949193033575,0.228223165723166,0.204184704184704,0.171717171717172,0.108875821515047,0.543330024813896,0.543330024813896,-0.505536163183222,-0.321118087950741,0.248856466456101,0.39294014392686,0.365492927036265,0.365492927036265,0.365492927036265,-0.487117708943563,-0.555860495282727,-0.558378252815466,0.10925896481149,0.0763957803809728,0.0947670826707799,0.0558717629137239,0.0767606518026127,0.0558717629137239,0.0281609195402299,-0.0166666666666667,0.0281609195402299,0.45443743483272,-0.0166666666666667,0.0377471868114573,-0.22,-0.0142857142857143,-0.0666666666666667,-0.0871107387236419,-0.394300241390233
"FUS",0.493012704174229,0.578499137435308,0.535945945945946,0.49,0.44,0.450188891568202,0.435925861519288,0.405361305361305,0.3,0.353846153846154,0.144879757923236,0.146543778801843,0.134285714285714,0.283318681318681,0.244857142857143,0.339823232323232,0.31888980141213,0.192857142857143,0.290833333333333,0.253333333333333,0.15,0.245243832472748,0.360151515151515,0.323787878787879,0.278787878787879,0.274493927125506,0.554362933693806,0.554362933693806,-0.47959927140255,-0.415157211723426,0.464547970350979,0.442390107100171,0.408765652951699,0.408765652951699,0.408765652951699,-0.485048043930366,-0.563109710609397,-0.474981638594978,0.275496373373281,0.345833333333333,0.259735503808064,0.320833333333333,0.240938511326861,0.216666666666667,0.2875,0.25,0.183333333333333,0.485858900902187,0.15,0.374987181733808,-0.1,-0.333333333333333,0.1,-0.318611111111111,-0.424645720831288
"NFB",0.614394485549864,0.609270630354175,0.56370101010101,0.51010101010101,0.455555555555556,0.358771241830065,0.453297508530176,0.308444444444444,0.2,0.244,0.207465354562878,0.20900950225134,0.195998349834983,0.381986271986272,0.344208494208494,0.25362815245657,0.554290382819795,0.292857142857143,0.200740740740741,0.16,0.342857142857143,0.265494247526065,0.385106363170879,0.347041847041847,0.297835497835498,0.310559486952676,0.557405179615706,0.557405179615706,-0.493223443223443,-0.556339755322931,0.620137484923063,0.475908626902043,0.436107631877167,0.436107631877167,0.436107631877167,-0.71558768507091,-0.565724014590427,-0.605397543632838,0.355046776796086,0.317137232305772,0.337399717972556,0.29017094017094,0.316724612487324,0.29017094017094,0.251709401709402,0.205555555555556,0.251709401709402,0.529809400327196,0.205555555555556,0.342624113475177,-0.3,-0.12,0.15,-0.228326947637292,-0.432310494605577
"cfos",0.407586254013801,0.427476445123504,0.378991596638655,0.314285714285714,0.242857142857143,0.389064112011791,0.335311523919119,0.336521739130435,0.32,0.28,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.157675438596491,0.120833333333333,0.159543721909313,0.362155844155844,0.0833333333333333,0.10952380952381,0.0761904761904762,0.0333333333333333,0.205486111111111,0.212051282051282,0.17051282051282,0.116666666666667,0.193055555555556,0.563886006379953,0.563886006379953,-0.509936507936508,-0.525971459425388,0.528914589060574,0.358290823104309,0.310729847494553,0.310729847494553,0.310729847494553,-0.610478184780921,-0.57458619811561,-0.370270562770563,0.406323154838006,0.359727095516569,0.386323154838006,0.328148148148148,0.360580580580581,0.328148148148148,0.28,0.2,0.28,0.458075600481148,0.2,0.391674876847291,0,-0.0333333333333333,0.1,-0.138556067588326,-0.326456876456876
"CDC42",0.407586254013801,0.427476445123504,0.378991596638655,0.314285714285714,0.342857142857143,0.389064112011791,0.335311523919119,0.336521739130435,0.22,0.28,0.0813593203398301,0.0933521078682369,0.0788359788359788,0.157675438596491,0.120833333333333,0.159543721909313,0.362155844155844,0.0833333333333333,0.10952380952381,0.0761904761904762,0.0333333333333333,0.205486111111111,0.212051282051282,0.17051282051282,0.116666666666667,0.193055555555556,0.563886006379953,0.563886006379953,-0.509936507936508,-0.525971459425388,0.528914589060574,0.358290823104309,0.310729847494553,0.310729847494553,0.310729847494553,-0.610478184780921,-0.57458619811561,-0.370270562770563,0.406323154838006,0.359727095516569,0.386323154838006,0.328148148148148,0.360580580580581,0.328148148148148,0.28,0.2,0.28,0.458075600481148,0.2,0.391674876847291,0,-0.0333333333333333,0.1,-0.138556067588326,-0.326456876456876
"AKT",0.477969680298307,0.453424856347373,0.427745098039216,0.394411764705882,0.354411764705882,0.330745769982614,0.410649116753236,0.306695137071222,0.242857142857143,0.272268907563025,0.103878630083432,0.106637276324671,0.0982197679071629,0.250111979523744,0.330920060331825,0.0790688259109312,0.26448619898632,0.307843137254902,0.0487179487179487,0.0333333333333333,0.266666666666667,0.0762844196584176,0.209999697391515,0.189267990074442,0.163461538461538,0.121752136752137,0.564311360212146,0.564311360212146,-0.528941745389114,-0.248425017532533,0.198746437663637,0.389473076079447,0.366581509814387,0.366581509814387,0.366581509814387,-0.464946128729207,-0.575208106765484,-0.529756280159506,0.0379909773604172,0.00639811164465038,0.0241448235142634,-0.0131549609810479,0.00661905031838709,-0.0131549609810479,-0.036231884057971,-0.0666666666666667,-0.036231884057971,0.417318514210992,-0.0666666666666667,-0.0456527419632113,-0.233333333333333,0,-0.1,-0.0653846153846154,-0.409335740985357
"NOTCHic",0.426122448979592,0.445116270575075,0.396071684587814,0.331555555555555,0.255555555555556,0.408095238095238,0.351959706959707,0.350952380952381,0.22,0.286666666666667,0.184860646599777,0.0979753340184995,0.0814285714285714,0.172868217054264,0.133333333333333,0.173787281662044,0.380517322247095,0.0888888888888889,0.121794871794872,0.0833333333333333,0.0333333333333333,0.217977440758898,0.228372544263885,0.186267281105991,0.231428571428571,0.221913875598086,0.575410628019324,0.575410628019324,-0.515648723257419,-0.522670880801306,0.52059127232415,0.359930813813872,0.312147562582345,0.312147562582345,0.312147562582345,-0.621546418038378,-0.585333433425919,-0.37444349450619,0.387521246474354,0.343717572749831,0.368437277008706,0.314685314685315,0.344355644355644,0.314685314685315,0.269230769230769,0.2,0.269230769230769,0.44943984171087,0.2,0.378768343815514,0,-0.0333333333333333,0.1,-0.151206636500754,-0.339734249884808
"TGF",0.552624223602485,0.561785714285714,0.602857142857143,0.526666666666667,0.46,0.492447786131997,0.479300699300699,0.423558897243108,0.333333333333333,0.376190476190476,0.231850419084462,0.22603128054741,0.211515151515151,0.352318295739348,0.315476190476191,0.259367816091954,0.465185185185185,0.258333333333333,0.203333333333333,0.153333333333333,0.233333333333333,0.303982572410407,0.38816091954023,0.343333333333333,0.273333333333333,0.181578947368421,0.577582229618843,0.577582229618843,-0.515764047800661,-0.494958261549857,0.48540239132244,0.430952380952381,0.370238095238095,0.370238095238095,0.370238095238095,-0.595297738369091,-0.583903357179219,-0.513589910850185,0.377929042159429,0.310943396226415,0.347785501489573,0.26,0.310943396226415,0.26,0.2,0.1,0.2,0.402327017322377,0.1,0.329453262786596,-0.2,-0.133333333333333,0,-0.234367816091954,-0.43982683982684
"PAK1",0.447586254013801,0.465727811243723,0.427476445123504,0.378991596638655,0.314285714285714,0.443730778678457,0.373259017952532,0.389064112011791,0.28,0.336521739130435,0.100476967398654,0.108190817545656,0.0933521078682369,0.191008771929825,0.157675438596491,0.180543721909313,0.394764539808018,0.120833333333333,0.138556067588326,0.10952380952381,0.0833333333333333,0.226958503749148,0.245018315018315,0.212051282051282,0.17051282051282,0.225728822882288,0.610509800592172,0.610509800592172,-0.55583814728077,-0.560403693857622,0.55839017676401,0.400109004922491,0.358290823104309,0.358290823104309,0.358290823104309,-0.651101022151163,-0.621286705729823,-0.415361471861472,0.422047292769041,0.385580754053155,0.406323154838006,0.359727095516569,0.386323154838006,0.360580580580581,0.328148148148148,0.28,0.328148148148148,0.494015450105208,0.28,0.423750348545404,-0.0333333333333333,-0.0761904761904762,0.2,-0.159543721909313,-0.368998312920965
"LIV1",0.447586254013801,0.465727811243723,0.427476445123504,0.378991596638655,0.314285714285714,0.443730778678457,0.373259017952532,0.389064112011791,0.28,0.336521739130435,0.100476967398654,0.108190817545656,0.0933521078682369,0.191008771929825,0.157675438596491,0.180543721909313,0.394764539808018,0.120833333333333,0.138556067588326,0.10952380952381,0.0833333333333333,0.226958503749148,0.245018315018315,0.212051282051282,0.17051282051282,0.225728822882288,0.610509800592172,0.610509800592172,-0.55583814728077,-0.560403693857622,0.55839017676401,0.400109004922491,0.358290823104309,0.358290823104309,0.358290823104309,-0.651101022151163,-0.621286705729823,-0.415361471861472,0.422047292769041,0.385580754053155,0.406323154838006,0.359727095516569,0.386323154838006,0.360580580580581,0.328148148148148,0.28,0.328148148148148,0.494015450105208,0.28,0.423750348545404,-0.0333333333333333,-0.0761904761904762,0.2,-0.159543721909313,-0.368998312920965
"EGR1",0.447586254013801,0.465727811243723,0.427476445123504,0.378991596638655,0.314285714285714,0.443730778678457,0.373259017952532,0.389064112011791,0.28,0.336521739130435,0.100476967398654,0.108190817545656,0.0933521078682369,0.191008771929825,0.157675438596491,0.180543721909313,0.394764539808018,0.120833333333333,0.138556067588326,0.10952380952381,0.0833333333333333,0.226958503749148,0.245018315018315,0.212051282051282,0.17051282051282,0.225728822882288,0.610509800592172,0.610509800592172,-0.55583814728077,-0.560403693857622,0.55839017676401,0.400109004922491,0.358290823104309,0.358290823104309,0.358290823104309,-0.651101022151163,-0.621286705729823,-0.415361471861472,0.422047292769041,0.385580754053155,0.406323154838006,0.359727095516569,0.386323154838006,0.360580580580581,0.328148148148148,0.28,0.328148148148148,0.494015450105208,0.28,0.423750348545404,-0.0333333333333333,-0.0761904761904762,0.2,-0.159543721909313,-0.368998312920965
"TCFLEF",0.645702526746707,0.620129318421368,0.592977000540574,0.559332140727489,0.512820512820513,0.558294342127095,0.494866205389218,0.523600464576074,0.431428571428571,0.482648083623693,0.203081929774479,0.188028939025819,0.176365459102301,0.333097193129451,0.308097193129451,0.266794831924458,0.427325411550596,0.279064935064935,0.235714285714286,0.216666666666667,0.235064935064935,0.248249431575156,0.39020619402989,0.368611509644508,0.345082097879802,0.197021341931522,0.619387028176502,0.619387028176502,-0.472415329768271,-0.402791306134022,0.440192305609636,0.450375958366357,0.42448896756478,0.42448896756478,0.42448896756478,-0.60109783069899,-0.629062831412229,-0.501417421696518,0.138109466880134,0.212617954651203,0.124191941106938,0.193984414278532,0.207811643283341,0.18957264957265,0.177745098039216,0.162745098039216,0.173333333333333,0.498451715291241,0.158333333333333,0.550249084249084,-0.171428571428571,-0.183333333333333,0.133333333333333,-0.250230414746544,-0.484795426367268
"Csl",0.466927046680741,0.483438266039927,0.445116270575075,0.396071684587814,0.331555555555555,0.463530020703934,0.391090141742316,0.408095238095238,0.286666666666667,0.350952380952381,0.206429274050757,0.114086445129611,0.0979753340184995,0.209302325581395,0.172868217054264,0.195339005799975,0.413248699222265,0.133333333333333,0.151206636500754,0.121794871794872,0.0888888888888889,0.239331607425564,0.262008907900249,0.228372544263885,0.186267281105991,0.251995176411094,0.624581898737556,0.624581898737556,-0.564220151828847,-0.556615834929746,0.549152047864791,0.400739637343284,0.359930813813872,0.359930813813872,0.359930813813872,-0.66236037152675,-0.634788771116551,-0.419067942223422,0.40267276162587,0.367911121136928,0.387521246474354,0.343717572749831,0.368437277008706,0.344355644355644,0.314685314685315,0.269230769230769,0.314685314685315,0.484479451704776,0.269230769230769,0.408845464638136,-0.0333333333333333,-0.0833333333333333,0.2,-0.173787281662044,-0.385356369700477
"ZEB1",0.48148146587234,0.504766845629772,0.467758971614024,0.4235965350658,0.364176245210728,0.3799784054591,0.38474769635654,0.331960784313725,0.216666666666667,0.276666666666667,0.185035508532918,0.180013623035296,0.166552084573757,0.294120958133038,0.258406672418752,0.264247641793696,0.469253228879157,0.220701754385965,0.223106060606061,0.195833333333333,0.173333333333333,0.31830701797898,0.359896086533787,0.326838235294118,0.289583333333333,0.293879142300195,0.625951064545297,0.625951064545297,-0.565860292792342,-0.625326272352264,0.503665967997762,0.479360724619447,0.443297732493463,0.443297732493463,0.443297732493463,-0.643724496758016,-0.644149582227539,-0.492806498087505,0.455065555293588,0.425176242331133,0.440975535724116,0.40352675779505,0.423422344234755,0.401894566456977,0.374680603948897,0.338095238095238,0.372482801751094,0.539184549224643,0.335897435897436,0.458392184498901,-0.133333333333333,-0.158333333333333,0.266666666666667,-0.244674688057041,-0.359619516524739
"TGFR",0.601095839323009,0.61072188449848,0.561785714285714,0.602857142857143,0.526666666666667,0.541762854625147,0.522663531159106,0.492447786131997,0.376190476190476,0.423558897243108,0.248268329532223,0.24062202787837,0.22603128054741,0.387202016669581,0.352318295739348,0.284791544905513,0.505398708316858,0.315476190476191,0.234367816091954,0.203333333333333,0.258333333333333,0.330794166613306,0.429168113784834,0.38816091954023,0.343333333333333,0.224788823911631,0.63305392773205,0.63305392773205,-0.574692619229233,-0.541609531757709,0.525911650581699,0.480075187969925,0.430952380952381,0.430952380952381,0.430952380952381,-0.647256852508784,-0.639915087384498,-0.566646145569011,0.401755437199288,0.347717589774802,0.377929042159429,0.310943396226415,0.347785501489573,0.310943396226415,0.26,0.2,0.26,0.448496372161087,0.2,0.373659271370287,-0.233333333333333,-0.153333333333333,0.1,-0.259367816091954,-0.485541125541126
"GLI",0.512751117991056,0.625183168127368,0.583536109303839,0.533850574712644,0.468333333333333,0.566923417282533,0.442497415076344,0.514437229437229,0.402857142857143,0.461190476190476,0.15473324072645,0.158910529526437,0.144856475472383,0.246362371703067,0.210424871703067,0.320463139771828,0.427160279825815,0.175730994152047,0.273339598997494,0.247023809523809,0.138888888888889,0.264255455233728,0.290478716685613,0.254288240495137,0.214288240495137,0.233301153124162,0.652388206178529,0.652388206178529,-0.595396825396825,-0.575942385699426,0.570888585613672,0.500054606163193,0.45708430913349,0.45708430913349,0.45708430913349,-0.673382073410533,-0.661950918019029,-0.531660278180345,0.434344772614792,0.39336832330736,0.416472686541869,0.464857685009488,0.393420738489921,0.364972462627852,0.428387096774194,0.38,0.328387096774194,0.501886872862859,0.28,0.427293176328502,-0.0833333333333333,-0.20952380952381,0.2,-0.297829394915861,-0.429871763456669
"SNAI1",0.483037334064627,0.499195553179206,0.465727811243723,0.427476445123504,0.378991596638655,0.48588324504617,0.307422719020147,0.443730778678457,0.336521739130435,0.389064112011791,0.118334110255796,0.119875934396825,0.108190817545656,0.224342105263158,0.191008771929825,0.199767022880187,0.422764539808018,0.157675438596491,0.159543721909313,0.138556067588326,0.120833333333333,0.245076150807971,0.275222396650968,0.245018315018315,0.212051282051282,0.247238256844552,0.652699222486391,0.652699222486391,-0.598517275006627,-0.588555680040697,0.582024102342287,0.433113931030866,0.400109004922491,0.400109004922491,0.400109004922491,-0.685544310392578,-0.664418309956528,-0.452127148429129,0.434644091943021,0.405873258623538,0.422047292769041,0.385580754053155,0.406323154838006,0.386323154838006,0.359727095516569,0.328148148148148,0.360580580580581,0.52296281852626,0.328148148148148,0.448225873020928,-0.0833333333333333,-0.10952380952381,0.28,-0.180543721909313,-0.40874726689586
"SMAD",0.516921893235038,0.525664667073867,0.486620842372672,0.439134808853119,0.378571428571429,0.490726218642573,0.441898459962976,0.437841603257957,0.314285714285714,0.382027649769585,0.230133923309795,0.121029199111391,0.205791103873296,0.323000933706816,0.285667600373483,0.292537061037027,0.429660690895679,0.248412698412698,0.245833333333333,0.220833333333333,0.205555555555556,0.332846110878369,0.361817186644773,0.326896551724138,0.286666666666667,0.253556640047323,0.65463019763297,0.65463019763297,-0.594808281823207,-0.557198241471295,0.544952626978602,0.496318519850639,0.455857993534849,0.455857993534849,0.455857993534849,-0.670111215833854,-0.663544020753959,-0.517907340501326,0.39547723879721,0.358255812932072,0.379266499182215,0.332356532356532,0.358778032425091,0.332959850606909,0.301587301587302,0.257142857142857,0.301587301587302,0.47600299230218,0.257142857142857,0.396312753887152,-0.15,-0.183333333333333,0.2,-0.270603975535168,-0.423740009538593
