"","HEY1","SMAD","FOXC2","ILK","SHH","TGF","SNAI1","TGFR","AKT","SMO","IKK","CDC42","NFB","FUS","PAK1","Csn","MEK","ERK","EGR1","cfos","Jagged","TWIST1","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","SNAI2","ZEB1","cateninmemb","ZEB2","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","cateninnuc","miR200","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","LIV1","Destcompl","TrCP","SUFU","RKIP","Patched"
"ERK",0.289065040650407,0.309371980676329,0.414141947465198,0.2808005521049,0.354717291427884,0.436144546736605,0.329037474610872,0.400859492807483,0.277316558527193,0.291725768321513,0.241361502347418,0.353871541000254,0.203333333333333,0.255555555555556,0.297435897435897,0.153333333333333,0.23020811045473,0.189846664671597,0.195925925925926,0.239404186795491,0.381111270929929,0.466372464385333,0.330090074335722,0.294833664079312,0.252684903748734,0.138305026417247,-0.392916666666667,0.697960763907985,0.473775836773432,-0.560034683002099,0.45625730994152,0.163135184514825,0.132983845748818,0.132983845748818,0.132983845748818,-0.65092065989525,-0.221525780855351,0.427686487365677,-0.496545079725693,0.381898250682074,0.405851764090469,0.352328358208955,0.380097236927491,0.350749410840534,0.318,0.316421052631579,0.27,0.268421052631579,0.413716901068029,0.2,0.059220904465326,-0.12,-0.205555555555556,-0.328524870471658,-0.323899681364991
"SMO",0.261111111111111,0.29,0.466945140629351,0.255,0.43505376344086,0.551953071083506,0.435042735042735,0.503381642512077,0.304761904761905,0.32,0.242857142857143,0.455555555555556,0.2,0.4,0.4,0.1,0.406060606060606,0.366666666666667,0.2,0.3,0.293378881987578,0.311375661375661,0.361010101010101,0.305454545454545,0.26,0.261111111111111,-0.36,0.4611018798954,0.517894736842105,-0.403267973856209,0.465217391304348,0.38331043956044,0.347596153846154,0.347596153846154,0.347596153846154,-0.461270396270396,-0.337792002354413,0.304011203145061,-0.527481542247744,0.342857142857143,0.274877344877345,0.3,0.23952380952381,0.196666666666667,0.25,0.15,0.2,0.1,0.365504670767829,0.1,0.318066378066378,0,-0.3,-0.405357142857143,-0.386666666666667
"NFB",0.366458766458767,0.392685062685063,0.586803519061584,0.352144522144522,0.405758928571429,0.609113645458183,0.390146321686569,0.559453781512605,0.425241935483871,0.321904761904762,0.377741935483871,0.496428571428571,0.31,0.26,0.425,0.36,0.32263725280217,0.264016563146998,0.142857142857143,0.190683229813665,0.38820724511127,0.595971477328132,0.446540593909015,0.401086048454469,0.33968253968254,0.346978021978022,-0.37051282051282,0.704428290296532,0.509318751424015,-0.622133695428722,0.468888888888889,0.417843305068114,0.381945869170678,0.381945869170678,0.381945869170678,-0.755462993060734,-0.256825396825397,0.470086207868853,-0.527047884704788,0.409775192128133,0.441693202040377,0.374481074481074,0.409392317084625,0.374481074481074,0.331623931623932,0.331623931623932,0.277777777777778,0.277777777777778,0.443347066982133,0.2,0.15906111409542,-0.3,-0.2,-0.361826717883056,-0.363571428571429
"Csn",0.232942488130582,0.254544986650805,0.322799570075461,0.223093373747579,0.290590659340659,0.342835938486862,0.253927315306626,0.308574100046751,0.288983648795055,0.227472527472527,0.252813436029097,0.257849462365591,0.216228070175439,0.196703296703297,0.193333333333333,0.158333333333333,0.274104623699999,0.231908091908092,0.123076923076923,0.177622377622378,0.301569466356542,0.352836971266494,0.332832581226976,0.297921338623426,0.256744868035191,0.193176253176253,-0.404,0.454725163046452,0.482767391451602,-0.466543300117741,0.470005717552887,0.245666462311486,0.214429565036852,0.214429565036852,0.214429565036852,-0.565132182824811,-0.161131898462921,0.431760270977019,-0.512954435501605,0.380186983099604,0.407808985456044,0.348148148148148,0.379520697167756,0.348148148148148,0.314814814814815,0.314814814814815,0.266666666666667,0.266666666666667,0.410916142947728,0.2,0.0517098683769653,-0.233333333333333,-0.142857142857143,-0.247083929602571,-0.258722527472527
"Jagged",0.303333333333333,0.230606060606061,0.444444444444444,0.203333333333333,0.26,0.457608695652174,0.393333333333333,0.375,0.204761904761905,0.133333333333333,0.133333333333333,0.3,0.1,0.1,0.2,0,0.316666666666667,0.25,0.1,0.2,0.290718954248366,0.347727272727273,0.343333333333333,0.26,0.2,0.15,-0.4,0.451075268817204,0.544444444444445,-0.454301075268817,0.475,0.26,0.18,0.18,0.18,-0.566450216450216,-0.257142857142857,0.361600681140911,-0.553947368421053,0.266666666666667,0.318390804597701,0.2,0.266666666666667,0.2,0.1,0.1,0,0,0.278947368421053,0,0.299509803921569,0,0,-0.315151515151515,-0.2
"DELTA",0.303333333333333,0.230606060606061,0.444444444444444,0.203333333333333,0.26,0.457608695652174,0.393333333333333,0.375,0.204761904761905,0.133333333333333,0.133333333333333,0.3,0.1,0.1,0.2,0,0.316666666666667,0.25,0.1,0.2,0.290718954248366,0.347727272727273,0.343333333333333,0.26,0.2,0.15,-0.4,0.451075268817204,0.544444444444445,-0.454301075268817,0.475,0.26,0.18,0.18,0.18,-0.566450216450216,-0.257142857142857,0.361600681140911,-0.553947368421053,0.266666666666667,0.318390804597701,0.2,0.266666666666667,0.2,0.1,0.1,0,0,0.278947368421053,0,0.299509803921569,0,0,-0.315151515151515,-0.2
"SRC",0.254017094017094,0.265211538461538,0.453795000426279,0.250544871794872,0.215126050420168,0.43698063840921,0.375649350649351,0.398205128205128,0.246666666666667,0.142857142857143,0.22,0.37,0.2,0.1,0.35,0.2,0.351337868480726,0.328888888888889,0.3,0.34,0.181266565831173,0.295604395604396,0.218027210884354,0.183333333333333,0.15,0.0167832167832168,-0.355555555555556,0.213845005739606,0.522991822991823,-0.117836792562881,0.498887122416534,0.221774042950514,0.193202614379085,0.193202614379085,0.193202614379085,-0.29280751506558,-0.158030380611026,0.0853826822197158,-0.539312654331428,0.0342105263157895,0.0636222910216718,-0.00263157894736842,0.0342105263157895,-0.00263157894736842,-0.05,-0.05,-0.1,0,-0.0281295715778474,0,-0.0809909459888339,-0.1,-0.1,-0.462768031189084,-0.185714285714286
"STAT",0.205143288084465,0.218875832354093,0.274677911485414,0.20536231884058,0.193953488372093,0.246356665571256,0.268599018352539,0.225686274509804,0.158333333333333,0.166666666666667,0.147222222222222,0.193333333333333,0.125,0.133333333333333,0.166666666666667,0.1,0.237557603686636,0.216129032258065,0.22,0.2,0.121907308377897,0.12262443438914,0.0759001782531194,0.0606060606060606,0.0333333333333333,0.00303030303030303,-0.378787878787879,0.113704272088066,0.517058218636292,-0.0725668222348264,0.510846394984326,-0.0270007911024245,-0.0419805481874447,-0.0419805481874447,-0.0419805481874447,-0.225134266678868,0.0344240561631866,0.0375666314564155,-0.536198507660382,0.0128571428571429,0.0253650399444792,-0.00380952380952381,0.0120783266577659,-0.00380952380952381,-0.0238095238095238,-0.0238095238095238,-0.0571428571428571,-0.0571428571428571,-0.0436517590936195,0,-0.0651084476435702,-0.1,-0.1,-0.255694444444444,-0.18
"FUS",0.298888888888889,0.321481481481481,0.514462871125805,0.29,0.473720430107527,0.598543980174415,0.470526606010477,0.551953071083506,0.349442755825735,0.386666666666667,0.304761904761905,0.503381642512077,0.242857142857143,0.32,0.455555555555556,0.2,0.449963045084996,0.406060606060606,0.3,0.366666666666667,0.328630680548729,0.352486772486773,0.404912540034491,0.361010101010101,0.305454545454545,0.281111111111111,-0.42,0.498812949313787,0.570566492567296,-0.44458533912567,0.527481542247744,0.414252143596314,0.38331043956044,0.38331043956044,0.38331043956044,-0.508796633151955,-0.363486446798857,0.328903289475997,-0.581123926353704,0.378857142857143,0.304011203145061,0.342857142857143,0.274877344877345,0.23952380952381,0.3,0.196666666666667,0.25,0.15,0.403966209229367,0.1,0.336261866788183,-0.1,-0.4,-0.454246031746032,-0.43505376344086
"NOTCH",0.336666666666667,0.272711323763955,0.520634920634921,0.230606060606061,0.307826086956522,0.531682769726248,0.447179487179487,0.457608695652174,0.264761904761905,0.2,0.204761904761905,0.375,0.133333333333333,0.133333333333333,0.3,0.1,0.392666666666667,0.316666666666667,0.2,0.25,0.335718954248366,0.411727272727273,0.306296296296296,0.343333333333333,0.26,0.202941176470588,-0.475,0.507288286568684,0.623931623931624,-0.515513196480938,0.553947368421053,0.315555555555556,0.26,0.26,0.26,-0.637878787878788,-0.301446654611212,0.399918438150257,-0.63220823798627,0.318390804597701,0.361600681140911,0.266666666666667,0.318390804597701,0.266666666666667,0.2,0.2,0.1,0.1,0.341447368421053,0,0.331142456982793,0,-0.1,-0.390151515151515,-0.26
"TGF",0.398412698412698,0.4168430335097,0.619464285714286,0.378571428571429,0.425096251266464,0.629535742035742,0.5442302702031,0.661858974358974,0.456190476190476,0.31,0.40952380952381,0.5875,0.342857142857143,0.25,0.5,0.3,0.4998778998779,0.442735042735043,0.333333333333333,0.387179487179487,0.456994759626339,0.518873251131316,0.492517006802721,0.433333333333333,0.355555555555556,0.208571428571429,-0.488235294117647,0.525997074597757,0.627142857142857,-0.539399570218683,0.563845050215208,0.404871794871795,0.343333333333333,0.343333333333333,0.343333333333333,-0.649090806733097,-0.38799541093033,0.441638215510877,-0.634371366004682,0.345614035087719,0.397787948131198,0.278947368421053,0.345614035087719,0.278947368421053,0.2,0.2,0.1,0.1,0.358518518518519,0,0.181493370657457,-0.2,-0.2,-0.478609022556391,-0.371904761904762
"TCFLEF",0.367115384615385,0.375289264025493,0.656813382695736,0.350643371674219,0.404166666666667,0.637467549347048,0.491645081428911,0.603413495292994,0.376552868920489,0.334848484848485,0.344939965694683,0.566730078207567,0.309090909090909,0.283333333333333,0.524561403508772,0.263636363636364,0.543905749578288,0.512006108001227,0.43984962406015,0.481313038694297,0.353134530509306,0.456053735027385,0.436918600562941,0.404829048324135,0.370046439628483,0.206233016780122,-0.422328548644338,0.491140517215463,0.615459761570797,-0.445042488341673,0.585013220518244,0.411924029403008,0.386720777370487,0.386720777370487,0.386720777370487,-0.625673661989635,-0.362855389239607,0.213722209704535,-0.626697885745026,0.271554242022244,0.192683958338415,0.24058650008676,0.267203189107646,0.236910029498525,0.207843137254902,0.204166666666667,0.174509803921569,0.170833333333333,0.601779958677686,0.133333333333333,0.32193339813037,-0.2,-0.233333333333333,-0.481125097125097,-0.372348484848485
"cfos",0.273508771929825,0.307233511586453,0.571249704701158,0.265900178253119,0.342748538011696,0.582735579624797,0.488720972259872,0.522358221134231,0.315384615384615,0.248888888888889,0.253846153846154,0.445614035087719,0.2,0.193333333333333,0.366666666666667,0.133333333333333,0.448,0.38,0.35,0.31,0.372058823529412,0.464211533796781,0.352820037105751,0.293636363636364,0.23,0.233766233766234,-0.541666666666667,0.571016103851925,0.684402315142925,-0.582327827091669,0.627080344332855,0.368251748251748,0.32,0.32,0.32,-0.701149085536641,-0.347092804334849,0.456317516639488,-0.694822279816726,0.38199182460052,0.421525394101195,0.334299516908213,0.381174516908213,0.334299516908213,0.277777777777778,0.277777777777778,0.2,0.2,0.407737298826408,0.1,0.372394215920258,-0.1,-0.133333333333333,-0.439986491050321,-0.298888888888889
"CDC42",0.273508771929825,0.307233511586453,0.571249704701158,0.265900178253119,0.342748538011696,0.582735579624797,0.488720972259872,0.522358221134231,0.315384615384615,0.248888888888889,0.253846153846154,0.445614035087719,0.2,0.193333333333333,0.466666666666667,0.133333333333333,0.448,0.38,0.25,0.31,0.372058823529412,0.464211533796781,0.352820037105751,0.293636363636364,0.23,0.233766233766234,-0.541666666666667,0.571016103851925,0.684402315142925,-0.582327827091669,0.627080344332855,0.368251748251748,0.32,0.32,0.32,-0.701149085536641,-0.347092804334849,0.456317516639488,-0.694822279816726,0.38199182460052,0.421525394101195,0.334299516908213,0.381174516908213,0.334299516908213,0.277777777777778,0.277777777777778,0.2,0.2,0.407737298826408,0.1,0.372394215920258,-0.1,-0.133333333333333,-0.439986491050321,-0.298888888888889
"ZEB1",0.355687830687831,0.369803113553114,0.510251040388082,0.337202380952381,0.390556295802798,0.533847279245287,0.416989057239057,0.492947921643574,0.386645768025078,0.317105263157895,0.341818181818182,0.446208791208791,0.3,0.275,0.389285714285714,0.24,0.389725158562368,0.341818181818182,0.231818181818182,0.291818181818182,0.436099054326071,0.497558828231377,0.432833017122245,0.39077694235589,0.347619047619048,0.303162393162393,-0.536388888888889,0.534180663718479,0.632311088896023,-0.653939563988328,0.629395052015036,0.455587640661058,0.422472886562698,0.422472886562698,0.422472886562698,-0.671398224054961,-0.392375522307169,0.502327656095026,-0.67552838534837,0.453469338814663,0.479162637875349,0.421095238095238,0.451557004072532,0.419672946101518,0.383095238095238,0.380897435897436,0.338095238095238,0.335897435897436,0.481732744272555,0.266666666666667,0.399469437372663,-0.2,-0.225,-0.38926549819273,-0.356345769487009
"NOTCHic",0.380852713178295,0.317538909970852,0.579458450046685,0.272711323763955,0.35409474367294,0.588934678123195,0.493584715937657,0.531682769726248,0.32605222734255,0.26,0.264761904761905,0.457608695652174,0.204761904761905,0.2,0.375,0.133333333333333,0.463158469945355,0.392666666666667,0.25,0.316666666666667,0.378576097105509,0.458786096256684,0.362962962962963,0.306296296296296,0.343333333333333,0.259038737446198,-0.536904761904762,0.555807648755472,0.689237746380604,-0.570230177613014,0.63220823798627,0.361709401709402,0.315555555555556,0.315555555555556,0.315555555555556,-0.699145082105976,-0.336901200065757,0.43313522136704,-0.699480965258997,0.362293243622091,0.399918438150257,0.318390804597701,0.361600681140911,0.318390804597701,0.266666666666667,0.266666666666667,0.2,0.2,0.391834965320277,0.1,0.357027000744432,-0.1,-0.133333333333333,-0.445323928944619,-0.307826086956522
"TGFR",0.438412698412698,0.453106769773436,0.679258100147275,0.4168430335097,0.47393346056879,0.69069276682913,0.594051058733566,0.629535742035742,0.506190476190476,0.371904761904762,0.456190476190476,0.661858974358974,0.40952380952381,0.31,0.5875,0.342857142857143,0.554076373160343,0.4998778998779,0.387179487179487,0.442735042735043,0.504026723096658,0.5717187795866,0.549413558526859,0.492517006802721,0.433333333333333,0.253308270676692,-0.555677154582763,0.579981650433233,0.689387755102041,-0.598394279213392,0.634371366004682,0.454713064713065,0.404871794871795,0.404871794871795,0.404871794871795,-0.713369313292128,-0.427728744263663,0.477838215510877,-0.698088180163974,0.398471177944862,0.441638215510877,0.345614035087719,0.397787948131198,0.345614035087719,0.278947368421053,0.278947368421053,0.2,0.2,0.418142931664058,0.1,0.211669582111202,-0.3,-0.25,-0.533230871295887,-0.425096251266464
"SMAD",0.461829501915709,0.370096031978161,0.627526931170478,0.433974358974359,0.50832910321489,0.636780239149231,0.53448630582359,0.588649398027736,0.483524988942946,0.416666666666667,0.432264484741265,0.529709000676743,0.37436974789916,0.366666666666667,0.458741258741259,0.321428571428571,0.523846101740839,0.468170426065163,0.338095238095238,0.402380952380952,0.529528404882052,0.502931505455876,0.515958023019634,0.467142857142857,0.41,0.293694032268516,-0.600655737704918,0.607001058786386,0.741015006498878,-0.625281866284785,0.694064558629776,0.482301980985762,0.442411270603249,0.442411270603249,0.442411270603249,-0.755759976974811,-0.399232157335481,0.473608419818913,-0.751899316464534,0.411554726744538,0.444794860496879,0.371717328370554,0.411050638617064,0.371132943143813,0.325480769230769,0.325480769230769,0.269230769230769,0.269230769230769,0.442865235539654,0.2,0.287927045050881,-0.25,-0.3,-0.497228004888144,-0.464166666666667
"PAK1",0.319391124871001,0.345201426024955,0.619747558778411,0.307233511586453,0.38703425229741,0.631057727275804,0.531492056597221,0.582735579624797,0.364165103189493,0.298888888888889,0.315384615384615,0.522358221134231,0.253846153846154,0.248888888888889,0.445614035087719,0.2,0.5058125,0.448,0.31,0.38,0.412709230033477,0.507733128481166,0.400765242585203,0.352820037105751,0.293636363636364,0.270975536091815,-0.601666666666667,0.614452603318307,0.740162683806519,-0.631154642734127,0.694822279816726,0.409766108565064,0.368251748251748,0.368251748251748,0.368251748251748,-0.754888215971423,-0.379296194165357,0.485885622951781,-0.752886795945758,0.422221709657992,0.456317516639488,0.38199182460052,0.421525394101195,0.381174516908213,0.334299516908213,0.334299516908213,0.277777777777778,0.277777777777778,0.453325534120525,0.2,0.395672332746762,-0.133333333333333,-0.193333333333333,-0.489986491050321,-0.342748538011696
"LIV1",0.319391124871001,0.345201426024955,0.619747558778411,0.307233511586453,0.38703425229741,0.631057727275804,0.531492056597221,0.582735579624797,0.364165103189493,0.298888888888889,0.315384615384615,0.522358221134231,0.253846153846154,0.248888888888889,0.445614035087719,0.2,0.5058125,0.448,0.31,0.38,0.412709230033477,0.507733128481166,0.400765242585203,0.352820037105751,0.293636363636364,0.270975536091815,-0.601666666666667,0.614452603318307,0.740162683806519,-0.631154642734127,0.694822279816726,0.409766108565064,0.368251748251748,0.368251748251748,0.368251748251748,-0.754888215971423,-0.379296194165357,0.485885622951781,-0.752886795945758,0.422221709657992,0.456317516639488,0.38199182460052,0.421525394101195,0.381174516908213,0.334299516908213,0.334299516908213,0.277777777777778,0.277777777777778,0.453325534120525,0.2,0.395672332746762,-0.133333333333333,-0.193333333333333,-0.489986491050321,-0.342748538011696
"EGR1",0.319391124871001,0.345201426024955,0.619747558778411,0.307233511586453,0.38703425229741,0.631057727275804,0.531492056597221,0.582735579624797,0.364165103189493,0.298888888888889,0.315384615384615,0.522358221134231,0.253846153846154,0.248888888888889,0.445614035087719,0.2,0.5058125,0.448,0.31,0.38,0.412709230033477,0.507733128481166,0.400765242585203,0.352820037105751,0.293636363636364,0.270975536091815,-0.601666666666667,0.614452603318307,0.740162683806519,-0.631154642734127,0.694822279816726,0.409766108565064,0.368251748251748,0.368251748251748,0.368251748251748,-0.754888215971423,-0.379296194165357,0.485885622951781,-0.752886795945758,0.422221709657992,0.456317516639488,0.38199182460052,0.421525394101195,0.381174516908213,0.334299516908213,0.334299516908213,0.277777777777778,0.277777777777778,0.453325534120525,0.2,0.395672332746762,-0.133333333333333,-0.193333333333333,-0.489986491050321,-0.342748538011696
"Csl",0.430347662673244,0.35655236288565,0.626171252814851,0.317538909970852,0.398473441897792,0.635026322328046,0.53541163901458,0.588934678123195,0.3765472768475,0.307826086956522,0.32605222734255,0.531682769726248,0.264761904761905,0.26,0.457608695652174,0.204761904761905,0.518714025500911,0.463158469945355,0.316666666666667,0.392666666666667,0.418775432653682,0.501032085561497,0.41021571021571,0.362962962962963,0.306296296296296,0.292372070779531,-0.597689075630252,0.597275225547281,0.744370826228512,-0.617029095557108,0.699480965258997,0.400929114235069,0.361709401709402,0.361709401709402,0.361709401709402,-0.751122483235919,-0.367350451313677,0.461316433892023,-0.757056722834755,0.400542091548359,0.43313522136704,0.362293243622091,0.399918438150257,0.361600681140911,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.43469210817742,0.2,0.378700526121661,-0.133333333333333,-0.2,-0.495885726697428,-0.35409474367294
"GLI",0.356931216931217,0.379419114588627,0.640831864638537,0.343736295205367,0.506590643274854,0.750024446527886,0.560924645567262,0.698183086754515,0.385714285714286,0.412,0.335714285714286,0.635106163677592,0.281428571428571,0.36,0.55959595959596,0.221428571428571,0.614703280684838,0.559289267945984,0.426666666666667,0.498095238095238,0.431431262535914,0.524327949754841,0.417712155311555,0.366549364613881,0.308484848484848,0.273389754244802,-0.619457735247209,0.63190852775729,0.758768252346414,-0.647961374558137,0.70909457057798,0.496619409281508,0.453121651433974,0.453121651433974,0.453121651433974,-0.770048341825406,-0.456403999726981,0.507004056729774,-0.768965120739792,0.438637159326814,0.475279429334458,0.494794794794795,0.437518518518519,0.393518518518518,0.440740740740741,0.340740740740741,0.377777777777778,0.277777777777778,0.465258795202752,0.2,0.356778273380914,-0.15,-0.293333333333333,-0.525680373433423,-0.459222222222222
"SNAI1",0.360060981330331,0.378677820874741,0.662875520863719,0.345201426024955,0.426092424042563,0.673560825169236,0.468738106258621,0.631057727275804,0.410036662822521,0.342748538011696,0.364165103189493,0.582735579624797,0.315384615384615,0.298888888888889,0.522358221134231,0.253846153846154,0.552193197050938,0.5058125,0.38,0.448,0.448423515747762,0.546137118506104,0.444209972662324,0.400765242585203,0.352820037105751,0.298248263364542,-0.65656862745098,0.65169176864736,0.789473028634105,-0.672531023362844,0.752886795945758,0.444062833035199,0.409766108565064,0.409766108565064,0.409766108565064,-0.801423519748106,-0.406498667117444,0.510627568525756,-0.803665612145135,0.457286644722927,0.485885622951781,0.422221709657992,0.456317516639488,0.421525394101195,0.38199182460052,0.381174516908213,0.334299516908213,0.334299516908213,0.49214583590379,0.277777777777778,0.414896888481819,-0.2,-0.248888888888889,-0.53605978947964,-0.38703425229741
