"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","EGR1","cfos","HEY1","SMAD","ILK","SHH","AKT","IKK","TWIST1","NFB","SMO","FUS","Csn","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","Frizzled","cMet","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"cMet",0.447826086956522,0.440454545454545,0.387121212121212,0.345454545454545,0.3,0.396602787456446,0.46152380952381,0.389285714285714,0.314285714285714,0.364285714285714,0.223376623376623,0.214668696734176,0.20123586091328,0.212222222222222,0.270974358974359,0.258974358974359,0.412,0.266666666666667,0.15,0.15,0.2,0.234566844919786,0.282072829131653,0.248739495798319,0.242857142857143,-0.0202898550724638,-0.340151515151515,0.494868496283591,0.494868496283591,0.473721004104356,-0.181514496321799,0.236170212765957,0.2,0.2,0.2,-0.326752786220871,-0.25188442441232,-0.501837474120083,0.148884869469732,0.0793233082706767,0.117634869469732,0.0214285714285714,0.0781853281853282,-0.05,0.0214285714285714,0.05,-0.1,0,0.0350375939849624,-0.2,-0.1,0.1,-0.139141613103877,-0.183333333333333,-0.467236549792331
"TWIST1",0.522817113442113,0.509622621387327,0.469063180827887,0.426470588235294,0.376470588235294,0.469500306040427,0.493862319214432,0.424628511168632,0.277777777777778,0.367251461988304,0.272515477354187,0.268645456317534,0.245078577336642,0.471236858824516,0.466894320632638,0.419230769230769,0.446338361913854,0.369230769230769,0.394685990338164,0.355555555555556,0.3,0.414789176396631,0.422292397660819,0.380292397660819,0.335555555555555,0.303450292397661,-0.376471861471861,0.497434061343836,0.497434061343836,0.723070092754157,-0.647962849947987,0.449902736660219,0.41997315919543,0.41997315919543,0.41997315919543,-0.816210440707571,-0.400981909768521,-0.504521274388574,0.45997611829639,0.415987869856342,0.43997611829639,0.384582911178656,0.415016901330648,0.348412698412698,0.38389656938044,0.348412698412698,0.309523809523809,0.309523809523809,0.459387047543214,-0.2,-0.3,0.266666666666667,0.393535594175052,-0.436621474209132,-0.478730158730159
"NOTCH",0.364319781966841,0.388282828282828,0.328282828282828,0.255555555555556,0.2,0.346666666666667,0.263333333333333,0.286666666666667,0.2,0.22,0.171014492753623,0.0825396825396825,0.0714285714285714,0.151206636500754,0.133333333333333,0.0888888888888889,0.332636363636364,0.0333333333333333,0.0833333333333333,0.0333333333333333,0,0.196123136123136,0.186267281105991,0.231428571428571,0.16,0.167368421052632,-0.455555555555556,0.507936507936508,0.507936507936508,0.487074879579623,-0.483055781497496,0.303451910408432,0.252727272727273,0.252727272727273,0.252727272727273,-0.569357301815723,-0.277307558342041,-0.516767676767677,0.382354009626737,0.314685314685315,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0.338490566037736,0,0,0,0.329512503157363,-0.121794871794872,-0.266666666666667
"SRC",0.335585551992443,0.318187010122494,0.279298121233605,0.237362637362637,0.214285714285714,0.333333333333333,0.256311475409836,0.313333333333333,0.3,0.32,0.126666666666667,0.115064935064935,0.108571428571429,0.0987373737373737,0.168768328445748,0.159090909090909,0.245193886573197,0.15,0.0583333333333333,0.0333333333333333,0.15,0.111008991008991,0.170315789473684,0.146315789473684,0.12,-0.0262952101661779,-0.37051282051282,0.508660968660969,0.508660968660969,0.195024042664802,-0.0961494845878117,0.211708989606772,0.188758169934641,0.188758169934641,0.188758169934641,-0.263180076628353,-0.146373123731614,-0.518966817496229,0.0684064934831091,0.0259398496240601,0.0489128225970331,-0.00263157894736842,0.0259398496240601,-0.05,-0.00263157894736842,-0.05,-0.1,0,-0.0335024665257223,-0.1,-0.0333333333333333,0,-0.0874881869192849,-0.0765151515151515,-0.34781512605042
"IKK",0.602198830409357,0.607763532763533,0.554985754985755,0.484615384615385,0.4,0.285089605734767,0.423650793650794,0.204444444444444,0.1,0.16,0.205103668261563,0.21790346907994,0.190980392156863,0.293650793650794,0.338518518518519,0.275555555555556,0.566666666666667,0.32,0.204761904761905,0.133333333333333,0.3,0.309264297908664,0.375363478724823,0.320261437908497,0.255555555555556,0.333846153846154,-0.438095238095238,0.513752818200451,0.513752818200451,0.657439542379031,-0.571741971620612,0.373186035389766,0.328470588235294,0.328470588235294,0.328470588235294,-0.713463753949491,-0.216038054045474,-0.521798941798942,0.426933551198257,0.361195286195286,0.395917508417508,0.320454545454545,0.361195286195286,0.275,0.320454545454545,0.275,0.2,0.2,0.392929991356958,-0.2,-0.1,0.1,0.127433588103687,-0.26031746031746,-0.402857142857143
"ERK",0.503505135411236,0.536597567228037,0.505061179087875,0.461612903225806,0.41,0.202226512226512,0.374267685310386,0.166190476190476,0.173333333333333,0.216190476190476,0.191920154149256,0.193949261592826,0.17843771043771,0.273167605623746,0.215115498383864,0.185385768654135,0.515666372657368,0.150903010033445,0.224436090225564,0.192857142857143,0.103076923076923,0.32309947376598,0.282786927071467,0.250755677071467,0.211361737677527,0.164420289855072,-0.477462568951931,0.525355987055016,0.525355987055016,0.68270007580114,-0.55743023381904,0.147756892230576,0.118809523809524,0.118809523809524,0.118809523809524,-0.65915297466285,-0.200770719856583,-0.535769457795767,0.412161305261073,0.371861700146211,0.393087324385381,0.344026648599819,0.369749645115499,0.308841463414634,0.341526648599819,0.306341463414634,0.2625,0.26,0.404597340910832,-0.08,-0.142857142857143,0.2,0.0437523202408982,-0.249710815500289,-0.384137537993921
"FUS",0.463808233471155,0.558507572231571,0.51334628190899,0.466176470588235,0.425,0.426696832579186,0.392845170752148,0.388461538461538,0.3,0.35,0.153787878787879,0.154354442808051,0.140952380952381,0.358947074430945,0.276853442579622,0.240683229813665,0.300453263762616,0.192857142857143,0.296190476190476,0.253333333333333,0.15,0.268571428571429,0.365180690084413,0.32615629984051,0.278787878787879,0.248181818181818,-0.452857142857143,0.531415072052918,0.531415072052918,0.48533426419565,-0.427090490233598,0.408783368458026,0.380929487179487,0.380929487179487,0.380929487179487,-0.479699347709378,-0.356599697104989,-0.540331262939959,0.315372219774359,0.374170274170274,0.294526298324208,0.342857142857143,0.270136054421769,0.3,0.23952380952381,0.196666666666667,0.25,0.15,0.400988541735571,-0.1,-0.333333333333333,0.1,0.332332735015662,-0.331674347158218,-0.406938775510204
"cfos",0.386425438596491,0.412988782636202,0.373182957393484,0.311278195488722,0.242857142857143,0.382380952380952,0.277272727272727,0.332380952380952,0.32,0.28,0.0821256038647343,0.0948131868131868,0.0794285714285714,0.160633989666248,0.157675438596491,0.120833333333333,0.350160072485654,0.0833333333333333,0.10952380952381,0.0761904761904762,0.0333333333333333,0.209417562724014,0.212051282051282,0.17051282051282,0.116666666666667,0.190441176470588,-0.499265440022821,0.541747506019952,0.541747506019952,0.534136363636364,-0.529726505693797,0.344785854721292,0.303322440087146,0.303322440087146,0.303322440087146,-0.60604220395369,-0.310213744588745,-0.555484043979619,0.424843128843129,0.364990253411306,0.397985985985986,0.328148148148148,0.365985985985986,0.28,0.328148148148148,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.364812030075188,-0.138556067588326,-0.290643274853801
"CDC42",0.386425438596491,0.412988782636202,0.373182957393484,0.311278195488722,0.342857142857143,0.382380952380952,0.277272727272727,0.332380952380952,0.22,0.28,0.0821256038647343,0.0948131868131868,0.0794285714285714,0.160633989666248,0.157675438596491,0.120833333333333,0.350160072485654,0.0833333333333333,0.10952380952381,0.0761904761904762,0.0333333333333333,0.209417562724014,0.212051282051282,0.17051282051282,0.116666666666667,0.190441176470588,-0.499265440022821,0.541747506019952,0.541747506019952,0.534136363636364,-0.529726505693797,0.344785854721292,0.303322440087146,0.303322440087146,0.303322440087146,-0.60604220395369,-0.310213744588745,-0.555484043979619,0.424843128843129,0.364990253411306,0.397985985985986,0.328148148148148,0.365985985985986,0.28,0.328148148148148,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.364812030075188,-0.138556067588326,-0.290643274853801
"NOTCHic",0.401529084292422,0.427778626602156,0.388282828282828,0.328282828282828,0.255555555555556,0.400765027322404,0.289649122807018,0.346666666666667,0.22,0.286666666666667,0.186268730041759,0.100396825396825,0.0825396825396825,0.175344567535237,0.172868217054264,0.133333333333333,0.366482517482517,0.0888888888888889,0.121794871794872,0.0833333333333333,0.0333333333333333,0.223019687847274,0.228372544263885,0.186267281105991,0.231428571428571,0.218587933247754,-0.501010101010101,0.548595848595849,0.548595848595849,0.526744301067227,-0.527123578107665,0.344338609915821,0.303451910408432,0.303451910408432,0.303451910408432,-0.616092697004726,-0.308712517019727,-0.561767676767677,0.408536974926421,0.350169185653057,0.382354009626737,0.314685314685315,0.350949050949051,0.269230769230769,0.314685314685315,0.269230769230769,0.2,0.2,0.38293501048218,0,-0.0333333333333333,0.1,0.351790560108787,-0.151206636500754,-0.3
"TGF",0.510840201465201,0.529047619047619,0.564761904761905,0.493333333333333,0.433333333333333,0.462462462462462,0.414375,0.411111111111111,0.333333333333333,0.366666666666667,0.230924630924631,0.22340206185567,0.21,0.27147619047619,0.344887955182073,0.315476190476191,0.46344537815126,0.258333333333333,0.203333333333333,0.153333333333333,0.233333333333333,0.323989931725866,0.391481481481481,0.343333333333333,0.273333333333333,0.166666666666667,-0.493928571428571,0.549191729323308,0.549191729323308,0.506878306878307,-0.508793981557624,0.396031746031746,0.34047619047619,0.34047619047619,0.34047619047619,-0.594687403539098,-0.373868608476254,-0.556552104899931,0.419524130609637,0.34078431372549,0.383441656382833,0.28,0.34078431372549,0.2,0.28,0.2,0.1,0.1,0.355334538878843,-0.2,-0.133333333333333,0,0.177461618840929,-0.239333333333333,-0.402857142857143
"Csn",0.415368852459016,0.441184314240673,0.411704545454545,0.36625,0.31,0.261798396334479,0.296004371568281,0.227777777777778,0.111111111111111,0.177777777777778,0.103888888888889,0.11270757020757,0.0946520146520146,0.173972483455242,0.203613445378151,0.177142857142857,0.415419387081562,0.143809523809524,0.130555555555556,0.105555555555556,0.0866666666666667,0.21968697968698,0.264592139886258,0.235180375180375,0.197402597402597,0.279032258064516,-0.506153846153846,0.557118230358505,0.557118230358505,0.442203459438446,-0.460980487027707,0.217528507879385,0.188516162200373,0.188516162200373,0.188516162200373,-0.58315439425216,-0.125756392507662,-0.571008099211173,0.404427172793027,0.358148148148148,0.383953034861993,0.327777777777778,0.358604845446951,0.294444444444444,0.327777777777778,0.294444444444444,0.25,0.25,0.389632802036882,-0.166666666666667,-0.05,0.2,0.0215429229639756,-0.153282828282828,-0.313565123401189
"NFB",0.647198830409357,0.651441693683073,0.607763532763533,0.554985754985755,0.484615384615385,0.339545051279321,0.461984126984127,0.285089605734767,0.16,0.204444444444444,0.23625120924517,0.239163311599625,0.21790346907994,0.327613057801737,0.381802100608071,0.338518518518519,0.602749140893471,0.275555555555556,0.26031746031746,0.204761904761905,0.32,0.341917359133154,0.417512239055402,0.375363478724823,0.320261437908497,0.365189437428243,-0.489206349206349,0.571328575776209,0.571328575776209,0.695698117576921,-0.615753515632157,0.408305083008813,0.373186035389766,0.373186035389766,0.373186035389766,-0.762478532274614,-0.243310781318202,-0.579279256759572,0.452036431856693,0.39636769998839,0.426933551198257,0.361195286195286,0.395917508417508,0.320454545454545,0.361195286195286,0.320454545454545,0.275,0.275,0.432844154447086,-0.3,-0.133333333333333,0.2,0.147233588103687,-0.293650793650794,-0.445714285714286
"PAK1",0.416322345812986,0.444840634488054,0.412988782636202,0.373182957393484,0.311278195488722,0.428412698412698,0.304808959156785,0.382380952380952,0.28,0.332380952380952,0.102815259037148,0.110693015139367,0.0948131868131868,0.185078434110692,0.188444669365722,0.157675438596491,0.380297058787024,0.120833333333333,0.138556067588326,0.10952380952381,0.0833333333333333,0.235733352197699,0.245759147219821,0.212051282051282,0.17051282051282,0.221552287581699,-0.531849709685743,0.576772886730612,0.576772886730612,0.567469696969697,-0.566249943193797,0.379648240042393,0.344785854721292,0.344785854721292,0.344785854721292,-0.644663998825485,-0.336221070596071,-0.589342311696155,0.44643733174168,0.397009957844804,0.424843128843129,0.364990253411306,0.397985985985986,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.432464924861258,-0.0333333333333333,-0.0761904761904762,0.2,0.383471588338707,-0.160633989666248,-0.320167084377611
"LIV1",0.416322345812986,0.444840634488054,0.412988782636202,0.373182957393484,0.311278195488722,0.428412698412698,0.304808959156785,0.382380952380952,0.28,0.332380952380952,0.102815259037148,0.110693015139367,0.0948131868131868,0.185078434110692,0.188444669365722,0.157675438596491,0.380297058787024,0.120833333333333,0.138556067588326,0.10952380952381,0.0833333333333333,0.235733352197699,0.245759147219821,0.212051282051282,0.17051282051282,0.221552287581699,-0.531849709685743,0.576772886730612,0.576772886730612,0.567469696969697,-0.566249943193797,0.379648240042393,0.344785854721292,0.344785854721292,0.344785854721292,-0.644663998825485,-0.336221070596071,-0.589342311696155,0.44643733174168,0.397009957844804,0.424843128843129,0.364990253411306,0.397985985985986,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.432464924861258,-0.0333333333333333,-0.0761904761904762,0.2,0.383471588338707,-0.160633989666248,-0.320167084377611
"EGR1",0.416322345812986,0.444840634488054,0.412988782636202,0.373182957393484,0.311278195488722,0.428412698412698,0.304808959156785,0.382380952380952,0.28,0.332380952380952,0.102815259037148,0.110693015139367,0.0948131868131868,0.185078434110692,0.188444669365722,0.157675438596491,0.380297058787024,0.120833333333333,0.138556067588326,0.10952380952381,0.0833333333333333,0.235733352197699,0.245759147219821,0.212051282051282,0.17051282051282,0.221552287581699,-0.531849709685743,0.576772886730612,0.576772886730612,0.567469696969697,-0.566249943193797,0.379648240042393,0.344785854721292,0.344785854721292,0.344785854721292,-0.644663998825485,-0.336221070596071,-0.589342311696155,0.44643733174168,0.397009957844804,0.424843128843129,0.364990253411306,0.397985985985986,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.432464924861258,-0.0333333333333333,-0.0761904761904762,0.2,0.383471588338707,-0.160633989666248,-0.320167084377611
"ZEB1",0.435175677946681,0.474593449901401,0.441070722628674,0.399574123989218,0.344857142857143,0.353525778094559,0.29757435868255,0.311449275362319,0.21,0.266521739130435,0.186439447252255,0.181179377361819,0.166285760340543,0.275525440069665,0.287881241565452,0.254035087719298,0.454803156563478,0.220701754385965,0.225833333333333,0.195833333333333,0.173333333333333,0.334677277410692,0.363141452233067,0.328358843537415,0.289583333333333,0.285992961287079,-0.52601856422302,0.579772046244538,0.579772046244538,0.519718254078226,-0.634187476121675,0.449182780805931,0.419101479992923,0.419101479992923,0.419101479992923,-0.635994852788217,-0.383492472853636,-0.595567975055598,0.488192167034214,0.447132954388248,0.468957310498614,0.419730819156931,0.445577028808473,0.384436701509872,0.41823889931207,0.38223889931207,0.338095238095238,0.335897435897436,0.477658975831019,-0.133333333333333,-0.158333333333333,0.266666666666667,0.395365153763805,-0.251920289855072,-0.299347158218126
"Csl",0.432195750959089,0.459854098300269,0.427778626602156,0.388282828282828,0.328282828282828,0.446817658901352,0.319606928714191,0.400765027322404,0.286666666666667,0.346666666666667,0.210078253851283,0.117906553023285,0.100396825396825,0.201198226071822,0.206201550387597,0.172868217054264,0.397118355632807,0.133333333333333,0.151206636500754,0.121794871794872,0.0888888888888889,0.250138331915071,0.262951983516222,0.228372544263885,0.186267281105991,0.246365711025531,-0.534343434343434,0.58534003464236,0.58534003464236,0.559501567367305,-0.56314331494977,0.378167606198349,0.344338609915821,0.344338609915821,0.344338609915821,-0.654901731912324,-0.334121135147513,-0.597507748969843,0.429576878191234,0.381597757081628,0.408536974926421,0.350169185653057,0.382354009626737,0.314685314685315,0.350949050949051,0.314685314685315,0.269230769230769,0.269230769230769,0.419204440533994,-0.0333333333333333,-0.0833333333333333,0.2,0.369539477857704,-0.175344567535237,-0.333333333333333
"TCFLEF",0.5091906764584,0.492155889148279,0.463545534924845,0.42816091954023,0.383333333333333,0.510450684998549,0.353858090664025,0.483690121618268,0.419607843137255,0.457107843137255,0.217569124423963,0.201337951092898,0.187263877018824,0.293553510618262,0.315479888153179,0.294950086828676,0.389732848688073,0.274195369847544,0.249067599067599,0.221794871794872,0.235064935064935,0.284577001113148,0.396416874519,0.373045227009421,0.346958270487682,0.160391590871957,-0.441780518369093,0.589384635430024,0.589384635430024,0.469220274590331,-0.418562692566427,0.401675244384709,0.380936608021073,0.380936608021073,0.380936608021073,-0.588806530214173,-0.352430764151995,-0.600062413178592,0.192750307635998,0.259088467267355,0.175677136904291,0.235115864527629,0.255050505050505,0.207843137254902,0.231439393939394,0.204166666666667,0.174509803921569,0.170833333333333,0.592900750111957,-0.171428571428571,-0.183333333333333,0.133333333333333,0.313450187057956,-0.270806729502382,-0.46010582010582
"TGFR",0.556786147411147,0.578796362766212,0.529047619047619,0.564761904761905,0.493333333333333,0.507761607761608,0.445239197530864,0.462462462462462,0.366666666666667,0.411111111111111,0.246812481391921,0.23949962283128,0.22340206185567,0.30120592020592,0.378221288515406,0.344887955182073,0.502980261872191,0.315476190476191,0.239333333333333,0.203333333333333,0.258333333333333,0.3548232650592,0.435667527993109,0.391481481481481,0.343333333333333,0.211872146118721,-0.545210622710623,0.596752704933064,0.596752704933064,0.552494571173097,-0.558598923040069,0.439858906525573,0.396031746031746,0.396031746031746,0.396031746031746,-0.647909856761551,-0.407710847662005,-0.605626178974005,0.449533905780702,0.383250067150148,0.419524130609637,0.34078431372549,0.383441656382833,0.28,0.34078431372549,0.28,0.2,0.2,0.407586791131095,-0.233333333333333,-0.153333333333333,0.1,0.203175904555215,-0.27147619047619,-0.439442508710801
"SMAD",0.454794053704683,0.477507756831885,0.443786826599327,0.401599326599327,0.338636363636364,0.459881724701002,0.347806699547897,0.412893772893773,0.304761904761905,0.358608058608059,0.231420924574209,0.122359221381455,0.204967917033629,0.31003717949143,0.315718556341101,0.279897660818713,0.418334768564101,0.242397660818713,0.255920205920206,0.226190476190476,0.205555555555556,0.356912812231695,0.367985960860909,0.331779064309185,0.28961038961039,0.248739569609135,-0.54830328247804,0.60193077453947,0.60193077453947,0.568299315137351,-0.571560794768509,0.458946624962163,0.424812834224599,0.424812834224599,0.424812834224599,-0.665958165363411,-0.369156719021035,-0.614382870718169,0.438722456141093,0.388575757575758,0.416680953056405,0.356,0.38930174368598,0.32,0.356734693877551,0.32,0.271428571428571,0.271428571428571,0.424470609711574,-0.15,-0.183333333333333,0.2,0.276015068712544,-0.283579780388291,-0.36082574991574
"SNAI1",0.445380462045451,0.474755164402584,0.444840634488054,0.412988782636202,0.373182957393484,0.463788742980944,0.232598005809929,0.428412698412698,0.332380952380952,0.382380952380952,0.122506378728268,0.122897022425342,0.110693015139367,0.208472929523536,0.219787952947812,0.188444669365722,0.407569786059751,0.157675438596491,0.160633989666248,0.138556067588326,0.120833333333333,0.25921620180192,0.277383078843753,0.245759147219821,0.212051282051282,0.240329580158119,-0.561318308719559,0.607792409507184,0.607792409507184,0.594951711358186,-0.595930308490601,0.406920967315121,0.379648240042393,0.379648240042393,0.379648240042393,-0.677766361030209,-0.357404661719137,-0.621788235157053,0.463530872944352,0.424077627017736,0.44643733174168,0.397009957844804,0.424843128843129,0.364990253411306,0.397985985985986,0.365985985985986,0.328148148148148,0.328148148148148,0.463261595491461,-0.0833333333333333,-0.10952380952381,0.28,0.39807074445685,-0.185078434110692,-0.352213416423943
"GLI",0.477804347826087,0.603119301168288,0.565902472689323,0.521187025534852,0.46031746031746,0.543746031746032,0.368641975308642,0.498412698412698,0.398412698412698,0.452958152958153,0.157222122952711,0.160695448342507,0.145989565989566,0.328940781440781,0.241530185289729,0.207645887769068,0.415195024875622,0.175730994152047,0.274801587301587,0.247023809523809,0.138888888888889,0.27842935433361,0.292937643897016,0.255313881520778,0.214288240495137,0.228333333333333,-0.566938075401687,0.615316248225022,0.615316248225022,0.585744129368418,-0.584832618137572,0.470727871191876,0.434013875248672,0.434013875248672,0.434013875248672,-0.667793871878327,-0.423702824455513,-0.626058944800331,0.466726233069427,0.413067031573863,0.443038653043819,0.477695852534562,0.413446816309125,0.434838709677419,0.378048586220629,0.334838709677419,0.38,0.28,0.444141647585344,-0.0833333333333333,-0.20952380952381,0.2,0.344759811694434,-0.302274114774115,-0.378675662614773
