"","FOXC2","TGF","TGFR","CDC42","PAK1","SNAI1","MEK","EGR1","HEY1","ERK","cfos","SMAD","ILK","SHH","AKT","TWIST1","IKK","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Csn",0.253628756931699,0.279771395206155,0.252802421459138,0.206648575305292,0.145454545454545,0.163644677048419,0.228793604443108,0.0833333333333333,0.0737637362637363,0.188563719385637,0.137878787878788,0.0805927317072415,0.0669680530440024,0.138335686829864,0.205766666666667,0.294960261804582,0.184166666666667,0.155,0.108513708513709,0.0873015873015873,0.186203979009649,0.105,0.263672438672439,0.238672438672439,0.201010101010101,0.180766396462786,-0.399880772821949,0.437214226633582,0.437214226633582,0.437752124819523,-0.442370015831975,0.237631030442871,0.209087341122483,0.209087341122483,0.209087341122483,-0.516627484653027,-0.148283472629656,-0.445018334053115,0.419835433947705,0.37427547866515,0.398849264374644,0.348511286525412,0.374733508747634,0.348511286525412,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.407069759206799,-0.18,-0.0428571428571429,0.2,0.0506559271691371,-0.124642740771773,-0.143725159945803
"STAT",0.218786639400136,0.21176467189053,0.194856459330144,0.165909090909091,0.140909090909091,0.147429986651459,0.1876955602537,0.18,0.0572972972972973,0.169090909090909,0.16,0.0634700623544437,0.0600217864923747,0.0619850498338871,0.0427602905569007,0.0802251471666764,0.0342857142857143,0.02,0.045,0.025,0.0670143870848096,0,0.0330241149201743,0.0204027556968733,-0.00392156862745098,-0.00222745769972157,-0.326728064963359,0.442935269858347,0.442935269858347,0.104522723355108,-0.0628629869659736,-0.0306607477129548,-0.044194582299421,-0.044194582299421,-0.044194582299421,-0.205507363495694,0.0434519228252049,-0.458532927961468,0.0325315917856516,0.0111440030557678,0.0224004833231963,-0.00146103896103896,0.0113594738594739,-0.00146103896103896,-0.0196428571428571,-0.0196428571428571,-0.0571428571428571,-0.0571428571428571,-0.0431294196000078,0,0,0,-0.0632807160477063,-0.0566279069767442,-0.139611056610306
"cMet",0.397017543859649,0.399515190691661,0.367647058823529,0.35,0.3,0.389812180617599,0.328754813863928,0.2,0.203186537773004,0.326315789473684,0.3,0.197423626890679,0.182860520094563,0.191968067774519,0.265714285714286,0.388694638694639,0.252380952380952,0.266666666666667,0.138888888888889,0.15,0.217676767676768,0.2,0.276190476190476,0.242857142857143,0.242857142857143,0.0944444444444444,-0.317777777777778,0.453194444444445,0.453194444444445,0.482281639928699,-0.19540587567772,0.248363979255068,0.203809523809524,0.203809523809524,0.203809523809524,-0.329106564091605,-0.23781512605042,-0.463111840306262,0.164195151697407,0.086969696969697,0.131436531007752,0.0233333333333333,0.0861240310077519,0.0233333333333333,-0.05,0.05,-0.1,0,0.0419047619047619,-0.2,-0.1,0.1,-0.121319415268935,-0.166161616161616,-0.358838729290166
"Jagged",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.258333333333333,0.266666666666667,0.1,0.166666666666667,0.2,0.2,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.293,0.0333333333333333,0,0.0333333333333333,0,0.166493506493506,0,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.2
"DELTA",0.312857142857143,0.331555555555555,0.255555555555556,0.2,0.2,0.258333333333333,0.266666666666667,0.1,0.166666666666667,0.2,0.2,0.0714285714285714,0.0666666666666667,0.121794871794872,0.0888888888888889,0.293,0.0333333333333333,0,0.0333333333333333,0,0.166493506493506,0,0.231428571428571,0.16,0.1,0.12,-0.405555555555556,0.46207729468599,0.46207729468599,0.43868778280543,-0.431991951710262,0.252727272727273,0.18,0.18,0.18,-0.513017543859649,-0.23639846743295,-0.472121212121212,0.350949050949051,0.269230769230769,0.314685314685315,0.2,0.269230769230769,0.2,0.1,0.1,0,0,0.28,0,0,0,0.300540540540541,-0.0833333333333333,-0.2
"NFB",0.543623370874367,0.574761539445084,0.529191919191919,0.469191919191919,0.405555555555556,0.323971886243663,0.294794520547945,0.142857142857143,0.198011573050273,0.24,0.166666666666667,0.198240783984059,0.18578795379538,0.281035559863977,0.358820248820249,0.568179271708683,0.321042471042471,0.264285714285714,0.228148148148148,0.18,0.313312588916683,0.314285714285714,0.403560024205185,0.362914862914863,0.307359307359307,0.342550096961862,-0.41529304029304,0.474843833722237,0.474843833722237,0.698714438591266,-0.61265624380123,0.415424526100359,0.380598655453593,0.380598655453593,0.380598655453593,-0.730857473036303,-0.251778221778222,-0.479293751915583,0.465961828028842,0.409947181407856,0.439530455479823,0.376239316239316,0.40957264957265,0.376239316239316,0.331623931623932,0.331623931623932,0.277777777777778,0.277777777777778,0.443520770010132,-0.3,-0.12,0.2,0.159531272477971,-0.2557343550447,-0.293560927339553
"SRC",0.406932773109244,0.399272486772487,0.369642857142857,0.345833333333333,0.333333333333333,0.304486490952656,0.225333333333333,0.2,0.121540880503145,0.213333333333333,0.22,0.10780303030303,0.104166666666667,0.0922473604826546,0.166263736263736,0.257593984962406,0.157692307692308,0.15,0.0533333333333333,0.0333333333333333,0.108586431675519,0.15,0.167445887445887,0.143809523809524,0.12,0.0450980392156863,-0.354328165374677,0.479700854700855,0.479700854700855,0.204986070367013,-0.109475887902956,0.220475341651812,0.193202614379085,0.193202614379085,0.193202614379085,-0.272302808302808,-0.148745119910764,-0.492009272192339,0.0808060595986324,0.0344262295081967,0.0612554978008796,0,0.0344262295081967,0,-0.05,-0.05,-0.1,0,-0.0271686004505079,-0.1,-0.0333333333333333,0,-0.0783918306284893,-0.0687179487179487,-0.279871106337272
"SMO",0.431379310344828,0.52490990990991,0.481666666666667,0.44,0.4,0.363364055299539,0.385483870967742,0.2,0.128937728937729,0.35,0.3,0.134285714285714,0.12,0.324166666666667,0.236857142857143,0.284858387799564,0.192857142857143,0.15,0.253333333333333,0.333333333333333,0.239312169312169,0.1,0.323787878787879,0.278787878787879,0.233333333333333,0.255263157894737,-0.413888888888889,0.482485875706215,0.482485875706215,0.458517788724685,-0.399283850088736,0.382479874776386,0.347596153846154,0.347596153846154,0.347596153846154,-0.446083963266817,-0.335225292506846,-0.492374924653406,0.302911242507563,0.344444444444444,0.275091693635383,0.3,0.241111111111111,0.196666666666667,0.25,0.15,0.2,0.1,0.366472607851918,0,-0.3,0.1,0.319191970819878,-0.290833333333333,-0.325268817204301
"TWIST1",0.536864045556844,0.523935454616862,0.485438871473354,0.440438871473354,0.381818181818182,0.479416436165615,0.472196761508695,0.277777777777778,0.242857142857143,0.427986235192906,0.369082125603865,0.237257496904022,0.219105681722504,0.458244827222448,0.460917613459986,0.465609313137917,0.416849816849817,0.369230769230769,0.391555555555556,0.355555555555556,0.410228291267965,0.3,0.419711336881148,0.379145299145299,0.335555555555555,0.318749437696806,-0.404315196998124,0.488073160880178,0.488073160880178,0.731072401634698,-0.658642259734095,0.452158539186454,0.42054341891154,0.42054341891154,0.42054341891154,-0.827486360185861,-0.402536890469163,-0.496082171680117,0.470532602683722,0.418854803675856,0.446553304236338,0.385254803675856,0.417916244511989,0.384582911178656,0.348412698412698,0.348412698412698,0.309523809523809,0.309523809523809,0.461239889143115,-0.2,-0.3,0.266666666666667,0.396961599612245,-0.428541856925419,-0.447010869565217
"NOTCH",0.376122448979592,0.396071684587814,0.331555555555555,0.255555555555556,0.2,0.299871794871795,0.32962962962963,0.2,0.171014492753623,0.266666666666667,0.2,0.0799031476997579,0.0714285714285714,0.151206636500754,0.133333333333333,0.342152542372881,0.0888888888888889,0.0333333333333333,0.0833333333333333,0.0333333333333333,0.196123136123136,0,0.186267281105991,0.231428571428571,0.16,0.175555555555556,-0.46207729468599,0.52133655394525,0.52133655394525,0.487623953018196,-0.483824412443246,0.303451910408432,0.252727272727273,0.252727272727273,0.252727272727273,-0.572694963214488,-0.276628352490421,-0.529264069264069,0.383193948908235,0.314685314685315,0.350949050949051,0.269230769230769,0.314685314685315,0.269230769230769,0.2,0.2,0.1,0.1,0.338490566037736,0,0,0,0.329512503157363,-0.121794871794872,-0.258333333333333
"FUS",0.472168784029038,0.566399271612038,0.52490990990991,0.481666666666667,0.44,0.392609338318407,0.419630212431157,0.3,0.144879757923236,0.385483870967742,0.35,0.144675324675325,0.134285714285714,0.349419191919192,0.271472527472527,0.320984042249826,0.236857142857143,0.192857142857143,0.290833333333333,0.253333333333333,0.265818193408555,0.15,0.362424242424242,0.323787878787879,0.278787878787879,0.276831785345717,-0.461429872495446,0.527271151779834,0.527271151779834,0.494129299516052,-0.437831336122255,0.412610879143199,0.382479874776386,0.382479874776386,0.382479874776386,-0.489097661896954,-0.359386366332349,-0.53692938009895,0.326280807724955,0.379059829059829,0.302911242507563,0.344444444444444,0.275091693635383,0.241111111111111,0.3,0.196666666666667,0.25,0.15,0.404360806609682,-0.1,-0.333333333333333,0.1,0.33714817519944,-0.324166666666667,-0.363364055299539
"TGF",0.533611111111111,0.54969696969697,0.593333333333333,0.526666666666667,0.46,0.44,0.443333333333333,0.3,0.227521414755457,0.393333333333333,0.333333333333333,0.220300901284508,0.207186147186147,0.263154761904762,0.339800514800515,0.464276729559748,0.315476190476191,0.258333333333333,0.203333333333333,0.153333333333333,0.31829822072153,0.233333333333333,0.38719298245614,0.343333333333333,0.273333333333333,0.222222222222222,-0.507068395626748,0.5589202474786,0.5589202474786,0.509785945582236,-0.514123048668503,0.40047619047619,0.343333333333333,0.343333333333333,0.343333333333333,-0.597484039227595,-0.372383358937981,-0.566639043326756,0.426778320983882,0.342264150943396,0.388316782522344,0.28,0.342264150943396,0.28,0.2,0.2,0.1,0.1,0.356084656084656,-0.2,-0.133333333333333,0,0.182147396598264,-0.231904761904762,-0.4
"cfos",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.242857142857143,0.318301698301698,0.37303602058319,0.3,0.0797864225781846,0.314545454545455,0.26,0.09160507781932,0.077088948787062,0.158556067588326,0.157675438596491,0.362155844155844,0.120833333333333,0.0833333333333333,0.10952380952381,0.0761904761904762,0.208020559930009,0.0333333333333333,0.212051282051282,0.17051282051282,0.116666666666667,0.202222222222222,-0.509936507936508,0.560496175871478,0.560496175871478,0.535426575656131,-0.531877013204303,0.345297748729121,0.303322440087146,0.303322440087146,0.303322440087146,-0.611110763228539,-0.309385587238848,-0.571971819030643,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.365387220650379,-0.138556067588326,-0.287532467532467
"CDC42",0.403776730204277,0.424446142093201,0.378991596638655,0.314285714285714,0.342857142857143,0.318301698301698,0.37303602058319,0.2,0.0797864225781846,0.314545454545455,0.26,0.09160507781932,0.077088948787062,0.158556067588326,0.157675438596491,0.362155844155844,0.120833333333333,0.0833333333333333,0.10952380952381,0.0761904761904762,0.208020559930009,0.0333333333333333,0.212051282051282,0.17051282051282,0.116666666666667,0.202222222222222,-0.509936507936508,0.560496175871478,0.560496175871478,0.535426575656131,-0.531877013204303,0.345297748729121,0.303322440087146,0.303322440087146,0.303322440087146,-0.611110763228539,-0.309385587238848,-0.571971819030643,0.427177771831237,0.364990253411306,0.398659253312719,0.328148148148148,0.365985985985986,0.328148148148148,0.28,0.28,0.2,0.2,0.39512315270936,0,-0.0333333333333333,0.1,0.365387220650379,-0.138556067588326,-0.287532467532467
"NOTCHic",0.421283739302172,0.441294614524119,0.396071684587814,0.331555555555555,0.255555555555556,0.331422597010832,0.39212962962963,0.2,0.183514492753623,0.32962962962963,0.266666666666667,0.0964499102896859,0.0799031476997579,0.172945766935537,0.172868217054264,0.380517322247095,0.133333333333333,0.0888888888888889,0.121794871794872,0.0833333333333333,0.221456469456469,0.0333333333333333,0.228372544263885,0.186267281105991,0.231428571428571,0.23010101010101,-0.515648723257419,0.570966183574879,0.570966183574879,0.528587808439883,-0.529869037189696,0.344745442746741,0.303451910408432,0.303451910408432,0.303451910408432,-0.62238821474823,-0.308033311168107,-0.581865225333433,0.411438223717395,0.350169185653057,0.383193948908235,0.314685314685315,0.350949050949051,0.314685314685315,0.269230769230769,0.269230769230769,0.2,0.2,0.38293501048218,0,-0.0333333333333333,0.1,0.352383955578064,-0.151206636500754,-0.299871794871795
"TCFLEF",0.617237922744345,0.605975289652751,0.578068312908565,0.547227191413238,0.507692307692308,0.435111987630214,0.512192250677696,0.422222222222222,0.200581780538302,0.486456956560049,0.460683760683761,0.182967181195225,0.173562190792154,0.281789048049211,0.310638353009585,0.431909157006911,0.290419773774612,0.271064935064935,0.24047619047619,0.216666666666667,0.282915750915751,0.235064935064935,0.3952389606249,0.370572293958234,0.345082097879802,0.209954337899543,-0.440433218742042,0.576663340844848,0.576663340844848,0.485120786042685,-0.438626912065706,0.41023692361407,0.38579835029835,0.38579835029835,0.38579835029835,-0.607642884782426,-0.357992058906401,-0.587785020527907,0.21087822783488,0.270326282129351,0.191015803071337,0.2411337355455,0.266388082567328,0.237457264957265,0.209509803921569,0.205833333333333,0.174509803921569,0.170833333333333,0.601418315018315,-0.171428571428571,-0.183333333333333,0.133333333333333,0.322761409505449,-0.260801393728223,-0.412920976394259
"PAK1",0.438498952426499,0.459610977258036,0.424446142093201,0.378991596638655,0.314285714285714,0.34700983227299,0.42200153782457,0.26,0.0989040696370081,0.37303602058319,0.314545454545455,0.106168184615437,0.09160507781932,0.181556067588326,0.186647401213314,0.394396281314314,0.157675438596491,0.120833333333333,0.138556067588326,0.10952380952381,0.233787431095653,0.0833333333333333,0.244647967134155,0.212051282051282,0.17051282051282,0.236222222222222,-0.55255945875618,0.600949250305135,0.600949250305135,0.570571503192363,-0.57083210028038,0.380752294183667,0.345297748729121,0.345297748729121,0.345297748729121,-0.652262741021738,-0.336027923005271,-0.612788145561255,0.451072799455547,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.38502604683548,-0.158556067588326,-0.318301698301698
"LIV1",0.438498952426499,0.459610977258036,0.424446142093201,0.378991596638655,0.314285714285714,0.34700983227299,0.42200153782457,0.26,0.0989040696370081,0.37303602058319,0.314545454545455,0.106168184615437,0.09160507781932,0.181556067588326,0.186647401213314,0.394396281314314,0.157675438596491,0.120833333333333,0.138556067588326,0.10952380952381,0.233787431095653,0.0833333333333333,0.244647967134155,0.212051282051282,0.17051282051282,0.236222222222222,-0.55255945875618,0.600949250305135,0.600949250305135,0.570571503192363,-0.57083210028038,0.380752294183667,0.345297748729121,0.345297748729121,0.345297748729121,-0.652262741021738,-0.336027923005271,-0.612788145561255,0.451072799455547,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.38502604683548,-0.158556067588326,-0.318301698301698
"EGR1",0.438498952426499,0.459610977258036,0.424446142093201,0.378991596638655,0.314285714285714,0.34700983227299,0.42200153782457,0.26,0.0989040696370081,0.37303602058319,0.314545454545455,0.106168184615437,0.09160507781932,0.181556067588326,0.186647401213314,0.394396281314314,0.157675438596491,0.120833333333333,0.138556067588326,0.10952380952381,0.233787431095653,0.0833333333333333,0.244647967134155,0.212051282051282,0.17051282051282,0.236222222222222,-0.55255945875618,0.600949250305135,0.600949250305135,0.570571503192363,-0.57083210028038,0.380752294183667,0.345297748729121,0.345297748729121,0.345297748729121,-0.652262741021738,-0.336027923005271,-0.612788145561255,0.451072799455547,0.397673180240574,0.427177771831237,0.364990253411306,0.398659253312719,0.365985985985986,0.328148148148148,0.328148148148148,0.28,0.28,0.432859001765963,-0.0333333333333333,-0.0761904761904762,0.2,0.38502604683548,-0.158556067588326,-0.318301698301698
"ZEB1",0.465120137431803,0.495364484178098,0.459931413311956,0.417799433616525,0.364176245210728,0.347052095304521,0.361371450748398,0.213636363636364,0.18460372960373,0.319315375982043,0.273636363636364,0.17856415442481,0.16606415442481,0.270739113827349,0.284706438226714,0.470806626937409,0.251849295369572,0.220701754385965,0.223106060606061,0.195833333333333,0.333846015388374,0.173333333333333,0.361548979095771,0.326838235294118,0.289583333333333,0.296394865570635,-0.552877562600551,0.605258973615972,0.605258973615972,0.526856009222824,-0.643198813120397,0.451934555457866,0.420181000955496,0.420181000955496,0.420181000955496,-0.646798439393736,-0.385489714839773,-0.624325691268721,0.497140855674135,0.450872070264829,0.475418742171199,0.420975163048334,0.449354912383965,0.419493801272854,0.384436701509872,0.38223889931207,0.338095238095238,0.335897435897436,0.48012547234277,-0.133333333333333,-0.158333333333333,0.266666666666667,0.398989690696108,-0.248596256684492,-0.319133313578632
"TGFR",0.578743854473943,0.598084066471163,0.54969696969697,0.593333333333333,0.526666666666667,0.477125748502994,0.489365079365079,0.333333333333333,0.242672929906972,0.443333333333333,0.393333333333333,0.233854014837621,0.220300901284508,0.291154761904762,0.373133848133848,0.507133872416891,0.339800514800515,0.315476190476191,0.231904761904762,0.203333333333333,0.349685082035398,0.258333333333333,0.431718529901396,0.38719298245614,0.343333333333333,0.267676767676768,-0.556159304717657,0.606248491753409,0.606248491753409,0.557030963167231,-0.564820723087108,0.447063727568179,0.40047619047619,0.40047619047619,0.40047619047619,-0.650364520740923,-0.408363507821355,-0.614258090945804,0.45803388643357,0.388070602556299,0.426778320983882,0.342264150943396,0.388316782522344,0.342264150943396,0.28,0.28,0.2,0.2,0.410591093852896,-0.233333333333333,-0.153333333333333,0.1,0.209936443251408,-0.263154761904762,-0.44
"Csl",0.455965820227028,0.476146550742798,0.441294614524119,0.396071684587814,0.331555555555555,0.360927547505882,0.440444236371203,0.266666666666667,0.205083120204604,0.39212962962963,0.32962962962963,0.112327347615591,0.0964499102896859,0.19708369797002,0.204118217054264,0.412943626101971,0.172868217054264,0.133333333333333,0.151206636500754,0.121794871794872,0.248018969456469,0.0888888888888889,0.261705877597219,0.228372544263885,0.186267281105991,0.261248551084617,-0.559934437543133,0.612632850241546,0.612632850241546,0.563464582151608,-0.568813184090997,0.379304266276152,0.344745442746741,0.344745442746741,0.344745442746741,-0.663880056240072,-0.334178067445803,-0.624097172817022,0.435193232303543,0.382427250169186,0.411438223717395,0.350169185653057,0.383193948908235,0.350949050949051,0.314685314685315,0.314685314685315,0.269230769230769,0.269230769230769,0.419695935932052,-0.0333333333333333,-0.0833333333333333,0.2,0.371286394602454,-0.172945766935537,-0.331422597010832
"SMAD",0.497692716640085,0.51596066679406,0.47836066679406,0.431991951710262,0.371428571428571,0.396816831298126,0.462764200973156,0.304761904761905,0.227977981050607,0.414505494505495,0.358095238095238,0.117480523984104,0.203399378399378,0.300922828032493,0.310371978769136,0.432809039400676,0.276143790849673,0.238888888888889,0.250833333333333,0.220833333333333,0.353569454275795,0.205555555555556,0.365450382378532,0.329195402298851,0.286666666666667,0.265026543781588,-0.575333164186459,0.627399811928114,0.627399811928114,0.575493431855501,-0.580274258493682,0.46314071020563,0.427614394416157,0.427614394416157,0.427614394416157,-0.674465300288104,-0.372244943060981,-0.637517198248906,0.448804223135003,0.394422483990829,0.424362032465632,0.35989010989011,0.395189712248536,0.360644257703081,0.321428571428571,0.321428571428571,0.271428571428571,0.271428571428571,0.428696207957508,-0.15,-0.183333333333333,0.2,0.281242348387229,-0.276759259259259,-0.366729874776386
"SNAI1",0.468856095283642,0.490450208805053,0.459610977258036,0.424446142093201,0.378991596638655,0.273325621746674,0.457886705288685,0.314545454545455,0.116516009935516,0.42200153782457,0.37303602058319,0.117500687728762,0.106168184615437,0.203345950856808,0.216717331283244,0.423143714579201,0.186647401213314,0.157675438596491,0.158556067588326,0.138556067588326,0.257226771496124,0.120833333333333,0.275795508117762,0.244647967134155,0.212051282051282,0.258229944229944,-0.589236574743641,0.635517151539703,0.635517151539703,0.600292135975937,-0.603334696334378,0.40931196496556,0.380752294183667,0.380752294183667,0.380752294183667,-0.687578338309166,-0.358257518227567,-0.64850243127554,0.470721196559993,0.426375191209496,0.451072799455547,0.397673180240574,0.427177771831237,0.398659253312719,0.364990253411306,0.365985985985986,0.328148148148148,0.328148148148148,0.464793733700695,-0.0833333333333333,-0.10952380952381,0.28,0.400974441016101,-0.181556067588326,-0.34700983227299
"GLI",0.498825597339008,0.616579202369911,0.577572110171329,0.530402298850575,0.468333333333333,0.408576037149616,0.543194089229895,0.388888888888889,0.153084815603991,0.496135265700483,0.445410628019324,0.156283792674969,0.143004659883641,0.323906183303534,0.238626703616935,0.427795709969441,0.206343239050006,0.175730994152047,0.273339598997494,0.247023809523809,0.276144161303414,0.138888888888889,0.291130345758295,0.254288240495137,0.214288240495137,0.244551495016611,-0.586816816816817,0.636427400289789,0.636427400289789,0.590433496058152,-0.591317430467943,0.473061311063888,0.435089144065876,0.435089144065876,0.435089144065876,-0.675632745370576,-0.424335718654434,-0.647161632243734,0.473660612015689,0.41538939803787,0.447628296037233,0.478368121442125,0.415810114219051,0.37874114870181,0.434838709677419,0.334838709677419,0.38,0.28,0.445668780193237,-0.0833333333333333,-0.20952380952381,0.2,0.34781613721347,-0.299112794873782,-0.37713587487781
