states,flag,Avg0,SD0,frust0
'101101111011110001111001011001111011111111111101101111110101111011110110',1,0.0005333333333333333,0.0001247219128924647,0.14788732394366197
'001101011000110111111111100110101000001011111001101111111001111111110110',1,0.0003,8.164965809277261e-5,0.1619718309859155
'010010000111001000000100100110000100000000011010010000000010000100001001',1,0.0005,8.164965809277258e-5,0.09859154929577464
'101101110011110001000011000111111011101111100111100101111111111001110110',1,0.00019999999999999998,8.16496580927726e-5,0.15492957746478872
'101111111011110001111011111001111011111111111101101111110101111011110110',1,0.0005333333333333333,9.42809041582063e-5,0.09154929577464789
'010101011111110110111111100110100000001011111001101111111000110111100010',1,0.00016666666666666666,9.428090415820633e-5,0.2746478873239437
'001111011000110111111111011000101000011011111001101111111001111111110110',1,0.0004666666666666666,0.0001247219128924647,0.14788732394366197
'001010000011001000000100100110001100000000000010010000001011000100011101',1,0.0003,0.00016329931618554522,0.16901408450704225
'101001110011110111000001111001111011111111011111100101111111001001110110',1,0.0003333333333333333,0.00012472191289246472,0.1619718309859155
'101101110011110111000011100001111011101111100111100101111111111001110110',1,0.0005,0.00024494897427831784,0.14788732394366197
'010000000100001110000110100110000100000000011010010000001010000100001001',1,0.00023333333333333333,0.00012472191289246472,0.14084507042253522
'110111111100110111111011111001110011111111111101101111110100111011100010',1,0.0005666666666666666,0.0001699673171197595,0.16901408450704225
'010010001111001110111100111110000100010000000000011010001000000110001001',1,0.0004333333333333333,0.0001247219128924647,0.176056338028169
'110101111100110111111011011111110011111111111101101111111100111011100010',1,0.0005666666666666667,0.00016996731711975952,0.14788732394366197
'001000001000001000111100100110001100000000000000011010001001000110011101',1,0.0006666666666666666,0.00012472191289246472,0.176056338028169
'001000000000001000000100000000001100000000011010010000000011000100011101',1,0.00023333333333333333,4.714045207910315e-5,0.14788732394366197
'010000001100001000111100111110000100010000000000011010000000000110001001',1,0.0003333333333333333,0.00026246692913372703,0.13380281690140844
'110010101111000000111000011001010011110100000100001011000100000011100000',1,0.00016666666666666666,4.714045207910317e-5,0.28169014084507044
'101001110011111110000001100001111111101111011111110100011111000000011111',1,0.0003333333333333333,0.00018856180831641265,0.20422535211267606
'110000100100001000000000011111010011110100011110000001000110000001101000',0,0.00013333333333333334,4.7140452079103176e-5,0.24647887323943662
'110111111111110001111011011111110011111111111101101111110100111011100010',1,0.0004333333333333333,0.0001247219128924647,0.1619718309859155
'101111110000110001000011000001111011101111111111100101110111111001110110',1,0.00039999999999999996,0.0001414213562373095,0.16901408450704225
'110010100111001000000000100111010111100100000110010000000110000000001001',1,0.0004333333333333333,0.0001247219128924647,0.15492957746478872
'001010000000001110000100000000001100000000000010010000001011000100011101',1,0.0006,0.0001414213562373095,0.176056338028169
'110111111100110111111011111111110011111111111101101111111100111011100010',1,0.0008,0.0001414213562373095,0.14788732394366197
'010000000100001110000100011110000100010000000010010000001010000100001001',1,0.00039999999999999996,8.164965809277262e-5,0.11971830985915492
'110101111111110111111011111111110011111111100101101111111100111011100010',1,0.0005,0.00016329931618554522,0.15492957746478872
'010010000100001000000110000000000100000000011010010000000010000100001001',1,0.0003,0.0001414213562373095,0.1056338028169014
'101101111000110001111011100001111011101111111101101111110101111011110110',1,0.0003333333333333333,0.00016996731711975952,0.1267605633802817
'101101110000110001000011111111111011111111111111100101111111111001110110',1,0.0003333333333333333,0.0001699673171197595,0.11971830985915492
'001101010000110001000111111000101000011011111011100101110011111101110110',1,0.0006333333333333333,0.0001699673171197595,0.18309859154929578
'001111011000110111111111000110101000001011100001101111111001111111110110',1,0.0002666666666666667,9.428090415820634e-5,0.176056338028169
'010000000100001000000100011110000100010000011010010000000010000100001001',1,0.0004333333333333333,0.0001247219128924647,0.09859154929577464
'101111110011110001000011011111111011111111100111100101111111111001110110',1,0.0004333333333333333,9.428090415820635e-5,0.11971830985915492
'101111111000110001111011000001111011101111111101101111110101111011110110',1,0.0003333333333333333,9.428090415820634e-5,0.1267605633802817
'110010101100000000111000111001010011110100000100001011000100000011100000',1,0.00013333333333333334,4.7140452079103176e-5,0.2746478873239437
'001001010000001000000101000110001100001011011011110000011011000100011101',0,0.00013333333333333334,4.7140452079103176e-5,0.19718309859154928
'101000100000001000000000000001011111100100000110010000000111000000011101',1,0.0004333333333333333,9.428090415820635e-5,0.20422535211267606
'010010000111001000000110100000000100000000011010010000000010000100001001',1,0.00036666666666666667,0.00023570226039551582,0.1267605633802817
