states,Avg0,SD0,frust0
'101111111011110001011011011111111111111111100111101101110111111011100110',,,0.1267605633802817
'010000000000001000000100111110000000010000000010010000001010000100011001',,,0.14084507042253522
'011101001100000111111101011000111111110011100000001111100101111111100100',,,0.22535211267605634
'100000110000111000000000100111010111101100000111110000111110000000011011',0.0001,0.0,0.19014084507042253
'011101001111000001111111000000101000000011111000001111100001111111100100',,,0.19718309859154928
'110101110111110001000011100111111111101111111111100101111110111001110010',0.00013333333333333334,4.7140452079103176e-5,0.18309859154929578
'010010000111001110000100000110000000000000011010010000010010000100001001',0.0002666666666666667,0.0001699673171197595,0.11267605633802817
'000000000011001000000100011000010111110000000010010000000110000100001001',0.00023333333333333336,0.00012472191289246472,0.09859154929577464
'010000000100001110000100000000000000000000011010010000000010000100001001',0.0008666666666666666,0.0002054804667656326,0.07746478873239436
'000000000000001110000100011000010111110000011010010000000110000100001001',0.0003333333333333333,0.0001699673171197595,0.11267605633802817
'101111111000110111111011111001101000011111100101101111101001111011110110',0.0005666666666666666,0.00020548046676563257,0.1056338028169014
'010001000111000110000101111000000000010000000110110000001011000100010001',,,0.2676056338028169
'111101011111110111011111011001111111111011111111101101110111111111100110',,,0.18309859154929578
'111111011111110000111001000111111111101011100101101111110101110110000111',,,0.2112676056338028
'000000100011001110000100100000000000000100000000010000001010000000011001',,,0.14084507042253522
'001111001000000001111111000000111111100011111000001111100101111111100100',0.0003,8.164965809277261e-5,0.2112676056338028
'110000110111111000000000100111000000001100000111110000111010000000011011',,,0.2112676056338028
'010010000100001000000100011110010111110000000010010000000110000100001001',,,0.11267605633802817
'110000110111111110000000111111010111111100011111110000011110000100011011',,,0.16901408450704225
'101101111011110111111011100001101000001111100101101111101001111111110110',,,0.15492957746478872
'000010001000001000100100011110000000010000000000011010000000000100001101',,,0.1619718309859155
'010010000000001001000110011000000000010000000010010000000010001101101000',,,0.1619718309859155
'110101110111110111000111111111101000011111111111100101111010111101110010',,,0.19718309859154928
'101111111011110111111011011111111111111111111101101111110101111011100110',0.0006666666666666666,0.0001699673171197595,0.1056338028169014
'101111111000010001111011111001111111111111100101101111101101111011110110',0.0001,0.0,0.11971830985915492
'010010000100001000000100011110010111110000011010010000010110000100001001',0.00036666666666666667,0.00012472191289246472,0.14084507042253522
'101101111000110001111011111001111111111111100101101111101101111011110110',0.0004666666666666666,0.00018856180831641262,0.11267605633802817
'000000000000001000000100011000000000010000000010010000000010000100001001',0.0003333333333333333,0.0001699673171197595,0.07042253521126761
'111101111111110111111011011111101000011111111101101111110001111011100110',0.0003333333333333333,4.714045207910319e-5,0.1056338028169014
'010010000100001110000110000000000000000000011010010000000010000101101000',0.0002,0.0,0.14788732394366197
'000010100000001110000100111000010111110100000011010000001110000000011001',,,0.176056338028169
'010000000100001000000100000000000000000000000010010000000010000100001001',0.0007333333333333333,0.00023570226039551582,0.04929577464788732
'010011000100001110000111000000111111100011011010010000000110000101101000',,,0.2323943661971831
'101101110011110001001011111001111111111111100101101101111111111011110110',,,0.13380281690140844
'011101001111000111111111011000111111110011100000001111100101111111100100',0.0002666666666666667,0.0001699673171197595,0.19718309859154928
'010010000011001000000100000000010111100000011010010000000110000100001001',,,0.1056338028169014
'011111000111000111111111011000111111110011100000001111000111111111100000',,,0.23943661971830985
'010010000100001110000110000110010111100000000010010000010110000101101000',0.0003333333333333333,9.428090415820634e-5,0.19014084507042253
'010000000100001000000110000110010111100000011010010000010110000101101000',0.0001,0.0,0.18309859154929578
'110010110111111000000000111001010111111100011111110000011110000000011011',0.0005333333333333333,9.42809041582063e-5,0.20422535211267606
'001110001000001110111110000000000000000000000000011010100001110110001101',,,0.22535211267605634
'001000001011001000111100011000010111110000000000011010100101000110001101',,,0.20422535211267606
