"","AXIN2","STAT","SRC","DSH","CD44","RAF","PI3K","DELTA","cMet","Frizzled","GLI","Wnt","Ecadherin","NOTCH","ZEB2","ZEB1","NOTCHic","MEK","Jagged","cateninmemb","EGR1","SOSGRB2","HEY1","ILK","SMO","IKK","SMAD","FUS","SHH","FOXC2","PAK1","NFB","CDC42","miR200","Patched","AKT","TGF","KLF4","TGFR","TWIST1","RKIP","Csn","SUFU","SNAI1","cfos","ERK","Csl","TrCP","RAS","TCFLEF","cateninnuc","LIV1","SNAI2","Destcompl","GSK3"
"Csl",0.187021070606704,0.152307692307692,0.137156177156177,0.152307692307692,0.135900290186004,0.0746852547752098,0.0746852547752098,0.0746852547752098,0.133859473859474,0.137156177156177,0.138500263177683,0.136080908338973,0.0659215264846275,0.154684364871122,0.0427391215380646,0.0427391215380646,0.146502546689304,0.168788819875776,0.130575402798085,0.0282766015392424,0.14,0.068084957404598,0.130127440050714,0.0503562863994519,0.00863499245852188,-0.0180878552971576,0.0353562863994519,0.0262820512820513,0.0350431684610184,0.0484464976201827,-0.0102222222222222,-0.0111111111111111,0.0328028673835125,-0.0307301279827632,-0.0246983408748115,0.0421188630490956,-0.0309656993952982,-0.06608005521049,-0.0398092368102641,-0.017878938818509,-0.00389544132826966,-0.0777777777777778,-0.0583333333333333,-0.00416967895228765,-0.161428571428571,-0.178571428571429,-0.143870967741935,-0.133333333333333,-0.076891137128151,-0.137274335987531,-0.136874107285416,-0.16,-0.277263200732207,-0.174264345609354,-0.0738668139001009
"SNAI1",0.168016082811138,0.131481481481481,0.123373373373373,0.131481481481481,0.127575793615398,0.0202709544029487,0.0202709544029487,0.0202709544029487,0.125353571393175,0.126218323586745,0.129937055472418,0.128657347976989,0.0732807653647273,0.123568812140241,0.0484218134581199,0.0484218134581199,0.119487179487179,0.140787391513637,0.103122927442961,0.0547700831746661,0.13304347826087,0.0530637025966748,0.0221930001385862,0.0365335381464414,-0.0305029299652955,-0.0572855750487329,0.0218963917749777,0.00529953917050693,0.0328233183148101,0.0613986513468793,-0.0492997198879552,-0.031359649122807,0.0599057804940158,-0.0238127032844455,-0.0435029299652955,0.0670077972709552,-0.0461487295509522,-0.0543579028261118,-0.0528019553574038,-0.00579861442904921,0.00432981514120699,-0.0208333333333333,0.0214285714285714,-0.0812743711686353,-0.155077376565954,-0.148410709899288,-0.111794871794872,-0.0833333333333333,-0.0201067507904692,-0.127024069477467,-0.125423656467658,-0.15,-0.269902209094638,-0.153498816630095,-0.0113775181089538
"TrCP",0.167083681878737,0.15,0.131481481481481,0.15,0.125353571393175,0.0198164089484032,0.0198164089484032,0.0198164089484032,0.123373373373373,0.131481481481481,0.128657347976989,0.126218323586745,0.074165260682105,0.119487179487179,0.0500208294482798,0.0500208294482798,0.111794871794872,0.148410709899288,0.107593515678255,0.0561172334337335,0.12,0.054950495049505,0.0352882382338243,0.0526625704045059,0.00529953917050693,-0.031359649122807,0.0365335381464414,0.0214285714285714,0.0435029299652955,0.0691496043329022,-0.0238095238095238,-0.0208333333333333,0.0492997198879552,-0.0329385438223897,-0.0305029299652955,0.0572855750487329,-0.0528019553574038,-0.0727379651314078,-0.0599057804940158,-0.00118322981366459,0.0118611958943451,-0.0833333333333333,-0.0619047619047619,0.0123199348811868,-0.13304347826087,-0.155077376565954,-0.11025641025641,-0.133333333333333,-0.0202709544029487,-0.127575793615398,-0.127024069477467,-0.15,-0.270203918782871,-0.153663290314306,-0.0135557359307359
"PAK1",0.167083681878737,0.15,0.131481481481481,0.15,0.125353571393175,0.0198164089484032,0.0198164089484032,0.0198164089484032,0.123373373373373,0.131481481481481,0.128657347976989,0.126218323586745,0.074165260682105,0.119487179487179,0.0500208294482798,0.0500208294482798,0.111794871794872,0.148410709899288,0.107593515678255,0.0561172334337335,0.12,0.054950495049505,0.0352882382338243,0.0526625704045059,0.00529953917050693,-0.031359649122807,0.0365335381464414,0.0214285714285714,0.0435029299652955,0.0691496043329022,-0.0238095238095238,-0.0208333333333333,0.0492997198879552,-0.0329385438223897,-0.0305029299652955,0.0572855750487329,-0.0528019553574038,-0.0727379651314078,-0.0599057804940158,-0.00118322981366459,0.0118611958943451,-0.0833333333333333,-0.0619047619047619,0.0123199348811868,-0.13304347826087,-0.155077376565954,-0.11025641025641,-0.133333333333333,-0.0202709544029487,-0.127575793615398,-0.127024069477467,-0.15,-0.270203918782871,-0.153663290314306,-0.0135557359307359
"LIV1",0.167083681878737,0.15,0.131481481481481,0.15,0.125353571393175,0.0198164089484032,0.0198164089484032,0.0198164089484032,0.123373373373373,0.131481481481481,0.128657347976989,0.126218323586745,0.074165260682105,0.119487179487179,0.0500208294482798,0.0500208294482798,0.111794871794872,0.148410709899288,0.107593515678255,0.0561172334337335,0.12,0.054950495049505,0.0352882382338243,0.0526625704045059,0.00529953917050693,-0.031359649122807,0.0365335381464414,0.0214285714285714,0.0435029299652955,0.0691496043329022,-0.0238095238095238,-0.0208333333333333,0.0492997198879552,-0.0329385438223897,-0.0305029299652955,0.0572855750487329,-0.0528019553574038,-0.0727379651314078,-0.0599057804940158,-0.00118322981366459,0.0118611958943451,-0.0833333333333333,-0.0619047619047619,0.0123199348811868,-0.13304347826087,-0.155077376565954,-0.11025641025641,-0.133333333333333,-0.0202709544029487,-0.127575793615398,-0.127024069477467,-0.15,-0.270203918782871,-0.153663290314306,-0.0135557359307359
"EGR1",0.167083681878737,0.15,0.131481481481481,0.15,0.125353571393175,0.0198164089484032,0.0198164089484032,0.0198164089484032,0.123373373373373,0.131481481481481,0.128657347976989,0.126218323586745,0.074165260682105,0.119487179487179,0.0500208294482798,0.0500208294482798,0.111794871794872,0.148410709899288,0.107593515678255,0.0561172334337335,0.12,0.054950495049505,0.0352882382338243,0.0526625704045059,0.00529953917050693,-0.031359649122807,0.0365335381464414,0.0214285714285714,0.0435029299652955,0.0691496043329022,-0.0238095238095238,-0.0208333333333333,0.0492997198879552,-0.0329385438223897,-0.0305029299652955,0.0572855750487329,-0.0528019553574038,-0.0727379651314078,-0.0599057804940158,-0.00118322981366459,0.0118611958943451,-0.0833333333333333,-0.0619047619047619,0.0123199348811868,-0.13304347826087,-0.155077376565954,-0.11025641025641,-0.133333333333333,-0.0202709544029487,-0.127575793615398,-0.127024069477467,-0.15,-0.270203918782871,-0.153663290314306,-0.0135557359307359
"RKIP",-0.174847632442569,-0.1,-0.133333333333333,-0.1,-0.13859649122807,-0.211038961038961,-0.211038961038961,-0.211038961038961,-0.13859649122807,-0.133333333333333,-0.133333333333333,-0.133333333333333,-0.0788573242986538,0.0185703185703186,0.0563538976566236,0.0563538976566236,0.0262626262626263,0.0561261922230374,0.0606395019807583,-0.0368955510131981,0.1,-0.0212698412698413,0.104258614014712,0.119651262302097,-0.106666666666667,-0.123214285714286,0.10281957913378,-0.0666666666666667,0.134863387978142,0.176201002063071,-0.133333333333333,-0.0857142857142857,0.18,-0.00428345385782858,-0.126666666666667,0.150487012987013,-0.188589230084557,-0.0603538976566236,-0.18952380952381,0.225421865715983,0.0829131652661065,-0.1,-0.1,0.210403226540664,-0.1,-0.096551724137931,-0.0444444444444444,-0.1,0.215312465312465,0.140694393325972,0.144511187219102,0,-0.231585650171941,0.380174508827921,0.334278959810875
"RAF",-0.174847632442569,-0.1,-0.133333333333333,-0.1,-0.13859649122807,-0.211038961038961,-0.211038961038961,-0.211038961038961,-0.13859649122807,-0.133333333333333,-0.133333333333333,-0.133333333333333,-0.0788573242986538,0.0185703185703186,0.0563538976566236,0.0563538976566236,0.0262626262626263,0.0561261922230374,0.0606395019807583,-0.0368955510131981,0.1,-0.0212698412698413,0.104258614014712,0.119651262302097,-0.106666666666667,-0.123214285714286,0.10281957913378,-0.0666666666666667,0.134863387978142,0.176201002063071,-0.133333333333333,-0.0857142857142857,0.18,-0.00428345385782858,-0.126666666666667,0.150487012987013,-0.188589230084557,-0.0603538976566236,-0.18952380952381,0.225421865715983,0.0829131652661065,-0.1,-0.1,0.210403226540664,-0.1,-0.096551724137931,-0.0444444444444444,-0.1,0.215312465312465,0.140694393325972,0.144511187219102,0,-0.231585650171941,0.380174508827921,0.334278959810875
"GLI",0.162380736714976,0.15,0.12741935483871,0.22,0.12268848856453,0.0723250618698822,0.0723250618698822,0.0723250618698822,0.120102281667978,0.19741935483871,0.0968686664782591,0.193889943074004,0.0843925586048156,0.115412403688266,0.0566696535244922,0.0566696535244922,0.105888594164456,0.0944594723876492,0.103784794055525,0.0618282318751713,0.0771428571428571,0.0509565950273915,0.0374740614978306,0.0566966253722347,0.0920426065162907,-0.0166129609738632,0.0366966253722347,0.113095238095238,-0.042155985201098,0.111837267801858,0.0316666666666667,0.00175438596491228,-0.00408045977011495,-0.0489430590049785,0.0532670963122091,0.0447379609738632,0.00209451822368505,-0.0783826683826684,-0.00661136412925612,0.0304020814122682,0.0680610187561528,-0.0666666666666667,0.0380952380952381,0.0621547344213782,-0.0854761904761905,-0.10495670995671,-0.105888594164456,-0.1,-0.0725230816718624,-0.125285891161932,-0.124030661036409,-0.15,-0.259488159335825,-0.113717699376699,0.109655070289533
"cateninnuc",-0.295446873129847,-0.142424242424242,-0.142424242424242,-0.142424242424242,-0.142320722755505,-0.266230571230571,-0.266230571230571,-0.266230571230571,-0.143511198945982,-0.141054379410544,-0.140955565181295,-0.142141335932283,0.0193130386673682,-0.287415144746639,0.0598632386271937,0.0598632386271937,-0.287415144746639,-0.101392929213513,-0.145332972510924,0.133723025663121,-0.103623188405797,0.0436941012595303,0.0194880819068949,-0.0136378066378066,-0.100528233151184,-0.246045454545455,-0.0156841913581341,-0.0988888888888889,0.103415958289548,0.172081585081585,-0.158857142857143,-0.242045454545455,0.163472527472527,0.00882377553510193,-0.103633823213296,0.249951704545455,-0.164265580727559,-0.0252866745749308,-0.164047240116206,0.174473225344686,0.147450875840454,-0.220833333333333,-0.0888888888888889,0.13961514881942,0.0988612836438924,0.101392929213513,0.286252354048964,-0.233333333333333,0.267240672240672,0.141648579364915,0.0418418961282404,0.142424242424242,0.222051326697233,0.258222177024953,0.260761489774982
"SOSGRB2",-0.169045654565457,-0.1,-0.142857142857143,-0.1,-0.13416149068323,-0.337476459510358,-0.337476459510358,-0.337476459510358,-0.138509316770186,-0.142857142857143,-0.130175983436853,-0.13452380952381,-0.0656926564610803,-0.156613808726485,0.0614786967418546,0.0614786967418546,-0.160839160839161,-0.027943527943528,-0.024846438647474,-0.0307179127179127,0.00476190476190476,0.0986111111111111,0.122064393939394,0.0333333333333333,-0.0166666666666667,-0.23625730994152,0.0102564102564103,0.0333333333333333,0.0440708150010476,0.144847374847375,-0.121428571428571,-0.188888888888889,0.161428571428571,0.00213978026690885,-0.0463963963963964,0.265423976608187,-0.157473306835009,-0.0671929824561404,-0.165274725274725,0.177768115942029,0.0432017543859649,-0.2,0,0.145507462686567,-0.0158730158730159,-0.00235950235950235,0.145454545454545,-0.2,0.34004056207446,0.135214122262177,0.140376646162751,0,-0.146857601360679,0.337156542190099,0.318489588952422
"MEK",-0.178451236046173,-0.133333333333333,-0.13859649122807,-0.133333333333333,-0.140694393325972,-0.215312465312465,-0.215312465312465,-0.215312465312465,-0.13859649122807,-0.133333333333333,-0.135431235431235,-0.133333333333333,-0.0781287268487449,0.0163805375484208,0.06270310400583,0.06270310400583,0.0185703185703186,-0.0455404744436292,0.0524427806692829,-0.0359199412571005,0.1,-0.0168253968253968,0.0933495231056207,0.10281957913378,-0.126666666666667,-0.150487012987013,0.0980225311633002,-0.106666666666667,0.123752276867031,0.178903704765774,-0.18,-0.123214285714286,0.18952380952381,-0.000258686055970998,-0.134863387978142,0.165781130634072,-0.190779011106455,-0.0544715447154471,-0.188589230084557,0.227985968280086,0.0868605336871591,-0.0857142857142857,-0.0666666666666667,0.223864765002203,-0.096551724137931,-0.0561261922230374,-0.0262626262626263,-0.1,0.222614052614053,0.144511187219102,0.147299291308321,0.1,-0.230125796157343,0.385195429330013,0.340912866444781
"SHH",0.276190476190476,0.1,0.1,0.2,0.15,0.25,0.25,0.25,0.1,0.2,0.25,0.2,0.0241666666666667,0.266666666666667,0.075,0.075,0.2,0.16,0.202857142857143,-0.107240143369176,0,-0.05,0.133333333333333,0.133333333333333,0.1,0.1,0.116666666666667,0,-0.08,0.05,0,0,-0.0333333333333333,-0.05,0,-0.05,0.0733333333333333,-0.15,0.0333333333333333,-0.075,0,0,0,0,-0.1,-0.1,-0.1,0,-0.242307692307692,-0.17,-0.17,0,-0.277471264367816,-0.261558441558442,-0.223076923076923
"RAS",-0.0545718050065876,-0.1,-0.05,-0.1,-0.0302252816020025,-0.304102564102564,-0.304102564102564,-0.304102564102564,-0.0323529411764706,-0.05,-0.0323529411764706,-0.0323529411764706,0.10004438490372,-0.168818272095333,0.0994256259204713,0.0994256259204713,-0.163157894736842,-0.0450670794633643,-0.0421170904790065,0.083221657350406,0.02,0.118614718614719,0.0960474308300395,-0.0164502164502164,-0.05,-0.233333333333333,-0.0266542980828695,0,-0.0102033898305085,0.124761904761905,-0.18,-0.2,0.16,0.0705230769230769,-0.022,0.222222222222222,-0.131578334304019,-0.0757142857142857,-0.130588235294118,0.102356792144026,0.145861635220126,-0.1,0.1,0.0934808259587021,0.03,0.0352631578947368,0.2,-0.1,0.204102564102564,0.0394560508327717,0.0442719148554346,0,0.136508952707312,0.141931151814873,0.115891472868217
"TWIST1",-0.209719312945119,-0.147619047619048,-0.158730158730159,-0.147619047619048,-0.162062637581735,-0.19268840630637,-0.19268840630637,-0.19268840630637,-0.160857818304627,-0.158730158730159,-0.162688053467001,-0.161888053467001,-0.122195740351801,-0.203394076224265,0.101835168501835,0.101835168501835,-0.193960113960114,0.0181236836412901,-0.151735834824428,-0.0416043852125982,0.00666666666666668,0.056963758336756,-0.0206059477245918,-0.0517472017472017,-0.0626666666666667,-0.0836996336996337,-0.0441564426712941,-0.0666666666666667,0.0570792451132555,0.236066727720891,-0.22,-0.0884615384615385,0.226896551724138,0.0567442266708591,-0.0585570776255708,0.0870894642081083,-0.243502474275391,-0.0855951636439441,-0.236896551724138,0.169148096691003,0.0912213455691716,-0.05,-0.0333333333333333,0.101721591025562,-0.0110144927536232,-0.0136460717009916,0.183703703703704,0,0.195428132333767,0.164359727933956,0.164417232246779,0.133333333333333,-0.17294112454534,0.19583748241878,0.194434862469578
"IKK",0.155952380952381,0.1,0.111111111111111,0.1,0.128034188034188,-0.0859044162129462,-0.0859044162129462,-0.0859044162129462,0.126495726495726,0.111111111111111,0.128034188034188,0.126495726495726,0.167727151564198,0.0454545454545455,0.130265664160401,0.130265664160401,0.0597402597402597,0.0357460317460317,0.147085285848172,0.089750556705864,0,0.00609243697478991,0.150670794633643,0.146527777777778,-0.18,-0.259523809523809,0.163359460946095,-0.16,0.115121328224776,0.0529004329004329,-0.05,-0.142857142857143,0.0388888888888889,-0.0105797101449275,-0.139259259259259,0.240604890604891,-0.0337979797979798,-0.108424908424908,-0.0297979797979798,-0.114313725490196,0.0980874316939891,-0.1,-0.1,0.10714588634436,-0.0428571428571429,-0.0468571428571429,-0.0454545454545455,0,0.0859044162129462,-0.120689555265826,-0.117735968767936,-0.1,0.152302354731847,0.127055567075506,0.242344322344322
"NFB",0.153824721377913,0.111111111111111,0.126495726495726,0.111111111111111,0.120689555265826,-0.0859044162129462,-0.0859044162129462,-0.0859044162129462,0.128034188034188,0.126495726495726,0.12129261500048,0.128034188034188,0.168690233426156,0.0383577712609971,0.135246507072278,0.135246507072278,0.0454545454545455,0.0377068160597572,0.148524134769036,0.0934464384376486,0.0428571428571429,0.00503980539584255,0.161385080347929,0.163359460946095,-0.139259259259259,-0.240604890604891,0.183062063176578,-0.18,0.124759882441644,0.0628605922629827,-0.0388888888888889,-0.259523809523809,0.0297979797979798,-0.0211537282718158,-0.115121328224776,0.231716001716002,-0.0413929165068406,-0.131501831501832,-0.0337979797979798,-0.105107376283847,0.105779739386297,-0.142857142857143,-0.16,0.103584242508743,-0.0468571428571429,-0.0357460317460317,-0.0597402597402597,-0.1,0.0903820281532447,-0.117735968767936,-0.118441851120877,-0.1,0.153318614894449,0.131540616909393,0.245873734109028
"Csn",-0.111570664148568,-0.05,-0.0603448275862069,-0.05,-0.085972672298389,-0.401826525375117,-0.401826525375117,-0.401826525375117,-0.0784171167428334,-0.0603448275862069,-0.0840939726380299,-0.0784171167428334,0.111416562084291,-0.117721167721168,0.144438378825476,0.144438378825476,-0.11002886002886,0.048728354978355,0.0471854749959857,0.108748425180732,0.05,0.127930358584112,0.0721013289036545,0.0695794513457557,-0.052958152958153,-0.220833333333333,0.0796051582866297,-0.0984126984126984,0.0923464836473827,0.331558670297792,-0.281818181818182,-0.241666666666667,0.295251017639077,-0.0185577745520201,-0.0669366475818089,0.237633333333333,-0.334495861895855,-0.149539610716081,-0.320892043280103,0.2059061866916,0.220429368780925,-0.25,-0.142857142857143,0.212187630210974,-0.0318181818181818,-0.0383116883116883,0.0853535353535354,-0.1,0.411615392937497,0.0869373025234694,0.0872379639786708,0.0666666666666667,-0.0859853932577249,0.413328263391573,0.511561104117181
"AKT",-0.191477050025786,-0.111111111111111,-0.124154589371981,-0.111111111111111,-0.149552242566244,-0.372472988199016,-0.372472988199016,-0.372472988199016,-0.141077666295058,-0.124154589371981,-0.14834023612746,-0.141077666295058,0.0888835197099727,-0.179688918477274,0.172251317851482,0.172251317851482,-0.167493796526055,0.00355868431622493,-0.00403973509933775,0.11872264511194,0.019047619047619,0.155641025641026,0.0835918370236964,0.0729146058423369,-0.0858974358974359,-0.331523378582202,0.082005514933246,-0.116666666666667,0.117388663967611,0.345410721926768,-0.294117647058824,-0.33921568627451,0.318117647058824,-0.0143486850574604,-0.0942307692307692,0.246674893733717,-0.355894278601574,-0.173211875843455,-0.341694882831181,0.232728012878019,0.237280430566876,-0.333333333333333,-0.15,0.225972933541583,-0.00140056022408963,0.000238784038205448,0.138461538461538,-0.3,0.382834433982148,0.151820283803357,0.15212797611105,0.1,-0.0439657117887965,0.436542274599068,0.420830230104424
"ILK",-0.180285714285714,-0.1,-0.111111111111111,-0.1,-0.141077666295058,-0.356034632034632,-0.356034632034632,-0.356034632034632,-0.124154589371981,-0.111111111111111,-0.141077666295058,-0.124154589371981,0.0887320045584576,-0.167493796526055,0.176360906892578,0.176360906892578,-0.138461538461538,-0.000238784038205448,-0.01,0.115154857140482,0.0333333333333333,0.142307692307692,0.0587798069485084,0.0465146058423369,-0.116666666666667,-0.33921568627451,0.0729146058423369,-0.15,0.0942307692307692,0.331876887340302,-0.3,-0.333333333333333,0.294117647058824,-0.0047230166082625,-0.0858974358974359,0.331523378582202,-0.341694882831181,-0.155263157894737,-0.318117647058824,0.225694373734288,0.231690368455074,-0.3,-0.1,0.229231078904992,-0.019047619047619,-0.00140056022408963,0.1,-0.2,0.372472988199016,0.149552242566244,0.151820283803357,0.1,-0.0440662143013593,0.430007948709903,0.411556036556037
"Wnt",-0.155757575757576,-0.1,-0.1,0,-0.115789473684211,-0.397744360902256,-0.397744360902256,-0.397744360902256,-0.1,0,-0.115789473684211,-0.1,0.128370986474842,-0.147619047619048,0.182687709230033,0.182687709230033,-0.114285714285714,-0.00431372549019608,0.0106862745098039,0.130169491525424,0,0.142424242424242,0.0748717948717949,0.0615384615384615,-0.15,-0.26,0.0731663685152057,-0.1,0.0989177489177489,0.354008097165992,-0.3,-0.2,0.333333333333333,0.0095959595959596,-0.122727272727273,0.2725,-0.361739130434783,-0.150980392156863,-0.34,0.222647058823529,0.23,-0.1,0,0.255434782608696,-0.0333333333333333,-0.0133333333333333,0.1,-0.1,0.425017088174983,0.133646616541353,0.140931384753274,0,-0.000603448275862069,0.453227789971824,0.523040752351097
"GSK3",-0.187912413785041,-0.115789473684211,-0.133646616541353,-0.115789473684211,-0.143312337134226,-0.458881972711475,-0.458881972711475,-0.458881972711475,-0.140931384753274,-0.133646616541353,-0.14141576193536,-0.13952896948253,0.131527232283242,-0.188893459481695,0.191462279401539,0.191462279401539,-0.184997355585591,0.00238040883551719,0.0113088300602155,0.140576554914088,-0.00431372549019608,0.170687017652418,0.115213243354225,0.101076789957632,-0.111820974724201,-0.292040229885057,0.0955295635708255,-0.0989177489177489,0.138286469190987,0.399231091226195,-0.361739130434783,-0.2725,0.387453416149068,-0.00580654733796086,-0.132066373497207,0.313407751252579,-0.406025738136024,-0.19182485118853,-0.402435994546281,0.256861993823601,0.264113255165887,-0.2725,-0.122727272727273,0.262675381578314,0.000610021786492379,-0.00465313610824446,0.173109243697479,-0.26,0.465814745820718,0.144826139449453,0.146602455238927,0.1,0.00217221485585769,0.479973588316879,0.461350618854732
"DSH",-0.182585168731769,-0.1,-0.115789473684211,-0.1,-0.140931384753274,-0.446276930694668,-0.446276930694668,-0.446276930694668,-0.133646616541353,-0.115789473684211,-0.13952896948253,-0.133646616541353,0.1319552862839,-0.184997355585591,0.195176989654139,0.195176989654139,-0.173109243697479,0.00465313610824446,0.0102869322499965,0.139780798945918,0.0133333333333333,0.163710273466371,0.106562724323083,0.0946616956180095,-0.0989177489177489,-0.2725,0.101076789957632,-0.122727272727273,0.132066373497207,0.396200788195892,-0.34,-0.2725,0.361739130434783,-0.00709611357477211,-0.111820974724201,0.292040229885057,-0.402435994546281,-0.194114927524408,-0.387453416149068,0.255453543119375,0.264865134865135,-0.26,-0.15,0.259906832298137,0.00431372549019608,0.000610021786492379,0.147619047619048,-0.2,0.458881972711475,0.143312337134226,0.144826139449453,0.1,0.00251733996370929,0.475641076869186,0.553197540651737
"Frizzled",-0.172036645525018,-0.1,-0.1,0,-0.133646616541353,-0.425017088174983,-0.425017088174983,-0.425017088174983,-0.115789473684211,-0.1,-0.133646616541353,-0.115789473684211,0.131867489971345,-0.173109243697479,0.197539194378548,0.197539194378548,-0.147619047619048,-0.000610021786492379,0.00563576945929887,0.13683615819209,0.0333333333333333,0.151515151515151,0.0855100927441353,0.0731663685152057,-0.122727272727273,-0.2725,0.0946616956180095,-0.15,0.111820974724201,0.381915073910178,-0.333333333333333,-0.26,0.34,0.000220959595959597,-0.0989177489177489,0.2725,-0.387453416149068,-0.179551820728291,-0.361739130434783,0.248361344537815,0.258571428571429,-0.2,-0.1,0.2601966873706,-0.0133333333333333,0.00431372549019608,0.114285714285714,-0.1,0.446276930694668,0.140931384753274,0.143312337134226,0.1,0.00286658326987926,0.46781664938827,0.541828631138976
"Destcompl",-0.373093143651815,-0.297619047619048,-0.307208088714938,-0.297619047619048,-0.321262815083097,-0.493201009715251,-0.493201009715251,-0.493201009715251,-0.315665800157724,-0.307208088714938,-0.320138157231994,-0.315128880794146,0.0805881575118501,-0.325346368412501,0.258604687018193,0.258604687018193,-0.314324324324324,-0.0611507770088388,-0.229217806795011,0.303272225089798,-0.061025641025641,0.10921183060524,0.167061143984221,0.144920634920635,-0.256146688560482,-0.408483017178669,0.149949874686717,-0.259003831417625,0.268477693461214,0.382249479379033,-0.337959183673469,-0.393167701863354,0.359338494018297,0.0486631657693225,-0.259773631565663,0.421234695031018,-0.386919515537613,-0.243802063903404,-0.376180599281455,0.339640331713727,0.3436275138873,-0.371428571428571,-0.255555555555556,0.35312919589353,0.0640559440559441,0.062416599793649,0.29475910693302,-0.3,0.502463176120274,0.323591582206385,0.324662464409343,0.283333333333333,0.255667503397338,0.504668320893622,0.600004233307771
"AXIN2",0.0645105339193735,-0.313333333333333,-0.338914728682171,-0.313333333333333,-0.365472979525203,-0.52365271227728,-0.52365271227728,-0.52365271227728,-0.354431970061481,-0.338914728682171,-0.365123793960852,-0.354431970061481,0.0935960553208803,-0.356111054663686,0.297741330612451,0.297741330612451,-0.332462406015038,-0.0601164883708135,-0.264380713293757,0.339377908729471,-0.04,0.101500276254834,0.194313829912207,0.176604554865424,-0.293040293040293,-0.42463768115942,0.181763285024155,-0.269230769230769,0.305101182970035,0.420119458995337,-0.339583333333333,-0.382608695652174,0.377854938271605,0.0844592980716609,-0.30018315018315,0.450193236714976,-0.42608064579811,-0.274405735963347,-0.405288566590189,0.379372184673064,0.379878983024144,-0.3,-0.2,0.402479413057159,0.0521951219512195,0.0587371780259859,0.302105263157895,-0.2,0.544125153222162,0.373093143651815,0.377373299293839,0.266666666666667,0.299863795846989,0.659342876366478,0.645057208237986
