"","GSK3","Destcompl","ZEB1","cateninnuc","TCFLEF","Wnt","cateninmemb","DSH","STAT","LIV1","KLF4","AXIN2","miR200","SNAI1","Ecadherin","SNAI2","RAS","NFB","Csn","AKT","RAF","PI3K","IKK","ERK","cfos","ILK","HEY1","SOSGRB2","SMAD","FOXC2","PAK1","TrCP","EGR1","ZEB2","TWIST1","TGF","TGFR","CDC42","MEK","Csl","Jagged","DELTA","NOTCH","SMO","NOTCHic","FUS","RKIP","SHH","Patched","SUFU","SRC","cMet","Frizzled","CD44","GLI"
"FUS",0.345903203311392,0.398067914092358,0.190187515164119,0.298749705098542,0.296032313794194,0.179166666666667,0.154033002632427,0.15,0.25,0.2,0.0331967213114754,0.10920773379544,0.0684224661164127,0.121789409616555,-0.0668912730090195,0.385972786027265,-0.0286142890064135,-0.142857142857143,-0.1,-0.131472527472527,-0.03429114490161,-0.03429114490161,-0.146857142857143,0.163216783216783,0.172307692307692,-0.0487301587301587,-0.0586239847109412,-0.048582995951417,-0.0493753200204813,-0.151451905626134,-0.0733333333333333,-0.1,0.18,-0.0272728848220166,0.0888064766337018,0.108521180755223,0.0978828828828829,0.0816666666666667,-0.162067357929427,-0.0757575757575758,-0.221111111111111,0.03429114490161,-0.0921212121212121,0.00083333333333333,-0.0807575757575758,0.0133333333333333,-0.0835591556210113,-0.0213888888888889,-0.0102777777777778,0.133333333333333,-0.27,-0.286666666666667,-0.1625,-0.291521035598706,-0.184935897435897
"Jagged",0.0187739463601533,-0.0102857142857143,0.151932367149758,-0.00764568764568765,-0.0153379953379953,-0.02,-0.00386683738796415,0,0,0,0.0388888888888889,-0.00428571428571428,0.0272727272727273,0.075,0.0171228070175439,-0.177300150829563,0.0442424242424242,0,0,-0.0444444444444444,0.0533333333333333,0.0533333333333333,-0.0333333333333333,-0.02,0,-0.0166666666666667,0.0833333333333333,0.08,-0.0119047619047619,0.0142857142857143,0,0,0.1,-0.0258454106280193,-0.096,-0.0151111111111111,-0.0111111111111111,0,0.0533333333333333,0.1,-0.0148051948051948,-0.0533333333333333,0.0657142857142857,0.0333333333333333,0.08,0,-0.041025641025641,0.0352564102564102,0.0583333333333333,0,0,0.02,0,0.0123076923076923,0.0123076923076923
"DELTA",0.0187739463601533,-0.0102857142857143,0.151932367149758,-0.00764568764568765,-0.0153379953379953,-0.02,-0.00386683738796415,0,0,0,0.0388888888888889,-0.00428571428571428,0.0272727272727273,0.075,0.0171228070175439,-0.177300150829563,0.0442424242424242,0,0,-0.0444444444444444,0.0533333333333333,0.0533333333333333,-0.0333333333333333,-0.02,0,-0.0166666666666667,0.0833333333333333,0.08,-0.0119047619047619,0.0142857142857143,0,0,0.1,-0.0258454106280193,-0.096,-0.0151111111111111,-0.0111111111111111,0,0.0533333333333333,0.1,-0.0148051948051948,-0.0533333333333333,0.0657142857142857,0.0333333333333333,0.08,0,-0.041025641025641,0.0352564102564102,0.0583333333333333,0,0,0.02,0,0.0123076923076923,0.0123076923076923
"SHH",0.287179487179487,0.349350649350649,0.175,0.286666666666667,0.27,0.1,0.158566308243728,0,0.1,0,0,0.0857142857142857,0.05,0.0833333333333333,-0.0488888888888889,0.346590038314176,-0.0576923076923077,0,0,-0.1,-0.05,-0.05,-0.1,0.2,0.1,-0.0666666666666667,-0.0666666666666667,-0.05,-0.0666666666666667,-0.125,0,0,0,-0.025,0.075,0.0733333333333333,0.0333333333333333,0.0333333333333333,-0.18,-0.1,-0.202857142857143,0.05,-0.0666666666666667,0.1,0,0.2,-0.08,0.0133333333333333,0.133333333333333,0.2,-0.1,-0.2,0,-0.25,-0.15
"SOSGRB2",-0.133024538185829,-0.252148224631446,0.037719298245614,-0.22238022523263,-0.215305655442955,-0.176190476190476,-0.226760890760891,-0.1,-0.1,0,0.0214035087719298,-0.143041804180418,0.0118092345921946,0.0398258706467662,-0.158225537126665,0.166247275166937,0.0890699695784442,0.144444444444444,0.2,0.164619883040936,0.0954802259887006,0.0954802259887006,0.181286549707602,-0.105619905619906,-0.0650793650793651,0.153118279569892,0.0695075757575758,-0.0538888888888889,0.155216181667795,0.00601953601953602,-0.00714285714285715,0.1,-0.0761904761904762,-0.0228320802005012,-0.0754782608695652,-0.0251539240900943,-0.0159340659340659,0.00714285714285715,0.0995592995592996,0.127272727272727,0.237811252975913,-0.0954802259887006,0.118930365409239,-0.15,0.111888111888112,-0.166666666666667,-0.0659722222222222,-0.121024512884978,-0.125675675675676,-0.2,0.142857142857143,0.181987577639752,0.142857142857143,0.203726708074534,0.197929606625259
"SMO",0.334197517692663,0.388578862997468,0.178531073446328,0.296032313794194,0.291521035598706,0.1625,0.153846782893134,0.1,0.2,0.1,0.025,0.107344379758173,0.0634719710669078,0.116129032258065,-0.0616857935569647,0.378970990695129,-0.03429114490161,-0.1,-0.1,-0.146857142857143,-0.0389423076923077,-0.0389423076923077,-0.142857142857143,0.172307692307692,0.18,-0.0566666666666667,-0.0600732600732601,-0.0447368421052632,-0.0487301587301587,-0.142241379310345,-0.0333333333333333,0,0.2,-0.0217514124293785,0.0935185185185185,0.0978828828828829,0.0816666666666667,0.0733333333333333,-0.163216783216783,-0.0666666666666667,-0.221111111111111,0.0389423076923077,-0.0807575757575758,0.0133333333333333,-0.0757575757575758,0.133333333333333,-0.0680952380952381,-0.0102777777777778,0.00083333333333333,0.1,-0.25,-0.27,-0.15,-0.286666666666667,-0.179166666666667
"Patched",0.315750915750916,0.374625374625375,0.166666666666667,0.291521035598706,0.286666666666667,0.15,0.15578853046595,0,0.1,0.1,0.0333333333333333,0.103896103896104,0.0571428571428571,0.0994623655913978,-0.0576267529665588,0.366590038314176,-0.0389423076923077,-0.1,0,-0.142857142857143,-0.0576923076923077,-0.0576923076923077,-0.1,0.18,0.2,-0.0666666666666667,-0.0743589743589744,-0.05,-0.0566666666666667,-0.125,-0.0333333333333333,0,0.1,-0.0166666666666667,0.0935185185185185,0.0816666666666667,0.0733333333333333,0.0333333333333333,-0.172307692307692,0,-0.213968253968254,0.0576923076923077,-0.0757575757575758,0.133333333333333,-0.0666666666666667,0.1,-0.0514285714285714,0.00083333333333333,0.0133333333333333,0.2,-0.2,-0.25,-0.1,-0.27,-0.1625
"ERK",0.373037573330344,0.464000700462886,0.00169118171562845,0.272212389979612,0.269851278868501,0.24967365967366,0.236731077544473,0.206666666666667,0.214035087719298,0.166666666666667,0.00996185201250097,0.170083323521113,0.0117036794016846,0.052818058178859,0.134265171612044,-0.0800463925262554,0.138388679527293,0.020508658008658,0.00535714285714285,0.0121546375013725,0.131457986457986,0.131457986457986,0.00756748153806977,-0.0501186109073123,0.0415480557593544,-0.0610293836132733,-0.0831750187897695,0.00106087224533826,-0.0573819671998995,-0.121171410136927,-0.115238095238095,0.0428571428571429,0.0479310344827586,-0.00705001831729427,0.185498845655899,0.150903935298846,0.144585253980165,0.12925678682688,0.0559681930800143,-0.217404817404817,-0.178500634107425,-0.131457986457986,-0.233669451329237,0.0104699453551913,-0.223974160470511,0.0186666666666667,-0.0647230171939762,-0.00237461275790905,0.00197321332904747,0.0466666666666667,-0.240958164642375,-0.257042080726291,-0.233589743589744,-0.265947933143594,-0.258946842631053
"SRC",-0.0792207792207792,-0.145910973084886,-0.141966157532195,-0.304277398660223,-0.296447421031587,-0.265,-0.297507483909594,-0.2,-0.3,-0.2,-0.0921188630490956,-0.169352713672489,-0.0180939833113746,0.00636812057084786,-0.228515759839289,-0.077542608393877,0.208443888193575,0.15,0.15,0.150854700854701,0.208443888193575,0.208443888193575,0.173076923076923,-0.0797979797979798,-0.0575757575757576,0.0506578947368421,0.0196044356173452,-0.0914285714285714,0.0551623992413466,-0.0605275443510737,-0.0666666666666667,0.1,-0.0666666666666667,-0.00654387541179994,-0.00407351269420233,0.0312554112554113,0.0476190476190476,0.0666666666666667,0.08168477225081,-0.03,0.145820983298048,-0.208443888193575,-0.0121428571428571,-0.0333333333333333,-0.0157142857142857,-0.0333333333333333,-0.0955685891169762,0.0147058823529412,0,-0.0333333333333333,0.225,0.265,0.225,0.283032786885246,0.283032786885246
"RKIP",-0.338652482269504,-0.440476260190487,0.00637780966044954,-0.265947933143594,-0.257042080726291,-0.206666666666667,-0.23895828601711,-0.1,-0.1,0,-0.00143472022955524,-0.159786685419597,-0.0067114193397651,-0.0406385709993718,-0.143889073510261,0.0992452060383517,-0.130505605505605,-0.0428571428571429,0,-0.020508658008658,-0.121103896103896,-0.121103896103896,-0.00535714285714285,-0.0479310344827586,-0.01,0.0581942661531878,0.0803329461866047,0.0135238095238095,0.0591843651630888,0.104627173592691,0.0666666666666667,0,-0.01,-0.000565279770444764,-0.179111705288176,-0.12925678682688,-0.115238095238095,-0.0866666666666667,0.0415480557593544,0.211111111111111,0.162640472148112,0.121103896103896,0.217404817404817,-0.0466666666666667,0.202020202020202,-0.0666666666666667,0.0579131652661064,-0.0104699453551913,-0.0186666666666667,-0.1,0.166666666666667,0.214035087719298,0.166666666666667,0.240958164642375,0.233589743589744
"RAF",-0.338652482269504,-0.440476260190487,0.00637780966044954,-0.265947933143594,-0.257042080726291,-0.206666666666667,-0.23895828601711,-0.1,-0.1,0,-0.00143472022955524,-0.159786685419597,-0.0067114193397651,-0.0406385709993718,-0.143889073510261,0.0992452060383517,-0.130505605505605,-0.0428571428571429,0,-0.020508658008658,-0.121103896103896,-0.121103896103896,-0.00535714285714285,-0.0479310344827586,-0.01,0.0581942661531878,0.0803329461866047,0.0135238095238095,0.0591843651630888,0.104627173592691,0.0666666666666667,0,-0.01,-0.000565279770444764,-0.179111705288176,-0.12925678682688,-0.115238095238095,-0.0866666666666667,0.0415480557593544,0.211111111111111,0.162640472148112,0.121103896103896,0.217404817404817,-0.0466666666666667,0.202020202020202,-0.0666666666666667,0.0579131652661064,-0.0104699453551913,-0.0186666666666667,-0.1,0.166666666666667,0.214035087719298,0.166666666666667,0.240958164642375,0.233589743589744
"GLI",0.0300400261527394,0.162738153222945,0.114142089093702,0.177673330176231,0.176179008598228,0.0426185958254269,0.164935555278406,0.02,0.14,0.1,-0.000430716430716429,0.121589673913043,-0.00489458941471325,0.0131985756179305,0.121455077004565,-0.0449732621566288,-0.137249305901241,-0.0903508771929824,-0.116666666666667,-0.0970791935195131,-0.135071088079459,-0.135071088079459,-0.0923916935195131,0.0631385281385281,0.0540476190476191,-0.0658111301130383,-0.0716944487318002,0.0295663333716431,-0.0636489679508761,0.014188058995528,0.125,-0.0833333333333333,0.0457142857142857,0.000468253968253966,0.0151907741381426,-0.101717925166163,-0.107129689872045,-0.107758620689655,-0.0703208485805171,-0.0713704686118479,-0.123130370179625,0.135071088079459,-0.0726799924213717,0.15266290726817,-0.0688704686118479,0.168452380952381,-0.00268385371662433,0.145272296702957,0.15062209094164,0.180952380952381,-0.149677419354839,-0.164311565696302,-0.0296774193548387,-0.172932255351475,-0.150703702208406
"ZEB2",-0.249369804640085,-0.17631485733568,-0.149401738500706,-0.129307116846035,-0.127748675287593,-0.127552447552448,-0.112362096724909,-0.109090909090909,-0.1,-0.1,-0.099156722479342,-0.0972963517015311,-0.0803634242698593,-0.0741824246859957,-0.0625255615118027,-0.0358540234835988,-0.0337407417707204,-0.0333333333333333,-0.0333333333333333,-0.0320456905503635,-0.0313852813852814,-0.0313852813852814,-0.0311111111111111,-0.0263157894736842,-0.0263157894736842,-0.0232453696538204,-0.0230611324159711,-0.0223626373626374,-0.0220258574586984,-0.0167661227661228,-0.0103896103896104,0,0,0.00319291879478592,0.00747863293377142,0.00934377791520648,0.0151638837353123,0.0158441558441558,0.0238767650834403,0.0256410256410256,0.0305236724789797,0.0313852813852814,0.0322421185372005,0.0328571428571429,0.034974358974359,0.0357142857142857,0.044975845410628,0.0450522648083624,0.0450522648083624,0.05,0.113333333333333,0.121228070175439,0.122424242424242,0.124931773879142,0.13122217232309
"MEK",-0.361502605119626,-0.454492996592161,0.00161590489854478,-0.269851278868501,-0.265947933143594,-0.233589743589744,-0.237007066504914,-0.166666666666667,-0.166666666666667,-0.1,-0.00143472022955524,-0.166993892626804,-0.00949779704874343,-0.0444847248455256,-0.139517488810808,0.0870797559166972,-0.131457986457986,-0.00535714285714285,-0.0428571428571429,-0.00756748153806977,-0.130505605505605,-0.130505605505605,-0.020508658008658,-0.0415480557593544,-0.0479310344827586,0.0591843651630888,0.0821511280047865,-0.00203174603174603,0.0610293836132733,0.117239786205303,0.0866666666666667,0,-0.01,0.00657757737241238,-0.18314100931748,-0.144585253980165,-0.12925678682688,-0.115238095238095,-0.0501186109073123,0.202020202020202,0.172476537721883,0.130505605505605,0.223974160470511,-0.0186666666666667,0.217404817404817,-0.0466666666666667,0.0605447442134749,-0.00197321332904747,-0.0104699453551913,-0.0666666666666667,0.214035087719298,0.240958164642375,0.206666666666667,0.257042080726291,0.24967365967366
"ZEB1",-0.291772566937336,-0.319985090950677,-0.159630351275558,-0.272715999106397,-0.271541830808941,-0.270461449119986,-0.232213937815922,-0.247619047619048,-0.241025641025641,-0.233333333333333,-0.00847422212431325,-0.135353710425078,-0.0859156130204789,-0.083338304517655,-0.0516227222429618,-0.239388205390117,0.0443076127119761,-0.00140350877192983,-0.00666666666666667,-0.00589999589136777,0.0488745418458343,0.0488745418458343,-0.00304285303422491,-0.0711764705882353,-0.07,-0.0304888924172058,-0.0280832638863727,-0.0645224171539961,-0.0295273539556674,0.0506466499492759,0.0865900383141762,0.0333333333333333,-0.05,0.00909773943022025,-0.108177847127019,-0.0970237318954603,-0.0907245192970351,-0.0851407629518574,0.0680927701477066,0.0125,0.0527497410268681,-0.0488745418458343,0.0211695835358937,0.0878787878787879,0.020343137254902,0.0833333333333333,0.0598110979929162,0.101422853191746,0.0996434937611408,0.0833333333333333,0.258098811757348,0.26594194901225,0.264692218350755,0.269414171234473,0.274241517848508
"TrCP",-0.169339285714286,-0.206054347486975,-0.157923680308318,-0.189511157453117,-0.186476674694496,-0.16953216374269,-0.173614857633016,-0.14,-0.14,-0.1,-0.0358818631277648,-0.124251324472535,-0.0246872599216582,-0.0873051689758134,-0.125256819419229,0.0390132366017056,9.29911259896984e-06,0.0208333333333333,0.0583333333333333,0.0316520467836257,9.29911259896984e-06,9.29911259896984e-06,0.0260964912280702,0.0237877671333825,0.0356521739130435,0.0176992660863629,0.022663668165917,-0.0477997799779978,0.0125379757637822,0.0280458356597475,0.019047619047619,0.0333333333333333,0.04,0.0337939106828809,0.0178552606813476,-0.0507503746655145,-0.0436465495289025,-0.0406162464985994,-0.0184544338000491,0.0743589743589744,0.09436413599182,-9.29911259896984e-06,0.0816117216117216,0.00184331797235023,0.0728205128205128,-0.0142857142857143,0.0605897049543458,0.00860875007111566,0.000608750071115663,-0.0476190476190476,0.151111111111111,0.17003003003003,0.151111111111111,0.180921119138941,0.179776066181714
"PAK1",-0.169339285714286,-0.206054347486975,-0.157923680308318,-0.189511157453117,-0.186476674694496,-0.16953216374269,-0.173614857633016,-0.14,-0.14,-0.1,-0.0358818631277648,-0.124251324472535,-0.0246872599216582,-0.0873051689758134,-0.125256819419229,0.0390132366017056,9.29911259896984e-06,0.0208333333333333,0.0583333333333333,0.0316520467836257,9.29911259896984e-06,9.29911259896984e-06,0.0260964912280702,0.0237877671333825,0.0356521739130435,0.0176992660863629,0.022663668165917,-0.0477997799779978,0.0125379757637822,0.0280458356597475,0.019047619047619,0.0333333333333333,0.04,0.0337939106828809,0.0178552606813476,-0.0507503746655145,-0.0436465495289025,-0.0406162464985994,-0.0184544338000491,0.0743589743589744,0.09436413599182,-9.29911259896984e-06,0.0816117216117216,0.00184331797235023,0.0728205128205128,-0.0142857142857143,0.0605897049543458,0.00860875007111566,0.000608750071115663,-0.0476190476190476,0.151111111111111,0.17003003003003,0.151111111111111,0.180921119138941,0.179776066181714
"EGR1",-0.169339285714286,-0.206054347486975,-0.157923680308318,-0.189511157453117,-0.186476674694496,-0.16953216374269,-0.173614857633016,-0.14,-0.14,-0.1,-0.0358818631277648,-0.124251324472535,-0.0246872599216582,-0.0873051689758134,-0.125256819419229,0.0390132366017056,9.29911259896984e-06,0.0208333333333333,0.0583333333333333,0.0316520467836257,9.29911259896984e-06,9.29911259896984e-06,0.0260964912280702,0.0237877671333825,0.0356521739130435,0.0176992660863629,0.022663668165917,-0.0477997799779978,0.0125379757637822,0.0280458356597475,0.019047619047619,0.0333333333333333,0.04,0.0337939106828809,0.0178552606813476,-0.0507503746655145,-0.0436465495289025,-0.0406162464985994,-0.0184544338000491,0.0743589743589744,0.09436413599182,-9.29911259896984e-06,0.0816117216117216,0.00184331797235023,0.0728205128205128,-0.0142857142857143,0.0605897049543458,0.00860875007111566,0.000608750071115663,-0.0476190476190476,0.151111111111111,0.17003003003003,0.151111111111111,0.180921119138941,0.179776066181714
"cfos",-0.159521103896104,-0.198535550494493,-0.157602136899958,-0.186476674694496,-0.180921119138941,-0.151111111111111,-0.173065407083566,-0.1,-0.1,-0.1,-0.0326031746031746,-0.122364532019704,-0.0231644172820643,-0.0827705627705628,-0.128094189661443,0.0473315006161721,9.29911259896984e-06,0.0583333333333333,0.0333333333333333,0.0260964912280702,-0.00364923747276688,-0.00364923747276688,0.0208333333333333,0.0356521739130435,0.04,0.0193121693121693,0.022663668165917,-0.0388888888888889,0.0176992660863629,0.0239079046252647,0.0142857142857143,0,0.12,0.034115454091241,0.0232900432900433,-0.0436465495289025,-0.0406162464985994,-0.019047619047619,-0.0237877671333825,0.0666666666666667,0.0882291666666667,0.00364923747276688,0.0728205128205128,-0.0142857142857143,0.0743589743589744,-0.0476190476190476,0.0611421911421911,0.000608750071115663,0.00184331797235023,-0.0333333333333333,0.14,0.151111111111111,0.14,0.17003003003003,0.16953216374269
"SNAI2",-0.460446818219538,-0.491755772717474,-0.0645852737570799,-0.507720972515897,-0.503217866925835,-0.474172306566673,-0.453810317307961,-0.381818181818182,-0.381818181818182,-0.3,-0.0553846153846154,-0.252154627011091,-0.0380937854757557,-0.100483532423361,-0.265192321961733,-0.179805194869547,0.156676916121903,0.158333333333333,0.133333333333333,0.158167151364077,0.165352715208661,0.165352715208661,0.161781609195402,-0.16078431372549,-0.150980392156863,-0.0574782025486251,-0.026416515973478,0.0801893171061528,-0.0627413604433619,0.278458041700541,0.231372549019608,0.1,-0.133333333333333,0.0412034822739668,-0.365388890385034,-0.333442942394349,-0.312324929971989,-0.278991596638655,0.163487016428193,0.220175438596491,0.458191742577285,-0.165352715208661,0.253759398496241,0.364705882352941,0.239473684210526,0.3,0.0652179487179487,0.426016603824628,0.403481392557023,0.2,0.438961038961039,0.474172306566673,0.438961038961039,0.49352714527635,0.493958402823357
"TCFLEF",-0.323151667087917,-0.368097645508874,-0.231266081871345,-0.339902755125961,-0.335005847909466,-0.197812971342383,-0.338742634917583,-0.119607843137255,-0.129166666666667,-0.0666666666666667,-0.0474949070537306,-0.132455677655678,-0.0744535718632104,-0.221436722273542,-0.234320228396055,-0.0126084353076807,-0.142969347250094,-0.075012987012987,-0.087012987012987,-0.0750480501265915,-0.138895759865074,-0.138895759865074,-0.0717871805613741,-0.00399535423925668,0.0064808362369338,0.0499568618515987,0.0485670060582992,0.0205625671733456,0.0455591563066656,0.0633469339625502,0.0358974358974359,-0.114285714285714,-0.00571428571428572,0.0431030480241007,0.0568376301435206,-0.102474885947886,-0.0908854819743757,-0.0684555754323196,0.00671644267463083,0.105611350231149,0.103623209307426,0.138895759865074,0.131596628063212,-0.0728571428571429,0.121297624740953,-0.0966666666666667,0.198733985397438,-0.041845862429674,-0.0535023041474654,-0.116666666666667,0.179166666666667,0.207371794871795,0.169607843137255,0.224352926947267,0.213962039665364
"HEY1",-0.421101411348446,-0.446543586518822,-0.0710835913312694,-0.443387379983931,-0.442017516970232,-0.428773369813041,-0.379663197010758,-0.366666666666667,-0.366666666666667,-0.3,-0.0592592592592593,-0.199045907900974,-0.0399145299145299,-0.111916149083149,-0.0696803185406191,-0.510333859688698,0.0990648567119155,0.12,0.1,0.107830687830688,0.109358974358974,0.109358974358974,0.115238095238095,-0.134973262032086,-0.129090909090909,-0.048,-0.0219862490450726,0.0428244711263579,-0.0508985507246377,0.242684456991777,0.213636363636364,0.1,-0.12,0.0448968008255934,-0.309263616557734,-0.289116038433112,-0.274969696969697,-0.249636363636364,0.133942334197034,0.187272727272727,0.406441324792149,-0.109358974358974,0.209139249247768,0.35,0.197799043062201,0.3,0.0774582560296846,0.388978494623656,0.375,0.2,0.407843137254902,0.428773369813041,0.407843137254902,0.438338587204346,0.439118197399248
"CD44",-0.10297619047619,-0.217778020299029,-0.0746031746031746,-0.292868217054264,-0.272868217054264,-0.2,-0.300714285714286,0,-0.1,-0.1,-0.168253968253968,-0.17,-0.0665788317962231,-0.0206539074960128,-0.251144826837477,0.177875457875458,0.0819047619047619,0.1,0.2,0.133333333333333,0.0904761904761905,0.0904761904761905,0.166666666666667,-0.145,-0.125,0.15,0.104678362573099,0.00476190476190476,0.123469387755102,0.0275,0.0666666666666667,0.1,-0.2,0.0492063492063492,0.0332600732600733,-0.0441666666666667,-0.0441666666666667,-0.00666666666666668,0.135,0.1,0.204289044289044,-0.0904761904761905,0.151127819548872,-0.15,0.114285714285714,-0.1,-0.0462962962962963,-0.120909090909091,-0.13,-0.1,0.2,0.3,0.1,0.233333333333333,0.233333333333333
"cMet",-0.132008448540707,-0.235345587866596,-0.0857142857142857,-0.305297595585337,-0.292868217054264,-0.233333333333333,-0.305340620233859,-0.1,-0.2,-0.1,-0.149206349206349,-0.193809523809524,-0.0665788317962231,-0.02234882275025,-0.252925997320938,0.153787866634582,0.110206648697215,0.166666666666667,0.1,0.164583333333333,0.0819047619047619,0.0819047619047619,0.133333333333333,-0.135,-0.145,0.123469387755102,0.083109735122119,-0.00857142857142858,0.125287569573284,0.0464873417721519,0.00666666666666668,0.2,-0.125,0.0502164502164502,0.0186533316870396,-0.0654432624113475,-0.0441666666666667,-0.0441666666666667,0.169545454545455,0.114285714285714,0.208636870376001,-0.0819047619047619,0.149000159974404,-0.13,0.151127819548872,-0.15,-0.0388888888888889,-0.0927840909090909,-0.120909090909091,-0.1,0.3,0.233333333333333,0.2,0.272868217054264,0.26969696969697
"Frizzled",-0.625094043887147,-0.601198698345614,-0.280924850017283,-0.383380388056233,-0.367189911865757,-0.307894736842105,-0.217850417002959,-0.3,-0.2,-0.1,-0.0725490196078431,-0.198900634249471,-0.10272095959596,-0.311404416839199,-0.0947555853535397,-0.194427553573371,-0.258177566320956,-0.113333333333333,-0.133333333333333,-0.138333333333333,-0.252665755297334,-0.252665755297334,-0.125833333333333,0.0192156862745098,0.0133333333333333,0.0190419399721725,0.0323840698308783,-0.0666666666666667,0.0237148371684342,0.182122210714622,0.133333333333333,-0.1,0.0333333333333333,0.0810010843265101,0.0356862745098039,-0.217929606625259,-0.188405797101449,-0.166666666666667,-0.0118082788671024,0.192857142857143,0.164916815210933,0.252665755297334,0.243837535014006,0.00909090909090909,0.226190476190476,0,0.27952380952381,0.0617790811339198,0.0424242424242424,0,0.25,0.307894736842105,0.25,0.340037593984962,0.340037593984962
"miR200",-0.26782071274278,-0.298179224776951,-0.0547311827956989,-0.253701623368432,-0.25127738094419,-0.247492957746479,-0.223608032293377,-0.22,-0.22,-0.2,-0.104296066252588,-0.152358646436364,-0.0800921598024517,-0.0730571280571281,-0.158676862621913,-0.19466555276684,0.0568908097150923,-0.0168421052631579,0.02,-0.013984962406015,0.0606314580941447,0.0606314580941447,-0.013984962406015,-0.0512987012987013,-0.0285714285714286,-0.0288879524277754,-0.0264689265536723,-0.0518568665377176,-0.0273205543086532,0.0172677187311334,0.0291666666666667,0,-0.0285714285714286,0.100076164874552,-0.101955038826204,-0.0549194283865084,-0.0514310562934851,-0.054656862745098,0.0519789734075448,0.00394088669950739,0.0397255014784624,-0.0606314580941447,0.0262085664189697,0.0633333333333333,0.0177339901477833,0.07,0.0494670775494049,0.0765556778572739,0.0645991561181435,0.02,0.224347826086957,0.239840783833435,0.232,0.247705952372761,0.252987463240984
"AXIN2",-0.298465323006513,-0.31233016097339,-0.18556081118235,-0.246782798689096,-0.242502643047073,-0.22604116546378,-0.177827710222787,-0.186666666666667,-0.186666666666667,-0.166666666666667,-0.106455894737655,-0.161210193423894,-0.116877933652263,-0.187366869360294,0.0105072736044695,-0.264545323739792,-0.122877078613326,-0.0869565217391304,-0.1,-0.0993236714975845,-0.119202537930912,-0.119202537930912,-0.0971014492753623,-0.0197158270648127,-0.020650406504065,0.0064872325741891,0.0160116796019433,-0.013820958533441,0.00728088336783989,0.160703917472067,0.161666666666667,-0.0666666666666667,-0.0133333333333333,0.105685558317991,-0.0318596974107454,-0.193417983391259,-0.185167158308751,-0.172777777777778,0.0210951374096403,0.131929824561404,0.195713980496589,0.119202537930912,0.152296619928199,0.132600732600733,0.146215538847118,0.123076923076923,0.173145949033046,0.150200264216658,0.143315018315018,0.1,0.212248062015504,0.22604116546378,0.212248062015504,0.235820345274505,0.236104058545541
