"","HEY1","SMAD","ILK","SHH","Patched","SMO","FUS","NOTCH","NOTCHic","AKT","Csl","SUFU","NFB","ZEB1","CDC42","TGF","TGFR","PAK1","RKIP","Csn","TrCP","Ecadherin","cateninmemb","FOXC2","SOSGRB2","Destcompl","GSK3","DSH","STAT","GLI","Wnt","Frizzled","CD44","SRC","LIV1","TCFLEF","cMet","cateninnuc","RAS","RAF","PI3K","DELTA","AXIN2","TWIST1","SNAI2","miR200","EGR1","cfos","ERK","MEK","SNAI1","ZEB2","IKK","Jagged","KLF4"
"FOXC2",-0.0138579067990833,-0.0310144927536232,-0.0266666666666667,-0.0304435483870968,-0.0229166666666667,-0.0166666666666667,-0.0333333333333333,0.0626656143639323,0.0801913875598086,-0.0215873015873016,0.0854545454545454,0,-0.02,-0.0161042311661507,-0.0689090909090909,-0.0551855136733185,-0.0595757575757576,-0.0409090909090909,-0.023294166151309,0,-0.1,0.0953888002460141,0.0327151743920037,0.0607565369362103,-0.113993710691824,0.02644248971834,-0.0323539402759294,-0.0333333333333333,-0.0333333333333333,-0.0114761702596034,0.000592795257637943,-0.0156862745098039,-0.0124506830032316,-0.0156862745098039,0.0333333333333333,-0.0121162348426965,0.000592795257637943,-0.00701038179163797,-0.0249170437405732,-0.0175641025641026,-0.0175641025641026,-0.0175641025641026,-0.101714647611967,0.0184880174291939,-0.0861513035123193,0.00846967846967847,-0.04,-0.0309090909090909,-0.0544385026737968,-0.0389745851480236,0.0193019743762343,0.0161042311661507,0.0438095238095238,-0.0103402844032529,0
"cMet",0.108737530099759,0.0887672644815502,0.0924036281179138,0.0926136363636364,0.0863636363636364,0.05,0.05,0.000591905295152778,-0.0270676691729323,0.185833333333333,-0.0428571428571429,0.1,0.166666666666667,-0.0346320346320346,-0.00666666666666668,-0.0297163120567376,-0.0233333333333333,-0.00666666666666668,0.0411111111111111,0.2,0.1,-0.0329663932078113,-0.0449361255589014,-0.0231909282700422,0.0385714285714286,-0.0750219743917223,-0.051036866359447,0.1,0.2,0.0393939393939394,0.0166666666666667,0.05,0.0375968992248062,0.15,0.1,0.0422122838401908,0.0166666666666667,0.0320427923147671,0.0751482479784367,0.0657142857142857,0.0657142857142857,0.0657142857142857,0.0547619047619048,0.00705436885212166,-0.21790128768231,0.0469891853315766,0,0,0.01,-0.00272727272727273,-0.0126591517314086,0.0346320346320346,-0.173333333333333,-0.0855406911928651,0.13968253968254
"CD44",0.114619883040936,0.0924036281179138,0.0944444444444444,0.0863636363636364,0.05,0.05,0.1,-0.0270676691729323,-0.0428571428571429,0.173333333333333,0,0.1,0.2,-0.0396825396825397,-0.00666666666666668,-0.0233333333333333,-0.00666666666666668,-0.0666666666666667,0.0337037037037037,0.1,0,-0.0378009988057757,-0.0552564102564103,-0.0345833333333333,0.0452380952380952,-0.0770490014187493,-0.0607142857142857,0,0.1,0.0166666666666667,0.05,0.1,0.0166666666666667,0.2,0.1,0.0375968992248062,0.15,0.0422122838401908,0.0657142857142857,0.0857142857142857,0.0857142857142857,0.0857142857142857,0.05,0.0194139194139194,-0.223740703740704,0.0501141853315766,0,0,0,0.01,-0.0143540669856459,0.0396825396825397,-0.166666666666667,-0.0964102564102564,0.134920634920635
"TWIST1",-0.228161668839635,-0.232692503484583,-0.226421876421876,-0.0924467537920537,-0.0889984779299848,-0.0848888888888889,-0.0888888888888889,-0.0673509648981347,-0.0588603988603989,-0.0802601353448811,-0.0562962962962963,-0.0333333333333333,-0.0730769230769231,-0.110434996399909,-0.179059561128527,-0.174626189830121,-0.175309561128527,-0.161818181818182,-0.131731253470384,-0.05,-0.1,-0.00813854094253979,0.052995999995641,0.090630936955018,-0.105233820336795,0.056551828749025,-0.0571701586744981,-0.0619047619047619,-0.0619047619047619,-0.0503304928989139,-0.0455304928989139,-0.0507936507936508,-0.0496315556043831,-0.0507936507936508,-0.0333333333333333,-0.047640743965792,-0.0444106720702465,-0.0459731188939116,0.0416407372428358,0.0440379975168084,0.0440379975168084,0.0440379975168084,-0.0810458895942767,0.0861150158003705,0.267027700632558,0.0917007301820214,0.153333333333333,0.166376811594203,0.155850495804729,0.163313182371893,0.0902999379906935,0.110434996399909,0.0921245421245421,0.0764134921468994,0.103898269751928
"AXIN2",-0.164217448395947,-0.177472969864274,-0.173107890499195,0.0146806881642947,0.0215659340659341,0.0269230769230769,0.0269230769230769,0.0973963625279415,0.103477443609023,-0.170531400966184,0.105263157894737,0.05,-0.166183574879227,-0.159475132380018,-0.18608024691358,-0.188180191421305,-0.187850158418005,-0.1725,-0.133789633305762,-0.144444444444444,-0.133333333333333,0.0566212988607837,-0.0901370050281973,-0.0592891339729747,-0.14837519656594,-0.0911061059642804,0.0842059594359365,-0.12,-0.12,-0.11887730553328,-0.11887730553328,-0.122325581395349,-0.119192762946529,-0.122325581395349,-0.1,-0.120247862594829,-0.11887730553328,-0.11959935416422,-0.124632824788466,-0.124895291980067,-0.124895291980067,-0.124895291980067,0.28191804626042,0.125527637914386,-0.12969534706342,0.115090461998381,0,0.0121951219512195,0.0131297013904718,0.0186469427697822,0.137710583997745,0.159475132380018,0.170531400966184,-0.0630348558609428,0.152816602152532
"RAS",-0.271739130434783,-0.293073593073593,-0.278787878787879,-0.283084745762712,-0.278,-0.25,-0.2,-0.150049652432969,-0.136842105263158,-0.172222222222222,-0.1,-0.1,-0.133333333333333,-0.194878497790869,-0.18,-0.188852649970879,-0.185882352941176,-0.18,-0.272220125786164,-0.1,0,-0.151147531476359,-0.0485935791579713,-0.101904761904762,0.0329004329004329,0.0482933942236268,0.111886304909561,0.1,0.1,0.144117647058824,0.144117647058824,0.15,0.146245306633292,0.15,0,0.153937614325599,0.144117647058824,0.153654328206619,-0.0633333333333333,0.0328205128205128,0.0328205128205128,0.0328205128205128,0.173438735177866,0.103436988543372,0.380585777380119,0.136892307692308,0.08,0.105,0.131315789473684,0.145041279669763,0.187099311701082,0.194878497790869,0.166666666666667,0.26281095998423,0.191785714285714
"PI3K",-0.236858036525073,-0.245696038415366,-0.240096038415366,-0.222222222222222,-0.2,-0.2,-0.2,-0.0334367245657568,-0.0173076923076923,-0.0966817496229261,-0.025,-0.1,-0.1,-0.216724361783274,-0.129411764705882,-0.130094691535151,-0.137411764705882,-0.1,-0.0719295410471881,-0.0333333333333333,0,-0.102132683675605,0.00730613110195225,0.0403112659698026,-0.0523076923076923,-0.00497882087163879,0.0743145743145743,0.1,0.1,0.102251950947603,0.0884057971014493,0.0666666666666667,0.102251950947603,0.0666666666666667,0.1,0.0926474311735918,0.0884057971014493,0.0920288744725609,0.000783016070687305,-0.00195670995670996,-0.00195670995670996,-0.00195670995670996,0.137238095238095,0.0427700279446537,0.176044720244242,0.100057397188545,0.0333333333333333,0.0619047619047619,0.0677871148459384,0.0661477705836433,0.0849194847020934,0.216724361783274,0.0941176470588235,0.181754385964912,0.217982456140351
"ILK",-0.236858036525073,-0.245696038415366,-0.240096038415366,-0.222222222222222,-0.2,-0.2,-0.2,-0.0334367245657568,-0.0173076923076923,-0.0966817496229261,-0.025,-0.1,-0.1,-0.216724361783274,-0.129411764705882,-0.130094691535151,-0.137411764705882,-0.1,-0.0719295410471881,-0.0333333333333333,0,-0.102132683675605,0.00730613110195225,0.0403112659698026,-0.0523076923076923,-0.00497882087163879,0.0743145743145743,0.1,0.1,0.102251950947603,0.0884057971014493,0.0666666666666667,0.102251950947603,0.0666666666666667,0.1,0.0926474311735918,0.0884057971014493,0.0920288744725609,0.000783016070687305,-0.00195670995670996,-0.00195670995670996,-0.00195670995670996,0.137238095238095,0.0427700279446537,0.176044720244242,0.100057397188545,0.0333333333333333,0.0619047619047619,0.0677871148459384,0.0661477705836433,0.0849194847020934,0.216724361783274,0.0941176470588235,0.181754385964912,0.217982456140351
"AKT",-0.243624953818306,-0.248052940772268,-0.245696038415366,-0.230643274853801,-0.222222222222222,-0.2,-0.2,-0.0480708709072202,-0.0334367245657568,-0.203752456693633,-0.0173076923076923,-0.2,-0.0941176470588235,-0.22083395082437,-0.137411764705882,-0.127979887909773,-0.130094691535151,-0.129411764705882,-0.0775196031589894,-0.1,-0.0333333333333333,-0.104859956402878,0.00251510154028049,0.0350481080750657,-0.0500854700854701,-0.00688121954823102,0.0706855420565098,0.0666666666666667,0.0666666666666667,0.0916374258079383,0.102251950947603,0.0884057971014493,0.0926474311735918,0.0884057971014493,0.1,0.0920288744725609,0.102251950947603,0.0966442590879455,-0.00379529718232474,0.000783016070687305,0.000783016070687305,0.000783016070687305,0.135433041086471,0.0491920462932776,0.175140197631176,0.1021964346217,0.0619047619047619,0.0677871148459384,0.0661477705836433,0.0762743528621243,0.0851701112685094,0.22083395082437,0.0966817496229261,0.178443127686767,0.218837156995052
"GSK3",-0.244801808802243,-0.248524781479427,-0.245976055842246,-0.225061750322408,-0.227454094820016,-0.218251640832286,-0.195670995670996,-0.0626748741454624,-0.0629346144052026,-0.198282861774241,-0.048249299719888,-0.190909090909091,-0.187083333333333,-0.23461889810571,-0.132919254658385,-0.136048889251434,-0.131177094379639,-0.13768115942029,-0.0979979669453354,-0.180833333333333,-0.193333333333333,-0.119507317846089,-0.00959654400949348,0.00829953400332837,-0.025778029873322,-0.015920185056792,-0.0215863941429135,0.0907894736842105,0.0907894736842105,0.0919693796088445,0.0952712664012974,0.105075187969925,0.0940849640657936,0.105075187969925,0.075,0.099160654181555,0.096465916446746,0.0988317068131339,0.0235495418828346,0.0227092057483808,0.0227092057483808,0.0227092057483808,0.139292484081238,0.0664448293279226,0.162683611510342,0.110695645406976,0.0792156862745098,0.0755119825708061,0.0852864186610317,0.0886955095701226,0.127762129455759,0.23461889810571,0.19742816091954,0.177239351965742,0.23419943238542
"RAF",-0.288501742160279,-0.318341192270703,-0.299529311082585,-0.288306010928962,-0.286666666666667,-0.266666666666667,-0.166666666666667,-0.136169386169386,-0.132323232323232,-0.27732683982684,-0.0777777777777778,-0.1,-0.242857142857143,-0.245598278335725,-0.193333333333333,-0.216875834445928,-0.202857142857143,-0.2,-0.192787114845938,-0.2,-0.2,-0.225644772835321,-0.138508087919853,-0.0235779546124374,0.0104761904761905,-0.0557853106399354,-0.00898345153664303,0.1,0.1,0.107179487179487,0.103333333333333,0.133333333333333,0.110863697705803,0.133333333333333,0,0.126947613789719,0.107017543859649,0.122621914044172,0.05500888000888,0.049025974025974,0.049025974025974,0.049025974025974,0.147562119081106,0.124872251931075,0.44437255930524,0.134105259958704,0.12,0.17,0.201034482758621,0.215928099779897,0.172508489698559,0.245598278335725,0.280357142857143,0.250842832888673,0.239598278335725
"MEK",-0.312138105796642,-0.327566284521626,-0.318341192270703,-0.30203150112504,-0.288306010928962,-0.286666666666667,-0.266666666666667,-0.141278875220481,-0.136169386169386,-0.287915075120957,-0.132323232323232,-0.166666666666667,-0.280357142857143,-0.247979230716677,-0.202857142857143,-0.217605761453227,-0.216875834445928,-0.193333333333333,-0.201997641161728,-0.242857142857143,-0.2,-0.230744954984684,-0.137532478163755,-0.0262806573151401,0.0104761904761905,-0.0518104152424459,-0.00234954490273639,0.133333333333333,0.133333333333333,0.123263403263403,0.107179487179487,0.103333333333333,0.126947613789719,0.107017543859649,0.1,0.122621914044172,0.110863697705803,0.119462062743057,0.0604057054057054,0.05500888000888,0.05500888000888,0.05500888000888,0.158372929891917,0.117179944238768,0.447778885339303,0.135653247574804,0.17,0.201034482758621,0.215928099779897,0.112594766446564,0.177636694826764,0.247979230716677,0.27732683982684,0.268055947642772,0.247441415590627
"ERK",-0.324766092144765,-0.332733457773906,-0.327566284521626,-0.313625704023591,-0.30203150112504,-0.288306010928962,-0.286666666666667,-0.154852282422697,-0.141278875220481,-0.293419662276921,-0.136169386169386,-0.266666666666667,-0.27732683982684,-0.25128631733085,-0.216875834445928,-0.213759607607073,-0.217605761453227,-0.202857142857143,-0.208404326398497,-0.280357142857143,-0.242857142857143,-0.234418144136761,-0.141672312570379,-0.0326054436399264,0.00756356911696718,-0.0518479950996424,-0.00643673836322685,0.103333333333333,0.107017543859649,0.118000245368666,0.123263403263403,0.107179487179487,0.122621914044172,0.110863697705803,0.133333333333333,0.119462062743057,0.126947613789719,0.123142618298612,0.0550151663518,0.0604057054057054,0.0604057054057054,0.0604057054057054,0.159511141274031,0.120924743129198,0.446877172084118,0.137614031888529,0.201034482758621,0.215928099779897,0.112594766446564,0.118444348619266,0.18018299112306,0.25128631733085,0.287915075120957,0.26926076691988,0.250542190784425
"miR200",-0.293474576271186,-0.292682710094977,-0.285472678747015,-0.236501559346909,-0.227805907172996,-0.236666666666667,-0.21,-0.192301355375581,-0.196256157635468,-0.228875017733012,-0.203152709359606,-0.16,-0.205263157894737,-0.264368279569893,-0.214950980392157,-0.239594641307386,-0.24075743200506,-0.220833333333333,-0.175782609105388,-0.2,-0.1,-0.0545334039686168,-0.0135291574544561,-0.0170250345860102,-0.0966602192134107,0.00413646199034192,-0.0020220763452921,0.04,0.04,0.0120055718928958,-0.00777464788732394,-0.012,0.0166239842572779,-0.00782608695652174,0,0.00987795251124617,-0.00360073484384568,0.00699916463245829,0.0133681868806743,0.0101262916188289,0.0101262916188289,0.0101262916188289,-0.0360965858211308,0.170146867447481,0.0165185490132625,0.0507262545197989,0.114285714285714,0.164285714285714,0.182467532467532,0.169542362399505,0.159384874384874,0.264368279569893,0.20812030075188,0.229426084871733,0.262646652864044
"STAT",-0.358,-0.360206008107058,-0.348711755233494,-0.288674281402209,-0.266550387596899,-0.231666666666667,-0.225,-0.200511419472013,-0.174297827239004,-0.208418079096045,-0.16078431372549,-0.2,-0.17,-0.324592074592075,-0.276704545454545,-0.269025928622611,-0.271441387559809,-0.245454545454545,-0.305704633204633,-0.15,-0.1,-0.230536513338761,-0.112682760097928,-0.111540558963872,-0.00927750410509031,-0.0690721994860146,0.0813506898086337,0.0571428571428571,0.0571428571428571,0.0877196333078686,0.100324675324675,0.0821428571428571,0.0892135642135642,0.0821428571428571,0.2,0.088898106800315,0.100324675324675,0.0947383928551422,0.0970281964865499,0.102998345740281,0.102998345740281,0.102998345740281,0.133707077236489,0.0907091908591159,0.183296812328616,0.167469013062027,0.266666666666667,0.286666666666667,0.28078431372549,0.301214421252372,0.293487429942258,0.324592074592075,0.203333333333333,0.214552126655716,0.41985541691424
"NOTCH",-0.248550724637681,-0.375238095238095,-0.345238095238095,-0.289253393665158,-0.248076923076923,-0.225,-0.2,-0.183963133640553,-0.0742857142857143,-0.244444444444444,-0.06,-0.1,-0.2,-0.334702093397746,-0.355555555555556,-0.386781362007168,-0.383555555555556,-0.3,-0.340318302387268,-0.1,0,-0.0287306168647425,-0.00577056819738038,-0.106326530612245,-0.135789473684211,0.00414780067116515,0.0079153605015674,0,0,0.0089044289044289,-0.0123076923076923,-0.02,0.0089044289044289,-0.02,0,0.00560772560772561,-0.0123076923076923,0.00193425621997051,0.0445586297760211,0.0315151515151515,0.0315151515151515,0.0315151515151515,-0.00107816711590296,0.192135593220339,0.192353180588475,0.17012987012987,0.2,0.26,0.326666666666667,0.333809523809524,0.338846153846154,0.334702093397746,0.211111111111111,0.22993746993747,0.327294685990338
"SRC",-0.333217477656405,-0.349620673304884,-0.330701754385965,-0.298278867102396,-0.265925925925926,-0.24,-0.2,-0.220714285714286,-0.199285714285714,-0.123076923076923,-0.185,-0.1,-0.0666666666666667,-0.340386343216532,-0.370833333333333,-0.392824675324675,-0.394642857142857,-0.333333333333333,-0.434310850439883,0,0.1,-0.240274948363184,-0.108529037569226,-0.130228758169935,-0.0285714285714286,0.00768912247173117,0.203376623376623,0.1,0.2,0.116475409836066,0.105,0.075,0.116475409836066,0.075,0.2,0.109158336665334,0.105,0.111171759484126,-0.00303068229225926,-0.00757613683771381,-0.00757613683771381,-0.00757613683771381,0.153414934761358,0.198383225969433,0.227568823604856,0.184289269506661,0.233333333333333,0.260606060606061,0.282828282828283,0.288488660186773,0.339242335745065,0.340386343216532,0.0897435897435897,0.232062455892731,0.432945736434109
"NOTCHic",-0.280858416945374,-0.388907159986297,-0.375238095238095,-0.316135114095266,-0.289253393665158,-0.248076923076923,-0.225,-0.215542081008974,-0.183963133640553,-0.265374677002584,-0.0742857142857143,-0.2,-0.211111111111111,-0.342850241545894,-0.383555555555556,-0.383596648631372,-0.386781362007168,-0.355555555555556,-0.358628161542198,-0.2,-0.1,-0.0365407240622923,-0.0120586006517414,-0.119229756418697,-0.140334928229665,0.00448113400449849,0.00213023653462525,-0.02,-0.02,0.0035280848184074,0.0089044289044289,-0.0123076923076923,0.00560772560772561,-0.0123076923076923,0,0.00193425621997051,0.0089044289044289,0.00727776767035218,0.0391399105641984,0.0445586297760211,0.0445586297760211,0.0445586297760211,0.00169961066187481,0.19779597057883,0.193355184596491,0.175332182268598,0.26,0.326666666666667,0.333809523809524,0.350952380952381,0.347840862840863,0.342850241545894,0.244444444444444,0.239871244771907,0.334437543133195
"cfos",-0.383033483258371,-0.390996757125789,-0.374867724867725,-0.334792626728111,-0.301459293394777,-0.259523809523809,-0.242857142857143,-0.261282051282051,-0.216666666666667,-0.271052631578947,-0.216666666666667,-0.2,-0.2,-0.345657019870095,-0.385714285714286,-0.382505729564553,-0.391596638655462,-0.342857142857143,-0.369324009324009,-0.2,-0.1,-0.143178622204452,-0.098282114215708,-0.135152012024322,-0.123611111111111,-0.0615984289908728,0.0378869047619048,0.05,0.05,0.0802144249512671,0.0907407407407407,0.05,0.0826326326326326,0.05,0.1,0.0747118405534247,0.0907407407407407,0.083971099812684,0.0882193527817631,0.101633986928105,0.101633986928105,0.101633986928105,0.100591133004926,0.201367965367965,0.269302935507315,0.176525761819879,0.36,0.36,0.355652173913043,0.374296241709654,0.354888487040386,0.345657019870095,0.25,0.280034722222222,0.337365079365079
"CDC42",-0.383033483258371,-0.390996757125789,-0.374867724867725,-0.334792626728111,-0.301459293394777,-0.259523809523809,-0.242857142857143,-0.261282051282051,-0.216666666666667,-0.271052631578947,-0.216666666666667,-0.2,-0.2,-0.345657019870095,-0.385714285714286,-0.382505729564553,-0.391596638655462,-0.242857142857143,-0.369324009324009,-0.2,-0.1,-0.143178622204452,-0.098282114215708,-0.135152012024322,-0.123611111111111,-0.0615984289908728,0.0378869047619048,0.05,0.05,0.0802144249512671,0.0907407407407407,0.05,0.0826326326326326,0.05,0.1,0.0747118405534247,0.0907407407407407,0.083971099812684,0.0882193527817631,0.101633986928105,0.101633986928105,0.101633986928105,0.100591133004926,0.201367965367965,0.269302935507315,0.176525761819879,0.26,0.36,0.355652173913043,0.374296241709654,0.354888487040386,0.345657019870095,0.25,0.280034722222222,0.337365079365079
"ZEB2",-0.486936611775321,-0.477853399320249,-0.468097301759274,-0.434836870446627,-0.426655052264808,-0.407142857142857,-0.392857142857143,-0.384840689365279,-0.371179487179487,-0.365807372793354,-0.353846153846154,-0.35,-0.348611111111111,-0.347483093940966,-0.343376623376623,-0.343149866007009,-0.339975262832406,-0.323376623376623,-0.316747181964573,-0.311111111111111,-0.3,-0.179219346144858,-0.122558238266103,-0.122136752136752,-0.120970695970696,-0.103953463367544,-0.0268089736498986,0.0727272727272727,0.08,0.0872226855713094,0.0927272727272727,0.0927272727272727,0.0980019493177388,0.1,0.1,0.102227301430415,0.102631578947368,0.103785742988856,0.111089203444664,0.111731601731602,0.111731601731602,0.111731601731602,0.129339360696253,0.152091247801167,0.172565751220438,0.185275624304892,0.25,0.265789473684211,0.272241086587436,0.285655720733778,0.287042442266913,0.347483093940966,0.368611111111111,0.384808290070162,0.444042705653795
"Csl",-0.294583907141452,-0.396129382208519,-0.388907159986297,-0.322169596853887,-0.316135114095266,-0.289253393665158,-0.248076923076923,-0.226451171918065,-0.215542081008974,-0.272351421188631,-0.183963133640553,-0.225,-0.244444444444444,-0.350032561987883,-0.386781362007168,-0.390626127089422,-0.383596648631372,-0.383555555555556,-0.367383921910861,-0.211111111111111,-0.2,-0.0372383984808969,-0.0132818422419555,-0.121528606993409,-0.134643871319096,0.00112951913551616,0.000510207079544247,-0.0123076923076923,-0.0123076923076923,-0.00131062485901196,0.0035280848184074,0.0089044289044289,0.00193425621997051,0.0089044289044289,-0.02,0.00727776767035218,0.00560772560772561,0.00870715589219324,0.0406104987994925,0.0391399105641984,0.0391399105641984,0.0391399105641984,0.000414263618173014,0.203439311436617,0.197158316587542,0.179035885972302,0.326666666666667,0.333809523809524,0.350952380952381,0.363995859213251,0.349421890508847,0.350032561987883,0.265374677002584,0.242475411438574,0.341580400276052
"PAK1",-0.399209953846606,-0.399383853899983,-0.390996757125789,-0.340792626728111,-0.334792626728111,-0.301459293394777,-0.259523809523809,-0.273369963369963,-0.261282051282051,-0.274756335282651,-0.216666666666667,-0.242857142857143,-0.25,-0.354338691895818,-0.391596638655462,-0.392888243225755,-0.382505729564553,-0.385714285714286,-0.377611302141689,-0.2,-0.2,-0.14255578483421,-0.0991978651314589,-0.135841667196736,-0.116680418041804,-0.0677638425247073,0.0357050865800866,0.05,0.05,0.0709461322683402,0.0802144249512671,0.0907407407407407,0.0747118405534247,0.0907407407407407,0.05,0.083971099812684,0.0826326326326326,0.0856262722264771,0.0914011709635813,0.0882193527817631,0.0882193527817631,0.0882193527817631,0.0968175480992658,0.210063617541878,0.274547058472957,0.180586675525463,0.36,0.355652173913043,0.374296241709654,0.395629575042987,0.355604477493846,0.354338691895818,0.271052631578947,0.281261716087253,0.345561800676555
"LIV1",-0.399209953846606,-0.399383853899983,-0.390996757125789,-0.340792626728111,-0.334792626728111,-0.301459293394777,-0.259523809523809,-0.273369963369963,-0.261282051282051,-0.274756335282651,-0.216666666666667,-0.242857142857143,-0.25,-0.354338691895818,-0.391596638655462,-0.392888243225755,-0.382505729564553,-0.385714285714286,-0.377611302141689,-0.2,-0.2,-0.14255578483421,-0.0991978651314589,-0.135841667196736,-0.116680418041804,-0.0677638425247073,0.0357050865800866,0.05,0.05,0.0709461322683402,0.0802144249512671,0.0907407407407407,0.0747118405534247,0.0907407407407407,0.05,0.083971099812684,0.0826326326326326,0.0856262722264771,0.0914011709635813,0.0882193527817631,0.0882193527817631,0.0882193527817631,0.0968175480992658,0.210063617541878,0.274547058472957,0.180586675525463,0.36,0.355652173913043,0.374296241709654,0.395629575042987,0.355604477493846,0.354338691895818,0.271052631578947,0.281261716087253,0.345561800676555
"EGR1",-0.399209953846606,-0.399383853899983,-0.390996757125789,-0.340792626728111,-0.334792626728111,-0.301459293394777,-0.259523809523809,-0.273369963369963,-0.261282051282051,-0.274756335282651,-0.216666666666667,-0.242857142857143,-0.25,-0.354338691895818,-0.391596638655462,-0.392888243225755,-0.382505729564553,-0.385714285714286,-0.377611302141689,-0.2,-0.2,-0.14255578483421,-0.0991978651314589,-0.135841667196736,-0.116680418041804,-0.0677638425247073,0.0357050865800866,0.05,0.05,0.0709461322683402,0.0802144249512671,0.0907407407407407,0.0747118405534247,0.0907407407407407,0.05,0.083971099812684,0.0826326326326326,0.0856262722264771,0.0914011709635813,0.0882193527817631,0.0882193527817631,0.0882193527817631,0.0968175480992658,0.210063617541878,0.274547058472957,0.180586675525463,0.36,0.355652173913043,0.374296241709654,0.395629575042987,0.355604477493846,0.354338691895818,0.271052631578947,0.281261716087253,0.345561800676555
"SNAI1",-0.406948049084701,-0.405902919090635,-0.399383853899983,-0.342151850029081,-0.340792626728111,-0.334792626728111,-0.301459293394777,-0.269696493982208,-0.273369963369963,-0.289339668615984,-0.261282051282051,-0.259523809523809,-0.271052631578947,-0.356675715266052,-0.382505729564553,-0.398331791612852,-0.392888243225755,-0.391596638655462,-0.380540172434576,-0.25,-0.2,-0.143232163606322,-0.0980579687584019,-0.132156787908299,-0.110265323702182,-0.0661739302440056,0.0415796740388324,0.0907407407407407,0.0907407407407407,0.0795384540233676,0.0709461322683402,0.0802144249512671,0.083971099812684,0.0826326326326326,0.05,0.0856262722264771,0.0747118405534247,0.0830965871464564,0.096819890175404,0.0914011709635813,0.0914011709635813,0.0914011709635813,0.10124645252817,0.204422591900853,0.278737470809531,0.180874859963504,0.355652173913043,0.374296241709654,0.395629575042987,0.392490561590072,0.258273516639754,0.356675715266052,0.274756335282651,0.290202892557841,0.353973015629826
