"","FOXC2","SNAI1","ERK","MEK","TWIST1","TrCP","SUFU","ZEB2","Jagged","SOSGRB2","IKK","NOTCHic","Csl","FUS","SMO","HEY1","Patched","SMAD","ILK","SHH","miR200","KLF4","TGFR","Ecadherin","STAT","LIV1","DELTA","SNAI2","cateninmemb","cateninnuc","TCFLEF","SRC","GLI","CD44","Wnt","cMet","Destcompl","Frizzled","AXIN2","DSH","RAF","PI3K","RAS","TGF","PAK1","CDC42","GSK3","ZEB1","AKT","NFB","NOTCH","EGR1","Csn","cfos","RKIP"
"cfos",0.246765047482408,0.117246972436846,0.25304347826087,0.261518054532056,0.212831168831169,0,-0.0333333333333333,0.299727122487413,0.0355555555555555,0.155555555555556,-0.108333333333333,0.0153846153846154,0,-0.104761904761905,-0.121428571428571,-0.0956521739130435,-0.13110599078341,-0.0936251920122888,-0.0952380952380952,-0.142217101894521,0.200946439181733,0.284126984126984,-0.0669467787114846,0.199092745474668,-0.15,-0.1,-0.113289760348584,-0.0190400353904004,0.254538213555747,0.273389131705963,0.260796539113371,-0.19,0.244385964912281,0.244954954954955,0.223333333333333,-0.223333333333333,-0.267370171625468,0.19,0.272348111658457,0.15,0.113289760348584,0.113289760348584,0.11694829693395,0.0730073847720906,0.0428571428571429,0.0571428571428571,-0.215113636363636,0.0876705484453668,0.108333333333333,0.108333333333333,-0.0323076923076923,-0.12,0.0333333333333333,-0.24,-0.147808857808858
"ERK",0.280034172103138,0.231638509001092,0.313978967962827,0.32149985932773,0.181686280595475,0.142857142857143,0.113333333333333,0.30057842375155,0.179917081078835,0.392195407612883,0.127170868347339,0.125906170066754,0.114957264957265,0.0693333333333333,0.0709726775956284,0.0874265337130566,0.0546328083145827,0.0665645318382127,0.0674763859415561,0.0362753203918773,0.239943542171829,0.282007051260663,0.0917931126335519,0.0636285022339827,-0.0929824561403509,-0.0666666666666667,0.112412587412587,0.0776615620124757,0.0815610741252901,0.20792569516309,0.192647917385312,-0.123751686909582,0.178307832518359,0.174432304002412,0.157505827505827,-0.153821616979512,-0.462665998572737,0.127435897435897,0.16983717586064,0.0966666666666667,-0.112412587412587,-0.112412587412587,-0.113842730426889,-0.0821777280181673,-0.0952380952380952,-0.0961726746773476,-0.518771947625794,0.00585036447201632,-0.124418574769357,-0.10952380952381,-0.134493427684483,-0.377241379310345,-0.142857142857143,-0.400645634629494,-0.46497557386831
"SRC",0.37624649859944,0.241484515059539,-0.0646464646464647,-0.0627596721936345,0.308313755210307,0.1,-0.0333333333333333,0.303092243186583,0.0693383909668313,-0.00857142857142857,0.0282051282051282,-0.0807142857142857,-0.095,-0.0833333333333333,-0.143333333333333,-0.158556769281695,-0.176666666666667,-0.134483167377904,-0.140789473684211,-0.200196078431372,0.238673693456302,0.383785529715762,0.00615079365079365,0.337136703166115,-0.1,0,0.13014601585315,-0.0971548936619665,0.39680848675348,0.41622120279405,0.395415833666533,-0.275,0.366147540983607,0.366147540983607,0.335,-0.335,-0.328263656633222,0.275,0.393038378171618,0.2,-0.13014601585315,-0.13014601585315,-0.134691470398604,0.0102128427128427,-0.0222222222222222,-0.0347222222222222,-0.272034632034632,0.0468253968253968,-0.0170940170940171,-0.0666666666666667,0.0628571428571429,0.0666666666666667,-0.1,0.0757575757575758,-0.108862821766048
"LIV1",0.263316771620339,0.128941483176703,0.261518054532056,0.274851387865389,0.225331168831169,-0.0333333333333333,-0.104761904761905,0.312267315413458,0.0459850034083163,0.162486248624862,-0.108333333333333,0.0323076923076923,0.0153846153846154,-0.121428571428571,-0.13110599078341,-0.0941815856777494,-0.142217101894521,-0.0962058371735791,-0.0936251920122888,-0.149217101894521,0.212621566085287,0.29560239396305,-0.0730073847720906,0.204836690111346,-0.19,-0.15,-0.11694829693395,-0.0213908491336192,0.264611473629007,0.283596028257688,0.273389131705963,-0.223333333333333,0.259507916131793,0.260796539113371,0.244385964912281,-0.244954954954955,-0.277445359595392,0.223333333333333,0.292473897821979,0.19,0.11694829693395,0.11694829693395,0.117402842388495,0.079564761821271,0.0571428571428571,0.0669467787114846,-0.227113636363636,0.0873490050370067,0.112037037037037,0.108333333333333,-0.0432967032967033,-0.24,0.108333333333333,-0.25304347826087,-0.1605160401293
"EGR1",0.263316771620339,0.128941483176703,0.261518054532056,0.274851387865389,0.225331168831169,-0.0333333333333333,-0.104761904761905,0.312267315413458,0.0459850034083163,0.162486248624862,-0.108333333333333,0.0323076923076923,0.0153846153846154,-0.121428571428571,-0.13110599078341,-0.0941815856777494,-0.142217101894521,-0.0962058371735791,-0.0936251920122888,-0.149217101894521,0.212621566085287,0.29560239396305,-0.0730073847720906,0.204836690111346,-0.19,-0.15,-0.11694829693395,-0.0213908491336192,0.264611473629007,0.283596028257688,0.273389131705963,-0.223333333333333,0.259507916131793,0.260796539113371,0.244385964912281,-0.244954954954955,-0.277445359595392,0.223333333333333,0.292473897821979,0.19,0.11694829693395,0.11694829693395,0.117402842388495,0.079564761821271,0.0571428571428571,0.0669467787114846,-0.227113636363636,0.0873490050370067,0.112037037037037,0.108333333333333,-0.0432967032967033,-0.24,0.108333333333333,-0.25304347826087,-0.1605160401293
"SNAI1",0.275387927910046,0.0367706646713646,0.274851387865389,0.282923136744313,0.237331168831169,-0.108333333333333,-0.121428571428571,0.323952432264627,0.0530438269377281,0.167391909002221,-0.112037037037037,0.0432967032967033,0.0323076923076923,-0.13110599078341,-0.142217101894521,-0.0953720618682256,-0.149217101894521,-0.101248887604083,-0.0962058371735791,-0.156789917428502,0.22117103774715,0.306505820754327,-0.079564761821271,0.210143662015613,-0.223333333333333,-0.19,-0.117402842388495,-0.0237710033407931,0.272590748240406,0.29190785066347,0.283596028257688,-0.244954954954955,0.271025283590659,0.273389131705963,0.259507916131793,-0.260796539113371,-0.285230447314691,0.244385964912281,0.307858513206594,0.223333333333333,0.117402842388495,0.117402842388495,0.11888067490081,0.0823873424664323,0.0669467787114846,0.0730073847720906,-0.235892514251425,0.0869800013469698,0.113425925925926,0.108333333333333,-0.0514599686028257,-0.25304347826087,0.108333333333333,-0.261518054532056,-0.171813111259007
"SHH",0.35,0.233333333333333,0.1,0.16,0.25,0,0,0.325,0.162857142857143,-0.05,-0.1,0.2,0.1,0,-0.1,-0.0666666666666667,-0.133333333333333,-0.116666666666667,-0.0666666666666667,-0.293333333333333,0.283333333333333,0.3,0,0.153611111111111,-0.1,0,0,-0.0498850574712644,0.288172043010753,0.402222222222222,0.346666666666667,-0.1,0.4,0.3,0.3,-0.2,-0.366493506493506,0.2,0.4,0.2,0,0,0.0230769230769231,0.06,0,0.1,-0.32051282051282,0.025,0.1,0,-0.2,0,0,-0.1,-0.22
"NOTCHic",0.298768926925609,0.159159544159544,0.274761904761905,0.286190476190476,0.276152968766656,0,-0.0333333333333333,0.32731078904992,0.0904283452627823,0.168373205741627,-0.111111111111111,0.0568663594470046,0.134285714285714,-0.108333333333333,-0.131410256410256,0.00280936454849499,-0.149057315233786,-0.0992908530318602,-0.0985714285714286,-0.167336885126259,0.224269949703476,0.300379572118703,-0.0836845878136201,0.241232480623581,-0.16,-0.1,-0.119235836627141,-0.0316194672377627,0.310962698180252,0.331831287578289,0.31305266162409,-0.213846153846154,0.288332957365215,0.288971028971029,0.259300699300699,-0.259300699300699,-0.305767966898808,0.213846153846154,0.319871967654987,0.16,0.119235836627141,0.119235836627141,0.12268411248921,0.0932387279410086,0.0555555555555556,0.0675555555555556,-0.250176530192204,0.0788083735909823,0.11343669250646,0.111111111111111,-0.0805505699733204,-0.22,0.0333333333333333,-0.253333333333333,-0.179609220308589
"Csl",0.322332145316414,0.174969820839386,0.286190476190476,0.305755693581781,0.295791794951758,-0.0333333333333333,-0.108333333333333,0.34609531943666,0.105532511929449,0.177316295172521,-0.11343669250646,0.0805505699733204,0.0568663594470046,-0.131410256410256,-0.149057315233786,0.00346295931973682,-0.167336885126259,-0.105957519698527,-0.0992908530318602,-0.1794058506435,0.241045548832016,0.320379572118703,-0.0932387279410086,0.250185968995674,-0.213846153846154,-0.16,-0.12268411248921,-0.0349751719357492,0.326100312859151,0.347211504845298,0.331831287578289,-0.259300699300699,0.311720054139409,0.31305266162409,0.288332957365215,-0.288971028971029,-0.32033225696584,0.259300699300699,0.348920810842647,0.213846153846154,0.12268411248921,0.12268411248921,0.124889994842151,0.102082265355975,0.0675555555555556,0.0836845878136201,-0.267407752578066,0.078255887403137,0.120413436692506,0.111111111111111,-0.0950960245187749,-0.253333333333333,0.111111111111111,-0.274761904761905,-0.198503229525179
"Patched",0.39,0.255913978494624,0.16,0.152307692307692,0.290740740740741,0,0,0.358333333333333,0.166560846560847,0.0166666666666667,-0.1,0.2,0.2,-0.1,-0.133333333333333,-0.105128205128205,-0.293333333333333,-0.126666666666667,-0.116666666666667,-0.355833333333333,0.297619047619048,0.311111111111111,-0.06,0.173999460625674,-0.1,-0.1,-0.0230769230769231,-0.072551724137931,0.321505376344086,0.436202804746494,0.402222222222222,-0.2,0.4375,0.346666666666667,0.4,-0.3,-0.404955044955045,0.3,0.463636363636364,0.2,0.0230769230769231,0.0230769230769231,0.0168269230769231,0.0766666666666667,0.1,0,-0.358608058608059,0.025,0.114285714285714,0.1,-0.227272727272727,-0.1,0,-0.1,-0.248571428571429
"STAT",0.378862985685072,0.231935260110161,0.290980392156863,0.313561037318153,0.41842065979997,0,-0.05,0.37534516765286,0.150958247416675,0.241297208538588,-0.114761904761905,0.114043455219926,0.0843137254901961,-0.125,-0.158333333333333,-0.101333333333333,-0.183914728682171,-0.116097506802154,-0.10805152979066,-0.204268710983055,0.265395729505379,0.440790255496138,-0.118062200956938,0.379074231740644,-0.271428571428571,-0.1,-0.175568651778329,-0.0993059675103019,0.444262376688085,0.466106866227983,0.443580048587935,-0.333928571428571,0.41551757066463,0.416135253635254,0.379383116883117,-0.379383116883117,-0.408547055893865,0.333928571428571,0.446831991537874,0.271428571428571,0.175568651778329,0.175568651778329,0.181538801032061,0.129173312068049,0.0772727272727273,0.102272727272727,-0.359245660881175,0.0676169983862291,0.123236481033091,0.11,-0.136373552307304,-0.233333333333333,0.05,-0.273333333333333,-0.25037323037323
"SMO",0.421034482758621,0.274961597542243,0.152307692307692,0.185641025641026,0.328976034858388,0,-0.1,0.376977401129943,0.198703703703704,0.0219298245614035,-0.114285714285714,0.227272727272727,0.2,-0.133333333333333,-0.293333333333333,-0.10989010989011,-0.355833333333333,-0.144126984126984,-0.126666666666667,-0.378055555555556,0.3166063893912,0.344444444444444,-0.0766666666666667,0.189128611917187,-0.2,-0.1,-0.0168269230769231,-0.0744564860426929,0.348689842363504,0.466277992716419,0.436202804746494,-0.3,0.493055555555556,0.402222222222222,0.4375,-0.346666666666667,-0.432862021699231,0.4,0.522257053291536,0.3,0.0168269230769231,0.0168269230769231,0.0284548300536673,0.0901801801801802,0,0.06,-0.394530388705146,0.0199152542372881,0.150285714285714,0.1,-0.237272727272727,-0.1,0.1,-0.16,-0.276349206349206
"KLF4",0.492538818310143,0.391057907291682,0.234331550802139,0.258042891008325,0.567193899782135,-0.1,-0.2,0.385887512899897,0.5041461087638,0.148056032018296,-0.143809523809524,0.355215311004785,0.323636363636364,-0.3,-0.366666666666667,-0.0438044308632544,-0.410416666666667,-0.108521739130435,-0.0853333333333333,-0.456653225806452,0.34996743996744,0.292592592592593,-0.193454545454545,0.492781141743722,-0.4,-0.3,-0.152179487179487,-0.198330720983432,0.650326581729021,0.648543073736153,0.615790894408631,-0.464705882352941,0.574048304165291,0.575322666983882,0.52749658002736,-0.52749658002736,-0.486548712865691,0.464705882352941,0.603499491573094,0.4,0.152179487179487,0.152179487179487,0.157326546003017,0.21150332594235,0.145454545454545,0.173454545454545,-0.444778376699294,-0.127843137254902,0.151216931216931,0.12,-0.380988506881073,-0.16,0.1,-0.187272727272727,-0.366512059369202
"HEY1",0.492538818310143,0.391057907291682,0.234331550802139,0.258042891008325,0.567193899782135,-0.1,-0.2,0.385887512899897,0.5041461087638,0.148056032018296,-0.143809523809524,0.355215311004785,0.323636363636364,-0.3,-0.366666666666667,-0.0438044308632544,-0.410416666666667,-0.108521739130435,-0.0853333333333333,-0.456653225806452,0.34996743996744,0.292592592592593,-0.193454545454545,0.492781141743722,-0.4,-0.3,-0.152179487179487,-0.198330720983432,0.650326581729021,0.648543073736153,0.615790894408631,-0.464705882352941,0.574048304165291,0.575322666983882,0.52749658002736,-0.52749658002736,-0.486548712865691,0.464705882352941,0.603499491573094,0.4,0.152179487179487,0.152179487179487,0.157326546003017,0.21150332594235,0.145454545454545,0.173454545454545,-0.444778376699294,-0.127843137254902,0.151216931216931,0.12,-0.380988506881073,-0.16,0.1,-0.187272727272727,-0.366512059369202
"FOXC2",0.492538818310143,0.391057907291682,0.234331550802139,0.258042891008325,0.567193899782135,-0.1,-0.2,0.385887512899897,0.5041461087638,0.148056032018296,-0.143809523809524,0.355215311004785,0.323636363636364,-0.3,-0.366666666666667,-0.0438044308632544,-0.410416666666667,-0.108521739130435,-0.0853333333333333,-0.456653225806452,0.34996743996744,0.292592592592593,-0.193454545454545,0.492781141743722,-0.4,-0.3,-0.152179487179487,-0.198330720983432,0.650326581729021,0.648543073736153,0.615790894408631,-0.464705882352941,0.574048304165291,0.575322666983882,0.52749658002736,-0.52749658002736,-0.486548712865691,0.464705882352941,0.603499491573094,0.4,0.152179487179487,0.152179487179487,0.157326546003017,0.21150332594235,0.145454545454545,0.173454545454545,-0.444778376699294,-0.127843137254902,0.151216931216931,0.12,-0.380988506881073,-0.16,0.1,-0.187272727272727,-0.366512059369202
"FUS",0.448666061705989,0.297603106976205,0.185641025641026,0.195985853227233,0.355677605539016,-0.1,-0.133333333333333,0.395995806037919,0.213161535029005,0.0257759784075574,-0.150285714285714,0.237272727272727,0.227272727272727,-0.293333333333333,-0.355833333333333,-0.125832138875617,-0.378055555555556,-0.152514080901178,-0.144126984126984,-0.409368686868687,0.331457874539714,0.3591985428051,-0.0901801801801802,0.199813543424036,-0.3,-0.2,-0.0284548300536673,-0.0836126799385637,0.37122243081788,0.489104079672941,0.466277992716419,-0.346666666666667,0.525747863247863,0.436202804746494,0.493055555555556,-0.402222222222222,-0.455489758925508,0.4375,0.565114196148679,0.4,0.0284548300536673,0.0284548300536673,0.0297648737217895,0.106137626988691,0.06,0.0766666666666667,-0.415600622818858,0.0193017573047728,0.150285714285714,0.114285714285714,-0.255454545454545,-0.16,0.1,-0.152307692307692,-0.29181312387498
"Wnt",0.450688259109312,0.341097308488613,0.0333333333333333,0.0627450980392157,0.364705882352941,0.1,0,0.396461023433764,0.0967156862745098,0.175757575757576,0.113333333333333,-0.0857142857142857,-0.1,0,-0.05,-0.101025641025641,-0.113636363636364,-0.112860266348638,-0.0965811965811966,-0.146969696969697,0.316666666666667,0.374509803921569,0.06,0.249589749353715,-0.1,0,0.219548872180451,-0.0911206896551724,0.308177966101695,0.44136334213016,0.396992481203008,-0.2,0.343421052631579,0.343421052631579,0.275,-0.275,-0.591488036862342,0.3,0.355151515151515,0.2,-0.219548872180451,-0.219548872180451,-0.219548872180451,-0.0295652173913044,-0.1,-0.0666666666666667,-0.602899686520376,0.0347680535628886,-0.0883333333333333,-0.133333333333333,0.0857142857142857,0,-0.1,-0.0333333333333333,-0.286666666666667
"cateninnuc",0.511531086399939,0.387096892506135,0.235354369228888,0.251409415100447,0.487055710656629,-0.0333333333333333,-0.255555555555556,0.396879635282215,0.407411022847347,0.135795200944318,-0.0773030303030303,0.354505905195696,0.340552416823603,-0.285555555555556,-0.333096539162113,-0.0665776389684935,-0.359804613696274,-0.120546497916211,-0.110314574314574,-0.380501781452266,0.347520318687537,0.315797518021717,-0.130131615510926,0.187356131933308,-0.406993006993007,-0.345454545454545,-0.0657316107316107,-0.108369932834306,0.428388635279808,0.450218285465557,0.532405526559178,-0.445881895881896,0.507516857769985,0.50992606427389,0.479848873580261,-0.481751461099287,-0.484543767854161,0.44397930836287,0.648543073736153,0.406993006993007,0.0657316107316107,0.0657316107316107,0.0689302639302639,0.141266986689965,0.101714285714286,0.118637362637363,-0.450097761319687,-0.0660157019718036,0.0851155303030303,0.0553030303030303,-0.366778632468424,-0.206521739130435,0.0583333333333333,-0.217632850241546,-0.378152285266429
"ILK",0.45523112659698,0.344154589371981,0.0484593837535014,0.0500987280157965,0.372539569403433,0.2,0,0.406208432737718,0.0973684210526316,0.162692307692308,0.203921568627451,-0.107692307692308,-0.1,-0.05,-0.116666666666667,-0.116059597080685,-0.13974358974359,-0.125501400560224,-0.113501400560224,-0.167521367521368,0.319855063707523,0.378508771929825,0.0451176470588235,0.207292427378654,-0.2,-0.1,0.265800865800866,-0.0650604457496882,0.27433649355589,0.421663265823595,0.393415843143183,-0.255555555555556,0.356692679301375,0.356692679301375,0.31207729468599,-0.31207729468599,-0.606313576605692,0.255555555555556,0.376666666666667,0.2,-0.265800865800866,-0.265800865800866,-0.267170728814564,-0.0361745576279292,-0.075,-0.0691176470588235,-0.629292929292929,0.0283661976402616,-0.211613876319759,-0.233333333333333,0.0947890818858561,-0.0333333333333333,-0.233333333333333,-0.019047619047619,-0.303199741435036
"SMAD",0.394226845181619,0.251743717751782,0.289025827885543,0.30921813557785,0.333329206967209,0.1,-0.00833333333333333,0.408018152390861,0.203469487501746,0.182763975155279,0.0250233426704015,0.156124794745484,0.134285714285714,-0.0333333333333333,-0.0533333333333333,0.0191476321806567,-0.0781039755351682,-0.12419023898476,-0.0165711913657119,-0.0933456112229005,0.290445037828215,0.382993482942518,-0.0570598638385246,0.265112363109001,-0.217142857142857,-0.16,-0.00618340611353712,-0.0346362250849283,0.341889365073296,0.368627327578741,0.350592879757059,-0.267142857142857,0.333839960998234,0.32847619047619,0.306501831501832,-0.300476190476191,-0.347477228633062,0.273809523809524,0.361318695399485,0.223809523809524,0.00618340611353712,0.00618340611353712,0.00815709032406343,0.0678168359500784,0.030952380952381,0.0464453386988598,-0.396446021258051,0.0712505923504761,-0.0143566760037348,-0.026984126984127,-0.168823207443897,-0.257142857142857,-0.0222222222222222,-0.279723502304147,-0.255590481455942
"TGFR",0.463819062084678,0.329565013961635,0.50858813700919,0.520916904132477,0.382830499538685,0.0333333333333333,0.113333333333333,0.414530399631216,0.202696847452562,0.495987654320988,-0.0290726817042606,0.267126436781609,0.253333333333333,0.0633333333333333,0.0391954022988506,0.0858868135146319,0.0204454022988506,0.051087166000494,0.050019550342131,-0.000458552503409318,0.327728296916283,0.393272129599361,-0.00805555555555556,0.257847433511012,-0.166666666666667,-0.1,-0.177380952380952,0.0164464175529937,0.316396530095798,0.341053157862485,0.320415425355842,-0.216666666666667,0.298920963394487,0.294099635882158,0.268598382749326,-0.263836477987421,-0.313612343468907,0.221428571428571,0.320099196887466,0.171428571428571,0.177380952380952,0.177380952380952,0.177380952380952,0.0208215130023641,-0.104444444444444,-0.104444444444444,-0.270909749169454,0.000633867713009373,0.0313982630996095,0.0238095238095238,-0.283673199371537,-0.442857142857143,-0.0333333333333333,-0.479699248120301,-0.365411255411255
"SUFU",0.47323181852981,0.310720653824587,0.195985853227233,0.20747521492936,0.381863172549325,-0.1,-0.293333333333333,0.414836385748064,0.229076024340169,0.040461293092872,-0.150285714285714,0.255454545454545,0.237272727272727,-0.355833333333333,-0.378055555555556,-0.131856235261159,-0.409368686868687,-0.159211540485473,-0.152514080901178,-0.427515405015405,0.346327763015551,0.375366207475759,-0.106137626988691,0.210627137656786,-0.346666666666667,-0.3,-0.0297648737217895,-0.0872382567348722,0.388002785524565,0.507160345657595,0.489104079672941,-0.402222222222222,0.55511589298764,0.466277992716419,0.525747863247863,-0.436202804746494,-0.472342496830878,0.493055555555556,0.600008809731817,0.4375,0.0297648737217895,0.0297648737217895,0.0338787977724224,0.113435457363444,0.0766666666666667,0.0901801801801802,-0.437451522561789,0.0149539312178163,0.164379674017258,0.150285714285714,-0.268946608946609,-0.152307692307692,0.114285714285714,-0.185641025641026,-0.315894756528041
"Ecadherin",0.52663492814996,0.410678160456239,0.258042891008325,0.278042891008325,0.601272112072638,-0.1,-0.3,0.415271399155821,0.524512241486912,0.166477084649875,-0.151216931216931,0.380988506881073,0.355215311004785,-0.366666666666667,-0.410416666666667,-0.0605829543531873,-0.456653225806452,-0.12329171491736,-0.108521739130435,-0.490511493522987,0.373244907378986,0.328035630567276,-0.21150332594235,0.407971015161444,-0.464705882352941,-0.4,-0.157326546003017,-0.204531804667959,0.676480427882867,0.674873605949038,0.648543073736153,-0.52749658002736,0.614048304165291,0.615790894408631,0.574048304165291,-0.575322666983882,-0.509475087516204,0.52749658002736,0.649891244150414,0.464705882352941,0.157326546003017,0.157326546003017,0.162075149354972,0.225427376575262,0.173454545454545,0.193454545454545,-0.471930694580088,-0.128317070904191,0.168100048100048,0.143809523809524,-0.399204120263973,-0.187272727272727,0.12,-0.234331550802139,-0.396100074350476
"cateninmemb",0.52663492814996,0.410678160456239,0.258042891008325,0.278042891008325,0.601272112072638,-0.1,-0.3,0.415271399155821,0.524512241486912,0.166477084649875,-0.151216931216931,0.380988506881073,0.355215311004785,-0.366666666666667,-0.410416666666667,-0.0605829543531873,-0.456653225806452,-0.12329171491736,-0.108521739130435,-0.490511493522987,0.373244907378986,0.328035630567276,-0.21150332594235,0.38912388872088,-0.464705882352941,-0.4,-0.157326546003017,-0.204531804667959,0.573551763569067,0.674873605949038,0.648543073736153,-0.52749658002736,0.614048304165291,0.615790894408631,0.574048304165291,-0.575322666983882,-0.509475087516204,0.52749658002736,0.649891244150414,0.464705882352941,0.157326546003017,0.157326546003017,0.162075149354972,0.225427376575262,0.173454545454545,0.193454545454545,-0.471930694580088,-0.128317070904191,0.168100048100048,0.143809523809524,-0.399204120263973,-0.187272727272727,0.12,-0.234331550802139,-0.396100074350476
"Frizzled",0.492548724225591,0.371256038647343,0.0627450980392157,0.0701525054466231,0.41327731092437,0.1,0,0.427154092740694,0.119948009506833,0.190909090909091,0.0883333333333333,-0.0857142857142857,-0.0857142857142857,-0.05,-0.113636363636364,-0.115919258046918,-0.146969696969697,-0.125009799058919,-0.112860266348638,-0.179227761485826,0.336979166666667,0.393557422969188,0.0295652173913044,0.268004667768633,-0.2,-0.1,0.219548872180451,-0.10405444359839,0.336431934355663,0.474220484987303,0.44136334213016,-0.275,0.396992481203008,0.396992481203008,0.343421052631579,-0.343421052631579,-0.629949575323881,0.275,0.415616631430585,0.3,-0.219548872180451,-0.219548872180451,-0.218761470605648,-0.0209937888198758,-0.0666666666666667,-0.06,-0.642293625914316,0.0258571624737797,-0.0883333333333333,-0.113333333333333,0.0641456582633053,-0.0333333333333333,-0.133333333333333,-0.0333333333333333,-0.322380952380952
"DSH",0.531076862753729,0.394154589371981,0.0701525054466231,0.0889494979278261,0.450156743548483,0.133333333333333,-0.05,0.452350943134395,0.140878242064973,0.195787139689579,0.0883333333333333,-0.0641456582633053,-0.0857142857142857,-0.113636363636364,-0.146969696969697,-0.126445573836391,-0.179227761485826,-0.136707912266466,-0.125009799058919,-0.205608129583985,0.360759654471545,0.421712762775013,0.0209937888198758,0.282315466715077,-0.275,-0.2,0.218761470605648,-0.10882743544938,0.361991416098891,0.502092257026483,0.474220484987303,-0.343421052631579,0.44078333087621,0.44136334213016,0.396992481203008,-0.396992481203008,-0.658193850133041,0.343421052631579,0.46582760189472,0.275,-0.218761470605648,-0.218761470605648,-0.215120014023015,-0.00601121042266324,-0.06,-0.0295652173913044,-0.677792465821508,0.0211327530249608,-0.0802873563218391,-0.0883333333333333,0.0480617421793892,-0.0333333333333333,-0.113333333333333,-0.0627450980392157,-0.352450882450882
